report_date,report_period,issuer,cpty_side,isin,symbol,exch_code,cpty_type,cpty_cntry,traded_val_eur
2022-05-16,2022w19,21Shares AG,BUY,CH0593331561,ADOT,SW,Broker / Dealer,United Kingdom,137388.670500
2022-05-16,2022w19,21Shares AG,SELL,CH1102728750,AADA,SW,Asset Manager,United Kingdom,13292.193350
2022-05-16,2022w19,21Shares AG,BUY,CH0593331561,ADOT,SW,Broker / Dealer,United Kingdom,28053.199390
2022-05-16,2022w19,21Shares AG,SELL,CH1114873776,ASOL,SW,Broker / Dealer,United Kingdom,39858.722591
2022-05-16,2022w19,21Shares AG,SELL,CH0445689208,HODL,SW,Asset Manager,United Kingdom,33281.684226
2022-05-16,2022w19,21Shares AG,BUY,CH1129538448,POLY,SW,Broker / Dealer,United Kingdom,44256.110000
2022-05-16,2022w19,21Shares AG,SELL,CH0454664043,AXRP,SW,Private Bank,United Kingdom,33383.305578
2022-05-16,2022w19,21Shares AG,BUY,CH0454664001,ABTC,SW,Asset Manager,Switzerland,48239.684500
2022-05-16,2022w19,21Shares AG,BUY,CH0445689208,HODL,SW,Bank,Switzerland,86615.214200
2022-05-16,2022w19,21Shares AG,SELL,CH0508793459,MOON,SW,Bank,Switzerland,47593.011200
2022-05-16,2022w19,21Shares AG,BUY,CH0454664001,ABTC,SW,Asset Manager,Switzerland,479856.913800
2022-05-16,2022w19,21Shares AG,SELL,CH0454664001,ABTC,SW,Asset Manager,Switzerland,436619.990760
2022-05-16,2022w19,21Shares AG,BUY,CH0593331561,ADOT,SW,Private Bank,Switzerland,282664.662088
2022-05-16,2022w19,21Shares AG,BUY,CH0593331561,ADOT,SW,Private Bank,Switzerland,93611.477840
2022-05-16,2022w19,21Shares AG,BUY,CH0454664027,AETH,SW,Bank,Switzerland,9728.984400
2022-05-16,2022w19,21Shares AG,BUY,CH0454664001,ABTC,SW,Private Bank,Switzerland,290435.628000
2022-05-16,2022w19,21Shares AG,BUY,CH0454664001,ABTC,SW,Bank,Switzerland,9137.574900
2022-05-16,2022w19,21Shares AG,SELL,CH0454664001,ABTC,SW,Asset Manager,Switzerland,92562.291640
2022-05-16,2022w19,21Shares AG,BUY,CH0593331561,ADOT,SW,Private Bank,Switzerland,93781.829160
2022-05-16,2022w19,21Shares AG,BUY,CH0454664001,ABTC,SW,Asset Manager,Switzerland,47538.209950
2022-05-16,2022w19,21Shares AG,SELL,CH1114873776,ASOL,SW,Bank,Switzerland,9584.849640
2022-05-16,2022w19,21Shares AG,BUY,CH0454664027,AETH,SW,Private Bank,Switzerland,284669.482000
2022-05-16,2022w19,21Shares AG,BUY,CH0508793459,MOON,SW,Private Bank,Switzerland,445483.123200
2022-05-16,2022w19,21Shares AG,BUY,CH0454664001,ABTC,SW,Bank,Switzerland,325433.465000
2022-05-16,2022w19,21Shares AG,BUY,CH1145931015,LUNA,SW,Bank,Switzerland,94544.970000
2022-05-16,2022w19,21Shares AG,BUY,CH0445689208,HODL,SW,Private Bank,Switzerland,11093.969900
2022-05-16,2022w19,21Shares AG,SELL,CH0514065058,SBTC,SW,Bank,Switzerland,6575.885000
2022-05-16,2022w19,21Shares AG,BUY,CH0454664001,ABTC,SW,Bank,Switzerland,290029.762800
2022-05-16,2022w19,21Shares AG,SELL,CH1114873776,ASOL,SW,Bank,Switzerland,23130.360750
2022-05-16,2022w19,21Shares AG,SELL,CH1114873776,ASOL,SW,Bank,Switzerland,4632.537900
2022-05-16,2022w19,21Shares AG,BUY,CH0454664027,AETH,SW,Bank,Switzerland,45820.656000
2022-05-16,2022w19,21Shares AG,BUY,CH0454664027,AETHCHF,SW,Wealth,Switzerland,127480.890000
2022-05-16,2022w19,21Shares AG,SELL,CH1145931015,LUNA,SW,Bank,Switzerland,157477.714200
2022-05-16,2022w19,21Shares AG,SELL,CH0514065058,SBTC,SW,Bank,Switzerland,2309932.000000
2022-05-16,2022w19,21Shares AG,SELL,CH1102728750,AADA,SW,Bank,Switzerland,50907.416000
2022-05-16,2022w19,21Shares AG,SELL,CH1135202088,AVAX,SW,Bank,Spain,17148.022606
2022-05-16,2022w19,21Shares AG,BUY,CH0454664001,ABTC,SW,Broker / Dealer,Ireland,312784.170000
2022-05-16,2022w19,21Shares AG,BUY,CH0445689208,21XH,GR,Broker / Dealer,Germany,10728.250000
2022-05-16,2022w19,21Shares AG,BUY,CH1129538448,POLY,GR,Broker / Dealer,Germany,22305.750000
2022-05-16,2022w19,21Shares AG,BUY,CH1135202161,HODLV,FP,Broker / Dealer,Germany,51052.050000
2022-05-16,2022w19,21Shares AG,BUY,CH0508793459,MOON,SW,Broker / Dealer,Germany,8349.454080
2022-05-16,2022w19,21Shares AG,BUY,CH1130675676,ALTS,SW,Broker / Dealer,Germany,8907.037353
2022-05-16,2022w19,21Shares AG,SELL,CH1146882316,ALC0,GR,Broker / Dealer,Germany,20866.540000
2022-05-16,2022w19,21Shares AG,SELL,CH0491507486,AXTZ,GR,Broker / Dealer,Germany,17999.100000
2022-05-16,2022w19,21Shares AG,BUY,CH0454664043,21XP,GR,Broker / Dealer,Germany,45620.850000
2022-05-16,2022w19,21Shares AG,BUY,CH0593331561,ADOT,GR,Broker / Dealer,Germany,6227.480000
2022-05-16,2022w19,21Shares AG,BUY,CH0593331561,ADOT,GR,Broker / Dealer,Germany,23010.500000
2022-05-16,2022w19,21Shares AG,BUY,CH1145931015,USLB,GR,Broker / Dealer,Germany,1542.500000
2022-05-16,2022w19,21Shares AG,BUY,CH0454664001,2BTC,GR,Broker / Dealer,Germany,55105.200000
2022-05-16,2022w19,21Shares AG,SELL,CH0454664001,2BTC,GR,Bank,Germany,932946.550000
2022-05-16,2022w19,21Shares AG,BUY,CH0475986318,ZZUC,GR,Broker / Dealer,Germany,109253.600000
2022-05-16,2022w19,21Shares AG,SELL,CH0475986318,ZZUC,GR,Broker / Dealer,Germany,86732.750000
2022-05-16,2022w19,21Shares AG,BUY,CH1129538448,POLY,GR,Broker / Dealer,Germany,33132.500000
2022-05-16,2022w19,21Shares AG,SELL,CH0454664027,ETHA,GR,Bank,Germany,322640.419200
2022-05-16,2022w19,21Shares AG,SELL,CH1168929078,AFTM,NA,Broker / Dealer,Germany,8889.684000
2022-05-16,2022w19,21Shares AG,BUY,CH1145931015,USLB,GR,Broker / Dealer,Germany,5772.000000
2022-05-16,2022w19,21Shares AG,BUY,CH1145931015,USLB,GR,Broker / Dealer,Germany,2236.850000
2022-05-16,2022w19,21Shares AG,BUY,CH0593331561,ADOT,GR,Broker / Dealer,Germany,52343.000000
2022-05-16,2022w19,21Shares AG,SELL,CH1135202120,AAVE,FP,Broker / Dealer,Germany,35355.210000
2022-05-16,2022w19,21Shares AG,BUY,CH0454664001,2BTC,GR,Broker / Dealer,Germany,40407.200000
2022-05-16,2022w19,21Shares AG,SELL,CH1102728750,ADAA,GR,Broker / Dealer,Germany,115493.520000
2022-05-16,2022w19,21Shares AG,SELL,CH0454664001,2BTC,GR,Broker / Dealer,Germany,416332.000000
2022-05-16,2022w19,21Shares AG,BUY,CH0454664001,2BTC,GR,Broker / Dealer,Germany,105649.000000
2022-05-16,2022w19,21Shares AG,BUY,CH0454664001,2BTC,GR,Broker / Dealer,Germany,324996.000000
2022-05-16,2022w19,21Shares AG,BUY,CH0454664001,2BTC,GR,Broker / Dealer,Germany,89708.150000
2022-05-16,2022w19,21Shares AG,BUY,CH1102728750,ADAA,GR,Broker / Dealer,Germany,123220.000000
2022-05-16,2022w19,21Shares AG,SELL,CH1145930991,CO1S,GR,Bank,Germany,141242.925800
2022-05-16,2022w19,21Shares AG,SELL,CH0514065058,2SBT,GR,Broker / Dealer,Germany,128348.000000
2022-05-16,2022w19,21Shares AG,BUY,CH0454664027,ETHA,GR,Broker / Dealer,Germany,100632.000000
2022-05-16,2022w19,21Shares AG,BUY,CH1145931015,LUNA,FP,Broker / Dealer,Germany,13705.782500
2022-05-16,2022w19,21Shares AG,SELL,CH1145931015,LUNAEUR,SW,Bank,Germany,953237.946900
2022-05-16,2022w19,21Shares AG,BUY,CH0514065058,2SBT,GR,Broker / Dealer,Germany,116010.000000
2022-05-16,2022w19,21Shares AG,BUY,CH0593331561,ADOT,GR,Broker / Dealer,Germany,105285.600000
2022-05-16,2022w19,21Shares AG,BUY,CH0454664001,2BTC,GR,Broker / Dealer,Germany,168066.000000
2022-05-16,2022w19,21Shares AG,SELL,CH1102728750,ADAA,GR,Broker / Dealer,Germany,159550.800000
2022-05-16,2022w19,21Shares AG,SELL,CH0593331561,ADOT,GR,Broker / Dealer,Germany,70482.500000
2022-05-16,2022w19,21Shares AG,BUY,CH0454664001,2BTC,GR,Broker / Dealer,Germany,224090.000000
2022-05-16,2022w19,21Shares AG,BUY,CH0445689208,21XH,GR,Broker / Dealer,Germany,92052.900000
2022-05-16,2022w19,21Shares AG,SELL,CH0496484640,21XA,GR,Broker / Dealer,Germany,76789.500000
2022-05-16,2022w19,21Shares AG,BUY,CH0454664001,2BTC,GR,Broker / Dealer,Germany,168357.000000
2022-05-16,2022w19,21Shares AG,BUY,CH0454664027,ETHA,GR,Bank,Germany,196309.547400
2022-05-16,2022w19,21Shares AG,BUY,CH0496454155,21XJ,GR,Bank,Germany,192079.800000
2022-05-16,2022w19,21Shares AG,BUY,CH1135202120,AAVE,SW,Broker / Dealer,Germany,34767.468000
2022-05-16,2022w19,21Shares AG,BUY,CH1129538448,POLY,GR,Bank,Germany,49851.354200
2022-05-16,2022w19,21Shares AG,BUY,CH0454664001,2BTC,GR,Bank,Germany,98865.795000
2022-05-16,2022w19,21Shares AG,SELL,CH1145930991,CO1S,GR,Bank,Germany,29914.768200
2022-05-16,2022w19,21Shares AG,BUY,CH0454664001,ABTC,SW,Asset Manager,France,251397.670660
2022-05-16,2022w19,21Shares AG,BUY,CH0454664001,ABTC,SW,Asset Manager,France,274539.578550
2022-05-16,2022w19,21Shares AG,BUY,CH1146882308,BOLD,SW,Bank,Denmark,904.428400
2022-05-16,2022w19,21Shares AG,BUY,CH0593331561,ADOT,SW,Bank,Denmark,21345.970000
2022-05-16,2022w19,21Shares AG,BUY,CH1145931015,LUNA,SW,Bank,Denmark,38.469000
2022-05-16,2022w19,21Shares AG,BUY,CH0454664027,AETH,SW,Private Bank,Andorra,95389.318900
2022-05-16,2022w19,21Shares AG,BUY,CH0496454155,ABNB,SW,Private Bank,Andorra,142274.973500
2022-05-16,2022w19,21Shares AG,SELL,CH1135202179,HODLX,SW,,,775.905840
2022-05-16,2022w19,21Shares AG,SELL,CH1135202179,HODLX,SW,,,77894.097540
2022-05-16,2022w19,21Shares AG,BUY,CH0454664001,ABTC,SW,,,47848.046750
