tsfTenantID,networkID,cidrBlock,userdefined_region
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,54.247.0.0/16,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,18.200.0.0/16,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,54.74.0.0/15,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,52.95.255.64/28,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,54.229.0.0/16,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,46.51.192.0/20,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,63.32.0.0/14,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,52.30.0.0/15,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,54.154.0.0/16,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,52.95.244.0/24,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,99.77.155.0/24,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,3.5.72.0/23,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,54.216.0.0/15,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,52.48.0.0/14,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,162.213.232.0/24,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,52.208.0.0/13,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,15.177.89.0/24,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,79.125.0.0/17,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,54.170.0.0/15,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,64.252.117.0/24,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,99.80.0.0/15,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,3.5.64.0/21,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,54.220.0.0/16,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,46.51.128.0/18,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,99.151.88.0/21,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,162.213.234.0/23,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,18.201.0.0/16,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,54.228.0.0/16,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,195.17.0.0/24,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,176.34.64.0/18,eu-west-1
