iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
BGD,Asia,Bangladesh,2020-03-08,3.0,3.0,,,,,0.018,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
BGD,Asia,Bangladesh,2020-03-09,3.0,0.0,,,,,0.018,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
BGD,Asia,Bangladesh,2020-03-10,3.0,0.0,,,,,0.018,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
BGD,Asia,Bangladesh,2020-03-11,3.0,0.0,,,,,0.018,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
BGD,Asia,Bangladesh,2020-03-12,3.0,0.0,,,,,0.018,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
BGD,Asia,Bangladesh,2020-03-13,3.0,0.0,0.429,,,,0.018,0.0,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
BGD,Asia,Bangladesh,2020-03-14,3.0,0.0,0.429,,,,0.018,0.0,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
BGD,Asia,Bangladesh,2020-03-15,5.0,2.0,0.286,,,,0.03,0.012,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
BGD,Asia,Bangladesh,2020-03-16,8.0,3.0,0.714,,,,0.048,0.018,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
BGD,Asia,Bangladesh,2020-03-17,10.0,2.0,1.0,,,,0.06,0.012,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
