,customer_name,item_name,Rate
0,Alpha FMCG Pvt. Ltd.,AT-Atta,10
1,Alpha FMCG Pvt. Ltd.,BI-Biscuits,10
2,Alpha FMCG Pvt. Ltd.,CF-Confectionery,10
3,Alpha FMCG Pvt. Ltd.,CK-Cake,10
4,Alpha FMCG Pvt. Ltd.,DF-Dairy Foods,10
5,Alpha FMCG Pvt. Ltd.,ND-Noodles,10
6,Alpha FMCG Pvt. Ltd.,PD-Pizza Dough,10
7,Alpha FMCG Pvt. Ltd.,RT-Ready to Eat,10
8,Alpha FMCG Pvt. Ltd.,SA-Salt,10
9,Alpha FMCG Pvt. Ltd.,SI-Spices,10
10,Alpha FMCG Pvt. Ltd.,SX-Snacks,10
11,Alpha FMCG Pvt. Ltd.,TS-Toilet Soap,10
12,Bagrry India Pvt. Ltd.,CER-Cereal,10
13,Britannia Industries Ltd Karnataka,BIS-Biscuit,10
14,Britannia Industries Ltd Karnataka,CAK-Cake,10
15,Britannia Industries Ltd Karnataka,MLK-Milk,10
16,Britannia Industries Ltd Karnataka,RSK-Rusk,10
17,Compact India Pvt. Ltd.,PB-Peanut Butter,10
18,Crimsonwave Private Limited,DA-Distributor Atta,10
19,Fuerst Day Lawson (India) Pvt. Ltd.,BI-Biscuits,10
20,Fuerst Day Lawson (India) Pvt. Ltd.,IC-Instant Cofee,10
21,Fuerst Day Lawson (India) Pvt. Ltd.,SR-Sweet Serups,10
22,Fuerst Day Lawson (India) Pvt. Ltd.,SU-Sweet Sauces,10
23,General Mills India Delhi,AT-Atta,10
24,General Mills India Delhi,CM-Cake Mixes,10
25,General Mills India Delhi,ST-Starch,10
26,General Mills India Karnataka,AT-Atta,10
27,General Mills India Karnataka,BI-Biscuits,10
28,General Mills India Karnataka,CM-Cake Mixes,10
29,General Mills India Karnataka,SW-Sweet,10
30,General Mills India Maharashtra,AT-Atta,10
31,General Mills India Maharashtra,CM-Cake Mixes,10
32,General Mills India Maharashtra,SJ-Suji,10
33,General Mills India Maharashtra,ST-Starch,10
34,General Mills India Punjab,AT-Atta,10
35,General Mills India Punjab,CM-Cake Mixes,10
36,General Mills India Punjab,ST-Starch,10
37,General Mills India Pvt Ltd. Goa,AT-Atta,10
38,General Mills India Pvt Ltd. Kerala,AT-Atta,10
39,General Mills India Pvt Ltd. Kerala,CM-Cake Mixes,10
40,General Mills India Tamil Nadu,AT-Atta,10
