timestamp,cid,activate/deactivate,bid/ask,orderid,price,qty
09:30:00:310,TSDU_755,activate,bid,BAQIUMXXVR,13401,168
09:30:00:844,ZTBU_684,activate,bid,UXBLXYHURX,13492,72
09:30:00:971,PLPT_189,activate,bid,JZMLZUBBQI,13468,72
09:30:01:208,WXPU_028,activate,bid,BGYFTYCWCW,13415,60
09:30:01:771,LVBW_250,activate,ask,UVORQGUNBA,13500,72
09:30:02:415,ZVJA_679,activate,bid,GMLIIWOMVC,13406,60
09:30:03:015,TLKP_290,activate,ask,RLGEPKXTNK,13525,360
09:30:03:364,DOTZ_154,activate,bid,DALQAHYYMZ,13499,108
09:30:03:918,XPKU_205,activate,bid,JHUORFHWJZ,13247,72
09:30:03:925,XPKU_205,deactivate,ask,RLGEPKXTNK,None,None
09:30:04:551,YXZW_561,activate,bid,BUPXEVEIGE,13479,96
09:30:04:637,NCDC_493,activate,bid,KXUTXEARTW,13463,7
09:30:04:958,KJDQ_398,activate,ask,VLIHVFMLYG,13509,70
09:30:05:260,VSND_685,activate,bid,MAJQFCVWUL,13310,10
09:30:05:406,LMCM_188,activate,ask,SIWYVXTXMY,13506,360
09:30:05:941,ZAXI_217,activate,bid,YPHIPDDKEL,13462,40
09:30:06:093,TFST_877,activate,ask,BVESCIFVOS,13562,24
09:30:06:727,TFST_877,deactivate,ask,SIWYVXTXMY,None,None
09:30:07:337,GZTK_332,activate,ask,TLTLGXWLJF,13710,360
09:30:07:770,SIYH_686,activate,ask,YJDRTDTKYR,13580,64
09:30:07:923,XOJB_190,activate,ask,MTBGUZKVZU,13557,36
09:30:08:420,FFLO_530,activate,ask,PQZYDAZJWU,13504,160
09:30:08:877,HPOX_202,activate,bid,AFXTWQXKSV,13447,105
09:30:09:316,TSAO_461,activate,ask,UIDLNVPKTF,13501,800
09:30:09:706,WQMD_156,activate,bid,HXKRFQAJGE,13460,360
09:30:10:003,GMCR_054,activate,ask,PYSGXNRZRT,13502,32
09:30:10:047,ILQT_147,activate,ask,ZPCMVBWDDP,13551,144
09:30:10:708,LMCM_188,activate,bid,NEZUQSJQSI,13366,200
09:30:11:339,WNPO_051,activate,ask,ESQKXTXZUU,14163,36
09:30:11:638,MDWV_305,activate,bid,NQQDEPKUJX,13476,120
09:30:11:753,TLKP_290,activate,ask,XELPBYQKPL,13539,120
09:30:12:000,TOEY_561,activate,ask,BZUKYEWUHV,14052,72
09:30:12:360,TCUR_853,activate,bid,BRVLPYTNGK,13186,70
09:30:12:959,BMDN_002,activate,bid,TBMNTRIARJ,13499,168
09:30:12:981,MUMV_408,activate,bid,OQCNESLOIP,13481,450
09:30:13:271,NFCJ_991,activate,bid,JYVCYFUAWO,13445,480
09:30:13:494,NFCJ_991,deactivate,ask,ESQKXTXZUU,None,None
09:30:13:700,NFCJ_991,deactivate,ask,UIDLNVPKTF,None,None
09:30:14:000,VCIO_035,activate,ask,EUMOKWNTIM,13534,60
09:30:14:090,BFDD_288,activate,bid,RIDKSXNXAF,13390,18
09:30:14:339,LWCA_600,activate,ask,JYLTCAQLFJ,13500,40
09:30:14:521,TKNN_074,activate,ask,NWCGTBVBHI,13542,6
09:30:14:698,TKNN_074,deactivate,bid,NEZUQSJQSI,None,None
09:30:14:803,YXZW_561,activate,ask,ACKTATKLVQ,13526,420
09:30:14:840,ONGP_558,activate,ask,BYGGTCWWKN,13710,288
09:30:15:028,MDWV_305,activate,bid,RBDWCQXTGZ,13492,180
09:30:15:157,MUMV_408,activate,bid,CIZJGXHNAM,13499,8
09:30:15:182,RBLJ_404,activate,bid,POEPAHIBNU,13451,150
09:30:15:386,MUMV_408,activate,bid,QDPYIEODRE,13464,720
09:30:16:056,RJHA_711,activate,bid,HHORWNLVHT,13499,14
09:30:16:447,RJHA_711,deactivate,bid,MAJQFCVWUL,None,None
09:30:16:731,RJHA_711,activate,bid,ZXGQYVFUIQ,13487,240
09:30:17:177,USBV_898,activate,bid,LNLJVCHNHN,13489,168
09:30:17:655,USBV_898,deactivate,ask,VLIHVFMLYG,None,None
09:30:17:681,SYIY_540,activate,bid,SQMRYSTRWT,13435,240
09:30:17:960,ZBVS_913,activate,ask,ZPVDZSUFWW,13596,140
09:30:18:593,TSAO_461,activate,bid,SUBUJETOEM,13154,144
09:30:18:643,PCSH_366,activate,bid,BREBGEYNLF,13441,216
09:30:19:167,ROEX_888,activate,bid,VUSGGEWCAB,13441,48
09:30:19:442,MUMV_408,activate,ask,CEQYNHXHOO,13519,72
09:30:19:702,BDUV_963,activate,bid,DNKHRTUCGL,13277,600
09:30:20:199,ZVJA_679,activate,bid,OUUIUUMRDS,13391,15
09:30:20:740,QQKN_297,activate,bid,BBPPFVKBWU,13316,54
09:30:21:028,TOEY_561,activate,ask,SZZMWHHMWO,13556,40
09:30:21:359,TOEY_561,activate,bid,HPHRPZSZCC,13400,96
09:30:21:978,XEDQ_246,activate,ask,JEJWKETZCQ,13597,160
09:30:22:374,GZTK_332,activate,bid,BPUHHMTSDZ,13231,36
09:30:22:484,AIWX_780,activate,bid,OEAZCISKXB,13500,108
09:30:22:994,ILQT_147,activate,bid,FTBYWTZZIE,13483,108
09:30:23:122,FFLO_530,activate,ask,DQNIWKCGXO,13570,192
09:30:23:251,VSND_685,activate,ask,PPVKCJVIXB,13510,280
09:30:23:866,ROEX_888,activate,ask,XMPFWWWTLY,13532,252
09:30:24:448,HPOX_202,activate,ask,JWDRYERGPR,13501,192
09:30:24:628,TOEY_561,activate,ask,EKACPGCAMV,14255,42
09:30:25:193,QQKN_297,activate,ask,AFAVRQHZJK,13622,104
09:30:25:513,FJGE_609,activate,ask,FLMJANFRAN,13502,144
09:30:25:947,EAVH_368,activate,ask,EVZZHNPVBV,13539,54
09:30:26:175,VXLP_960,activate,bid,TDSTTGUDMJ,13500,84
09:30:26:203,VXLP_960,activate,bid,NUFZAWSLOD,13494,256
09:30:26:882,HPOX_202,activate,bid,HAXCBCBSSS,12954,189
09:30:27:060,PMWA_283,activate,ask,VXCXEZKLUS,13549,168
09:30:27:171,DOTZ_154,activate,ask,LBLIYNXISK,13539,16
09:30:27:236,DOTZ_154,deactivate,bid,JZMLZUBBQI,None,None
09:30:27:696,WXPU_028,activate,bid,PFCFWGEUBU,13334,200
09:30:28:120,BDUV_963,activate,ask,XCOGQPUZAG,13616,192
09:30:28:206,LVZD_988,activate,bid,QKSMRMOJRM,13488,72
09:30:28:658,SYIY_540,activate,ask,URWHQBMYXV,13762,54
09:30:28:709,CLPE_513,activate,bid,PEJXJLWAMP,13498,30
09:30:29:381,VDYK_729,activate,ask,KTBLIWGAXZ,13631,49
09:30:29:508,WTJS_734,activate,ask,QQWVOOIREJ,13718,72
09:30:29:610,JHNQ_723,activate,bid,QTQQEEJCFD,12877,30
09:30:29:728,WQMD_156,activate,bid,DZDCMUBAUO,13367,16
09:30:30:163,KZQQ_502,activate,bid,GPPMLURTEM,13375,120
09:30:30:342,KZQQ_502,deactivate,bid,HXKRFQAJGE,None,None
09:30:30:580,BMDN_002,activate,ask,QAVMLRWILM,13572,75
09:30:30:715,SGQU_037,activate,bid,BRPDBZXOWC,13493,18
09:30:31:267,GFKB_410,activate,ask,TAOEEIXFAD,13596,4
09:30:31:877,WXCX_121,activate,bid,EXTMOZUXYG,13444,384
09:30:31:938,NFCJ_991,activate,ask,VUQTQMQGVX,13902,54
09:30:32:197,TTGN_389,activate,ask,GYUXFCEABI,13663,28
09:30:32:426,TTGN_389,activate,bid,POYWAXHYDL,13388,144
09:30:33:050,GMCR_054,activate,ask,WWRVRKFQUP,13732,400
09:30:33:193,HPOX_202,activate,bid,TRKIRKKGXP,13487,32
09:30:33:482,RPVI_427,activate,bid,VABRSMWFBF,13388,90
09:30:33:634,RBLJ_404,activate,bid,YBDRJZVYDG,13499,144
09:30:34:304,LVBW_250,activate,ask,JTQKPYXGTR,13501,96
09:30:34:845,BFDD_288,activate,bid,JSVWGZLEVE,13478,20
09:30:35:212,XPKU_205,activate,ask,GACOQQGYYT,13531,480
09:30:35:626,DOTZ_154,activate,ask,AEZMMIMRGD,13506,10
09:30:35:633,RSMB_782,activate,bid,SIRAWVPCOU,13475,30
09:30:36:128,CLPE_513,activate,bid,OFZUJFIIAE,13483,120
09:30:36:189,NFCJ_991,activate,bid,DVECKZMEJB,13489,36
09:30:36:461,NFCJ_991,deactivate,ask,SZZMWHHMWO,None,None
09:30:36:584,XPKU_205,activate,bid,VRXCODYHHU,13499,72
09:30:36:663,ZVJA_679,activate,bid,ATERALDTMP,13376,90
09:30:36:884,BFDD_288,activate,bid,CPMWHUSAPF,13491,96
09:30:37:451,BFDD_288,deactivate,bid,KXUTXEARTW,None,None
09:30:37:931,ZABL_910,activate,bid,DXEUQMSPRT,13440,160
09:30:38:134,GFKB_410,activate,ask,XHKAOEMOXS,13739,90
09:30:38:238,DJGA_355,activate,bid,OYNYTPEBHT,13465,63
09:30:38:433,LVBW_250,activate,bid,EDMFMLUDKF,13235,144
09:30:38:604,WNPO_051,activate,bid,FOSJPHBNLU,13483,288
09:30:38:895,VCIO_035,activate,bid,HENETNDREE,13229,80
09:30:39:071,GUDK_472,activate,ask,LVVYZBMIUS,14091,264
09:30:39:288,TKNN_074,activate,bid,MSZNCQEGCF,13353,735
09:30:39:757,TKNN_074,deactivate,ask,AEZMMIMRGD,None,None
09:30:40:325,AIWX_780,activate,ask,XMAZFPDJIJ,13506,96
09:30:40:449,TSAO_461,activate,ask,IAAZXHQAXO,14122,192
09:30:40:757,LFDQ_061,activate,bid,UPNAJJLEQY,13482,336
09:30:41:286,LWCA_600,activate,bid,VEMOMJGUHP,13425,80
09:30:41:490,LWCA_600,deactivate,bid,TDSTTGUDMJ,None,None
09:30:41:760,XOJB_190,activate,bid,RBLWZARRVA,13090,100
09:30:42:439,GUDK_472,activate,ask,TQHHDGDWTO,13505,576
09:30:42:765,ROEX_888,activate,ask,ASIVHWAZFQ,13552,32
09:30:43:436,DOTZ_154,activate,ask,KOBMEDCPHP,13518,396
09:30:43:500,DOTZ_154,deactivate,bid,FOSJPHBNLU,None,None
09:30:43:825,TTGN_389,activate,ask,WTDWRKSZMI,13513,60
09:30:44:214,TTGN_389,deactivate,ask,NWCGTBVBHI,None,None
09:30:44:725,PMWA_283,activate,bid,ZUTJWCAIVL,13488,252
09:30:45:272,VCIO_035,activate,bid,FLQPWKBKWY,13492,90
09:30:45:381,DOTZ_154,activate,bid,NELMPLLVYG,13447,384
09:30:45:516,PCSH_366,activate,ask,WQRLAOZODN,13782,120
09:30:45:911,LFDQ_061,activate,bid,TIYEJMPDFU,13105,96
09:30:46:464,LFDQ_061,deactivate,ask,XMPFWWWTLY,None,None
09:30:46:506,SGQU_037,activate,ask,GBJBJHNCIW,13536,30
09:30:46:557,AHPS_810,activate,ask,QMXJREBEBH,13522,36
09:30:47:217,DJGA_355,activate,ask,UFMSTCGUEI,13508,210
09:30:47:915,GHXZ_344,activate,ask,NZFZLYQSIP,14249,112
09:30:48:014,YLKV_982,activate,ask,GYBITXIAIP,13799,120
09:30:48:673,WQMD_156,activate,ask,IABMIMVKNC,13632,48
09:30:49:095,JHNQ_723,activate,ask,RQUKFNWSCO,13512,108
09:30:49:343,ZABL_910,activate,bid,YHEITPRTSH,13490,32
09:30:49:539,KDVX_065,activate,bid,IPXTVNTANX,13326,108
09:30:49:666,NKSJ_645,activate,bid,LFEHWSTPWN,13501,64
09:30:50:108,HPOX_202,activate,ask,HSPSQEAAAH,13509,96
09:30:50:474,HPOX_202,deactivate,ask,VXCXEZKLUS,None,None
09:30:50:616,PCSH_366,activate,ask,PDEZSZGIHL,13529,495
09:30:50:660,GOKJ_013,activate,ask,KUZZGOUKVK,13700,168
09:30:51:195,RPVI_427,activate,bid,IKMCIREBJC,13247,168
09:30:51:862,SYIY_540,activate,ask,PRELHTUJGK,13503,42
09:30:52:524,XPKU_205,activate,ask,WWPOYAZPEG,13699,160
09:30:52:648,WNPO_051,activate,ask,LBLIKTJELP,13549,60
09:30:53:074,JHNQ_723,activate,bid,GCFCGPAOCO,12777,96
09:30:53:352,JHNQ_723,deactivate,bid,JSVWGZLEVE,None,None
09:30:53:512,DAAN_057,activate,bid,AEIMNRWYAB,13495,100
09:30:53:845,DAAN_057,deactivate,ask,EVZZHNPVBV,None,None
09:30:54:096,ROEX_888,activate,ask,VUUVKCFZIL,13507,189
09:30:54:480,KIUK_592,activate,ask,MTPWXFSAEC,14601,144
09:30:54:713,HPOX_202,activate,ask,UOQWORYWUQ,13505,32
09:30:54:946,SGQU_037,activate,bid,XCGBNHLYWX,13480,25
09:30:55:099,YCMY_801,activate,bid,CXWFQXNHJB,13500,40
09:30:55:778,YCMY_801,deactivate,bid,SUBUJETOEM,None,None
09:30:56:115,RBLJ_404,activate,bid,YSZDMARKMH,13407,125
09:30:56:192,ROEX_888,activate,bid,QBIZMTEARO,13500,324
09:30:56:691,LFDQ_061,activate,bid,PCJMHSXHED,13478,100
09:30:57:191,YIZD_457,activate,bid,CFMWLEKLTD,13363,336
09:30:57:410,GHHY_942,activate,bid,HALHEUWUMJ,13496,24
09:30:57:895,BMDN_002,activate,bid,JDULQAEZVW,13380,300
09:30:58:095,TFST_877,activate,ask,AAUGSIXBJM,13548,72
09:30:58:357,LFDQ_061,activate,ask,BJMGLUSXPC,13532,12
09:30:58:943,AJWE_569,activate,ask,SHEZKSQICJ,13524,48
09:30:59:505,PLPT_189,activate,ask,HEIZWYPMYA,13828,72
09:30:59:569,AHPS_810,activate,bid,OGCMKOEEKR,13502,180
09:31:00:154,XEDQ_246,activate,bid,CFUJRZXZAB,13448,375
09:31:00:457,XEDQ_246,deactivate,bid,CFMWLEKLTD,None,None
09:31:00:788,ZABL_910,activate,bid,IUCMONKLDO,13475,72
09:31:00:825,ZABL_910,deactivate,ask,RQUKFNWSCO,None,None
09:31:01:279,NKSJ_645,activate,ask,UQDWZNBXXX,13513,24
09:31:01:976,NFCJ_991,activate,ask,FFYPKCAQUN,13728,180
09:31:02:350,AGKW_757,activate,ask,BBFKZOPYOM,13541,180
09:31:02:491,AGKW_757,deactivate,bid,HENETNDREE,None,None
09:31:02:622,YFOU_374,activate,bid,ZLETGJXRBU,13473,48
09:31:02:929,ZAXI_217,activate,bid,YOKRUGOPJG,12995,168
09:31:03:590,NFCJ_991,activate,ask,VDKDGVWAJD,13889,60
09:31:04:116,GZTK_332,activate,ask,CKEBGSWLWM,13514,297
09:31:04:396,ZVJA_679,activate,bid,GSCYSVXNQP,13498,100
09:31:04:998,AIWX_780,activate,ask,FIFABTDWME,13648,64
09:31:05:338,YKYS_500,activate,ask,WQBAJBHACI,13867,72
09:31:05:499,RJHA_711,activate,ask,QWBPTNTRVA,13532,66
09:31:05:730,KIUK_592,activate,bid,EGTTTJNDDX,13500,18
09:31:06:087,GFKB_410,activate,ask,CUKLZNEHQN,13504,72
09:31:06:517,WQMD_156,activate,ask,VPZHLEXDOE,13503,24
09:31:06:731,GHXZ_344,activate,ask,YLQWYNRXCI,13513,108
09:31:07:228,PCSH_366,activate,ask,FNJXFRXJHM,13519,200
09:31:07:244,YKYS_500,activate,ask,KQDSADLZBS,13556,54
09:31:07:392,ROEX_888,activate,bid,MNMVVRLZOE,13322,108
09:31:07:871,PCSH_366,activate,bid,OVQOPWOVDA,13502,216
09:31:08:468,YCMY_801,activate,ask,IBGDMLCHNR,13639,120
09:31:08:759,ZABL_910,activate,bid,JTNPHNLSTY,13340,90
09:31:09:056,ZAXI_217,activate,ask,NQUUWXGYFJ,13534,96
