transaction date,est revenue,vod revenue,est trannx,vod trannx,nr est rev,nr vod rev,lib est rev,lib vod rev,d2d revenue,total rev,discounted rev,new paids,ex paids
2017-01-01 00:00:00.000000,15234741.38,6948853.02,1549809,1708060,7138366.21,5017873.16,5320557.81,1930979.86,364907.32,22548501.72,3602181.88,126780,798290
2017-02-01 00:00:00.000000,17274116.96,6435927.46,1627582,1427513,9098835.22,4562298.6,5475964.5,1873628.86,298689.86,24008734.28,2850346.32,98033,809095
2017-03-01 00:00:00.000000,21235074.25,7549510.62,1817207,1629464,12554730.83,5622261.44,5725867.22,1927249.18,714764.24,29499349.11,2703857.53,120881,878793
2017-04-01 00:00:00.000000,15442415.99,7148042.09,1556999,1797411,6821619.94,5176244.14,5763993.4,1971797.95,850643.38,23441101.46,2961405.77,116229,862768
2017-05-01 00:00:00.000000,17176035.29,6648665.68,1587183,1629574,8792220.83,4507884.54,5746273.51,2140781.14,571583.43,24396284.4,3519981.44,102453,864475
2017-06-01 00:00:00.000000,16733036.71,6210562.17,1480565,1630341,8343092.57,4232621,6094025.53,1977941.17,515274.93,23458873.81,3658882.03,92886,843867
2017-07-01 00:00:00.000000,16838461.41,6582488.57,1564746,1861947,7117571.98,4313729.38,6807070.23,2268759.19,477307.54,23898257.52,4369312.45,108330,868562
2017-08-01 00:00:00.000000,17914552.19,5791099.69,1550706,1633051,9397507.83,3900835.04,5990246.41,1890264.65,411711.18,24117363.06,3176453.6,90223,831856
2017-09-01 00:00:00.000000,17612430.85,5919230.35,1509579,1489905,9173777.29,4005401.05,5335751.33,1913829.3,462635.31,23994296.51,2955712.92,93713,842246
2017-10-01 00:00:00.000000,16340016.47,5792639.27,1599928,1453289,7283949.26,3820813.66,5951055.82,1971825.61,692345.56,22827527.66,3681619.58,96907,828490
2017-11-01 00:00:00.000000,17667388.83,5936158.38,1774150,1422494,8001341.66,4018237.62,6815904.47,1917920.76,636508.39,24243217.43,5670729.18,97876,846154
2017-12-01 00:00:00.000000,21322201.72,6768792.06,2024854,1620349,9033698.06,4184010.65,9442706.18,2584781.41,925391.58,29019643.2,8100868.84,128294,937141
2018-01-01 00:00:00.000000,15712723.27,6803464.01,1532764,1754224,6035105.14,4495886.75,6810434.56,2307577.26,1146007.01,23665073.2,3979639.08,131047,906316
2018-02-01 00:00:00.000000,20739111.32,5748052.76,1615713,1458680,12118004.61,3657817.38,6193994.13,2090235.38,857540.82,27347059.95,2507624.83,112412,895427
2018-03-01 00:00:00.000000,25550123.26,8490123.89,2014444,2036289,14363053.38,6208322.72,8475422.22,2281801.17,991560.57,35035931.03,4729379.37,168317,1080671
2018-04-01 00:00:00.000000,19466193.71,6835994.5,1723172,1693565,8629783.09,4612283.85,7945381.03,2223710.65,790413.03,27096064.01,5364673.54,124389,981477
2018-05-01 00:00:00.000000,20664113.01,7100110.4,1638706,1564606,10669239.28,4875793.66,7476332.37,2224316.74,674857.05,28440572.07,4883392.25,121561,954018
2018-06-01 00:00:00.000000,19772460.71,7426899.69,1838628,1854980,8496086.42,4864678.91,8827596.82,2562220.78,641340.46,27844490.14,5537631.49,127118,1013183
2018-07-01 00:00:00.000000,22649585.94,7774299.27,1974093,1805134,11268046.79,5082016.39,8704369.3,2692282.88,660854,31091472.86,5561741.42,135584,1050228
2018-08-01 00:00:00.000000,23756168.93,7052653.94,1913804,1610201,13168053.78,4701487.93,7997066.63,2351166.01,738652.68,31552937.46,4893409.96,129269,1039235
2018-09-01 00:00:00.000000,21089027.11,6685252.02,1636264,1480236,11297049.19,4455513.11,7044432.59,2229738.91,590673.68,28372595.16,4718719.35,99343,958212
2018-10-01 00:00:00.000000,20319905.71,6246060.02,1775940,1405085,9798717.33,3895435.63,7747057.35,2350624.39,457142.84,27038145.93,5044866.07,100834,945269
2018-11-01 00:00:00.000000,25365137.78,7340517.64,2258606,1619610,12516636.51,4765861.57,10111210,2574656.07,583238.62,33296087.23,8423664.26,130519,1031539
2018-12-01 00:00:00.000000,27708818.28,9146979.91,2615661,2078505,11353958.38,5932031.82,13586159.14,3214948.09,741589.75,37601559.24,11943791.47,170833,1153274
2019-01-01 00:00:00.000000,22566990.96,7670117.31,1947156,1741758,10015380.8,4617856.06,9575530.02,3052261.25,1028069.62,31269079.16,5310541.19,174802,1048358
2019-02-01 00:00:00.000000,27489246.11,7932607.75,2106107,1762774,14972975.81,4983123.72,9824389.9,2949484.03,758791.89,36182336.12,5949784.31,199486,1118620
2019-03-01 00:00:00.000000,30814369.27,9816190.03,2295603,2151258,17108375.14,6377734.11,10545801.49,3438455.92,858700.87,41491201.22,5407174.41,225701,1249509
2019-04-01 00:00:00.000000,21546013.66,7282185.85,1737126,1599320,9486643.11,4587104.08,9520214.37,2695081.77,893057.88,29725565.36,6605224.33,113474,1049309
2019-05-01 00:00:00.000000,22335700.08,6897373.61,1730700,1545455,9795085.97,3978883.41,9528049.44,2918490.2,597088.19,29835383.16,6555763.35,108581,1032260
2019-06-01 00:00:00.000000,21582694.97,6922280.12,1835750,1607495,8587898.85,3960930.17,10277845.05,2961349.95,579192.79,29086575.4,7277241.98,119465,1046375
2019-07-01 00:00:00.000000,28083034.32,6481247.45,2345884,1478061,14083354.66,3632069.42,11467907.88,2849178.03,588319.12,35153236.19,7280749.87,121514,1070686
2019-08-01 00:00:00.000000,29347489.92,6777358.69,2395383,1531241,16777557.95,4271735.13,10050051.21,2505623.56,618958.53,36744731.7,6740414.83,138496,1119269
2019-09-01 00:00:00.000000,23503304.05,7157320.93,1758204,1568584,12417832.47,4694675.89,8487788.34,2462645.04,521527.55,31182152.53,5278309.54,128316,1070488
2019-10-01 00:00:00.000000,24458089.07,6701337.49,1986922,1532513,11551873.91,3950446.32,10264374.29,2750891.17,476866.12,31636292.68,7788816.27,131721,1076121
2019-11-01 00:00:00.000000,22892938.63,6899412.15,1982989,1500273,10953951.59,4225007.33,8974115.56,2674404.82,403739.31,30196090.09,7151830.41,117002,1051937
2019-12-01 00:00:00.000000,27855763.98,6943602.92,2562031,1573138,13109200.17,4092496.5,10884971.99,2851106.42,480670.81,35280037.71,12255438.61,142168,1113103
2020-01-01 00:00:00.000000,22659601.16,7464064.11,1846866,1606666,10600580.84,4908273.95,8373425.34,2555790.16,732322.7,30855987.97,6824477.21,140455,1061042
2020-02-01 00:00:00.000000,24494214.12,7680808.25,1907434,1622730,12935520.19,5167013.48,8569445.53,2513794.77,459035.22,32634057.59,5891213.12,136320,1116477
2020-03-01 00:00:00.000000,41680000.77,12613208.25,2853668,2393653,25490272.25,8729639.06,12263411.4,3883569.19,576032.86,54869241.88,8586316.19,233109,1391896
2020-04-01 00:00:00.000000,44931196.08,20876718.95,3705272,3159843,19092932.53,15606332.82,19185061.47,5270386.13,828809.58,66636724.61,15847568.23,356932,1555068
2020-05-01 00:00:00.000000,39682748.72,14557848.08,3300664,2647418,8442111.47,7400361.44,13152825.82,5048922.51,720698.39,54961295.19,15846831.22,224576,1481728
2020-06-01 00:00:00.000000,30073299.43,10253135.33,2786792,1940820,4751624.15,3379593.5,7794258.39,4199397.46,503692.96,40830127.72,14749640.36,150468,1252297
2020-07-01 00:00:00.000000,29135684.37,8454056.8,2645583,1798179,4776946.49,3290577.75,7659023.87,4473077.07,491090.02,38080831.19,13674077.42,138267,1192194
2020-08-01 00:00:00.000000,26693094.04,8070823.03,2408198,1698235,4637152.31,3042969.13,6985467.71,4208871.07,425651.05,35189568.12,11940669.41,132947,1152149
2020-09-01 00:00:00.000000,21145234.04,6425032.49,1854724,1336175,3106298.49,1946891.91,6618570.65,3642149.75,383566.34,27953832.87,9524325.82,102410,977821
2020-10-01 00:00:00.000000,23613023.36,7278587.8,2131602,1486993,3018493.87,2028702.35,6875192.63,4032721.57,395759.65,31287370.81,10461691.89,146811,1042910
2020-11-01 00:00:00.000000,25638942.24,7347509.83,2268112,1400606,4068847,2701704.89,6828906.41,3512360.56,358454.2,33344906.27,12524075.34,117097,1027044
2020-12-01 00:00:00.000000,28933454.01,11692346.91,2711050,1664316,4060066.26,2512277.92,6986182.7,3806998.22,466811.25,41092612.17,16284847.32,159158,1178886
2021-01-01 00:00:00.000000,25428794.21,10024095.67,2241237,1544068,4277320.3,2651747.85,7659796.44,3460470.14,777458.11,36230347.99,10198941.57,140276,1070559
2021-02-01 00:00:00.000000,23422142.14,7202111.19,2118094,1344553,5728605.24,2330999.89,6585875.27,3252919.87,402886.65,31027139.98,8426417.73,110489,1017319
2021-03-01 00:00:00.000000,26386690.63,7811640.73,2461655,1388393,4674407.21,2691179.2,8337648.38,3182736.78,370584.73,34568916.09,10456846.09,117430,1008722
2021-04-01 00:00:00.000000,23913406.1,7504817.36,2148168,1247672,2750782.73,1967255.66,7434096.56,2917070.17,399456.1,31817679.56,10491582.13,104414,952194
2021-05-01 00:00:00.000000,22447445.97,6555154.34,2060022,1180804,3438496.31,1950768.49,6545952.92,2911521.3,307528.46,29310128.77,9626439.65,92619,922282
2021-06-01 00:00:00.000000,20954405.25,5685359.84,2031331,1015670,3293179.78,1564693.59,5477716.85,2570030.01,258097.48,26897862.57,9503843.81,89127,867289
2021-07-01 00:00:00.000000,24546992.13,6507479.31,2247600,1144274,5223973.5,2116148.54,5767469.51,2697704.96,256355.56,31310827,10942659.73,106380,932097
2021-08-01 00:00:00.000000,23079269.46,8298979.6,2078393,1344091,3544768.1,2357644.8,5551337.85,2796568.77,266693.99,31644943.05,9984927.66,203661,934769
2021-09-01 00:00:00.000000,24194965.2,6952703.68,2024522,1135722,7184018.02,1729643.37,5461436.05,2622554.31,233273.07,31380941.95,9096185.28,159133,916359
2021-10-01 00:00:00.000000,23909916.46,8647604.72,2062896,1405080,6667498.48,3050444.5,5706893.77,2872404.37,234625.38,32792146.56,9999580.65,176076,1026807
2021-11-01 00:00:00.000000,27322777.68,7108254.76,2373282,1199342,7488012.18,2646227.8,5174149.53,2459000.97,217392.6,34648425.04,11548080.76,157417,1020137
2021-12-01 00:00:00.000000,29966750.04,7261307.1,2482242,1488245,7025188.31,2905709.51,4971993.06,3389270.44,344247.55,37572304.69,14052960.19,199923,1154791
2022-01-01 00:00:00.000000,25612467.97,9055567.19,2024768,1383984,7351318.8,2771966.58,5068192.38,2868070.96,491335.09,35159370.25,9065125.91,175126,1080001
2022-02-01 00:00:00.000000,19691131.22,6044576.68,1781928,1101803,4692931.56,2550270.93,4563990.42,2339130.69,258281.92,25993989.82,7897858.79,121338,933590
2022-03-01 00:00:00.000000,28381392.8,6446951.66,2155068,1087949,11564619.95,2469613.32,4885200.5,2213178.5,241128.15,35069472.61,9447661.59,147397,1053034
2022-04-01 00:00:00.000000,20917324.36,5448940.97,1659498,962424,7254040.55,2381764.06,4379031.38,2024617.29,208471.69,26574737.02,7017310.33,110705,905605
