transaction date,est_revenue,vod_revenue,est_trannx,vod_trannx,nr_est_rev,nr_vod_rev,lib_est_rev,lib_vod_rev,d2d_revenue,total_rev,discounted_rev,new_paids,ex_paids
00:00.0,850451.99,422533.79,81209,102919,405991.56,319825.92,326569.76,102707.87,17196.78,1290182.56,442245.16,8486,121814
00:00.0,605371.77,244436.19,61184,61586,257038.26,175278.31,236076.02,69157.88,17569.41,867377.37,304680.13,5548,80886
00:00.0,528106.11,141284.98,53757,35249,247147.19,98394.01,189634.59,42890.97,10753.37,680144.46,259776.46,3199,56408
00:00.0,418689.63,122717.84,44995,30824,179382.45,83538.97,156759.65,39178.87,9708.94,551116.41,198302.05,2804,49555
00:00.0,461452.94,129974.65,48584,32655,192440.06,87729.41,176623.57,42245.24,10241.12,601668.71,220857.14,3013,53187
00:00.0,660324.44,278600.84,64516,66200,321315.56,202361.87,236902.42,76238.97,13558.56,952483.84,300485.34,5177,91109
00:00.0,662484.95,398947.14,54623,94556,340088.96,290454.62,215578.61,108492.52,22831.58,1084263.67,51552.78,7111,106837
00:00.0,499575.51,269167.74,43170,65578,229390.82,185718.35,171324.43,83449.39,17337.14,786080.39,38370.05,4973,77811
00:00.0,279208.57,110712.23,27116,28127,106707.15,69565.85,94427.77,41146.38,8554.32,398475.12,23582.37,2374,38584
00:00.0,368173.84,160487.26,47243,38975,145533.53,124754.53,147283,35732.73,9226.43,537887.53,56026.23,2736,52453
00:00.0,312284.98,138524.93,39393,34258,109247.35,104123.08,130945.58,34401.85,12411.1,463221.01,53586.41,2465,47038
00:00.0,337792.64,142385.98,38827,35275,124447.21,104781.36,135931.04,37604.62,9923.2,490101.82,47870.67,2492,49454
00:00.0,656040.07,319329.35,76303,76129,245779.16,244352.08,313780.38,74977.27,13668.58,989038,206779.65,4838,98094
00:00.0,549673.71,389754.89,55649,93351,241718.16,296005.59,214040.65,93749.3,19141.56,958570.16,54610.97,5954,103833
00:00.0,475266.28,313721.59,46037,77128,191501.55,225551.91,191369.69,88169.68,16465.2,805453.07,43540.98,5037,87338
00:00.0,392174.15,183215.64,39947,46303,171839.89,124653.81,134660.17,58561.83,11474.81,586864.6,31404.12,3457,60791
00:00.0,452179.37,147325.37,45550,36022,252183.35,109937.57,128121.08,37387.8,8006.18,607510.92,91561.58,2557,55587
00:00.0,338782.51,130244.49,35029,32455,155236.25,94046.37,112890.28,36198.12,7821.35,476848.35,64703.31,2581,46964
00:00.0,346144.14,133934.56,38142,35408,142519.93,94670.02,129512.59,39264.54,7368.81,487447.51,66482.38,2794,49770
00:00.0,507543.76,293444.5,47758,70792,246386.7,221077.22,183189.78,72367.28,11022.82,812011.08,110928.82,4327,87216
00:00.0,613155.97,435780.45,55154,105796,292951.67,328442.4,223981.93,107338.05,15689.9,1064626.32,125143.5,7063,115930
00:00.0,462567.63,286271.62,43590,71539,185640.7,205201.14,186451.9,81070.48,13657.03,762496.28,85335.82,5061,81898
00:00.0,374002.29,128609.79,35460,33987,188977.65,84784.08,113895.95,43825.71,7529.27,510141.35,50795.18,2698,49003
00:00.0,497537.15,135037.68,64775,34176,304727.94,96068.44,109572.76,38969.24,7883.84,640458.67,68163.27,2538,54732
00:00.0,382128.04,118975.16,48371,30729,191159.88,80487.01,103560.72,38488.15,5897.43,507000.63,56274.8,2359,46905
00:00.0,384058.52,125421.63,42831,31984,179760.15,83168.71,116460.01,42252.92,7328.51,516808.66,63648.76,2443,48838
00:00.0,632214.6,285818,59949,69227,346100.14,206665.56,182161.31,79152.44,10046.24,928078.84,101452.3,4687,90793
00:00.0,703034.01,400294.15,63040,96813,371239.46,288644.14,219753.48,111650.01,13815.19,1117143.35,105201.82,6860,112992
00:00.0,555130.9,297983.42,54226,73331,255627.34,204804.11,186510.86,93179.31,13970.22,867084.54,86361.35,5330,88278
00:00.0,365014.32,110861.24,37567,29093,174710.95,67485.29,107998.75,43375.95,6752.96,482628.52,56056.17,2549,45400
00:00.0,564176.59,153055.92,55814,37595,341575.24,115301.43,144589.08,37754.49,8055.47,725287.98,136402.31,3269,61801
00:00.0,457382.42,140170.89,48035,33206,219728.54,99820.73,157242.01,40350.16,9392.33,606945.64,125858.72,2498,54252
00:00.0,448583.49,141332.66,47080,33559,198500.99,96013.66,159022.23,45319,9668.86,599585.01,124142.08,2456,55175
00:00.0,660088.2,303849.38,62594,68529,348762.46,222137.37,213813.8,81712.01,10277.36,974214.94,158509.49,4001,94938
00:00.0,784066.98,433555.69,75576,97094,416362.76,319021.55,261073.03,114534.14,16069.38,1233692.05,193000.88,5706,122177
00:00.0,467519.36,197890.2,48314,46235,201629.05,132166.49,173766.86,65723.71,10909,676318.56,121020.46,2980,64745
00:00.0,404351.09,132231.31,43406,31160,183067.75,84906.01,139443.36,47325.3,7234.57,543816.97,96394.41,2292,50277
00:00.0,541244.03,140034.19,60551,31680,271453.58,96043.13,187550.14,43991.06,7264.34,688542.56,120817.94,2522,57244
00:00.0,413037,127751.26,46336,29203,173562.82,83583.99,157532.58,44167.27,7741.99,548530.25,91000.43,2293,50045
00:00.0,437584.85,155299,48086,35449,175742.25,100389.62,170211.4,54909.38,7595.57,600479.42,86015.74,2666,56297
00:00.0,659699.95,292360.28,69454,64335,301584.04,206948.61,262293.36,85411.67,11866.41,963926.64,155322.34,4076,93161
00:00.0,743306.04,397563.36,72524,87582,350224.01,280267.82,285790.68,117295.54,15732.2,1156601.6,148393.79,5532,114653
00:00.0,620565.19,286087.53,64395,64423,247036.01,190338.15,264612.48,95749.38,14159.84,920812.56,136363.4,4406,88130
00:00.0,534743.78,116997.39,52307,27566,295485.55,69268.81,146235.96,47728.58,7302.34,659043.51,75875.16,2341,57209
