Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,Delivery,Action,Action_mean,Deliverble_mean,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS
2021-01-01,DEEPAKNTR,EQ,941.85,949.0,999.0,946.95,998.9,987.85,978.75,2415931,236458598565000.0,74407,487802,20.19,32.47,18.22,29.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,DEEPAKNTR,EQ,987.85,1004.2,1041.2,985.9,1040.95,1034.05,1015.82,1999748,203137710825000.0,76910,420046,21.0,26.0,18.22,29.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,DEEPAKNTR,EQ,1034.05,1034.0,1054.0,1004.2,1013.0,1013.7,1028.12,1332215,136967408950000.0,74347,443278,33.27,17.92,18.22,29.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,DEEPAKNTR,EQ,1013.7,1015.3,1041.7,1007.1,1033.0,1033.1,1026.62,863571,88655836695000.0,35039,260556,30.17,24.65,18.22,29.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,DEEPAKNTR,EQ,1033.1,1036.0,1072.5,1036.0,1063.0,1059.5,1060.32,1276096,135306977034999.98,49979,421471,33.03,25.53,18.22,29.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,DEEPAKNTR,EQ,1059.5,1086.0,1086.0,1040.1,1057.0,1054.65,1058.11,655421,69350930260000.0,29828,212699,32.45,21.97,18.22,29.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,DEEPAKNTR,EQ,1054.65,1060.5,1063.0,1020.0,1029.95,1028.15,1033.94,726331,75098098770000.0,62459,374427,51.55,11.63,18.22,29.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,DEEPAKNTR,EQ,1028.15,1033.3,1040.0,1022.75,1028.6,1028.2,1030.55,516550,53233015880000.0,39530,211566,40.96,13.07,18.22,29.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,DEEPAKNTR,EQ,1028.2,1033.5,1043.8,1015.0,1030.1,1027.5,1024.72,737911,75615031835000.0,48050,370391,50.19,15.36,18.22,29.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,DEEPAKNTR,EQ,1027.5,1030.1,1043.0,1017.95,1039.0,1035.6,1028.14,347795,35758303845000.0,28695,152798,43.93,12.12,18.22,29.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,DEEPAKNTR,EQ,1035.6,1039.0,1040.85,1011.0,1019.0,1022.2,1024.83,370563,37976237465000.0,43309,175239,47.29,8.56,18.22,29.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-18,DEEPAKNTR,EQ,1022.2,1012.5,1033.95,1004.0,1011.0,1011.6,1014.23,1006666,102098790895000.0,46224,553934,55.03,21.78,18.22,29.51,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-01-19,DEEPAKNTR,EQ,1011.6,1021.0,1031.0,1011.0,1015.5,1014.5,1019.41,934269,95240191200000.0,29902,696600,74.56,31.24,18.22,29.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-20,DEEPAKNTR,EQ,1014.5,1017.5,1022.9,1000.1,1010.0,1009.3,1008.11,746794,75284728540000.0,42172,503202,67.38,17.71,18.22,29.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-21,DEEPAKNTR,EQ,1009.3,1013.8,1018.8,1007.0,1015.0,1013.15,1011.9,420354,42535567325000.0,34014,223474,53.16,12.36,18.22,29.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0
2021-01-22,DEEPAKNTR,EQ,1013.15,1014.0,1015.8,987.0,1000.0,1001.0,1001.19,609335,61005945300000.0,40136,331310,54.37,15.18,18.22,29.51,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-25,DEEPAKNTR,EQ,1001.0,1011.25,1012.4,981.65,983.3,986.2,995.38,363962,36227890425000.0,26418,145567,40.0,13.78,18.22,29.51,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
