Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,Delivery,Action,Action_mean,Deliverble_mean,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS
2021-01-01,GRANULES,EQ,352.15,354.7,361.75,353.65,359.9,359.3,358.62,823685,29538719335000.004,16676,324485,39.39,49.39,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,GRANULES,EQ,359.3,362.8,365.25,356.0,361.0,360.75,360.56,1090723,39327226705000.0,24614,575182,52.73,44.31,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,GRANULES,EQ,360.75,359.95,359.95,355.0,356.1,357.0,357.27,1122906,40117840850000.0,21158,680265,60.58,53.07,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,GRANULES,EQ,357.0,357.0,363.0,353.0,357.55,357.95,358.74,1062823,38128006700000.0,25518,506770,47.68,41.65,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,GRANULES,EQ,357.95,360.25,373.45,360.0,365.4,365.25,368.06,2880264,106011168390000.0,84161,1562709,54.26,34.22,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,GRANULES,EQ,365.25,369.0,370.1,365.5,365.5,367.45,368.11,927356,34136937095000.0,25163,538007,58.02,36.85,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,GRANULES,EQ,367.45,368.95,369.5,360.0,362.9,361.95,363.65,837144,30442554160000.004,19897,471082,56.27,42.07,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,GRANULES,EQ,361.95,362.5,367.8,360.05,361.5,361.55,362.95,748953,27183344075000.0,20182,382771,51.11,37.11,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,GRANULES,EQ,361.55,361.1,371.9,361.1,368.0,368.5,367.09,2222315,81579957865000.0,51670,828680,37.29,43.01,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,GRANULES,EQ,368.5,373.0,376.85,365.0,365.5,366.35,370.51,2045969,75805900980000.0,46471,897830,43.88,44.03,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,GRANULES,EQ,366.35,366.95,366.95,355.0,357.4,356.05,359.24,1053020,37828548840000.0,24684,547560,52.0,42.66,74.05,32.6,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-200,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-18,GRANULES,EQ,356.05,356.05,357.0,342.0,346.05,345.4,347.72,885189,30779511045000.0,22792,427655,48.31,38.84,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-19,GRANULES,EQ,345.4,351.45,354.05,346.05,351.8,350.35,350.22,591492,20715496705000.0,11964,223561,37.8,49.44,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,-100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-01-20,GRANULES,EQ,350.35,352.0,354.9,347.0,348.5,348.7,350.13,756768,26496528970000.0,16345,361677,47.79,46.3,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-21,GRANULES,EQ,348.7,351.2,352.0,338.05,342.2,340.25,344.73,1072196,36961864305000.0,24835,572537,53.4,43.17,74.05,32.6,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-200,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-22,GRANULES,EQ,340.25,341.0,341.95,333.9,339.9,337.3,336.9,1260174,42455239605000.0,26130,733961,58.24,48.23,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-25,GRANULES,EQ,337.3,338.1,351.1,337.85,350.4,348.7,344.4,1519515,52331359995000.0,32431,704062,46.33,46.85,74.05,32.6,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-27,GRANULES,EQ,348.7,350.3,365.9,348.55,356.5,354.75,357.37,3029191,108255019615000.02,65771,1221159,40.31,46.06,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-28,GRANULES,EQ,354.75,356.0,366.9,347.05,351.55,353.55,357.61,3161332,113053211780000.0,60621,980980,31.03,52.15,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-01-29,GRANULES,EQ,353.55,353.5,353.5,335.2,335.8,337.2,340.25,1852579,63033752975000.0,43834,1005503,54.28,42.26,74.05,32.6,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,GRANULES,EQ,337.2,338.0,338.0,324.0,326.35,325.6,327.14,1466352,47970007590000.0,34627,770718,52.56,42.35,74.05,32.6,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-02,GRANULES,EQ,325.6,330.0,335.7,318.5,319.45,319.75,325.73,1641835,53480064425000.0,38681,900907,54.87,42.45,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03,GRANULES,EQ,319.75,322.75,346.85,322.75,346.05,343.6,338.04,2970266,100407449950000.0,44459,996946,33.56,66.81,74.05,32.6,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-04,GRANULES,EQ,343.6,344.0,356.0,344.0,348.0,347.6,350.7,2076164,72811104620000.0,31781,697750,33.61,65.33,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0
2021-02-05,GRANULES,EQ,347.6,350.0,350.0,335.7,337.15,336.85,339.76,1386733,47115822380000.0,27995,683942,49.32,49.54,74.05,32.6,0,0,0,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-08,GRANULES,EQ,336.85,339.5,340.2,329.2,332.5,331.6,333.14,1063934,35443984555000.0,21463,534367,50.23,49.57,74.05,32.6,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2021-02-09,GRANULES,EQ,331.6,331.95,333.8,326.25,328.1,326.9,328.55,1168863,38402868990000.0,26430,603960,51.67,44.22,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2021-02-10,GRANULES,EQ,326.9,333.0,342.95,332.8,337.8,338.5,338.3,2110573,71401587155000.0,37002,603594,28.6,57.04,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-11,GRANULES,EQ,338.5,338.5,338.5,329.05,330.25,330.05,331.54,1140530,37813264605000.0,29092,651703,57.14,39.2,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2021-02-12,GRANULES,EQ,330.05,330.3,338.1,330.05,335.25,336.15,335.22,1059556,35518373385000.0,18003,429426,40.53,58.85,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-15,GRANULES,EQ,336.15,338.5,354.5,336.0,353.0,351.95,348.69,3190427,111248415750000.0,56000,1285771,40.3,56.97,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-16,GRANULES,EQ,351.95,352.95,358.65,345.2,352.15,351.0,352.05,1317585,46385820485000.0,25880,487710,37.02,50.91,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-02-17,GRANULES,EQ,351.0,351.75,353.1,340.0,341.5,340.85,343.55,1444212,49615686040000.0,38206,592609,41.03,37.8,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-18,GRANULES,EQ,340.85,343.5,344.0,335.0,335.95,335.8,338.33,1554700,52599438270000.0,34015,948797,61.03,45.71,74.05,32.6,0,0,0,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-19,GRANULES,EQ,335.8,335.8,336.45,328.0,330.9,329.65,330.7,1223595,40464860215000.0,31499,670772,54.82,38.85,74.05,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2021-02-22,GRANULES,EQ,329.65,330.8,331.3,320.15,322.0,321.15,324.27,1146022,37161566895000.0,30463,575821,50.25,37.62,74.05,32.6,0,0,0,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
