Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,Delivery,Action,Action_mean,Deliverble_mean,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS
2021-01-01,JSWSTEEL,EQ,387.2,387.25,391.5,384.6,388.5,389.7,388.46,4461761,173320477385000.0,37517,361794,8.11,118.93,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,JSWSTEEL,EQ,389.7,392.0,405.1,391.1,403.65,403.1,398.3,8872723,353398454265000.0,71672,1014504,11.43,123.8,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,JSWSTEEL,EQ,403.1,400.0,401.0,391.6,395.55,395.25,395.93,6190435,245099630510000.0,61887,809722,13.08,100.03,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,JSWSTEEL,EQ,395.25,397.2,407.35,395.75,400.5,401.7,400.59,7910567,316888619565000.0,75979,812527,10.27,104.12,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,JSWSTEEL,EQ,401.7,404.0,413.1,403.15,404.45,405.4,408.45,10231006,417889703640000.0,121482,2081830,20.35,84.22,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,JSWSTEEL,EQ,405.4,410.3,410.45,398.5,402.1,402.85,404.96,7559664,306136972690000.0,96666,1978015,26.17,78.2,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,JSWSTEEL,EQ,402.85,402.85,404.95,392.65,399.7,399.05,397.91,4822618,191898218655000.0,48223,868394,18.01,100.01,78.78,22.27,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,JSWSTEEL,EQ,399.05,398.95,412.95,397.05,398.6,399.55,405.37,6708618,271949639715000.0,58096,883596,13.17,115.47,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,JSWSTEEL,EQ,399.55,401.55,407.4,394.15,401.8,402.95,402.64,6885599,277239292700000.0,56926,1044783,15.17,120.96,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,JSWSTEEL,EQ,402.95,404.35,405.65,394.0,396.25,396.4,396.82,4886430,193904839250000.0,60697,948104,19.4,80.51,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,JSWSTEEL,EQ,396.4,398.0,402.55,391.2,394.3,394.2,396.53,7329969,290657844560000.0,67977,930399,12.69,107.83,78.78,22.27,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-18,JSWSTEEL,EQ,394.2,393.5,394.0,375.5,377.45,383.1,382.88,10605461,406061612040000.0,80269,4135365,38.99,132.12,78.78,22.27,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-19,JSWSTEEL,EQ,383.1,386.2,397.75,381.6,395.65,395.4,390.2,5842513,227977475019999.97,55051,827852,14.17,106.13,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100
2021-01-20,JSWSTEEL,EQ,395.4,395.0,402.9,393.45,398.4,400.9,399.16,5604951,223727496700000.0,49112,1455566,25.97,114.13,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-21,JSWSTEEL,EQ,400.9,402.5,405.0,388.95,396.0,393.3,397.14,7085945,281410635594999.97,67730,917861,12.95,104.62,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-22,JSWSTEEL,EQ,393.3,396.0,397.45,372.2,377.7,375.4,383.8,8779405,336952867840000.0,74367,1056405,12.03,118.06,78.78,22.27,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-25,JSWSTEEL,EQ,375.4,388.0,394.95,371.45,382.55,382.45,382.91,17874949,684447966805000.0,164936,1588855,8.89,108.38,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-01-27,JSWSTEEL,EQ,382.45,380.6,382.0,371.55,374.0,376.25,377.59,8576326,323829790515000.0,93894,1791799,20.89,91.34,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-28,JSWSTEEL,EQ,376.25,371.0,380.85,369.6,375.35,376.3,374.3,6969457,260865430800000.0,68667,1449765,20.8,101.5,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-29,JSWSTEEL,EQ,376.3,382.05,382.55,363.2,365.3,366.85,372.53,7981367,297332771030000.0,66969,2107988,26.41,119.18,78.78,22.27,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,JSWSTEEL,EQ,366.85,366.5,384.4,363.65,381.0,380.85,372.21,6141212,228582845030000.03,62448,884581,14.4,98.34,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-02,JSWSTEEL,EQ,380.85,384.65,391.7,376.7,389.0,389.0,384.76,7450391,286663415210000.0,62118,1398475,18.77,119.94,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03,JSWSTEEL,EQ,389.0,386.2,398.45,384.7,393.0,392.9,392.88,6063017,238205121440000.0,57075,861362,14.21,106.23,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-04,JSWSTEEL,EQ,392.9,392.9,402.0,390.45,400.9,400.3,398.47,6283280,250368133469999.97,59704,1773999,28.23,105.24,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2021-02-05,JSWSTEEL,EQ,400.3,403.0,406.6,389.15,402.85,402.2,400.05,9008833,360401451315000.0,76433,949189,10.54,117.87,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-02-08,JSWSTEEL,EQ,402.2,404.55,419.25,401.2,416.25,417.65,411.42,9008722,370635217695000.0,83516,1628712,18.08,107.87,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-09,JSWSTEEL,EQ,417.65,417.0,420.0,401.85,408.0,406.45,412.41,7961747,328350967675000.0,78448,1259091,15.81,101.49,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-10,JSWSTEEL,EQ,406.45,410.0,413.95,400.0,408.6,410.75,407.37,8008124,326229370610000.0,76048,1075432,13.43,105.3,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-02-11,JSWSTEEL,EQ,410.75,408.2,415.5,404.95,407.8,408.85,409.85,3598146,147469806865000.0,38091,571033,15.87,94.46,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-02-12,JSWSTEEL,EQ,408.85,407.85,410.9,402.6,403.05,403.8,406.52,4667663,189748167470000.0,39630,1391336,29.81,117.78,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2021-02-15,JSWSTEEL,EQ,403.8,405.1,407.85,401.0,402.6,403.7,404.62,4678133,189288938820000.0,41254,1111379,23.76,113.4,78.78,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0
