Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,Delivery,Action,Action_mean,Deliverble_mean,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS
2021-01-01,JUBLFOOD,EQ,2791.15,2803.0,2834.15,2787.25,2792.0,2792.8,2803.33,1003254,281244995544999.97,52537,124283,12.39,19.1,13.9,30.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,JUBLFOOD,EQ,2792.8,2795.55,2816.45,2740.6,2751.5,2747.3,2767.11,754546,208791198345000.0,41311,196092,25.99,18.27,13.9,30.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,JUBLFOOD,EQ,2747.3,2750.0,2837.2,2747.3,2777.0,2775.65,2792.67,1521437,424887313790000.0,67792,305213,20.06,22.44,13.9,30.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,JUBLFOOD,EQ,2775.65,2800.0,2856.05,2747.1,2790.0,2788.6,2802.3,1028625,288251242430000.0,49075,130755,12.71,20.96,13.9,30.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,JUBLFOOD,EQ,2788.6,2815.0,2888.0,2806.0,2867.45,2862.05,2854.54,1524648,435216944095000.0,62112,447620,29.36,24.55,13.9,30.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,JUBLFOOD,EQ,2862.05,2900.0,2948.0,2877.35,2900.0,2912.6,2915.76,1399726,408126357405000.0,63934,331844,23.71,21.89,13.9,30.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,JUBLFOOD,EQ,2912.6,2930.0,2988.1,2914.0,2915.0,2926.45,2954.15,1177123,347739655455000.0,55354,255786,21.73,21.27,13.9,30.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,JUBLFOOD,EQ,2926.45,2921.0,2925.85,2855.05,2877.7,2878.05,2882.58,737264,212522370155000.0,39653,161350,21.88,18.59,13.9,30.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,JUBLFOOD,EQ,2878.05,2881.0,2916.0,2781.1,2835.0,2835.6,2843.28,783503,222771972465000.0,40899,186069,23.75,19.16,13.9,30.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,JUBLFOOD,EQ,2835.6,2847.0,2863.25,2745.05,2780.0,2783.6,2777.18,820609,227897491315000.0,41851,205634,25.06,19.61,13.9,30.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,JUBLFOOD,EQ,2783.6,2818.0,2818.0,2703.0,2721.35,2733.05,2736.5,806132,220597864265000.0,50174,157058,19.48,16.07,13.9,30.28,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-18,JUBLFOOD,EQ,2733.05,2729.95,2831.0,2715.0,2793.8,2802.4,2783.72,1416622,394347958455000.0,68249,299667,21.15,20.76,13.9,30.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-19,JUBLFOOD,EQ,2802.4,2795.0,2831.0,2751.0,2802.0,2801.75,2777.24,964143,267765691215000.0,51885,228116,23.66,18.58,13.9,30.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-100,-100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-01-20,JUBLFOOD,EQ,2801.75,2810.0,2853.45,2782.9,2817.95,2810.85,2821.56,781854,220604726860000.0,47140,141920,18.15,16.59,13.9,30.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-01-21,JUBLFOOD,EQ,2810.85,2820.0,2868.6,2745.0,2781.2,2765.05,2803.66,810613,227268460119999.97,48727,192626,23.76,16.64,13.9,30.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-22,JUBLFOOD,EQ,2765.05,2795.0,2837.7,2733.7,2747.0,2746.2,2783.03,934072,259955181535000.0,60702,124974,13.38,15.39,13.9,30.28,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-25,JUBLFOOD,EQ,2746.2,2762.2,2773.85,2680.0,2706.0,2719.7,2727.4,675074,184119413665000.0,33235,98552,14.6,20.31,13.9,30.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-27,JUBLFOOD,EQ,2719.7,2719.7,2726.9,2626.55,2638.05,2638.15,2669.45,489580,130690939150000.0,29962,80666,16.48,16.34,13.9,30.28,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-28,JUBLFOOD,EQ,2638.15,2588.5,2722.0,2585.9,2702.15,2708.7,2670.61,885156,236390422710000.0,48878,117911,13.32,18.11,13.9,30.28,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-29,JUBLFOOD,EQ,2708.7,2709.0,2735.0,2570.0,2598.0,2590.15,2657.98,782734,208049391850000.0,38134,209599,26.78,20.53,13.9,30.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,JUBLFOOD,EQ,2590.15,2630.0,2647.0,2543.95,2622.6,2612.75,2599.98,742008,192920400660000.0,33352,261696,35.27,22.25,13.9,30.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
