Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,Delivery,Action,Action_mean,Deliverble_mean,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS
2021-01-01,ULTRACEMCO,EQ,5288.15,5316.9,5349.0,5279.3,5292.0,5290.8,5312.45,355623,188922868345000.0,25050,60684,17.06,14.2,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,ULTRACEMCO,EQ,5290.8,5306.95,5386.85,5292.05,5336.95,5327.2,5329.42,453783,241839915365000.0,33779,124119,27.35,13.43,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,ULTRACEMCO,EQ,5327.2,5336.0,5372.9,5245.05,5336.0,5341.2,5317.57,530958,282340466650000.0,42502,170762,32.16,12.49,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,ULTRACEMCO,EQ,5341.2,5360.0,5468.5,5300.0,5443.15,5448.35,5374.13,701452,376969431620000.0,56126,180085,25.67,12.5,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,ULTRACEMCO,EQ,5448.35,5475.0,5517.7,5385.0,5405.2,5397.95,5463.3,742403,405597366555000.0,54341,188640,25.41,13.66,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,ULTRACEMCO,EQ,5397.95,5419.0,5613.3,5417.55,5584.95,5591.75,5541.78,802681,444828197575000.0,61053,310667,38.7,13.15,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,ULTRACEMCO,EQ,5591.75,5550.0,5696.75,5504.95,5618.1,5623.7,5618.73,714576,401500964955000.0,47720,222858,31.19,14.97,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,ULTRACEMCO,EQ,5623.7,5624.8,5695.95,5551.0,5670.0,5639.0,5607.08,591436,331622630365000.0,56380,234458,39.64,10.49,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,ULTRACEMCO,EQ,5639.0,5650.0,5674.0,5600.0,5645.5,5650.75,5639.82,423240,238699865919999.97,43625,129653,30.63,9.7,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,ULTRACEMCO,EQ,5650.75,5645.0,5674.0,5560.0,5578.05,5582.35,5584.92,464204,259254086490000.0,41783,211370,45.53,11.11,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,ULTRACEMCO,EQ,5582.35,5587.0,5656.75,5425.75,5447.0,5452.25,5483.08,589866,323428248480000.0,55347,235790,39.97,10.66,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-18,ULTRACEMCO,EQ,5452.25,5440.0,5461.8,5326.45,5362.0,5386.0,5385.5,461596,248592308094999.97,47892,172199,37.31,9.64,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-19,ULTRACEMCO,EQ,5386.0,5400.1,5535.0,5393.75,5500.0,5490.1,5478.52,483417,264840767280000.03,44665,173720,35.94,10.82,9.16,42.76,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100
2021-01-20,ULTRACEMCO,EQ,5490.1,5514.0,5554.25,5463.9,5532.3,5547.1,5513.07,321063,177004364555000.0,28348,107560,33.5,11.33,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-21,ULTRACEMCO,EQ,5547.1,5599.0,5647.0,5511.4,5560.0,5543.45,5584.99,481346,268831191219999.97,52488,143511,29.81,9.17,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-22,ULTRACEMCO,EQ,5543.45,5578.0,5595.0,5468.05,5580.75,5534.8,5538.43,680688,376994274030000.0,69061,310870,45.67,9.86,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-25,ULTRACEMCO,EQ,5534.8,5745.0,5831.8,5326.65,5371.95,5368.4,5615.98,3236487,1817604426900000.0,229469,490889,15.17,14.1,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-27,ULTRACEMCO,EQ,5368.4,5380.0,5519.9,5330.35,5430.0,5404.85,5445.4,1212604,660310893095000.0,116760,248534,20.5,10.39,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-01-28,ULTRACEMCO,EQ,5404.85,5350.0,5469.95,5340.0,5430.0,5443.7,5405.45,576548,311650149295000.0,54470,165057,28.63,10.58,9.16,42.76,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-29,ULTRACEMCO,EQ,5443.7,5489.0,5509.7,5288.0,5323.4,5327.25,5412.25,745559,403515536510000.0,59933,290436,38.96,12.44,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,ULTRACEMCO,EQ,5327.25,5384.0,5793.25,5260.0,5750.0,5744.15,5589.68,1455212,813417135025000.0,120882,529211,36.37,12.04,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-02,ULTRACEMCO,EQ,5744.15,5785.0,6199.0,5785.0,6145.05,6123.55,6071.48,2251712,1367122139960000.0,167974,613905,27.26,13.41,9.16,42.76,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03,ULTRACEMCO,EQ,6123.55,6155.0,6238.0,6040.0,6063.15,6074.7,6115.24,952770,582641464840000.0,90541,343647,36.07,10.52,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-04,ULTRACEMCO,EQ,6074.7,6093.0,6210.0,6041.55,6199.0,6182.8,6139.25,683257,419468743455000.0,64913,281104,41.14,10.53,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-05,ULTRACEMCO,EQ,6182.8,6180.0,6399.0,6120.0,6346.15,6352.1,6282.74,1174059,737630659095000.0,89391,347684,29.61,13.13,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-08,ULTRACEMCO,EQ,6352.1,6379.85,6485.0,6318.0,6380.0,6368.15,6412.65,769441,493415409150000.0,79238,172237,22.38,9.71,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-02-09,ULTRACEMCO,EQ,6368.15,6424.8,6480.0,6371.85,6441.1,6420.4,6432.67,947676,609608425855000.0,85676,407830,43.03,11.06,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-02-10,ULTRACEMCO,EQ,6420.4,6441.1,6589.0,6321.1,6386.3,6392.15,6462.02,1045511,675611802935000.0,89141,204547,19.56,11.73,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-02-11,ULTRACEMCO,EQ,6392.15,6399.5,6468.0,6369.3,6413.4,6427.15,6427.29,390465,250963299585000.0,30926,68854,17.63,12.63,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0
2021-02-12,ULTRACEMCO,EQ,6427.15,6439.9,6480.0,6366.95,6404.0,6397.25,6417.42,408867,262386983344999.97,39094,79099,19.35,10.46,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2021-02-15,ULTRACEMCO,EQ,6397.25,6435.0,6463.95,6387.1,6409.05,6407.75,6420.45,277851,178392885790000.0,22436,77211,27.79,12.38,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2021-02-16,ULTRACEMCO,EQ,6407.75,6448.0,6550.0,6409.95,6457.85,6457.8,6490.17,595723,386634106265000.0,50500,139298,23.38,11.8,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-02-17,ULTRACEMCO,EQ,6457.8,6457.8,6544.5,6390.95,6424.25,6419.2,6454.9,555520,358582417360000.0,60373,236353,42.55,9.2,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-18,ULTRACEMCO,EQ,6419.2,6492.3,6492.3,6301.0,6323.05,6325.85,6362.41,573974,365185926040000.0,49452,243148,42.36,11.61,9.16,42.76,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-200,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-19,ULTRACEMCO,EQ,6325.85,6315.0,6318.65,6175.0,6203.05,6208.5,6242.82,499669,311934239170000.0,46746,186889,37.4,10.69,9.16,42.76,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-22,ULTRACEMCO,EQ,6208.5,6215.0,6284.95,6108.65,6155.0,6175.1,6201.77,528408,327706589730000.0,46771,189509,35.86,11.3,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-02-23,ULTRACEMCO,EQ,6175.1,6186.0,6347.9,6131.05,6278.0,6268.45,6248.83,453805,283575136960000.0,37228,100638,22.18,12.19,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,ULTRACEMCO,EQ,6268.45,6319.0,6450.0,6210.0,6406.0,6414.55,6357.4,378560,240665677505000.03,33333,144675,38.22,11.36,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-25,ULTRACEMCO,EQ,6414.55,6406.0,6468.0,6338.45,6441.1,6383.3,6385.03,803072,512764193330000.0,45582,378510,47.13,17.62,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-02-26,ULTRACEMCO,EQ,6383.3,6370.0,6489.0,6060.0,6088.0,6115.0,6276.18,1307673,820719574855000.0,89169,557419,42.63,14.67,9.16,42.76,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,ULTRACEMCO,EQ,6115.0,6218.8,6389.8,6170.6,6362.0,6365.05,6301.85,609302,383972892340000.0,61796,176238,28.92,9.86,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-02,ULTRACEMCO,EQ,6365.05,6375.0,6473.85,6312.1,6430.0,6423.1,6408.76,438046,280733308210000.0,55717,161232,36.81,7.86,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-03-03,ULTRACEMCO,EQ,6423.1,6450.0,6535.0,6431.0,6500.0,6500.5,6500.63,467421,303852882105000.0,51670,184004,39.37,9.05,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2021-03-04,ULTRACEMCO,EQ,6500.5,6429.0,6830.0,6394.45,6755.0,6775.55,6658.66,1303144,867719284060000.0,101102,371110,28.48,12.89,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-05,ULTRACEMCO,EQ,6775.55,6690.5,6944.2,6690.5,6800.0,6810.3,6843.07,1828811,1251467713430000.0,113303,527705,28.86,16.14,9.16,42.76,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-08,ULTRACEMCO,EQ,6810.3,6840.0,6847.9,6641.8,6691.85,6668.15,6701.45,658514,441300076620000.0,69237,227830,34.6,9.51,9.16,42.76,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-09,ULTRACEMCO,EQ,6668.15,6745.0,6824.0,6660.0,6703.6,6697.4,6738.47,483037,325492844490000.0,45434,127897,26.48,10.63,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-10,ULTRACEMCO,EQ,6697.4,6752.1,6789.0,6684.0,6751.2,6764.05,6742.13,302774,204134277155000.0,30468,74959,24.76,9.94,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-03-12,ULTRACEMCO,EQ,6764.05,6768.0,6853.65,6612.05,6627.25,6638.15,6708.56,673811,452030177150000.0,55382,334677,49.67,12.17,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-15,ULTRACEMCO,EQ,6638.15,6665.0,6678.85,6490.05,6560.0,6561.45,6548.53,349036,228567407190000.0,49688,110433,31.64,7.02,9.16,42.76,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-16,ULTRACEMCO,EQ,6561.45,6590.0,6703.0,6565.1,6650.0,6639.95,6651.79,614224,408569014470000.0,56159,268683,43.74,10.94,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-17,ULTRACEMCO,EQ,6639.95,6639.0,6670.0,6488.4,6519.0,6520.25,6575.69,443282,291488497215000.0,43319,170059,38.36,10.23,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-18,ULTRACEMCO,EQ,6520.25,6595.0,6636.65,6466.7,6524.75,6510.05,6552.67,345807,226596063094999.97,36910,105174,30.41,9.37,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2021-03-19,ULTRACEMCO,EQ,6510.05,6500.0,6700.0,6368.55,6675.0,6672.0,6548.64,654457,428580311770000.0,58999,235544,35.99,11.09,9.16,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-22,ULTRACEMCO,EQ,6672.0,6665.9,6785.0,6631.3,6732.8,6728.0,6703.96,467719,313556781570000.0,49924,103072,22.04,9.37,9.16,42.76,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-23,ULTRACEMCO,EQ,6728.0,6734.1,6958.75,6728.05,6900.1,6939.1,6854.8,890457,610390351580000.0,79506,350673,39.38,11.2,9.16,42.76,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
