,Date,Symbol,CDLDOJI,Close,return_5,return_10,return_15
22,2021-02-03,AARTIIND,100,1188.1,1.2751451897988542,3.716017170271879,3.57293157141656
24,2021-02-05,AARTIIND,100,1190.45,1.9908437985635796,-0.2142047125036739,3.742282330211255
25,2021-02-08,AARTIIND,100,1191.7,2.0349081144583447,2.5719560292019716,6.499118905764867
28,2021-02-11,AARTIIND,100,1209.2,1.6539861065167027,2.187396625868354,6.8433675157128615
29,2021-02-12,AARTIIND,100,1214.15,-2.1620063418852697,1.7172507515545776,3.586871473870601
30,2021-02-15,AARTIIND,100,1215.95,0.5263374316378133,4.375179900489323,3.5281055964472063
32,2021-02-17,AARTIIND,100,1232.25,-0.13795901805639943,5.558936904037326,3.570703996753899
38,2021-02-25,AARTIIND,100,1235.65,4.556306397442644,3.872455792497864,1.7076032857200607
46,2021-03-09,AARTIIND,100,1261.85,2.143677933193344,4.457740618932515,8.079407219558599
48,2021-03-12,AARTIIND,100,1283.5,-2.0841449162446457,2.98013245033113,5.625243474873387
65,2021-04-08,AARTIIND,100,1421.5,0.2638058389025755,4.963067182553638,15.599718607105162
71,2021-04-19,AARTIIND,100,1400.3,11.611797471970299,16.799971434692562,23.43069342283797
73,2021-04-22,AARTIIND,100,1418.15,9.787399076261316,25.938722984169505,20.57962838909846
86,2021-05-11,AARTIIND,100,1728.4,-3.621846794723449,-3.71152510992826,-3.401990280027778
87,2021-05-12,AARTIIND,100,1740.55,-2.2377983970583992,-4.691045933756566,-3.8292493751974854
96,2021-05-26,AARTIIND,100,1664.25,0.3214661258825302,8.964999248910921,9.833258224425423
104,2021-06-07,AARTIIND,100,1710.7,7.675220669901206,3.57748290173614,-49.26053662243526
111,2021-06-16,AARTIIND,100,1827.9,-52.71076098254828,-52.308660211171286,-52.77641008807922
114,2021-06-21,AARTIIND,100,1771.9,-51.01303685309555,-51.39680568880862,-51.921666008239754
119,2021-06-28,AARTIIND,100,868.0,-0.7834101382488412,-1.85483870967742,-1.7799539170506917
121,2021-06-30,AARTIIND,100,871.75,-0.9807857757384464,-1.439632922282763,1.0438772583883038
131,2021-07-14,AARTIIND,100,859.2,2.519785847299816,4.096834264432014,7.291666666666674
143,2021-08-02,AARTIIND,100,948.15,0.36913990402362984,-1.202341401676943,-2.863470969783255
151,2021-08-12,AARTIIND,100,926.6,0.3723289445283662,-0.010792143319671155,-1.43535506151522
153,2021-08-16,AARTIIND,100,936.75,-1.6813450760608473,0.14411529223379294,-3.4267413931144963
155,2021-08-18,AARTIIND,100,957.2,-5.260133723359806,-3.813205181780188,-4.972837442540746
162,2021-08-30,AARTIIND,100,933.15,-2.2075764882387605,-0.6644162246155383,-2.9148582757327235
163,2021-08-31,AARTIIND,100,938.1,-3.565717940518076,-0.11192836584587029,-2.4304445155100773
169,2021-09-08,AARTIIND,100,910.3,4.773151708228052,0.851367680984283,2.1476436339668226
191,2021-10-11,AARTIIND,100,1111.45,-0.8277475370012222,-8.727338161860631,-13.7882945701561
192,2021-10-12,AARTIIND,100,1109.25,-8.654496281271129,-8.640973630831649,-14.568402073473074
193,2021-10-13,AARTIIND,100,1108.0,-7.779783393501805,-11.547833935018058,-13.488267148014444
194,2021-10-14,AARTIIND,100,1107.45,-8.790464580793723,-12.94415097747077,-13.91936430538625
208,2021-11-04,AARTIIND,100,958.55,-1.0693234573053045,-4.809347451880431,-3.39053779145585
210,2021-11-09,AARTIIND,100,953.85,0.676206950778413,-1.3628977302510892,-0.42983697646380437
211,2021-11-10,AARTIIND,100,957.8,3.069534349551062,-0.9709751513885978,2.025475046982672
213,2021-11-12,AARTIIND,100,948.3,-3.7804492249288058,-2.346303912264047,0.9121585995992998
228,2021-12-06,AARTIIND,100,956.95,5.334656983123454,-4.927112179319726,1.1703850775902636
229,2021-12-07,AARTIIND,100,958.85,3.087031339625601,-3.290399958283363,3.227824998696338
232,2021-12-10,AARTIIND,100,975.9,-0.6096936161491873,-1.9776616456604112,2.9408750896608327
251,2022-01-06,AARTIIND,100,994.35,11.278724795092266,6.546990496304117,-0.261477347010608
256,2022-01-13,AARTIIND,100,1106.5,-4.252146407591506,-10.370537731586083,-9.362855851784913
257,2022-01-14,AARTIIND,100,1098.15,-7.121067249465007,-10.130674315894927,-8.951418294404235
287,2022-02-28,AARTIIND,100,926.15,-11.742158397667769,-7.207255844085736,-1.468444636397992
293,2022-03-09,AARTIIND,100,829.95,3.554430989818669,10.77775769624676,
13,2021-01-20,ABB,100,1393.1,-2.7492642308520554,8.969205369320221,2.1714162658818426
