"country","rank2019","rank2018","economicQuality","education","enterpriseConditions","governance","health","investmentEnvironment","livingConds","marketAccessInfra","naturalEnv","personalFreedom","safetySecurity","socialCapital"
"Denmark","1","2","8","3","7","3","8","6","1","8","10","2","5","2"
"Norway","2","1","12","11","9","1","5","2","7","15","7","1","2","1"
"Switzerland","3","3","2","12","3","7","3","13","4","7","5","12","1","8"
"Sweden","4","4","4","17","13","6","15","10","3","5","1","4","11","9"
"Finland","5","5","21","6","18","2","26","7","6","10","2","3","17","4"
"Netherlands","6","6","6","8","8","4","9","12","2","4","54","5","12","6"
"New Zealand","7","7","19","10","14","5","22","3","26","21","6","10","13","7"
"Germany","8","9","5","21","4","9","12","15","5","11","17","13","21","13"
"Luxembourg","9","8","7","33","16","8","19","22","9","2","9","8","3","21"
"Iceland","10","11","16","13","30","13","7","25","20","12","8","6","6","3"
"United Kingdom","11","10","15","15","6","11","23","4","8","9","24","15","16","14"
"Ireland","12","12","3","16","10","14","20","23","12","23","14","9","14","12"
"Austria","13","15","22","22","19","15","10","11","13","17","3","17","9","11"
"Canada","14","13","38","5","15","10","25","14","16","19","15","7","18","10"
"Hong Kong","15","14","9","4","1","16","6","5","14","3","28","41","4","28"
"Singapore","16","16","1","1","5","25","1","1","10","1","91","95","7","18"
"Australia","17","17","31","9","21","12","18","9","21","29","19","14","26","15"
"United States","18","18","17","14","2","21","59","8","29","6","25","22","58","16"
"Japan","19","19","26","7","11","18","2","17","19","13","23","31","10","132"
"Malta","20","20","14","35","22","23","14","33","11","33","41","18","19","17"
"Estonia","21","22","11","18","20","19","55","20","28","24","13","25","33","38"
"Belgium","22","21","33","19","17","17","24","24","18","16","47","16","29","45"
"France","23","23","37","29","26","20","16","18","17","14","16","23","30","41"
"Taiwan","24","24","25","28","12","24","31","19","41","27","88","26","8","49"
"Spain","25","25","47","23","29","27","13","27","15","22","43","19","32","30"
"Portugal","26","26","49","39","28","26","30","31","27","25","45","11","25","53"
"Slovenia","27","27","29","24","40","33","32","41","23","26","4","27","23","40"
"Czech Republic","28","28","13","26","35","31","28","26","32","35","18","32","20","112"
"South Korea","29","29","10","2","33","30","4","21","25","20","75","46","35","142"
"Italy","30","30","52","31","25","39","17","40","24","32","48","29","24","56"
"Israel","31","31","18","25","24","22","11","16","22","30","121","72","129","57"
"Slovakia","32","33","32","48","49","40","43","30","33","44","12","35","27","76"
"Lithuania","33","32","35","27","36","34","92","32","38","37","27","38","28","141"
"Cyprus","34","36","50","36","41","32","29","44","30","31","79","24","43","81"
"Latvia","35","35","34","30","37","37","87","34","40","40","11","39","34","130"
"Poland","36","34","39","34","32","38","40","38","31","42","62","62","22","111"
"Chile","37","37","51","46","39","28","70","37","44","34","55","28","66","65"
"Costa Rica","38","40","60","55","46","35","36","53","55","60","33","21","48","51"
