Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-04 21:26:41+00:00,1533198578797379584,@SLOinCZE @MZZRS @SloveniaInfo Thank you very much for being part of this event 🙏 We appreciate it and looking forward next year 🙂,Praha6,Praha 6,1,0,0,0,Oficiální Twitter MČ Praha 6. #Praha6 #Dejvice #Bubenec #Brevnov #Stresovice #Petriny #Liboc #Ruzyne #Vokovice #Hanspaulka #kulatak,1458,,thank you very much for being part of this event we appreciate it and looking forward next year,"['thank', 'you', 'very', 'much', 'for', 'being', 'part', 'of', 'this', 'event', 'we', 'appreciate', 'it', 'and', 'looking', 'forward', 'next', 'year']","['thank', 'much', 'part', 'event', 'appreciate', 'looking', 'forward', 'next', 'year']","['thank', 'much', 'part', 'event', 'appreci', 'look', 'forward', 'next', 'year']","['thank', 'much', 'part', 'event', 'appreciate', 'looking', 'forward', 'next', 'year']",5,Czech Republic
2022-06-04 12:14:51+00:00,1533059708030177280,"@Dm_me_your_dogs @Dm_me_your_dogs Hello, care to elaborate more on your thoughts? 🙂 We'd appreciate some detailed feedback 🍅",vigorthegame,"Brno, Czech Republic",0,2,0,0,"Outlive the apocalypse, Vigor is a free-to-play looter shooter in post-war Norway. Developed by @bohemiainteract
  
#VigorGame 🍅📻",26596,,hello care to elaborate more on your thoughts wed appreciate some detailed feedback,"['hello', 'care', 'to', 'elaborate', 'more', 'on', 'your', 'thoughts', 'wed', 'appreciate', 'some', 'detailed', 'feedback']","['hello', 'care', 'elaborate', 'thoughts', 'wed', 'appreciate', 'detailed', 'feedback']","['hello', 'care', 'elabor', 'thought', 'wed', 'appreci', 'detail', 'feedback']","['hello', 'care', 'elaborate', 'thoughts', 'wed', 'appreciate', 'detailed', 'feedback']",3,Czech Republic
2022-06-02 08:24:19+00:00,1532276916945838080,"Appreciate @AmarjeetSohiYEG's comments on releasing people from prison when they have nowhere to go. If the system is about rehabilitation, that must include assistance for reintegration into society - finding housing, employment, supports to avoid relapse. #RealTalkRJ",aggieloveseggs,"Brno, Czech Republic",6,1,0,0,Polish-Canadian awkwardly navigating life in the Czech Republic. Irrationally enamoured with Canadian Tire. she/her,2476,['RealTalkRJ'],appreciate comments on releasing people from prison when they have nowhere to go if the system is about rehabilitation that must include assistance for reintegration into society finding housing employment supports to avoid relapse realtalkrj,"['appreciate', 'comments', 'on', 'releasing', 'people', 'from', 'prison', 'when', 'they', 'have', 'nowhere', 'to', 'go', 'if', 'the', 'system', 'is', 'about', 'rehabilitation', 'that', 'must', 'include', 'assistance', 'for', 'reintegration', 'into', 'society', 'finding', 'housing', 'employment', 'supports', 'to', 'avoid', 'relapse', 'realtalkrj']","['appreciate', 'comments', 'releasing', 'people', 'prison', 'nowhere', 'go', 'system', 'rehabilitation', 'must', 'include', 'assistance', 'reintegration', 'society', 'finding', 'housing', 'employment', 'supports', 'avoid', 'relapse', 'realtalkrj']","['appreci', 'comment', 'releas', 'peopl', 'prison', 'nowher', 'go', 'system', 'rehabilit', 'must', 'includ', 'assist', 'reintegr', 'societi', 'find', 'hous', 'employ', 'support', 'avoid', 'relaps', 'realtalkrj']","['appreciate', 'comments', 'releasing', 'people', 'prison', 'nowhere', 'go', 'system', 'rehabilitation', 'must', 'include', 'assistance', 'reintegration', 'society', 'finding', 'housing', 'employment', 'supports', 'avoid', 'relapse', 'realtalkrj']",3,Czech Republic
2022-06-01 13:39:59+00:00,1531993965205020675,"That's a wrap on day 2 of the Advanced Materials and Recyclable Wind Turbine Blade Forum ……..Many thanks to all the attendees who have joined us, we really appreciate your active and attentive participation.

#recyclableblade #recyclablematerials #windturbine #windenergy #wind https://t.co/xgp1lSRvDG",leadvent,Prague,2,0,0,0,Leadvent Group is one of the world's leading #business to business #event management company based in #Europe,293,"['recyclableblade', 'recyclablematerials', 'windturbine', 'windenergy', 'wind']",thats a wrap on day 2 of the advanced materials and recyclable wind turbine blade forum many thanks to all the attendees who have joined us we really appreciate your active and attentive participation recyclableblade recyclablematerials windturbine windenergy wind,"['thats', 'a', 'wrap', 'on', 'day', '2', 'of', 'the', 'advanced', 'materials', 'and', 'recyclable', 'wind', 'turbine', 'blade', 'forum', 'many', 'thanks', 'to', 'all', 'the', 'attendees', 'who', 'have', 'joined', 'us', 'we', 'really', 'appreciate', 'your', 'active', 'and', 'attentive', 'participation', 'recyclableblade', 'recyclablematerials', 'windturbine', 'windenergy', 'wind']","['thats', 'wrap', 'day', '2', 'advanced', 'materials', 'recyclable', 'wind', 'turbine', 'blade', 'forum', 'many', 'thanks', 'attendees', 'joined', 'us', 'really', 'appreciate', 'active', 'attentive', 'participation', 'recyclableblade', 'recyclablematerials', 'windturbine', 'windenergy', 'wind']","['that', 'wrap', 'day', '2', 'advanc', 'materi', 'recycl', 'wind', 'turbin', 'blade', 'forum', 'mani', 'thank', 'attende', 'join', 'us', 'realli', 'appreci', 'activ', 'attent', 'particip', 'recyclableblad', 'recyclablemateri', 'windturbin', 'windenergi', 'wind']","['thats', 'wrap', 'day', '2', 'advanced', 'materials', 'recyclable', 'wind', 'turbine', 'blade', 'forum', 'many', 'thanks', 'attendees', 'joined', 'us', 'really', 'appreciate', 'active', 'attentive', 'participation', 'recyclableblade', 'recyclablematerials', 'windturbine', 'windenergy', 'wind']",5,Czech Republic
2022-05-31 21:27:47+00:00,1531749303776989185,"@PaulMoonPhotos @jlindsayfilm @ziotakes @bernabephoto @Intodaysnight @TS446photo Thank you for the tag Paul. 
Appreciate you. https://t.co/6lpZKU4og6",Vik_Vii7,Prague/Kathmandu,2,0,0,0,"Photographer • Dreamer • Moments from life • Nft's •
$WhaleCurated artist • Exhibiting artist",1818,,thank you for the tag paul appreciate you,"['thank', 'you', 'for', 'the', 'tag', 'paul', 'appreciate', 'you']","['thank', 'tag', 'paul', 'appreciate']","['thank', 'tag', 'paul', 'appreci']","['thank', 'tag', 'paul', 'appreciate']",5,Czech Republic
2022-04-08 14:28:22+00:00,1512437196556587014,This is appreciate post for @NanaVisitor  because i finish listening Gates McFadden Investigates: Who do you think you are? Where Nana share her story and i am blown away how she stay the amazing person that she is after what been through 💗 https://t.co/5Bah1Ah5tN,eli_in_cosplay,Česká republika,3,0,0,0,"Stargate Fan Trekkie 
part of the Trek tok crew on TikTok 
23 years old",158,,this is appreciate post for because i finish listening gates mcfadden investigates who do you think you are where nana share her story and i am blown away how she stay the amazing person that she is after what been through,"['this', 'is', 'appreciate', 'post', 'for', 'because', 'i', 'finish', 'listening', 'gates', 'mcfadden', 'investigates', 'who', 'do', 'you', 'think', 'you', 'are', 'where', 'nana', 'share', 'her', 'story', 'and', 'i', 'am', 'blown', 'away', 'how', 'she', 'stay', 'the', 'amazing', 'person', 'that', 'she', 'is', 'after', 'what', 'been', 'through']","['appreciate', 'post', 'finish', 'listening', 'gates', 'mcfadden', 'investigates', 'think', 'nana', 'share', 'story', 'blown', 'away', 'stay', 'amazing', 'person']","['appreci', 'post', 'finish', 'listen', 'gate', 'mcfadden', 'investig', 'think', 'nana', 'share', 'stori', 'blown', 'away', 'stay', 'amaz', 'person']","['appreciate', 'post', 'finish', 'listening', 'gates', 'mcfadden', 'investigates', 'think', 'nana', 'share', 'story', 'blown', 'away', 'stay', 'amazing', 'person']",4,Czech Republic
2022-02-11 08:05:44+00:00,1492047183616557093,@BlessCreatics Really appreciate the feedback 🙏 I'm targeting passionate expat business owners who want to stand out in a global market,_anna_kyriacou_,"Malaga, Spain",0,0,0,0,"Multinational Freelance Creator 🇿🇦🇬🇷🇨🇾🌍 Designer by profession 🎨 Artist at heart💚
Life is an adventure_dance_love_laugh_create👾
View my work below ⬇️",215,,really appreciate the feedback im targeting passionate expat business owners who want to stand out in a global market,"['really', 'appreciate', 'the', 'feedback', 'im', 'targeting', 'passionate', 'expat', 'business', 'owners', 'who', 'want', 'to', 'stand', 'out', 'in', 'a', 'global', 'market']","['really', 'appreciate', 'feedback', 'im', 'targeting', 'passionate', 'expat', 'business', 'owners', 'want', 'stand', 'global', 'market']","['realli', 'appreci', 'feedback', 'im', 'target', 'passion', 'expat', 'busi', 'owner', 'want', 'stand', 'global', 'market']","['really', 'appreciate', 'feedback', 'im', 'targeting', 'passionate', 'expat', 'business', 'owners', 'want', 'stand', 'global', 'market']",5,Czech Republic
2021-06-16 06:58:29+00:00,1405057172417941504,"‘Hold on to the now, the here’ #JamesJoyce this 2nd #Bloomsday we  appreciate each &amp; every front line worker fr making it possible for us to live safely again #COVID19 @NBurgessDFAT @JCGalway @eugenedownes @dfatirl @NLIreland @Buckledcranium @IrlEmbPrague https://t.co/K7eerYAeX9",CManahanIRL,Czech Republic,3,0,0,1,"Ambassador #CzechRepublic fmr Amb to #Denmark & #Iceland #foreign policy, #energy #green growth, #business #culture #creative #digital industries",2093,"['JamesJoyce', 'Bloomsday', 'COVID19']",hold on to the now the here jamesjoyce this 2nd bloomsday we appreciate each amp every front line worker fr making it possible for us to live safely again covid19,"['hold', 'on', 'to', 'the', 'now', 'the', 'here', 'jamesjoyce', 'this', '2nd', 'bloomsday', 'we', 'appreciate', 'each', 'amp', 'every', 'front', 'line', 'worker', 'fr', 'making', 'it', 'possible', 'for', 'us', 'to', 'live', 'safely', 'again', 'covid19']","['hold', 'jamesjoyce', '2nd', 'bloomsday', 'appreciate', 'amp', 'every', 'front', 'line', 'worker', 'fr', 'making', 'possible', 'us', 'live', 'safely', 'covid19']","['hold', 'jamesjoyc', '2nd', 'bloomsday', 'appreci', 'amp', 'everi', 'front', 'line', 'worker', 'fr', 'make', 'possibl', 'us', 'live', 'safe', 'covid19']","['hold', 'jamesjoyce', '2nd', 'bloomsday', 'appreciate', 'amp', 'every', 'front', 'line', 'worker', 'fr', 'making', 'possible', 'us', 'live', 'safely', 'covid19']",5,Czech Republic
2020-12-10 19:22:59+00:00,1337115613525905411,"I made a short dance film this semester whilst doing my MA at @TrinityLaban and it’s been one hell of a ride! I would appreciate any feedback or comments! Starring my beautiful friend Kristyna Kocianova❤️ give it a watch! #screendance #dance #shortfilm 
https://t.co/MgPd2AJgL9",iamcoolandtall,"London, England",2,2,0,0,🇨🇿🇬🇧 | she/her | Performer | Creator |     represented by @NGPersonalmng | Photographer @PavlinaPictures,422,"['screendance', 'dance', 'shortfilm']",i made a short dance film this semester whilst doing my ma at and its been one hell of a ride i would appreciate any feedback or comments starring my beautiful friend kristyna kocianova give it a watch screendance dance shortfilm,"['i', 'made', 'a', 'short', 'dance', 'film', 'this', 'semester', 'whilst', 'doing', 'my', 'ma', 'at', 'and', 'its', 'been', 'one', 'hell', 'of', 'a', 'ride', 'i', 'would', 'appreciate', 'any', 'feedback', 'or', 'comments', 'starring', 'my', 'beautiful', 'friend', 'kristyna', 'kocianova', 'give', 'it', 'a', 'watch', 'screendance', 'dance', 'shortfilm']","['made', 'short', 'dance', 'film', 'semester', 'whilst', 'one', 'hell', 'ride', 'would', 'appreciate', 'feedback', 'comments', 'starring', 'beautiful', 'friend', 'kristyna', 'kocianova', 'give', 'watch', 'screendance', 'dance', 'shortfilm']","['made', 'short', 'danc', 'film', 'semest', 'whilst', 'one', 'hell', 'ride', 'would', 'appreci', 'feedback', 'comment', 'star', 'beauti', 'friend', 'kristyna', 'kocianova', 'give', 'watch', 'screendanc', 'danc', 'shortfilm']","['made', 'short', 'dance', 'film', 'semester', 'whilst', 'one', 'hell', 'ride', 'would', 'appreciate', 'feedback', 'comments', 'starring', 'beautiful', 'friend', 'kristyna', 'kocianova', 'give', 'watch', 'screendance', 'dance', 'shortfilm']",4,Czech Republic
2020-07-10 23:27:34+00:00,1281731821491847168,"4 years on this Twitter account. Although my time here dates a little longer, I appreciate the people I found here and care I was given. 
#MojeVýročíNaTwitteru #MyTwitterAnniversary https://t.co/8gG0uIwGlL",General_Macek,"Praha, Česká republika",0,0,0,0,"A czech man who does not approve anything that is coming from the left. A czech patriot, Sabaton fan and lover of history. #PreserveHistory",249,"['MojeVýročíNaTwitteru', 'MyTwitterAnniversary']",4 years on this twitter account although my time here dates a little longer i appreciate the people i found here and care i was given mojevronatwitteru mytwitteranniversary,"['4', 'years', 'on', 'this', 'twitter', 'account', 'although', 'my', 'time', 'here', 'dates', 'a', 'little', 'longer', 'i', 'appreciate', 'the', 'people', 'i', 'found', 'here', 'and', 'care', 'i', 'was', 'given', 'mojevronatwitteru', 'mytwitteranniversary']","['4', 'years', 'twitter', 'account', 'although', 'time', 'dates', 'little', 'longer', 'appreciate', 'people', 'found', 'care', 'given', 'mojevronatwitteru', 'mytwitteranniversary']","['4', 'year', 'twitter', 'account', 'although', 'time', 'date', 'littl', 'longer', 'appreci', 'peopl', 'found', 'care', 'given', 'mojevronatwitteru', 'mytwitteranniversari']","['4', 'years', 'twitter', 'account', 'although', 'time', 'dates', 'little', 'longer', 'appreciate', 'people', 'found', 'care', 'given', 'mojevronatwitteru', 'mytwitteranniversary']",4,Czech Republic
