Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-01 06:10:31+00:00,1531880856465592320,we don’t appreciate this mix sahaphap look enough. 😮‍💨 https://t.co/Bt3cC6gNPA,flukenatats,kapook.,42,0,12,1,"bro always beside you, @earth_pirapat @wixxiws.",835,,we dont appreciate this mix sahaphap look enough,"['we', 'dont', 'appreciate', 'this', 'mix', 'sahaphap', 'look', 'enough']","['dont', 'appreciate', 'mix', 'sahaphap', 'look', 'enough']","['dont', 'appreci', 'mix', 'sahaphap', 'look', 'enough']","['dont', 'appreciate', 'mix', 'sahaphap', 'look', 'enough']",3,Denmark
2022-01-09 12:55:46+00:00,1480161376018518017,"@GP_L_Baker Thank you, Leanne! I appreciate it.",PatsFanKenneth,"Esbjerg, Denmark ✈︎ Boston, MA",0,0,0,0,Die-hard @Patriots fan. Huge @TomBrady fan. @MacJones_10 is my QB. Patriots memorabilia collector. I once met Robert Kraft. Boston is my second home. #ForeverNE,2268,,thank you leanne i appreciate it,"['thank', 'you', 'leanne', 'i', 'appreciate', 'it']","['thank', 'leanne', 'appreciate']","['thank', 'leann', 'appreci']","['thank', 'leanne', 'appreciate']",4,Denmark
2021-12-08 07:54:01+00:00,1468489024419426304,"@Maps_pj @BongMelz The goverment is already helping people who do not even appreciate the help, Show me 1 country in the world that allows what is happening in SA? African’s do not know about the social they see it in SA, while South Africans complains daily!!",rholm_charlene,,3,1,0,0,"Lungelæge(Pulmonologist specialist Esbjerg Hospital,I'm often shocked by what I see, there are days when it seems unendurable.I'm a doctor, but I'm also a human",3218,,the goverment is already helping people who do not even appreciate the help show me 1 country in the world that allows what is happening in sa africans do not know about the social they see it in sa while south africans complains daily,"['the', 'goverment', 'is', 'already', 'helping', 'people', 'who', 'do', 'not', 'even', 'appreciate', 'the', 'help', 'show', 'me', '1', 'country', 'in', 'the', 'world', 'that', 'allows', 'what', 'is', 'happening', 'in', 'sa', 'africans', 'do', 'not', 'know', 'about', 'the', 'social', 'they', 'see', 'it', 'in', 'sa', 'while', 'south', 'africans', 'complains', 'daily']","['goverment', 'already', 'helping', 'people', 'even', 'appreciate', 'help', 'show', '1', 'country', 'world', 'allows', 'happening', 'sa', 'africans', 'know', 'social', 'see', 'sa', 'south', 'africans', 'complains', 'daily']","['gover', 'alreadi', 'help', 'peopl', 'even', 'appreci', 'help', 'show', '1', 'countri', 'world', 'allow', 'happen', 'sa', 'african', 'know', 'social', 'see', 'sa', 'south', 'african', 'complain', 'daili']","['goverment', 'already', 'helping', 'people', 'even', 'appreciate', 'help', 'show', '1', 'country', 'world', 'allows', 'happening', 'sa', 'africans', 'know', 'social', 'see', 'sa', 'south', 'africans', 'complains', 'daily']",4,Denmark
2020-12-21 10:10:08+00:00,1340962751640973312,"@AllanGPaterson Yes it's such a shame because s many genuinely helpful people gave some wonderful, thoughtful responses. I really appreciate you retaking it, thank you for your time 🤗",LiliaPrelevic,"Aarhus, Danmark",6,1,0,0,"Self-proclaimed moral compass 🧭
Living in Denmark 🇩🇰
MA European Studies student at Aarhus University 👩‍🎓
Insta: liliaprelevic",3473,,yes its such a shame because s many genuinely helpful people gave some wonderful thoughtful responses i really appreciate you retaking it thank you for your time,"['yes', 'its', 'such', 'a', 'shame', 'because', 's', 'many', 'genuinely', 'helpful', 'people', 'gave', 'some', 'wonderful', 'thoughtful', 'responses', 'i', 'really', 'appreciate', 'you', 'retaking', 'it', 'thank', 'you', 'for', 'your', 'time']","['yes', 'shame', 'many', 'genuinely', 'helpful', 'people', 'gave', 'wonderful', 'thoughtful', 'responses', 'really', 'appreciate', 'retaking', 'thank', 'time']","['ye', 'shame', 'mani', 'genuin', 'help', 'peopl', 'gave', 'wonder', 'thought', 'respons', 'realli', 'appreci', 'retak', 'thank', 'time']","['yes', 'shame', 'many', 'genuinely', 'helpful', 'people', 'gave', 'wonderful', 'thoughtful', 'responses', 'really', 'appreciate', 'retaking', 'thank', 'time']",1,Denmark
2020-11-28 22:25:59+00:00,1332813013452255233,@6XSuperbowlCha1 @GilletteStadium @Patriots Thank you! Appreciate it. #GoPats,PatsFanKenneth,"Esbjerg, Denmark ✈︎ Boston, MA",1,1,0,0,Die-hard @Patriots fan. Huge @TomBrady fan. @MacJones_10 is my QB. Patriots memorabilia collector. I once met Robert Kraft. Boston is my second home. #ForeverNE,2268,['GoPats'],thank you appreciate it gopats,"['thank', 'you', 'appreciate', 'it', 'gopats']","['thank', 'appreciate', 'gopats']","['thank', 'appreci', 'gopat']","['thank', 'appreciate', 'gopats']",5,Denmark
2020-09-12 18:17:42+00:00,1304846666214846464,@iamirishrose Thank you! Appreciate it. #GoPats,PatsFanKenneth,"Esbjerg, Denmark ✈︎ Boston, MA",0,0,0,0,Die-hard @Patriots fan. Huge @TomBrady fan. @MacJones_10 is my QB. Patriots memorabilia collector. I once met Robert Kraft. Boston is my second home. #ForeverNE,2268,['GoPats'],thank you appreciate it gopats,"['thank', 'you', 'appreciate', 'it', 'gopats']","['thank', 'appreciate', 'gopats']","['thank', 'appreci', 'gopat']","['thank', 'appreciate', 'gopats']",5,Denmark
2020-07-07 16:04:32+00:00,1280533166458048517,@_tomchristie Appreciate all the amazing work you put into all of your projects. Do remember to take care of yourself as well.,HenrikOssipoff,Denmark,0,1,0,0,"CTO at coolshop.com. Love Python, Elastic Stack and growing fond of Go.",42,,appreciate all the amazing work you put into all of your projects do remember to take care of yourself as well,"['appreciate', 'all', 'the', 'amazing', 'work', 'you', 'put', 'into', 'all', 'of', 'your', 'projects', 'do', 'remember', 'to', 'take', 'care', 'of', 'yourself', 'as', 'well']","['appreciate', 'amazing', 'work', 'put', 'projects', 'remember', 'take', 'care', 'well']","['appreci', 'amaz', 'work', 'put', 'project', 'rememb', 'take', 'care', 'well']","['appreciate', 'amazing', 'work', 'put', 'projects', 'remember', 'take', 'care', 'well']",5,Denmark
2020-05-06 11:56:48+00:00,1258002775415324674,"5. @Phoeycsgo I wish you the best of luck in your tournament, continue training with your team so they can achieve the goal of being professionals in the most professional country, and thanks for our conversations, I appreciate it, keep rocking",reeaalcs,"Viña del Mar, Chile",1,0,0,0,🇨🇱 CS Player / WCG Chile 2010🥉2011🥇🇨🇱 / WCG Panamericans 2011🇧🇷 / eSport.dk 2nd Div 2020 🥇🇩🇰 /ECL Legends Div. 🇪🇺 twitch.tv/reeaalcs,400,,5 i wish you the best of luck in your tournament continue training with your team so they can achieve the goal of being professionals in the most professional country and thanks for our conversations i appreciate it keep rocking,"['5', 'i', 'wish', 'you', 'the', 'best', 'of', 'luck', 'in', 'your', 'tournament', 'continue', 'training', 'with', 'your', 'team', 'so', 'they', 'can', 'achieve', 'the', 'goal', 'of', 'being', 'professionals', 'in', 'the', 'most', 'professional', 'country', 'and', 'thanks', 'for', 'our', 'conversations', 'i', 'appreciate', 'it', 'keep', 'rocking']","['5', 'wish', 'best', 'luck', 'tournament', 'continue', 'training', 'team', 'achieve', 'goal', 'professionals', 'professional', 'country', 'thanks', 'conversations', 'appreciate', 'keep', 'rocking']","['5', 'wish', 'best', 'luck', 'tournament', 'continu', 'train', 'team', 'achiev', 'goal', 'profession', 'profession', 'countri', 'thank', 'convers', 'appreci', 'keep', 'rock']","['5', 'wish', 'best', 'luck', 'tournament', 'continue', 'training', 'team', 'achieve', 'goal', 'professionals', 'professional', 'country', 'thanks', 'conversations', 'appreciate', 'keep', 'rocking']",5,Denmark
2020-04-12 06:53:29+00:00,1249229132967411714,@Twin502s Thank you Matt! Appreciate it. #GoPats,PatsFanKenneth,"Esbjerg, Denmark ✈︎ Boston, MA",1,1,0,0,Die-hard @Patriots fan. Huge @TomBrady fan. @MacJones_10 is my QB. Patriots memorabilia collector. I once met Robert Kraft. Boston is my second home. #ForeverNE,2268,['GoPats'],thank you matt appreciate it gopats,"['thank', 'you', 'matt', 'appreciate', 'it', 'gopats']","['thank', 'matt', 'appreciate', 'gopats']","['thank', 'matt', 'appreci', 'gopat']","['thank', 'matt', 'appreciate', 'gopats']",5,Denmark
2020-02-13 14:55:23+00:00,1227969522629586944,@ACreed2019 You are a hard worker Lee.. I hope they appreciate you. 🌹🌹,gittemitchell,Danmark,0,1,0,0,"Loved StarWars since I was 13
saw it on my own... my first ever movie alone 😉",1014,,you are a hard worker lee i hope they appreciate you,"['you', 'are', 'a', 'hard', 'worker', 'lee', 'i', 'hope', 'they', 'appreciate', 'you']","['hard', 'worker', 'lee', 'hope', 'appreciate']","['hard', 'worker', 'lee', 'hope', 'appreci']","['hard', 'worker', 'lee', 'hope', 'appreciate']",3,Denmark
