Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-06 09:06:45+00:00,1533737145055289347,@dojacatpics that's not nice she is not sickening she is very pretty and I appreciate how well she takes care of her body,ic_application,"Tbilisi, Georgia",1,1,0,0,"Instantly apply for credit safely and securely and safely. No worries, your data is safe.",3,,thats not nice she is not sickening she is very pretty and i appreciate how well she takes care of her body,"['thats', 'not', 'nice', 'she', 'is', 'not', 'sickening', 'she', 'is', 'very', 'pretty', 'and', 'i', 'appreciate', 'how', 'well', 'she', 'takes', 'care', 'of', 'her', 'body']","['thats', 'nice', 'sickening', 'pretty', 'appreciate', 'well', 'takes', 'care', 'body']","['that', 'nice', 'sicken', 'pretti', 'appreci', 'well', 'take', 'care', 'bodi']","['thats', 'nice', 'sickening', 'pretty', 'appreciate', 'well', 'takes', 'care', 'body']",3,Georgia
2022-03-01 14:58:38+00:00,1498674077619392515,"@fairfreedigital I hate seeing people getting rekt except perma bears!  Let em keep shorting as they dont appreciate #Bitcoin  Out of all trades I've made I have never shorted the king, &amp; I never will.",ShotaChichua,,0,0,0,0,,487,['Bitcoin'],i hate seeing people getting rekt except perma bears let em keep shorting as they dont appreciate bitcoin out of all trades ive made i have never shorted the king amp i never will,"['i', 'hate', 'seeing', 'people', 'getting', 'rekt', 'except', 'perma', 'bears', 'let', 'em', 'keep', 'shorting', 'as', 'they', 'dont', 'appreciate', 'bitcoin', 'out', 'of', 'all', 'trades', 'ive', 'made', 'i', 'have', 'never', 'shorted', 'the', 'king', 'amp', 'i', 'never', 'will']","['hate', 'seeing', 'people', 'getting', 'rekt', 'except', 'perma', 'bears', 'let', 'em', 'keep', 'shorting', 'dont', 'appreciate', 'bitcoin', 'trades', 'ive', 'made', 'never', 'shorted', 'king', 'amp', 'never']","['hate', 'see', 'peopl', 'get', 'rekt', 'except', 'perma', 'bear', 'let', 'em', 'keep', 'short', 'dont', 'appreci', 'bitcoin', 'trade', 'ive', 'made', 'never', 'short', 'king', 'amp', 'never']","['hate', 'seeing', 'people', 'getting', 'rekt', 'except', 'perma', 'bears', 'let', 'em', 'keep', 'shorting', 'dont', 'appreciate', 'bitcoin', 'trades', 'ive', 'made', 'never', 'shorted', 'king', 'amp', 'never']",1,Georgia
2022-02-21 13:05:17+00:00,1495746448801120270,"Thanks to @BradleyJames, I continue to study English. And I'm on a new level now!🥳 I'm appreciate to you, Bradley! You're an excellent motivator!😃🥰
#bradleyjames 
#bradleyjamesfans 
#thebestactorever
#demien
#merinseries 
#izombe
#medicithemagnificent 
#TheLiberator https://t.co/7MPEkbcMA6",KalandiyaDiana1,Georgia,9,1,0,0,Love those who draw a smile on your face😉,143,"['bradleyjames', 'bradleyjamesfans', 'thebestactorever', 'demien', 'merinseries', 'izombe', 'medicithemagnificent', 'TheLiberator']",thanks to i continue to study english and im on a new level now im appreciate to you bradley youre an excellent motivator bradleyjames bradleyjamesfans thebestactorever demien merinseries izombe medicithemagnificent theliberator,"['thanks', 'to', 'i', 'continue', 'to', 'study', 'english', 'and', 'im', 'on', 'a', 'new', 'level', 'now', 'im', 'appreciate', 'to', 'you', 'bradley', 'youre', 'an', 'excellent', 'motivator', 'bradleyjames', 'bradleyjamesfans', 'thebestactorever', 'demien', 'merinseries', 'izombe', 'medicithemagnificent', 'theliberator']","['thanks', 'continue', 'study', 'english', 'im', 'new', 'level', 'im', 'appreciate', 'bradley', 'youre', 'excellent', 'motivator', 'bradleyjames', 'bradleyjamesfans', 'thebestactorever', 'demien', 'merinseries', 'izombe', 'medicithemagnificent', 'theliberator']","['thank', 'continu', 'studi', 'english', 'im', 'new', 'level', 'im', 'appreci', 'bradley', 'your', 'excel', 'motiv', 'bradleyjam', 'bradleyjamesfan', 'thebestactorev', 'demien', 'merinseri', 'izomb', 'medicithemagnific', 'theliber']","['thanks', 'continue', 'study', 'english', 'im', 'new', 'level', 'im', 'appreciate', 'bradley', 'youre', 'excellent', 'motivator', 'bradleyjames', 'bradleyjamesfans', 'thebestactorever', 'demien', 'merinseries', 'izombe', 'medicithemagnificent', 'theliberator']",5,Georgia
2022-06-01 17:20:05+00:00,1532049356123254786,"'It's a chance to step back for a moment from daily cares, and show appreciation to a long reigning monarch' (BBC News)

APPRECIATION.

🙄

#FuckTheJubilee
#AbolishTheMonarchy",SighCordelia,The Dark Side,0,0,0,0,"Angry feminist. Approach with caution. I will swear. She/her.
#peoplebeforeprofit
#decriminalised
#RepealedThe8th
#NHS
#MnánahÉireann
#GTTO
#blacklivesmatter",1338,"['FuckTheJubilee', 'AbolishTheMonarchy']",its a chance to step back for a moment from daily cares and show appreciation to a long reigning monarch bbc news appreciation fuckthejubilee abolishthemonarchy,"['its', 'a', 'chance', 'to', 'step', 'back', 'for', 'a', 'moment', 'from', 'daily', 'cares', 'and', 'show', 'appreciation', 'to', 'a', 'long', 'reigning', 'monarch', 'bbc', 'news', 'appreciation', 'fuckthejubilee', 'abolishthemonarchy']","['chance', 'step', 'back', 'moment', 'daily', 'cares', 'show', 'appreciation', 'long', 'reigning', 'monarch', 'bbc', 'news', 'appreciation', 'fuckthejubilee', 'abolishthemonarchy']","['chanc', 'step', 'back', 'moment', 'daili', 'care', 'show', 'appreci', 'long', 'reign', 'monarch', 'bbc', 'news', 'appreci', 'fuckthejubile', 'abolishthemonarchi']","['chance', 'step', 'back', 'moment', 'daily', 'cares', 'show', 'appreciation', 'long', 'reigning', 'monarch', 'bbc', 'news', 'appreciation', 'fuckthejubilee', 'abolishthemonarchy']",1,Georgia
2022-06-01 16:25:59+00:00,1532035740347121666,"@SkySportsF1 Vettel helmet, tribute to Schumacher 
The best helmet i see 😍 https://t.co/PKM64ylXoB",Julii5551,si,2,0,0,0,"Me gustan los autos, comer, dormir, la musica y pasar el tiempo con gente q quiero :D",14,,vettel helmet tribute to schumacher the best helmet i see,"['vettel', 'helmet', 'tribute', 'to', 'schumacher', 'the', 'best', 'helmet', 'i', 'see']","['vettel', 'helmet', 'tribute', 'schumacher', 'best', 'helmet', 'see']","['vettel', 'helmet', 'tribut', 'schumach', 'best', 'helmet', 'see']","['vettel', 'helmet', 'tribute', 'schumacher', 'best', 'helmet', 'see']",5,Georgia
2022-05-30 18:50:53+00:00,1531347432562466822,🇸🇪🇬🇪Proud to support @EGIinfo campaign introducing interactive game 4 #democracy #Electionville  in 🇬🇪. It will help students 2  comprehend issues of local governance &amp; gain understanding of decision-making processes in City Councils. #drivefordemocracy @SweInstitute @UTidestrom https://t.co/KRtNjGIwWN,SwedeninGE,"Tbilisi, Georgia",6,0,1,0,The Embassy of Sweden in Tbilisi. Our integrity policy and contact info available at government.se.,3504,"['democracy', 'Electionville', 'drivefordemocracy']",proud to support campaign introducing interactive game 4 democracy electionville in it will help students 2 comprehend issues of local governance amp gain understanding of decisionmaking processes in city councils drivefordemocracy,"['proud', 'to', 'support', 'campaign', 'introducing', 'interactive', 'game', '4', 'democracy', 'electionville', 'in', 'it', 'will', 'help', 'students', '2', 'comprehend', 'issues', 'of', 'local', 'governance', 'amp', 'gain', 'understanding', 'of', 'decisionmaking', 'processes', 'in', 'city', 'councils', 'drivefordemocracy']","['proud', 'support', 'campaign', 'introducing', 'interactive', 'game', '4', 'democracy', 'electionville', 'help', 'students', '2', 'comprehend', 'issues', 'local', 'governance', 'amp', 'gain', 'understanding', 'decisionmaking', 'processes', 'city', 'councils', 'drivefordemocracy']","['proud', 'support', 'campaign', 'introduc', 'interact', 'game', '4', 'democraci', 'electionvil', 'help', 'student', '2', 'comprehend', 'issu', 'local', 'govern', 'amp', 'gain', 'understand', 'decisionmak', 'process', 'citi', 'council', 'drivefordemocraci']","['proud', 'support', 'campaign', 'introducing', 'interactive', 'game', '4', 'democracy', 'electionville', 'help', 'students', '2', 'comprehend', 'issues', 'local', 'governance', 'amp', 'gain', 'understanding', 'decisionmaking', 'processes', 'city', 'councils', 'drivefordemocracy']",5,Georgia
2022-05-04 12:16:26+00:00,1521826080734203904,"It's official now: proudly signed a MoU with #Meama to support implementation of family-friendly &amp; gender-responsive workplace policies, women’s economic empowerment, #MenCare campaign and much more to contribute to real #GenderEquality in 🇬🇪 https://t.co/FQmGrsfys6",UNFPAGeorgia,"Tbilisi, Georgia",18,0,6,1,"Delivering a world where every pregnancy is wanted, every childbirth is safe, and every young person’s potential is fulfilled.",1710,"['Meama', 'MenCare', 'GenderEquality']",its official now proudly signed a mou with meama to support implementation of familyfriendly amp genderresponsive workplace policies womens economic empowerment mencare campaign and much more to contribute to real genderequality in,"['its', 'official', 'now', 'proudly', 'signed', 'a', 'mou', 'with', 'meama', 'to', 'support', 'implementation', 'of', 'familyfriendly', 'amp', 'genderresponsive', 'workplace', 'policies', 'womens', 'economic', 'empowerment', 'mencare', 'campaign', 'and', 'much', 'more', 'to', 'contribute', 'to', 'real', 'genderequality', 'in']","['official', 'proudly', 'signed', 'mou', 'meama', 'support', 'implementation', 'familyfriendly', 'amp', 'genderresponsive', 'workplace', 'policies', 'womens', 'economic', 'empowerment', 'mencare', 'campaign', 'much', 'contribute', 'real', 'genderequality']","['offici', 'proudli', 'sign', 'mou', 'meama', 'support', 'implement', 'familyfriendli', 'amp', 'genderrespons', 'workplac', 'polici', 'women', 'econom', 'empower', 'mencar', 'campaign', 'much', 'contribut', 'real', 'genderequ']","['official', 'proudly', 'signed', 'mou', 'meama', 'support', 'implementation', 'familyfriendly', 'amp', 'genderresponsive', 'workplace', 'policies', 'womens', 'economic', 'empowerment', 'mencare', 'campaign', 'much', 'contribute', 'real', 'genderequality']",5,Georgia
2022-06-04 14:00:11+00:00,1533086213799874564,@BizzleScott2 @deansfam4 @luckytran @DrTomFrieden Why do you think this is your business?  Nobody cares what you think. Promise. Just go your way spreading Covid to young and old. You don’t give a shit about anyone but yourself. Not at all surprising.,BuggingLulu,Sunny AZ,0,0,0,0,🌊🌊#Resist #BLM #LoveIsLove 🌊🌊Starting over from scratch. This will be my backup acct. Twitmo threatens. I’ll follow back. 🚫MAGA here or near.,101,,why do you think this is your business nobody cares what you think promise just go your way spreading covid to young and old you dont give a shit about anyone but yourself not at all surprising,"['why', 'do', 'you', 'think', 'this', 'is', 'your', 'business', 'nobody', 'cares', 'what', 'you', 'think', 'promise', 'just', 'go', 'your', 'way', 'spreading', 'covid', 'to', 'young', 'and', 'old', 'you', 'dont', 'give', 'a', 'shit', 'about', 'anyone', 'but', 'yourself', 'not', 'at', 'all', 'surprising']","['think', 'business', 'nobody', 'cares', 'think', 'promise', 'go', 'way', 'spreading', 'covid', 'young', 'old', 'dont', 'give', 'shit', 'anyone', 'surprising']","['think', 'busi', 'nobodi', 'care', 'think', 'promis', 'go', 'way', 'spread', 'covid', 'young', 'old', 'dont', 'give', 'shit', 'anyon', 'surpris']","['think', 'business', 'nobody', 'cares', 'think', 'promise', 'go', 'way', 'spreading', 'covid', 'young', 'old', 'dont', 'give', 'shit', 'anyone', 'surprising']",1,Georgia
2022-06-05 11:25:05+00:00,1533409571569602561,"Queer activist from #Azerbaijan Ali Malikov is scared for his life. They received threats after exposing neglect by state institutiins to protect the underage Trans sex worker.
#PrideMonth https://t.co/IDCZURpWT3",HamidaGiyas,"Tbilisi, Georgia",1,0,1,0,"Conflict Specialist | 📚 Uni Innsbruck, MA Peace Studies | Radical Integrity  rt ≠👍🏼
They/She",1701,"['Azerbaijan', 'PrideMonth']",queer activist from azerbaijan ali malikov is scared for his life they received threats after exposing neglect by state institutiins to protect the underage trans sex worker pridemonth,"['queer', 'activist', 'from', 'azerbaijan', 'ali', 'malikov', 'is', 'scared', 'for', 'his', 'life', 'they', 'received', 'threats', 'after', 'exposing', 'neglect', 'by', 'state', 'institutiins', 'to', 'protect', 'the', 'underage', 'trans', 'sex', 'worker', 'pridemonth']","['queer', 'activist', 'azerbaijan', 'ali', 'malikov', 'scared', 'life', 'received', 'threats', 'exposing', 'neglect', 'state', 'institutiins', 'protect', 'underage', 'trans', 'sex', 'worker', 'pridemonth']","['queer', 'activist', 'azerbaijan', 'ali', 'malikov', 'scare', 'life', 'receiv', 'threat', 'expos', 'neglect', 'state', 'institutiin', 'protect', 'underag', 'tran', 'sex', 'worker', 'pridemonth']","['queer', 'activist', 'azerbaijan', 'ali', 'malikov', 'scared', 'life', 'received', 'threats', 'exposing', 'neglect', 'state', 'institutiins', 'protect', 'underage', 'trans', 'sex', 'worker', 'pridemonth']",4,Georgia
2022-06-06 14:54:04+00:00,1533824548247846912,"Can someone help Richard understand that a recession means the GDP has contracted 2 quarters in a row like we have now and has absolutely nothing to do with starving people back to work by cutting off UI benefits?
He seems a bit confused https://t.co/BQagorIEaB",TheChefsGardens,Currently in AZ,0,0,0,0,"Usual content paused until we get leadership that values life more than capitalism
for now imma just point out the insanity",1048,,can someone help richard understand that a recession means the gdp has contracted 2 quarters in a row like we have now and has absolutely nothing to do with starving people back to work by cutting off ui benefits he seems a bit confused,"['can', 'someone', 'help', 'richard', 'understand', 'that', 'a', 'recession', 'means', 'the', 'gdp', 'has', 'contracted', '2', 'quarters', 'in', 'a', 'row', 'like', 'we', 'have', 'now', 'and', 'has', 'absolutely', 'nothing', 'to', 'do', 'with', 'starving', 'people', 'back', 'to', 'work', 'by', 'cutting', 'off', 'ui', 'benefits', 'he', 'seems', 'a', 'bit', 'confused']","['someone', 'help', 'richard', 'understand', 'recession', 'means', 'gdp', 'contracted', '2', 'quarters', 'row', 'like', 'absolutely', 'nothing', 'starving', 'people', 'back', 'work', 'cutting', 'ui', 'benefits', 'seems', 'bit', 'confused']","['someon', 'help', 'richard', 'understand', 'recess', 'mean', 'gdp', 'contract', '2', 'quarter', 'row', 'like', 'absolut', 'noth', 'starv', 'peopl', 'back', 'work', 'cut', 'ui', 'benefit', 'seem', 'bit', 'confus']","['someone', 'help', 'richard', 'understand', 'recession', 'means', 'gdp', 'contracted', '2', 'quarters', 'row', 'like', 'absolutely', 'nothing', 'starving', 'people', 'back', 'work', 'cutting', 'ui', 'benefits', 'seems', 'bit', 'confused']",1,Georgia
