Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-04 19:56:14+00:00,1533175817706082304,"@MLiebreich @MLCleaningUp @P_Graichen Intriguing talk, Michael 👍 Have a different opinion on nuclear energy but appreciate the efforts of @P_Graichen &amp; his team. No surprise he's YOC 1972 - top vintage :) 
And we do our best to support our Energiewende w/ innovations in green steel, carbon negative roads, etc. :)",SwenRoschlau,"Coburg, Bavaria, Germany",2,0,1,0,"Promethean - Meliorist - Evolutionary Humanist - NATOnalist - Ecomodernist
🤖🧠🛡️🌳🧬🚀",213,,intriguing talk michael have a different opinion on nuclear energy but appreciate the efforts of amp his team no surprise hes yoc 1972 top vintage and we do our best to support our energiewende w innovations in green steel carbon negative roads etc,"['intriguing', 'talk', 'michael', 'have', 'a', 'different', 'opinion', 'on', 'nuclear', 'energy', 'but', 'appreciate', 'the', 'efforts', 'of', 'amp', 'his', 'team', 'no', 'surprise', 'hes', 'yoc', '1972', 'top', 'vintage', 'and', 'we', 'do', 'our', 'best', 'to', 'support', 'our', 'energiewende', 'w', 'innovations', 'in', 'green', 'steel', 'carbon', 'negative', 'roads', 'etc']","['intriguing', 'talk', 'michael', 'different', 'opinion', 'nuclear', 'energy', 'appreciate', 'efforts', 'amp', 'team', 'surprise', 'hes', 'yoc', '1972', 'top', 'vintage', 'best', 'support', 'energiewende', 'w', 'innovations', 'green', 'steel', 'carbon', 'negative', 'roads', 'etc']","['intrigu', 'talk', 'michael', 'differ', 'opinion', 'nuclear', 'energi', 'appreci', 'effort', 'amp', 'team', 'surpris', 'he', 'yoc', '1972', 'top', 'vintag', 'best', 'support', 'energiewend', 'w', 'innov', 'green', 'steel', 'carbon', 'neg', 'road', 'etc']","['intriguing', 'talk', 'michael', 'different', 'opinion', 'nuclear', 'energy', 'appreciate', 'efforts', 'amp', 'team', 'surprise', 'hes', 'yoc', '1972', 'top', 'vintage', 'best', 'support', 'energiewende', 'w', 'innovations', 'green', 'steel', 'carbon', 'negative', 'roads', 'etc']",4,Germany
2022-06-02 04:40:51+00:00,1532220678790864896,@ChrisMurphyCT That's you 😌 TY for being a Senator who actually cares and doesn't need my phone call. Appreciate you.,small_ishish,s/h,0,0,0,0,| 🌸 | ⓑⓛⓜ | photographer & story teller | actually average height | @okeekv 🎮🌌 |,188,,thats you ty for being a senator who actually cares and doesnt need my phone call appreciate you,"['thats', 'you', 'ty', 'for', 'being', 'a', 'senator', 'who', 'actually', 'cares', 'and', 'doesnt', 'need', 'my', 'phone', 'call', 'appreciate', 'you']","['thats', 'ty', 'senator', 'actually', 'cares', 'doesnt', 'need', 'phone', 'call', 'appreciate']","['that', 'ty', 'senat', 'actual', 'care', 'doesnt', 'need', 'phone', 'call', 'appreci']","['thats', 'ty', 'senator', 'actually', 'cares', 'doesnt', 'need', 'phone', 'call', 'appreciate']",3,Germany
2022-05-31 18:16:33+00:00,1531701178643406850,"@RealSalluKhan @nasmadotali No advice given in self interest here. Correction: If Reps do their self interest is in being a respected professional, helping people, not being focused on commission. The best Reps are only successful if their clients are successful &amp; appreciate them. You didn’t answer my ? Tho",DeniseLiboiron,Cobourg,0,1,0,0,"c21 All-Pro Realty (1993) Ltd. Residential, Commercial & Investment: Lakefront, New-Build, Heritage, Mid-Century, Condo, Multi-Unit, Farm, Staycation.",221,,no advice given in self interest here correction if reps do their self interest is in being a respected professional helping people not being focused on commission the best reps are only successful if their clients are successful amp appreciate them you didnt answer my tho,"['no', 'advice', 'given', 'in', 'self', 'interest', 'here', 'correction', 'if', 'reps', 'do', 'their', 'self', 'interest', 'is', 'in', 'being', 'a', 'respected', 'professional', 'helping', 'people', 'not', 'being', 'focused', 'on', 'commission', 'the', 'best', 'reps', 'are', 'only', 'successful', 'if', 'their', 'clients', 'are', 'successful', 'amp', 'appreciate', 'them', 'you', 'didnt', 'answer', 'my', 'tho']","['advice', 'given', 'self', 'interest', 'correction', 'reps', 'self', 'interest', 'respected', 'professional', 'helping', 'people', 'focused', 'commission', 'best', 'reps', 'successful', 'clients', 'successful', 'amp', 'appreciate', 'didnt', 'answer', 'tho']","['advic', 'given', 'self', 'interest', 'correct', 'rep', 'self', 'interest', 'respect', 'profession', 'help', 'peopl', 'focus', 'commiss', 'best', 'rep', 'success', 'client', 'success', 'amp', 'appreci', 'didnt', 'answer', 'tho']","['advice', 'given', 'self', 'interest', 'correction', 'reps', 'self', 'interest', 'respected', 'professional', 'helping', 'people', 'focused', 'commission', 'best', 'reps', 'successful', 'clients', 'successful', 'amp', 'appreciate', 'didnt', 'answer', 'tho']",2,Germany
2022-05-28 09:25:47+00:00,1530480446257111040,"Just saw a bus in Germany whose sign read ""Passingierfahrt"" which I assume means ""Farting Passengers"".

We appreciate the warning! 🙏🏻",NFTSasha,"Los Angeles, CA",5,0,1,0,"A degen building @bizarrosnft. Before: @gankstars. BAYC #2767. Burner, lover, Ukrainian-American, he/him, ADHD/PTSD, dry humor. NO PAID PROMO",10434,,just saw a bus in germany whose sign read passingierfahrt which i assume means farting passengers we appreciate the warning,"['just', 'saw', 'a', 'bus', 'in', 'germany', 'whose', 'sign', 'read', 'passingierfahrt', 'which', 'i', 'assume', 'means', 'farting', 'passengers', 'we', 'appreciate', 'the', 'warning']","['saw', 'bus', 'germany', 'whose', 'sign', 'read', 'passingierfahrt', 'assume', 'means', 'farting', 'passengers', 'appreciate', 'warning']","['saw', 'bu', 'germani', 'whose', 'sign', 'read', 'passingierfahrt', 'assum', 'mean', 'fart', 'passeng', 'appreci', 'warn']","['saw', 'bus', 'germany', 'whose', 'sign', 'read', 'passingierfahrt', 'assume', 'means', 'farting', 'passengers', 'appreciate', 'warning']",3,Germany
2022-05-11 19:29:21+00:00,1524471741002797061,@alas_not_me @tolkienprof @tolkienbookcase @DigitalTolkien @unamccormack @TeawithTolkien @prancingponypod @ShaunGunner I would like to note that not all of us had the same reaction. I have not yet written anything substantial and I'd appreciate if others did not presume to speak for me.,The_Tolkienist,"Jena, Deutschland",14,3,0,0,"Indie #Tolkien scholar | Founder @GermanTolkSoc, member @TolkienSociety #TolkienFolk | Travelling Tolkienist | Join me in my Patreon adventure 🧙‍♂️🧝✨ he/him",5471,,i would like to note that not all of us had the same reaction i have not yet written anything substantial and id appreciate if others did not presume to speak for me,"['i', 'would', 'like', 'to', 'note', 'that', 'not', 'all', 'of', 'us', 'had', 'the', 'same', 'reaction', 'i', 'have', 'not', 'yet', 'written', 'anything', 'substantial', 'and', 'id', 'appreciate', 'if', 'others', 'did', 'not', 'presume', 'to', 'speak', 'for', 'me']","['would', 'like', 'note', 'us', 'reaction', 'yet', 'written', 'anything', 'substantial', 'id', 'appreciate', 'others', 'presume', 'speak']","['would', 'like', 'note', 'us', 'reaction', 'yet', 'written', 'anyth', 'substanti', 'id', 'appreci', 'other', 'presum', 'speak']","['would', 'like', 'note', 'us', 'reaction', 'yet', 'written', 'anything', 'substantial', 'id', 'appreciate', 'others', 'presume', 'speak']",2,Germany
2022-04-05 12:56:32+00:00,1511326924878004228,"@PencilBloke @Anne10max @archer_rs Well done. He is only sharing news already reported by mainstream media. I don't particularly care if Archer is real or not, I'm intelligent enough to appreciate the social context this particular account operates within. If he doesn't tweet about it, someone else will. 🤨",ScandiTina,Germany,1,1,0,0,"Sarky 🇳🇴🇩🇰 widow, living it up in 🇩🇪🇪🇺, enjoying Life Pt 2. Previously in 🇬🇧🇿🇦🇳🇴 (Viking, innit!)",1068,,well done he is only sharing news already reported by mainstream media i dont particularly care if archer is real or not im intelligent enough to appreciate the social context this particular account operates within if he doesnt tweet about it someone else will,"['well', 'done', 'he', 'is', 'only', 'sharing', 'news', 'already', 'reported', 'by', 'mainstream', 'media', 'i', 'dont', 'particularly', 'care', 'if', 'archer', 'is', 'real', 'or', 'not', 'im', 'intelligent', 'enough', 'to', 'appreciate', 'the', 'social', 'context', 'this', 'particular', 'account', 'operates', 'within', 'if', 'he', 'doesnt', 'tweet', 'about', 'it', 'someone', 'else', 'will']","['well', 'done', 'sharing', 'news', 'already', 'reported', 'mainstream', 'media', 'dont', 'particularly', 'care', 'archer', 'real', 'im', 'intelligent', 'enough', 'appreciate', 'social', 'context', 'particular', 'account', 'operates', 'within', 'doesnt', 'tweet', 'someone', 'else']","['well', 'done', 'share', 'news', 'alreadi', 'report', 'mainstream', 'media', 'dont', 'particularli', 'care', 'archer', 'real', 'im', 'intellig', 'enough', 'appreci', 'social', 'context', 'particular', 'account', 'oper', 'within', 'doesnt', 'tweet', 'someon', 'els']","['well', 'done', 'sharing', 'news', 'already', 'reported', 'mainstream', 'media', 'dont', 'particularly', 'care', 'archer', 'real', 'im', 'intelligent', 'enough', 'appreciate', 'social', 'context', 'particular', 'account', 'operates', 'within', 'doesnt', 'tweet', 'someone', 'else']",4,Germany
2022-03-08 18:15:02+00:00,1501260215584395267,"Not a big fan of the design but I know there are lots of people who appreciate it. Or don't care.

My only hope is that the SE3 gets better battery life with the A15 #AppleEvent https://t.co/CUoyU2wozG",Surokoida,"Frankfurt am Main, Deutschland",2,1,0,0,🇩🇪🇨🇿 | LVL 25 | Tech dragon | TL may contain NSFW | ♥️ @Fraenky_wolf♥️,204,['AppleEvent'],not a big fan of the design but i know there are lots of people who appreciate it or dont care my only hope is that the se3 gets better battery life with the a15 appleevent,"['not', 'a', 'big', 'fan', 'of', 'the', 'design', 'but', 'i', 'know', 'there', 'are', 'lots', 'of', 'people', 'who', 'appreciate', 'it', 'or', 'dont', 'care', 'my', 'only', 'hope', 'is', 'that', 'the', 'se3', 'gets', 'better', 'battery', 'life', 'with', 'the', 'a15', 'appleevent']","['big', 'fan', 'design', 'know', 'lots', 'people', 'appreciate', 'dont', 'care', 'hope', 'se3', 'gets', 'better', 'battery', 'life', 'a15', 'appleevent']","['big', 'fan', 'design', 'know', 'lot', 'peopl', 'appreci', 'dont', 'care', 'hope', 'se3', 'get', 'better', 'batteri', 'life', 'a15', 'appleev']","['big', 'fan', 'design', 'know', 'lots', 'people', 'appreciate', 'dont', 'care', 'hope', 'se3', 'gets', 'better', 'battery', 'life', 'a15', 'appleevent']",3,Germany
2022-02-11 22:16:15+00:00,1492261224192651273,"@NUYOWLUpLI5n04p @MomiraMonika thank you⭐️yes we appreciate the good moments because they are temporary and this is also the reason why we can bear the bad ones. the world is full with war, refugees, children going hungry, drowning, burning. humanity means to care, also to know real joy and share it.ok? 💫",manonafence,"Ireland, Germany",3,1,1,0,"sitting on a tree just to see the sea. no lists please!!!no marking! name: conrad feder, autodidact and former family doctor, poetry , painting, walking",1465,,thank youyes we appreciate the good moments because they are temporary and this is also the reason why we can bear the bad ones the world is full with war refugees children going hungry drowning burning humanity means to care also to know real joy and share itok,"['thank', 'youyes', 'we', 'appreciate', 'the', 'good', 'moments', 'because', 'they', 'are', 'temporary', 'and', 'this', 'is', 'also', 'the', 'reason', 'why', 'we', 'can', 'bear', 'the', 'bad', 'ones', 'the', 'world', 'is', 'full', 'with', 'war', 'refugees', 'children', 'going', 'hungry', 'drowning', 'burning', 'humanity', 'means', 'to', 'care', 'also', 'to', 'know', 'real', 'joy', 'and', 'share', 'itok']","['thank', 'youyes', 'appreciate', 'good', 'moments', 'temporary', 'also', 'reason', 'bear', 'bad', 'ones', 'world', 'full', 'war', 'refugees', 'children', 'going', 'hungry', 'drowning', 'burning', 'humanity', 'means', 'care', 'also', 'know', 'real', 'joy', 'share', 'itok']","['thank', 'youy', 'appreci', 'good', 'moment', 'temporari', 'also', 'reason', 'bear', 'bad', 'one', 'world', 'full', 'war', 'refuge', 'children', 'go', 'hungri', 'drown', 'burn', 'human', 'mean', 'care', 'also', 'know', 'real', 'joy', 'share', 'itok']","['thank', 'youyes', 'appreciate', 'good', 'moments', 'temporary', 'also', 'reason', 'bear', 'bad', 'ones', 'world', 'full', 'war', 'refugees', 'children', 'going', 'hungry', 'drowning', 'burning', 'humanity', 'means', 'care', 'also', 'know', 'real', 'joy', 'share', 'itok']",5,Germany
2021-04-14 18:49:30+00:00,1382405673066070028,"May Allah bless @MianIftikharHus sb wd HAPPY, joyful and healthy life . Cordially appreciate Mian sb efforts and political struggles for Pushtoon and other helpless nations. https://t.co/Vov37pmFCk",ZiaMarwat19,"Leipzig, Germany",32,0,6,0,#PhD #HydrogenStorageMaterials Nanomaterial Research group @HU_Officials & Holger Group @UniLeipzig Germany. Follower of #BachaKhan #NonViolence #Peaceappellant,774,,may allah bless sb wd happy joyful and healthy life cordially appreciate mian sb efforts and political struggles for pushtoon and other helpless nations,"['may', 'allah', 'bless', 'sb', 'wd', 'happy', 'joyful', 'and', 'healthy', 'life', 'cordially', 'appreciate', 'mian', 'sb', 'efforts', 'and', 'political', 'struggles', 'for', 'pushtoon', 'and', 'other', 'helpless', 'nations']","['may', 'allah', 'bless', 'sb', 'wd', 'happy', 'joyful', 'healthy', 'life', 'cordially', 'appreciate', 'mian', 'sb', 'efforts', 'political', 'struggles', 'pushtoon', 'helpless', 'nations']","['may', 'allah', 'bless', 'sb', 'wd', 'happi', 'joy', 'healthi', 'life', 'cordial', 'appreci', 'mian', 'sb', 'effort', 'polit', 'struggl', 'pushtoon', 'helpless', 'nation']","['may', 'allah', 'bless', 'sb', 'wd', 'happy', 'joyful', 'healthy', 'life', 'cordially', 'appreciate', 'mian', 'sb', 'efforts', 'political', 'struggles', 'pushtoon', 'helpless', 'nations']",5,Germany
2022-06-01 13:00:36+00:00,1531984055830552577,"#RT: @typo3: It’s Developer Appreciation Day #DAD, folks! As usual, we’re taking a glance at last month’s contributions to the #TYPO3 project. A massive high five goes to all you devoted TYPO3 developers! Find some impressive numbers in our current blog post. …",T3Shoutout,Fra,0,0,0,0,"An upcoming online radio show by @firemudfm, about TYPO3 Project.",24,"['RT', 'DAD', 'TYPO3']",rt its developer appreciation day dad folks as usual were taking a glance at last months contributions to the typo3 project a massive high five goes to all you devoted typo3 developers find some impressive numbers in our current blog post,"['rt', 'its', 'developer', 'appreciation', 'day', 'dad', 'folks', 'as', 'usual', 'were', 'taking', 'a', 'glance', 'at', 'last', 'months', 'contributions', 'to', 'the', 'typo3', 'project', 'a', 'massive', 'high', 'five', 'goes', 'to', 'all', 'you', 'devoted', 'typo3', 'developers', 'find', 'some', 'impressive', 'numbers', 'in', 'our', 'current', 'blog', 'post']","['rt', 'developer', 'appreciation', 'day', 'dad', 'folks', 'usual', 'taking', 'glance', 'last', 'months', 'contributions', 'typo3', 'project', 'massive', 'high', 'five', 'goes', 'devoted', 'typo3', 'developers', 'find', 'impressive', 'numbers', 'current', 'blog', 'post']","['rt', 'develop', 'appreci', 'day', 'dad', 'folk', 'usual', 'take', 'glanc', 'last', 'month', 'contribut', 'typo3', 'project', 'massiv', 'high', 'five', 'goe', 'devot', 'typo3', 'develop', 'find', 'impress', 'number', 'current', 'blog', 'post']","['rt', 'developer', 'appreciation', 'day', 'dad', 'folks', 'usual', 'taking', 'glance', 'last', 'months', 'contributions', 'typo3', 'project', 'massive', 'high', 'five', 'goes', 'devoted', 'typo3', 'developers', 'find', 'impressive', 'numbers', 'current', 'blog', 'post']",4,Germany
