Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-05-31 12:47:18+00:00,1531618322147594240,"@DenisMacShane @JananGanesh @gideonrachman The organised network &amp; importance of pan European parties eg PPE, PES, ALDE is something UK politicians from both Labour &amp; Conservative governments failed to fully appreciate properly when UK was still in EU &amp; believe we lost influence as a result. Brexiteers took full advantage",CharlesTannock,UK & EU ,8,1,4,0,"MEP '99-2019, Rtd NHS Consultant. Internationalist & exEU Remainer & dreams of Rejoin. Tweets my personal views. #StandswithUkraine. Sen. Assoc. Fellow @GLOBSEC",32540,,the organised network amp importance of pan european parties eg ppe pes alde is something uk politicians from both labour amp conservative governments failed to fully appreciate properly when uk was still in eu amp believe we lost influence as a result brexiteers took full advantage,"['the', 'organised', 'network', 'amp', 'importance', 'of', 'pan', 'european', 'parties', 'eg', 'ppe', 'pes', 'alde', 'is', 'something', 'uk', 'politicians', 'from', 'both', 'labour', 'amp', 'conservative', 'governments', 'failed', 'to', 'fully', 'appreciate', 'properly', 'when', 'uk', 'was', 'still', 'in', 'eu', 'amp', 'believe', 'we', 'lost', 'influence', 'as', 'a', 'result', 'brexiteers', 'took', 'full', 'advantage']","['organised', 'network', 'amp', 'importance', 'pan', 'european', 'parties', 'eg', 'ppe', 'pes', 'alde', 'something', 'uk', 'politicians', 'labour', 'amp', 'conservative', 'governments', 'failed', 'fully', 'appreciate', 'properly', 'uk', 'still', 'eu', 'amp', 'believe', 'lost', 'influence', 'result', 'brexiteers', 'took', 'full', 'advantage']","['organis', 'network', 'amp', 'import', 'pan', 'european', 'parti', 'eg', 'ppe', 'pe', 'ald', 'someth', 'uk', 'politician', 'labour', 'amp', 'conserv', 'govern', 'fail', 'fulli', 'appreci', 'properli', 'uk', 'still', 'eu', 'amp', 'believ', 'lost', 'influenc', 'result', 'brexit', 'took', 'full', 'advantag']","['organised', 'network', 'amp', 'importance', 'pan', 'european', 'parties', 'eg', 'ppe', 'pes', 'alde', 'something', 'uk', 'politicians', 'labour', 'amp', 'conservative', 'governments', 'failed', 'fully', 'appreciate', 'properly', 'uk', 'still', 'eu', 'amp', 'believe', 'lost', 'influence', 'result', 'brexiteers', 'took', 'full', 'advantage']",3,Hungary
2022-05-29 20:20:43+00:00,1531007651160678404,"@UnapologeticRBL lol,its just mmf funboys,thinking people like you content a lot,keed doing your vids bro,very appreciate your affort",Tori02754471,Budapest,0,0,0,0,#Avax #Ftm,21,,lolits just mmf funboysthinking people like you content a lotkeed doing your vids brovery appreciate your affort,"['lolits', 'just', 'mmf', 'funboysthinking', 'people', 'like', 'you', 'content', 'a', 'lotkeed', 'doing', 'your', 'vids', 'brovery', 'appreciate', 'your', 'affort']","['lolits', 'mmf', 'funboysthinking', 'people', 'like', 'content', 'lotkeed', 'vids', 'brovery', 'appreciate', 'affort']","['lolit', 'mmf', 'funboysthink', 'peopl', 'like', 'content', 'lotke', 'vid', 'broveri', 'appreci', 'affort']","['lolits', 'mmf', 'funboysthinking', 'people', 'like', 'content', 'lotkeed', 'vids', 'brovery', 'appreciate', 'affort']",4,Hungary
2022-05-02 07:48:23+00:00,1521033850192814080,I don’t think my work will appreciate that my doctor gave me a paper that I can’t work this week 🫣,idkamima,Slovakia,1,0,0,0,"24 | stars & pens | I like to play games and create art | true crime, horror & photography junkie",822,,i dont think my work will appreciate that my doctor gave me a paper that i cant work this week,"['i', 'dont', 'think', 'my', 'work', 'will', 'appreciate', 'that', 'my', 'doctor', 'gave', 'me', 'a', 'paper', 'that', 'i', 'cant', 'work', 'this', 'week']","['dont', 'think', 'work', 'appreciate', 'doctor', 'gave', 'paper', 'cant', 'work', 'week']","['dont', 'think', 'work', 'appreci', 'doctor', 'gave', 'paper', 'cant', 'work', 'week']","['dont', 'think', 'work', 'appreciate', 'doctor', 'gave', 'paper', 'cant', 'work', 'week']",2,Hungary
2022-04-29 14:32:22+00:00,1520048348706877441,"@BarbHyman1 The problem is we've been giving tailored advice for decades and it's done nothing but advance white dudes and drive huge pay gaps. 

I appreciate the intent Barb, but you have to understand the real problem. #inequity #transparency",Chad_Sowash,"Columbus, IN",0,0,0,0,Dad | Husband | Army Veteran | Snarkologist & Co-host of The Chad & Cheese #HR's Most Dangerous #Podcast #Recruitment #Tech #Music #MMA Views=Mine,1759,"['inequity', 'transparency']",the problem is weve been giving tailored advice for decades and its done nothing but advance white dudes and drive huge pay gaps i appreciate the intent barb but you have to understand the real problem inequity transparency,"['the', 'problem', 'is', 'weve', 'been', 'giving', 'tailored', 'advice', 'for', 'decades', 'and', 'its', 'done', 'nothing', 'but', 'advance', 'white', 'dudes', 'and', 'drive', 'huge', 'pay', 'gaps', 'i', 'appreciate', 'the', 'intent', 'barb', 'but', 'you', 'have', 'to', 'understand', 'the', 'real', 'problem', 'inequity', 'transparency']","['problem', 'weve', 'giving', 'tailored', 'advice', 'decades', 'done', 'nothing', 'advance', 'white', 'dudes', 'drive', 'huge', 'pay', 'gaps', 'appreciate', 'intent', 'barb', 'understand', 'real', 'problem', 'inequity', 'transparency']","['problem', 'weve', 'give', 'tailor', 'advic', 'decad', 'done', 'noth', 'advanc', 'white', 'dude', 'drive', 'huge', 'pay', 'gap', 'appreci', 'intent', 'barb', 'understand', 'real', 'problem', 'inequ', 'transpar']","['problem', 'weve', 'giving', 'tailored', 'advice', 'decades', 'done', 'nothing', 'advance', 'white', 'dudes', 'drive', 'huge', 'pay', 'gaps', 'appreciate', 'intent', 'barb', 'understand', 'real', 'problem', 'inequity', 'transparency']",2,Hungary
2022-02-27 11:01:14+00:00,1497889557588676609,@beatieedney @AidanTurner @ETomlinson @Ann85190924 @AlxdrWnl @The_Final_Girl @itszohaforever @VetJuly @Quill_Jen @PoldarkTV @BBCOne @JFarthingNews @JAHollingworth @mammothscreen @RockinRobin0920 @IRioult @GreekGirl9195 @silcarr299 @RichardHopeUK I understand! I appreciate so much BE actress!💜🌹 I'm sorry!🥰🕊🙏,IlonaPasti,"Dunaújváros, Magyarország 🇭🇺",4,1,0,0,Ili     @aidanturner @ETomlinson @PoldarkTV #LeonardoTheSeries,98,,i understand i appreciate so much be actress im sorry,"['i', 'understand', 'i', 'appreciate', 'so', 'much', 'be', 'actress', 'im', 'sorry']","['understand', 'appreciate', 'much', 'actress', 'im', 'sorry']","['understand', 'appreci', 'much', 'actress', 'im', 'sorri']","['understand', 'appreciate', 'much', 'actress', 'im', 'sorry']",5,Hungary
2022-02-26 04:33:10+00:00,1497429509716561922,"@ResponseMonkey Misogyny and sexism is still rife. And yes internalised misogyny is a big problem too.

Women will continue to be targets in jobs like this unless more men like you stand up against it.

So , thank you. We appreciate it",flaminhaystacks,,6,0,0,0,"My threads of unsung heroes and forgotten stories. Was @flaminhaystack
Firefighter mother artist traveller

No unsolicited advice",4569,,misogyny and sexism is still rife and yes internalised misogyny is a big problem too women will continue to be targets in jobs like this unless more men like you stand up against it so thank you we appreciate it,"['misogyny', 'and', 'sexism', 'is', 'still', 'rife', 'and', 'yes', 'internalised', 'misogyny', 'is', 'a', 'big', 'problem', 'too', 'women', 'will', 'continue', 'to', 'be', 'targets', 'in', 'jobs', 'like', 'this', 'unless', 'more', 'men', 'like', 'you', 'stand', 'up', 'against', 'it', 'so', 'thank', 'you', 'we', 'appreciate', 'it']","['misogyny', 'sexism', 'still', 'rife', 'yes', 'internalised', 'misogyny', 'big', 'problem', 'women', 'continue', 'targets', 'jobs', 'like', 'unless', 'men', 'like', 'stand', 'thank', 'appreciate']","['misogyni', 'sexism', 'still', 'rife', 'ye', 'internalis', 'misogyni', 'big', 'problem', 'women', 'continu', 'target', 'job', 'like', 'unless', 'men', 'like', 'stand', 'thank', 'appreci']","['misogyny', 'sexism', 'still', 'rife', 'yes', 'internalised', 'misogyny', 'big', 'problem', 'women', 'continue', 'targets', 'jobs', 'like', 'unless', 'men', 'like', 'stand', 'thank', 'appreciate']",2,Hungary
2022-01-03 17:22:08+00:00,1478054080580890625,@DoctorMonkey2 💙💙 sorry I was being enigmatic at your comment hahaha I am also thinking that a book could be a wonderful idea to let you fully appreciate the story when you'll have all the pieces of the jigsaw,doctorwanderer,Bratislava,2,1,0,0,27 | Asex ⬛🌫️⬜🟪 | Gender fluid | Writer wannabe | Italian-Spanish living in Slovakia | #DoctorWho | #PeterCapaldi fan account | Music lover,356,,sorry i was being enigmatic at your comment hahaha i am also thinking that a book could be a wonderful idea to let you fully appreciate the story when youll have all the pieces of the jigsaw,"['sorry', 'i', 'was', 'being', 'enigmatic', 'at', 'your', 'comment', 'hahaha', 'i', 'am', 'also', 'thinking', 'that', 'a', 'book', 'could', 'be', 'a', 'wonderful', 'idea', 'to', 'let', 'you', 'fully', 'appreciate', 'the', 'story', 'when', 'youll', 'have', 'all', 'the', 'pieces', 'of', 'the', 'jigsaw']","['sorry', 'enigmatic', 'comment', 'hahaha', 'also', 'thinking', 'book', 'could', 'wonderful', 'idea', 'let', 'fully', 'appreciate', 'story', 'youll', 'pieces', 'jigsaw']","['sorri', 'enigmat', 'comment', 'hahaha', 'also', 'think', 'book', 'could', 'wonder', 'idea', 'let', 'fulli', 'appreci', 'stori', 'youll', 'piec', 'jigsaw']","['sorry', 'enigmatic', 'comment', 'hahaha', 'also', 'thinking', 'book', 'could', 'wonderful', 'idea', 'let', 'fully', 'appreciate', 'story', 'youll', 'pieces', 'jigsaw']",2,Hungary
2021-11-26 15:33:46+00:00,1464256072601022468,@gopissgirlie writing this under this tweet was a weird idea that i can do nothing about but appreciate 😭😭😭,mentalfacilitea,,1,0,0,0,the white G from LBTQ+ :/,164,,writing this under this tweet was a weird idea that i can do nothing about but appreciate,"['writing', 'this', 'under', 'this', 'tweet', 'was', 'a', 'weird', 'idea', 'that', 'i', 'can', 'do', 'nothing', 'about', 'but', 'appreciate']","['writing', 'tweet', 'weird', 'idea', 'nothing', 'appreciate']","['write', 'tweet', 'weird', 'idea', 'noth', 'appreci']","['writing', 'tweet', 'weird', 'idea', 'nothing', 'appreciate']",3,Hungary
2021-10-22 10:59:05+00:00,1451503368925483024,@joannaesl I can totally understand why you felt that way!! I’d really appreciate (could include it in the blog post) if we could discuss your experiences! Can I dm you?,jo_shortnsimple,"Budapest, Hungary",0,1,0,0,"Teacher trainer, content creator• Online teaching methodology • Assessment & feedback • Mountain biker & nature lover",681,,i can totally understand why you felt that way id really appreciate could include it in the blog post if we could discuss your experiences can i dm you,"['i', 'can', 'totally', 'understand', 'why', 'you', 'felt', 'that', 'way', 'id', 'really', 'appreciate', 'could', 'include', 'it', 'in', 'the', 'blog', 'post', 'if', 'we', 'could', 'discuss', 'your', 'experiences', 'can', 'i', 'dm', 'you']","['totally', 'understand', 'felt', 'way', 'id', 'really', 'appreciate', 'could', 'include', 'blog', 'post', 'could', 'discuss', 'experiences', 'dm']","['total', 'understand', 'felt', 'way', 'id', 'realli', 'appreci', 'could', 'includ', 'blog', 'post', 'could', 'discuss', 'experi', 'dm']","['totally', 'understand', 'felt', 'way', 'id', 'really', 'appreciate', 'could', 'include', 'blog', 'post', 'could', 'discuss', 'experiences', 'dm']",5,Hungary
2020-12-19 20:28:01+00:00,1340393471950123009,"@MariahTrends @MariahCarey I appreciate ya, enjoy ya and love ya!",zsanett101,Winnipeg,0,0,0,0,Member of the Lambily,226,,i appreciate ya enjoy ya and love ya,"['i', 'appreciate', 'ya', 'enjoy', 'ya', 'and', 'love', 'ya']","['appreciate', 'ya', 'enjoy', 'ya', 'love', 'ya']","['appreci', 'ya', 'enjoy', 'ya', 'love', 'ya']","['appreciate', 'ya', 'enjoy', 'ya', 'love', 'ya']",5,Hungary
2020-12-19 19:26:11+00:00,1340377908704120833,"@CanYamanMedia We are glad to have you and we appreciate your work ... 
Can Yaman it's my light into the future is my life ...
I wish you a lot of health and patience with us with passionated fans❤️",RKadova,Slovenská republika,3,0,1,0,,355,,we are glad to have you and we appreciate your work can yaman its my light into the future is my life i wish you a lot of health and patience with us with passionated fans,"['we', 'are', 'glad', 'to', 'have', 'you', 'and', 'we', 'appreciate', 'your', 'work', 'can', 'yaman', 'its', 'my', 'light', 'into', 'the', 'future', 'is', 'my', 'life', 'i', 'wish', 'you', 'a', 'lot', 'of', 'health', 'and', 'patience', 'with', 'us', 'with', 'passionated', 'fans']","['glad', 'appreciate', 'work', 'yaman', 'light', 'future', 'life', 'wish', 'lot', 'health', 'patience', 'us', 'passionated', 'fans']","['glad', 'appreci', 'work', 'yaman', 'light', 'futur', 'life', 'wish', 'lot', 'health', 'patienc', 'us', 'passion', 'fan']","['glad', 'appreciate', 'work', 'yaman', 'light', 'future', 'life', 'wish', 'lot', 'health', 'patience', 'us', 'passionated', 'fans']",5,Hungary
