Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2021-06-04 14:26:12+00:00,1400821189312929793,"#2nightbyJin
#방탄소년단진 #김석진 #석진 #방탄진 #잔
방탄소년단 진 💗
He's achieved a lot! We appreciate everything you do! The main thing is that you are happy and healthy! We are always with you! My love for you is eternity!
#2YearWithTonightByJin https://t.co/lwOuF5kciG",G41292,Kazakhstan ,2,0,2,0,"@BTS_twt happiness and soul!
I'm a very simple man! I love and respect our guys! 💜",549,"['2nightbyJin', '방탄소년단진', '김석진', '석진', '방탄진', '잔', '2YearWithTonightByJin']",2nightbyjin hes achieved a lot we appreciate everything you do the main thing is that you are happy and healthy we are always with you my love for you is eternity 2yearwithtonightbyjin,"['2nightbyjin', 'hes', 'achieved', 'a', 'lot', 'we', 'appreciate', 'everything', 'you', 'do', 'the', 'main', 'thing', 'is', 'that', 'you', 'are', 'happy', 'and', 'healthy', 'we', 'are', 'always', 'with', 'you', 'my', 'love', 'for', 'you', 'is', 'eternity', '2yearwithtonightbyjin']","['2nightbyjin', 'hes', 'achieved', 'lot', 'appreciate', 'everything', 'main', 'thing', 'happy', 'healthy', 'always', 'love', 'eternity', '2yearwithtonightbyjin']","['2nightbyjin', 'he', 'achiev', 'lot', 'appreci', 'everyth', 'main', 'thing', 'happi', 'healthi', 'alway', 'love', 'etern', '2yearwithtonightbyjin']","['2nightbyjin', 'hes', 'achieved', 'lot', 'appreciate', 'everything', 'main', 'thing', 'happy', 'healthy', 'always', 'love', 'eternity', '2yearwithtonightbyjin']",5,Kazakhstan
2019-12-04 02:26:54+00:00,1202051622999908358,"Happy birthday Jin!!!
I wish you are very happy.I really appreciate and love you 😘
You’re so handsome,funny and hardworking person. Your songs like Awake,Tonight and Epiphany mean so much to me. All the best 💜💜💜thank you!
#JINDAY #HappyBirthdayJin #WorldwideHandsomeJinDay https://t.co/oYUmLjREJL",kesim_Ka,Kazakhstan,0,0,0,0,"ARMY,book lover,music lover and girl with big dreams",43,"['JINDAY', 'HappyBirthdayJin', 'WorldwideHandsomeJinDay']",happy birthday jin i wish you are very happyi really appreciate and love you youre so handsomefunny and hardworking person your songs like awaketonight and epiphany mean so much to me all the best thank you jinday happybirthdayjin worldwidehandsomejinday,"['happy', 'birthday', 'jin', 'i', 'wish', 'you', 'are', 'very', 'happyi', 'really', 'appreciate', 'and', 'love', 'you', 'youre', 'so', 'handsomefunny', 'and', 'hardworking', 'person', 'your', 'songs', 'like', 'awaketonight', 'and', 'epiphany', 'mean', 'so', 'much', 'to', 'me', 'all', 'the', 'best', 'thank', 'you', 'jinday', 'happybirthdayjin', 'worldwidehandsomejinday']","['happy', 'birthday', 'jin', 'wish', 'happyi', 'really', 'appreciate', 'love', 'youre', 'handsomefunny', 'hardworking', 'person', 'songs', 'like', 'awaketonight', 'epiphany', 'mean', 'much', 'best', 'thank', 'jinday', 'happybirthdayjin', 'worldwidehandsomejinday']","['happi', 'birthday', 'jin', 'wish', 'happyi', 'realli', 'appreci', 'love', 'your', 'handsomefunni', 'hardwork', 'person', 'song', 'like', 'awaketonight', 'epiphani', 'mean', 'much', 'best', 'thank', 'jinday', 'happybirthdayjin', 'worldwidehandsomejinday']","['happy', 'birthday', 'jin', 'wish', 'happyi', 'really', 'appreciate', 'love', 'youre', 'handsomefunny', 'hardworking', 'person', 'songs', 'like', 'awaketonight', 'epiphany', 'mean', 'much', 'best', 'thank', 'jinday', 'happybirthdayjin', 'worldwidehandsomejinday']",5,Kazakhstan
2022-06-03 13:49:51+00:00,1532721225822265349,"Rejoyced in every moment of #CICABicycleTour on  #WorldBicycleDay. Confident this event reached its goal to strengthening #connectivity

Great appreciation to all participants, police &amp; medical staff for support &amp; able @CicaSecretariat team for good job! https://t.co/lhl7zelPLW",KairatSarybay,Kazakhstan,15,0,2,0,Executive Director of @CicaSecretariat,826,"['CICABicycleTour', 'WorldBicycleDay', 'connectivity']",rejoyced in every moment of cicabicycletour on worldbicycleday confident this event reached its goal to strengthening connectivity great appreciation to all participants police amp medical staff for support amp able team for good job,"['rejoyced', 'in', 'every', 'moment', 'of', 'cicabicycletour', 'on', 'worldbicycleday', 'confident', 'this', 'event', 'reached', 'its', 'goal', 'to', 'strengthening', 'connectivity', 'great', 'appreciation', 'to', 'all', 'participants', 'police', 'amp', 'medical', 'staff', 'for', 'support', 'amp', 'able', 'team', 'for', 'good', 'job']","['rejoyced', 'every', 'moment', 'cicabicycletour', 'worldbicycleday', 'confident', 'event', 'reached', 'goal', 'strengthening', 'connectivity', 'great', 'appreciation', 'participants', 'police', 'amp', 'medical', 'staff', 'support', 'amp', 'able', 'team', 'good', 'job']","['rejoyc', 'everi', 'moment', 'cicabicycletour', 'worldbicycleday', 'confid', 'event', 'reach', 'goal', 'strengthen', 'connect', 'great', 'appreci', 'particip', 'polic', 'amp', 'medic', 'staff', 'support', 'amp', 'abl', 'team', 'good', 'job']","['rejoyced', 'every', 'moment', 'cicabicycletour', 'worldbicycleday', 'confident', 'event', 'reached', 'goal', 'strengthening', 'connectivity', 'great', 'appreciation', 'participants', 'police', 'amp', 'medical', 'staff', 'support', 'amp', 'able', 'team', 'good', 'job']",5,Kazakhstan
2021-03-28 04:43:14+00:00,1376032105461907458,"Also, ""Zhiyrma bes"" was performed by respected elderly people for the edification of young people.
Terme (poetic and melodious speech) ""Zhiyrma devil"" by Shaken Aimanov appeared precisely as a tribute to tradition.",kipchakdau,Kazakhstan,0,1,0,0,Твори добро и меняй Мир к лучшему!!!,12,,also zhiyrma bes was performed by respected elderly people for the edification of young people terme poetic and melodious speech zhiyrma devil by shaken aimanov appeared precisely as a tribute to tradition,"['also', 'zhiyrma', 'bes', 'was', 'performed', 'by', 'respected', 'elderly', 'people', 'for', 'the', 'edification', 'of', 'young', 'people', 'terme', 'poetic', 'and', 'melodious', 'speech', 'zhiyrma', 'devil', 'by', 'shaken', 'aimanov', 'appeared', 'precisely', 'as', 'a', 'tribute', 'to', 'tradition']","['also', 'zhiyrma', 'bes', 'performed', 'respected', 'elderly', 'people', 'edification', 'young', 'people', 'terme', 'poetic', 'melodious', 'speech', 'zhiyrma', 'devil', 'shaken', 'aimanov', 'appeared', 'precisely', 'tribute', 'tradition']","['also', 'zhiyrma', 'be', 'perform', 'respect', 'elderli', 'peopl', 'edif', 'young', 'peopl', 'term', 'poetic', 'melodi', 'speech', 'zhiyrma', 'devil', 'shaken', 'aimanov', 'appear', 'precis', 'tribut', 'tradit']","['also', 'zhiyrma', 'bes', 'performed', 'respected', 'elderly', 'people', 'edification', 'young', 'people', 'terme', 'poetic', 'melodious', 'speech', 'zhiyrma', 'devil', 'shaken', 'aimanov', 'appeared', 'precisely', 'tribute', 'tradition']",5,Kazakhstan
2020-11-11 16:26:40+00:00,1326561996062515206,"#Ayurveda &amp; #Covid19: Free Online Session on #AyurvedaDay - 13 Nov 2020.

 #Ayurveda4Health #TraditionalMedicine 
 
@MEAIndia @moayush @ICCR_Delhi @InchamK  
@indiandancekz @AlmatySs @AIIA_NDelhi @ayurveda 
@ayurveda_day @AyurvedicInst @KazEmbassyIndia https://t.co/SxFxaiEgnw",ICCR_NurSultan,Kazakhstan,6,0,3,0,"Official Twitter account of the Swami Vivekananda Cultural Centre, Embassy of India, Nur-Sultan, Kazakhstan",576,"['Ayurveda', 'Covid19', 'AyurvedaDay', 'Ayurveda4Health', 'TraditionalMedicine']",ayurveda amp covid19 free online session on ayurvedaday 13 nov 2020 ayurveda4health traditionalmedicine,"['ayurveda', 'amp', 'covid19', 'free', 'online', 'session', 'on', 'ayurvedaday', '13', 'nov', '2020', 'ayurveda4health', 'traditionalmedicine']","['ayurveda', 'amp', 'covid19', 'free', 'online', 'session', 'ayurvedaday', '13', 'nov', '2020', 'ayurveda4health', 'traditionalmedicine']","['ayurveda', 'amp', 'covid19', 'free', 'onlin', 'session', 'ayurvedaday', '13', 'nov', '2020', 'ayurveda4health', 'traditionalmedicin']","['ayurveda', 'amp', 'covid19', 'free', 'online', 'session', 'ayurvedaday', '13', 'nov', '2020', 'ayurveda4health', 'traditionalmedicine']",5,Kazakhstan
2020-07-21 07:12:15+00:00,1285472640560439296,"EU launches a € 3 million programme to combat #COVID19 in #Kazakhstan and #CentralAsia. Implemented by @WHO, the programme will help to mitigate the pandemic &amp; contribute towards longer-term resilience of national health systems in #CentralAsia. Read more:https://t.co/J0reHEK4Ns https://t.co/Uybml7F10A",EUinKazakhstan,"Nur-Sultan, Kazakhstan",19,0,10,1,The official Twitter account of the European Union Delegation to the Republic of Kazakhstan,3015,"['COVID19', 'Kazakhstan', 'CentralAsia', 'CentralAsia']",eu launches a 3 million programme to combat covid19 in kazakhstan and centralasia implemented by the programme will help to mitigate the pandemic amp contribute towards longerterm resilience of national health systems in centralasia read more,"['eu', 'launches', 'a', '3', 'million', 'programme', 'to', 'combat', 'covid19', 'in', 'kazakhstan', 'and', 'centralasia', 'implemented', 'by', 'the', 'programme', 'will', 'help', 'to', 'mitigate', 'the', 'pandemic', 'amp', 'contribute', 'towards', 'longerterm', 'resilience', 'of', 'national', 'health', 'systems', 'in', 'centralasia', 'read', 'more']","['eu', 'launches', '3', 'million', 'programme', 'combat', 'covid19', 'kazakhstan', 'centralasia', 'implemented', 'programme', 'help', 'mitigate', 'pandemic', 'amp', 'contribute', 'towards', 'longerterm', 'resilience', 'national', 'health', 'systems', 'centralasia', 'read']","['eu', 'launch', '3', 'million', 'programm', 'combat', 'covid19', 'kazakhstan', 'centralasia', 'implement', 'programm', 'help', 'mitig', 'pandem', 'amp', 'contribut', 'toward', 'longerterm', 'resili', 'nation', 'health', 'system', 'centralasia', 'read']","['eu', 'launches', '3', 'million', 'programme', 'combat', 'covid19', 'kazakhstan', 'centralasia', 'implemented', 'programme', 'help', 'mitigate', 'pandemic', 'amp', 'contribute', 'towards', 'longerterm', 'resilience', 'national', 'health', 'systems', 'centralasia', 'read']",4,Kazakhstan
2020-07-04 05:44:52+00:00,1279290059066421253,"Watch this three part video (in Russian, with subtitles in English) about the medical equipment @PamiriYouth are fundraising to buy to support the fight against #COVID19 in #Tajikistan. Links to donate in the tweets https://t.co/BISuPLBbPJ",balalaichnitsa,Kazakhstan,3,0,4,0,Historian and fiction writer | living with #OCD & #bipolar | Academic in transit | Tweets #EarlyModern #HistSTM #GlobalHistory #MentalHealth | she/her,1970,"['COVID19', 'Tajikistan']",watch this three part video in russian with subtitles in english about the medical equipment are fundraising to buy to support the fight against covid19 in tajikistan links to donate in the tweets,"['watch', 'this', 'three', 'part', 'video', 'in', 'russian', 'with', 'subtitles', 'in', 'english', 'about', 'the', 'medical', 'equipment', 'are', 'fundraising', 'to', 'buy', 'to', 'support', 'the', 'fight', 'against', 'covid19', 'in', 'tajikistan', 'links', 'to', 'donate', 'in', 'the', 'tweets']","['watch', 'three', 'part', 'video', 'russian', 'subtitles', 'english', 'medical', 'equipment', 'fundraising', 'buy', 'support', 'fight', 'covid19', 'tajikistan', 'links', 'donate', 'tweets']","['watch', 'three', 'part', 'video', 'russian', 'subtitl', 'english', 'medic', 'equip', 'fundrais', 'buy', 'support', 'fight', 'covid19', 'tajikistan', 'link', 'donat', 'tweet']","['watch', 'three', 'part', 'video', 'russian', 'subtitles', 'english', 'medical', 'equipment', 'fundraising', 'buy', 'support', 'fight', 'covid19', 'tajikistan', 'links', 'donate', 'tweets']",1,Kazakhstan
2020-04-19 04:16:51+00:00,1251726428447682563,"This Easter 🐣 we would like to wish everyone health, which undoubtedly is the precious gift 🎁 from the God. 
We pray for the recovery of all people who are suffering from the Covid-19 all over the world. 
#easter #angelstream #stayhomestaysafe #english #kazakhstan  #covi̇d19 https://t.co/dJxs3iEZX2",iamangelstream,"Almaty, Kazakhstan",0,0,0,0,Школа английского языка в Алматы,16,"['easter', 'angelstream', 'stayhomestaysafe', 'english', 'kazakhstan', 'covi̇d19']",this easter we would like to wish everyone health which undoubtedly is the precious gift from the god we pray for the recovery of all people who are suffering from the covid19 all over the world easter angelstream stayhomestaysafe english kazakhstan covid19,"['this', 'easter', 'we', 'would', 'like', 'to', 'wish', 'everyone', 'health', 'which', 'undoubtedly', 'is', 'the', 'precious', 'gift', 'from', 'the', 'god', 'we', 'pray', 'for', 'the', 'recovery', 'of', 'all', 'people', 'who', 'are', 'suffering', 'from', 'the', 'covid19', 'all', 'over', 'the', 'world', 'easter', 'angelstream', 'stayhomestaysafe', 'english', 'kazakhstan', 'covid19']","['easter', 'would', 'like', 'wish', 'everyone', 'health', 'undoubtedly', 'precious', 'gift', 'god', 'pray', 'recovery', 'people', 'suffering', 'covid19', 'world', 'easter', 'angelstream', 'stayhomestaysafe', 'english', 'kazakhstan', 'covid19']","['easter', 'would', 'like', 'wish', 'everyon', 'health', 'undoubtedli', 'preciou', 'gift', 'god', 'pray', 'recoveri', 'peopl', 'suffer', 'covid19', 'world', 'easter', 'angelstream', 'stayhomestaysaf', 'english', 'kazakhstan', 'covid19']","['easter', 'would', 'like', 'wish', 'everyone', 'health', 'undoubtedly', 'precious', 'gift', 'god', 'pray', 'recovery', 'people', 'suffering', 'covid19', 'world', 'easter', 'angelstream', 'stayhomestaysafe', 'english', 'kazakhstan', 'covid19']",5,Kazakhstan
2020-04-10 07:04:47+00:00,1248507202396205061,"Why neither USA doctors nor European's didn't agree to come and help to our medical personnel to fight with f....ing #COVID19 
PLEASE BE FREE TO CONTACT ME IF U HAVE ANY QUERIES DEALING WITH #COVID19 
@SenatorDurbin please its for your good opportunity to show US power https://t.co/Xu4kUkZ2f8",erasyl80,Kazakhstan,1,0,0,0,"Be strong do not show your severity, be merciful do not display your weakness.",84,"['COVID19', 'COVID19']",why neither usa doctors nor europeans didnt agree to come and help to our medical personnel to fight with fing covid19 please be free to contact me if u have any queries dealing with covid19 please its for your good opportunity to show us power,"['why', 'neither', 'usa', 'doctors', 'nor', 'europeans', 'didnt', 'agree', 'to', 'come', 'and', 'help', 'to', 'our', 'medical', 'personnel', 'to', 'fight', 'with', 'fing', 'covid19', 'please', 'be', 'free', 'to', 'contact', 'me', 'if', 'u', 'have', 'any', 'queries', 'dealing', 'with', 'covid19', 'please', 'its', 'for', 'your', 'good', 'opportunity', 'to', 'show', 'us', 'power']","['neither', 'usa', 'doctors', 'europeans', 'didnt', 'agree', 'come', 'help', 'medical', 'personnel', 'fight', 'fing', 'covid19', 'please', 'free', 'contact', 'u', 'queries', 'dealing', 'covid19', 'please', 'good', 'opportunity', 'show', 'us', 'power']","['neither', 'usa', 'doctor', 'european', 'didnt', 'agre', 'come', 'help', 'medic', 'personnel', 'fight', 'fing', 'covid19', 'pleas', 'free', 'contact', 'u', 'queri', 'deal', 'covid19', 'pleas', 'good', 'opportun', 'show', 'us', 'power']","['neither', 'usa', 'doctors', 'europeans', 'didnt', 'agree', 'come', 'help', 'medical', 'personnel', 'fight', 'fing', 'covid19', 'please', 'free', 'contact', 'u', 'queries', 'dealing', 'covid19', 'please', 'good', 'opportunity', 'show', 'us', 'power']",1,Kazakhstan
2020-11-11 16:26:40+00:00,1326561996062515206,"#Ayurveda &amp; #Covid19: Free Online Session on #AyurvedaDay - 13 Nov 2020.

 #Ayurveda4Health #TraditionalMedicine 
 
@MEAIndia @moayush @ICCR_Delhi @InchamK  
@indiandancekz @AlmatySs @AIIA_NDelhi @ayurveda 
@ayurveda_day @AyurvedicInst @KazEmbassyIndia https://t.co/SxFxaiEgnw",ICCR_NurSultan,Kazakhstan,6,0,3,0,"Official Twitter account of the Swami Vivekananda Cultural Centre, Embassy of India, Nur-Sultan, Kazakhstan",576,"['Ayurveda', 'Covid19', 'AyurvedaDay', 'Ayurveda4Health', 'TraditionalMedicine']",ayurveda amp covid19 free online session on ayurvedaday 13 nov 2020 ayurveda4health traditionalmedicine,"['ayurveda', 'amp', 'covid19', 'free', 'online', 'session', 'on', 'ayurvedaday', '13', 'nov', '2020', 'ayurveda4health', 'traditionalmedicine']","['ayurveda', 'amp', 'covid19', 'free', 'online', 'session', 'ayurvedaday', '13', 'nov', '2020', 'ayurveda4health', 'traditionalmedicine']","['ayurveda', 'amp', 'covid19', 'free', 'onlin', 'session', 'ayurvedaday', '13', 'nov', '2020', 'ayurveda4health', 'traditionalmedicin']","['ayurveda', 'amp', 'covid19', 'free', 'online', 'session', 'ayurvedaday', '13', 'nov', '2020', 'ayurveda4health', 'traditionalmedicine']",5,Kazakhstan
