Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-07 13:53:15+00:00,1534171631375073280,@buttered1979 @geordiedentist Cheers John. Appreciate it,Ted246_,"Newcastle Upon Tyne, England",0,0,0,0,Newcastle Utd 🖤🤍 Glasgow Rangers ❤️🤍💙,817,,cheers john appreciate it,"['cheers', 'john', 'appreciate', 'it']","['cheers', 'john', 'appreciate']","['cheer', 'john', 'appreci']","['cheers', 'john', 'appreciate']",3,Morocco
2022-06-07 02:46:47+00:00,1534003912511979521,@Sw333ty_ @IbrahimDankifi @bb_khamees Jaxakhumullah dear I really appreciate wlh even if took medicine it will not work on me🥺🥺that’s why,Ahmerd__Deedart,UAR,2,1,0,0,Your best atamfa shadda nd laces plug🌹👌 deen over dunya🤲🤲 ya rab husnol khatima 🤲🤲 twince's father insha Allah 🤲🤲❤️ pls pray for me when I’m no more😭,3869,,jaxakhumullah dear i really appreciate wlh even if took medicine it will not work on methats why,"['jaxakhumullah', 'dear', 'i', 'really', 'appreciate', 'wlh', 'even', 'if', 'took', 'medicine', 'it', 'will', 'not', 'work', 'on', 'methats', 'why']","['jaxakhumullah', 'dear', 'really', 'appreciate', 'wlh', 'even', 'took', 'medicine', 'work', 'methats']","['jaxakhumullah', 'dear', 'realli', 'appreci', 'wlh', 'even', 'took', 'medicin', 'work', 'methat']","['jaxakhumullah', 'dear', 'really', 'appreciate', 'wlh', 'even', 'took', 'medicine', 'work', 'methats']",3,Morocco
2022-06-04 16:40:52+00:00,1533126650140958721,@63GBPackerfan @packers I might be going to the Buffalo game because that’s the closest to me and I appreciate the Bills and their fans. So if I end up going we can smash some tables! 🤣,reh_beeXII,"North Shore, MA",9,1,0,0,"Renée ♓️🧜‍♀️ || 29 || Asst. Project ""Architect"" || Libertarian || @Packers Fan & Share Holder || Masshole || #ADHD #dyslexic #intj || Im a b!tCh #dealwithit ✌️",4592,,i might be going to the buffalo game because thats the closest to me and i appreciate the bills and their fans so if i end up going we can smash some tables,"['i', 'might', 'be', 'going', 'to', 'the', 'buffalo', 'game', 'because', 'thats', 'the', 'closest', 'to', 'me', 'and', 'i', 'appreciate', 'the', 'bills', 'and', 'their', 'fans', 'so', 'if', 'i', 'end', 'up', 'going', 'we', 'can', 'smash', 'some', 'tables']","['might', 'going', 'buffalo', 'game', 'thats', 'closest', 'appreciate', 'bills', 'fans', 'end', 'going', 'smash', 'tables']","['might', 'go', 'buffalo', 'game', 'that', 'closest', 'appreci', 'bill', 'fan', 'end', 'go', 'smash', 'tabl']","['might', 'going', 'buffalo', 'game', 'thats', 'closest', 'appreciate', 'bills', 'fans', 'end', 'going', 'smash', 'tables']",3,Morocco
2022-06-04 15:33:53+00:00,1533109793715544065,Bet! Appreciate you ima check out! https://t.co/KJGPfeLR74,MUSICANDBUILDS,THE HOLY LAND,1,1,0,0,🇺🇸page got clipped at 4k.. “Broke in my crib niggas took everything except the books foolish crooks”- DAT BOI VIC 🤲🏾 CLICK THE LINK IN BIO FOR MERCH/MUSIC,1189,,bet appreciate you ima check out,"['bet', 'appreciate', 'you', 'ima', 'check', 'out']","['bet', 'appreciate', 'ima', 'check']","['bet', 'appreci', 'ima', 'check']","['bet', 'appreciate', 'ima', 'check']",3,Morocco
2022-06-01 19:55:19+00:00,1532088423539806209,"There was an urge to shower Vannevar in something, but what was it? It was frustrating, a feeling and an urge Wright couldn't understand. Treat Van Laplace well. Treat Vannevar Laplace well. She deserves it. Show her that you...appreciate her. Show her that she is....cared about.",totalannularity,around.,0,0,0,0,"M-1's Very Large Sentient Life
Quotebot for Myself.
UMR indicates an original quote, as does ANNULARITY. UMR has grown endangered.

every 30 minutes.",17,,there was an urge to shower vannevar in something but what was it it was frustrating a feeling and an urge wright couldnt understand treat van laplace well treat vannevar laplace well she deserves it show her that youappreciate her show her that she iscared about,"['there', 'was', 'an', 'urge', 'to', 'shower', 'vannevar', 'in', 'something', 'but', 'what', 'was', 'it', 'it', 'was', 'frustrating', 'a', 'feeling', 'and', 'an', 'urge', 'wright', 'couldnt', 'understand', 'treat', 'van', 'laplace', 'well', 'treat', 'vannevar', 'laplace', 'well', 'she', 'deserves', 'it', 'show', 'her', 'that', 'youappreciate', 'her', 'show', 'her', 'that', 'she', 'iscared', 'about']","['urge', 'shower', 'vannevar', 'something', 'frustrating', 'feeling', 'urge', 'wright', 'couldnt', 'understand', 'treat', 'van', 'laplace', 'well', 'treat', 'vannevar', 'laplace', 'well', 'deserves', 'show', 'youappreciate', 'show', 'iscared']","['urg', 'shower', 'vannevar', 'someth', 'frustrat', 'feel', 'urg', 'wright', 'couldnt', 'understand', 'treat', 'van', 'laplac', 'well', 'treat', 'vannevar', 'laplac', 'well', 'deserv', 'show', 'youappreci', 'show', 'iscar']","['urge', 'shower', 'vannevar', 'something', 'frustrating', 'feeling', 'urge', 'wright', 'couldnt', 'understand', 'treat', 'van', 'laplace', 'well', 'treat', 'vannevar', 'laplace', 'well', 'deserves', 'show', 'youappreciate', 'show', 'iscared']",2,Morocco
2022-05-31 13:23:15+00:00,1531627368988778497,@Adopt_A_Rescue We appreciate your kind words! We agree and will share your tweet with the nurses on Springfield 1400.,Baystate_Health,Western MA,1,0,0,0,"Our charitable mission is to improve the health of the people in our communities every day, with quality and compassion. #AdvancingCare #EnhancingLives",4422,,we appreciate your kind words we agree and will share your tweet with the nurses on springfield 1400,"['we', 'appreciate', 'your', 'kind', 'words', 'we', 'agree', 'and', 'will', 'share', 'your', 'tweet', 'with', 'the', 'nurses', 'on', 'springfield', '1400']","['appreciate', 'kind', 'words', 'agree', 'share', 'tweet', 'nurses', 'springfield', '1400']","['appreci', 'kind', 'word', 'agre', 'share', 'tweet', 'nurs', 'springfield', '1400']","['appreciate', 'kind', 'words', 'agree', 'share', 'tweet', 'nurses', 'springfield', '1400']",4,Morocco
2022-05-31 01:23:59+00:00,1531446359336792064,"There was an urge to shower Vannevar in something, but what was it? It was frustrating, a feeling and an urge Wright couldn't understand. Treat Van Laplace well. Treat Vannevar Laplace well. She deserves it. Show her that you...appreciate her. Show her that she is....cared about.",totalannularity,around.,0,0,0,0,"M-1's Very Large Sentient Life
Quotebot for Myself.
UMR indicates an original quote, as does ANNULARITY. UMR has grown endangered.

every 30 minutes.",17,,there was an urge to shower vannevar in something but what was it it was frustrating a feeling and an urge wright couldnt understand treat van laplace well treat vannevar laplace well she deserves it show her that youappreciate her show her that she iscared about,"['there', 'was', 'an', 'urge', 'to', 'shower', 'vannevar', 'in', 'something', 'but', 'what', 'was', 'it', 'it', 'was', 'frustrating', 'a', 'feeling', 'and', 'an', 'urge', 'wright', 'couldnt', 'understand', 'treat', 'van', 'laplace', 'well', 'treat', 'vannevar', 'laplace', 'well', 'she', 'deserves', 'it', 'show', 'her', 'that', 'youappreciate', 'her', 'show', 'her', 'that', 'she', 'iscared', 'about']","['urge', 'shower', 'vannevar', 'something', 'frustrating', 'feeling', 'urge', 'wright', 'couldnt', 'understand', 'treat', 'van', 'laplace', 'well', 'treat', 'vannevar', 'laplace', 'well', 'deserves', 'show', 'youappreciate', 'show', 'iscared']","['urg', 'shower', 'vannevar', 'someth', 'frustrat', 'feel', 'urg', 'wright', 'couldnt', 'understand', 'treat', 'van', 'laplac', 'well', 'treat', 'vannevar', 'laplac', 'well', 'deserv', 'show', 'youappreci', 'show', 'iscar']","['urge', 'shower', 'vannevar', 'something', 'frustrating', 'feeling', 'urge', 'wright', 'couldnt', 'understand', 'treat', 'van', 'laplace', 'well', 'treat', 'vannevar', 'laplace', 'well', 'deserves', 'show', 'youappreciate', 'show', 'iscared']",2,Morocco
2022-05-30 15:06:16+00:00,1531290906443194369,"@ArithmancerKen Iii have watched a lot of streams! A good amount of my friends do them! Sorry if my question led to a lot of assumptions, I mostly meant I feel impressed/intimidated by joining that area of ttrpg play. Thank you though! I appreciate the encouragement",BurgerMadison,Around,1,0,0,0,"Artist (??!), 🏳️‍🌈 She/they, 25, I like playing ttrpgs and um, frog stuff. you know. Insta: sunhatbird ko-fi.com/sunhatbird",549,,iii have watched a lot of streams a good amount of my friends do them sorry if my question led to a lot of assumptions i mostly meant i feel impressedintimidated by joining that area of ttrpg play thank you though i appreciate the encouragement,"['iii', 'have', 'watched', 'a', 'lot', 'of', 'streams', 'a', 'good', 'amount', 'of', 'my', 'friends', 'do', 'them', 'sorry', 'if', 'my', 'question', 'led', 'to', 'a', 'lot', 'of', 'assumptions', 'i', 'mostly', 'meant', 'i', 'feel', 'impressedintimidated', 'by', 'joining', 'that', 'area', 'of', 'ttrpg', 'play', 'thank', 'you', 'though', 'i', 'appreciate', 'the', 'encouragement']","['iii', 'watched', 'lot', 'streams', 'good', 'amount', 'friends', 'sorry', 'question', 'led', 'lot', 'assumptions', 'mostly', 'meant', 'feel', 'impressedintimidated', 'joining', 'area', 'ttrpg', 'play', 'thank', 'though', 'appreciate', 'encouragement']","['iii', 'watch', 'lot', 'stream', 'good', 'amount', 'friend', 'sorri', 'question', 'led', 'lot', 'assumpt', 'mostli', 'meant', 'feel', 'impressedintimid', 'join', 'area', 'ttrpg', 'play', 'thank', 'though', 'appreci', 'encourag']","['iii', 'watched', 'lot', 'streams', 'good', 'amount', 'friends', 'sorry', 'question', 'led', 'lot', 'assumptions', 'mostly', 'meant', 'feel', 'impressedintimidated', 'joining', 'area', 'ttrpg', 'play', 'thank', 'though', 'appreciate', 'encouragement']",3,Morocco
2022-03-16 08:48:04+00:00,1504016637959319553,I feel bad for my escorts. The constant explaining and phoning people and showing paperwork and verifications are a burden to them. I’m going to wrap it up. Need to respect their time. Sure do appreciate the commitment to security though. Never experienced anything like this.,user47,"Lee's Summit, MO, USA",4,0,0,0,"Dad. 💍 @JillianMarisa 😍 Liberal. C-list #AvGeek. Naturalist. Leader @ a Conglom-O Corp & @AirlineReporter. #PlugIn driver. #CorpLife. MY VIEWS, yadda yadda…",3577,,i feel bad for my escorts the constant explaining and phoning people and showing paperwork and verifications are a burden to them im going to wrap it up need to respect their time sure do appreciate the commitment to security though never experienced anything like this,"['i', 'feel', 'bad', 'for', 'my', 'escorts', 'the', 'constant', 'explaining', 'and', 'phoning', 'people', 'and', 'showing', 'paperwork', 'and', 'verifications', 'are', 'a', 'burden', 'to', 'them', 'im', 'going', 'to', 'wrap', 'it', 'up', 'need', 'to', 'respect', 'their', 'time', 'sure', 'do', 'appreciate', 'the', 'commitment', 'to', 'security', 'though', 'never', 'experienced', 'anything', 'like', 'this']","['feel', 'bad', 'escorts', 'constant', 'explaining', 'phoning', 'people', 'showing', 'paperwork', 'verifications', 'burden', 'im', 'going', 'wrap', 'need', 'respect', 'time', 'sure', 'appreciate', 'commitment', 'security', 'though', 'never', 'experienced', 'anything', 'like']","['feel', 'bad', 'escort', 'constant', 'explain', 'phone', 'peopl', 'show', 'paperwork', 'verif', 'burden', 'im', 'go', 'wrap', 'need', 'respect', 'time', 'sure', 'appreci', 'commit', 'secur', 'though', 'never', 'experienc', 'anyth', 'like']","['feel', 'bad', 'escorts', 'constant', 'explaining', 'phoning', 'people', 'showing', 'paperwork', 'verifications', 'burden', 'im', 'going', 'wrap', 'need', 'respect', 'time', 'sure', 'appreciate', 'commitment', 'security', 'though', 'never', 'experienced', 'anything', 'like']",2,Morocco
2021-12-13 10:02:00+00:00,1470333173162721281,"Good morning here’s my #quote for today👇🏻Honesty IS the best policy especially when appraising people but be ready for the difficult conversation In my experience, after the initial upset, most people appreciate it #leadership Have a great day 👋🏻🇬🇮 #GibQuotes https://t.co/8zoIX4jKhq",Once_in_the_job,Gibraltar,11,1,1,0,"Former @RGPolice officer Richard Mifsud. 'Semper recte facimus' Views my own mostly #policing, @leinsterrugby @gibraltarrugby @irishrugby and #Gibraltar 🧘🏻‍♂️",1183,"['quote', 'leadership', 'GibQuotes']",good morning heres my quote for todayhonesty is the best policy especially when appraising people but be ready for the difficult conversation in my experience after the initial upset most people appreciate it leadership have a great day gibquotes,"['good', 'morning', 'heres', 'my', 'quote', 'for', 'todayhonesty', 'is', 'the', 'best', 'policy', 'especially', 'when', 'appraising', 'people', 'but', 'be', 'ready', 'for', 'the', 'difficult', 'conversation', 'in', 'my', 'experience', 'after', 'the', 'initial', 'upset', 'most', 'people', 'appreciate', 'it', 'leadership', 'have', 'a', 'great', 'day', 'gibquotes']","['good', 'morning', 'heres', 'quote', 'todayhonesty', 'best', 'policy', 'especially', 'appraising', 'people', 'ready', 'difficult', 'conversation', 'experience', 'initial', 'upset', 'people', 'appreciate', 'leadership', 'great', 'day', 'gibquotes']","['good', 'morn', 'here', 'quot', 'todayhonesti', 'best', 'polici', 'especi', 'apprais', 'peopl', 'readi', 'difficult', 'convers', 'experi', 'initi', 'upset', 'peopl', 'appreci', 'leadership', 'great', 'day', 'gibquot']","['good', 'morning', 'heres', 'quote', 'todayhonesty', 'best', 'policy', 'especially', 'appraising', 'people', 'ready', 'difficult', 'conversation', 'experience', 'initial', 'upset', 'people', 'appreciate', 'leadership', 'great', 'day', 'gibquotes']",4,Morocco
