Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-03 17:01:11+00:00,1.5327693763189391e+18,"@realRevJesus @doctorow @trbrtc @xkcd Coming from Perth, Scotland, I appreciate this! Is there an international edition?",dvdwlws,Bucharest,1.0,1.0,0.0,0.0,"Teacher, St Johnstone fan, all views my own, even the ill-thought out ones",37.0,,coming from perth scotland i appreciate this is there an international edition,"['coming', 'from', 'perth', 'scotland', 'i', 'appreciate', 'this', 'is', 'there', 'an', 'international', 'edition']","['coming', 'perth', 'scotland', 'appreciate', 'international', 'edition']","['come', 'perth', 'scotland', 'appreci', 'intern', 'edit']","['coming', 'perth', 'scotland', 'appreciate', 'international', 'edition']",4,Romania
2022-06-03 16:22:08+00:00,1.532759548372697e+18,"@theleoalexandru Awesome, indeed. I really appreciate when I see Purchasing Power Parity.",georgenica,"Bucharest, Romania",1.0,0.0,0.0,0.0,"I talk about my move from devops & K8S to dev with Serverless, Python, JS and Go • Cloud Solutions Architect with 21 years in the field.",272.0,,awesome indeed i really appreciate when i see purchasing power parity,"['awesome', 'indeed', 'i', 'really', 'appreciate', 'when', 'i', 'see', 'purchasing', 'power', 'parity']","['awesome', 'indeed', 'really', 'appreciate', 'see', 'purchasing', 'power', 'parity']","['awesom', 'inde', 'realli', 'appreci', 'see', 'purchas', 'power', 'pariti']","['awesome', 'indeed', 'really', 'appreciate', 'see', 'purchasing', 'power', 'parity']",5,Romania
2022-06-02 11:24:20+00:00,1.5323222179917496e+18,"@mculokii I'm not a JD stan exactly (even if I deeply appreciate his work), I am a former abuse victim slandered by my abuser - and I've felt I recognize myself in JD's situation. Yesterday those tweets saddened me and frankly, kindda scared me. Today I'm like ""give ppl time to adjust"".",MihaelaBiolan,Bucharest,2.0,0.0,0.0,0.0,"Pragmatic revolutionary&skeptical idealist, feminist, queer af, anti-authoritarian to the bone. Genderfluid bi/pan. them/it",1115.0,,im not a jd stan exactly even if i deeply appreciate his work i am a former abuse victim slandered by my abuser and ive felt i recognize myself in jds situation yesterday those tweets saddened me and frankly kindda scared me today im like give ppl time to adjust,"['im', 'not', 'a', 'jd', 'stan', 'exactly', 'even', 'if', 'i', 'deeply', 'appreciate', 'his', 'work', 'i', 'am', 'a', 'former', 'abuse', 'victim', 'slandered', 'by', 'my', 'abuser', 'and', 'ive', 'felt', 'i', 'recognize', 'myself', 'in', 'jds', 'situation', 'yesterday', 'those', 'tweets', 'saddened', 'me', 'and', 'frankly', 'kindda', 'scared', 'me', 'today', 'im', 'like', 'give', 'ppl', 'time', 'to', 'adjust']","['im', 'jd', 'stan', 'exactly', 'even', 'deeply', 'appreciate', 'work', 'former', 'abuse', 'victim', 'slandered', 'abuser', 'ive', 'felt', 'recognize', 'jds', 'situation', 'yesterday', 'tweets', 'saddened', 'frankly', 'kindda', 'scared', 'today', 'im', 'like', 'give', 'ppl', 'time', 'adjust']","['im', 'jd', 'stan', 'exactli', 'even', 'deepli', 'appreci', 'work', 'former', 'abus', 'victim', 'slander', 'abus', 'ive', 'felt', 'recogn', 'jd', 'situat', 'yesterday', 'tweet', 'sadden', 'frankli', 'kindda', 'scare', 'today', 'im', 'like', 'give', 'ppl', 'time', 'adjust']","['im', 'jd', 'stan', 'exactly', 'even', 'deeply', 'appreciate', 'work', 'former', 'abuse', 'victim', 'slandered', 'abuser', 'ive', 'felt', 'recognize', 'jds', 'situation', 'yesterday', 'tweets', 'saddened', 'frankly', 'kindda', 'scared', 'today', 'im', 'like', 'give', 'ppl', 'time', 'adjust']",2,Romania
2022-06-02 03:18:29+00:00,1.5321999484769444e+18,"I do appreciate how often @SludgePepper replies to me, though it may signal an unhealthy amount of Twitter usage",WormwoodStan,Band,0.0,1.0,0.0,0.0,"Little Plant Fella (He/They?)
(CR spoilers?)
Alt of @WormwoodStan
Pfp by @WormwoodStan",44.0,,i do appreciate how often replies to me though it may signal an unhealthy amount of twitter usage,"['i', 'do', 'appreciate', 'how', 'often', 'replies', 'to', 'me', 'though', 'it', 'may', 'signal', 'an', 'unhealthy', 'amount', 'of', 'twitter', 'usage']","['appreciate', 'often', 'replies', 'though', 'may', 'signal', 'unhealthy', 'amount', 'twitter', 'usage']","['appreci', 'often', 'repli', 'though', 'may', 'signal', 'unhealthi', 'amount', 'twitter', 'usag']","['appreciate', 'often', 'replies', 'though', 'may', 'signal', 'unhealthy', 'amount', 'twitter', 'usage']",3,Romania
2022-06-01 19:54:57+00:00,1.5320883293483172e+18,BTS  Guys have a safe fight. My Precious I want to thank you so much for everything you do and to tell you again and again how much I appreciate everything you do and how Proud I am to live in the same Universe with you. I wish you a life full of LOVE and a lot of Health. https://t.co/6Sk2DVFxtb,Pantilimon10,"Bucureşti, România",1.0,0.0,1.0,0.0,,58.0,,bts guys have a safe fight my precious i want to thank you so much for everything you do and to tell you again and again how much i appreciate everything you do and how proud i am to live in the same universe with you i wish you a life full of love and a lot of health,"['bts', 'guys', 'have', 'a', 'safe', 'fight', 'my', 'precious', 'i', 'want', 'to', 'thank', 'you', 'so', 'much', 'for', 'everything', 'you', 'do', 'and', 'to', 'tell', 'you', 'again', 'and', 'again', 'how', 'much', 'i', 'appreciate', 'everything', 'you', 'do', 'and', 'how', 'proud', 'i', 'am', 'to', 'live', 'in', 'the', 'same', 'universe', 'with', 'you', 'i', 'wish', 'you', 'a', 'life', 'full', 'of', 'love', 'and', 'a', 'lot', 'of', 'health']","['bts', 'guys', 'safe', 'fight', 'precious', 'want', 'thank', 'much', 'everything', 'tell', 'much', 'appreciate', 'everything', 'proud', 'live', 'universe', 'wish', 'life', 'full', 'love', 'lot', 'health']","['bt', 'guy', 'safe', 'fight', 'preciou', 'want', 'thank', 'much', 'everyth', 'tell', 'much', 'appreci', 'everyth', 'proud', 'live', 'univers', 'wish', 'life', 'full', 'love', 'lot', 'health']","['bts', 'guys', 'safe', 'fight', 'precious', 'want', 'thank', 'much', 'everything', 'tell', 'much', 'appreciate', 'everything', 'proud', 'live', 'universe', 'wish', 'life', 'full', 'love', 'lot', 'health']",5,Romania
2022-06-01 12:45:54+00:00,1.5319803569282826e+18,@CryptoA40672341 Appreciate your efforts! ive made some money following your calls. Care to DM any resources for learning TA? Ive dabbled in it and lately have been able to nail trends just glancing at charts,Token_Bae,"Bucharest, Romania",0.0,0.0,0.0,0.0,"chintai.io $chex Licensed by MAS and leading Singapore in tokenized assets (Real Estate, Carbon, Equities, Debt and more!)
::Anything I post on twitter is NFA::",547.0,,appreciate your efforts ive made some money following your calls care to dm any resources for learning ta ive dabbled in it and lately have been able to nail trends just glancing at charts,"['appreciate', 'your', 'efforts', 'ive', 'made', 'some', 'money', 'following', 'your', 'calls', 'care', 'to', 'dm', 'any', 'resources', 'for', 'learning', 'ta', 'ive', 'dabbled', 'in', 'it', 'and', 'lately', 'have', 'been', 'able', 'to', 'nail', 'trends', 'just', 'glancing', 'at', 'charts']","['appreciate', 'efforts', 'ive', 'made', 'money', 'following', 'calls', 'care', 'dm', 'resources', 'learning', 'ta', 'ive', 'dabbled', 'lately', 'able', 'nail', 'trends', 'glancing', 'charts']","['appreci', 'effort', 'ive', 'made', 'money', 'follow', 'call', 'care', 'dm', 'resourc', 'learn', 'ta', 'ive', 'dabbl', 'late', 'abl', 'nail', 'trend', 'glanc', 'chart']","['appreciate', 'efforts', 'ive', 'made', 'money', 'following', 'calls', 'care', 'dm', 'resources', 'learning', 'ta', 'ive', 'dabbled', 'lately', 'able', 'nail', 'trends', 'glancing', 'charts']",4,Romania
2022-06-01 12:14:05+00:00,1.5319723494063675e+18,"Meet Alice Muller and her team: #LuL_für_die_Ukraine They’re a group of German teachers from #Geißen who help our hub. Bringing in canned food and 10,000€ worth of medicine. We appreciate the amazing support ❤️
Their insta: https://t.co/ld6oEZ8Ck1
#helpuaro #Ukraine #Donate https://t.co/6FCdYXaJg8",helpukrainero,,1.0,0.0,1.0,0.0,We are a humanitarian aid hub. We help the global community ship and distribute humanitarian aid supplies to vulnerable groups affected by the war in Ukraine.,24.0,"['LuL_für_die_Ukraine', 'Geißen', 'helpuaro', 'Ukraine', 'Donate']",meet alice muller and her team lulfrdieukraine theyre a group of german teachers from geien who help our hub bringing in canned food and 10000 worth of medicine we appreciate the amazing support their insta helpuaro ukraine donate,"['meet', 'alice', 'muller', 'and', 'her', 'team', 'lulfrdieukraine', 'theyre', 'a', 'group', 'of', 'german', 'teachers', 'from', 'geien', 'who', 'help', 'our', 'hub', 'bringing', 'in', 'canned', 'food', 'and', '10000', 'worth', 'of', 'medicine', 'we', 'appreciate', 'the', 'amazing', 'support', 'their', 'insta', 'helpuaro', 'ukraine', 'donate']","['meet', 'alice', 'muller', 'team', 'lulfrdieukraine', 'theyre', 'group', 'german', 'teachers', 'geien', 'help', 'hub', 'bringing', 'canned', 'food', '10000', 'worth', 'medicine', 'appreciate', 'amazing', 'support', 'insta', 'helpuaro', 'ukraine', 'donate']","['meet', 'alic', 'muller', 'team', 'lulfrdieukrain', 'theyr', 'group', 'german', 'teacher', 'geien', 'help', 'hub', 'bring', 'can', 'food', '10000', 'worth', 'medicin', 'appreci', 'amaz', 'support', 'insta', 'helpuaro', 'ukrain', 'donat']","['meet', 'alice', 'muller', 'team', 'lulfrdieukraine', 'theyre', 'group', 'german', 'teachers', 'geien', 'help', 'hub', 'bringing', 'canned', 'food', '10000', 'worth', 'medicine', 'appreciate', 'amazing', 'support', 'insta', 'helpuaro', 'ukraine', 'donate']",5,Romania
2022-05-31 22:52:31+00:00,1.5317706287636808e+18,"You never truly appreciate your health until you get sick.

Most of you focus on money or bitches and take your health for granted.

There isn't anything more humbling than being extremely sick and then recovering.

Be grateful that you're healthy.",Mr_AlexSosa,Bucharest,84.0,0.0,9.0,1.0,Entrepreneur | Webcam / OF Agency Owner | Ex Software Engineer @ Google,5595.0,,you never truly appreciate your health until you get sick most of you focus on money or bitches and take your health for granted there isnt anything more humbling than being extremely sick and then recovering be grateful that youre healthy,"['you', 'never', 'truly', 'appreciate', 'your', 'health', 'until', 'you', 'get', 'sick', 'most', 'of', 'you', 'focus', 'on', 'money', 'or', 'bitches', 'and', 'take', 'your', 'health', 'for', 'granted', 'there', 'isnt', 'anything', 'more', 'humbling', 'than', 'being', 'extremely', 'sick', 'and', 'then', 'recovering', 'be', 'grateful', 'that', 'youre', 'healthy']","['never', 'truly', 'appreciate', 'health', 'get', 'sick', 'focus', 'money', 'bitches', 'take', 'health', 'granted', 'isnt', 'anything', 'humbling', 'extremely', 'sick', 'recovering', 'grateful', 'youre', 'healthy']","['never', 'truli', 'appreci', 'health', 'get', 'sick', 'focu', 'money', 'bitch', 'take', 'health', 'grant', 'isnt', 'anyth', 'humbl', 'extrem', 'sick', 'recov', 'grate', 'your', 'healthi']","['never', 'truly', 'appreciate', 'health', 'get', 'sick', 'focus', 'money', 'bitches', 'take', 'health', 'granted', 'isnt', 'anything', 'humbling', 'extremely', 'sick', 'recovering', 'grateful', 'youre', 'healthy']",1,Romania
2022-05-30 18:30:43+00:00,1.53134235752584e+18,This song is too good I’m glad new people are starting to appreciate it https://t.co/DGjWGPWGfm,styleshabitual,DES,0.0,0.0,0.0,0.0,,1871.0,,this song is too good im glad new people are starting to appreciate it,"['this', 'song', 'is', 'too', 'good', 'im', 'glad', 'new', 'people', 'are', 'starting', 'to', 'appreciate', 'it']","['song', 'good', 'im', 'glad', 'new', 'people', 'starting', 'appreciate']","['song', 'good', 'im', 'glad', 'new', 'peopl', 'start', 'appreci']","['song', 'good', 'im', 'glad', 'new', 'people', 'starting', 'appreciate']",2,Romania
2022-05-29 23:12:32+00:00,1.531050891754758e+18,"You’re deteriorating each and every day trapped into an unavoidable journey towards suffering and death

Appreciate your health, freedom and loved ones 

Soon tragedy &amp; despair can pass by. 

Today isn’t that day. 

Feel happy and energized. 

Now.",MrLottaHoes,"Bucharest, Romania",157.0,1.0,25.0,0.0,More from me: linktr.ee/joelampton @joe_lampton,16284.0,,youre deteriorating each and every day trapped into an unavoidable journey towards suffering and death appreciate your health freedom and loved ones soon tragedy amp despair can pass by today isnt that day feel happy and energized now,"['youre', 'deteriorating', 'each', 'and', 'every', 'day', 'trapped', 'into', 'an', 'unavoidable', 'journey', 'towards', 'suffering', 'and', 'death', 'appreciate', 'your', 'health', 'freedom', 'and', 'loved', 'ones', 'soon', 'tragedy', 'amp', 'despair', 'can', 'pass', 'by', 'today', 'isnt', 'that', 'day', 'feel', 'happy', 'and', 'energized', 'now']","['youre', 'deteriorating', 'every', 'day', 'trapped', 'unavoidable', 'journey', 'towards', 'suffering', 'death', 'appreciate', 'health', 'freedom', 'loved', 'ones', 'soon', 'tragedy', 'amp', 'despair', 'pass', 'today', 'isnt', 'day', 'feel', 'happy', 'energized']","['your', 'deterior', 'everi', 'day', 'trap', 'unavoid', 'journey', 'toward', 'suffer', 'death', 'appreci', 'health', 'freedom', 'love', 'one', 'soon', 'tragedi', 'amp', 'despair', 'pass', 'today', 'isnt', 'day', 'feel', 'happi', 'energ']","['youre', 'deteriorating', 'every', 'day', 'trapped', 'unavoidable', 'journey', 'towards', 'suffering', 'death', 'appreciate', 'health', 'freedom', 'loved', 'ones', 'soon', 'tragedy', 'amp', 'despair', 'pass', 'today', 'isnt', 'day', 'feel', 'happy', 'energized']",5,Romania
