Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-15 08:28:22+00:00,1536988975407276032,Chinese 'Gallium' Hackers Using New PingPull Malware in Cyberespionage Attacks https://t.co/JgeHtGG9MW,KajaCiglic,"Ljubljana, Slovenia",0,0,0,0,Not all those who wonder are lost... but some are. Slovenian Microsoftee. She/Her. Views are my own.,2011,,chinese gallium hackers using new pingpull malware in cyberespionage attacks,"['chinese', 'gallium', 'hackers', 'using', 'new', 'pingpull', 'malware', 'in', 'cyberespionage', 'attacks']","['chinese', 'gallium', 'hackers', 'using', 'new', 'pingpull', 'malware', 'cyberespionage', 'attacks']","['chines', 'gallium', 'hacker', 'use', 'new', 'pingpul', 'malwar', 'cyberespionag', 'attack']","['chinese', 'gallium', 'hackers', 'using', 'new', 'pingpull', 'malware', 'cyberespionage', 'attacks']",1,Slovenia
2022-05-31 02:47:26+00:00,1531467361454370816,"Thank you to you @everyone that hoped in the stream today, I really appreciate it, and a big shout out to these amazing people that show so much love and support @Dxrk_Goddess , @KHOLZIN , @ohjah and @2_tymer  one love to @KHOLZIN for the raid G. you are a legend my G",crazie_robz,Gaming,0,0,0,0,"Hi!! My name is Robin but my friends call me Robz, I'm a Chef that enjoys life and what it has to offer. on my free time I do enjoy gaming with friends",50,,thank you to you that hoped in the stream today i really appreciate it and a big shout out to these amazing people that show so much love and support and one love to for the raid g you are a legend my g,"['thank', 'you', 'to', 'you', 'that', 'hoped', 'in', 'the', 'stream', 'today', 'i', 'really', 'appreciate', 'it', 'and', 'a', 'big', 'shout', 'out', 'to', 'these', 'amazing', 'people', 'that', 'show', 'so', 'much', 'love', 'and', 'support', 'and', 'one', 'love', 'to', 'for', 'the', 'raid', 'g', 'you', 'are', 'a', 'legend', 'my', 'g']","['thank', 'hoped', 'stream', 'today', 'really', 'appreciate', 'big', 'shout', 'amazing', 'people', 'show', 'much', 'love', 'support', 'one', 'love', 'raid', 'g', 'legend', 'g']","['thank', 'hope', 'stream', 'today', 'realli', 'appreci', 'big', 'shout', 'amaz', 'peopl', 'show', 'much', 'love', 'support', 'one', 'love', 'raid', 'g', 'legend', 'g']","['thank', 'hoped', 'stream', 'today', 'really', 'appreciate', 'big', 'shout', 'amazing', 'people', 'show', 'much', 'love', 'support', 'one', 'love', 'raid', 'g', 'legend', 'g']",5,Slovenia
2022-03-05 19:20:54+00:00,1500189629110181897,@kelly_borgstede I’m sure those you work with and care for appreciate you being there soooo much 💙,phoenixbookcafe,"Klagenfurt, Austria",1,1,0,0,"Just your quirky magical café, somewhere in Austria. Coffee-addicted, chain-reading bookworms enjoying the enchanted atmosphere - #sharingthemagic ✨",123,,im sure those you work with and care for appreciate you being there soooo much,"['im', 'sure', 'those', 'you', 'work', 'with', 'and', 'care', 'for', 'appreciate', 'you', 'being', 'there', 'soooo', 'much']","['im', 'sure', 'work', 'care', 'appreciate', 'soooo', 'much']","['im', 'sure', 'work', 'care', 'appreci', 'soooo', 'much']","['im', 'sure', 'work', 'care', 'appreciate', 'soooo', 'much']",5,Slovenia
2021-12-25 07:49:15+00:00,1474648418177933313,"𝐇𝐚𝐯𝐞 𝐚 𝐰𝐨𝐧𝐝𝐞𝐫𝐟𝐮𝐥 𝐂𝐡𝐫𝐢𝐬𝐭𝐦𝐚𝐬, 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 🎄
I wish you can look back and be thankful for at least one small thing and appreciate what life offers. May the happy and festive time bring peace to you and your loved ones.
𝐌𝐞𝐫𝐫𝐲 𝐂𝐡𝐫𝐢𝐬𝐭𝐦𝐚𝐬 🎁🎄 https://t.co/C5F8N3QsEv",SimonaSpilak,,2,1,0,0,Executive Coach to World-Class Leaders ▫️Certified Coaching Method ▫️Lecturer ▫️Speaker,68,,i wish you can look back and be thankful for at least one small thing and appreciate what life offers may the happy and festive time bring peace to you and your loved ones,"['i', 'wish', 'you', 'can', 'look', 'back', 'and', 'be', 'thankful', 'for', 'at', 'least', 'one', 'small', 'thing', 'and', 'appreciate', 'what', 'life', 'offers', 'may', 'the', 'happy', 'and', 'festive', 'time', 'bring', 'peace', 'to', 'you', 'and', 'your', 'loved', 'ones']","['wish', 'look', 'back', 'thankful', 'least', 'one', 'small', 'thing', 'appreciate', 'life', 'offers', 'may', 'happy', 'festive', 'time', 'bring', 'peace', 'loved', 'ones']","['wish', 'look', 'back', 'thank', 'least', 'one', 'small', 'thing', 'appreci', 'life', 'offer', 'may', 'happi', 'festiv', 'time', 'bring', 'peac', 'love', 'one']","['wish', 'look', 'back', 'thankful', 'least', 'one', 'small', 'thing', 'appreciate', 'life', 'offers', 'may', 'happy', 'festive', 'time', 'bring', 'peace', 'loved', 'ones']",5,Slovenia
2021-08-10 06:02:27+00:00,1424974403926888449,"@BTS_twt_JIMlNIE I love you soo much Jimin 💜 thank U for  V live.We appreciate it.I maybe couldn't watch it bc it ended where i have come, but anyway just wanna to remind you that i'm sending you soo much love andsupport from Slovenia 🇸🇮,i wish you will see this message.Take care of yourself 💜",ErminaJasar,Republic of Slovenia,1,0,0,0,ᴸⁱᵛᵉ ʸᵒᵘʳ ˡⁱᶠᵉ.ᴸⁱᶠᵉ ᵍᵒᵉˢ ᵒⁿ.ˢᵒ ᵁ ˢʰᵒᵘˡᵈ ᵗᵒᵒ.ᴶᵘˢᵗ ⁿᵉᵛᵉʳ ᵍⁱᵛᵉ ᵘᵖ ᵒⁿ ʸᵒᵘʳ ᵈʳᵉᵃᵐˢ ᵉᵛᵉⁿ ʷʰᵉⁿ ⁱᵗ ˢᵉᵉᵐˢ ˡⁱᵏᵉ ᵁ ᶜᵃⁿ'ᵗ. ᵁ ᶜᵃⁿ ᵈᵒ ⁱᵗ. ᴶᵘˢᵗ ᵇᵉˡⁱᵛᵉ ⁱⁿ ʸᵒᵘʳˢᵉˡᶠ. ᴀʀᴍʏ 💜ʙᴛꜱ,35,,i love you soo much jimin thank u for v livewe appreciate iti maybe couldnt watch it bc it ended where i have come but anyway just wanna to remind you that im sending you soo much love andsupport from slovenia i wish you will see this messagetake care of yourself,"['i', 'love', 'you', 'soo', 'much', 'jimin', 'thank', 'u', 'for', 'v', 'livewe', 'appreciate', 'iti', 'maybe', 'couldnt', 'watch', 'it', 'bc', 'it', 'ended', 'where', 'i', 'have', 'come', 'but', 'anyway', 'just', 'wanna', 'to', 'remind', 'you', 'that', 'im', 'sending', 'you', 'soo', 'much', 'love', 'andsupport', 'from', 'slovenia', 'i', 'wish', 'you', 'will', 'see', 'this', 'messagetake', 'care', 'of', 'yourself']","['love', 'soo', 'much', 'jimin', 'thank', 'u', 'v', 'livewe', 'appreciate', 'iti', 'maybe', 'couldnt', 'watch', 'bc', 'ended', 'come', 'anyway', 'wanna', 'remind', 'im', 'sending', 'soo', 'much', 'love', 'andsupport', 'slovenia', 'wish', 'see', 'messagetake', 'care']","['love', 'soo', 'much', 'jimin', 'thank', 'u', 'v', 'livew', 'appreci', 'iti', 'mayb', 'couldnt', 'watch', 'bc', 'end', 'come', 'anyway', 'wanna', 'remind', 'im', 'send', 'soo', 'much', 'love', 'andsupport', 'slovenia', 'wish', 'see', 'messagetak', 'care']","['love', 'soo', 'much', 'jimin', 'thank', 'u', 'v', 'livewe', 'appreciate', 'iti', 'maybe', 'couldnt', 'watch', 'bc', 'ended', 'come', 'anyway', 'wanna', 'remind', 'im', 'sending', 'soo', 'much', 'love', 'andsupport', 'slovenia', 'wish', 'see', 'messagetake', 'care']",5,Slovenia
2021-06-05 06:53:50+00:00,1401069737854046210,What I’ve come to appreciate about Nikola Jokić during these playoffs is that he is a rare remaining proof the step-back three isn’t the only way to win a basketball game nowadays.,rodpetrovic,"Ljubljana, Slovenia",10,0,0,0,"Software engineer, manager, previously CTO/VPE at some startups that turned into global companies. Occasional op-ed writer. Allergic to stagnation.",1906,,what ive come to appreciate about nikola joki during these playoffs is that he is a rare remaining proof the stepback three isnt the only way to win a basketball game nowadays,"['what', 'ive', 'come', 'to', 'appreciate', 'about', 'nikola', 'joki', 'during', 'these', 'playoffs', 'is', 'that', 'he', 'is', 'a', 'rare', 'remaining', 'proof', 'the', 'stepback', 'three', 'isnt', 'the', 'only', 'way', 'to', 'win', 'a', 'basketball', 'game', 'nowadays']","['ive', 'come', 'appreciate', 'nikola', 'joki', 'playoffs', 'rare', 'remaining', 'proof', 'stepback', 'three', 'isnt', 'way', 'win', 'basketball', 'game', 'nowadays']","['ive', 'come', 'appreci', 'nikola', 'joki', 'playoff', 'rare', 'remain', 'proof', 'stepback', 'three', 'isnt', 'way', 'win', 'basketbal', 'game', 'nowaday']","['ive', 'come', 'appreciate', 'nikola', 'joki', 'playoffs', 'rare', 'remaining', 'proof', 'stepback', 'three', 'isnt', 'way', 'win', 'basketball', 'game', 'nowadays']",4,Slovenia
2020-09-11 05:23:28+00:00,1304289434934935552,"@shawncarelli @jfosback @greentheonly @elonmusk @Tesla 250k, I heard they appreciate in value. 😜",SchrottyGrega,,3,0,0,0,,93,,250k i heard they appreciate in value,"['250k', 'i', 'heard', 'they', 'appreciate', 'in', 'value']","['250k', 'heard', 'appreciate', 'value']","['250k', 'heard', 'appreci', 'valu']","['250k', 'heard', 'appreciate', 'value']",4,Slovenia
2020-08-23 15:58:24+00:00,1297563849902698496,"Lovely last couple of days spent here in #Slovenia. From its UNESCO-nominated city center of #Ljubljana to the impressive coral-covered caves at Postjana and finally to the towering Predamaja castle, there’s been much to see and appreciate inside this tiny yet mighty country🇸🇮 https://t.co/zN2SgkJYoY",realbsadasivan,"Nottingham, UK",7,0,3,0,Uni of Nottingham ⚖️🏃🪂,288,"['Slovenia', 'Ljubljana']",lovely last couple of days spent here in slovenia from its unesconominated city center of ljubljana to the impressive coralcovered caves at postjana and finally to the towering predamaja castle theres been much to see and appreciate inside this tiny yet mighty country,"['lovely', 'last', 'couple', 'of', 'days', 'spent', 'here', 'in', 'slovenia', 'from', 'its', 'unesconominated', 'city', 'center', 'of', 'ljubljana', 'to', 'the', 'impressive', 'coralcovered', 'caves', 'at', 'postjana', 'and', 'finally', 'to', 'the', 'towering', 'predamaja', 'castle', 'theres', 'been', 'much', 'to', 'see', 'and', 'appreciate', 'inside', 'this', 'tiny', 'yet', 'mighty', 'country']","['lovely', 'last', 'couple', 'days', 'spent', 'slovenia', 'unesconominated', 'city', 'center', 'ljubljana', 'impressive', 'coralcovered', 'caves', 'postjana', 'finally', 'towering', 'predamaja', 'castle', 'theres', 'much', 'see', 'appreciate', 'inside', 'tiny', 'yet', 'mighty', 'country']","['love', 'last', 'coupl', 'day', 'spent', 'slovenia', 'unesconomin', 'citi', 'center', 'ljubljana', 'impress', 'coralcov', 'cave', 'postjana', 'final', 'tower', 'predamaja', 'castl', 'there', 'much', 'see', 'appreci', 'insid', 'tini', 'yet', 'mighti', 'countri']","['lovely', 'last', 'couple', 'days', 'spent', 'slovenia', 'unesconominated', 'city', 'center', 'ljubljana', 'impressive', 'coralcovered', 'caves', 'postjana', 'finally', 'towering', 'predamaja', 'castle', 'theres', 'much', 'see', 'appreciate', 'inside', 'tiny', 'yet', 'mighty', 'country']",5,Slovenia
2020-08-04 05:14:40+00:00,1290516482254929920,"Jutro od drveta u Mesničkoj 🌳
🕖 7:14 AM
🌡19°C
AIR❇ 19 AQI
☁️ Happiness will never come to those who don't appreciate what they already have.
#BeLikeATree ❤ #MesnickaTree https://t.co/QS7i1FaKwh",kresoglavac,"Plešivica, Croatia",60,5,2,0,"Diplomat. Ex Croatian Ambassador to Malaysia, Vietnam, Cambodia, Laos & Myanmar.
Care & empathy lead to treating others with dignity, compassion & rights.",2776,"['BeLikeATree', 'MesnickaTree']",jutro od drveta u mesnikoj 714 am 19c air 19 aqi happiness will never come to those who dont appreciate what they already have belikeatree mesnickatree,"['jutro', 'od', 'drveta', 'u', 'mesnikoj', '714', 'am', '19c', 'air', '19', 'aqi', 'happiness', 'will', 'never', 'come', 'to', 'those', 'who', 'dont', 'appreciate', 'what', 'they', 'already', 'have', 'belikeatree', 'mesnickatree']","['jutro', 'od', 'drveta', 'u', 'mesnikoj', '714', '19c', 'air', '19', 'aqi', 'happiness', 'never', 'come', 'dont', 'appreciate', 'already', 'belikeatree', 'mesnickatree']","['jutro', 'od', 'drveta', 'u', 'mesnikoj', '714', '19c', 'air', '19', 'aqi', 'happi', 'never', 'come', 'dont', 'appreci', 'alreadi', 'belikeatre', 'mesnickatre']","['jutro', 'od', 'drveta', 'u', 'mesnikoj', '714', '19c', 'air', '19', 'aqi', 'happiness', 'never', 'come', 'dont', 'appreciate', 'already', 'belikeatree', 'mesnickatree']",1,Slovenia
2020-01-10 09:36:29+00:00,1215568080698511360,"I appreciate the patience of my editors, they have to put up with editing out compulsive cross civilization comparisons. 😅 https://t.co/adsT4uMgP0",SamoBurja,San Francisco,0,1,0,0,"Founder of @bismarckanlys. brief.bismarckanalysis.com/subscribe for navigation-grade analysis of institutions, industries, and live players.",42421,,i appreciate the patience of my editors they have to put up with editing out compulsive cross civilization comparisons,"['i', 'appreciate', 'the', 'patience', 'of', 'my', 'editors', 'they', 'have', 'to', 'put', 'up', 'with', 'editing', 'out', 'compulsive', 'cross', 'civilization', 'comparisons']","['appreciate', 'patience', 'editors', 'put', 'editing', 'compulsive', 'cross', 'civilization', 'comparisons']","['appreci', 'patienc', 'editor', 'put', 'edit', 'compuls', 'cross', 'civil', 'comparison']","['appreciate', 'patience', 'editors', 'put', 'editing', 'compulsive', 'cross', 'civilization', 'comparisons']",4,Slovenia
