Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-07 17:26:20+00:00,1534225256336216064,"@MargitRichert @Kama_Kamilia @ArmchairCopelrd @LivFaustDieJung @PepPepVladdy @mfkr919 @ryanremus @pingupapu @DreithVader @LBearp @ZionoBanderite @EngstrT @MikeALWatt @Lysander29 it's okay, i'm not kama ;)

jokes aside, i appreciate it",copesint,"Camp Humphreys, South Korea",11,0,0,0,"TAMU ‘21, History, CBRN
I am responsible for all coping. I'M GONNA COOOOOOOOOPE",117,,its okay im not kama jokes aside i appreciate it,"['its', 'okay', 'im', 'not', 'kama', 'jokes', 'aside', 'i', 'appreciate', 'it']","['okay', 'im', 'kama', 'jokes', 'aside', 'appreciate']","['okay', 'im', 'kama', 'joke', 'asid', 'appreci']","['okay', 'im', 'kama', 'jokes', 'aside', 'appreciate']",3,South Korea
2022-06-07 15:49:28+00:00,1534200880928538628,"@TheTKGlobal Thank God you are back, I was really sad considering all you do is hold streaming parties and fundraising for the boys and appreciate their bond without shading other members I always look forward to the streaming parties. Thank you once again for what you do we love you so much.",Arikairene1,대한민국 서울,3,0,0,0,"Just love and happiness nothing much here JK my heart, Tae my happiness, J hope my sun.",28,,thank god you are back i was really sad considering all you do is hold streaming parties and fundraising for the boys and appreciate their bond without shading other members i always look forward to the streaming parties thank you once again for what you do we love you so much,"['thank', 'god', 'you', 'are', 'back', 'i', 'was', 'really', 'sad', 'considering', 'all', 'you', 'do', 'is', 'hold', 'streaming', 'parties', 'and', 'fundraising', 'for', 'the', 'boys', 'and', 'appreciate', 'their', 'bond', 'without', 'shading', 'other', 'members', 'i', 'always', 'look', 'forward', 'to', 'the', 'streaming', 'parties', 'thank', 'you', 'once', 'again', 'for', 'what', 'you', 'do', 'we', 'love', 'you', 'so', 'much']","['thank', 'god', 'back', 'really', 'sad', 'considering', 'hold', 'streaming', 'parties', 'fundraising', 'boys', 'appreciate', 'bond', 'without', 'shading', 'members', 'always', 'look', 'forward', 'streaming', 'parties', 'thank', 'love', 'much']","['thank', 'god', 'back', 'realli', 'sad', 'consid', 'hold', 'stream', 'parti', 'fundrais', 'boy', 'appreci', 'bond', 'without', 'shade', 'member', 'alway', 'look', 'forward', 'stream', 'parti', 'thank', 'love', 'much']","['thank', 'god', 'back', 'really', 'sad', 'considering', 'hold', 'streaming', 'parties', 'fundraising', 'boys', 'appreciate', 'bond', 'without', 'shading', 'members', 'always', 'look', 'forward', 'streaming', 'parties', 'thank', 'love', 'much']",5,South Korea
2022-06-05 15:21:25+00:00,1533469045366079488,@mijingy0o Thank you so much for translating all the words of iKON and hb for us. We really appreciate it a lot. Your love for them is truly incomparable. Hope you have good health always. Godbless!,s_koo31,"Seoul, Republic of Korea",0,0,0,0,iKONIC and only for iKON,648,,thank you so much for translating all the words of ikon and hb for us we really appreciate it a lot your love for them is truly incomparable hope you have good health always godbless,"['thank', 'you', 'so', 'much', 'for', 'translating', 'all', 'the', 'words', 'of', 'ikon', 'and', 'hb', 'for', 'us', 'we', 'really', 'appreciate', 'it', 'a', 'lot', 'your', 'love', 'for', 'them', 'is', 'truly', 'incomparable', 'hope', 'you', 'have', 'good', 'health', 'always', 'godbless']","['thank', 'much', 'translating', 'words', 'ikon', 'hb', 'us', 'really', 'appreciate', 'lot', 'love', 'truly', 'incomparable', 'hope', 'good', 'health', 'always', 'godbless']","['thank', 'much', 'translat', 'word', 'ikon', 'hb', 'us', 'realli', 'appreci', 'lot', 'love', 'truli', 'incompar', 'hope', 'good', 'health', 'alway', 'godbless']","['thank', 'much', 'translating', 'words', 'ikon', 'hb', 'us', 'really', 'appreciate', 'lot', 'love', 'truly', 'incomparable', 'hope', 'good', 'health', 'always', 'godbless']",5,South Korea
2022-06-05 06:29:10+00:00,1533335100057853952,"@CryptoExpert101 @DigiKapitalist @Reef_Chain Blockchain is fantastic indeed. Nowadays animal lovers that appreciate the animals care can join Metafurkitty, it’s mission is to be a novel funding source for well vetted animal activist groups",BeckyMorganne,Korea 대한민국,0,0,0,0,Crypto enthusiast,49,,blockchain is fantastic indeed nowadays animal lovers that appreciate the animals care can join metafurkitty its mission is to be a novel funding source for well vetted animal activist groups,"['blockchain', 'is', 'fantastic', 'indeed', 'nowadays', 'animal', 'lovers', 'that', 'appreciate', 'the', 'animals', 'care', 'can', 'join', 'metafurkitty', 'its', 'mission', 'is', 'to', 'be', 'a', 'novel', 'funding', 'source', 'for', 'well', 'vetted', 'animal', 'activist', 'groups']","['blockchain', 'fantastic', 'indeed', 'nowadays', 'animal', 'lovers', 'appreciate', 'animals', 'care', 'join', 'metafurkitty', 'mission', 'novel', 'funding', 'source', 'well', 'vetted', 'animal', 'activist', 'groups']","['blockchain', 'fantast', 'inde', 'nowaday', 'anim', 'lover', 'appreci', 'anim', 'care', 'join', 'metafurkitti', 'mission', 'novel', 'fund', 'sourc', 'well', 'vet', 'anim', 'activist', 'group']","['blockchain', 'fantastic', 'indeed', 'nowadays', 'animal', 'lovers', 'appreciate', 'animals', 'care', 'join', 'metafurkitty', 'mission', 'novel', 'funding', 'source', 'well', 'vetted', 'animal', 'activist', 'groups']",5,South Korea
2022-06-05 06:18:41+00:00,1533332463350472704,"Looking at svt preparing pretty gift to their fans that watching broadcast make me sad

Nuest was like that too, they put effort to appreciate their fans 

I hope svt dont ever change",aishahzamberi,Republic of Korea,4,0,1,1,"|| KIM JONGHYEON || 김종현 || V || TAEHYUNG || HWANWOONG || GDRAGON || KANGHYUN || JEONGHAN ||

I love all and talk mostly about my bias~ periodt",506,,looking at svt preparing pretty gift to their fans that watching broadcast make me sad nuest was like that too they put effort to appreciate their fans i hope svt dont ever change,"['looking', 'at', 'svt', 'preparing', 'pretty', 'gift', 'to', 'their', 'fans', 'that', 'watching', 'broadcast', 'make', 'me', 'sad', 'nuest', 'was', 'like', 'that', 'too', 'they', 'put', 'effort', 'to', 'appreciate', 'their', 'fans', 'i', 'hope', 'svt', 'dont', 'ever', 'change']","['looking', 'svt', 'preparing', 'pretty', 'gift', 'fans', 'watching', 'broadcast', 'make', 'sad', 'nuest', 'like', 'put', 'effort', 'appreciate', 'fans', 'hope', 'svt', 'dont', 'ever', 'change']","['look', 'svt', 'prepar', 'pretti', 'gift', 'fan', 'watch', 'broadcast', 'make', 'sad', 'nuest', 'like', 'put', 'effort', 'appreci', 'fan', 'hope', 'svt', 'dont', 'ever', 'chang']","['looking', 'svt', 'preparing', 'pretty', 'gift', 'fans', 'watching', 'broadcast', 'make', 'sad', 'nuest', 'like', 'put', 'effort', 'appreciate', 'fans', 'hope', 'svt', 'dont', 'ever', 'change']",4,South Korea
2022-06-05 01:27:00+00:00,1533259056630370304,"@pledis_17WZ  last, best producer!👏🏻
be careful, Ola. he actually have cute-side inside, just rarely show it. but he have good sense of random thingys, appreciate people well. @notouchii",sour_ous,"Seoul, Republic of Korea",0,1,0,0,"𝐒𝐀𝐘 𝐓𝐇𝐄 𝐍𝐀𝐌𝐄! SEVENTEEN, 세미 봇 이찬 '99 ( 𝐃𝐈𝐍𝐎 ). 잠시 숨울 고르고, 다시. 힘들고 지친 여정을 마치면, 우리는 세상에 없던 존재가 될 거야. 🔞 #ILVRAlumnus. find me at @pledis_17",117,,last best producer be careful ola he actually have cuteside inside just rarely show it but he have good sense of random thingys appreciate people well,"['last', 'best', 'producer', 'be', 'careful', 'ola', 'he', 'actually', 'have', 'cuteside', 'inside', 'just', 'rarely', 'show', 'it', 'but', 'he', 'have', 'good', 'sense', 'of', 'random', 'thingys', 'appreciate', 'people', 'well']","['last', 'best', 'producer', 'careful', 'ola', 'actually', 'cuteside', 'inside', 'rarely', 'show', 'good', 'sense', 'random', 'thingys', 'appreciate', 'people', 'well']","['last', 'best', 'produc', 'care', 'ola', 'actual', 'cutesid', 'insid', 'rare', 'show', 'good', 'sens', 'random', 'thingi', 'appreci', 'peopl', 'well']","['last', 'best', 'producer', 'careful', 'ola', 'actually', 'cuteside', 'inside', 'rarely', 'show', 'good', 'sense', 'random', 'thingys', 'appreciate', 'people', 'well']",4,South Korea
2022-06-04 00:51:05+00:00,1532887632530886659,i have to say i’m proud of myself for stop taking pics w filters and somewhat comfortable in my own skin! i used to have rlly bad acne and hated my face when i was younger but now i’ve for me to appreciate my face :)),katieesarang,"seoul, south korea",2,0,0,0,en- skz txt tbz atz nct | ‘05 liner | she/her,131,,i have to say im proud of myself for stop taking pics w filters and somewhat comfortable in my own skin i used to have rlly bad acne and hated my face when i was younger but now ive for me to appreciate my face,"['i', 'have', 'to', 'say', 'im', 'proud', 'of', 'myself', 'for', 'stop', 'taking', 'pics', 'w', 'filters', 'and', 'somewhat', 'comfortable', 'in', 'my', 'own', 'skin', 'i', 'used', 'to', 'have', 'rlly', 'bad', 'acne', 'and', 'hated', 'my', 'face', 'when', 'i', 'was', 'younger', 'but', 'now', 'ive', 'for', 'me', 'to', 'appreciate', 'my', 'face']","['say', 'im', 'proud', 'stop', 'taking', 'pics', 'w', 'filters', 'somewhat', 'comfortable', 'skin', 'used', 'rlly', 'bad', 'acne', 'hated', 'face', 'younger', 'ive', 'appreciate', 'face']","['say', 'im', 'proud', 'stop', 'take', 'pic', 'w', 'filter', 'somewhat', 'comfort', 'skin', 'use', 'rlli', 'bad', 'acn', 'hate', 'face', 'younger', 'ive', 'appreci', 'face']","['say', 'im', 'proud', 'stop', 'taking', 'pics', 'w', 'filters', 'somewhat', 'comfortable', 'skin', 'used', 'rlly', 'bad', 'acne', 'hated', 'face', 'younger', 'ive', 'appreciate', 'face']",4,South Korea
2022-06-03 20:51:54+00:00,1532827436844449792,"@biblesumett @biblesumett @Buildbuilddd ❤️you both are an amazing people!! your devotion,dedication,efforts that you put into the series I appreciate it !! Keep going!! You knocked out of the park;) https://t.co/GmM4seUvt5",taecem_v,대한민국,105,1,9,1,@BTS_TWT BTS'V from 2015~ 🐯 너를 사랑해... 오빠 💜💜💜💜 My instagram account is @taecem_v  VEGASPETE 🫧BibleBuild,75,,you both are an amazing people your devotiondedicationefforts that you put into the series i appreciate it keep going you knocked out of the park,"['you', 'both', 'are', 'an', 'amazing', 'people', 'your', 'devotiondedicationefforts', 'that', 'you', 'put', 'into', 'the', 'series', 'i', 'appreciate', 'it', 'keep', 'going', 'you', 'knocked', 'out', 'of', 'the', 'park']","['amazing', 'people', 'devotiondedicationefforts', 'put', 'series', 'appreciate', 'keep', 'going', 'knocked', 'park']","['amaz', 'peopl', 'devotiondedicationeffort', 'put', 'seri', 'appreci', 'keep', 'go', 'knock', 'park']","['amazing', 'people', 'devotiondedicationefforts', 'put', 'series', 'appreciate', 'keep', 'going', 'knocked', 'park']",5,South Korea
2022-06-03 14:51:29+00:00,1532736737646346242,"to kim seokjin: 

thank you for your patience and taking care of your dongsaengs. they really love you. also army loves you a lot. don't worry we appreciate everything about you ✨

WORLD WIDE HANDSOME 💜
9  YEARS WITH JIN https://t.co/jp1HNogqrP",vbearyan,"South, Korea",0,0,0,0,"ult bias: kim taehyung 💜
bias wrecker: jk, jm, jin, hobi, suga, rm ✨",25,,to kim seokjin thank you for your patience and taking care of your dongsaengs they really love you also army loves you a lot dont worry we appreciate everything about you world wide handsome 9 years with jin,"['to', 'kim', 'seokjin', 'thank', 'you', 'for', 'your', 'patience', 'and', 'taking', 'care', 'of', 'your', 'dongsaengs', 'they', 'really', 'love', 'you', 'also', 'army', 'loves', 'you', 'a', 'lot', 'dont', 'worry', 'we', 'appreciate', 'everything', 'about', 'you', 'world', 'wide', 'handsome', '9', 'years', 'with', 'jin']","['kim', 'seokjin', 'thank', 'patience', 'taking', 'care', 'dongsaengs', 'really', 'love', 'also', 'army', 'loves', 'lot', 'dont', 'worry', 'appreciate', 'everything', 'world', 'wide', 'handsome', '9', 'years', 'jin']","['kim', 'seokjin', 'thank', 'patienc', 'take', 'care', 'dongsaeng', 'realli', 'love', 'also', 'armi', 'love', 'lot', 'dont', 'worri', 'appreci', 'everyth', 'world', 'wide', 'handsom', '9', 'year', 'jin']","['kim', 'seokjin', 'thank', 'patience', 'taking', 'care', 'dongsaengs', 'really', 'love', 'also', 'army', 'loves', 'lot', 'dont', 'worry', 'appreciate', 'everything', 'world', 'wide', 'handsome', '9', 'years', 'jin']",5,South Korea
2022-06-02 23:23:00+00:00,1532503076040753152,"@TheRealFTP I appreciate your concerns for my safety, but I'll be just fine. I feel sorry for an uneducated thug like yourself, who drives around in his truck flipping people off. If only that job of yours at the gas station paid better.",milwaukiedave,Pyeongtaek South Korea,0,0,0,0,"50, American professor, political animal",22,,i appreciate your concerns for my safety but ill be just fine i feel sorry for an uneducated thug like yourself who drives around in his truck flipping people off if only that job of yours at the gas station paid better,"['i', 'appreciate', 'your', 'concerns', 'for', 'my', 'safety', 'but', 'ill', 'be', 'just', 'fine', 'i', 'feel', 'sorry', 'for', 'an', 'uneducated', 'thug', 'like', 'yourself', 'who', 'drives', 'around', 'in', 'his', 'truck', 'flipping', 'people', 'off', 'if', 'only', 'that', 'job', 'of', 'yours', 'at', 'the', 'gas', 'station', 'paid', 'better']","['appreciate', 'concerns', 'safety', 'ill', 'fine', 'feel', 'sorry', 'uneducated', 'thug', 'like', 'drives', 'around', 'truck', 'flipping', 'people', 'job', 'gas', 'station', 'paid', 'better']","['appreci', 'concern', 'safeti', 'ill', 'fine', 'feel', 'sorri', 'uneduc', 'thug', 'like', 'drive', 'around', 'truck', 'flip', 'peopl', 'job', 'ga', 'station', 'paid', 'better']","['appreciate', 'concerns', 'safety', 'ill', 'fine', 'feel', 'sorry', 'uneducated', 'thug', 'like', 'drives', 'around', 'truck', 'flipping', 'people', 'job', 'gas', 'station', 'paid', 'better']",3,South Korea
