Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-05 14:55:32+00:00,1533462529388646400,"@orgap1 I see. Anyway, really appreciate ur sharing!",kaeruya02,Taiwan,1,0,0,0,"🇹🇼 TFT gaming and life sharing!

Tai-gi ○ 中文 ○ English ○ 日本語 △",56,,i see anyway really appreciate ur sharing,"['i', 'see', 'anyway', 'really', 'appreciate', 'ur', 'sharing']","['see', 'anyway', 'really', 'appreciate', 'ur', 'sharing']","['see', 'anyway', 'realli', 'appreci', 'ur', 'share']","['see', 'anyway', 'really', 'appreciate', 'ur', 'sharing']",4,Taiwan
2022-06-05 08:07:27+00:00,1533359832954466305,@AppleSWUpdates One thing people don’t appreciate about the iPad Magic Keyboard is that it pushes the screen far closer to the keyboard than the Macbook. This works much more fluidly than a macbook form-factor could ever for touching.,iamrishio,Taiwan,1,0,0,0,iPhoneography,68,,one thing people dont appreciate about the ipad magic keyboard is that it pushes the screen far closer to the keyboard than the macbook this works much more fluidly than a macbook formfactor could ever for touching,"['one', 'thing', 'people', 'dont', 'appreciate', 'about', 'the', 'ipad', 'magic', 'keyboard', 'is', 'that', 'it', 'pushes', 'the', 'screen', 'far', 'closer', 'to', 'the', 'keyboard', 'than', 'the', 'macbook', 'this', 'works', 'much', 'more', 'fluidly', 'than', 'a', 'macbook', 'formfactor', 'could', 'ever', 'for', 'touching']","['one', 'thing', 'people', 'dont', 'appreciate', 'ipad', 'magic', 'keyboard', 'pushes', 'screen', 'far', 'closer', 'keyboard', 'macbook', 'works', 'much', 'fluidly', 'macbook', 'formfactor', 'could', 'ever', 'touching']","['one', 'thing', 'peopl', 'dont', 'appreci', 'ipad', 'magic', 'keyboard', 'push', 'screen', 'far', 'closer', 'keyboard', 'macbook', 'work', 'much', 'fluidli', 'macbook', 'formfactor', 'could', 'ever', 'touch']","['one', 'thing', 'people', 'dont', 'appreciate', 'ipad', 'magic', 'keyboard', 'pushes', 'screen', 'far', 'closer', 'keyboard', 'macbook', 'works', 'much', 'fluidly', 'macbook', 'formfactor', 'could', 'ever', 'touching']",4,Taiwan
2022-06-05 05:21:02+00:00,1533317954154430464,"@Vox_Akuma Milord, we really appreciate your love and all your work to make this community become better. Sometimes achievement arrives so fast and we tend to work harder to keep it without taking good care of ourselves. You're strong enough and good enough and you deserve all the love.+",eerin712tw,Taipei Taiwan,0,1,0,0,"“我喜歡你的所有季節、你的憂鬱也很明朗。”
  最近在追V、2434L/N箱推外加少量咻透
點讚會有NSFW內容，自行避雷",1,,milord we really appreciate your love and all your work to make this community become better sometimes achievement arrives so fast and we tend to work harder to keep it without taking good care of ourselves youre strong enough and good enough and you deserve all the love,"['milord', 'we', 'really', 'appreciate', 'your', 'love', 'and', 'all', 'your', 'work', 'to', 'make', 'this', 'community', 'become', 'better', 'sometimes', 'achievement', 'arrives', 'so', 'fast', 'and', 'we', 'tend', 'to', 'work', 'harder', 'to', 'keep', 'it', 'without', 'taking', 'good', 'care', 'of', 'ourselves', 'youre', 'strong', 'enough', 'and', 'good', 'enough', 'and', 'you', 'deserve', 'all', 'the', 'love']","['milord', 'really', 'appreciate', 'love', 'work', 'make', 'community', 'become', 'better', 'sometimes', 'achievement', 'arrives', 'fast', 'tend', 'work', 'harder', 'keep', 'without', 'taking', 'good', 'care', 'youre', 'strong', 'enough', 'good', 'enough', 'deserve', 'love']","['milord', 'realli', 'appreci', 'love', 'work', 'make', 'commun', 'becom', 'better', 'sometim', 'achiev', 'arriv', 'fast', 'tend', 'work', 'harder', 'keep', 'without', 'take', 'good', 'care', 'your', 'strong', 'enough', 'good', 'enough', 'deserv', 'love']","['milord', 'really', 'appreciate', 'love', 'work', 'make', 'community', 'become', 'better', 'sometimes', 'achievement', 'arrives', 'fast', 'tend', 'work', 'harder', 'keep', 'without', 'taking', 'good', 'care', 'youre', 'strong', 'enough', 'good', 'enough', 'deserve', 'love']",5,Taiwan
2022-06-04 15:54:37+00:00,1533115012000391168,"MILORD, really appreciate you care about us, but we are pretty strong and have much strength to face everything!
Pls take ur time for next week’s dnd campaign and relaxing for a while.☺️
You need time to smooth your mind, so do us. Don’t worry about us! Love you 

 #VoxPopuLIVE",konni_cny,半夜才會水壺開開,5,0,0,0,摳你/摳摳- 25++_18🈲️_L/N箱推❤️🧡💛💙💜 /本命 👹🧧 主CP👹🦊/🔮🐑/🖋👟🦁，其實雑食。跟台時很吵，會做點小小跟播翻譯。 繪帳+文帳。台灣人です(*´꒳`*)🇹🇼 繁體中文：○/日本語：△/ 英語：△/封面Banner: @ctydanapurple,280,['VoxPopuLIVE'],milord really appreciate you care about us but we are pretty strong and have much strength to face everything pls take ur time for next weeks dnd campaign and relaxing for a while you need time to smooth your mind so do us dont worry about us love you voxpopulive,"['milord', 'really', 'appreciate', 'you', 'care', 'about', 'us', 'but', 'we', 'are', 'pretty', 'strong', 'and', 'have', 'much', 'strength', 'to', 'face', 'everything', 'pls', 'take', 'ur', 'time', 'for', 'next', 'weeks', 'dnd', 'campaign', 'and', 'relaxing', 'for', 'a', 'while', 'you', 'need', 'time', 'to', 'smooth', 'your', 'mind', 'so', 'do', 'us', 'dont', 'worry', 'about', 'us', 'love', 'you', 'voxpopulive']","['milord', 'really', 'appreciate', 'care', 'us', 'pretty', 'strong', 'much', 'strength', 'face', 'everything', 'pls', 'take', 'ur', 'time', 'next', 'weeks', 'dnd', 'campaign', 'relaxing', 'need', 'time', 'smooth', 'mind', 'us', 'dont', 'worry', 'us', 'love', 'voxpopulive']","['milord', 'realli', 'appreci', 'care', 'us', 'pretti', 'strong', 'much', 'strength', 'face', 'everyth', 'pl', 'take', 'ur', 'time', 'next', 'week', 'dnd', 'campaign', 'relax', 'need', 'time', 'smooth', 'mind', 'us', 'dont', 'worri', 'us', 'love', 'voxpopul']","['milord', 'really', 'appreciate', 'care', 'us', 'pretty', 'strong', 'much', 'strength', 'face', 'everything', 'pls', 'take', 'ur', 'time', 'next', 'weeks', 'dnd', 'campaign', 'relaxing', 'need', 'time', 'smooth', 'mind', 'us', 'dont', 'worry', 'us', 'love', 'voxpopulive']",5,Taiwan
2022-06-04 07:14:28+00:00,1532984112922759168,"EXCLUSIVE: Depp v. Heard Court Reporter Dispels Rumors About Video of He... https://t.co/kuySPECjvz via @YouTube

She is definitely a rock star! #JudgePenneyAzcarate appreciate Judy because she is a rock star. The courtroom began to clap, expect #AmberHeard !",sky_cincin,Taiwan,0,0,0,0,Proud of being a Taiwanese. 🤟🏻#TaiwanCanHelp,2,"['JudgePenneyAzcarate', 'AmberHeard']",exclusive depp v heard court reporter dispels rumors about video of he via she is definitely a rock star judgepenneyazcarate appreciate judy because she is a rock star the courtroom began to clap expect amberheard,"['exclusive', 'depp', 'v', 'heard', 'court', 'reporter', 'dispels', 'rumors', 'about', 'video', 'of', 'he', 'via', 'she', 'is', 'definitely', 'a', 'rock', 'star', 'judgepenneyazcarate', 'appreciate', 'judy', 'because', 'she', 'is', 'a', 'rock', 'star', 'the', 'courtroom', 'began', 'to', 'clap', 'expect', 'amberheard']","['exclusive', 'depp', 'v', 'heard', 'court', 'reporter', 'dispels', 'rumors', 'video', 'via', 'definitely', 'rock', 'star', 'judgepenneyazcarate', 'appreciate', 'judy', 'rock', 'star', 'courtroom', 'began', 'clap', 'expect', 'amberheard']","['exclus', 'depp', 'v', 'heard', 'court', 'report', 'dispel', 'rumor', 'video', 'via', 'definit', 'rock', 'star', 'judgepenneyazcar', 'appreci', 'judi', 'rock', 'star', 'courtroom', 'began', 'clap', 'expect', 'amberheard']","['exclusive', 'depp', 'v', 'heard', 'court', 'reporter', 'dispels', 'rumors', 'video', 'via', 'definitely', 'rock', 'star', 'judgepenneyazcarate', 'appreciate', 'judy', 'rock', 'star', 'courtroom', 'began', 'clap', 'expect', 'amberheard']",2,Taiwan
2022-06-04 07:13:05+00:00,1532983764766273536,"@T_Brautigan @Mike_Honey_ @mildanalyst @RajlabN @BBCHughPym @siamosolocani @EricTopol @Tuliodna Thanks so much, Ted! Truly appreciate your insights on this",chasewnelson,"Taipei, Taiwan",0,1,0,0,"Researcher studying cancer, evolution and viruses @NIH @theNCI @AMNH. Views my own. he/他.

""The best criticism of the bad is the practice of the better."" — Rohr",3942,,thanks so much ted truly appreciate your insights on this,"['thanks', 'so', 'much', 'ted', 'truly', 'appreciate', 'your', 'insights', 'on', 'this']","['thanks', 'much', 'ted', 'truly', 'appreciate', 'insights']","['thank', 'much', 'ted', 'truli', 'appreci', 'insight']","['thanks', 'much', 'ted', 'truly', 'appreciate', 'insights']",5,Taiwan
2022-06-02 04:17:32+00:00,1532214811693826048,"I need some time to recover and recharge, and then to actually go for what I want. This might be the major turning point for me. Thank you all for the support and understanding and patience, I really appreciate it🙏♥️",zoeyneedswhisky,Taiwan,12,5,0,0,@zoeychuan ‘s fanart account / 30 / Taiwan / 雜食 / Pro ship / nsfw: @AwayZoey / open for kofi doodles 👉 ko-fi.com/zoeychuan,4801,,i need some time to recover and recharge and then to actually go for what i want this might be the major turning point for me thank you all for the support and understanding and patience i really appreciate it,"['i', 'need', 'some', 'time', 'to', 'recover', 'and', 'recharge', 'and', 'then', 'to', 'actually', 'go', 'for', 'what', 'i', 'want', 'this', 'might', 'be', 'the', 'major', 'turning', 'point', 'for', 'me', 'thank', 'you', 'all', 'for', 'the', 'support', 'and', 'understanding', 'and', 'patience', 'i', 'really', 'appreciate', 'it']","['need', 'time', 'recover', 'recharge', 'actually', 'go', 'want', 'might', 'major', 'turning', 'point', 'thank', 'support', 'understanding', 'patience', 'really', 'appreciate']","['need', 'time', 'recov', 'recharg', 'actual', 'go', 'want', 'might', 'major', 'turn', 'point', 'thank', 'support', 'understand', 'patienc', 'realli', 'appreci']","['need', 'time', 'recover', 'recharge', 'actually', 'go', 'want', 'might', 'major', 'turning', 'point', 'thank', 'support', 'understanding', 'patience', 'really', 'appreciate']",4,Taiwan
2022-05-31 15:08:54+00:00,1531653955713138688,@bigricky__ I appreciate your care for your family I hope you are okay and doing fine ☺️ take care 💓,Amanda20084647,Taiwan,0,0,0,0,Special me💎,26,,i appreciate your care for your family i hope you are okay and doing fine take care,"['i', 'appreciate', 'your', 'care', 'for', 'your', 'family', 'i', 'hope', 'you', 'are', 'okay', 'and', 'doing', 'fine', 'take', 'care']","['appreciate', 'care', 'family', 'hope', 'okay', 'fine', 'take', 'care']","['appreci', 'care', 'famili', 'hope', 'okay', 'fine', 'take', 'care']","['appreciate', 'care', 'family', 'hope', 'okay', 'fine', 'take', 'care']",4,Taiwan
2022-05-31 05:46:17+00:00,1531512367573413888,"@PeterGainsford I watched the show initially because of the goofy premise and wanted to know more about Japanese bath / hot spring culture. Didn't expect the Roman side to be handled with such care! Your observations make me appreciate her work better, many thanks 👍🏻",ikaijeng,"Taipei City, Taiwan",0,0,0,0,"Platonist. Hellenist. Music, film, photography, origami.",112,,i watched the show initially because of the goofy premise and wanted to know more about japanese bath hot spring culture didnt expect the roman side to be handled with such care your observations make me appreciate her work better many thanks,"['i', 'watched', 'the', 'show', 'initially', 'because', 'of', 'the', 'goofy', 'premise', 'and', 'wanted', 'to', 'know', 'more', 'about', 'japanese', 'bath', 'hot', 'spring', 'culture', 'didnt', 'expect', 'the', 'roman', 'side', 'to', 'be', 'handled', 'with', 'such', 'care', 'your', 'observations', 'make', 'me', 'appreciate', 'her', 'work', 'better', 'many', 'thanks']","['watched', 'show', 'initially', 'goofy', 'premise', 'wanted', 'know', 'japanese', 'bath', 'hot', 'spring', 'culture', 'didnt', 'expect', 'roman', 'side', 'handled', 'care', 'observations', 'make', 'appreciate', 'work', 'better', 'many', 'thanks']","['watch', 'show', 'initi', 'goofi', 'premis', 'want', 'know', 'japanes', 'bath', 'hot', 'spring', 'cultur', 'didnt', 'expect', 'roman', 'side', 'handl', 'care', 'observ', 'make', 'appreci', 'work', 'better', 'mani', 'thank']","['watched', 'show', 'initially', 'goofy', 'premise', 'wanted', 'know', 'japanese', 'bath', 'hot', 'spring', 'culture', 'didnt', 'expect', 'roman', 'side', 'handled', 'care', 'observations', 'make', 'appreciate', 'work', 'better', 'many', 'thanks']",3,Taiwan
2022-05-30 15:24:36+00:00,1531295517241581569,"You deserve all the love and support from us Stephanie. We love you, we appreciate you for being so real. Sana madaming projects dumating sayo to the point na you will have no time to go back to NZ. It will be hard but it will worth it.🌙🍀

#StephanieJordan https://t.co/p3KwUie1WJ",queenthings01,"Keelung City, Taiwan",3,0,0,0,@alexailacad @stepphaniejordn #kdlex #benlex #shailex #dustphan #robnie #paosteph #lukesteph #maxsteph #stetiff basta may Alexa at Stephanie support!!!,1123,['StephanieJordan'],you deserve all the love and support from us stephanie we love you we appreciate you for being so real sana madaming projects dumating sayo to the point na you will have no time to go back to nz it will be hard but it will worth it stephaniejordan,"['you', 'deserve', 'all', 'the', 'love', 'and', 'support', 'from', 'us', 'stephanie', 'we', 'love', 'you', 'we', 'appreciate', 'you', 'for', 'being', 'so', 'real', 'sana', 'madaming', 'projects', 'dumating', 'sayo', 'to', 'the', 'point', 'na', 'you', 'will', 'have', 'no', 'time', 'to', 'go', 'back', 'to', 'nz', 'it', 'will', 'be', 'hard', 'but', 'it', 'will', 'worth', 'it', 'stephaniejordan']","['deserve', 'love', 'support', 'us', 'stephanie', 'love', 'appreciate', 'real', 'sana', 'madaming', 'projects', 'dumating', 'sayo', 'point', 'na', 'time', 'go', 'back', 'nz', 'hard', 'worth', 'stephaniejordan']","['deserv', 'love', 'support', 'us', 'stephani', 'love', 'appreci', 'real', 'sana', 'madam', 'project', 'dumat', 'sayo', 'point', 'na', 'time', 'go', 'back', 'nz', 'hard', 'worth', 'stephaniejordan']","['deserve', 'love', 'support', 'us', 'stephanie', 'love', 'appreciate', 'real', 'sana', 'madaming', 'projects', 'dumating', 'sayo', 'point', 'na', 'time', 'go', 'back', 'nz', 'hard', 'worth', 'stephaniejordan']",5,Taiwan
