Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-09 14:27:43+00:00,1534905082617135106,"(3/3) I don't want to be colder with people, i don't wanna be like a shit... but a i don't want to suffer anymore for those fucking people. I really appreciated for the good people that i met and thankful with them and i know that they are really good and appreciate me too.",SpoonerKai,"Buenos Aires, Argentina",2,1,0,0,"• Gay Wolf 🏳️‍🌈🐺 | He/Him | Single | ENG/SPA
• SFW+15 Art & Semi-personal Account
• PFP: @Hareyuk
• Banner: @TojitaElGengar
🔽 SEGUIME EN INSTAGRAM !!! 🔽",222,,33 i dont want to be colder with people i dont wanna be like a shit but a i dont want to suffer anymore for those fucking people i really appreciated for the good people that i met and thankful with them and i know that they are really good and appreciate me too,"['33', 'i', 'dont', 'want', 'to', 'be', 'colder', 'with', 'people', 'i', 'dont', 'wanna', 'be', 'like', 'a', 'shit', 'but', 'a', 'i', 'dont', 'want', 'to', 'suffer', 'anymore', 'for', 'those', 'fucking', 'people', 'i', 'really', 'appreciated', 'for', 'the', 'good', 'people', 'that', 'i', 'met', 'and', 'thankful', 'with', 'them', 'and', 'i', 'know', 'that', 'they', 'are', 'really', 'good', 'and', 'appreciate', 'me', 'too']","['33', 'dont', 'want', 'colder', 'people', 'dont', 'wanna', 'like', 'shit', 'dont', 'want', 'suffer', 'anymore', 'fucking', 'people', 'really', 'appreciated', 'good', 'people', 'met', 'thankful', 'know', 'really', 'good', 'appreciate']","['33', 'dont', 'want', 'colder', 'peopl', 'dont', 'wanna', 'like', 'shit', 'dont', 'want', 'suffer', 'anymor', 'fuck', 'peopl', 'realli', 'appreci', 'good', 'peopl', 'met', 'thank', 'know', 'realli', 'good', 'appreci']","['33', 'dont', 'want', 'colder', 'people', 'dont', 'wanna', 'like', 'shit', 'dont', 'want', 'suffer', 'anymore', 'fucking', 'people', 'really', 'appreciated', 'good', 'people', 'met', 'thankful', 'know', 'really', 'good', 'appreciate']",5,Uruguay
2022-06-08 21:50:43+00:00,1534654181323247618,"@WIGVP I'm truly astonished. That's a tremendous praise to me, Josh. I thought I wasn't good at action shots but reading your words might change my perspective a bit. You know I always appreciate your genuine feedback 😌.",Ioahnis,"Buenos Aires, Argentina",1,1,0,0,"• Fotografía Virtual/Virtual Photography • No edits •
🇦🇷 • 🎮 PS4",79,,im truly astonished thats a tremendous praise to me josh i thought i wasnt good at action shots but reading your words might change my perspective a bit you know i always appreciate your genuine feedback,"['im', 'truly', 'astonished', 'thats', 'a', 'tremendous', 'praise', 'to', 'me', 'josh', 'i', 'thought', 'i', 'wasnt', 'good', 'at', 'action', 'shots', 'but', 'reading', 'your', 'words', 'might', 'change', 'my', 'perspective', 'a', 'bit', 'you', 'know', 'i', 'always', 'appreciate', 'your', 'genuine', 'feedback']","['im', 'truly', 'astonished', 'thats', 'tremendous', 'praise', 'josh', 'thought', 'wasnt', 'good', 'action', 'shots', 'reading', 'words', 'might', 'change', 'perspective', 'bit', 'know', 'always', 'appreciate', 'genuine', 'feedback']","['im', 'truli', 'astonish', 'that', 'tremend', 'prais', 'josh', 'thought', 'wasnt', 'good', 'action', 'shot', 'read', 'word', 'might', 'chang', 'perspect', 'bit', 'know', 'alway', 'appreci', 'genuin', 'feedback']","['im', 'truly', 'astonished', 'thats', 'tremendous', 'praise', 'josh', 'thought', 'wasnt', 'good', 'action', 'shots', 'reading', 'words', 'might', 'change', 'perspective', 'bit', 'know', 'always', 'appreciate', 'genuine', 'feedback']",5,Uruguay
2022-06-07 00:06:43+00:00,1533963630412283904,"""Nature's surprise"" is now SOLD OUT! Thank you dear @PDScomunicacion for collecting the last edition💜
-Thanks to all the people who helped me by sharing and interacting with my tweets 🤗- I appreciate all your support. https://t.co/GpHcUBO0gX",MellodoraArt,Buenos Aires,26,9,8,0,Photographer | Birder | Concerned with preserving Nature | #nft #nftphotography I🐦,1918,,natures surprise is now sold out thank you dear for collecting the last edition thanks to all the people who helped me by sharing and interacting with my tweets i appreciate all your support,"['natures', 'surprise', 'is', 'now', 'sold', 'out', 'thank', 'you', 'dear', 'for', 'collecting', 'the', 'last', 'edition', 'thanks', 'to', 'all', 'the', 'people', 'who', 'helped', 'me', 'by', 'sharing', 'and', 'interacting', 'with', 'my', 'tweets', 'i', 'appreciate', 'all', 'your', 'support']","['natures', 'surprise', 'sold', 'thank', 'dear', 'collecting', 'last', 'edition', 'thanks', 'people', 'helped', 'sharing', 'interacting', 'tweets', 'appreciate', 'support']","['natur', 'surpris', 'sold', 'thank', 'dear', 'collect', 'last', 'edit', 'thank', 'peopl', 'help', 'share', 'interact', 'tweet', 'appreci', 'support']","['natures', 'surprise', 'sold', 'thank', 'dear', 'collecting', 'last', 'edition', 'thanks', 'people', 'helped', 'sharing', 'interacting', 'tweets', 'appreciate', 'support']",5,Uruguay
2022-06-06 16:27:04+00:00,1533847955593125888,"#Update Thanks to @lilririah and everyone else who donated last week, we were able to pay our rent and stay in our house, we also bought some of the medicines and food that my mother need for her medical treatment, we appreciate any sort of help.",EllieNoctisPh,"Buenos Aires, Argentina",1,1,0,0,,277,['Update'],update thanks to and everyone else who donated last week we were able to pay our rent and stay in our house we also bought some of the medicines and food that my mother need for her medical treatment we appreciate any sort of help,"['update', 'thanks', 'to', 'and', 'everyone', 'else', 'who', 'donated', 'last', 'week', 'we', 'were', 'able', 'to', 'pay', 'our', 'rent', 'and', 'stay', 'in', 'our', 'house', 'we', 'also', 'bought', 'some', 'of', 'the', 'medicines', 'and', 'food', 'that', 'my', 'mother', 'need', 'for', 'her', 'medical', 'treatment', 'we', 'appreciate', 'any', 'sort', 'of', 'help']","['update', 'thanks', 'everyone', 'else', 'donated', 'last', 'week', 'able', 'pay', 'rent', 'stay', 'house', 'also', 'bought', 'medicines', 'food', 'mother', 'need', 'medical', 'treatment', 'appreciate', 'sort', 'help']","['updat', 'thank', 'everyon', 'els', 'donat', 'last', 'week', 'abl', 'pay', 'rent', 'stay', 'hous', 'also', 'bought', 'medicin', 'food', 'mother', 'need', 'medic', 'treatment', 'appreci', 'sort', 'help']","['update', 'thanks', 'everyone', 'else', 'donated', 'last', 'week', 'able', 'pay', 'rent', 'stay', 'house', 'also', 'bought', 'medicines', 'food', 'mother', 'need', 'medical', 'treatment', 'appreciate', 'sort', 'help']",5,Uruguay
2022-06-04 16:42:44+00:00,1533127121257783302,'Stakeholders' suddenly care about the poor so much that they're making everyone poor in order for us all to appreciate their extraordinary philanthropic generosity.,nwo_to,1984,13,1,3,0,Truth-affiliated media? Analyst/AI/Quantum theory. UK/US. #Woof = the hound of sarcasm.,2134,,stakeholders suddenly care about the poor so much that theyre making everyone poor in order for us all to appreciate their extraordinary philanthropic generosity,"['stakeholders', 'suddenly', 'care', 'about', 'the', 'poor', 'so', 'much', 'that', 'theyre', 'making', 'everyone', 'poor', 'in', 'order', 'for', 'us', 'all', 'to', 'appreciate', 'their', 'extraordinary', 'philanthropic', 'generosity']","['stakeholders', 'suddenly', 'care', 'poor', 'much', 'theyre', 'making', 'everyone', 'poor', 'order', 'us', 'appreciate', 'extraordinary', 'philanthropic', 'generosity']","['stakehold', 'suddenli', 'care', 'poor', 'much', 'theyr', 'make', 'everyon', 'poor', 'order', 'us', 'appreci', 'extraordinari', 'philanthrop', 'generos']","['stakeholders', 'suddenly', 'care', 'poor', 'much', 'theyre', 'making', 'everyone', 'poor', 'order', 'us', 'appreciate', 'extraordinary', 'philanthropic', 'generosity']",5,Uruguay
2022-05-25 23:55:46+00:00,1529612219662888960,@ShadowBrotherh1 @DoctorHexen @noobde @NetherRealm Hey! Thank you very much for that 🙏🙂🐉🔥I really appreciate it 🤜🤛,FlavioLuccisano,,0,1,0,0,Freelance Artist. フリーランスアーティスト,3882,,hey thank you very much for that i really appreciate it,"['hey', 'thank', 'you', 'very', 'much', 'for', 'that', 'i', 'really', 'appreciate', 'it']","['hey', 'thank', 'much', 'really', 'appreciate']","['hey', 'thank', 'much', 'realli', 'appreci']","['hey', 'thank', 'much', 'really', 'appreciate']",5,Uruguay
2022-05-11 21:09:29+00:00,1524496942100746240,"#TimsTwitterListeningParty @thisissigrid thank youuu for sharing every story behind each song, not something many artists do so we really appreciate that and stream how to let go!!!🇳🇴🇦🇷💗",EmiSwiftie13,"Buenos Aires, Argentina",2,0,0,0,"Hi everyone! I'm Emiliano, 21 years old, from Argentina 🇦🇷. I want to make Swiftie friends 🌈 ㅤㅤㅤ ㅤㅤㅤ TN Follows! 🍬 @ArgZaraLarsson",7872,['TimsTwitterListeningParty'],timstwitterlisteningparty thank youuu for sharing every story behind each song not something many artists do so we really appreciate that and stream how to let go,"['timstwitterlisteningparty', 'thank', 'youuu', 'for', 'sharing', 'every', 'story', 'behind', 'each', 'song', 'not', 'something', 'many', 'artists', 'do', 'so', 'we', 'really', 'appreciate', 'that', 'and', 'stream', 'how', 'to', 'let', 'go']","['timstwitterlisteningparty', 'thank', 'youuu', 'sharing', 'every', 'story', 'behind', 'song', 'something', 'many', 'artists', 'really', 'appreciate', 'stream', 'let', 'go']","['timstwitterlisteningparti', 'thank', 'youuu', 'share', 'everi', 'stori', 'behind', 'song', 'someth', 'mani', 'artist', 'realli', 'appreci', 'stream', 'let', 'go']","['timstwitterlisteningparty', 'thank', 'youuu', 'sharing', 'every', 'story', 'behind', 'song', 'something', 'many', 'artists', 'really', 'appreciate', 'stream', 'let', 'go']",5,Uruguay
2022-06-05 15:26:20+00:00,1533470280991006721,"@JackRonaldi @WitDeJesse Because a big part their business model is predicated on appreciation of land values. But sure, property/facilities management would still be a potentially viable business activity.",TheSilvioGesell,"Buenos Aires, Argentina",0,1,0,0,"Promoting the economic theories and proposals of the economist-entrepreneur, Silvio Gesell (1862-1930)",208,,because a big part their business model is predicated on appreciation of land values but sure propertyfacilities management would still be a potentially viable business activity,"['because', 'a', 'big', 'part', 'their', 'business', 'model', 'is', 'predicated', 'on', 'appreciation', 'of', 'land', 'values', 'but', 'sure', 'propertyfacilities', 'management', 'would', 'still', 'be', 'a', 'potentially', 'viable', 'business', 'activity']","['big', 'part', 'business', 'model', 'predicated', 'appreciation', 'land', 'values', 'sure', 'propertyfacilities', 'management', 'would', 'still', 'potentially', 'viable', 'business', 'activity']","['big', 'part', 'busi', 'model', 'predic', 'appreci', 'land', 'valu', 'sure', 'propertyfacil', 'manag', 'would', 'still', 'potenti', 'viabl', 'busi', 'activ']","['big', 'part', 'business', 'model', 'predicated', 'appreciation', 'land', 'values', 'sure', 'propertyfacilities', 'management', 'would', 'still', 'potentially', 'viable', 'business', 'activity']",3,Uruguay
2022-06-08 12:56:21+00:00,1534519700633399299,"My new drop on tez is live ⚡️⚡️⚡️

""Hello Master""

A humble tribute to master Eugène Delacroix, a digital study of one of his subjects 🖤🖤🖤

12 Editions 
6 $XTZ

Link in comments 🙏 https://t.co/xSv4lZGPF9",Foleee1,Uruguay,42,3,14,3,"Digital artist ○ Portrait Painter ○ Illustrator ○ Art lover 
linktr.ee/Foleee",5511,,my new drop on tez is live hello master a humble tribute to master eugne delacroix a digital study of one of his subjects 12 editions 6 xtz link in comments,"['my', 'new', 'drop', 'on', 'tez', 'is', 'live', 'hello', 'master', 'a', 'humble', 'tribute', 'to', 'master', 'eugne', 'delacroix', 'a', 'digital', 'study', 'of', 'one', 'of', 'his', 'subjects', '12', 'editions', '6', 'xtz', 'link', 'in', 'comments']","['new', 'drop', 'tez', 'live', 'hello', 'master', 'humble', 'tribute', 'master', 'eugne', 'delacroix', 'digital', 'study', 'one', 'subjects', '12', 'editions', '6', 'xtz', 'link', 'comments']","['new', 'drop', 'tez', 'live', 'hello', 'master', 'humbl', 'tribut', 'master', 'eugn', 'delacroix', 'digit', 'studi', 'one', 'subject', '12', 'edit', '6', 'xtz', 'link', 'comment']","['new', 'drop', 'tez', 'live', 'hello', 'master', 'humble', 'tribute', 'master', 'eugne', 'delacroix', 'digital', 'study', 'one', 'subjects', '12', 'editions', '6', 'xtz', 'link', 'comments']",5,Uruguay
2022-06-01 21:06:23+00:00,1532106309226614785,"Happy #PrideMonth. I made a comic strip with humor and as a tribute (or parody) to ""Saving Private Ryan"". 

And it is starring: Julían &amp; Tablamo, and the participation of: ""Capitana del Amor"" and ""Florencia"".

The joke is in Spanish.

What do you think?: https://t.co/CWiExOGcek",FacundoRaggio4,"Rosario, Argentina.",0,0,0,0,"Esta cuenta de Matías ""Maty-Boy"" Ojeda va compartir ahora con mi hermanito: Facundo Raggio.

Creador de Julían & Tablamo, Maty-Boy, Capitana del amor, etc.",54,['PrideMonth'],happy pridemonth i made a comic strip with humor and as a tribute or parody to saving private ryan and it is starring julan amp tablamo and the participation of capitana del amor and florencia the joke is in spanish what do you think,"['happy', 'pridemonth', 'i', 'made', 'a', 'comic', 'strip', 'with', 'humor', 'and', 'as', 'a', 'tribute', 'or', 'parody', 'to', 'saving', 'private', 'ryan', 'and', 'it', 'is', 'starring', 'julan', 'amp', 'tablamo', 'and', 'the', 'participation', 'of', 'capitana', 'del', 'amor', 'and', 'florencia', 'the', 'joke', 'is', 'in', 'spanish', 'what', 'do', 'you', 'think']","['happy', 'pridemonth', 'made', 'comic', 'strip', 'humor', 'tribute', 'parody', 'saving', 'private', 'ryan', 'starring', 'julan', 'amp', 'tablamo', 'participation', 'capitana', 'del', 'amor', 'florencia', 'joke', 'spanish', 'think']","['happi', 'pridemonth', 'made', 'comic', 'strip', 'humor', 'tribut', 'parodi', 'save', 'privat', 'ryan', 'star', 'julan', 'amp', 'tablamo', 'particip', 'capitana', 'del', 'amor', 'florencia', 'joke', 'spanish', 'think']","['happy', 'pridemonth', 'made', 'comic', 'strip', 'humor', 'tribute', 'parody', 'saving', 'private', 'ryan', 'starring', 'julan', 'amp', 'tablamo', 'participation', 'capitana', 'del', 'amor', 'florencia', 'joke', 'spanish', 'think']",5,Uruguay
