Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-09 03:35:10+00:00,1534740864949526529,"Captain Rick Took me to the store, so I could stock up on some of the necessities of life! 🤙🏽 While this may not seem like a big deal to some people,🤔 there are many Americans, &amp; people all over the world, Who greatly appreciate these simple things!🤨 Ask Vets!🍻😎🪖🇺🇸🦅 https://t.co/NEWXLfMsmo",Bmh1winHill,Central Florida🇹🇹,13,2,0,0,ARMY 11B VET former Florida Forest Ranger Father Grandfather #ForeignAndDomestic #ThisWeWillDefend #Resistance Cash App $bmh1win Venmo @BrentM-HillI Sep 24 1961,1481,,captain rick took me to the store so i could stock up on some of the necessities of life while this may not seem like a big deal to some people there are many americans amp people all over the world who greatly appreciate these simple things ask vets,"['captain', 'rick', 'took', 'me', 'to', 'the', 'store', 'so', 'i', 'could', 'stock', 'up', 'on', 'some', 'of', 'the', 'necessities', 'of', 'life', 'while', 'this', 'may', 'not', 'seem', 'like', 'a', 'big', 'deal', 'to', 'some', 'people', 'there', 'are', 'many', 'americans', 'amp', 'people', 'all', 'over', 'the', 'world', 'who', 'greatly', 'appreciate', 'these', 'simple', 'things', 'ask', 'vets']","['captain', 'rick', 'took', 'store', 'could', 'stock', 'necessities', 'life', 'may', 'seem', 'like', 'big', 'deal', 'people', 'many', 'americans', 'amp', 'people', 'world', 'greatly', 'appreciate', 'simple', 'things', 'ask', 'vets']","['captain', 'rick', 'took', 'store', 'could', 'stock', 'necess', 'life', 'may', 'seem', 'like', 'big', 'deal', 'peopl', 'mani', 'american', 'amp', 'peopl', 'world', 'greatli', 'appreci', 'simpl', 'thing', 'ask', 'vet']","['captain', 'rick', 'took', 'store', 'could', 'stock', 'necessities', 'life', 'may', 'seem', 'like', 'big', 'deal', 'people', 'many', 'americans', 'amp', 'people', 'world', 'greatly', 'appreciate', 'simple', 'things', 'ask', 'vets']",4,Venezuela
2022-06-08 22:46:27+00:00,1534668204454428673,@huntingpermit appreciate it bro 😁,FBGMattt,north florida ,1,0,0,0,this is my instagram 😄,495,,appreciate it bro,"['appreciate', 'it', 'bro']","['appreciate', 'bro']","['appreci', 'bro']","['appreciate', 'bro']",4,Venezuela
2022-06-08 21:41:54+00:00,1534651961991208960,"“Mr. Speaker, I fully appreciate that this is the termination of my political career, but what’s the use of getting elected or re-elected if you don’t stand for something,I cannot in good conscience stand here and be the vote that defeats this bill.” https://t.co/4aJcrUMEVD",wallacedodie1,"Sebastopol, CA",0,0,0,0,"Skeptic, atheist, humanist, science enthusiast",353,,mr speaker i fully appreciate that this is the termination of my political career but whats the use of getting elected or reelected if you dont stand for somethingi cannot in good conscience stand here and be the vote that defeats this bill,"['mr', 'speaker', 'i', 'fully', 'appreciate', 'that', 'this', 'is', 'the', 'termination', 'of', 'my', 'political', 'career', 'but', 'whats', 'the', 'use', 'of', 'getting', 'elected', 'or', 'reelected', 'if', 'you', 'dont', 'stand', 'for', 'somethingi', 'cannot', 'in', 'good', 'conscience', 'stand', 'here', 'and', 'be', 'the', 'vote', 'that', 'defeats', 'this', 'bill']","['mr', 'speaker', 'fully', 'appreciate', 'termination', 'political', 'career', 'whats', 'use', 'getting', 'elected', 'reelected', 'dont', 'stand', 'somethingi', 'cannot', 'good', 'conscience', 'stand', 'vote', 'defeats', 'bill']","['mr', 'speaker', 'fulli', 'appreci', 'termin', 'polit', 'career', 'what', 'use', 'get', 'elect', 'reelect', 'dont', 'stand', 'somethingi', 'cannot', 'good', 'conscienc', 'stand', 'vote', 'defeat', 'bill']","['mr', 'speaker', 'fully', 'appreciate', 'termination', 'political', 'career', 'whats', 'use', 'getting', 'elected', 'reelected', 'dont', 'stand', 'somethingi', 'cannot', 'good', 'conscience', 'stand', 'vote', 'defeats', 'bill']",1,Venezuela
2022-06-08 21:35:15+00:00,1534650287482347520,"@SandraMJdev As a Panamanian, I can relate to the themes of different race and class. I also appreciate how you wrote Sep and Ader as a couple. The more they interact and share moments, it shows how they learn from each other, so they become better people and have a healthy relationship.",henrytoons99,Panamá,1,0,0,0,"Anthro artist who loves to be creative!
Panamanian
Creator of The upcoming Webcomic Tales of the GeoRangers!
@georangers90
IG: instagram.com/henrytoons99/",83,,as a panamanian i can relate to the themes of different race and class i also appreciate how you wrote sep and ader as a couple the more they interact and share moments it shows how they learn from each other so they become better people and have a healthy relationship,"['as', 'a', 'panamanian', 'i', 'can', 'relate', 'to', 'the', 'themes', 'of', 'different', 'race', 'and', 'class', 'i', 'also', 'appreciate', 'how', 'you', 'wrote', 'sep', 'and', 'ader', 'as', 'a', 'couple', 'the', 'more', 'they', 'interact', 'and', 'share', 'moments', 'it', 'shows', 'how', 'they', 'learn', 'from', 'each', 'other', 'so', 'they', 'become', 'better', 'people', 'and', 'have', 'a', 'healthy', 'relationship']","['panamanian', 'relate', 'themes', 'different', 'race', 'class', 'also', 'appreciate', 'wrote', 'sep', 'ader', 'couple', 'interact', 'share', 'moments', 'shows', 'learn', 'become', 'better', 'people', 'healthy', 'relationship']","['panamanian', 'relat', 'theme', 'differ', 'race', 'class', 'also', 'appreci', 'wrote', 'sep', 'ader', 'coupl', 'interact', 'share', 'moment', 'show', 'learn', 'becom', 'better', 'peopl', 'healthi', 'relationship']","['panamanian', 'relate', 'themes', 'different', 'race', 'class', 'also', 'appreciate', 'wrote', 'sep', 'ader', 'couple', 'interact', 'share', 'moments', 'shows', 'learn', 'become', 'better', 'people', 'healthy', 'relationship']",4,Venezuela
2022-06-08 21:25:45+00:00,1534647898050383874,"@WarMonitor3 Dear warmonitor, we all appreciate, as many who do the same here, to follow the updates and know what's going on, but won't the russians know it too? Please be careful and warn your friends of this. (I hope I'm not being obvious, but I worry)",Spectator_pt,Portugal,1,0,0,0,I couldn't find a reason for having a Tweeter account until Ukraine was invaded.,12,,dear warmonitor we all appreciate as many who do the same here to follow the updates and know whats going on but wont the russians know it too please be careful and warn your friends of this i hope im not being obvious but i worry,"['dear', 'warmonitor', 'we', 'all', 'appreciate', 'as', 'many', 'who', 'do', 'the', 'same', 'here', 'to', 'follow', 'the', 'updates', 'and', 'know', 'whats', 'going', 'on', 'but', 'wont', 'the', 'russians', 'know', 'it', 'too', 'please', 'be', 'careful', 'and', 'warn', 'your', 'friends', 'of', 'this', 'i', 'hope', 'im', 'not', 'being', 'obvious', 'but', 'i', 'worry']","['dear', 'warmonitor', 'appreciate', 'many', 'follow', 'updates', 'know', 'whats', 'going', 'wont', 'russians', 'know', 'please', 'careful', 'warn', 'friends', 'hope', 'im', 'obvious', 'worry']","['dear', 'warmonitor', 'appreci', 'mani', 'follow', 'updat', 'know', 'what', 'go', 'wont', 'russian', 'know', 'pleas', 'care', 'warn', 'friend', 'hope', 'im', 'obviou', 'worri']","['dear', 'warmonitor', 'appreciate', 'many', 'follow', 'updates', 'know', 'whats', 'going', 'wont', 'russians', 'know', 'please', 'careful', 'warn', 'friends', 'hope', 'im', 'obvious', 'worry']",3,Venezuela
2022-06-08 12:46:21+00:00,1534517183073632257,"@RikOostenbroek Aren't you, the creator, in charge of the rights though, from a licensing perspective?

On a human level, I appreciate you would give that kind of power to the collector. I'd say makes the NFT more valuable.",DmitriyKhaykin,North Florida,2,1,0,0,Journey Photographer. Software Developer. My vision is to combine the two. The Journey Begins. Links: linktr.ee/DmitriyK,513,,arent you the creator in charge of the rights though from a licensing perspective on a human level i appreciate you would give that kind of power to the collector id say makes the nft more valuable,"['arent', 'you', 'the', 'creator', 'in', 'charge', 'of', 'the', 'rights', 'though', 'from', 'a', 'licensing', 'perspective', 'on', 'a', 'human', 'level', 'i', 'appreciate', 'you', 'would', 'give', 'that', 'kind', 'of', 'power', 'to', 'the', 'collector', 'id', 'say', 'makes', 'the', 'nft', 'more', 'valuable']","['arent', 'creator', 'charge', 'rights', 'though', 'licensing', 'perspective', 'human', 'level', 'appreciate', 'would', 'give', 'kind', 'power', 'collector', 'id', 'say', 'makes', 'nft', 'valuable']","['arent', 'creator', 'charg', 'right', 'though', 'licens', 'perspect', 'human', 'level', 'appreci', 'would', 'give', 'kind', 'power', 'collector', 'id', 'say', 'make', 'nft', 'valuabl']","['arent', 'creator', 'charge', 'rights', 'though', 'licensing', 'perspective', 'human', 'level', 'appreciate', 'would', 'give', 'kind', 'power', 'collector', 'id', 'say', 'makes', 'nft', 'valuable']",3,Venezuela
2022-06-08 07:54:32+00:00,1534443747135602689,"Re-watching John-Q and it is so upsetting that we are still dealing with this insurance BS 20 years later. I do appreciate the Pediatric nurse assigned to his baby, and how he's portrayed. I've had so many experiences with nurses who don't g.a.d. And so many who are amazing. (1)",M0mmabard,SW Florida,0,1,0,0,"#Books #Horror #Movies #Gaming #ADHD#ActuallyAutistic #Disability #LGBTQIA+ #ClimateChange,🌊 #Resist. F* tfg and his cult. NBi/Poly/Pan: She/Her/They/Them",5144,,rewatching johnq and it is so upsetting that we are still dealing with this insurance bs 20 years later i do appreciate the pediatric nurse assigned to his baby and how hes portrayed ive had so many experiences with nurses who dont gad and so many who are amazing 1,"['rewatching', 'johnq', 'and', 'it', 'is', 'so', 'upsetting', 'that', 'we', 'are', 'still', 'dealing', 'with', 'this', 'insurance', 'bs', '20', 'years', 'later', 'i', 'do', 'appreciate', 'the', 'pediatric', 'nurse', 'assigned', 'to', 'his', 'baby', 'and', 'how', 'hes', 'portrayed', 'ive', 'had', 'so', 'many', 'experiences', 'with', 'nurses', 'who', 'dont', 'gad', 'and', 'so', 'many', 'who', 'are', 'amazing', '1']","['rewatching', 'johnq', 'upsetting', 'still', 'dealing', 'insurance', 'bs', '20', 'years', 'later', 'appreciate', 'pediatric', 'nurse', 'assigned', 'baby', 'hes', 'portrayed', 'ive', 'many', 'experiences', 'nurses', 'dont', 'gad', 'many', 'amazing', '1']","['rewatch', 'johnq', 'upset', 'still', 'deal', 'insur', 'bs', '20', 'year', 'later', 'appreci', 'pediatr', 'nurs', 'assign', 'babi', 'he', 'portray', 'ive', 'mani', 'experi', 'nurs', 'dont', 'gad', 'mani', 'amaz', '1']","['rewatching', 'johnq', 'upsetting', 'still', 'dealing', 'insurance', 'bs', '20', 'years', 'later', 'appreciate', 'pediatric', 'nurse', 'assigned', 'baby', 'hes', 'portrayed', 'ive', 'many', 'experiences', 'nurses', 'dont', 'gad', 'many', 'amazing', '1']",2,Venezuela
2022-06-08 05:33:48+00:00,1534408329283391489,@Heyunclejesse @EGPWonderChef I appreciate it! Is it Cassie's VA from MKX or MK11?,SirHonor531,Central Florida,0,1,0,0,"Teacher, Married, Loyal, Respectful, Honorable but most of all, Family Man.
Pronouns: He/Him",254,,i appreciate it is it cassies va from mkx or mk11,"['i', 'appreciate', 'it', 'is', 'it', 'cassies', 'va', 'from', 'mkx', 'or', 'mk11']","['appreciate', 'cassies', 'va', 'mkx', 'mk11']","['appreci', 'cassi', 'va', 'mkx', 'mk11']","['appreciate', 'cassies', 'va', 'mkx', 'mk11']",4,Venezuela
2022-06-08 01:41:00+00:00,1534349745535299584,@thomasn61710689 @NamVetSonSp2620 🙏REST WELL SOR.. I APPRECIATE YOUR SERVICE 🙏🙏🙏,cajun_bill,Central Florida ,1,1,0,0,pedohunter.. anti Biden... patriot.. pissed off.. 1-A.. 2-A.. no question about it and I practice both. FUCK JOE BIDEN! gab- RagincajunBill42069,835,,rest well sor i appreciate your service,"['rest', 'well', 'sor', 'i', 'appreciate', 'your', 'service']","['rest', 'well', 'sor', 'appreciate', 'service']","['rest', 'well', 'sor', 'appreci', 'servic']","['rest', 'well', 'sor', 'appreciate', 'service']",4,Venezuela
2022-06-07 22:30:06+00:00,1534301701737414659,"After having played with a DM where the enemy combatants number in the 30s to 50s in many encounters, I have very much come to appreciate the first one listed here, and do not think it's bad at all.

It demands more focus and attention on tactics and positioning, but it's fun!🙏 https://t.co/RTbIfVmY04",cyanCrusader,"Vancouver, British Colombia",0,0,0,0,"31/@tim3hopp3r is 👩‍❤️‍💋‍👩/ Fake Geek Girl / Bleeding Heart Leftie/
I like nerdy things! Talk to me about #TTRPGs! 

Avatar by @HammyDeVito💫",301,,after having played with a dm where the enemy combatants number in the 30s to 50s in many encounters i have very much come to appreciate the first one listed here and do not think its bad at all it demands more focus and attention on tactics and positioning but its fun,"['after', 'having', 'played', 'with', 'a', 'dm', 'where', 'the', 'enemy', 'combatants', 'number', 'in', 'the', '30s', 'to', '50s', 'in', 'many', 'encounters', 'i', 'have', 'very', 'much', 'come', 'to', 'appreciate', 'the', 'first', 'one', 'listed', 'here', 'and', 'do', 'not', 'think', 'its', 'bad', 'at', 'all', 'it', 'demands', 'more', 'focus', 'and', 'attention', 'on', 'tactics', 'and', 'positioning', 'but', 'its', 'fun']","['played', 'dm', 'enemy', 'combatants', 'number', '30s', '50s', 'many', 'encounters', 'much', 'come', 'appreciate', 'first', 'one', 'listed', 'think', 'bad', 'demands', 'focus', 'attention', 'tactics', 'positioning', 'fun']","['play', 'dm', 'enemi', 'combat', 'number', '30', '50', 'mani', 'encount', 'much', 'come', 'appreci', 'first', 'one', 'list', 'think', 'bad', 'demand', 'focu', 'attent', 'tactic', 'posit', 'fun']","['played', 'dm', 'enemy', 'combatants', 'number', '30s', '50s', 'many', 'encounters', 'much', 'come', 'appreciate', 'first', 'one', 'listed', 'think', 'bad', 'demands', 'focus', 'attention', 'tactics', 'positioning', 'fun']",4,Venezuela
