Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-06 18:54:01+00:00,1533884935123128321,"@GeenaUsman We appreciate decency, and so don't care about your nudes.",Excellent3rdTim,Near you,1,1,0,0,"Coordinator: Excelencia School of Chemistry. An excellent mind.
A teacher. A coach. A preacher of the Word. Biochemist by training

Committed God lover.",5110,,we appreciate decency and so dont care about your nudes,"['we', 'appreciate', 'decency', 'and', 'so', 'dont', 'care', 'about', 'your', 'nudes']","['appreciate', 'decency', 'dont', 'care', 'nudes']","['appreci', 'decenc', 'dont', 'care', 'nude']","['appreciate', 'decency', 'dont', 'care', 'nudes']",3,Vietnam
2022-06-06 10:14:06+00:00,1533754093994270720,I'm already feeling preemptively sorry for getting this Wonwoo pc because I know I will never appreciate it the way a wwrideul will https://t.co/DNzayNXmsf,svtcrnvl,Somewhere in Southeast Asia,1,0,0,0,Don't invite me to parties. Likes are just my bookmarks. she / her. Old enough to remember what Y2K is.,43,,im already feeling preemptively sorry for getting this wonwoo pc because i know i will never appreciate it the way a wwrideul will,"['im', 'already', 'feeling', 'preemptively', 'sorry', 'for', 'getting', 'this', 'wonwoo', 'pc', 'because', 'i', 'know', 'i', 'will', 'never', 'appreciate', 'it', 'the', 'way', 'a', 'wwrideul', 'will']","['im', 'already', 'feeling', 'preemptively', 'sorry', 'getting', 'wonwoo', 'pc', 'know', 'never', 'appreciate', 'way', 'wwrideul']","['im', 'alreadi', 'feel', 'preemptiv', 'sorri', 'get', 'wonwoo', 'pc', 'know', 'never', 'appreci', 'way', 'wwrideul']","['im', 'already', 'feeling', 'preemptively', 'sorry', 'getting', 'wonwoo', 'pc', 'know', 'never', 'appreciate', 'way', 'wwrideul']",1,Vietnam
2022-05-11 09:56:02+00:00,1524327464184344576,❤️ Chea &amp; Panna were excited for our arrival last week. Grateful for our Takeo ministry! Appreciate many who prays for this ministry. Their sincere love &amp; smiles always bring joy to my heart.  #GodisGood #Missions1040 🙏🌏 https://t.co/BwiK6gPhaq,HasFamily,Cambodia,2,0,0,0,"Sinner saved by God's Grace, Husband to Thy Phoeun Has, Missionary / Church Planter serving in Southeast Asia!",622,"['GodisGood', 'Missions1040']",chea amp panna were excited for our arrival last week grateful for our takeo ministry appreciate many who prays for this ministry their sincere love amp smiles always bring joy to my heart godisgood missions1040,"['chea', 'amp', 'panna', 'were', 'excited', 'for', 'our', 'arrival', 'last', 'week', 'grateful', 'for', 'our', 'takeo', 'ministry', 'appreciate', 'many', 'who', 'prays', 'for', 'this', 'ministry', 'their', 'sincere', 'love', 'amp', 'smiles', 'always', 'bring', 'joy', 'to', 'my', 'heart', 'godisgood', 'missions1040']","['chea', 'amp', 'panna', 'excited', 'arrival', 'last', 'week', 'grateful', 'takeo', 'ministry', 'appreciate', 'many', 'prays', 'ministry', 'sincere', 'love', 'amp', 'smiles', 'always', 'bring', 'joy', 'heart', 'godisgood', 'missions1040']","['chea', 'amp', 'panna', 'excit', 'arriv', 'last', 'week', 'grate', 'takeo', 'ministri', 'appreci', 'mani', 'pray', 'ministri', 'sincer', 'love', 'amp', 'smile', 'alway', 'bring', 'joy', 'heart', 'godisgood', 'missions1040']","['chea', 'amp', 'panna', 'excited', 'arrival', 'last', 'week', 'grateful', 'takeo', 'ministry', 'appreciate', 'many', 'prays', 'ministry', 'sincere', 'love', 'amp', 'smiles', 'always', 'bring', 'joy', 'heart', 'godisgood', 'missions1040']",5,Vietnam
2022-05-04 11:10:35+00:00,1521809509538140160,"Dear Self,
Mabagal man ang pag usad ng asenso mo sa buhay, pero atleast umuusad. Learn to appreciate every little step of your achievement, bihira lang ang nakakatapos nyan. Kaya Self! Keep going and pushing! More success in life. I claimed it! #havefaith #blessed",jenny_navotas,Cambodia,0,0,0,0,I am AMBIVERT 😅,0,"['havefaith', 'blessed']",dear self mabagal man ang pag usad ng asenso mo sa buhay pero atleast umuusad learn to appreciate every little step of your achievement bihira lang ang nakakatapos nyan kaya self keep going and pushing more success in life i claimed it havefaith blessed,"['dear', 'self', 'mabagal', 'man', 'ang', 'pag', 'usad', 'ng', 'asenso', 'mo', 'sa', 'buhay', 'pero', 'atleast', 'umuusad', 'learn', 'to', 'appreciate', 'every', 'little', 'step', 'of', 'your', 'achievement', 'bihira', 'lang', 'ang', 'nakakatapos', 'nyan', 'kaya', 'self', 'keep', 'going', 'and', 'pushing', 'more', 'success', 'in', 'life', 'i', 'claimed', 'it', 'havefaith', 'blessed']","['dear', 'self', 'mabagal', 'man', 'ang', 'pag', 'usad', 'ng', 'asenso', 'mo', 'sa', 'buhay', 'pero', 'atleast', 'umuusad', 'learn', 'appreciate', 'every', 'little', 'step', 'achievement', 'bihira', 'lang', 'ang', 'nakakatapos', 'nyan', 'kaya', 'self', 'keep', 'going', 'pushing', 'success', 'life', 'claimed', 'havefaith', 'blessed']","['dear', 'self', 'mabag', 'man', 'ang', 'pag', 'usad', 'ng', 'asenso', 'mo', 'sa', 'buhay', 'pero', 'atleast', 'umuusad', 'learn', 'appreci', 'everi', 'littl', 'step', 'achiev', 'bihira', 'lang', 'ang', 'nakakatapo', 'nyan', 'kaya', 'self', 'keep', 'go', 'push', 'success', 'life', 'claim', 'havefaith', 'bless']","['dear', 'self', 'mabagal', 'man', 'ang', 'pag', 'usad', 'ng', 'asenso', 'mo', 'sa', 'buhay', 'pero', 'atleast', 'umuusad', 'learn', 'appreciate', 'every', 'little', 'step', 'achievement', 'bihira', 'lang', 'ang', 'nakakatapos', 'nyan', 'kaya', 'self', 'keep', 'going', 'pushing', 'success', 'life', 'claimed', 'havefaith', 'blessed']",5,Vietnam
2022-04-12 23:10:22+00:00,1514018115440427019,"@txtdarigajelas Thanks for any comments, I really appreciate that. Because of your kind comments I commit to change my nationality from Indonesian to Thai citizenship. I hope you all have a good health so you can see me in my success. Congratulations.",mampedd,"ขอนแก่น, ประเทศไทย",104,8,12,8,Dutch Indies 🇳🇱 | นักศึกษาปริญญาโทบริหารธุรกิจมหาวิทยาลัยขอนแก่น ประเทศไทย,3060,,thanks for any comments i really appreciate that because of your kind comments i commit to change my nationality from indonesian to thai citizenship i hope you all have a good health so you can see me in my success congratulations,"['thanks', 'for', 'any', 'comments', 'i', 'really', 'appreciate', 'that', 'because', 'of', 'your', 'kind', 'comments', 'i', 'commit', 'to', 'change', 'my', 'nationality', 'from', 'indonesian', 'to', 'thai', 'citizenship', 'i', 'hope', 'you', 'all', 'have', 'a', 'good', 'health', 'so', 'you', 'can', 'see', 'me', 'in', 'my', 'success', 'congratulations']","['thanks', 'comments', 'really', 'appreciate', 'kind', 'comments', 'commit', 'change', 'nationality', 'indonesian', 'thai', 'citizenship', 'hope', 'good', 'health', 'see', 'success', 'congratulations']","['thank', 'comment', 'realli', 'appreci', 'kind', 'comment', 'commit', 'chang', 'nation', 'indonesian', 'thai', 'citizenship', 'hope', 'good', 'health', 'see', 'success', 'congratul']","['thanks', 'comments', 'really', 'appreciate', 'kind', 'comments', 'commit', 'change', 'nationality', 'indonesian', 'thai', 'citizenship', 'hope', 'good', 'health', 'see', 'success', 'congratulations']",5,Vietnam
2022-03-15 16:20:08+00:00,1503768014982086656,@DougPolkVids Did you buy a house in Austin yet?  That's advice you'll appreciate later.,RobJoswiak,Earth ,0,0,0,0,"🇺🇸 American | @pittsburgh er | USAF vet
@pennstatealums | @gwalumni | @bowiestate
Previous: 🇩🇪 🇦🇫 🇧🇷 | Currently: 🇰🇭 @usembphnompenh",501,,did you buy a house in austin yet thats advice youll appreciate later,"['did', 'you', 'buy', 'a', 'house', 'in', 'austin', 'yet', 'thats', 'advice', 'youll', 'appreciate', 'later']","['buy', 'house', 'austin', 'yet', 'thats', 'advice', 'youll', 'appreciate', 'later']","['buy', 'hous', 'austin', 'yet', 'that', 'advic', 'youll', 'appreci', 'later']","['buy', 'house', 'austin', 'yet', 'thats', 'advice', 'youll', 'appreciate', 'later']",3,Vietnam
2022-01-17 03:26:18+00:00,1482917168149073921,❤️ A blessing to have Sokhim help out w/ Sunday morning pickups. 🙌 Grateful for his &amp; his family spiritual growth; appreciate fellow missionary @vongfamily investment in their lives. Thrilled about what the Lord has in-store for them. #GlorytoGod #Missions1040 ☝️🙏🌏 https://t.co/sa2zIJevYP,HasFamily,Cambodia,3,0,0,0,"Sinner saved by God's Grace, Husband to Thy Phoeun Has, Missionary / Church Planter serving in Southeast Asia!",622,"['GlorytoGod', 'Missions1040']",a blessing to have sokhim help out w sunday morning pickups grateful for his amp his family spiritual growth appreciate fellow missionary investment in their lives thrilled about what the lord has instore for them glorytogod missions1040,"['a', 'blessing', 'to', 'have', 'sokhim', 'help', 'out', 'w', 'sunday', 'morning', 'pickups', 'grateful', 'for', 'his', 'amp', 'his', 'family', 'spiritual', 'growth', 'appreciate', 'fellow', 'missionary', 'investment', 'in', 'their', 'lives', 'thrilled', 'about', 'what', 'the', 'lord', 'has', 'instore', 'for', 'them', 'glorytogod', 'missions1040']","['blessing', 'sokhim', 'help', 'w', 'sunday', 'morning', 'pickups', 'grateful', 'amp', 'family', 'spiritual', 'growth', 'appreciate', 'fellow', 'missionary', 'investment', 'lives', 'thrilled', 'lord', 'instore', 'glorytogod', 'missions1040']","['bless', 'sokhim', 'help', 'w', 'sunday', 'morn', 'pickup', 'grate', 'amp', 'famili', 'spiritu', 'growth', 'appreci', 'fellow', 'missionari', 'invest', 'live', 'thrill', 'lord', 'instor', 'glorytogod', 'missions1040']","['blessing', 'sokhim', 'help', 'w', 'sunday', 'morning', 'pickups', 'grateful', 'amp', 'family', 'spiritual', 'growth', 'appreciate', 'fellow', 'missionary', 'investment', 'lives', 'thrilled', 'lord', 'instore', 'glorytogod', 'missions1040']",5,Vietnam
2021-06-26 07:40:22+00:00,1408691591762509824,"ls this the real scott morrison let me respond with this
so you can appreciate what a AI can do #auspol
https://t.co/bxHaNWtLHV https://t.co/g3pY0vfCdL",DrewInSeAsia,Cambodia,0,0,0,0,"Australian expatriate with family been  unable to return home since March 2020
we try to eat like to help? 
Donate here drewinseasia.com/donate
or visit",3470,['auspol'],ls this the real scott morrison let me respond with this so you can appreciate what a ai can do auspol,"['ls', 'this', 'the', 'real', 'scott', 'morrison', 'let', 'me', 'respond', 'with', 'this', 'so', 'you', 'can', 'appreciate', 'what', 'a', 'ai', 'can', 'do', 'auspol']","['ls', 'real', 'scott', 'morrison', 'let', 'respond', 'appreciate', 'ai', 'auspol']","['ls', 'real', 'scott', 'morrison', 'let', 'respond', 'appreci', 'ai', 'auspol']","['ls', 'real', 'scott', 'morrison', 'let', 'respond', 'appreciate', 'ai', 'auspol']",5,Vietnam
2021-05-23 03:45:37+00:00,1396311328697065472,"Keep reminding myself to “enjoy the moment and appreciate the beauty of nature.” Especially with this weekend view at Hanchey Bamboo Resort. 

#weekendvibes #weekendview #nature #lifelivetolearn @ Hanchey Bamboo Resort https://t.co/RaCEQzgikj",lydangin,"Athens, OH",1,0,0,0,"A daughter, a sister & a woman. Straightforward, independent w/ sense of humor. livelifetolearn.com",316,"['weekendvibes', 'weekendview', 'nature', 'lifelivetolearn']",keep reminding myself to enjoy the moment and appreciate the beauty of nature especially with this weekend view at hanchey bamboo resort weekendvibes weekendview nature lifelivetolearn hanchey bamboo resort,"['keep', 'reminding', 'myself', 'to', 'enjoy', 'the', 'moment', 'and', 'appreciate', 'the', 'beauty', 'of', 'nature', 'especially', 'with', 'this', 'weekend', 'view', 'at', 'hanchey', 'bamboo', 'resort', 'weekendvibes', 'weekendview', 'nature', 'lifelivetolearn', 'hanchey', 'bamboo', 'resort']","['keep', 'reminding', 'enjoy', 'moment', 'appreciate', 'beauty', 'nature', 'especially', 'weekend', 'view', 'hanchey', 'bamboo', 'resort', 'weekendvibes', 'weekendview', 'nature', 'lifelivetolearn', 'hanchey', 'bamboo', 'resort']","['keep', 'remind', 'enjoy', 'moment', 'appreci', 'beauti', 'natur', 'especi', 'weekend', 'view', 'hanchey', 'bamboo', 'resort', 'weekendvib', 'weekendview', 'natur', 'lifelivetolearn', 'hanchey', 'bamboo', 'resort']","['keep', 'reminding', 'enjoy', 'moment', 'appreciate', 'beauty', 'nature', 'especially', 'weekend', 'view', 'hanchey', 'bamboo', 'resort', 'weekendvibes', 'weekendview', 'nature', 'lifelivetolearn', 'hanchey', 'bamboo', 'resort']",5,Vietnam
2021-05-11 07:57:10+00:00,1392025976964485120,"@BorisJohnson_MP CAN
CAN YOU** BEAT THIS

BORIS. JOHNSON
PRIME MINISTER of UK

OFFICIALLY SINGLE DINGLE
&amp; BORIS JOHNSON CARE

APPRECIATE HUG 😘
KISS FROM. 17 May 2021

LIKE
MISS  You , Can Trust me
English ROSE 
🌹 For Her.",FRANKAHMAD13,,1,0,1,0,"THIS IS DR.FRANK  MD ,FRSM uk",64,,can can you beat this boris johnson prime minister of uk officially single dingle amp boris johnson care appreciate hug kiss from 17 may 2021 like miss you can trust me english rose for her,"['can', 'can', 'you', 'beat', 'this', 'boris', 'johnson', 'prime', 'minister', 'of', 'uk', 'officially', 'single', 'dingle', 'amp', 'boris', 'johnson', 'care', 'appreciate', 'hug', 'kiss', 'from', '17', 'may', '2021', 'like', 'miss', 'you', 'can', 'trust', 'me', 'english', 'rose', 'for', 'her']","['beat', 'boris', 'johnson', 'prime', 'minister', 'uk', 'officially', 'single', 'dingle', 'amp', 'boris', 'johnson', 'care', 'appreciate', 'hug', 'kiss', '17', 'may', '2021', 'like', 'miss', 'trust', 'english', 'rose']","['beat', 'bori', 'johnson', 'prime', 'minist', 'uk', 'offici', 'singl', 'dingl', 'amp', 'bori', 'johnson', 'care', 'appreci', 'hug', 'kiss', '17', 'may', '2021', 'like', 'miss', 'trust', 'english', 'rose']","['beat', 'boris', 'johnson', 'prime', 'minister', 'uk', 'officially', 'single', 'dingle', 'amp', 'boris', 'johnson', 'care', 'appreciate', 'hug', 'kiss', '17', 'may', '2021', 'like', 'miss', 'trust', 'english', 'rose']",5,Vietnam
