Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2020-03-21 18:17:42+00:00,1241428788044587008,"@British_Airways Thank you for the answer, I received the voucher code yesterday. I appreciate your and your coworkers’ hard work during these difficult times",Pertza_a,Pori / sometimes Tampere,0,1,0,0,"Metallurgist (M.Sc.) / 33 / Manga, anime, Nendoroids, boardgames, Fate/Grand Order / mostly in Finnish, English&German OK / kun ei tunnu hyvältä @ulinapertza",239,,thank you for the answer i received the voucher code yesterday i appreciate your and your coworkers hard work during these difficult times,"['thank', 'you', 'for', 'the', 'answer', 'i', 'received', 'the', 'voucher', 'code', 'yesterday', 'i', 'appreciate', 'your', 'and', 'your', 'coworkers', 'hard', 'work', 'during', 'these', 'difficult', 'times']","['thank', 'answer', 'received', 'voucher', 'code', 'yesterday', 'appreciate', 'coworkers', 'hard', 'work', 'difficult', 'times']","['thank', 'answer', 'receiv', 'voucher', 'code', 'yesterday', 'appreci', 'cowork', 'hard', 'work', 'difficult', 'time']","['thank', 'answer', 'received', 'voucher', 'code', 'yesterday', 'appreciate', 'coworkers', 'hard', 'work', 'difficult', 'times']",5,Estonia
2021-09-29 10:09:16+00:00,1443155911955173380,"@qatarairways 

Sorry to say but very poor service. I had booked a ticket 1.5 years ago via Travel agent, but due to Covid the flights were cancelled and got a voucher. I called customer care asking if I can exchange the voucher for cash, aa the validlity is expiring next March.",amit_mavani,"Espoo, Suomi",0,0,0,0,,14,,sorry to say but very poor service i had booked a ticket 15 years ago via travel agent but due to covid the flights were cancelled and got a voucher i called customer care asking if i can exchange the voucher for cash aa the validlity is expiring next march,"['sorry', 'to', 'say', 'but', 'very', 'poor', 'service', 'i', 'had', 'booked', 'a', 'ticket', '15', 'years', 'ago', 'via', 'travel', 'agent', 'but', 'due', 'to', 'covid', 'the', 'flights', 'were', 'cancelled', 'and', 'got', 'a', 'voucher', 'i', 'called', 'customer', 'care', 'asking', 'if', 'i', 'can', 'exchange', 'the', 'voucher', 'for', 'cash', 'aa', 'the', 'validlity', 'is', 'expiring', 'next', 'march']","['sorry', 'say', 'poor', 'service', 'booked', 'ticket', '15', 'years', 'ago', 'via', 'travel', 'agent', 'due', 'covid', 'flights', 'cancelled', 'got', 'voucher', 'called', 'customer', 'care', 'asking', 'exchange', 'voucher', 'cash', 'aa', 'validlity', 'expiring', 'next', 'march']","['sorri', 'say', 'poor', 'servic', 'book', 'ticket', '15', 'year', 'ago', 'via', 'travel', 'agent', 'due', 'covid', 'flight', 'cancel', 'got', 'voucher', 'call', 'custom', 'care', 'ask', 'exchang', 'voucher', 'cash', 'aa', 'validl', 'expir', 'next', 'march']","['sorry', 'say', 'poor', 'service', 'booked', 'ticket', '15', 'years', 'ago', 'via', 'travel', 'agent', 'due', 'covid', 'flights', 'cancelled', 'got', 'voucher', 'called', 'customer', 'care', 'asking', 'exchange', 'voucher', 'cash', 'aa', 'validlity', 'expiring', 'next', 'march']",1,Estonia
2020-07-02 12:25:26+00:00,1278666089405321216,"@lufthansa and @supersaver_fi cheating people by pushing them to answer ""yes"" for accepting a voucher that enables the carrier to cancel their entire booking. This happened to my seriously ill brother that has to get to Helsinki for treatments today. Screw you #Lufthansa",realemmilaine,"Helsinki, Finland",131,1,12,0,"Partner @ soposoap.com 
Founder @ skonbeauty.com",268,['Lufthansa'],and cheating people by pushing them to answer yes for accepting a voucher that enables the carrier to cancel their entire booking this happened to my seriously ill brother that has to get to helsinki for treatments today screw you lufthansa,"['and', 'cheating', 'people', 'by', 'pushing', 'them', 'to', 'answer', 'yes', 'for', 'accepting', 'a', 'voucher', 'that', 'enables', 'the', 'carrier', 'to', 'cancel', 'their', 'entire', 'booking', 'this', 'happened', 'to', 'my', 'seriously', 'ill', 'brother', 'that', 'has', 'to', 'get', 'to', 'helsinki', 'for', 'treatments', 'today', 'screw', 'you', 'lufthansa']","['cheating', 'people', 'pushing', 'answer', 'yes', 'accepting', 'voucher', 'enables', 'carrier', 'cancel', 'entire', 'booking', 'happened', 'seriously', 'ill', 'brother', 'get', 'helsinki', 'treatments', 'today', 'screw', 'lufthansa']","['cheat', 'peopl', 'push', 'answer', 'ye', 'accept', 'voucher', 'enabl', 'carrier', 'cancel', 'entir', 'book', 'happen', 'serious', 'ill', 'brother', 'get', 'helsinki', 'treatment', 'today', 'screw', 'lufthansa']","['cheating', 'people', 'pushing', 'answer', 'yes', 'accepting', 'voucher', 'enables', 'carrier', 'cancel', 'entire', 'booking', 'happened', 'seriously', 'ill', 'brother', 'get', 'helsinki', 'treatments', 'today', 'screw', 'lufthansa']",1,Estonia
2020-04-22 16:20:15+00:00,1252995642508677122,"People/businesses like this getting huge (and questionable) grants at the moment, while normal tax-paying people like me can’t even get unemployment benefits from @KelaFpa and are having to rely on food vouchers from the church to feed myself and my kid. https://t.co/snfszwJNvo",SteveRPenny,"Helsinki, Finland",0,3,0,0,"Dad, music, tech, pop culture lover, podcaster (@otherzpodcast). A Brit in Finland. theotherz.net",401,,peoplebusinesses like this getting huge and questionable grants at the moment while normal taxpaying people like me cant even get unemployment benefits from and are having to rely on food vouchers from the church to feed myself and my kid,"['peoplebusinesses', 'like', 'this', 'getting', 'huge', 'and', 'questionable', 'grants', 'at', 'the', 'moment', 'while', 'normal', 'taxpaying', 'people', 'like', 'me', 'cant', 'even', 'get', 'unemployment', 'benefits', 'from', 'and', 'are', 'having', 'to', 'rely', 'on', 'food', 'vouchers', 'from', 'the', 'church', 'to', 'feed', 'myself', 'and', 'my', 'kid']","['peoplebusinesses', 'like', 'getting', 'huge', 'questionable', 'grants', 'moment', 'normal', 'taxpaying', 'people', 'like', 'cant', 'even', 'get', 'unemployment', 'benefits', 'rely', 'food', 'vouchers', 'church', 'feed', 'kid']","['peoplebusi', 'like', 'get', 'huge', 'question', 'grant', 'moment', 'normal', 'taxpay', 'peopl', 'like', 'cant', 'even', 'get', 'unemploy', 'benefit', 'reli', 'food', 'voucher', 'church', 'feed', 'kid']","['peoplebusinesses', 'like', 'getting', 'huge', 'questionable', 'grants', 'moment', 'normal', 'taxpaying', 'people', 'like', 'cant', 'even', 'get', 'unemployment', 'benefits', 'rely', 'food', 'vouchers', 'church', 'feed', 'kid']",1,Estonia
2020-03-21 18:17:42+00:00,1241428788044587008,"@British_Airways Thank you for the answer, I received the voucher code yesterday. I appreciate your and your coworkers’ hard work during these difficult times",Pertza_a,Pori / sometimes Tampere,0,1,0,0,"Metallurgist (M.Sc.) / 33 / Manga, anime, Nendoroids, boardgames, Fate/Grand Order / mostly in Finnish, English&German OK / kun ei tunnu hyvältä @ulinapertza",239,,thank you for the answer i received the voucher code yesterday i appreciate your and your coworkers hard work during these difficult times,"['thank', 'you', 'for', 'the', 'answer', 'i', 'received', 'the', 'voucher', 'code', 'yesterday', 'i', 'appreciate', 'your', 'and', 'your', 'coworkers', 'hard', 'work', 'during', 'these', 'difficult', 'times']","['thank', 'answer', 'received', 'voucher', 'code', 'yesterday', 'appreciate', 'coworkers', 'hard', 'work', 'difficult', 'times']","['thank', 'answer', 'receiv', 'voucher', 'code', 'yesterday', 'appreci', 'cowork', 'hard', 'work', 'difficult', 'time']","['thank', 'answer', 'received', 'voucher', 'code', 'yesterday', 'appreciate', 'coworkers', 'hard', 'work', 'difficult', 'times']",5,Estonia
2020-04-16 21:45:21+00:00,1250903128595222529,Spending some quality time with Isla my 3.5 yr old who lives in #helsinki with my ex. Fortunate to be able to travel to see her from Berlin during #covid19 #lockdown It snowed the last 2 days in Helsinki more than the whole winter combined. https://t.co/8CmbGPsDra,djunivers,Berlin,0,0,0,0,"Writer, actor, artist, filmmaker, creative director.",123,"['helsinki', 'covid19', 'lockdown']",spending some quality time with isla my 35 yr old who lives in helsinki with my ex fortunate to be able to travel to see her from berlin during covid19 lockdown it snowed the last 2 days in helsinki more than the whole winter combined,"['spending', 'some', 'quality', 'time', 'with', 'isla', 'my', '35', 'yr', 'old', 'who', 'lives', 'in', 'helsinki', 'with', 'my', 'ex', 'fortunate', 'to', 'be', 'able', 'to', 'travel', 'to', 'see', 'her', 'from', 'berlin', 'during', 'covid19', 'lockdown', 'it', 'snowed', 'the', 'last', '2', 'days', 'in', 'helsinki', 'more', 'than', 'the', 'whole', 'winter', 'combined']","['spending', 'quality', 'time', 'isla', '35', 'yr', 'old', 'lives', 'helsinki', 'ex', 'fortunate', 'able', 'travel', 'see', 'berlin', 'covid19', 'lockdown', 'snowed', 'last', '2', 'days', 'helsinki', 'whole', 'winter', 'combined']","['spend', 'qualiti', 'time', 'isla', '35', 'yr', 'old', 'live', 'helsinki', 'ex', 'fortun', 'abl', 'travel', 'see', 'berlin', 'covid19', 'lockdown', 'snow', 'last', '2', 'day', 'helsinki', 'whole', 'winter', 'combin']","['spending', 'quality', 'time', 'isla', '35', 'yr', 'old', 'lives', 'helsinki', 'ex', 'fortunate', 'able', 'travel', 'see', 'berlin', 'covid19', 'lockdown', 'snowed', 'last', '2', 'days', 'helsinki', 'whole', 'winter', 'combined']",3,Estonia
2020-04-06 16:19:47+00:00,1247197319289806849,"I raise my #WhiteCard because today is the International Day of Sport for Development and Peace. I also raise it against #COVID19. Take care, it is time to be together. Please join and raise your #WhiteCard with me! Peace and Sport
#April6
#IDSDP2020 https://t.co/Ntrhhr5Zwp",JoukoPakarinen,Helsinki Finland,7,0,0,0,Pentathlon coach from beginners to World Champions,282,"['WhiteCard', 'COVID19', 'WhiteCard', 'April6', 'IDSDP2020']",i raise my whitecard because today is the international day of sport for development and peace i also raise it against covid19 take care it is time to be together please join and raise your whitecard with me peace and sport april6 idsdp2020,"['i', 'raise', 'my', 'whitecard', 'because', 'today', 'is', 'the', 'international', 'day', 'of', 'sport', 'for', 'development', 'and', 'peace', 'i', 'also', 'raise', 'it', 'against', 'covid19', 'take', 'care', 'it', 'is', 'time', 'to', 'be', 'together', 'please', 'join', 'and', 'raise', 'your', 'whitecard', 'with', 'me', 'peace', 'and', 'sport', 'april6', 'idsdp2020']","['raise', 'whitecard', 'today', 'international', 'day', 'sport', 'development', 'peace', 'also', 'raise', 'covid19', 'take', 'care', 'time', 'together', 'please', 'join', 'raise', 'whitecard', 'peace', 'sport', 'april6', 'idsdp2020']","['rais', 'whitecard', 'today', 'intern', 'day', 'sport', 'develop', 'peac', 'also', 'rais', 'covid19', 'take', 'care', 'time', 'togeth', 'pleas', 'join', 'rais', 'whitecard', 'peac', 'sport', 'april6', 'idsdp2020']","['raise', 'whitecard', 'today', 'international', 'day', 'sport', 'development', 'peace', 'also', 'raise', 'covid19', 'take', 'care', 'time', 'together', 'please', 'join', 'raise', 'whitecard', 'peace', 'sport', 'april6', 'idsdp2020']",5,Estonia
2020-03-29 08:55:09+00:00,1244186320290938880,Salesforce Care 4 Free. #Covid19 https://t.co/35XhfyriOr,Pyhamaki,Asia-Pacific | Zoom,1,1,1,0,"Growth Business | High Tech | Adrenaline 🌍 Chasing Freedom & Exploring the World ✈️ Tweets about Real Deals, Global Events and Life Experiences.🔥",824,['Covid19'],salesforce care 4 free covid19,"['salesforce', 'care', '4', 'free', 'covid19']","['salesforce', 'care', '4', 'free', 'covid19']","['salesforc', 'care', '4', 'free', 'covid19']","['salesforce', 'care', '4', 'free', 'covid19']",5,Estonia
2020-03-22 09:45:31+00:00,1241662282280644609,"Let”s not get #paralyzed!

@harari_yuval :”We need a global plan-every crisis is a chance-humanity needs to make a choise”. #now 

#future #warning #surveillance #privacy #information #health #regimes #borders #travel #economy #COVID19 #CoronaCrisis https://t.co/lKyGVFFnlw",akonpelto,"Helsinki, Suomi",0,0,0,0,•kansalainen • Finnish citizen,95,"['paralyzed', 'now', 'future', 'warning', 'surveillance', 'privacy', 'information', 'health', 'regimes', 'borders', 'travel', 'economy', 'COVID19', 'CoronaCrisis']",lets not get paralyzed we need a global planevery crisis is a chancehumanity needs to make a choise now future warning surveillance privacy information health regimes borders travel economy covid19 coronacrisis,"['lets', 'not', 'get', 'paralyzed', 'we', 'need', 'a', 'global', 'planevery', 'crisis', 'is', 'a', 'chancehumanity', 'needs', 'to', 'make', 'a', 'choise', 'now', 'future', 'warning', 'surveillance', 'privacy', 'information', 'health', 'regimes', 'borders', 'travel', 'economy', 'covid19', 'coronacrisis']","['lets', 'get', 'paralyzed', 'need', 'global', 'planevery', 'crisis', 'chancehumanity', 'needs', 'make', 'choise', 'future', 'warning', 'surveillance', 'privacy', 'information', 'health', 'regimes', 'borders', 'travel', 'economy', 'covid19', 'coronacrisis']","['let', 'get', 'paralyz', 'need', 'global', 'planeveri', 'crisi', 'chancehuman', 'need', 'make', 'chois', 'futur', 'warn', 'surveil', 'privaci', 'inform', 'health', 'regim', 'border', 'travel', 'economi', 'covid19', 'coronacrisi']","['lets', 'get', 'paralyzed', 'need', 'global', 'planevery', 'crisis', 'chancehumanity', 'needs', 'make', 'choise', 'future', 'warning', 'surveillance', 'privacy', 'information', 'health', 'regimes', 'borders', 'travel', 'economy', 'covid19', 'coronacrisis']",1,Estonia
2020-08-06 21:18:47+00:00,1291483885398904838,"Let me tell you a secret about the second wave of Covid-19. Please, stay safe and healthy. ❤️

#coronavirus #covid19 #murse #nurse #message #secondwave #pandemic2020 #koronavirus https://t.co/zyeXUvnC7y",holmberg_j,"Suomi, Finland",79,3,16,3,"Terveysalan, koulutuksen ja markkinointiviestinnän monitoimimies.✨ Independent Health Care, Education, and Marketing Communications Professional.",8102,"['coronavirus', 'covid19', 'murse', 'nurse', 'message', 'secondwave', 'pandemic2020', 'koronavirus']",let me tell you a secret about the second wave of covid19 please stay safe and healthy coronavirus covid19 murse nurse message secondwave pandemic2020 koronavirus,"['let', 'me', 'tell', 'you', 'a', 'secret', 'about', 'the', 'second', 'wave', 'of', 'covid19', 'please', 'stay', 'safe', 'and', 'healthy', 'coronavirus', 'covid19', 'murse', 'nurse', 'message', 'secondwave', 'pandemic2020', 'koronavirus']","['let', 'tell', 'secret', 'second', 'wave', 'covid19', 'please', 'stay', 'safe', 'healthy', 'coronavirus', 'covid19', 'murse', 'nurse', 'message', 'secondwave', 'pandemic2020', 'koronavirus']","['let', 'tell', 'secret', 'second', 'wave', 'covid19', 'pleas', 'stay', 'safe', 'healthi', 'coronaviru', 'covid19', 'murs', 'nurs', 'messag', 'secondwav', 'pandemic2020', 'koronaviru']","['let', 'tell', 'secret', 'second', 'wave', 'covid19', 'please', 'stay', 'safe', 'healthy', 'coronavirus', 'covid19', 'murse', 'nurse', 'message', 'secondwave', 'pandemic2020', 'koronavirus']",5,Estonia
