Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-05-31 16:30:00+00:00,1531674364432613379,"It's time to pick your favorite #Gophers photo of the 2021-22 season! 📸

One lucky voter will win two $250 flight vouchers from proud sponsor, @SunCountryAir! 

These are our favorites, but you can see all the images and cast your vote here: https://t.co/UuEJYYXmSL https://t.co/z7VOdi45wi",GopherSwimDive,"Minneapolis, Minn.",3,0,1,0,The official Twitter feed of Golden Gopher Swimming and Diving. 16 Big Ten team titles. 21 Olympians. #Gophers // #MINNdset 〽️,3314,['Gophers'],its time to pick your favorite gophers photo of the 202122 season one lucky voter will win two 250 flight vouchers from proud sponsor these are our favorites but you can see all the images and cast your vote here,"['its', 'time', 'to', 'pick', 'your', 'favorite', 'gophers', 'photo', 'of', 'the', '202122', 'season', 'one', 'lucky', 'voter', 'will', 'win', 'two', '250', 'flight', 'vouchers', 'from', 'proud', 'sponsor', 'these', 'are', 'our', 'favorites', 'but', 'you', 'can', 'see', 'all', 'the', 'images', 'and', 'cast', 'your', 'vote', 'here']","['time', 'pick', 'favorite', 'gophers', 'photo', '202122', 'season', 'one', 'lucky', 'voter', 'win', 'two', '250', 'flight', 'vouchers', 'proud', 'sponsor', 'favorites', 'see', 'images', 'cast', 'vote']","['time', 'pick', 'favorit', 'gopher', 'photo', '202122', 'season', 'one', 'lucki', 'voter', 'win', 'two', '250', 'flight', 'voucher', 'proud', 'sponsor', 'favorit', 'see', 'imag', 'cast', 'vote']","['time', 'pick', 'favorite', 'gophers', 'photo', '202122', 'season', 'one', 'lucky', 'voter', 'win', 'two', '250', 'flight', 'vouchers', 'proud', 'sponsor', 'favorites', 'see', 'images', 'cast', 'vote']",5,Germany
2021-12-10 13:17:56+00:00,1469295317560578053,Vouchers for #dogphotography as a Christmas gift https://t.co/aeAjcSJS3h,annaimmphoto,"Germany, Frankfurt am Main",2,0,0,0,"event and concert photographer, business photography",45,['dogphotography'],vouchers for dogphotography as a christmas gift,"['vouchers', 'for', 'dogphotography', 'as', 'a', 'christmas', 'gift']","['vouchers', 'dogphotography', 'christmas', 'gift']","['voucher', 'dogphotographi', 'christma', 'gift']","['vouchers', 'dogphotography', 'christmas', 'gift']",4,Germany
2022-06-03 00:15:19+00:00,1532516241339973641,"Chinese medical team returns home after training North Korea on COVID response https://t.co/qROCkNIloq

A Chinese delegation of medical experts who last month traveled to North Korea to advise on COVID-19 containment strategies has returned to China, sources in both countries t…",LiuDejun,Nürnberg,0,0,0,0,"freedomcn.org, Free China! Revolution is human being's right, Color Revolution is Chinese's obligation! My main account twitter.com/L5d",1831,,chinese medical team returns home after training north korea on covid response a chinese delegation of medical experts who last month traveled to north korea to advise on covid19 containment strategies has returned to china sources in both countries t,"['chinese', 'medical', 'team', 'returns', 'home', 'after', 'training', 'north', 'korea', 'on', 'covid', 'response', 'a', 'chinese', 'delegation', 'of', 'medical', 'experts', 'who', 'last', 'month', 'traveled', 'to', 'north', 'korea', 'to', 'advise', 'on', 'covid19', 'containment', 'strategies', 'has', 'returned', 'to', 'china', 'sources', 'in', 'both', 'countries', 't']","['chinese', 'medical', 'team', 'returns', 'home', 'training', 'north', 'korea', 'covid', 'response', 'chinese', 'delegation', 'medical', 'experts', 'last', 'month', 'traveled', 'north', 'korea', 'advise', 'covid19', 'containment', 'strategies', 'returned', 'china', 'sources', 'countries']","['chines', 'medic', 'team', 'return', 'home', 'train', 'north', 'korea', 'covid', 'respons', 'chines', 'deleg', 'medic', 'expert', 'last', 'month', 'travel', 'north', 'korea', 'advis', 'covid19', 'contain', 'strategi', 'return', 'china', 'sourc', 'countri']","['chinese', 'medical', 'team', 'returns', 'home', 'training', 'north', 'korea', 'covid', 'response', 'chinese', 'delegation', 'medical', 'experts', 'last', 'month', 'traveled', 'north', 'korea', 'advise', 'covid19', 'containment', 'strategies', 'returned', 'china', 'sources', 'countries']",1,Germany
2022-05-30 00:00:06+00:00,1531062862810062849,"Our VA Community Clinics and administrative offices are closed May 30, 2022 for the federal holiday; the medical center remains open.

Get your COVID-19 test or vaccines: https://t.co/wRrY6wTruf

Operating status: https://t.co/nrIKVv0Fen https://t.co/uymCi5Mis3",VAMinneapolis,"Minneapolis, Minn.",1,0,0,0,Official Twitter page of the Minneapolis VA Health Care System. Our Twitter Policy: go.usa.gov/y7l #VA #veteran #health #research #education,2437,,our va community clinics and administrative offices are closed may 30 2022 for the federal holiday the medical center remains open get your covid19 test or vaccines operating status,"['our', 'va', 'community', 'clinics', 'and', 'administrative', 'offices', 'are', 'closed', 'may', '30', '2022', 'for', 'the', 'federal', 'holiday', 'the', 'medical', 'center', 'remains', 'open', 'get', 'your', 'covid19', 'test', 'or', 'vaccines', 'operating', 'status']","['va', 'community', 'clinics', 'administrative', 'offices', 'closed', 'may', '30', '2022', 'federal', 'holiday', 'medical', 'center', 'remains', 'open', 'get', 'covid19', 'test', 'vaccines', 'operating', 'status']","['va', 'commun', 'clinic', 'administr', 'offic', 'close', 'may', '30', '2022', 'feder', 'holiday', 'medic', 'center', 'remain', 'open', 'get', 'covid19', 'test', 'vaccin', 'oper', 'statu']","['va', 'community', 'clinics', 'administrative', 'offices', 'closed', 'may', '30', '2022', 'federal', 'holiday', 'medical', 'center', 'remains', 'open', 'get', 'covid19', 'test', 'vaccines', 'operating', 'status']",1,Germany
2021-09-05 11:23:19+00:00,1434477239039578114,"The best bit of my job- the travel 🧳 
#bloodtransfusion #transplant #diagnostics #COVID19 #pcr #molecular #business #businessdevelopment #medicaldevices #medicalsales https://t.co/yjuWS4Zgzm",SPhinbow,"England, United Kingdom",0,1,0,0,"CSci Fellow - Blood Transfusion/qPCR/Transplant UK/ROI BDM, FRSB, Award winning biomedical scientist, Top 100 scientist, CSO award, Who's Who 2013 Army Veteran.",1130,"['bloodtransfusion', 'transplant', 'diagnostics', 'COVID19', 'pcr', 'molecular', 'business', 'businessdevelopment', 'medicaldevices', 'medicalsales']",the best bit of my job the travel bloodtransfusion transplant diagnostics covid19 pcr molecular business businessdevelopment medicaldevices medicalsales,"['the', 'best', 'bit', 'of', 'my', 'job', 'the', 'travel', 'bloodtransfusion', 'transplant', 'diagnostics', 'covid19', 'pcr', 'molecular', 'business', 'businessdevelopment', 'medicaldevices', 'medicalsales']","['best', 'bit', 'job', 'travel', 'bloodtransfusion', 'transplant', 'diagnostics', 'covid19', 'pcr', 'molecular', 'business', 'businessdevelopment', 'medicaldevices', 'medicalsales']","['best', 'bit', 'job', 'travel', 'bloodtransfus', 'transplant', 'diagnost', 'covid19', 'pcr', 'molecular', 'busi', 'businessdevelop', 'medicaldevic', 'medicalsal']","['best', 'bit', 'job', 'travel', 'bloodtransfusion', 'transplant', 'diagnostics', 'covid19', 'pcr', 'molecular', 'business', 'businessdevelopment', 'medicaldevices', 'medicalsales']",5,Germany
2021-07-24 13:45:48+00:00,1418930418024337414,"PSA:
Look into international travel requirements before traveling. 😩

For me, we looked carefully going into Europe. But missed the negative #COVID19 test for returning back to the USA. 😩",MVGutierrezMD,"San Antonio, TX",64,9,5,3,"Professor & Chair of Rehabilitation Medicine @uthsa_rehabmed @UTHealthSA | #Physiatry #LongCOVID | mom, runner, #LatinasInMedicine | my ideas",18355,['COVID19'],psa look into international travel requirements before traveling for me we looked carefully going into europe but missed the negative covid19 test for returning back to the usa,"['psa', 'look', 'into', 'international', 'travel', 'requirements', 'before', 'traveling', 'for', 'me', 'we', 'looked', 'carefully', 'going', 'into', 'europe', 'but', 'missed', 'the', 'negative', 'covid19', 'test', 'for', 'returning', 'back', 'to', 'the', 'usa']","['psa', 'look', 'international', 'travel', 'requirements', 'traveling', 'looked', 'carefully', 'going', 'europe', 'missed', 'negative', 'covid19', 'test', 'returning', 'back', 'usa']","['psa', 'look', 'intern', 'travel', 'requir', 'travel', 'look', 'care', 'go', 'europ', 'miss', 'neg', 'covid19', 'test', 'return', 'back', 'usa']","['psa', 'look', 'international', 'travel', 'requirements', 'traveling', 'looked', 'carefully', 'going', 'europe', 'missed', 'negative', 'covid19', 'test', 'returning', 'back', 'usa']",2,Germany
2020-12-25 16:18:53+00:00,1342505100380569601,"Happy holidays everyone l! Wish you all health in this difficult COVID 19 time stay safe! Love to all @ Ansbach, Germany https://t.co/vvnyYGtwO4",LanaMajeed,Germany/kurdisan /UK,0,0,0,0,"Iam kurdish ,German ,free,muslim,christianJewish ,ezidi,kakai..#God_Bless _Kurdistan #vivaGermany #SPD #teamrefugee #germanyteam #Scorpiosquad ☯️ ❤️🌞💚",1208,,happy holidays everyone l wish you all health in this difficult covid 19 time stay safe love to all ansbach germany,"['happy', 'holidays', 'everyone', 'l', 'wish', 'you', 'all', 'health', 'in', 'this', 'difficult', 'covid', '19', 'time', 'stay', 'safe', 'love', 'to', 'all', 'ansbach', 'germany']","['happy', 'holidays', 'everyone', 'l', 'wish', 'health', 'difficult', 'covid', '19', 'time', 'stay', 'safe', 'love', 'ansbach', 'germany']","['happi', 'holiday', 'everyon', 'l', 'wish', 'health', 'difficult', 'covid', '19', 'time', 'stay', 'safe', 'love', 'ansbach', 'germani']","['happy', 'holidays', 'everyone', 'l', 'wish', 'health', 'difficult', 'covid', '19', 'time', 'stay', 'safe', 'love', 'ansbach', 'germany']",5,Germany
2020-12-02 18:07:24+00:00,1334197491986800641,"What an EXTRAORDINARY 24 hours in science. 

💉 Covid-19 vaccine developed in less than a year approved 

🚀 China successfully lands on the moon to collect rock samples 

🍗 First lab-grown meat (no animal cruelty) to go on sale in Singapore",trent_murray,"Berlin, Germany",3,0,0,0,Berlin Correspondent @featurestory | Reporting for @cbcnews @newshour @GMB @newsy @LBC @sabcnews @channelnewsasia + more,2078,,what an extraordinary 24 hours in science covid19 vaccine developed in less than a year approved china successfully lands on the moon to collect rock samples first labgrown meat no animal cruelty to go on sale in singapore,"['what', 'an', 'extraordinary', '24', 'hours', 'in', 'science', 'covid19', 'vaccine', 'developed', 'in', 'less', 'than', 'a', 'year', 'approved', 'china', 'successfully', 'lands', 'on', 'the', 'moon', 'to', 'collect', 'rock', 'samples', 'first', 'labgrown', 'meat', 'no', 'animal', 'cruelty', 'to', 'go', 'on', 'sale', 'in', 'singapore']","['extraordinary', '24', 'hours', 'science', 'covid19', 'vaccine', 'developed', 'less', 'year', 'approved', 'china', 'successfully', 'lands', 'moon', 'collect', 'rock', 'samples', 'first', 'labgrown', 'meat', 'animal', 'cruelty', 'go', 'sale', 'singapore']","['extraordinari', '24', 'hour', 'scienc', 'covid19', 'vaccin', 'develop', 'less', 'year', 'approv', 'china', 'success', 'land', 'moon', 'collect', 'rock', 'sampl', 'first', 'labgrown', 'meat', 'anim', 'cruelti', 'go', 'sale', 'singapor']","['extraordinary', '24', 'hours', 'science', 'covid19', 'vaccine', 'developed', 'less', 'year', 'approved', 'china', 'successfully', 'lands', 'moon', 'collect', 'rock', 'samples', 'first', 'labgrown', 'meat', 'animal', 'cruelty', 'go', 'sale', 'singapore']",1,Germany
2020-08-19 15:57:05+00:00,1296113967279091715,"mask that we all need .
wide choice colorful beauties 🤩 high quality and low proces 🥰 Hey! You can use my code SALE24 at checkout to get 15% off https://t.co/zGjdUJjrQW  #electricstyle #electric #StayHome #Covid_19 #staysafe  https://t.co/3RYIHDgkPc https://t.co/VQ7pvjEcYw",mariveshaguri31,,0,0,0,0,,26,"['electricstyle', 'electric', 'StayHome', 'Covid_19', 'staysafe']",mask that we all need wide choice colorful beauties high quality and low proces hey you can use my code sale24 at checkout to get 15 off electricstyle electric stayhome covid19 staysafe,"['mask', 'that', 'we', 'all', 'need', 'wide', 'choice', 'colorful', 'beauties', 'high', 'quality', 'and', 'low', 'proces', 'hey', 'you', 'can', 'use', 'my', 'code', 'sale24', 'at', 'checkout', 'to', 'get', '15', 'off', 'electricstyle', 'electric', 'stayhome', 'covid19', 'staysafe']","['mask', 'need', 'wide', 'choice', 'colorful', 'beauties', 'high', 'quality', 'low', 'proces', 'hey', 'use', 'code', 'sale24', 'checkout', 'get', '15', 'electricstyle', 'electric', 'stayhome', 'covid19', 'staysafe']","['mask', 'need', 'wide', 'choic', 'color', 'beauti', 'high', 'qualiti', 'low', 'proce', 'hey', 'use', 'code', 'sale24', 'checkout', 'get', '15', 'electricstyl', 'electr', 'stayhom', 'covid19', 'staysaf']","['mask', 'need', 'wide', 'choice', 'colorful', 'beauties', 'high', 'quality', 'low', 'proces', 'hey', 'use', 'code', 'sale24', 'checkout', 'get', '15', 'electricstyle', 'electric', 'stayhome', 'covid19', 'staysafe']",5,Germany
2020-04-07 14:04:34+00:00,1247525679274405889,"Escape.
.
.
Stay healthy!!! Good vibes and big love outta there!
#corona #covid_19 #esc #escape #traveladdict #linedrawing #sketch #sketchbook #drawing #palm #beach #runfrom @ Rauenzell, Bayern, Germany https://t.co/3vTqjlaVZF",Pad_Rick,,0,0,0,0,"Fashiondesign. 
Music: P!nk addicted. 
I need vitamin SEA.",103,"['corona', 'covid_19', 'esc', 'escape', 'traveladdict', 'linedrawing', 'sketch', 'sketchbook', 'drawing', 'palm', 'beach', 'runfrom']",escape stay healthy good vibes and big love outta there corona covid19 esc escape traveladdict linedrawing sketch sketchbook drawing palm beach runfrom rauenzell bayern germany,"['escape', 'stay', 'healthy', 'good', 'vibes', 'and', 'big', 'love', 'outta', 'there', 'corona', 'covid19', 'esc', 'escape', 'traveladdict', 'linedrawing', 'sketch', 'sketchbook', 'drawing', 'palm', 'beach', 'runfrom', 'rauenzell', 'bayern', 'germany']","['escape', 'stay', 'healthy', 'good', 'vibes', 'big', 'love', 'outta', 'corona', 'covid19', 'esc', 'escape', 'traveladdict', 'linedrawing', 'sketch', 'sketchbook', 'drawing', 'palm', 'beach', 'runfrom', 'rauenzell', 'bayern', 'germany']","['escap', 'stay', 'healthi', 'good', 'vibe', 'big', 'love', 'outta', 'corona', 'covid19', 'esc', 'escap', 'traveladdict', 'linedraw', 'sketch', 'sketchbook', 'draw', 'palm', 'beach', 'runfrom', 'rauenzel', 'bayern', 'germani']","['escape', 'stay', 'healthy', 'good', 'vibes', 'big', 'love', 'outta', 'corona', 'covid19', 'esc', 'escape', 'traveladdict', 'linedrawing', 'sketch', 'sketchbook', 'drawing', 'palm', 'beach', 'runfrom', 'rauenzell', 'bayern', 'germany']",5,Germany
