Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2020-10-25 07:53:55+00:00,1.3202723624540447e+18,"Panama extends food &amp; medicine voucher to citizens affected by COVID thru June 2021

Follow @JediinPanama https://t.co/0KNxGotazW",JediRich_com,"Las Vegas, NV",0.0,0.0,0.0,0.0,"Cannabis, art, music, nutrition, weight loss, photography and video production. YouTube: youtube.com/c/JediRichCrea…",1048.0,,panama extends food amp medicine voucher to citizens affected by covid thru june 2021 follow,"['panama', 'extends', 'food', 'amp', 'medicine', 'voucher', 'to', 'citizens', 'affected', 'by', 'covid', 'thru', 'june', '2021', 'follow']","['panama', 'extends', 'food', 'amp', 'medicine', 'voucher', 'citizens', 'affected', 'covid', 'thru', 'june', '2021', 'follow']","['panama', 'extend', 'food', 'amp', 'medicin', 'voucher', 'citizen', 'affect', 'covid', 'thru', 'june', '2021', 'follow']","['panama', 'extends', 'food', 'amp', 'medicine', 'voucher', 'citizens', 'affected', 'covid', 'thru', 'june', '2021', 'follow']",1,Panama
2022-02-07 18:52:37+00:00,1.490760425507545e+18,Netherlands: quarantine rules tightened for travellers from 12 countries https://t.co/sF0UIoElHP Entre ellos el nuestro @xsaezll @drpichel @Dr_PaulinoVigil @DoctorPanama #covid19,CESanjur3,"Panama, Republic of Panama",3.0,1.0,5.0,0.0,"Abogado panameño, de la provincia de Chiriquí. Egresado de la UP y la UvT / Panamanian lawyer and legal consultant, from Chiriquí province. UP and UvT alumnus.",1116.0,['covid19'],netherlands quarantine rules tightened for travellers from 12 countries entre ellos el nuestro covid19,"['netherlands', 'quarantine', 'rules', 'tightened', 'for', 'travellers', 'from', '12', 'countries', 'entre', 'ellos', 'el', 'nuestro', 'covid19']","['netherlands', 'quarantine', 'rules', 'tightened', 'travellers', '12', 'countries', 'entre', 'ellos', 'el', 'nuestro', 'covid19']","['netherland', 'quarantin', 'rule', 'tighten', 'travel', '12', 'countri', 'entr', 'ello', 'el', 'nuestro', 'covid19']","['netherlands', 'quarantine', 'rules', 'tightened', 'travellers', '12', 'countries', 'entre', 'ellos', 'el', 'nuestro', 'covid19']",1,Panama
2020-03-20 14:03:24+00:00,1.2410024052669604e+18,"We care about our staff and customers̕  health, therefore, all our centers will remain closed until further notice.⁣
⁣
Se les informa que las clases en todas nuestras sucursales, seguirán suspendidas hasta nuevo aviso.⁣

#coronavirus #Panama #COVID19 #AEOCPTY #pty #coronavirus https://t.co/eftrGA5jws",AEOCPTY507,Panamá,0.0,0.0,1.0,0.0,"¡Conéctate y vive la Experiencia!
Contáctanos: 
📞6949-0636 
📞6677-5023",1033.0,"['coronavirus', 'Panama', 'COVID19', 'AEOCPTY', 'pty', 'coronavirus']",we care about our staff and customers health therefore all our centers will remain closed until further notice se les informa que las clases en todas nuestras sucursales seguirn suspendidas hasta nuevo aviso coronavirus panama covid19 aeocpty pty coronavirus,"['we', 'care', 'about', 'our', 'staff', 'and', 'customers', 'health', 'therefore', 'all', 'our', 'centers', 'will', 'remain', 'closed', 'until', 'further', 'notice', 'se', 'les', 'informa', 'que', 'las', 'clases', 'en', 'todas', 'nuestras', 'sucursales', 'seguirn', 'suspendidas', 'hasta', 'nuevo', 'aviso', 'coronavirus', 'panama', 'covid19', 'aeocpty', 'pty', 'coronavirus']","['care', 'staff', 'customers', 'health', 'therefore', 'centers', 'remain', 'closed', 'notice', 'se', 'les', 'informa', 'que', 'las', 'clases', 'en', 'todas', 'nuestras', 'sucursales', 'seguirn', 'suspendidas', 'hasta', 'nuevo', 'aviso', 'coronavirus', 'panama', 'covid19', 'aeocpty', 'pty', 'coronavirus']","['care', 'staff', 'custom', 'health', 'therefor', 'center', 'remain', 'close', 'notic', 'se', 'le', 'informa', 'que', 'la', 'clase', 'en', 'toda', 'nuestra', 'sucursal', 'seguirn', 'suspendida', 'hasta', 'nuevo', 'aviso', 'coronaviru', 'panama', 'covid19', 'aeocpti', 'pti', 'coronaviru']","['care', 'staff', 'customers', 'health', 'therefore', 'centers', 'remain', 'closed', 'notice', 'se', 'les', 'informa', 'que', 'las', 'clases', 'en', 'todas', 'nuestras', 'sucursales', 'seguirn', 'suspendidas', 'hasta', 'nuevo', 'aviso', 'coronavirus', 'panama', 'covid19', 'aeocpty', 'pty', 'coronavirus']",1,Panama
2020-03-19 16:45:48+00:00,1.2406808834362573e+18,"“Doctors need our help!” 
A super important message for everyone out there…
Kudos to @Trevornoah for doing this! #Covid19 #EmergencyMedicine https://t.co/2eXqYen8ND",umanamd,"San Jose, Costa Rica",19.0,0.0,13.0,1.0,EM Physician/Emergenciólogo Recovering PD - ACEP #SoMe Team - English Tweets en español #FOAMed #LifeLongLearner #MedEd #AIME #Medutopia #EMRAPGO #HSJD #eSIM,10557.0,"['Covid19', 'EmergencyMedicine']",doctors need our help a super important message for everyone out there kudos to for doing this covid19 emergencymedicine,"['doctors', 'need', 'our', 'help', 'a', 'super', 'important', 'message', 'for', 'everyone', 'out', 'there', 'kudos', 'to', 'for', 'doing', 'this', 'covid19', 'emergencymedicine']","['doctors', 'need', 'help', 'super', 'important', 'message', 'everyone', 'kudos', 'covid19', 'emergencymedicine']","['doctor', 'need', 'help', 'super', 'import', 'messag', 'everyon', 'kudo', 'covid19', 'emergencymedicin']","['doctors', 'need', 'help', 'super', 'important', 'message', 'everyone', 'kudos', 'covid19', 'emergencymedicine']",5,Panama
2020-03-14 15:02:00+00:00,1.2388428229770363e+18,"If you’re all of a sudden teaching an #OperationsManagement class #online b/c of #covid19, let us help you make online learning the best it can be.

We are offering greatly discounted prices to our mobile simulations and all the 1:1 support you may need. 

https://t.co/3cc6Kyqnxe https://t.co/LCl61gP8gQ",ProcessimLabs,Costa Rica,4.0,0.0,1.0,1.0,Transforming smartphones into pocket simulators that college professors can use as powerful and convenient teaching games!  #EdTech #OnlineLearning #OpsSimCom,304.0,"['OperationsManagement', 'online', 'covid19']",if youre all of a sudden teaching an operationsmanagement class online bc of covid19 let us help you make online learning the best it can be we are offering greatly discounted prices to our mobile simulations and all the 11 support you may need,"['if', 'youre', 'all', 'of', 'a', 'sudden', 'teaching', 'an', 'operationsmanagement', 'class', 'online', 'bc', 'of', 'covid19', 'let', 'us', 'help', 'you', 'make', 'online', 'learning', 'the', 'best', 'it', 'can', 'be', 'we', 'are', 'offering', 'greatly', 'discounted', 'prices', 'to', 'our', 'mobile', 'simulations', 'and', 'all', 'the', '11', 'support', 'you', 'may', 'need']","['youre', 'sudden', 'teaching', 'operationsmanagement', 'class', 'online', 'bc', 'covid19', 'let', 'us', 'help', 'make', 'online', 'learning', 'best', 'offering', 'greatly', 'discounted', 'prices', 'mobile', 'simulations', '11', 'support', 'may', 'need']","['your', 'sudden', 'teach', 'operationsmanag', 'class', 'onlin', 'bc', 'covid19', 'let', 'us', 'help', 'make', 'onlin', 'learn', 'best', 'offer', 'greatli', 'discount', 'price', 'mobil', 'simul', '11', 'support', 'may', 'need']","['youre', 'sudden', 'teaching', 'operationsmanagement', 'class', 'online', 'bc', 'covid19', 'let', 'us', 'help', 'make', 'online', 'learning', 'best', 'offering', 'greatly', 'discounted', 'prices', 'mobile', 'simulations', '11', 'support', 'may', 'need']",5,Panama
2020-06-29 14:12:59+00:00,1.277605991316623e+18,@POTUS @realDonaldTrump Please stop random tweeting.  It’s time to get disciplined &amp; in campaign mode. Every Tweet/Retweet should be carefully thought out to communicte a message to the American people &amp; support re-election. @GOP @PressSec @senatemajldr @GOPLeader @GOPChairwoman https://t.co/T6QOyz4eCB,valwayne,"Denver, CO",0.0,0.0,0.0,0.0,,3040.0,,please stop random tweeting its time to get disciplined amp in campaign mode every tweetretweet should be carefully thought out to communicte a message to the american people amp support reelection,"['please', 'stop', 'random', 'tweeting', 'its', 'time', 'to', 'get', 'disciplined', 'amp', 'in', 'campaign', 'mode', 'every', 'tweetretweet', 'should', 'be', 'carefully', 'thought', 'out', 'to', 'communicte', 'a', 'message', 'to', 'the', 'american', 'people', 'amp', 'support', 'reelection']","['please', 'stop', 'random', 'tweeting', 'time', 'get', 'disciplined', 'amp', 'campaign', 'mode', 'every', 'tweetretweet', 'carefully', 'thought', 'communicte', 'message', 'american', 'people', 'amp', 'support', 'reelection']","['pleas', 'stop', 'random', 'tweet', 'time', 'get', 'disciplin', 'amp', 'campaign', 'mode', 'everi', 'tweetretweet', 'care', 'thought', 'communict', 'messag', 'american', 'peopl', 'amp', 'support', 'reelect']","['please', 'stop', 'random', 'tweeting', 'time', 'get', 'disciplined', 'amp', 'campaign', 'mode', 'every', 'tweetretweet', 'carefully', 'thought', 'communicte', 'message', 'american', 'people', 'amp', 'support', 'reelection']",1,Panama
2020-09-05 02:12:16+00:00,1.3020669927536312e+18,"Little Osasis in the City 🦋🌴💦 yes we are open 
#oasis #swimmingpool #supportsmallbusiness 
#happy #waiting #corona #coronavirus #panama #pool #swimmingpool #pool #casaareka #travel #traveler #stuck #stuckinparadise… https://t.co/qZRh7qVRIc",casa_areka_pty,Panamá Paitilla,0.0,0.0,0.0,0.0,We arange trips to San blas and Sailing trips to Cartagena! Hostel Casa Areka is located in the heart of Panama City close to everything. Come and stay with us!,23.0,"['oasis', 'swimmingpool', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler', 'stuck', 'stuckinparadise']",little osasis in the city yes we are open oasis swimmingpool supportsmallbusiness happy waiting corona coronavirus panama pool swimmingpool pool casaareka travel traveler stuck stuckinparadise,"['little', 'osasis', 'in', 'the', 'city', 'yes', 'we', 'are', 'open', 'oasis', 'swimmingpool', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler', 'stuck', 'stuckinparadise']","['little', 'osasis', 'city', 'yes', 'open', 'oasis', 'swimmingpool', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler', 'stuck', 'stuckinparadise']","['littl', 'osasi', 'citi', 'ye', 'open', 'oasi', 'swimmingpool', 'supportsmallbusi', 'happi', 'wait', 'corona', 'coronaviru', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'travel', 'stuck', 'stuckinparadis']","['little', 'osasis', 'city', 'yes', 'open', 'oasis', 'swimmingpool', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler', 'stuck', 'stuckinparadise']",3,Panama
2020-08-09 01:07:10+00:00,1.2922661337231278e+18,"Little Osasis in the City 🦋🌴💦 yes we are open 
#oasis #swimmingpool #supportsmallbusiness 
#happy #waiting #corona #coronavirus #panama #pool #swimmingpool #pool #casaareka #travel #traveler #stuck #stuckinparadise… https://t.co/0SS8VXkq6h",casa_areka_pty,Panamá Paitilla,0.0,0.0,0.0,0.0,We arange trips to San blas and Sailing trips to Cartagena! Hostel Casa Areka is located in the heart of Panama City close to everything. Come and stay with us!,23.0,"['oasis', 'swimmingpool', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler', 'stuck', 'stuckinparadise']",little osasis in the city yes we are open oasis swimmingpool supportsmallbusiness happy waiting corona coronavirus panama pool swimmingpool pool casaareka travel traveler stuck stuckinparadise,"['little', 'osasis', 'in', 'the', 'city', 'yes', 'we', 'are', 'open', 'oasis', 'swimmingpool', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler', 'stuck', 'stuckinparadise']","['little', 'osasis', 'city', 'yes', 'open', 'oasis', 'swimmingpool', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler', 'stuck', 'stuckinparadise']","['littl', 'osasi', 'citi', 'ye', 'open', 'oasi', 'swimmingpool', 'supportsmallbusi', 'happi', 'wait', 'corona', 'coronaviru', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'travel', 'stuck', 'stuckinparadis']","['little', 'osasis', 'city', 'yes', 'open', 'oasis', 'swimmingpool', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler', 'stuck', 'stuckinparadise']",3,Panama
2020-07-24 20:54:40+00:00,1.2867667730570527e+18,"Private room with private bathroom @casa_areka_pty 

#supportsmallbusiness 
#hostel #stay #travelling #waiting #corona #coronavirus #panama #pool #swimmingpool #pool #casaareka #travel #traveler #stuck… https://t.co/AxEJWBU7eJ",casa_areka_pty,Panamá Paitilla,0.0,0.0,0.0,0.0,We arange trips to San blas and Sailing trips to Cartagena! Hostel Casa Areka is located in the heart of Panama City close to everything. Come and stay with us!,23.0,"['supportsmallbusiness', 'hostel', 'stay', 'travelling', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler', 'stuck']",private room with private bathroom supportsmallbusiness hostel stay travelling waiting corona coronavirus panama pool swimmingpool pool casaareka travel traveler stuck,"['private', 'room', 'with', 'private', 'bathroom', 'supportsmallbusiness', 'hostel', 'stay', 'travelling', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler', 'stuck']","['private', 'room', 'private', 'bathroom', 'supportsmallbusiness', 'hostel', 'stay', 'travelling', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler', 'stuck']","['privat', 'room', 'privat', 'bathroom', 'supportsmallbusi', 'hostel', 'stay', 'travel', 'wait', 'corona', 'coronaviru', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'travel', 'stuck']","['private', 'room', 'private', 'bathroom', 'supportsmallbusiness', 'hostel', 'stay', 'travelling', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler', 'stuck']",3,Panama
2020-05-12 02:06:54+00:00,1.2600286458604544e+18,"Dear travellers 🧳, yes we are open and we are happy to receive you #supportsmallbusiness 
#happy #waiting #corona #coronavirus #panama #pool #swimmingpool #pool #casaareka #travel #traveler #stuck #stuckinparadise… https://t.co/6s4uuwqM2n",casa_areka_pty,Panamá Paitilla,0.0,0.0,0.0,0.0,We arange trips to San blas and Sailing trips to Cartagena! Hostel Casa Areka is located in the heart of Panama City close to everything. Come and stay with us!,23.0,"['supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler', 'stuck', 'stuckinparadise']",dear travellers yes we are open and we are happy to receive you supportsmallbusiness happy waiting corona coronavirus panama pool swimmingpool pool casaareka travel traveler stuck stuckinparadise,"['dear', 'travellers', 'yes', 'we', 'are', 'open', 'and', 'we', 'are', 'happy', 'to', 'receive', 'you', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler', 'stuck', 'stuckinparadise']","['dear', 'travellers', 'yes', 'open', 'happy', 'receive', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler', 'stuck', 'stuckinparadise']","['dear', 'travel', 'ye', 'open', 'happi', 'receiv', 'supportsmallbusi', 'happi', 'wait', 'corona', 'coronaviru', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'travel', 'stuck', 'stuckinparadis']","['dear', 'travellers', 'yes', 'open', 'happy', 'receive', 'supportsmallbusiness', 'happy', 'waiting', 'corona', 'coronavirus', 'panama', 'pool', 'swimmingpool', 'pool', 'casaareka', 'travel', 'traveler', 'stuck', 'stuckinparadise']",5,Panama
