Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2020-01-27 01:33:56+00:00,1221607237107560449,I gotta work on telling people that I appreciate them 😭 life’s too short and we never know when the people we take for granted won’t be there anymore.,jerrycpablo,Trinidad and Tobago,11,1,3,0,"Whatever you hear bout me, believe it.",354,,i gotta work on telling people that i appreciate them lifes too short and we never know when the people we take for granted wont be there anymore,"['i', 'gotta', 'work', 'on', 'telling', 'people', 'that', 'i', 'appreciate', 'them', 'lifes', 'too', 'short', 'and', 'we', 'never', 'know', 'when', 'the', 'people', 'we', 'take', 'for', 'granted', 'wont', 'be', 'there', 'anymore']","['gotta', 'work', 'telling', 'people', 'appreciate', 'lifes', 'short', 'never', 'know', 'people', 'take', 'granted', 'wont', 'anymore']","['gotta', 'work', 'tell', 'peopl', 'appreci', 'life', 'short', 'never', 'know', 'peopl', 'take', 'grant', 'wont', 'anymor']","['gotta', 'work', 'telling', 'people', 'appreciate', 'lifes', 'short', 'never', 'know', 'people', 'take', 'granted', 'wont', 'anymore']",2,Trinidad and Tobago
2019-12-05 14:30:23+00:00,1202596079436476417,"@DrOz As a Medical Doctor  for 48+ years, I appreciate your advice, but as I reminded you before , Coffee is as dangerous as Aspirin.Advice/ permission should be granted by your personal Physician before accepting your recommendation. Blessings for you good work .🙏",JohnnyM46_,Trinidad and Tobago,0,0,0,0,"l received a 'Hall of fame award' from Trinity College (2014),being the first graduate from Trinity to graduate in Medicine (1971).",5,,as a medical doctor for 48 years i appreciate your advice but as i reminded you before coffee is as dangerous as aspirinadvice permission should be granted by your personal physician before accepting your recommendation blessings for you good work,"['as', 'a', 'medical', 'doctor', 'for', '48', 'years', 'i', 'appreciate', 'your', 'advice', 'but', 'as', 'i', 'reminded', 'you', 'before', 'coffee', 'is', 'as', 'dangerous', 'as', 'aspirinadvice', 'permission', 'should', 'be', 'granted', 'by', 'your', 'personal', 'physician', 'before', 'accepting', 'your', 'recommendation', 'blessings', 'for', 'you', 'good', 'work']","['medical', 'doctor', '48', 'years', 'appreciate', 'advice', 'reminded', 'coffee', 'dangerous', 'aspirinadvice', 'permission', 'granted', 'personal', 'physician', 'accepting', 'recommendation', 'blessings', 'good', 'work']","['medic', 'doctor', '48', 'year', 'appreci', 'advic', 'remind', 'coffe', 'danger', 'aspirinadvic', 'permiss', 'grant', 'person', 'physician', 'accept', 'recommend', 'bless', 'good', 'work']","['medical', 'doctor', '48', 'years', 'appreciate', 'advice', 'reminded', 'coffee', 'dangerous', 'aspirinadvice', 'permission', 'granted', 'personal', 'physician', 'accepting', 'recommendation', 'blessings', 'good', 'work']",4,Trinidad and Tobago
2020-04-23 18:40:33+00:00,1253393339296161793,"@tv6tnt he is an ass,, people have too eat,.. medicine,, make a dollar,and p n m ,does not plan too help anyone,,grant my ass,, thats corruption.. its simple,, every household is registered for election, give them food vouchers ,,  weekly..",aasam0394,,0,0,0,0,,7,,he is an ass people have too eat medicine make a dollarand p n m does not plan too help anyonegrant my ass thats corruption its simple every household is registered for election give them food vouchers weekly,"['he', 'is', 'an', 'ass', 'people', 'have', 'too', 'eat', 'medicine', 'make', 'a', 'dollarand', 'p', 'n', 'm', 'does', 'not', 'plan', 'too', 'help', 'anyonegrant', 'my', 'ass', 'thats', 'corruption', 'its', 'simple', 'every', 'household', 'is', 'registered', 'for', 'election', 'give', 'them', 'food', 'vouchers', 'weekly']","['ass', 'people', 'eat', 'medicine', 'make', 'dollarand', 'p', 'n', 'plan', 'help', 'anyonegrant', 'ass', 'thats', 'corruption', 'simple', 'every', 'household', 'registered', 'election', 'give', 'food', 'vouchers', 'weekly']","['ass', 'peopl', 'eat', 'medicin', 'make', 'dollarand', 'p', 'n', 'plan', 'help', 'anyonegr', 'ass', 'that', 'corrupt', 'simpl', 'everi', 'household', 'regist', 'elect', 'give', 'food', 'voucher', 'weekli']","['ass', 'people', 'eat', 'medicine', 'make', 'dollarand', 'p', 'n', 'plan', 'help', 'anyonegrant', 'ass', 'thats', 'corruption', 'simple', 'every', 'household', 'registered', 'election', 'give', 'food', 'vouchers', 'weekly']",1,Trinidad and Tobago
2022-06-01 14:00:43+00:00,1531999186329255937,"Jefferson Health – New Jersey has been awarded a $574,503 grant from the @NJDeptofHealth to establish an outreach program to provide education, as well as #COVID19 vaccinations and boosters, to a wide array of community members in southern New Jersey. https://t.co/0wruKgVDWM",JeffHealthNJ,New Jersey,0,0,0,0,Jefferson Health - New Jersey offers a full continuum of health and wellness services to improve the lives of our community members each day.,2975,['COVID19'],jefferson health new jersey has been awarded a 574503 grant from the to establish an outreach program to provide education as well as covid19 vaccinations and boosters to a wide array of community members in southern new jersey,"['jefferson', 'health', 'new', 'jersey', 'has', 'been', 'awarded', 'a', '574503', 'grant', 'from', 'the', 'to', 'establish', 'an', 'outreach', 'program', 'to', 'provide', 'education', 'as', 'well', 'as', 'covid19', 'vaccinations', 'and', 'boosters', 'to', 'a', 'wide', 'array', 'of', 'community', 'members', 'in', 'southern', 'new', 'jersey']","['jefferson', 'health', 'new', 'jersey', 'awarded', '574503', 'grant', 'establish', 'outreach', 'program', 'provide', 'education', 'well', 'covid19', 'vaccinations', 'boosters', 'wide', 'array', 'community', 'members', 'southern', 'new', 'jersey']","['jefferson', 'health', 'new', 'jersey', 'award', '574503', 'grant', 'establish', 'outreach', 'program', 'provid', 'educ', 'well', 'covid19', 'vaccin', 'booster', 'wide', 'array', 'commun', 'member', 'southern', 'new', 'jersey']","['jefferson', 'health', 'new', 'jersey', 'awarded', '574503', 'grant', 'establish', 'outreach', 'program', 'provide', 'education', 'well', 'covid19', 'vaccinations', 'boosters', 'wide', 'array', 'community', 'members', 'southern', 'new', 'jersey']",5,Trinidad and Tobago
2020-02-11 02:53:11+00:00,1227063001641029632,"Just spoke to the Chinese immigrant who owns a restaurant in #PortofSpain #Trinidad. She says her brother is a doctor and claims the actual figures of the dead in China of #coronavirus is closer to 12,000. There is no way to verify her claim. The truth will eventually surface. https://t.co/XkF9HrlDbm",irasroom,"Trinidad, West Indies",1,0,0,2,📚Debut:Love The Dark Days @peepaltreepress July 7 2022 Insta @iraswriting Novel:longlisted @bathnovelaward Journo @guardianTT President Media Association TT,2064,"['PortofSpain', 'Trinidad', 'coronavirus']",just spoke to the chinese immigrant who owns a restaurant in portofspain trinidad she says her brother is a doctor and claims the actual figures of the dead in china of coronavirus is closer to 12000 there is no way to verify her claim the truth will eventually surface,"['just', 'spoke', 'to', 'the', 'chinese', 'immigrant', 'who', 'owns', 'a', 'restaurant', 'in', 'portofspain', 'trinidad', 'she', 'says', 'her', 'brother', 'is', 'a', 'doctor', 'and', 'claims', 'the', 'actual', 'figures', 'of', 'the', 'dead', 'in', 'china', 'of', 'coronavirus', 'is', 'closer', 'to', '12000', 'there', 'is', 'no', 'way', 'to', 'verify', 'her', 'claim', 'the', 'truth', 'will', 'eventually', 'surface']","['spoke', 'chinese', 'immigrant', 'owns', 'restaurant', 'portofspain', 'trinidad', 'says', 'brother', 'doctor', 'claims', 'actual', 'figures', 'dead', 'china', 'coronavirus', 'closer', '12000', 'way', 'verify', 'claim', 'truth', 'eventually', 'surface']","['spoke', 'chines', 'immigr', 'own', 'restaur', 'portofspain', 'trinidad', 'say', 'brother', 'doctor', 'claim', 'actual', 'figur', 'dead', 'china', 'coronaviru', 'closer', '12000', 'way', 'verifi', 'claim', 'truth', 'eventu', 'surfac']","['spoke', 'chinese', 'immigrant', 'owns', 'restaurant', 'portofspain', 'trinidad', 'says', 'brother', 'doctor', 'claims', 'actual', 'figures', 'dead', 'china', 'coronavirus', 'closer', '12000', 'way', 'verify', 'claim', 'truth', 'eventually', 'surface']",1,Trinidad and Tobago
2022-06-01 14:00:43+00:00,1531999186329255937,"Jefferson Health – New Jersey has been awarded a $574,503 grant from the @NJDeptofHealth to establish an outreach program to provide education, as well as #COVID19 vaccinations and boosters, to a wide array of community members in southern New Jersey. https://t.co/0wruKgVDWM",JeffHealthNJ,New Jersey,0,0,0,0,Jefferson Health - New Jersey offers a full continuum of health and wellness services to improve the lives of our community members each day.,2975,['COVID19'],jefferson health new jersey has been awarded a 574503 grant from the to establish an outreach program to provide education as well as covid19 vaccinations and boosters to a wide array of community members in southern new jersey,"['jefferson', 'health', 'new', 'jersey', 'has', 'been', 'awarded', 'a', '574503', 'grant', 'from', 'the', 'to', 'establish', 'an', 'outreach', 'program', 'to', 'provide', 'education', 'as', 'well', 'as', 'covid19', 'vaccinations', 'and', 'boosters', 'to', 'a', 'wide', 'array', 'of', 'community', 'members', 'in', 'southern', 'new', 'jersey']","['jefferson', 'health', 'new', 'jersey', 'awarded', '574503', 'grant', 'establish', 'outreach', 'program', 'provide', 'education', 'well', 'covid19', 'vaccinations', 'boosters', 'wide', 'array', 'community', 'members', 'southern', 'new', 'jersey']","['jefferson', 'health', 'new', 'jersey', 'award', '574503', 'grant', 'establish', 'outreach', 'program', 'provid', 'educ', 'well', 'covid19', 'vaccin', 'booster', 'wide', 'array', 'commun', 'member', 'southern', 'new', 'jersey']","['jefferson', 'health', 'new', 'jersey', 'awarded', '574503', 'grant', 'establish', 'outreach', 'program', 'provide', 'education', 'well', 'covid19', 'vaccinations', 'boosters', 'wide', 'array', 'community', 'members', 'southern', 'new', 'jersey']",5,Trinidad and Tobago
2021-09-02 19:30:42+00:00,1433512727188758529,"🇧🇧 Health officials in Barbados are now in a position to fully vaccinate another 15,000 of its citizens against COVID-19, following a donation of 30,000 doses of the AstraZeneca vaccine by the Government of Canada. https://t.co/LJ73I7sInS https://t.co/pvjGN1Hu3X",CNWNetwork,"Fort Lauderdale, FL",0,0,0,0,"#CNWNetwork 📰 The official Twitter account of Caribbean National Weekly, South Florida's most widely circulated #Caribbean-American newspaper.",1378,,health officials in barbados are now in a position to fully vaccinate another 15000 of its citizens against covid19 following a donation of 30000 doses of the astrazeneca vaccine by the government of canada,"['health', 'officials', 'in', 'barbados', 'are', 'now', 'in', 'a', 'position', 'to', 'fully', 'vaccinate', 'another', '15000', 'of', 'its', 'citizens', 'against', 'covid19', 'following', 'a', 'donation', 'of', '30000', 'doses', 'of', 'the', 'astrazeneca', 'vaccine', 'by', 'the', 'government', 'of', 'canada']","['health', 'officials', 'barbados', 'position', 'fully', 'vaccinate', 'another', '15000', 'citizens', 'covid19', 'following', 'donation', '30000', 'doses', 'astrazeneca', 'vaccine', 'government', 'canada']","['health', 'offici', 'barbado', 'posit', 'fulli', 'vaccin', 'anoth', '15000', 'citizen', 'covid19', 'follow', 'donat', '30000', 'dose', 'astrazeneca', 'vaccin', 'govern', 'canada']","['health', 'officials', 'barbados', 'position', 'fully', 'vaccinate', 'another', '15000', 'citizens', 'covid19', 'following', 'donation', '30000', 'doses', 'astrazeneca', 'vaccine', 'government', 'canada']",1,Trinidad and Tobago
2021-08-23 14:52:19+00:00,1429818793237360644,"🇬🇩 The Grenada government last Friday increased the hours of an existing curfew as well as rescinded approvals granted for various social events for the next two weeks, as the island moves to combat an upsurge in coronavirus (COVID-19) cases. https://t.co/DaWCIgpjHV https://t.co/Y74dHowHIJ",CNWNetwork,"Fort Lauderdale, FL",0,0,0,0,"#CNWNetwork 📰 The official Twitter account of Caribbean National Weekly, South Florida's most widely circulated #Caribbean-American newspaper.",1378,,the grenada government last friday increased the hours of an existing curfew as well as rescinded approvals granted for various social events for the next two weeks as the island moves to combat an upsurge in coronavirus covid19 cases,"['the', 'grenada', 'government', 'last', 'friday', 'increased', 'the', 'hours', 'of', 'an', 'existing', 'curfew', 'as', 'well', 'as', 'rescinded', 'approvals', 'granted', 'for', 'various', 'social', 'events', 'for', 'the', 'next', 'two', 'weeks', 'as', 'the', 'island', 'moves', 'to', 'combat', 'an', 'upsurge', 'in', 'coronavirus', 'covid19', 'cases']","['grenada', 'government', 'last', 'friday', 'increased', 'hours', 'existing', 'curfew', 'well', 'rescinded', 'approvals', 'granted', 'various', 'social', 'events', 'next', 'two', 'weeks', 'island', 'moves', 'combat', 'upsurge', 'coronavirus', 'covid19', 'cases']","['grenada', 'govern', 'last', 'friday', 'increas', 'hour', 'exist', 'curfew', 'well', 'rescind', 'approv', 'grant', 'variou', 'social', 'event', 'next', 'two', 'week', 'island', 'move', 'combat', 'upsurg', 'coronaviru', 'covid19', 'case']","['grenada', 'government', 'last', 'friday', 'increased', 'hours', 'existing', 'curfew', 'well', 'rescinded', 'approvals', 'granted', 'various', 'social', 'events', 'next', 'two', 'weeks', 'island', 'moves', 'combat', 'upsurge', 'coronavirus', 'covid19', 'cases']",1,Trinidad and Tobago
2021-06-24 12:35:37+00:00,1408041117409550337,"The  Federal Republic of Germany donated 924,000 medical mask to #Barbados and the Eastern Caribbean Countries for #Covid-19 response. Thank you @GermanyDiplo #AndreasKusay Lt. Col. Hon.Jeffrey Bostic received the donation. @gisbarbados @PAHOCaribbean @PAHOemergencies @WHO https://t.co/icLBVMfjad",gebrey,,11,0,2,0,Chief of Mission and PAHO/WHO Representative to Barbados and Eastern Caribbean Countries (ECC). Public Health Physician | @WHO | @McGillAlumni. @pahowho,584,"['Barbados', 'Covid', 'AndreasKusay']",the federal republic of germany donated 924000 medical mask to barbados and the eastern caribbean countries for covid19 response thank you andreaskusay lt col honjeffrey bostic received the donation,"['the', 'federal', 'republic', 'of', 'germany', 'donated', '924000', 'medical', 'mask', 'to', 'barbados', 'and', 'the', 'eastern', 'caribbean', 'countries', 'for', 'covid19', 'response', 'thank', 'you', 'andreaskusay', 'lt', 'col', 'honjeffrey', 'bostic', 'received', 'the', 'donation']","['federal', 'republic', 'germany', 'donated', '924000', 'medical', 'mask', 'barbados', 'eastern', 'caribbean', 'countries', 'covid19', 'response', 'thank', 'andreaskusay', 'lt', 'col', 'honjeffrey', 'bostic', 'received', 'donation']","['feder', 'republ', 'germani', 'donat', '924000', 'medic', 'mask', 'barbado', 'eastern', 'caribbean', 'countri', 'covid19', 'respons', 'thank', 'andreaskusay', 'lt', 'col', 'honjeffrey', 'bostic', 'receiv', 'donat']","['federal', 'republic', 'germany', 'donated', '924000', 'medical', 'mask', 'barbados', 'eastern', 'caribbean', 'countries', 'covid19', 'response', 'thank', 'andreaskusay', 'lt', 'col', 'honjeffrey', 'bostic', 'received', 'donation']",1,Trinidad and Tobago
2020-10-17 16:35:02+00:00,1317504402350100480,"@misspauwrites No cheque. He just pushing back because he needs to feel right about his positions here. He getting coopted by people he never even met to sway a voting populous that can see them as racists and white supremacists.
Standing on the necks of dead immigrants and COVID-19 victims.",DavenyEllis,"ÜT: 13.096611,-59.57839",0,1,0,0,Freelance Journalist / Broadcaster / Poet / Writer / Graphic Artist / DJ / Lover& Cynic / Bajan Panda 🐼,1196,,no cheque he just pushing back because he needs to feel right about his positions here he getting coopted by people he never even met to sway a voting populous that can see them as racists and white supremacists standing on the necks of dead immigrants and covid19 victims,"['no', 'cheque', 'he', 'just', 'pushing', 'back', 'because', 'he', 'needs', 'to', 'feel', 'right', 'about', 'his', 'positions', 'here', 'he', 'getting', 'coopted', 'by', 'people', 'he', 'never', 'even', 'met', 'to', 'sway', 'a', 'voting', 'populous', 'that', 'can', 'see', 'them', 'as', 'racists', 'and', 'white', 'supremacists', 'standing', 'on', 'the', 'necks', 'of', 'dead', 'immigrants', 'and', 'covid19', 'victims']","['cheque', 'pushing', 'back', 'needs', 'feel', 'right', 'positions', 'getting', 'coopted', 'people', 'never', 'even', 'met', 'sway', 'voting', 'populous', 'see', 'racists', 'white', 'supremacists', 'standing', 'necks', 'dead', 'immigrants', 'covid19', 'victims']","['chequ', 'push', 'back', 'need', 'feel', 'right', 'posit', 'get', 'coopt', 'peopl', 'never', 'even', 'met', 'sway', 'vote', 'popul', 'see', 'racist', 'white', 'supremacist', 'stand', 'neck', 'dead', 'immigr', 'covid19', 'victim']","['cheque', 'pushing', 'back', 'needs', 'feel', 'right', 'positions', 'getting', 'coopted', 'people', 'never', 'even', 'met', 'sway', 'voting', 'populous', 'see', 'racists', 'white', 'supremacists', 'standing', 'necks', 'dead', 'immigrants', 'covid19', 'victims']",1,Trinidad and Tobago
