Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2021-02-17 21:41:13+00:00,1362155163788533764,"I had an online class with my careful and adorable Lecturer. I was on the way while she was teaching from her bedroom in Myanmar. I  really appreciate her dicdication since her country is in critical movement. Yet, she never takes her students for granted. 🧡 https://t.co/LbXDhJC6wF",DamRongDang,Cambodia,0,0,0,0,,124,,i had an online class with my careful and adorable lecturer i was on the way while she was teaching from her bedroom in myanmar i really appreciate her dicdication since her country is in critical movement yet she never takes her students for granted,"['i', 'had', 'an', 'online', 'class', 'with', 'my', 'careful', 'and', 'adorable', 'lecturer', 'i', 'was', 'on', 'the', 'way', 'while', 'she', 'was', 'teaching', 'from', 'her', 'bedroom', 'in', 'myanmar', 'i', 'really', 'appreciate', 'her', 'dicdication', 'since', 'her', 'country', 'is', 'in', 'critical', 'movement', 'yet', 'she', 'never', 'takes', 'her', 'students', 'for', 'granted']","['online', 'class', 'careful', 'adorable', 'lecturer', 'way', 'teaching', 'bedroom', 'myanmar', 'really', 'appreciate', 'dicdication', 'since', 'country', 'critical', 'movement', 'yet', 'never', 'takes', 'students', 'granted']","['onlin', 'class', 'care', 'ador', 'lectur', 'way', 'teach', 'bedroom', 'myanmar', 'realli', 'appreci', 'dicdic', 'sinc', 'countri', 'critic', 'movement', 'yet', 'never', 'take', 'student', 'grant']","['online', 'class', 'careful', 'adorable', 'lecturer', 'way', 'teaching', 'bedroom', 'myanmar', 'really', 'appreciate', 'dicdication', 'since', 'country', 'critical', 'movement', 'yet', 'never', 'takes', 'students', 'granted']",4,Vietnam
2022-01-15 03:23:29+00:00,1482191680778342400,"Some of our rescue need milks to keep them from malnutrition until their health better. Thank Mr. Tet Lin for the milk donations. To help our rescues, please support us with food and meds would be so much appreciation. https://t.co/ls3852GdS3",furfriendshome,Cambodia,15,7,9,1,We're located by the northern of Cambodia by Thai border. We believe that all dogs and cats should not be strays or sell to the meat market. Please Stop cruelty,62,,some of our rescue need milks to keep them from malnutrition until their health better thank mr tet lin for the milk donations to help our rescues please support us with food and meds would be so much appreciation,"['some', 'of', 'our', 'rescue', 'need', 'milks', 'to', 'keep', 'them', 'from', 'malnutrition', 'until', 'their', 'health', 'better', 'thank', 'mr', 'tet', 'lin', 'for', 'the', 'milk', 'donations', 'to', 'help', 'our', 'rescues', 'please', 'support', 'us', 'with', 'food', 'and', 'meds', 'would', 'be', 'so', 'much', 'appreciation']","['rescue', 'need', 'milks', 'keep', 'malnutrition', 'health', 'better', 'thank', 'mr', 'tet', 'lin', 'milk', 'donations', 'help', 'rescues', 'please', 'support', 'us', 'food', 'meds', 'would', 'much', 'appreciation']","['rescu', 'need', 'milk', 'keep', 'malnutrit', 'health', 'better', 'thank', 'mr', 'tet', 'lin', 'milk', 'donat', 'help', 'rescu', 'pleas', 'support', 'us', 'food', 'med', 'would', 'much', 'appreci']","['rescue', 'need', 'milks', 'keep', 'malnutrition', 'health', 'better', 'thank', 'mr', 'tet', 'lin', 'milk', 'donations', 'help', 'rescues', 'please', 'support', 'us', 'food', 'meds', 'would', 'much', 'appreciation']",4,Vietnam
2020-02-14 03:12:34+00:00,1228155039488700417,"Spread love on human appreciation day 🌹🥰💯
(A donation also helps 🤗) https://t.co/D13Gl3ZnXS
#Valentineday #Valentines #ChildrensMentalHealthWeek2020 https://t.co/YC8EU37q2A",KianhFoundation,"Hoi An, Central Vietnam",4,1,1,1,"A merry band of kids with disability, finally getting the education and therapies they deserve. 👊🏻 to our oddball team of staff for the magic ✨",507,"['Valentineday', 'Valentines', 'ChildrensMentalHealthWeek2020']",spread love on human appreciation day a donation also helps valentineday valentines childrensmentalhealthweek2020,"['spread', 'love', 'on', 'human', 'appreciation', 'day', 'a', 'donation', 'also', 'helps', 'valentineday', 'valentines', 'childrensmentalhealthweek2020']","['spread', 'love', 'human', 'appreciation', 'day', 'donation', 'also', 'helps', 'valentineday', 'valentines', 'childrensmentalhealthweek2020']","['spread', 'love', 'human', 'appreci', 'day', 'donat', 'also', 'help', 'valentineday', 'valentin', 'childrensmentalhealthweek2020']","['spread', 'love', 'human', 'appreciation', 'day', 'donation', 'also', 'helps', 'valentineday', 'valentines', 'childrensmentalhealthweek2020']",5,Vietnam
2022-06-14 17:43:34+00:00,1536766310914347015,@jansoldman He’s taken £15k in donations from a bloke with interests in a U.S. privateer health company keen on getting its hands on the NHS. The same dude donated £3m to the Tories. And the animals looked from pig to man and man to pig… as the quote goes.,FoxiePunkFolk,Wherever I lay my hat ,1,0,0,0,"Trade unionist, musician, socialist, working class activist. #Wolves fan. Own opinions. RTs not endorsement. #RefugeesWelcome #DemandBetter",2514,,hes taken 15k in donations from a bloke with interests in a us privateer health company keen on getting its hands on the nhs the same dude donated 3m to the tories and the animals looked from pig to man and man to pig as the quote goes,"['hes', 'taken', '15k', 'in', 'donations', 'from', 'a', 'bloke', 'with', 'interests', 'in', 'a', 'us', 'privateer', 'health', 'company', 'keen', 'on', 'getting', 'its', 'hands', 'on', 'the', 'nhs', 'the', 'same', 'dude', 'donated', '3m', 'to', 'the', 'tories', 'and', 'the', 'animals', 'looked', 'from', 'pig', 'to', 'man', 'and', 'man', 'to', 'pig', 'as', 'the', 'quote', 'goes']","['hes', 'taken', '15k', 'donations', 'bloke', 'interests', 'us', 'privateer', 'health', 'company', 'keen', 'getting', 'hands', 'nhs', 'dude', 'donated', '3m', 'tories', 'animals', 'looked', 'pig', 'man', 'man', 'pig', 'quote', 'goes']","['he', 'taken', '15k', 'donat', 'bloke', 'interest', 'us', 'privat', 'health', 'compani', 'keen', 'get', 'hand', 'nh', 'dude', 'donat', '3m', 'tori', 'anim', 'look', 'pig', 'man', 'man', 'pig', 'quot', 'goe']","['hes', 'taken', '15k', 'donations', 'bloke', 'interests', 'us', 'privateer', 'health', 'company', 'keen', 'getting', 'hands', 'nhs', 'dude', 'donated', '3m', 'tories', 'animals', 'looked', 'pig', 'man', 'man', 'pig', 'quote', 'goes']",1,Vietnam
2022-01-15 03:23:29+00:00,1482191680778342400,"Some of our rescue need milks to keep them from malnutrition until their health better. Thank Mr. Tet Lin for the milk donations. To help our rescues, please support us with food and meds would be so much appreciation. https://t.co/ls3852GdS3",furfriendshome,Cambodia,15,7,9,1,We're located by the northern of Cambodia by Thai border. We believe that all dogs and cats should not be strays or sell to the meat market. Please Stop cruelty,62,,some of our rescue need milks to keep them from malnutrition until their health better thank mr tet lin for the milk donations to help our rescues please support us with food and meds would be so much appreciation,"['some', 'of', 'our', 'rescue', 'need', 'milks', 'to', 'keep', 'them', 'from', 'malnutrition', 'until', 'their', 'health', 'better', 'thank', 'mr', 'tet', 'lin', 'for', 'the', 'milk', 'donations', 'to', 'help', 'our', 'rescues', 'please', 'support', 'us', 'with', 'food', 'and', 'meds', 'would', 'be', 'so', 'much', 'appreciation']","['rescue', 'need', 'milks', 'keep', 'malnutrition', 'health', 'better', 'thank', 'mr', 'tet', 'lin', 'milk', 'donations', 'help', 'rescues', 'please', 'support', 'us', 'food', 'meds', 'would', 'much', 'appreciation']","['rescu', 'need', 'milk', 'keep', 'malnutrit', 'health', 'better', 'thank', 'mr', 'tet', 'lin', 'milk', 'donat', 'help', 'rescu', 'pleas', 'support', 'us', 'food', 'med', 'would', 'much', 'appreci']","['rescue', 'need', 'milks', 'keep', 'malnutrition', 'health', 'better', 'thank', 'mr', 'tet', 'lin', 'milk', 'donations', 'help', 'rescues', 'please', 'support', 'us', 'food', 'meds', 'would', 'much', 'appreciation']",4,Vietnam
2021-07-23 07:44:35+00:00,1418477127272333313,Thank you the US Government and Ambassador Patrick for your donation and support the people of Cambodia. https://t.co/icevs5veTJ,samseun77,Cambodia,4,0,0,0,Policy Analyst at the Royal Academy of Cambodia.,2660,,thank you the us government and ambassador patrick for your donation and support the people of cambodia,"['thank', 'you', 'the', 'us', 'government', 'and', 'ambassador', 'patrick', 'for', 'your', 'donation', 'and', 'support', 'the', 'people', 'of', 'cambodia']","['thank', 'us', 'government', 'ambassador', 'patrick', 'donation', 'support', 'people', 'cambodia']","['thank', 'us', 'govern', 'ambassador', 'patrick', 'donat', 'support', 'peopl', 'cambodia']","['thank', 'us', 'government', 'ambassador', 'patrick', 'donation', 'support', 'people', 'cambodia']",5,Vietnam
2021-03-15 05:26:49+00:00,1371332032903618569,"This will forever be one of the proudest moments of my career. We broke a WORLD RECORD 🙌 and we raised over $100k through local &amp; international donations. 
I feel so lucky to have been part of making history in #Cambodia and to have worked with such an inspiring team of people🙏 https://t.co/WyweMRWEZL",lindsaysbee,"Phnom Penh, Cambodia",13,3,1,0,"Consultant @ UNICEF🇰🇭 Passionate about youth empowerment, education, human rights & equality🙏 Lover of sunsets & storms 📸 Unapologetic animal obsessive🐶",545,['Cambodia'],this will forever be one of the proudest moments of my career we broke a world record and we raised over 100k through local amp international donations i feel so lucky to have been part of making history in cambodia and to have worked with such an inspiring team of people,"['this', 'will', 'forever', 'be', 'one', 'of', 'the', 'proudest', 'moments', 'of', 'my', 'career', 'we', 'broke', 'a', 'world', 'record', 'and', 'we', 'raised', 'over', '100k', 'through', 'local', 'amp', 'international', 'donations', 'i', 'feel', 'so', 'lucky', 'to', 'have', 'been', 'part', 'of', 'making', 'history', 'in', 'cambodia', 'and', 'to', 'have', 'worked', 'with', 'such', 'an', 'inspiring', 'team', 'of', 'people']","['forever', 'one', 'proudest', 'moments', 'career', 'broke', 'world', 'record', 'raised', '100k', 'local', 'amp', 'international', 'donations', 'feel', 'lucky', 'part', 'making', 'history', 'cambodia', 'worked', 'inspiring', 'team', 'people']","['forev', 'one', 'proudest', 'moment', 'career', 'broke', 'world', 'record', 'rais', '100k', 'local', 'amp', 'intern', 'donat', 'feel', 'lucki', 'part', 'make', 'histori', 'cambodia', 'work', 'inspir', 'team', 'peopl']","['forever', 'one', 'proudest', 'moments', 'career', 'broke', 'world', 'record', 'raised', '100k', 'local', 'amp', 'international', 'donations', 'feel', 'lucky', 'part', 'making', 'history', 'cambodia', 'worked', 'inspiring', 'team', 'people']",5,Vietnam
2020-05-19 16:51:50+00:00,1262788061903142913,"@jj4t12win10 @Tackerpan76 @lilly_wachowski @BSAllianceChi trying so fucking hard to look rich with your potato quality photo from a free ferry and buzzwords that you got from a get-rich-quick scam seminar that made you think you know what you're talking about, show receipts of your nursegolf donation let's see if it's even triple digits",Vallam13,"Olympia, WA",0,1,0,0,"nonbinary noise girl🔇
she/they",145,,trying so fucking hard to look rich with your potato quality photo from a free ferry and buzzwords that you got from a getrichquick scam seminar that made you think you know what youre talking about show receipts of your nursegolf donation lets see if its even triple digits,"['trying', 'so', 'fucking', 'hard', 'to', 'look', 'rich', 'with', 'your', 'potato', 'quality', 'photo', 'from', 'a', 'free', 'ferry', 'and', 'buzzwords', 'that', 'you', 'got', 'from', 'a', 'getrichquick', 'scam', 'seminar', 'that', 'made', 'you', 'think', 'you', 'know', 'what', 'youre', 'talking', 'about', 'show', 'receipts', 'of', 'your', 'nursegolf', 'donation', 'lets', 'see', 'if', 'its', 'even', 'triple', 'digits']","['trying', 'fucking', 'hard', 'look', 'rich', 'potato', 'quality', 'photo', 'free', 'ferry', 'buzzwords', 'got', 'getrichquick', 'scam', 'seminar', 'made', 'think', 'know', 'youre', 'talking', 'show', 'receipts', 'nursegolf', 'donation', 'lets', 'see', 'even', 'triple', 'digits']","['tri', 'fuck', 'hard', 'look', 'rich', 'potato', 'qualiti', 'photo', 'free', 'ferri', 'buzzword', 'got', 'getrichquick', 'scam', 'seminar', 'made', 'think', 'know', 'your', 'talk', 'show', 'receipt', 'nursegolf', 'donat', 'let', 'see', 'even', 'tripl', 'digit']","['trying', 'fucking', 'hard', 'look', 'rich', 'potato', 'quality', 'photo', 'free', 'ferry', 'buzzwords', 'got', 'getrichquick', 'scam', 'seminar', 'made', 'think', 'know', 'youre', 'talking', 'show', 'receipts', 'nursegolf', 'donation', 'lets', 'see', 'even', 'triple', 'digits']",1,Vietnam
2020-02-14 03:12:34+00:00,1228155039488700417,"Spread love on human appreciation day 🌹🥰💯
(A donation also helps 🤗) https://t.co/D13Gl3ZnXS
#Valentineday #Valentines #ChildrensMentalHealthWeek2020 https://t.co/YC8EU37q2A",KianhFoundation,"Hoi An, Central Vietnam",4,1,1,1,"A merry band of kids with disability, finally getting the education and therapies they deserve. 👊🏻 to our oddball team of staff for the magic ✨",507,"['Valentineday', 'Valentines', 'ChildrensMentalHealthWeek2020']",spread love on human appreciation day a donation also helps valentineday valentines childrensmentalhealthweek2020,"['spread', 'love', 'on', 'human', 'appreciation', 'day', 'a', 'donation', 'also', 'helps', 'valentineday', 'valentines', 'childrensmentalhealthweek2020']","['spread', 'love', 'human', 'appreciation', 'day', 'donation', 'also', 'helps', 'valentineday', 'valentines', 'childrensmentalhealthweek2020']","['spread', 'love', 'human', 'appreci', 'day', 'donat', 'also', 'help', 'valentineday', 'valentin', 'childrensmentalhealthweek2020']","['spread', 'love', 'human', 'appreciation', 'day', 'donation', 'also', 'helps', 'valentineday', 'valentines', 'childrensmentalhealthweek2020']",5,Vietnam
2020-05-11 11:52:21+00:00,1259813594629238785,I’ve just written to Health Minister Mam Bunheng outlining two new grants to help 🇰🇭’s #COVID19 response: A$2m for @PSIimpact to support public health emergency operations; &amp; A$4.4m for Merieux Foundation to strengthen human + veterinary labs in 🇰🇭 🇱🇦 🇲🇲. @CentreHealthSec https://t.co/nMYW6yZls4,AusEmbPP,"Phnom Penh, Cambodia",20,0,3,0,Pablo Kang is the Australian Ambassador to the Kingdom of Cambodia & @TheParraEels fan. You can also follow us on Facebook at AustralianEmbassyPhnomPenh,10279,['COVID19'],ive just written to health minister mam bunheng outlining two new grants to help s covid19 response a2m for to support public health emergency operations amp a44m for merieux foundation to strengthen human veterinary labs in,"['ive', 'just', 'written', 'to', 'health', 'minister', 'mam', 'bunheng', 'outlining', 'two', 'new', 'grants', 'to', 'help', 's', 'covid19', 'response', 'a2m', 'for', 'to', 'support', 'public', 'health', 'emergency', 'operations', 'amp', 'a44m', 'for', 'merieux', 'foundation', 'to', 'strengthen', 'human', 'veterinary', 'labs', 'in']","['ive', 'written', 'health', 'minister', 'mam', 'bunheng', 'outlining', 'two', 'new', 'grants', 'help', 'covid19', 'response', 'a2m', 'support', 'public', 'health', 'emergency', 'operations', 'amp', 'a44m', 'merieux', 'foundation', 'strengthen', 'human', 'veterinary', 'labs']","['ive', 'written', 'health', 'minist', 'mam', 'bunheng', 'outlin', 'two', 'new', 'grant', 'help', 'covid19', 'respons', 'a2m', 'support', 'public', 'health', 'emerg', 'oper', 'amp', 'a44m', 'merieux', 'foundat', 'strengthen', 'human', 'veterinari', 'lab']","['ive', 'written', 'health', 'minister', 'mam', 'bunheng', 'outlining', 'two', 'new', 'grants', 'help', 'covid19', 'response', 'a2m', 'support', 'public', 'health', 'emergency', 'operations', 'amp', 'a44m', 'merieux', 'foundation', 'strengthen', 'human', 'veterinary', 'labs']",4,Vietnam
