Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-05 06:18:41+00:00,1533332463350472704,"Looking at svt preparing pretty gift to their fans that watching broadcast make me sad

Nuest was like that too, they put effort to appreciate their fans 

I hope svt dont ever change",aishahzamberi,Republic of Korea,4,0,1,1,"|| KIM JONGHYEON || 김종현 || V || TAEHYUNG || HWANWOONG || GDRAGON || KANGHYUN || JEONGHAN ||

I love all and talk mostly about my bias~ periodt",506,,looking at svt preparing pretty gift to their fans that watching broadcast make me sad nuest was like that too they put effort to appreciate their fans i hope svt dont ever change,"['looking', 'at', 'svt', 'preparing', 'pretty', 'gift', 'to', 'their', 'fans', 'that', 'watching', 'broadcast', 'make', 'me', 'sad', 'nuest', 'was', 'like', 'that', 'too', 'they', 'put', 'effort', 'to', 'appreciate', 'their', 'fans', 'i', 'hope', 'svt', 'dont', 'ever', 'change']","['looking', 'svt', 'preparing', 'pretty', 'gift', 'fans', 'watching', 'broadcast', 'make', 'sad', 'nuest', 'like', 'put', 'effort', 'appreciate', 'fans', 'hope', 'svt', 'dont', 'ever', 'change']","['look', 'svt', 'prepar', 'pretti', 'gift', 'fan', 'watch', 'broadcast', 'make', 'sad', 'nuest', 'like', 'put', 'effort', 'appreci', 'fan', 'hope', 'svt', 'dont', 'ever', 'chang']","['looking', 'svt', 'preparing', 'pretty', 'gift', 'fans', 'watching', 'broadcast', 'make', 'sad', 'nuest', 'like', 'put', 'effort', 'appreciate', 'fans', 'hope', 'svt', 'dont', 'ever', 'change']",4,China
2021-06-27 07:40:33+00:00,1409054028378492931,"@WHO @POTUS Dear international friends of #Nepal. While we appreciate all your medical gifts to tackle #COVID19,addition of a few million doses of vaccines to the consignment would really make our day !And yes,do charge us a discounted amount for the vaccines. #nepalneedsvaccines",amit_nepal1,Janakpurdham ,0,0,0,0,Youngest ward member in Nepal (Elected in last election) . LC Janakpur Literature Festival,154,"['Nepal', 'COVID19', 'nepalneedsvaccines']",dear international friends of nepal while we appreciate all your medical gifts to tackle covid19addition of a few million doses of vaccines to the consignment would really make our day and yesdo charge us a discounted amount for the vaccines nepalneedsvaccines,"['dear', 'international', 'friends', 'of', 'nepal', 'while', 'we', 'appreciate', 'all', 'your', 'medical', 'gifts', 'to', 'tackle', 'covid19addition', 'of', 'a', 'few', 'million', 'doses', 'of', 'vaccines', 'to', 'the', 'consignment', 'would', 'really', 'make', 'our', 'day', 'and', 'yesdo', 'charge', 'us', 'a', 'discounted', 'amount', 'for', 'the', 'vaccines', 'nepalneedsvaccines']","['dear', 'international', 'friends', 'nepal', 'appreciate', 'medical', 'gifts', 'tackle', 'covid19addition', 'million', 'doses', 'vaccines', 'consignment', 'would', 'really', 'make', 'day', 'yesdo', 'charge', 'us', 'discounted', 'amount', 'vaccines', 'nepalneedsvaccines']","['dear', 'intern', 'friend', 'nepal', 'appreci', 'medic', 'gift', 'tackl', 'covid19addit', 'million', 'dose', 'vaccin', 'consign', 'would', 'realli', 'make', 'day', 'yesdo', 'charg', 'us', 'discount', 'amount', 'vaccin', 'nepalneedsvaccin']","['dear', 'international', 'friends', 'nepal', 'appreciate', 'medical', 'gifts', 'tackle', 'covid19addition', 'million', 'doses', 'vaccines', 'consignment', 'would', 'really', 'make', 'day', 'yesdo', 'charge', 'us', 'discounted', 'amount', 'vaccines', 'nepalneedsvaccines']",5,China
2020-11-24 10:24:07+00:00,1331181796331909121,I’ve never had a friend that cared for me so much that they are willing to send me gifts for Christmas just because they want me to feel loved that day. I appreciate you so much. 💜 @minieminimini https://t.co/zZwy48Rbpi,yoongsmoonchild,She/Her • 26 • multi • ace ,6,2,0,0,"#JUNGKOOK: behind the faint smile that looked at me, I will draw a beautiful purple shade",1751,,ive never had a friend that cared for me so much that they are willing to send me gifts for christmas just because they want me to feel loved that day i appreciate you so much,"['ive', 'never', 'had', 'a', 'friend', 'that', 'cared', 'for', 'me', 'so', 'much', 'that', 'they', 'are', 'willing', 'to', 'send', 'me', 'gifts', 'for', 'christmas', 'just', 'because', 'they', 'want', 'me', 'to', 'feel', 'loved', 'that', 'day', 'i', 'appreciate', 'you', 'so', 'much']","['ive', 'never', 'friend', 'cared', 'much', 'willing', 'send', 'gifts', 'christmas', 'want', 'feel', 'loved', 'day', 'appreciate', 'much']","['ive', 'never', 'friend', 'care', 'much', 'will', 'send', 'gift', 'christma', 'want', 'feel', 'love', 'day', 'appreci', 'much']","['ive', 'never', 'friend', 'cared', 'much', 'willing', 'send', 'gifts', 'christmas', 'want', 'feel', 'loved', 'day', 'appreciate', 'much']",5,China
2020-11-03 20:45:22+00:00,1323727995744366593,"It was morning time click this picture. I think defarent look it an important. My mom was gifted this dress for durgapuja fastival. My everything is my mother. I would appreciate to you mon ❤️ @IamMitadebnath 
#Mother #MotherDaughter https://t.co/6NOuhrjaoM",meSouravDebnath,"West Bengal, India",1,0,0,1,"I am a athletics & fitness devoloper.I have a youtube channel youtube.com/channel/UC291a… ""Social Club""🇮🇳",155,"['Mother', 'MotherDaughter']",it was morning time click this picture i think defarent look it an important my mom was gifted this dress for durgapuja fastival my everything is my mother i would appreciate to you mon mother motherdaughter,"['it', 'was', 'morning', 'time', 'click', 'this', 'picture', 'i', 'think', 'defarent', 'look', 'it', 'an', 'important', 'my', 'mom', 'was', 'gifted', 'this', 'dress', 'for', 'durgapuja', 'fastival', 'my', 'everything', 'is', 'my', 'mother', 'i', 'would', 'appreciate', 'to', 'you', 'mon', 'mother', 'motherdaughter']","['morning', 'time', 'click', 'picture', 'think', 'defarent', 'look', 'important', 'mom', 'gifted', 'dress', 'durgapuja', 'fastival', 'everything', 'mother', 'would', 'appreciate', 'mon', 'mother', 'motherdaughter']","['morn', 'time', 'click', 'pictur', 'think', 'defar', 'look', 'import', 'mom', 'gift', 'dress', 'durgapuja', 'fastiv', 'everyth', 'mother', 'would', 'appreci', 'mon', 'mother', 'motherdaught']","['morning', 'time', 'click', 'picture', 'think', 'defarent', 'look', 'important', 'mom', 'gifted', 'dress', 'durgapuja', 'fastival', 'everything', 'mother', 'would', 'appreciate', 'mon', 'mother', 'motherdaughter']",5,China
2022-05-30 07:23:34+00:00,1531174464536293376,"let me guess , more testing kits , chinese medicine, masks ? if it aint the #Covid economy scam in #Hongkong
 From Covid packs to ‘fortune bags’: #Hongkongers to get handover gifts https://t.co/eOXIOhOGrW via @scmpnews",linjack88,HK,0,2,0,1,Hongkonger,271,"['Covid', 'Hongkong', 'Hongkongers']",let me guess more testing kits chinese medicine masks if it aint the covid economy scam in hongkong from covid packs to fortune bags hongkongers to get handover gifts via,"['let', 'me', 'guess', 'more', 'testing', 'kits', 'chinese', 'medicine', 'masks', 'if', 'it', 'aint', 'the', 'covid', 'economy', 'scam', 'in', 'hongkong', 'from', 'covid', 'packs', 'to', 'fortune', 'bags', 'hongkongers', 'to', 'get', 'handover', 'gifts', 'via']","['let', 'guess', 'testing', 'kits', 'chinese', 'medicine', 'masks', 'aint', 'covid', 'economy', 'scam', 'hongkong', 'covid', 'packs', 'fortune', 'bags', 'hongkongers', 'get', 'handover', 'gifts', 'via']","['let', 'guess', 'test', 'kit', 'chines', 'medicin', 'mask', 'aint', 'covid', 'economi', 'scam', 'hongkong', 'covid', 'pack', 'fortun', 'bag', 'hongkong', 'get', 'handov', 'gift', 'via']","['let', 'guess', 'testing', 'kits', 'chinese', 'medicine', 'masks', 'aint', 'covid', 'economy', 'scam', 'hongkong', 'covid', 'packs', 'fortune', 'bags', 'hongkongers', 'get', 'handover', 'gifts', 'via']",2,China
2021-11-12 10:32:26+00:00,1459106805745782789,"10,000 Medical FFP2 Face Masks 😷 was gifted yesterday by Embassy of #Israel 🇮🇱 in #Hanoi to the Duc Giang Hospital in the city, which is in the front of combating the latest outbreaks of #COVID19 in Hanoi 🇻🇳. Together we shall prevail! https://t.co/Yo923YZKWe",NadavEshcar,"Hanoi, Vietnam",14,1,1,0,Ambassador of Israel to Vietnam and Laos. Working hard to strengthen the excellent relations Even further!,1300,"['Israel', 'Hanoi', 'COVID19']",10000 medical ffp2 face masks was gifted yesterday by embassy of israel in hanoi to the duc giang hospital in the city which is in the front of combating the latest outbreaks of covid19 in hanoi together we shall prevail,"['10000', 'medical', 'ffp2', 'face', 'masks', 'was', 'gifted', 'yesterday', 'by', 'embassy', 'of', 'israel', 'in', 'hanoi', 'to', 'the', 'duc', 'giang', 'hospital', 'in', 'the', 'city', 'which', 'is', 'in', 'the', 'front', 'of', 'combating', 'the', 'latest', 'outbreaks', 'of', 'covid19', 'in', 'hanoi', 'together', 'we', 'shall', 'prevail']","['10000', 'medical', 'ffp2', 'face', 'masks', 'gifted', 'yesterday', 'embassy', 'israel', 'hanoi', 'duc', 'giang', 'hospital', 'city', 'front', 'combating', 'latest', 'outbreaks', 'covid19', 'hanoi', 'together', 'shall', 'prevail']","['10000', 'medic', 'ffp2', 'face', 'mask', 'gift', 'yesterday', 'embassi', 'israel', 'hanoi', 'duc', 'giang', 'hospit', 'citi', 'front', 'combat', 'latest', 'outbreak', 'covid19', 'hanoi', 'togeth', 'shall', 'prevail']","['10000', 'medical', 'ffp2', 'face', 'masks', 'gifted', 'yesterday', 'embassy', 'israel', 'hanoi', 'duc', 'giang', 'hospital', 'city', 'front', 'combating', 'latest', 'outbreaks', 'covid19', 'hanoi', 'together', 'shall', 'prevail']",5,China
2021-09-02 07:39:53+00:00,1433333843554013192,India has gifted two mobile medical #oxygen plants to Bangladesh to support the country's fight against Covid-19. The #Indian Navy Ship Savitri carrying two plants arrived at Chattogram harbour in #Bangladesh on Thursday. https://t.co/usLN1rqZlV,aminunv,"Rajshahi, Bangladesh",3,0,1,0,Journalist |  Transactivist | Geopolitics Student,284,"['oxygen', 'Indian', 'Bangladesh']",india has gifted two mobile medical oxygen plants to bangladesh to support the countrys fight against covid19 the indian navy ship savitri carrying two plants arrived at chattogram harbour in bangladesh on thursday,"['india', 'has', 'gifted', 'two', 'mobile', 'medical', 'oxygen', 'plants', 'to', 'bangladesh', 'to', 'support', 'the', 'countrys', 'fight', 'against', 'covid19', 'the', 'indian', 'navy', 'ship', 'savitri', 'carrying', 'two', 'plants', 'arrived', 'at', 'chattogram', 'harbour', 'in', 'bangladesh', 'on', 'thursday']","['india', 'gifted', 'two', 'mobile', 'medical', 'oxygen', 'plants', 'bangladesh', 'support', 'countrys', 'fight', 'covid19', 'indian', 'navy', 'ship', 'savitri', 'carrying', 'two', 'plants', 'arrived', 'chattogram', 'harbour', 'bangladesh', 'thursday']","['india', 'gift', 'two', 'mobil', 'medic', 'oxygen', 'plant', 'bangladesh', 'support', 'countri', 'fight', 'covid19', 'indian', 'navi', 'ship', 'savitri', 'carri', 'two', 'plant', 'arriv', 'chattogram', 'harbour', 'bangladesh', 'thursday']","['india', 'gifted', 'two', 'mobile', 'medical', 'oxygen', 'plants', 'bangladesh', 'support', 'countrys', 'fight', 'covid19', 'indian', 'navy', 'ship', 'savitri', 'carrying', 'two', 'plants', 'arrived', 'chattogram', 'harbour', 'bangladesh', 'thursday']",1,China
2021-07-22 22:16:29+00:00,1418334159269888002,"My Mami gifted me a Pulse Oximeter - that's Today's version of saying - Take care - I love you.
Rishta Vahi Soch Nayi
#medtwitter 
#medmeme 
#COVID19
#COVID19India https://t.co/8jVEcoD42B",Doc_Storyteller,,2,0,0,0,"MBBS Intern | Flying | Fasting for Health | Newly Vegetarian |
Creating Her Best Life 🦚 |
A Moody Everything - Twitterazzi for today !",85,"['medtwitter', 'medmeme', 'COVID19', 'COVID19India']",my mami gifted me a pulse oximeter thats todays version of saying take care i love you rishta vahi soch nayi medtwitter medmeme covid19 covid19india,"['my', 'mami', 'gifted', 'me', 'a', 'pulse', 'oximeter', 'thats', 'todays', 'version', 'of', 'saying', 'take', 'care', 'i', 'love', 'you', 'rishta', 'vahi', 'soch', 'nayi', 'medtwitter', 'medmeme', 'covid19', 'covid19india']","['mami', 'gifted', 'pulse', 'oximeter', 'thats', 'todays', 'version', 'saying', 'take', 'care', 'love', 'rishta', 'vahi', 'soch', 'nayi', 'medtwitter', 'medmeme', 'covid19', 'covid19india']","['mami', 'gift', 'puls', 'oximet', 'that', 'today', 'version', 'say', 'take', 'care', 'love', 'rishta', 'vahi', 'soch', 'nayi', 'medtwitt', 'medmem', 'covid19', 'covid19india']","['mami', 'gifted', 'pulse', 'oximeter', 'thats', 'todays', 'version', 'saying', 'take', 'care', 'love', 'rishta', 'vahi', 'soch', 'nayi', 'medtwitter', 'medmeme', 'covid19', 'covid19india']",5,China
2021-05-29 10:37:08+00:00,1398589218964729858,A special Thai aircraft carrying medical items gifted by King Maha Vajiralongkorn Phra Vajiraklaochaoyuhua and members of the Thai royal family is arriving in Kathmandu tomorrow in order to support Nepal in its battle against the COVID-19 pandemic. Items include : https://t.co/YY7NxR3cSS,journonepali,Nepal ,14,0,2,0,"Kathmandu-based diplomatic correspondent. Global Affairs Coordinator for Nepalkhabar, a leading multi-media platform in Nepal. Retweets don't imply endorsement.",11673,,a special thai aircraft carrying medical items gifted by king maha vajiralongkorn phra vajiraklaochaoyuhua and members of the thai royal family is arriving in kathmandu tomorrow in order to support nepal in its battle against the covid19 pandemic items include,"['a', 'special', 'thai', 'aircraft', 'carrying', 'medical', 'items', 'gifted', 'by', 'king', 'maha', 'vajiralongkorn', 'phra', 'vajiraklaochaoyuhua', 'and', 'members', 'of', 'the', 'thai', 'royal', 'family', 'is', 'arriving', 'in', 'kathmandu', 'tomorrow', 'in', 'order', 'to', 'support', 'nepal', 'in', 'its', 'battle', 'against', 'the', 'covid19', 'pandemic', 'items', 'include']","['special', 'thai', 'aircraft', 'carrying', 'medical', 'items', 'gifted', 'king', 'maha', 'vajiralongkorn', 'phra', 'vajiraklaochaoyuhua', 'members', 'thai', 'royal', 'family', 'arriving', 'kathmandu', 'tomorrow', 'order', 'support', 'nepal', 'battle', 'covid19', 'pandemic', 'items', 'include']","['special', 'thai', 'aircraft', 'carri', 'medic', 'item', 'gift', 'king', 'maha', 'vajiralongkorn', 'phra', 'vajiraklaochaoyuhua', 'member', 'thai', 'royal', 'famili', 'arriv', 'kathmandu', 'tomorrow', 'order', 'support', 'nepal', 'battl', 'covid19', 'pandem', 'item', 'includ']","['special', 'thai', 'aircraft', 'carrying', 'medical', 'items', 'gifted', 'king', 'maha', 'vajiralongkorn', 'phra', 'vajiraklaochaoyuhua', 'members', 'thai', 'royal', 'family', 'arriving', 'kathmandu', 'tomorrow', 'order', 'support', 'nepal', 'battle', 'covid19', 'pandemic', 'items', 'include']",4,China
2020-10-19 03:41:05+00:00,1318034407790309377,Cheap wholesale women underwear 🩲 @JiayangSocks #underwear #underpants #underpant #women #girl #lady #gift #custom #fashion #cheap #stock #wholesaleclothing #wholesale #manu #manufacturing #knitting #knit #covid #covid_19 #stay #staysafe #stayhealthy #staystrong #staypositive https://t.co/5YiNDzo6fp,JiayangSocks,"Zhuji, Zhejiang, China",1,0,0,0,"Jiayang Socks produce & sale #socks, focus on OEM & ODM projects since 1996.
finelysocks.com 
whatsapp:+86-13567898966
Email: nbmaiqi@vip.163.com",55,"['underwear', 'underpants', 'underpant', 'women', 'girl', 'lady', 'gift', 'custom', 'fashion', 'cheap', 'stock', 'wholesaleclothing', 'wholesale', 'manu', 'manufacturing', 'knitting', 'knit', 'covid', 'covid_19', 'stay', 'staysafe', 'stayhealthy', 'staystrong', 'staypositive']",cheap wholesale women underwear underwear underpants underpant women girl lady gift custom fashion cheap stock wholesaleclothing wholesale manu manufacturing knitting knit covid covid19 stay staysafe stayhealthy staystrong staypositive,"['cheap', 'wholesale', 'women', 'underwear', 'underwear', 'underpants', 'underpant', 'women', 'girl', 'lady', 'gift', 'custom', 'fashion', 'cheap', 'stock', 'wholesaleclothing', 'wholesale', 'manu', 'manufacturing', 'knitting', 'knit', 'covid', 'covid19', 'stay', 'staysafe', 'stayhealthy', 'staystrong', 'staypositive']","['cheap', 'wholesale', 'women', 'underwear', 'underwear', 'underpants', 'underpant', 'women', 'girl', 'lady', 'gift', 'custom', 'fashion', 'cheap', 'stock', 'wholesaleclothing', 'wholesale', 'manu', 'manufacturing', 'knitting', 'knit', 'covid', 'covid19', 'stay', 'staysafe', 'stayhealthy', 'staystrong', 'staypositive']","['cheap', 'wholesal', 'women', 'underwear', 'underwear', 'underp', 'underp', 'women', 'girl', 'ladi', 'gift', 'custom', 'fashion', 'cheap', 'stock', 'wholesalecloth', 'wholesal', 'manu', 'manufactur', 'knit', 'knit', 'covid', 'covid19', 'stay', 'staysaf', 'stayhealthi', 'staystrong', 'stayposit']","['cheap', 'wholesale', 'women', 'underwear', 'underwear', 'underpants', 'underpant', 'women', 'girl', 'lady', 'gift', 'custom', 'fashion', 'cheap', 'stock', 'wholesaleclothing', 'wholesale', 'manu', 'manufacturing', 'knitting', 'knit', 'covid', 'covid19', 'stay', 'staysafe', 'stayhealthy', 'staystrong', 'staypositive']",3,China
