Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-05-29 17:06:27+00:00,1.5309587623952425e+18,"@Hammad_Azhar We wd appreciate if you can raise our voice. At airports, OPs are harrased &amp; thr mobiles, perfumes, laptops, chocklets and other gifts are being snatched without receipt. Reason, import in baned. How is thisbimport! W r not using Pak $ but our own hard earned money oversease!",imranmemon80,,2.0,0.0,0.0,0.0,Humanity....,594.0,,we wd appreciate if you can raise our voice at airports ops are harrased amp thr mobiles perfumes laptops chocklets and other gifts are being snatched without receipt reason import in baned how is thisbimport w r not using pak but our own hard earned money oversease,"['we', 'wd', 'appreciate', 'if', 'you', 'can', 'raise', 'our', 'voice', 'at', 'airports', 'ops', 'are', 'harrased', 'amp', 'thr', 'mobiles', 'perfumes', 'laptops', 'chocklets', 'and', 'other', 'gifts', 'are', 'being', 'snatched', 'without', 'receipt', 'reason', 'import', 'in', 'baned', 'how', 'is', 'thisbimport', 'w', 'r', 'not', 'using', 'pak', 'but', 'our', 'own', 'hard', 'earned', 'money', 'oversease']","['wd', 'appreciate', 'raise', 'voice', 'airports', 'ops', 'harrased', 'amp', 'thr', 'mobiles', 'perfumes', 'laptops', 'chocklets', 'gifts', 'snatched', 'without', 'receipt', 'reason', 'import', 'baned', 'thisbimport', 'w', 'r', 'using', 'pak', 'hard', 'earned', 'money', 'oversease']","['wd', 'appreci', 'rais', 'voic', 'airport', 'op', 'harras', 'amp', 'thr', 'mobil', 'perfum', 'laptop', 'chocklet', 'gift', 'snatch', 'without', 'receipt', 'reason', 'import', 'bane', 'thisbimport', 'w', 'r', 'use', 'pak', 'hard', 'earn', 'money', 'overseas']","['wd', 'appreciate', 'raise', 'voice', 'airports', 'ops', 'harrased', 'amp', 'thr', 'mobiles', 'perfumes', 'laptops', 'chocklets', 'gifts', 'snatched', 'without', 'receipt', 'reason', 'import', 'baned', 'thisbimport', 'w', 'r', 'using', 'pak', 'hard', 'earned', 'money', 'oversease']",1,Pakistan
2022-05-29 17:01:50+00:00,1.5309576000864256e+18,"@taimur_ajmal @PTIofficial We wd appreciate if Zulfi can raise our voice. At airports, OPs are harrased &amp; thr mobiles, perfumes, laptops, chocklets and other gifts are being snatched without receipt. Reason, import in baned. How is thisbimport! W r not using Pak $ but our own hard earned money oversease!",imranmemon80,,1.0,0.0,0.0,0.0,Humanity....,594.0,,we wd appreciate if zulfi can raise our voice at airports ops are harrased amp thr mobiles perfumes laptops chocklets and other gifts are being snatched without receipt reason import in baned how is thisbimport w r not using pak but our own hard earned money oversease,"['we', 'wd', 'appreciate', 'if', 'zulfi', 'can', 'raise', 'our', 'voice', 'at', 'airports', 'ops', 'are', 'harrased', 'amp', 'thr', 'mobiles', 'perfumes', 'laptops', 'chocklets', 'and', 'other', 'gifts', 'are', 'being', 'snatched', 'without', 'receipt', 'reason', 'import', 'in', 'baned', 'how', 'is', 'thisbimport', 'w', 'r', 'not', 'using', 'pak', 'but', 'our', 'own', 'hard', 'earned', 'money', 'oversease']","['wd', 'appreciate', 'zulfi', 'raise', 'voice', 'airports', 'ops', 'harrased', 'amp', 'thr', 'mobiles', 'perfumes', 'laptops', 'chocklets', 'gifts', 'snatched', 'without', 'receipt', 'reason', 'import', 'baned', 'thisbimport', 'w', 'r', 'using', 'pak', 'hard', 'earned', 'money', 'oversease']","['wd', 'appreci', 'zulfi', 'rais', 'voic', 'airport', 'op', 'harras', 'amp', 'thr', 'mobil', 'perfum', 'laptop', 'chocklet', 'gift', 'snatch', 'without', 'receipt', 'reason', 'import', 'bane', 'thisbimport', 'w', 'r', 'use', 'pak', 'hard', 'earn', 'money', 'overseas']","['wd', 'appreciate', 'zulfi', 'raise', 'voice', 'airports', 'ops', 'harrased', 'amp', 'thr', 'mobiles', 'perfumes', 'laptops', 'chocklets', 'gifts', 'snatched', 'without', 'receipt', 'reason', 'import', 'baned', 'thisbimport', 'w', 'r', 'using', 'pak', 'hard', 'earned', 'money', 'oversease']",1,Pakistan
2020-02-14 05:30:46+00:00,1.2281898197647974e+18,"1, there are patients in  hospitals, want  health like you.2, there are innocents in jail who want freedom like you.3,  Needy in shelters  who want food like you.4, and  people   in  graves,   want time like you.appreciate the gift you have for the truly special.Always say Alhudu https://t.co/HQOM7WsNpT",SherMuhammadWa3,,0.0,0.0,0.0,0.0,learn   because    life   is    teaching.,5.0,,1 there are patients in hospitals want health like you2 there are innocents in jail who want freedom like you3 needy in shelters who want food like you4 and people in graves want time like youappreciate the gift you have for the truly specialalways say alhudu,"['1', 'there', 'are', 'patients', 'in', 'hospitals', 'want', 'health', 'like', 'you2', 'there', 'are', 'innocents', 'in', 'jail', 'who', 'want', 'freedom', 'like', 'you3', 'needy', 'in', 'shelters', 'who', 'want', 'food', 'like', 'you4', 'and', 'people', 'in', 'graves', 'want', 'time', 'like', 'youappreciate', 'the', 'gift', 'you', 'have', 'for', 'the', 'truly', 'specialalways', 'say', 'alhudu']","['1', 'patients', 'hospitals', 'want', 'health', 'like', 'you2', 'innocents', 'jail', 'want', 'freedom', 'like', 'you3', 'needy', 'shelters', 'want', 'food', 'like', 'you4', 'people', 'graves', 'want', 'time', 'like', 'youappreciate', 'gift', 'truly', 'specialalways', 'say', 'alhudu']","['1', 'patient', 'hospit', 'want', 'health', 'like', 'you2', 'innoc', 'jail', 'want', 'freedom', 'like', 'you3', 'needi', 'shelter', 'want', 'food', 'like', 'you4', 'peopl', 'grave', 'want', 'time', 'like', 'youappreci', 'gift', 'truli', 'specialalway', 'say', 'alhudu']","['1', 'patients', 'hospitals', 'want', 'health', 'like', 'you2', 'innocents', 'jail', 'want', 'freedom', 'like', 'you3', 'needy', 'shelters', 'want', 'food', 'like', 'you4', 'people', 'graves', 'want', 'time', 'like', 'youappreciate', 'gift', 'truly', 'specialalways', 'say', 'alhudu']",1,Pakistan
2022-03-17 01:44:03+00:00,1.504272319774036e+18,"Dera Sacha Sauda remains at the forefront in helping people and now a campaign named Mission Samile has been started with the holy inspiration of Saint Gurmeet Ram Rahim ji for needy children, under which food items, gifts, toys etc. are distributed to needy children. #ShareSmile https://t.co/8qstjgIeWX",MrGurmeetkumar,Dhurala Kurukshetra Haryana,36.0,1.0,44.0,0.0,"Teach Chemistry @JNV Suratgarh / Social Worker/Proud to be an Indian🇮🇳
you tube channel : online chemistry01",287.0,['ShareSmile'],dera sacha sauda remains at the forefront in helping people and now a campaign named mission samile has been started with the holy inspiration of saint gurmeet ram rahim ji for needy children under which food items gifts toys etc are distributed to needy children sharesmile,"['dera', 'sacha', 'sauda', 'remains', 'at', 'the', 'forefront', 'in', 'helping', 'people', 'and', 'now', 'a', 'campaign', 'named', 'mission', 'samile', 'has', 'been', 'started', 'with', 'the', 'holy', 'inspiration', 'of', 'saint', 'gurmeet', 'ram', 'rahim', 'ji', 'for', 'needy', 'children', 'under', 'which', 'food', 'items', 'gifts', 'toys', 'etc', 'are', 'distributed', 'to', 'needy', 'children', 'sharesmile']","['dera', 'sacha', 'sauda', 'remains', 'forefront', 'helping', 'people', 'campaign', 'named', 'mission', 'samile', 'started', 'holy', 'inspiration', 'saint', 'gurmeet', 'ram', 'rahim', 'ji', 'needy', 'children', 'food', 'items', 'gifts', 'toys', 'etc', 'distributed', 'needy', 'children', 'sharesmile']","['dera', 'sacha', 'sauda', 'remain', 'forefront', 'help', 'peopl', 'campaign', 'name', 'mission', 'samil', 'start', 'holi', 'inspir', 'saint', 'gurmeet', 'ram', 'rahim', 'ji', 'needi', 'children', 'food', 'item', 'gift', 'toy', 'etc', 'distribut', 'needi', 'children', 'sharesmil']","['dera', 'sacha', 'sauda', 'remains', 'forefront', 'helping', 'people', 'campaign', 'named', 'mission', 'samile', 'started', 'holy', 'inspiration', 'saint', 'gurmeet', 'ram', 'rahim', 'ji', 'needy', 'children', 'food', 'items', 'gifts', 'toys', 'etc', 'distributed', 'needy', 'children', 'sharesmile']",5,Pakistan
2021-06-30 04:02:55+00:00,1.4100864189998817e+18,"In this era of inflation, it is difficult for common people to build their own house, the poor cannot even think of building their own house.
Revered Saint Dr.@Gurmeetramrahim Ji Insan took care of this problem of the poor and started a campaign to provide them #GiftOfHome https://t.co/tprWAeuP9A",baldevinsan1,India,0.0,0.0,0.0,0.0,Biggest fan of Dr.MSG 💥My (Gurmeet Ram Rahim) Papa is my pride.,525.0,['GiftOfHome'],in this era of inflation it is difficult for common people to build their own house the poor cannot even think of building their own house revered saint dr ji insan took care of this problem of the poor and started a campaign to provide them giftofhome,"['in', 'this', 'era', 'of', 'inflation', 'it', 'is', 'difficult', 'for', 'common', 'people', 'to', 'build', 'their', 'own', 'house', 'the', 'poor', 'cannot', 'even', 'think', 'of', 'building', 'their', 'own', 'house', 'revered', 'saint', 'dr', 'ji', 'insan', 'took', 'care', 'of', 'this', 'problem', 'of', 'the', 'poor', 'and', 'started', 'a', 'campaign', 'to', 'provide', 'them', 'giftofhome']","['era', 'inflation', 'difficult', 'common', 'people', 'build', 'house', 'poor', 'cannot', 'even', 'think', 'building', 'house', 'revered', 'saint', 'dr', 'ji', 'insan', 'took', 'care', 'problem', 'poor', 'started', 'campaign', 'provide', 'giftofhome']","['era', 'inflat', 'difficult', 'common', 'peopl', 'build', 'hous', 'poor', 'cannot', 'even', 'think', 'build', 'hous', 'rever', 'saint', 'dr', 'ji', 'insan', 'took', 'care', 'problem', 'poor', 'start', 'campaign', 'provid', 'giftofhom']","['era', 'inflation', 'difficult', 'common', 'people', 'build', 'house', 'poor', 'cannot', 'even', 'think', 'building', 'house', 'revered', 'saint', 'dr', 'ji', 'insan', 'took', 'care', 'problem', 'poor', 'started', 'campaign', 'provide', 'giftofhome']",1,Pakistan
2021-05-23 12:34:53+00:00,1.396444522876326e+18,@SaleenaRaja @davidaglewis It is very noble of #CllrSaleenaRaja to participate in community affairs thus encouraging people to fight Covid 19.Having been afflicted by Corona I can visualize its dangerous effects. Energy driven people r gift for sharing woes of others.,AAKiani1,,1.0,1.0,0.0,0.0,"Senior citizen 90 plus. Took part in independence movement. Had met the last 
British Governor of Punjab, Sir Evan Jenkins in 1946. Simple & austere life.",760.0,['CllrSaleenaRaja'],it is very noble of cllrsaleenaraja to participate in community affairs thus encouraging people to fight covid 19having been afflicted by corona i can visualize its dangerous effects energy driven people r gift for sharing woes of others,"['it', 'is', 'very', 'noble', 'of', 'cllrsaleenaraja', 'to', 'participate', 'in', 'community', 'affairs', 'thus', 'encouraging', 'people', 'to', 'fight', 'covid', '19having', 'been', 'afflicted', 'by', 'corona', 'i', 'can', 'visualize', 'its', 'dangerous', 'effects', 'energy', 'driven', 'people', 'r', 'gift', 'for', 'sharing', 'woes', 'of', 'others']","['noble', 'cllrsaleenaraja', 'participate', 'community', 'affairs', 'thus', 'encouraging', 'people', 'fight', 'covid', '19having', 'afflicted', 'corona', 'visualize', 'dangerous', 'effects', 'energy', 'driven', 'people', 'r', 'gift', 'sharing', 'woes', 'others']","['nobl', 'cllrsaleenaraja', 'particip', 'commun', 'affair', 'thu', 'encourag', 'peopl', 'fight', 'covid', '19have', 'afflict', 'corona', 'visual', 'danger', 'effect', 'energi', 'driven', 'peopl', 'r', 'gift', 'share', 'woe', 'other']","['noble', 'cllrsaleenaraja', 'participate', 'community', 'affairs', 'thus', 'encouraging', 'people', 'fight', 'covid', '19having', 'afflicted', 'corona', 'visualize', 'dangerous', 'effects', 'energy', 'driven', 'people', 'r', 'gift', 'sharing', 'woes', 'others']",5,Pakistan
2020-08-01 04:20:35+00:00,1.2894157094712566e+18,"#eidmubarak #eidulazha #covid_19 
#eid2020 #stayhome #staysafe #stayhealthy @ Husñain Book , Gift and Sports center https://t.co/AtapGGGwMb",touqeerchk,jhelum  Punjab  Pakistan,0.0,0.0,0.0,0.0,"Wish on 21july🎂
Muslim ❤ ️Pakistani ❤️️  ️Sport ❤ ️Political. 
Student 😘
Advocate 🎓
Pti_Ik 😘
Get Respect then Take Respect 😘
My ALLAH is always With Me 😘",900.0,"['eidmubarak', 'eidulazha', 'covid_19', 'eid2020', 'stayhome', 'staysafe', 'stayhealthy']",eidmubarak eidulazha covid19 eid2020 stayhome staysafe stayhealthy husain book gift and sports center,"['eidmubarak', 'eidulazha', 'covid19', 'eid2020', 'stayhome', 'staysafe', 'stayhealthy', 'husain', 'book', 'gift', 'and', 'sports', 'center']","['eidmubarak', 'eidulazha', 'covid19', 'eid2020', 'stayhome', 'staysafe', 'stayhealthy', 'husain', 'book', 'gift', 'sports', 'center']","['eidmubarak', 'eidulazha', 'covid19', 'eid2020', 'stayhom', 'staysaf', 'stayhealthi', 'husain', 'book', 'gift', 'sport', 'center']","['eidmubarak', 'eidulazha', 'covid19', 'eid2020', 'stayhome', 'staysafe', 'stayhealthy', 'husain', 'book', 'gift', 'sports', 'center']",5,Pakistan
2020-07-01 07:16:35+00:00,1.2782259746022154e+18,"On this #NationalDoctorsDay, We Salute All the Doctors Who Fulfill Their Responsibility and Service With Commitment to Gift Health &amp; Save Lives.

Your Commitment to save people's lives during the #Covid_19 pandemic is incomparable.
#ThankYouDoctors https://t.co/LwKP5xjJQL",Karan_vohra33,"Amritsar, India",9.0,0.0,9.0,0.0,"EX NSUI National Media Coordinator, Ex Incharge Assam, Andhra Pradesh and J&K. EX 2 times NSUI Punjab social media coordinator. Rt's not endorsements.",1374.0,"['NationalDoctorsDay', 'Covid_19', 'ThankYouDoctors']",on this nationaldoctorsday we salute all the doctors who fulfill their responsibility and service with commitment to gift health amp save lives your commitment to save peoples lives during the covid19 pandemic is incomparable thankyoudoctors,"['on', 'this', 'nationaldoctorsday', 'we', 'salute', 'all', 'the', 'doctors', 'who', 'fulfill', 'their', 'responsibility', 'and', 'service', 'with', 'commitment', 'to', 'gift', 'health', 'amp', 'save', 'lives', 'your', 'commitment', 'to', 'save', 'peoples', 'lives', 'during', 'the', 'covid19', 'pandemic', 'is', 'incomparable', 'thankyoudoctors']","['nationaldoctorsday', 'salute', 'doctors', 'fulfill', 'responsibility', 'service', 'commitment', 'gift', 'health', 'amp', 'save', 'lives', 'commitment', 'save', 'peoples', 'lives', 'covid19', 'pandemic', 'incomparable', 'thankyoudoctors']","['nationaldoctorsday', 'salut', 'doctor', 'fulfil', 'respons', 'servic', 'commit', 'gift', 'health', 'amp', 'save', 'live', 'commit', 'save', 'peopl', 'live', 'covid19', 'pandem', 'incompar', 'thankyoudoctor']","['nationaldoctorsday', 'salute', 'doctors', 'fulfill', 'responsibility', 'service', 'commitment', 'gift', 'health', 'amp', 'save', 'lives', 'commitment', 'save', 'peoples', 'lives', 'covid19', 'pandemic', 'incomparable', 'thankyoudoctors']",5,Pakistan
2020-06-04 11:16:54+00:00,1.268501979145388e+18,"By extending a financial aid of 1.6 billion Nepalese rupees during the devastating earthquake in 2015 &amp; by gifting 23 tonnes of essential medicines to  #Nepal during the COVID -19 crisis, India has always stood with Nepal as an all-time strong ally.
#IndiaNepalFriendship https://t.co/kBfQRGMzZQ",rajantweetss,"Ludhiana, India",1.0,0.0,1.0,0.0,"बड़ें सौभाग्य से मिला है हिन्दू धर्म….
तो भगवा ओढने में कैसी शर्म…
सिर्फ नाम ही काफी है जलन के लिए
जय श्रीराम
#JaiShreeRam",89.0,"['Nepal', 'IndiaNepalFriendship']",by extending a financial aid of 16 billion nepalese rupees during the devastating earthquake in 2015 amp by gifting 23 tonnes of essential medicines to nepal during the covid 19 crisis india has always stood with nepal as an alltime strong ally indianepalfriendship,"['by', 'extending', 'a', 'financial', 'aid', 'of', '16', 'billion', 'nepalese', 'rupees', 'during', 'the', 'devastating', 'earthquake', 'in', '2015', 'amp', 'by', 'gifting', '23', 'tonnes', 'of', 'essential', 'medicines', 'to', 'nepal', 'during', 'the', 'covid', '19', 'crisis', 'india', 'has', 'always', 'stood', 'with', 'nepal', 'as', 'an', 'alltime', 'strong', 'ally', 'indianepalfriendship']","['extending', 'financial', 'aid', '16', 'billion', 'nepalese', 'rupees', 'devastating', 'earthquake', '2015', 'amp', 'gifting', '23', 'tonnes', 'essential', 'medicines', 'nepal', 'covid', '19', 'crisis', 'india', 'always', 'stood', 'nepal', 'alltime', 'strong', 'ally', 'indianepalfriendship']","['extend', 'financi', 'aid', '16', 'billion', 'nepales', 'rupe', 'devast', 'earthquak', '2015', 'amp', 'gift', '23', 'tonn', 'essenti', 'medicin', 'nepal', 'covid', '19', 'crisi', 'india', 'alway', 'stood', 'nepal', 'alltim', 'strong', 'alli', 'indianepalfriendship']","['extending', 'financial', 'aid', '16', 'billion', 'nepalese', 'rupees', 'devastating', 'earthquake', '2015', 'amp', 'gifting', '23', 'tonnes', 'essential', 'medicines', 'nepal', 'covid', '19', 'crisis', 'india', 'always', 'stood', 'nepal', 'alltime', 'strong', 'ally', 'indianepalfriendship']",5,Pakistan
2020-05-21 23:09:46+00:00,1.2636079498611917e+18,"On one hand, Pakistani doctors do not have sufficient PPE kits and they are getting positive, on other hand, PTI government thru Pakistan Armed Forces gifted a plane loaded with PPE to U.S. Armed Forces as a token of friendship &amp; solidarity  during the COVID-19 pandemic. 😁😁😁😁 https://t.co/0ZQDg2Yzhi",DrAli46300991,Faisalabad punjab,0.0,0.0,0.0,0.0,Resident Orthopaedic surgeon Faisalabad Medical University Faisalabad # OLD Ravian #Proud Shia #,195.0,,on one hand pakistani doctors do not have sufficient ppe kits and they are getting positive on other hand pti government thru pakistan armed forces gifted a plane loaded with ppe to us armed forces as a token of friendship amp solidarity during the covid19 pandemic,"['on', 'one', 'hand', 'pakistani', 'doctors', 'do', 'not', 'have', 'sufficient', 'ppe', 'kits', 'and', 'they', 'are', 'getting', 'positive', 'on', 'other', 'hand', 'pti', 'government', 'thru', 'pakistan', 'armed', 'forces', 'gifted', 'a', 'plane', 'loaded', 'with', 'ppe', 'to', 'us', 'armed', 'forces', 'as', 'a', 'token', 'of', 'friendship', 'amp', 'solidarity', 'during', 'the', 'covid19', 'pandemic']","['one', 'hand', 'pakistani', 'doctors', 'sufficient', 'ppe', 'kits', 'getting', 'positive', 'hand', 'pti', 'government', 'thru', 'pakistan', 'armed', 'forces', 'gifted', 'plane', 'loaded', 'ppe', 'us', 'armed', 'forces', 'token', 'friendship', 'amp', 'solidarity', 'covid19', 'pandemic']","['one', 'hand', 'pakistani', 'doctor', 'suffici', 'ppe', 'kit', 'get', 'posit', 'hand', 'pti', 'govern', 'thru', 'pakistan', 'arm', 'forc', 'gift', 'plane', 'load', 'ppe', 'us', 'arm', 'forc', 'token', 'friendship', 'amp', 'solidar', 'covid19', 'pandem']","['one', 'hand', 'pakistani', 'doctors', 'sufficient', 'ppe', 'kits', 'getting', 'positive', 'hand', 'pti', 'government', 'thru', 'pakistan', 'armed', 'forces', 'gifted', 'plane', 'loaded', 'ppe', 'us', 'armed', 'forces', 'token', 'friendship', 'amp', 'solidarity', 'covid19', 'pandemic']",1,Pakistan
