Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-02 00:13:41+00:00,1532153443200118789,Thank you very much Sir George! @RetiredBroker I received this book from you via Air mail yesterday afternoon all the way from the UK to Singapore! Thanks for sending it to me and this beautiful little airplane gift with it! I really appreciate your kind gesture. 🙏🏼😊 https://t.co/4QAaCJPSQn https://t.co/2mKh5hCZBu,airplanetalk,Singapore,23,3,6,0,"Aviator: 34 yrs flying pistons/turboprop/jets/Seaplane/Aerospace Biz CEO, Anipal to all animals, co-founder Literati Singapore Book club, Sailing. #Catman",1650,,thank you very much sir george i received this book from you via air mail yesterday afternoon all the way from the uk to singapore thanks for sending it to me and this beautiful little airplane gift with it i really appreciate your kind gesture,"['thank', 'you', 'very', 'much', 'sir', 'george', 'i', 'received', 'this', 'book', 'from', 'you', 'via', 'air', 'mail', 'yesterday', 'afternoon', 'all', 'the', 'way', 'from', 'the', 'uk', 'to', 'singapore', 'thanks', 'for', 'sending', 'it', 'to', 'me', 'and', 'this', 'beautiful', 'little', 'airplane', 'gift', 'with', 'it', 'i', 'really', 'appreciate', 'your', 'kind', 'gesture']","['thank', 'much', 'sir', 'george', 'received', 'book', 'via', 'air', 'mail', 'yesterday', 'afternoon', 'way', 'uk', 'singapore', 'thanks', 'sending', 'beautiful', 'little', 'airplane', 'gift', 'really', 'appreciate', 'kind', 'gesture']","['thank', 'much', 'sir', 'georg', 'receiv', 'book', 'via', 'air', 'mail', 'yesterday', 'afternoon', 'way', 'uk', 'singapor', 'thank', 'send', 'beauti', 'littl', 'airplan', 'gift', 'realli', 'appreci', 'kind', 'gestur']","['thank', 'much', 'sir', 'george', 'received', 'book', 'via', 'air', 'mail', 'yesterday', 'afternoon', 'way', 'uk', 'singapore', 'thanks', 'sending', 'beautiful', 'little', 'airplane', 'gift', 'really', 'appreciate', 'kind', 'gesture']",5,Singapore
2020-06-17 08:36:39+00:00,1273172692766777344,#DiscoverAtome and join us in uncovering gems that pops will appreciate because he #DADfinitelyDeservesIt 💖 Download the #AtomeSG app today 🔗 https://t.co/lRTHhwU3kH #Singapore #fathersdaygiftideas https://t.co/9nKFWVkceY,AtomeSg,Singapore,0,1,0,0,"💁🏻‍♀️ More than a new way to pay, welcome to Atome 🛍 Own what you love, at your own time.",9299,"['DiscoverAtome', 'DADfinitelyDeservesIt', 'AtomeSG', 'Singapore', 'fathersdaygiftideas']",discoveratome and join us in uncovering gems that pops will appreciate because he dadfinitelydeservesit download the atomesg app today singapore fathersdaygiftideas,"['discoveratome', 'and', 'join', 'us', 'in', 'uncovering', 'gems', 'that', 'pops', 'will', 'appreciate', 'because', 'he', 'dadfinitelydeservesit', 'download', 'the', 'atomesg', 'app', 'today', 'singapore', 'fathersdaygiftideas']","['discoveratome', 'join', 'us', 'uncovering', 'gems', 'pops', 'appreciate', 'dadfinitelydeservesit', 'download', 'atomesg', 'app', 'today', 'singapore', 'fathersdaygiftideas']","['discoveratom', 'join', 'us', 'uncov', 'gem', 'pop', 'appreci', 'dadfinitelydeservesit', 'download', 'atomesg', 'app', 'today', 'singapor', 'fathersdaygiftidea']","['discoveratome', 'join', 'us', 'uncovering', 'gems', 'pops', 'appreciate', 'dadfinitelydeservesit', 'download', 'atomesg', 'app', 'today', 'singapore', 'fathersdaygiftideas']",5,Singapore
2020-05-16 23:05:27+00:00,1261794923180773377,"Let this pandemic make us appreciate life as a gift and see God’s marvellous masterpiece. 🌇🛫🌏
Praying for everyone’s good health and safety. Have a blessed Sunday. 🙏🏻 @ Singapore https://t.co/yedMQbnTDN",miguelquevedo23,"1.281363,103.802086",0,0,0,0,Faith can move mountains. Trust in the Lord with all your heart. ;-),19,,let this pandemic make us appreciate life as a gift and see gods marvellous masterpiece praying for everyones good health and safety have a blessed sunday singapore,"['let', 'this', 'pandemic', 'make', 'us', 'appreciate', 'life', 'as', 'a', 'gift', 'and', 'see', 'gods', 'marvellous', 'masterpiece', 'praying', 'for', 'everyones', 'good', 'health', 'and', 'safety', 'have', 'a', 'blessed', 'sunday', 'singapore']","['let', 'pandemic', 'make', 'us', 'appreciate', 'life', 'gift', 'see', 'gods', 'marvellous', 'masterpiece', 'praying', 'everyones', 'good', 'health', 'safety', 'blessed', 'sunday', 'singapore']","['let', 'pandem', 'make', 'us', 'appreci', 'life', 'gift', 'see', 'god', 'marvel', 'masterpiec', 'pray', 'everyon', 'good', 'health', 'safeti', 'bless', 'sunday', 'singapor']","['let', 'pandemic', 'make', 'us', 'appreciate', 'life', 'gift', 'see', 'gods', 'marvellous', 'masterpiece', 'praying', 'everyones', 'good', 'health', 'safety', 'blessed', 'sunday', 'singapore']",5,Singapore
2020-01-18 07:19:04+00:00,1218432604199890947,"Thank you very much my love for the birthday gift, I really appreciate it. Ahh Love youuu so muchhhhhhh
💜❤️💙💖💕🧡🤍💚😘
@mimisuarimi  😘😘😘😘😘 @ Singapore https://t.co/pP5LBWrtih",icesutaa,Thailand,0,0,0,0,💜김남준 | 방탄소년단 💜,286,,thank you very much my love for the birthday gift i really appreciate it ahh love youuu so muchhhhhhh singapore,"['thank', 'you', 'very', 'much', 'my', 'love', 'for', 'the', 'birthday', 'gift', 'i', 'really', 'appreciate', 'it', 'ahh', 'love', 'youuu', 'so', 'muchhhhhhh', 'singapore']","['thank', 'much', 'love', 'birthday', 'gift', 'really', 'appreciate', 'ahh', 'love', 'youuu', 'muchhhhhhh', 'singapore']","['thank', 'much', 'love', 'birthday', 'gift', 'realli', 'appreci', 'ahh', 'love', 'youuu', 'muchhhhhhh', 'singapor']","['thank', 'much', 'love', 'birthday', 'gift', 'really', 'appreciate', 'ahh', 'love', 'youuu', 'muchhhhhhh', 'singapore']",5,Singapore
2020-05-03 10:29:23+00:00,1256893609674108928,#makemumsday and show your appreciation by treating her to some well-deserved beauty gifts that are both personal and practical 🥰 Swipe to uncover our picks ➡️ #Singapore https://t.co/kWniQlVgNF,AtomeSg,Singapore,0,0,0,0,"💁🏻‍♀️ More than a new way to pay, welcome to Atome 🛍 Own what you love, at your own time.",9299,"['makemumsday', 'Singapore']",makemumsday and show your appreciation by treating her to some welldeserved beauty gifts that are both personal and practical swipe to uncover our picks singapore,"['makemumsday', 'and', 'show', 'your', 'appreciation', 'by', 'treating', 'her', 'to', 'some', 'welldeserved', 'beauty', 'gifts', 'that', 'are', 'both', 'personal', 'and', 'practical', 'swipe', 'to', 'uncover', 'our', 'picks', 'singapore']","['makemumsday', 'show', 'appreciation', 'treating', 'welldeserved', 'beauty', 'gifts', 'personal', 'practical', 'swipe', 'uncover', 'picks', 'singapore']","['makemumsday', 'show', 'appreci', 'treat', 'welldeserv', 'beauti', 'gift', 'person', 'practic', 'swipe', 'uncov', 'pick', 'singapor']","['makemumsday', 'show', 'appreciation', 'treating', 'welldeserved', 'beauty', 'gifts', 'personal', 'practical', 'swipe', 'uncover', 'picks', 'singapore']",5,Singapore
2020-03-10 15:33:47+00:00,1237401271243403265,"@_SJPeace_ @christianrabusa And establishments like mcdo, give drinks or food to healthcare workers for FREE! I went to mcdonalds wearing my uniform, sabi mam choose any drinks it’s free because you’re a medical staff. Simpleng mga bagay lng to show appreciation sa mga healthcare workers ❤️ 🙏🏻☝🏻🙌🏻👏🏻",iimikay,Singapore,1,1,0,0,Nurse by Fate 👩‍⚕️• Traveller at 🖤 • a ♐️ • my Safehaven 👉🏻 Beach! 🏖 ⛰ ✈️ 🌍,971,,and establishments like mcdo give drinks or food to healthcare workers for free i went to mcdonalds wearing my uniform sabi mam choose any drinks its free because youre a medical staff simpleng mga bagay lng to show appreciation sa mga healthcare workers,"['and', 'establishments', 'like', 'mcdo', 'give', 'drinks', 'or', 'food', 'to', 'healthcare', 'workers', 'for', 'free', 'i', 'went', 'to', 'mcdonalds', 'wearing', 'my', 'uniform', 'sabi', 'mam', 'choose', 'any', 'drinks', 'its', 'free', 'because', 'youre', 'a', 'medical', 'staff', 'simpleng', 'mga', 'bagay', 'lng', 'to', 'show', 'appreciation', 'sa', 'mga', 'healthcare', 'workers']","['establishments', 'like', 'mcdo', 'give', 'drinks', 'food', 'healthcare', 'workers', 'free', 'went', 'mcdonalds', 'wearing', 'uniform', 'sabi', 'mam', 'choose', 'drinks', 'free', 'youre', 'medical', 'staff', 'simpleng', 'mga', 'bagay', 'lng', 'show', 'appreciation', 'sa', 'mga', 'healthcare', 'workers']","['establish', 'like', 'mcdo', 'give', 'drink', 'food', 'healthcar', 'worker', 'free', 'went', 'mcdonald', 'wear', 'uniform', 'sabi', 'mam', 'choos', 'drink', 'free', 'your', 'medic', 'staff', 'simpleng', 'mga', 'bagay', 'lng', 'show', 'appreci', 'sa', 'mga', 'healthcar', 'worker']","['establishments', 'like', 'mcdo', 'give', 'drinks', 'food', 'healthcare', 'workers', 'free', 'went', 'mcdonalds', 'wearing', 'uniform', 'sabi', 'mam', 'choose', 'drinks', 'free', 'youre', 'medical', 'staff', 'simpleng', 'mga', 'bagay', 'lng', 'show', 'appreciation', 'sa', 'mga', 'healthcare', 'workers']",5,Singapore
2020-12-18 10:21:58+00:00,1339878566352351232,Being raised by parents who were both hawkers — this UNESCO award is a wonderful and befitting Christmas gift — not just to Singapore but a personal one. It’s a moving tribute to my parents. Thank you mum and dad. This one is for both of you. https://t.co/pOIK3yavl0,JacquiAlexis,Singapore,4,1,0,0,#Innovation | #DigitalTransformation | #WomenInTech | #CX | Keynote Speaker | #Fintech | Global Most Influential Marketing Leaders 2015,1058,,being raised by parents who were both hawkers this unesco award is a wonderful and befitting christmas gift not just to singapore but a personal one its a moving tribute to my parents thank you mum and dad this one is for both of you,"['being', 'raised', 'by', 'parents', 'who', 'were', 'both', 'hawkers', 'this', 'unesco', 'award', 'is', 'a', 'wonderful', 'and', 'befitting', 'christmas', 'gift', 'not', 'just', 'to', 'singapore', 'but', 'a', 'personal', 'one', 'its', 'a', 'moving', 'tribute', 'to', 'my', 'parents', 'thank', 'you', 'mum', 'and', 'dad', 'this', 'one', 'is', 'for', 'both', 'of', 'you']","['raised', 'parents', 'hawkers', 'unesco', 'award', 'wonderful', 'befitting', 'christmas', 'gift', 'singapore', 'personal', 'one', 'moving', 'tribute', 'parents', 'thank', 'mum', 'dad', 'one']","['rais', 'parent', 'hawker', 'unesco', 'award', 'wonder', 'befit', 'christma', 'gift', 'singapor', 'person', 'one', 'move', 'tribut', 'parent', 'thank', 'mum', 'dad', 'one']","['raised', 'parents', 'hawkers', 'unesco', 'award', 'wonderful', 'befitting', 'christmas', 'gift', 'singapore', 'personal', 'one', 'moving', 'tribute', 'parents', 'thank', 'mum', 'dad', 'one']",5,Singapore
2022-06-01 08:24:58+00:00,1531914691337142272,"📢💥BIG Announcement : Creative Selfie Contest Winner of DAY 1 at APHM 2022

And the Lucky winner is...Ms Quek Choon Yen 🎊🎉
A Big Congratulations from all of us. 👏👏👏

She is the lucky winner to get a PARKSON gift voucher from Nalini Jiva 🎁

#quasrapp #aphm2022 #healthcare",quasrapp,Singapore,0,0,0,0,Turning Incident reporting into Improvements. Patient Safety Solution for Every Hospital,11,"['quasrapp', 'aphm2022', 'healthcare']",big announcement creative selfie contest winner of day 1 at aphm 2022 and the lucky winner isms quek choon yen a big congratulations from all of us she is the lucky winner to get a parkson gift voucher from nalini jiva quasrapp aphm2022 healthcare,"['big', 'announcement', 'creative', 'selfie', 'contest', 'winner', 'of', 'day', '1', 'at', 'aphm', '2022', 'and', 'the', 'lucky', 'winner', 'isms', 'quek', 'choon', 'yen', 'a', 'big', 'congratulations', 'from', 'all', 'of', 'us', 'she', 'is', 'the', 'lucky', 'winner', 'to', 'get', 'a', 'parkson', 'gift', 'voucher', 'from', 'nalini', 'jiva', 'quasrapp', 'aphm2022', 'healthcare']","['big', 'announcement', 'creative', 'selfie', 'contest', 'winner', 'day', '1', 'aphm', '2022', 'lucky', 'winner', 'isms', 'quek', 'choon', 'yen', 'big', 'congratulations', 'us', 'lucky', 'winner', 'get', 'parkson', 'gift', 'voucher', 'nalini', 'jiva', 'quasrapp', 'aphm2022', 'healthcare']","['big', 'announc', 'creativ', 'selfi', 'contest', 'winner', 'day', '1', 'aphm', '2022', 'lucki', 'winner', 'ism', 'quek', 'choon', 'yen', 'big', 'congratul', 'us', 'lucki', 'winner', 'get', 'parkson', 'gift', 'voucher', 'nalini', 'jiva', 'quasrapp', 'aphm2022', 'healthcar']","['big', 'announcement', 'creative', 'selfie', 'contest', 'winner', 'day', '1', 'aphm', '2022', 'lucky', 'winner', 'isms', 'quek', 'choon', 'yen', 'big', 'congratulations', 'us', 'lucky', 'winner', 'get', 'parkson', 'gift', 'voucher', 'nalini', 'jiva', 'quasrapp', 'aphm2022', 'healthcare']",5,Singapore
2022-03-19 07:55:03+00:00,1505090460750020609,@redfieryphoenix I've seen people requesting vouchers for their house warming or even ang pao if their friends want to gift them something and I used to think it was not good but I think it gives people the flexibility on what to do with it.,kosherjellyfish,Singapore!,1,2,0,0,INFP. Scatterbrain. Programmer (mostly Web). Cat-Annoyer. Flexitarian. Expect random tweets because my interests are varied.,960,,ive seen people requesting vouchers for their house warming or even ang pao if their friends want to gift them something and i used to think it was not good but i think it gives people the flexibility on what to do with it,"['ive', 'seen', 'people', 'requesting', 'vouchers', 'for', 'their', 'house', 'warming', 'or', 'even', 'ang', 'pao', 'if', 'their', 'friends', 'want', 'to', 'gift', 'them', 'something', 'and', 'i', 'used', 'to', 'think', 'it', 'was', 'not', 'good', 'but', 'i', 'think', 'it', 'gives', 'people', 'the', 'flexibility', 'on', 'what', 'to', 'do', 'with', 'it']","['ive', 'seen', 'people', 'requesting', 'vouchers', 'house', 'warming', 'even', 'ang', 'pao', 'friends', 'want', 'gift', 'something', 'used', 'think', 'good', 'think', 'gives', 'people', 'flexibility']","['ive', 'seen', 'peopl', 'request', 'voucher', 'hous', 'warm', 'even', 'ang', 'pao', 'friend', 'want', 'gift', 'someth', 'use', 'think', 'good', 'think', 'give', 'peopl', 'flexibl']","['ive', 'seen', 'people', 'requesting', 'vouchers', 'house', 'warming', 'even', 'ang', 'pao', 'friends', 'want', 'gift', 'something', 'used', 'think', 'good', 'think', 'gives', 'people', 'flexibility']",4,Singapore
2020-11-30 14:15:56+00:00,1333414465493028866,Do catch the start of our December Giveaway tmr on IG Live at 8pm with  dynamic duo Aiken and Sylvia as we announce the winner of our 1st giveaway! Head over to our IG story to guess the first brand giving away $2k gift vouchers 👏🏻 #OwnTheMoment #TimeToOwnIt #AtomeHuat #Singapore https://t.co/HifdniSSWI,AtomeSg,Singapore,0,0,0,0,"💁🏻‍♀️ More than a new way to pay, welcome to Atome 🛍 Own what you love, at your own time.",9299,"['OwnTheMoment', 'TimeToOwnIt', 'AtomeHuat', 'Singapore']",do catch the start of our december giveaway tmr on ig live at 8pm with dynamic duo aiken and sylvia as we announce the winner of our 1st giveaway head over to our ig story to guess the first brand giving away 2k gift vouchers ownthemoment timetoownit atomehuat singapore,"['do', 'catch', 'the', 'start', 'of', 'our', 'december', 'giveaway', 'tmr', 'on', 'ig', 'live', 'at', '8pm', 'with', 'dynamic', 'duo', 'aiken', 'and', 'sylvia', 'as', 'we', 'announce', 'the', 'winner', 'of', 'our', '1st', 'giveaway', 'head', 'over', 'to', 'our', 'ig', 'story', 'to', 'guess', 'the', 'first', 'brand', 'giving', 'away', '2k', 'gift', 'vouchers', 'ownthemoment', 'timetoownit', 'atomehuat', 'singapore']","['catch', 'start', 'december', 'giveaway', 'tmr', 'ig', 'live', '8pm', 'dynamic', 'duo', 'aiken', 'sylvia', 'announce', 'winner', '1st', 'giveaway', 'head', 'ig', 'story', 'guess', 'first', 'brand', 'giving', 'away', '2k', 'gift', 'vouchers', 'ownthemoment', 'timetoownit', 'atomehuat', 'singapore']","['catch', 'start', 'decemb', 'giveaway', 'tmr', 'ig', 'live', '8pm', 'dynam', 'duo', 'aiken', 'sylvia', 'announc', 'winner', '1st', 'giveaway', 'head', 'ig', 'stori', 'guess', 'first', 'brand', 'give', 'away', '2k', 'gift', 'voucher', 'ownthemo', 'timetoownit', 'atomehuat', 'singapor']","['catch', 'start', 'december', 'giveaway', 'tmr', 'ig', 'live', '8pm', 'dynamic', 'duo', 'aiken', 'sylvia', 'announce', 'winner', '1st', 'giveaway', 'head', 'ig', 'story', 'guess', 'first', 'brand', 'giving', 'away', '2k', 'gift', 'vouchers', 'ownthemoment', 'timetoownit', 'atomehuat', 'singapore']",1,Singapore
