Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2020-10-27 11:29:15+00:00,1321051327267389443,"Day 2: Received a #quarantine care package today from the Taipei government! 📦 

Filled with snacks and goodies, including masks, of course, for when we are finally free to leave. So, so impressed! 🙌

#Taiwan #COVID19 #QuarantineLife https://t.co/9654qIY0sW",wanderlustwlee,"Taichung, Taiwan",22,4,1,0,Twin Boy Mom - Calm in Chaos | Live Simply. Invest Wisely. Wander Fearlessly. | Places I’ve Called Home: 🇹🇼🇺🇸🇨🇲🇬🇧🇨🇳🇻🇳,3495,"['quarantine', 'Taiwan', 'COVID19', 'QuarantineLife']",day 2 received a quarantine care package today from the taipei government filled with snacks and goodies including masks of course for when we are finally free to leave so so impressed taiwan covid19 quarantinelife,"['day', '2', 'received', 'a', 'quarantine', 'care', 'package', 'today', 'from', 'the', 'taipei', 'government', 'filled', 'with', 'snacks', 'and', 'goodies', 'including', 'masks', 'of', 'course', 'for', 'when', 'we', 'are', 'finally', 'free', 'to', 'leave', 'so', 'so', 'impressed', 'taiwan', 'covid19', 'quarantinelife']","['day', '2', 'received', 'quarantine', 'care', 'package', 'today', 'taipei', 'government', 'filled', 'snacks', 'goodies', 'including', 'masks', 'course', 'finally', 'free', 'leave', 'impressed', 'taiwan', 'covid19', 'quarantinelife']","['day', '2', 'receiv', 'quarantin', 'care', 'packag', 'today', 'taipei', 'govern', 'fill', 'snack', 'goodi', 'includ', 'mask', 'cours', 'final', 'free', 'leav', 'impress', 'taiwan', 'covid19', 'quarantinelif']","['day', '2', 'received', 'quarantine', 'care', 'package', 'today', 'taipei', 'government', 'filled', 'snacks', 'goodies', 'including', 'masks', 'course', 'finally', 'free', 'leave', 'impressed', 'taiwan', 'covid19', 'quarantinelife']",1,Taiwan
2020-10-27 11:29:15+00:00,1321051327267389443,"Day 2: Received a #quarantine care package today from the Taipei government! 📦 

Filled with snacks and goodies, including masks, of course, for when we are finally free to leave. So, so impressed! 🙌

#Taiwan #COVID19 #QuarantineLife https://t.co/9654qIY0sW",wanderlustwlee,"Taichung, Taiwan",22,4,1,0,Twin Boy Mom - Calm in Chaos | Live Simply. Invest Wisely. Wander Fearlessly. | Places I’ve Called Home: 🇹🇼🇺🇸🇨🇲🇬🇧🇨🇳🇻🇳,3495,"['quarantine', 'Taiwan', 'COVID19', 'QuarantineLife']",day 2 received a quarantine care package today from the taipei government filled with snacks and goodies including masks of course for when we are finally free to leave so so impressed taiwan covid19 quarantinelife,"['day', '2', 'received', 'a', 'quarantine', 'care', 'package', 'today', 'from', 'the', 'taipei', 'government', 'filled', 'with', 'snacks', 'and', 'goodies', 'including', 'masks', 'of', 'course', 'for', 'when', 'we', 'are', 'finally', 'free', 'to', 'leave', 'so', 'so', 'impressed', 'taiwan', 'covid19', 'quarantinelife']","['day', '2', 'received', 'quarantine', 'care', 'package', 'today', 'taipei', 'government', 'filled', 'snacks', 'goodies', 'including', 'masks', 'course', 'finally', 'free', 'leave', 'impressed', 'taiwan', 'covid19', 'quarantinelife']","['day', '2', 'receiv', 'quarantin', 'care', 'packag', 'today', 'taipei', 'govern', 'fill', 'snack', 'goodi', 'includ', 'mask', 'cours', 'final', 'free', 'leav', 'impress', 'taiwan', 'covid19', 'quarantinelif']","['day', '2', 'received', 'quarantine', 'care', 'package', 'today', 'taipei', 'government', 'filled', 'snacks', 'goodies', 'including', 'masks', 'course', 'finally', 'free', 'leave', 'impressed', 'taiwan', 'covid19', 'quarantinelife']",1,Taiwan
2022-06-02 14:18:06+00:00,1532365945465106432,"Jisung being the 1st NCT member who tested positive with covid

Beatbox Digipack version understock affecting their album sales

Jisung losing his birthday gift from Mark

Jeno and Chenle diagnosed positive with covid

daming 🚩🚩 ng era na to ✊🥺
pano na ung 1st win nyo 😭",ms_laihan23,Taiwan,8,2,2,0,'98 liner // #Jaemin : Belly buttons are sacred because it's where we got connected to our mothers (*˘︶˘*).。.:*♡ 09|26|2014,1656,,jisung being the 1st nct member who tested positive with covid beatbox digipack version understock affecting their album sales jisung losing his birthday gift from mark jeno and chenle diagnosed positive with covid daming ng era na to pano na ung 1st win nyo,"['jisung', 'being', 'the', '1st', 'nct', 'member', 'who', 'tested', 'positive', 'with', 'covid', 'beatbox', 'digipack', 'version', 'understock', 'affecting', 'their', 'album', 'sales', 'jisung', 'losing', 'his', 'birthday', 'gift', 'from', 'mark', 'jeno', 'and', 'chenle', 'diagnosed', 'positive', 'with', 'covid', 'daming', 'ng', 'era', 'na', 'to', 'pano', 'na', 'ung', '1st', 'win', 'nyo']","['jisung', '1st', 'nct', 'member', 'tested', 'positive', 'covid', 'beatbox', 'digipack', 'version', 'understock', 'affecting', 'album', 'sales', 'jisung', 'losing', 'birthday', 'gift', 'mark', 'jeno', 'chenle', 'diagnosed', 'positive', 'covid', 'daming', 'ng', 'era', 'na', 'pano', 'na', 'ung', '1st', 'win', 'nyo']","['jisung', '1st', 'nct', 'member', 'test', 'posit', 'covid', 'beatbox', 'digipack', 'version', 'understock', 'affect', 'album', 'sale', 'jisung', 'lose', 'birthday', 'gift', 'mark', 'jeno', 'chenl', 'diagnos', 'posit', 'covid', 'dame', 'ng', 'era', 'na', 'pano', 'na', 'ung', '1st', 'win', 'nyo']","['jisung', '1st', 'nct', 'member', 'tested', 'positive', 'covid', 'beatbox', 'digipack', 'version', 'understock', 'affecting', 'album', 'sales', 'jisung', 'losing', 'birthday', 'gift', 'mark', 'jeno', 'chenle', 'diagnosed', 'positive', 'covid', 'daming', 'ng', 'era', 'na', 'pano', 'na', 'ung', '1st', 'win', 'nyo']",1,Taiwan
2020-11-27 02:12:18+00:00,1332145193114423298,Just got a call frm local health monitor to make sure I’m staying in my room. I need to take body temp 2x/day &amp; report to hotel. Case worker will also call 2x/day to track my symptoms if any. Phone has to be on 24/7. She’s sending care package to my room. They don’t play here. 😬,TeslaJoy,"Los Angeles, CA",334,29,5,4,⚡️Zero Emissions. 100% Joy⚡️2018 Silver Metallic LRRWD Model 3🔋#FSDBeta Tester 💃🏻 #TeslaWomen Founder 🇹🇼🇺🇸✝️ Helping new & future Tesla owners through 🎥,20668,,just got a call frm local health monitor to make sure im staying in my room i need to take body temp 2xday amp report to hotel case worker will also call 2xday to track my symptoms if any phone has to be on 247 shes sending care package to my room they dont play here,"['just', 'got', 'a', 'call', 'frm', 'local', 'health', 'monitor', 'to', 'make', 'sure', 'im', 'staying', 'in', 'my', 'room', 'i', 'need', 'to', 'take', 'body', 'temp', '2xday', 'amp', 'report', 'to', 'hotel', 'case', 'worker', 'will', 'also', 'call', '2xday', 'to', 'track', 'my', 'symptoms', 'if', 'any', 'phone', 'has', 'to', 'be', 'on', '247', 'shes', 'sending', 'care', 'package', 'to', 'my', 'room', 'they', 'dont', 'play', 'here']","['got', 'call', 'frm', 'local', 'health', 'monitor', 'make', 'sure', 'im', 'staying', 'room', 'need', 'take', 'body', 'temp', '2xday', 'amp', 'report', 'hotel', 'case', 'worker', 'also', 'call', '2xday', 'track', 'symptoms', 'phone', '247', 'shes', 'sending', 'care', 'package', 'room', 'dont', 'play']","['got', 'call', 'frm', 'local', 'health', 'monitor', 'make', 'sure', 'im', 'stay', 'room', 'need', 'take', 'bodi', 'temp', '2xday', 'amp', 'report', 'hotel', 'case', 'worker', 'also', 'call', '2xday', 'track', 'symptom', 'phone', '247', 'she', 'send', 'care', 'packag', 'room', 'dont', 'play']","['got', 'call', 'frm', 'local', 'health', 'monitor', 'make', 'sure', 'im', 'staying', 'room', 'need', 'take', 'body', 'temp', '2xday', 'amp', 'report', 'hotel', 'case', 'worker', 'also', 'call', '2xday', 'track', 'symptoms', 'phone', '247', 'shes', 'sending', 'care', 'package', 'room', 'dont', 'play']",1,Taiwan
2020-11-29 09:02:49+00:00,1332973276226674689,@chowleen My government care package is identical! But my friendly check in person from “ Health command center” ( really there’s gotta be a less ominous translation) is a Mr. Chen,HelenHsuPsyD,"Stanford, CA",1,3,0,0,"Clinical Psychologist. Educator. Past President, Asian American Psych Assoc. UCLA Bruin at Stanford. Made in Taiwan. she/her/她 Bibliophile. BLM Hella Nor Cal",4807,,my government care package is identical but my friendly check in person from health command center really theres gotta be a less ominous translation is a mr chen,"['my', 'government', 'care', 'package', 'is', 'identical', 'but', 'my', 'friendly', 'check', 'in', 'person', 'from', 'health', 'command', 'center', 'really', 'theres', 'gotta', 'be', 'a', 'less', 'ominous', 'translation', 'is', 'a', 'mr', 'chen']","['government', 'care', 'package', 'identical', 'friendly', 'check', 'person', 'health', 'command', 'center', 'really', 'theres', 'gotta', 'less', 'ominous', 'translation', 'mr', 'chen']","['govern', 'care', 'packag', 'ident', 'friendli', 'check', 'person', 'health', 'command', 'center', 'realli', 'there', 'gotta', 'less', 'omin', 'translat', 'mr', 'chen']","['government', 'care', 'package', 'identical', 'friendly', 'check', 'person', 'health', 'command', 'center', 'really', 'theres', 'gotta', 'less', 'ominous', 'translation', 'mr', 'chen']",3,Taiwan
2020-11-27 02:12:18+00:00,1332145193114423298,Just got a call frm local health monitor to make sure I’m staying in my room. I need to take body temp 2x/day &amp; report to hotel. Case worker will also call 2x/day to track my symptoms if any. Phone has to be on 24/7. She’s sending care package to my room. They don’t play here. 😬,TeslaJoy,"Los Angeles, CA",334,29,5,4,⚡️Zero Emissions. 100% Joy⚡️2018 Silver Metallic LRRWD Model 3🔋#FSDBeta Tester 💃🏻 #TeslaWomen Founder 🇹🇼🇺🇸✝️ Helping new & future Tesla owners through 🎥,20668,,just got a call frm local health monitor to make sure im staying in my room i need to take body temp 2xday amp report to hotel case worker will also call 2xday to track my symptoms if any phone has to be on 247 shes sending care package to my room they dont play here,"['just', 'got', 'a', 'call', 'frm', 'local', 'health', 'monitor', 'to', 'make', 'sure', 'im', 'staying', 'in', 'my', 'room', 'i', 'need', 'to', 'take', 'body', 'temp', '2xday', 'amp', 'report', 'to', 'hotel', 'case', 'worker', 'will', 'also', 'call', '2xday', 'to', 'track', 'my', 'symptoms', 'if', 'any', 'phone', 'has', 'to', 'be', 'on', '247', 'shes', 'sending', 'care', 'package', 'to', 'my', 'room', 'they', 'dont', 'play', 'here']","['got', 'call', 'frm', 'local', 'health', 'monitor', 'make', 'sure', 'im', 'staying', 'room', 'need', 'take', 'body', 'temp', '2xday', 'amp', 'report', 'hotel', 'case', 'worker', 'also', 'call', '2xday', 'track', 'symptoms', 'phone', '247', 'shes', 'sending', 'care', 'package', 'room', 'dont', 'play']","['got', 'call', 'frm', 'local', 'health', 'monitor', 'make', 'sure', 'im', 'stay', 'room', 'need', 'take', 'bodi', 'temp', '2xday', 'amp', 'report', 'hotel', 'case', 'worker', 'also', 'call', '2xday', 'track', 'symptom', 'phone', '247', 'she', 'send', 'care', 'packag', 'room', 'dont', 'play']","['got', 'call', 'frm', 'local', 'health', 'monitor', 'make', 'sure', 'im', 'staying', 'room', 'need', 'take', 'body', 'temp', '2xday', 'amp', 'report', 'hotel', 'case', 'worker', 'also', 'call', '2xday', 'track', 'symptoms', 'phone', '247', 'shes', 'sending', 'care', 'package', 'room', 'dont', 'play']",1,Taiwan
2020-03-18 13:57:20+00:00,1240276103647784960,@theora666 I’ll ship you a care package if you need an emergency resupply! 🤪😘,gu_borui,"Neu-Taipeh Stadt, Taiwan",2,1,0,0,"Indiana-born and raised, but Berliner at heart and Taiwan is home. 我愛臺灣！#screamingfirehawks 🌎🚀 🇺🇸❤️🇹🇼 @arisvarton is stuck with me now. 👨🏼‍🤝‍👨🏻",342,,ill ship you a care package if you need an emergency resupply,"['ill', 'ship', 'you', 'a', 'care', 'package', 'if', 'you', 'need', 'an', 'emergency', 'resupply']","['ill', 'ship', 'care', 'package', 'need', 'emergency', 'resupply']","['ill', 'ship', 'care', 'packag', 'need', 'emerg', 'resuppli']","['ill', 'ship', 'care', 'package', 'need', 'emergency', 'resupply']",1,Taiwan
2020-08-26 09:00:56+00:00,1298545954501660673,Thank you @jasminesokko for sending this sweet gift from Singapore! Love it so much Cos my face looks so small!! 🤣🤣 #jasminesokko #mask #keepsafestaypositive #warnerchappellasiapac 📷: @chaosanita @ 華納音樂 https://t.co/sDtjYiNKd1,jessica420_80,"Taipei, Taiwan",0,0,0,0,"Based in Taipei, Taiwan. Foodie, traveller, music lover, movie addict, green thumb and a bit of fiction reader.",103,"['jasminesokko', 'mask', 'keepsafestaypositive', 'warnerchappellasiapac']",thank you for sending this sweet gift from singapore love it so much cos my face looks so small jasminesokko mask keepsafestaypositive warnerchappellasiapac,"['thank', 'you', 'for', 'sending', 'this', 'sweet', 'gift', 'from', 'singapore', 'love', 'it', 'so', 'much', 'cos', 'my', 'face', 'looks', 'so', 'small', 'jasminesokko', 'mask', 'keepsafestaypositive', 'warnerchappellasiapac']","['thank', 'sending', 'sweet', 'gift', 'singapore', 'love', 'much', 'cos', 'face', 'looks', 'small', 'jasminesokko', 'mask', 'keepsafestaypositive', 'warnerchappellasiapac']","['thank', 'send', 'sweet', 'gift', 'singapor', 'love', 'much', 'co', 'face', 'look', 'small', 'jasminesokko', 'mask', 'keepsafestayposit', 'warnerchappellasiapac']","['thank', 'sending', 'sweet', 'gift', 'singapore', 'love', 'much', 'cos', 'face', 'looks', 'small', 'jasminesokko', 'mask', 'keepsafestaypositive', 'warnerchappellasiapac']",5,Taiwan
2020-08-26 09:00:56+00:00,1298545954501660673,Thank you @jasminesokko for sending this sweet gift from Singapore! Love it so much Cos my face looks so small!! 🤣🤣 #jasminesokko #mask #keepsafestaypositive #warnerchappellasiapac 📷: @chaosanita @ 華納音樂 https://t.co/sDtjYiNKd1,jessica420_80,"Taipei, Taiwan",0,0,0,0,"Based in Taipei, Taiwan. Foodie, traveller, music lover, movie addict, green thumb and a bit of fiction reader.",103,"['jasminesokko', 'mask', 'keepsafestaypositive', 'warnerchappellasiapac']",thank you for sending this sweet gift from singapore love it so much cos my face looks so small jasminesokko mask keepsafestaypositive warnerchappellasiapac,"['thank', 'you', 'for', 'sending', 'this', 'sweet', 'gift', 'from', 'singapore', 'love', 'it', 'so', 'much', 'cos', 'my', 'face', 'looks', 'so', 'small', 'jasminesokko', 'mask', 'keepsafestaypositive', 'warnerchappellasiapac']","['thank', 'sending', 'sweet', 'gift', 'singapore', 'love', 'much', 'cos', 'face', 'looks', 'small', 'jasminesokko', 'mask', 'keepsafestaypositive', 'warnerchappellasiapac']","['thank', 'send', 'sweet', 'gift', 'singapor', 'love', 'much', 'co', 'face', 'look', 'small', 'jasminesokko', 'mask', 'keepsafestayposit', 'warnerchappellasiapac']","['thank', 'sending', 'sweet', 'gift', 'singapore', 'love', 'much', 'cos', 'face', 'looks', 'small', 'jasminesokko', 'mask', 'keepsafestaypositive', 'warnerchappellasiapac']",5,Taiwan
2020-10-27 11:29:15+00:00,1321051327267389443,"Day 2: Received a #quarantine care package today from the Taipei government! 📦 

Filled with snacks and goodies, including masks, of course, for when we are finally free to leave. So, so impressed! 🙌

#Taiwan #COVID19 #QuarantineLife https://t.co/9654qIY0sW",wanderlustwlee,"Taichung, Taiwan",22,4,1,0,Twin Boy Mom - Calm in Chaos | Live Simply. Invest Wisely. Wander Fearlessly. | Places I’ve Called Home: 🇹🇼🇺🇸🇨🇲🇬🇧🇨🇳🇻🇳,3495,"['quarantine', 'Taiwan', 'COVID19', 'QuarantineLife']",day 2 received a quarantine care package today from the taipei government filled with snacks and goodies including masks of course for when we are finally free to leave so so impressed taiwan covid19 quarantinelife,"['day', '2', 'received', 'a', 'quarantine', 'care', 'package', 'today', 'from', 'the', 'taipei', 'government', 'filled', 'with', 'snacks', 'and', 'goodies', 'including', 'masks', 'of', 'course', 'for', 'when', 'we', 'are', 'finally', 'free', 'to', 'leave', 'so', 'so', 'impressed', 'taiwan', 'covid19', 'quarantinelife']","['day', '2', 'received', 'quarantine', 'care', 'package', 'today', 'taipei', 'government', 'filled', 'snacks', 'goodies', 'including', 'masks', 'course', 'finally', 'free', 'leave', 'impressed', 'taiwan', 'covid19', 'quarantinelife']","['day', '2', 'receiv', 'quarantin', 'care', 'packag', 'today', 'taipei', 'govern', 'fill', 'snack', 'goodi', 'includ', 'mask', 'cours', 'final', 'free', 'leav', 'impress', 'taiwan', 'covid19', 'quarantinelif']","['day', '2', 'received', 'quarantine', 'care', 'package', 'today', 'taipei', 'government', 'filled', 'snacks', 'goodies', 'including', 'masks', 'course', 'finally', 'free', 'leave', 'impressed', 'taiwan', 'covid19', 'quarantinelife']",1,Taiwan
