Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-03 16:48:10+00:00,1532766102496825344,"Madam, I very much appreciate your support during this adversity !!! https://t.co/LzH4XKHgdp",rajukalita666,"Guwahati, India",9,0,4,0,Cop by profession ! Antagonist to violence ! A keen learner ! A Tech-savvy ! A Music lover ! @CrimeBranchGhy ! @GuwahatiPol ! @assampolice !,507,,madam i very much appreciate your support during this adversity,"['madam', 'i', 'very', 'much', 'appreciate', 'your', 'support', 'during', 'this', 'adversity']","['madam', 'much', 'appreciate', 'support', 'adversity']","['madam', 'much', 'appreci', 'support', 'advers']","['madam', 'much', 'appreciate', 'support', 'adversity']",5,China
2022-06-02 05:05:58+00:00,1532226997761757186,"Aniii anii you are one of the best and amazing person thank u for being there and existing you always supported me n I appreciate that thanks for everything u did for me 🥺😭❤❤
Lots of happiness for u ❤❤ 
@Aniketbatra222 https://t.co/AsPmbHPndj",VibeWith_avuu_,bhoot bangla,1,2,1,0,𝘿𝙤𝙣'𝙩 𝙡𝙚𝙩 𝙩𝙝𝙚 𝙨𝙖𝙙𝙣𝙚𝙨𝙨 𝙤𝙛 𝙮𝙤𝙪𝙧 𝙥𝙖𝙨𝙩 𝙧𝙪𝙞𝙣 𝙮𝙤𝙪𝙧 𝙝𝙖𝙥𝙥𝙮 𝙢𝙤𝙢𝙚𝙣𝙩𝙨 𝙤𝙛 𝙥𝙧𝙚𝙨𝙚𝙣𝙩......... #BTSARMY 🥺💜,965,,aniii anii you are one of the best and amazing person thank u for being there and existing you always supported me n i appreciate that thanks for everything u did for me lots of happiness for u,"['aniii', 'anii', 'you', 'are', 'one', 'of', 'the', 'best', 'and', 'amazing', 'person', 'thank', 'u', 'for', 'being', 'there', 'and', 'existing', 'you', 'always', 'supported', 'me', 'n', 'i', 'appreciate', 'that', 'thanks', 'for', 'everything', 'u', 'did', 'for', 'me', 'lots', 'of', 'happiness', 'for', 'u']","['aniii', 'anii', 'one', 'best', 'amazing', 'person', 'thank', 'u', 'existing', 'always', 'supported', 'n', 'appreciate', 'thanks', 'everything', 'u', 'lots', 'happiness', 'u']","['aniii', 'anii', 'one', 'best', 'amaz', 'person', 'thank', 'u', 'exist', 'alway', 'support', 'n', 'appreci', 'thank', 'everyth', 'u', 'lot', 'happi', 'u']","['aniii', 'anii', 'one', 'best', 'amazing', 'person', 'thank', 'u', 'existing', 'always', 'supported', 'n', 'appreciate', 'thanks', 'everything', 'u', 'lots', 'happiness', 'u']",5,China
2022-06-02 04:17:32+00:00,1532214811693826048,"I need some time to recover and recharge, and then to actually go for what I want. This might be the major turning point for me. Thank you all for the support and understanding and patience, I really appreciate it🙏♥️",zoeyneedswhisky,Taiwan,12,5,0,0,@zoeychuan ‘s fanart account / 30 / Taiwan / 雜食 / Pro ship / nsfw: @AwayZoey / open for kofi doodles 👉 ko-fi.com/zoeychuan,4801,,i need some time to recover and recharge and then to actually go for what i want this might be the major turning point for me thank you all for the support and understanding and patience i really appreciate it,"['i', 'need', 'some', 'time', 'to', 'recover', 'and', 'recharge', 'and', 'then', 'to', 'actually', 'go', 'for', 'what', 'i', 'want', 'this', 'might', 'be', 'the', 'major', 'turning', 'point', 'for', 'me', 'thank', 'you', 'all', 'for', 'the', 'support', 'and', 'understanding', 'and', 'patience', 'i', 'really', 'appreciate', 'it']","['need', 'time', 'recover', 'recharge', 'actually', 'go', 'want', 'might', 'major', 'turning', 'point', 'thank', 'support', 'understanding', 'patience', 'really', 'appreciate']","['need', 'time', 'recov', 'recharg', 'actual', 'go', 'want', 'might', 'major', 'turn', 'point', 'thank', 'support', 'understand', 'patienc', 'realli', 'appreci']","['need', 'time', 'recover', 'recharge', 'actually', 'go', 'want', 'might', 'major', 'turning', 'point', 'thank', 'support', 'understanding', 'patience', 'really', 'appreciate']",4,China
2022-06-01 17:05:26+00:00,1532045670043238400,"@PapaPicklez @yungeckhart @MoshiMochiNFT @M33NJi @DoctorEthereum @KrybbonsNFT @wearethefoos Thanks, Picklez! I really appreciate your support so much! I hope others you love it as much as you will find it 🙏",MattBurnsComics,South Korea,1,0,0,0,"New dad / teacher / Artist 
Creator of the Webtoon and ETH NFT collection, 🦇 Franklin the Vampire 🦇
foundation.app/@MatthewBurns
mattburns.tez",737,,thanks picklez i really appreciate your support so much i hope others you love it as much as you will find it,"['thanks', 'picklez', 'i', 'really', 'appreciate', 'your', 'support', 'so', 'much', 'i', 'hope', 'others', 'you', 'love', 'it', 'as', 'much', 'as', 'you', 'will', 'find', 'it']","['thanks', 'picklez', 'really', 'appreciate', 'support', 'much', 'hope', 'others', 'love', 'much', 'find']","['thank', 'picklez', 'realli', 'appreci', 'support', 'much', 'hope', 'other', 'love', 'much', 'find']","['thanks', 'picklez', 'really', 'appreciate', 'support', 'much', 'hope', 'others', 'love', 'much', 'find']",5,China
2022-06-01 11:23:45+00:00,1531959682344026112,"@AlexMAdams2 I've gone back to NMS. Because @hellogames cares about their player base. They care about the needs and wishes of the community and hold the Game up runnin.
Even its it's a very small studio they do a great work.
I appreciate this and it's definitely worth supporting. And after",ReallyALotNames,Sol,2,1,0,0,01000110 01110101 01100011 01101011 00100000 01101001 01110100,92,,ive gone back to nms because cares about their player base they care about the needs and wishes of the community and hold the game up runnin even its its a very small studio they do a great work i appreciate this and its definitely worth supporting and after,"['ive', 'gone', 'back', 'to', 'nms', 'because', 'cares', 'about', 'their', 'player', 'base', 'they', 'care', 'about', 'the', 'needs', 'and', 'wishes', 'of', 'the', 'community', 'and', 'hold', 'the', 'game', 'up', 'runnin', 'even', 'its', 'its', 'a', 'very', 'small', 'studio', 'they', 'do', 'a', 'great', 'work', 'i', 'appreciate', 'this', 'and', 'its', 'definitely', 'worth', 'supporting', 'and', 'after']","['ive', 'gone', 'back', 'nms', 'cares', 'player', 'base', 'care', 'needs', 'wishes', 'community', 'hold', 'game', 'runnin', 'even', 'small', 'studio', 'great', 'work', 'appreciate', 'definitely', 'worth', 'supporting']","['ive', 'gone', 'back', 'nm', 'care', 'player', 'base', 'care', 'need', 'wish', 'commun', 'hold', 'game', 'runnin', 'even', 'small', 'studio', 'great', 'work', 'appreci', 'definit', 'worth', 'support']","['ive', 'gone', 'back', 'nms', 'cares', 'player', 'base', 'care', 'needs', 'wishes', 'community', 'hold', 'game', 'runnin', 'even', 'small', 'studio', 'great', 'work', 'appreciate', 'definitely', 'worth', 'supporting']",5,China
2022-05-31 12:31:22+00:00,1531614309604016131,"@MEXC_Global @Lyons_800 @VRYNT_ Thank you for giving..
We appreciate and always here to support 💪.
@Lucky_0736
@Lokmangp64
@Jisan9393",Jahin0031,"Jessore, Bangladesh",0,0,0,0,"job
#facebook",464,,thank you for giving we appreciate and always here to support,"['thank', 'you', 'for', 'giving', 'we', 'appreciate', 'and', 'always', 'here', 'to', 'support']","['thank', 'giving', 'appreciate', 'always', 'support']","['thank', 'give', 'appreci', 'alway', 'support']","['thank', 'giving', 'appreciate', 'always', 'support']",5,China
2022-05-30 15:24:36+00:00,1531295517241581569,"You deserve all the love and support from us Stephanie. We love you, we appreciate you for being so real. Sana madaming projects dumating sayo to the point na you will have no time to go back to NZ. It will be hard but it will worth it.🌙🍀

#StephanieJordan https://t.co/p3KwUie1WJ",queenthings01,"Keelung City, Taiwan",3,0,0,0,@alexailacad @stepphaniejordn #kdlex #benlex #shailex #dustphan #robnie #paosteph #lukesteph #maxsteph #stetiff basta may Alexa at Stephanie support!!!,1133,['StephanieJordan'],you deserve all the love and support from us stephanie we love you we appreciate you for being so real sana madaming projects dumating sayo to the point na you will have no time to go back to nz it will be hard but it will worth it stephaniejordan,"['you', 'deserve', 'all', 'the', 'love', 'and', 'support', 'from', 'us', 'stephanie', 'we', 'love', 'you', 'we', 'appreciate', 'you', 'for', 'being', 'so', 'real', 'sana', 'madaming', 'projects', 'dumating', 'sayo', 'to', 'the', 'point', 'na', 'you', 'will', 'have', 'no', 'time', 'to', 'go', 'back', 'to', 'nz', 'it', 'will', 'be', 'hard', 'but', 'it', 'will', 'worth', 'it', 'stephaniejordan']","['deserve', 'love', 'support', 'us', 'stephanie', 'love', 'appreciate', 'real', 'sana', 'madaming', 'projects', 'dumating', 'sayo', 'point', 'na', 'time', 'go', 'back', 'nz', 'hard', 'worth', 'stephaniejordan']","['deserv', 'love', 'support', 'us', 'stephani', 'love', 'appreci', 'real', 'sana', 'madam', 'project', 'dumat', 'sayo', 'point', 'na', 'time', 'go', 'back', 'nz', 'hard', 'worth', 'stephaniejordan']","['deserve', 'love', 'support', 'us', 'stephanie', 'love', 'appreciate', 'real', 'sana', 'madaming', 'projects', 'dumating', 'sayo', 'point', 'na', 'time', 'go', 'back', 'nz', 'hard', 'worth', 'stephaniejordan']",5,China
2022-05-30 15:24:10+00:00,1531295411570257920,"@stepphaniejordn You deserve all the love and support from us Stephanie. We love you, we appreciate you for being so real. Sana madaming projects dumating sayo to the point na you will have no time to go back to NZ. It will be hard but it will worth it.🌙🍀

#StephanieJordan",queenthings01,"Keelung City, Taiwan",0,0,0,0,@alexailacad @stepphaniejordn #kdlex #benlex #shailex #dustphan #robnie #paosteph #lukesteph #maxsteph #stetiff basta may Alexa at Stephanie support!!!,1133,['StephanieJordan'],you deserve all the love and support from us stephanie we love you we appreciate you for being so real sana madaming projects dumating sayo to the point na you will have no time to go back to nz it will be hard but it will worth it stephaniejordan,"['you', 'deserve', 'all', 'the', 'love', 'and', 'support', 'from', 'us', 'stephanie', 'we', 'love', 'you', 'we', 'appreciate', 'you', 'for', 'being', 'so', 'real', 'sana', 'madaming', 'projects', 'dumating', 'sayo', 'to', 'the', 'point', 'na', 'you', 'will', 'have', 'no', 'time', 'to', 'go', 'back', 'to', 'nz', 'it', 'will', 'be', 'hard', 'but', 'it', 'will', 'worth', 'it', 'stephaniejordan']","['deserve', 'love', 'support', 'us', 'stephanie', 'love', 'appreciate', 'real', 'sana', 'madaming', 'projects', 'dumating', 'sayo', 'point', 'na', 'time', 'go', 'back', 'nz', 'hard', 'worth', 'stephaniejordan']","['deserv', 'love', 'support', 'us', 'stephani', 'love', 'appreci', 'real', 'sana', 'madam', 'project', 'dumat', 'sayo', 'point', 'na', 'time', 'go', 'back', 'nz', 'hard', 'worth', 'stephaniejordan']","['deserve', 'love', 'support', 'us', 'stephanie', 'love', 'appreciate', 'real', 'sana', 'madaming', 'projects', 'dumating', 'sayo', 'point', 'na', 'time', 'go', 'back', 'nz', 'hard', 'worth', 'stephaniejordan']",5,China
2022-05-30 07:59:45+00:00,1531183570135687170,"In order to appreciate your support and trust all of time, we specially launch the ""3 for 2"" #promotion for #Qingliyasi skin care set. 
Time limits！ Click the link below to join in:
Pic1: https://t.co/iwXTEdvi3y
Pic2: https://t.co/NgZ0kpcz2T
Pic3: https://t.co/82uzzxO9vi https://t.co/1gGvVJ4KQq",ZJTherapy,China,1,0,1,0,"ZJ (Zhang Jian) Ichthyosis Therapy is clinically cured ichthyosis by TCM fumigation.
Email：tongsen329@gmail.com
#ZhangjianTherapy#ichthyosisvulgaristreatment",834,"['promotion', 'Qingliyasi']",in order to appreciate your support and trust all of time we specially launch the 3 for 2 promotion for qingliyasi skin care set time limits click the link below to join in pic1 pic2 pic3,"['in', 'order', 'to', 'appreciate', 'your', 'support', 'and', 'trust', 'all', 'of', 'time', 'we', 'specially', 'launch', 'the', '3', 'for', '2', 'promotion', 'for', 'qingliyasi', 'skin', 'care', 'set', 'time', 'limits', 'click', 'the', 'link', 'below', 'to', 'join', 'in', 'pic1', 'pic2', 'pic3']","['order', 'appreciate', 'support', 'trust', 'time', 'specially', 'launch', '3', '2', 'promotion', 'qingliyasi', 'skin', 'care', 'set', 'time', 'limits', 'click', 'link', 'join', 'pic1', 'pic2', 'pic3']","['order', 'appreci', 'support', 'trust', 'time', 'special', 'launch', '3', '2', 'promot', 'qingliyasi', 'skin', 'care', 'set', 'time', 'limit', 'click', 'link', 'join', 'pic1', 'pic2', 'pic3']","['order', 'appreciate', 'support', 'trust', 'time', 'specially', 'launch', '3', '2', 'promotion', 'qingliyasi', 'skin', 'care', 'set', 'time', 'limits', 'click', 'link', 'join', 'pic1', 'pic2', 'pic3']",5,China
2021-12-24 01:05:14+00:00,1474184356550025220,"I sincerely appreciate your support and interest for me during this year! I hope you will have warm and healthy end of the year! I will repay you with a artpiece that evolved even a little bit. Merry Christmas and Healthy new year!!~~🐬

#ykim #YoungsungKim #Hyperrealism https://t.co/u4PQH12Wi1",100vun,,48,5,10,1,Artist,3908,"['ykim', 'YoungsungKim', 'Hyperrealism']",i sincerely appreciate your support and interest for me during this year i hope you will have warm and healthy end of the year i will repay you with a artpiece that evolved even a little bit merry christmas and healthy new year ykim youngsungkim hyperrealism,"['i', 'sincerely', 'appreciate', 'your', 'support', 'and', 'interest', 'for', 'me', 'during', 'this', 'year', 'i', 'hope', 'you', 'will', 'have', 'warm', 'and', 'healthy', 'end', 'of', 'the', 'year', 'i', 'will', 'repay', 'you', 'with', 'a', 'artpiece', 'that', 'evolved', 'even', 'a', 'little', 'bit', 'merry', 'christmas', 'and', 'healthy', 'new', 'year', 'ykim', 'youngsungkim', 'hyperrealism']","['sincerely', 'appreciate', 'support', 'interest', 'year', 'hope', 'warm', 'healthy', 'end', 'year', 'repay', 'artpiece', 'evolved', 'even', 'little', 'bit', 'merry', 'christmas', 'healthy', 'new', 'year', 'ykim', 'youngsungkim', 'hyperrealism']","['sincer', 'appreci', 'support', 'interest', 'year', 'hope', 'warm', 'healthi', 'end', 'year', 'repay', 'artpiec', 'evolv', 'even', 'littl', 'bit', 'merri', 'christma', 'healthi', 'new', 'year', 'ykim', 'youngsungkim', 'hyperr']","['sincerely', 'appreciate', 'support', 'interest', 'year', 'hope', 'warm', 'healthy', 'end', 'year', 'repay', 'artpiece', 'evolved', 'even', 'little', 'bit', 'merry', 'christmas', 'healthy', 'new', 'year', 'ykim', 'youngsungkim', 'hyperrealism']",5,China
