Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-04 11:31:42+00:00,1533048846586109952,"If you are enjoying my content, consider supporting me on Ko-fi. I appreciate each coffee from you!☕️

https://t.co/T0TLZv3Gpl",DavidCRicardo,Portugal,3,0,1,0,"Indie #GameDev on Free Times with @UnrealEngine 🎮
Ko-fi: ko-fi.com/davidcricardo",515,,if you are enjoying my content consider supporting me on kofi i appreciate each coffee from you,"['if', 'you', 'are', 'enjoying', 'my', 'content', 'consider', 'supporting', 'me', 'on', 'kofi', 'i', 'appreciate', 'each', 'coffee', 'from', 'you']","['enjoying', 'content', 'consider', 'supporting', 'kofi', 'appreciate', 'coffee']","['enjoy', 'content', 'consid', 'support', 'kofi', 'appreci', 'coffe']","['enjoying', 'content', 'consider', 'supporting', 'kofi', 'appreciate', 'coffee']",4,Colombia
2022-01-21 16:23:37+00:00,1484562336182681602,@walasavagephoto Good morning I would appreciate any support to my photos 🙏📸✌️🇨🇦🔥 https://t.co/NcPtZNv7f0,Superfabo07,Worldwide,7,0,1,0,"안녕하세요?👋 I'm an enthusiastic #Photographer, curious by nature. instagram.com/superfabo007",134,,good morning i would appreciate any support to my photos,"['good', 'morning', 'i', 'would', 'appreciate', 'any', 'support', 'to', 'my', 'photos']","['good', 'morning', 'would', 'appreciate', 'support', 'photos']","['good', 'morn', 'would', 'appreci', 'support', 'photo']","['good', 'morning', 'would', 'appreciate', 'support', 'photos']",3,Colombia
2020-02-07 01:10:50+00:00,1225587692710375424,"Update: thank you guys all for your support, I really appreciate it. The vet is coming Saturday morning, and tomorrow we asked the landscapers (who were coming anyway) to dig a grave in the side garden, where there is some space. Here he is getting a tum scratch &amp; a kitty boop https://t.co/CrqmE65UgD",riordainn,"Boquete, Panama",57,8,0,0,"I am not a member of your political party. From New York/Panama, studying data science and math at @snhu. I am very quick to block.",1510,,update thank you guys all for your support i really appreciate it the vet is coming saturday morning and tomorrow we asked the landscapers who were coming anyway to dig a grave in the side garden where there is some space here he is getting a tum scratch amp a kitty boop,"['update', 'thank', 'you', 'guys', 'all', 'for', 'your', 'support', 'i', 'really', 'appreciate', 'it', 'the', 'vet', 'is', 'coming', 'saturday', 'morning', 'and', 'tomorrow', 'we', 'asked', 'the', 'landscapers', 'who', 'were', 'coming', 'anyway', 'to', 'dig', 'a', 'grave', 'in', 'the', 'side', 'garden', 'where', 'there', 'is', 'some', 'space', 'here', 'he', 'is', 'getting', 'a', 'tum', 'scratch', 'amp', 'a', 'kitty', 'boop']","['update', 'thank', 'guys', 'support', 'really', 'appreciate', 'vet', 'coming', 'saturday', 'morning', 'tomorrow', 'asked', 'landscapers', 'coming', 'anyway', 'dig', 'grave', 'side', 'garden', 'space', 'getting', 'tum', 'scratch', 'amp', 'kitty', 'boop']","['updat', 'thank', 'guy', 'support', 'realli', 'appreci', 'vet', 'come', 'saturday', 'morn', 'tomorrow', 'ask', 'landscap', 'come', 'anyway', 'dig', 'grave', 'side', 'garden', 'space', 'get', 'tum', 'scratch', 'amp', 'kitti', 'boop']","['update', 'thank', 'guys', 'support', 'really', 'appreciate', 'vet', 'coming', 'saturday', 'morning', 'tomorrow', 'asked', 'landscapers', 'coming', 'anyway', 'dig', 'grave', 'side', 'garden', 'space', 'getting', 'tum', 'scratch', 'amp', 'kitty', 'boop']",4,Colombia
2022-06-01 06:27:52+00:00,1531885223054651392,"Remember kids, when a corporation uses an LGBT version of their logo in social media or launches a support campaign for pride month, that doesn't mean they care about you, most of the time is the contrary. https://t.co/Iu4mo9wj2R",CoffeeMapachi,"Medellín, Colombia",2,0,0,0,"🇻🇪 (Eng/Spa) Draws and makes 3D stuff sometimes, ☕ addict and meme stealer. Definitely a furry.",36,,remember kids when a corporation uses an lgbt version of their logo in social media or launches a support campaign for pride month that doesnt mean they care about you most of the time is the contrary,"['remember', 'kids', 'when', 'a', 'corporation', 'uses', 'an', 'lgbt', 'version', 'of', 'their', 'logo', 'in', 'social', 'media', 'or', 'launches', 'a', 'support', 'campaign', 'for', 'pride', 'month', 'that', 'doesnt', 'mean', 'they', 'care', 'about', 'you', 'most', 'of', 'the', 'time', 'is', 'the', 'contrary']","['remember', 'kids', 'corporation', 'uses', 'lgbt', 'version', 'logo', 'social', 'media', 'launches', 'support', 'campaign', 'pride', 'month', 'doesnt', 'mean', 'care', 'time', 'contrary']","['rememb', 'kid', 'corpor', 'use', 'lgbt', 'version', 'logo', 'social', 'media', 'launch', 'support', 'campaign', 'pride', 'month', 'doesnt', 'mean', 'care', 'time', 'contrari']","['remember', 'kids', 'corporation', 'uses', 'lgbt', 'version', 'logo', 'social', 'media', 'launches', 'support', 'campaign', 'pride', 'month', 'doesnt', 'mean', 'care', 'time', 'contrary']",1,Colombia
2022-06-01 12:43:38+00:00,1531979784535912450,"@kevin_K_Daddy 1. No border laws being ignored
2. Biden has never supported defunding the police
3. Trump pardoned many convicted felons. More than any previous president.
4. Don't know where you got your data about COVID spending. A Martian?
5. The NRA owns the GOP. And that is killing kids.",CitrusGator01,Nature Coast of Florida,0,0,0,0,Enjoying the life of the nature coast of Florida.,37,,1 no border laws being ignored 2 biden has never supported defunding the police 3 trump pardoned many convicted felons more than any previous president 4 dont know where you got your data about covid spending a martian 5 the nra owns the gop and that is killing kids,"['1', 'no', 'border', 'laws', 'being', 'ignored', '2', 'biden', 'has', 'never', 'supported', 'defunding', 'the', 'police', '3', 'trump', 'pardoned', 'many', 'convicted', 'felons', 'more', 'than', 'any', 'previous', 'president', '4', 'dont', 'know', 'where', 'you', 'got', 'your', 'data', 'about', 'covid', 'spending', 'a', 'martian', '5', 'the', 'nra', 'owns', 'the', 'gop', 'and', 'that', 'is', 'killing', 'kids']","['1', 'border', 'laws', 'ignored', '2', 'biden', 'never', 'supported', 'defunding', 'police', '3', 'trump', 'pardoned', 'many', 'convicted', 'felons', 'previous', 'president', '4', 'dont', 'know', 'got', 'data', 'covid', 'spending', 'martian', '5', 'nra', 'owns', 'gop', 'killing', 'kids']","['1', 'border', 'law', 'ignor', '2', 'biden', 'never', 'support', 'defund', 'polic', '3', 'trump', 'pardon', 'mani', 'convict', 'felon', 'previou', 'presid', '4', 'dont', 'know', 'got', 'data', 'covid', 'spend', 'martian', '5', 'nra', 'own', 'gop', 'kill', 'kid']","['1', 'border', 'laws', 'ignored', '2', 'biden', 'never', 'supported', 'defunding', 'police', '3', 'trump', 'pardoned', 'many', 'convicted', 'felons', 'previous', 'president', '4', 'dont', 'know', 'got', 'data', 'covid', 'spending', 'martian', '5', 'nra', 'owns', 'gop', 'killing', 'kids']",1,Colombia
2022-05-31 16:24:50+00:00,1531673063087128578,"5/ During Covid, rural communities were cut off from health services, incentives for vaccines dropped off, &amp; disinformation from right-wing President Jair Bolsonaro saying the Covid vaccine kills children rippled to other vaccines. Some of what he's said: https://t.co/2OMXZvqYA9",meganjanetsky,"Bogotá, Colombia",0,1,0,0,"Journalist covering Latin America | Work for @NatGeo, @nytimes, @washingtonpost, @BBCWorld, @Reuters | @IWMF fellow | Chisme to: meganjanetsky@gmail.com 🏳️‍🌈",6368,,5 during covid rural communities were cut off from health services incentives for vaccines dropped off amp disinformation from rightwing president jair bolsonaro saying the covid vaccine kills children rippled to other vaccines some of what hes said,"['5', 'during', 'covid', 'rural', 'communities', 'were', 'cut', 'off', 'from', 'health', 'services', 'incentives', 'for', 'vaccines', 'dropped', 'off', 'amp', 'disinformation', 'from', 'rightwing', 'president', 'jair', 'bolsonaro', 'saying', 'the', 'covid', 'vaccine', 'kills', 'children', 'rippled', 'to', 'other', 'vaccines', 'some', 'of', 'what', 'hes', 'said']","['5', 'covid', 'rural', 'communities', 'cut', 'health', 'services', 'incentives', 'vaccines', 'dropped', 'amp', 'disinformation', 'rightwing', 'president', 'jair', 'bolsonaro', 'saying', 'covid', 'vaccine', 'kills', 'children', 'rippled', 'vaccines', 'hes', 'said']","['5', 'covid', 'rural', 'commun', 'cut', 'health', 'servic', 'incent', 'vaccin', 'drop', 'amp', 'disinform', 'rightw', 'presid', 'jair', 'bolsonaro', 'say', 'covid', 'vaccin', 'kill', 'children', 'rippl', 'vaccin', 'he', 'said']","['5', 'covid', 'rural', 'communities', 'cut', 'health', 'services', 'incentives', 'vaccines', 'dropped', 'amp', 'disinformation', 'rightwing', 'president', 'jair', 'bolsonaro', 'saying', 'covid', 'vaccine', 'kills', 'children', 'rippled', 'vaccines', 'hes', 'said']",1,Colombia
2021-03-05 01:21:09+00:00,1367646330471018503,"When will Trump supporters FINALLY get it? Former Guy &amp;his very wealthy cronies just couldn't give shit for you or your families. He gave a massive tax break to the 1%. He was always in favor of massive ""defense"" spending.  But Trump's @GOP won't vote the HR1 Covid  relief bill. https://t.co/wScdCqadkL",pascalmolineaux,,0,0,0,0,"Desarrollo ambientalmente sostenible, docente universitario.",443,,when will trump supporters finally get it former guy amphis very wealthy cronies just couldnt give shit for you or your families he gave a massive tax break to the 1 he was always in favor of massive defense spending but trumps wont vote the hr1 covid relief bill,"['when', 'will', 'trump', 'supporters', 'finally', 'get', 'it', 'former', 'guy', 'amphis', 'very', 'wealthy', 'cronies', 'just', 'couldnt', 'give', 'shit', 'for', 'you', 'or', 'your', 'families', 'he', 'gave', 'a', 'massive', 'tax', 'break', 'to', 'the', '1', 'he', 'was', 'always', 'in', 'favor', 'of', 'massive', 'defense', 'spending', 'but', 'trumps', 'wont', 'vote', 'the', 'hr1', 'covid', 'relief', 'bill']","['trump', 'supporters', 'finally', 'get', 'former', 'guy', 'amphis', 'wealthy', 'cronies', 'couldnt', 'give', 'shit', 'families', 'gave', 'massive', 'tax', 'break', '1', 'always', 'favor', 'massive', 'defense', 'spending', 'trumps', 'wont', 'vote', 'hr1', 'covid', 'relief', 'bill']","['trump', 'support', 'final', 'get', 'former', 'guy', 'amphi', 'wealthi', 'croni', 'couldnt', 'give', 'shit', 'famili', 'gave', 'massiv', 'tax', 'break', '1', 'alway', 'favor', 'massiv', 'defens', 'spend', 'trump', 'wont', 'vote', 'hr1', 'covid', 'relief', 'bill']","['trump', 'supporters', 'finally', 'get', 'former', 'guy', 'amphis', 'wealthy', 'cronies', 'couldnt', 'give', 'shit', 'families', 'gave', 'massive', 'tax', 'break', '1', 'always', 'favor', 'massive', 'defense', 'spending', 'trumps', 'wont', 'vote', 'hr1', 'covid', 'relief', 'bill']",1,Colombia
2020-11-01 03:07:57+00:00,1322737111649452032,"Trump Klan couldn't care less. Of course some of their supporters will get infected with Covid-19 as a result of these rallies. Of course some will be hospitalized or transmit to their parents, neighbors or grandparents. Some will die. Trump couldn't care less. https://t.co/G87aFQ7eJh",pascalmolineaux,,0,0,0,0,"Desarrollo ambientalmente sostenible, docente universitario.",443,,trump klan couldnt care less of course some of their supporters will get infected with covid19 as a result of these rallies of course some will be hospitalized or transmit to their parents neighbors or grandparents some will die trump couldnt care less,"['trump', 'klan', 'couldnt', 'care', 'less', 'of', 'course', 'some', 'of', 'their', 'supporters', 'will', 'get', 'infected', 'with', 'covid19', 'as', 'a', 'result', 'of', 'these', 'rallies', 'of', 'course', 'some', 'will', 'be', 'hospitalized', 'or', 'transmit', 'to', 'their', 'parents', 'neighbors', 'or', 'grandparents', 'some', 'will', 'die', 'trump', 'couldnt', 'care', 'less']","['trump', 'klan', 'couldnt', 'care', 'less', 'course', 'supporters', 'get', 'infected', 'covid19', 'result', 'rallies', 'course', 'hospitalized', 'transmit', 'parents', 'neighbors', 'grandparents', 'die', 'trump', 'couldnt', 'care', 'less']","['trump', 'klan', 'couldnt', 'care', 'less', 'cours', 'support', 'get', 'infect', 'covid19', 'result', 'ralli', 'cours', 'hospit', 'transmit', 'parent', 'neighbor', 'grandpar', 'die', 'trump', 'couldnt', 'care', 'less']","['trump', 'klan', 'couldnt', 'care', 'less', 'course', 'supporters', 'get', 'infected', 'covid19', 'result', 'rallies', 'course', 'hospitalized', 'transmit', 'parents', 'neighbors', 'grandparents', 'die', 'trump', 'couldnt', 'care', 'less']",1,Colombia
2020-07-27 00:05:40+00:00,1287539616740970503,"@Bogota @ClaudiaLopez Let the record state, it's not #Covid_19 killing those who might otherwise have lived, i.e. the exceptional cases, it's the incompetence &amp; indifference of the health services here. Uncontested calls for those most in need. Blood on your hands @MinSaludCol.",wwaycorrigan,Colombia,0,0,0,0,Broadcast journalist based in Colombia since late 2011. Subscribe to my YouTube channel at youtube.com/user/corriganb….,1055,['Covid_19'],let the record state its not covid19 killing those who might otherwise have lived ie the exceptional cases its the incompetence amp indifference of the health services here uncontested calls for those most in need blood on your hands,"['let', 'the', 'record', 'state', 'its', 'not', 'covid19', 'killing', 'those', 'who', 'might', 'otherwise', 'have', 'lived', 'ie', 'the', 'exceptional', 'cases', 'its', 'the', 'incompetence', 'amp', 'indifference', 'of', 'the', 'health', 'services', 'here', 'uncontested', 'calls', 'for', 'those', 'most', 'in', 'need', 'blood', 'on', 'your', 'hands']","['let', 'record', 'state', 'covid19', 'killing', 'might', 'otherwise', 'lived', 'ie', 'exceptional', 'cases', 'incompetence', 'amp', 'indifference', 'health', 'services', 'uncontested', 'calls', 'need', 'blood', 'hands']","['let', 'record', 'state', 'covid19', 'kill', 'might', 'otherwis', 'live', 'ie', 'except', 'case', 'incompet', 'amp', 'indiffer', 'health', 'servic', 'uncontest', 'call', 'need', 'blood', 'hand']","['let', 'record', 'state', 'covid19', 'killing', 'might', 'otherwise', 'lived', 'ie', 'exceptional', 'cases', 'incompetence', 'amp', 'indifference', 'health', 'services', 'uncontested', 'calls', 'need', 'blood', 'hands']",1,Colombia
2020-07-20 18:40:35+00:00,1285283480952287233,"Such an incredibly dimwitted man. Kids with Covid-19 take it home to their parents, uncles and grandparents. To their Teachers and Administrators. But the Governor DOES NOT CARE. So yes, support @nicolergalloway !!! https://t.co/xCNh9Ct6t0",pascalmolineaux,,0,0,0,0,"Desarrollo ambientalmente sostenible, docente universitario.",443,,such an incredibly dimwitted man kids with covid19 take it home to their parents uncles and grandparents to their teachers and administrators but the governor does not care so yes support,"['such', 'an', 'incredibly', 'dimwitted', 'man', 'kids', 'with', 'covid19', 'take', 'it', 'home', 'to', 'their', 'parents', 'uncles', 'and', 'grandparents', 'to', 'their', 'teachers', 'and', 'administrators', 'but', 'the', 'governor', 'does', 'not', 'care', 'so', 'yes', 'support']","['incredibly', 'dimwitted', 'man', 'kids', 'covid19', 'take', 'home', 'parents', 'uncles', 'grandparents', 'teachers', 'administrators', 'governor', 'care', 'yes', 'support']","['incred', 'dimwit', 'man', 'kid', 'covid19', 'take', 'home', 'parent', 'uncl', 'grandpar', 'teacher', 'administr', 'governor', 'care', 'ye', 'support']","['incredibly', 'dimwitted', 'man', 'kids', 'covid19', 'take', 'home', 'parents', 'uncles', 'grandparents', 'teachers', 'administrators', 'governor', 'care', 'yes', 'support']",1,Colombia
