Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-05-23 16:57:39+00:00,1528782219766116354,"The semester is ending here in Finland and I have had my last presentation today at the Helslang Summer Conference 2022.
I really appreciate that our doctoral program is always providing opportunities for the researchers to share their studies and receive support from peers!",Paribeir1,"Helsínquia, Finlândia",0,1,0,0,Doctoral researcher in Language Studies at the University of Helsinki and  Portuguese teacher.,19,,the semester is ending here in finland and i have had my last presentation today at the helslang summer conference 2022 i really appreciate that our doctoral program is always providing opportunities for the researchers to share their studies and receive support from peers,"['the', 'semester', 'is', 'ending', 'here', 'in', 'finland', 'and', 'i', 'have', 'had', 'my', 'last', 'presentation', 'today', 'at', 'the', 'helslang', 'summer', 'conference', '2022', 'i', 'really', 'appreciate', 'that', 'our', 'doctoral', 'program', 'is', 'always', 'providing', 'opportunities', 'for', 'the', 'researchers', 'to', 'share', 'their', 'studies', 'and', 'receive', 'support', 'from', 'peers']","['semester', 'ending', 'finland', 'last', 'presentation', 'today', 'helslang', 'summer', 'conference', '2022', 'really', 'appreciate', 'doctoral', 'program', 'always', 'providing', 'opportunities', 'researchers', 'share', 'studies', 'receive', 'support', 'peers']","['semest', 'end', 'finland', 'last', 'present', 'today', 'helslang', 'summer', 'confer', '2022', 'realli', 'appreci', 'doctor', 'program', 'alway', 'provid', 'opportun', 'research', 'share', 'studi', 'receiv', 'support', 'peer']","['semester', 'ending', 'finland', 'last', 'presentation', 'today', 'helslang', 'summer', 'conference', '2022', 'really', 'appreciate', 'doctoral', 'program', 'always', 'providing', 'opportunities', 'researchers', 'share', 'studies', 'receive', 'support', 'peers']",4,Finland
2022-05-14 18:11:21+00:00,1525539275533582337,"That’s a big pleasure for me to start my NFT collection with your awesome art, my friend 💙💙💙💙 I appreciate your huge support too 💙💙💙 https://t.co/01zInOMlOd",Ksumatu,,6,3,1,0,"Digital illustrator, expat in Tallinn, NFT artist",233,,thats a big pleasure for me to start my nft collection with your awesome art my friend i appreciate your huge support too,"['thats', 'a', 'big', 'pleasure', 'for', 'me', 'to', 'start', 'my', 'nft', 'collection', 'with', 'your', 'awesome', 'art', 'my', 'friend', 'i', 'appreciate', 'your', 'huge', 'support', 'too']","['thats', 'big', 'pleasure', 'start', 'nft', 'collection', 'awesome', 'art', 'friend', 'appreciate', 'huge', 'support']","['that', 'big', 'pleasur', 'start', 'nft', 'collect', 'awesom', 'art', 'friend', 'appreci', 'huge', 'support']","['thats', 'big', 'pleasure', 'start', 'nft', 'collection', 'awesome', 'art', 'friend', 'appreciate', 'huge', 'support']",5,Finland
2020-09-15 09:28:34+00:00,1305800666451853314,The older we get the more we appreciate meaningful connections that support our peace of mind . Happy Tuesday @_iamrealkato @greatvideoentertainment @ Tampere University of Technology https://t.co/tPDgwpjxFf,RawbeenaKenya,"Nairobi, Kenya",2,0,0,0,Media and Arts Graduate|| Professional singer songwriter || Music producer|| Owner Solid Production || Registered Nurse Trainee,6057,,the older we get the more we appreciate meaningful connections that support our peace of mind happy tuesday tampere university of technology,"['the', 'older', 'we', 'get', 'the', 'more', 'we', 'appreciate', 'meaningful', 'connections', 'that', 'support', 'our', 'peace', 'of', 'mind', 'happy', 'tuesday', 'tampere', 'university', 'of', 'technology']","['older', 'get', 'appreciate', 'meaningful', 'connections', 'support', 'peace', 'mind', 'happy', 'tuesday', 'tampere', 'university', 'technology']","['older', 'get', 'appreci', 'meaning', 'connect', 'support', 'peac', 'mind', 'happi', 'tuesday', 'tamper', 'univers', 'technolog']","['older', 'get', 'appreciate', 'meaningful', 'connections', 'support', 'peace', 'mind', 'happy', 'tuesday', 'tampere', 'university', 'technology']",5,Finland
2022-06-06 06:49:17+00:00,1533702549563375617,"One of the elite reconnaissance units we are supporting with different gear sent me this appreciation video. Check out the 🇪🇪 flag patches those guys 🇺🇦 are wearing💪🇪🇪🇺🇦💙💛
#StandWithUkraine https://t.co/gPQaIjk5vU",Harri_Est,"Tallinn, Estonia",1166,21,136,2,"Founder @UkraineAidOps, from 🇪🇪. UAO Mission is securing protective gear for 🇺🇦 Ukrainians that find themselves in a war zone. Please support via Linktree!",31236,['StandWithUkraine'],one of the elite reconnaissance units we are supporting with different gear sent me this appreciation video check out the flag patches those guys are wearing standwithukraine,"['one', 'of', 'the', 'elite', 'reconnaissance', 'units', 'we', 'are', 'supporting', 'with', 'different', 'gear', 'sent', 'me', 'this', 'appreciation', 'video', 'check', 'out', 'the', 'flag', 'patches', 'those', 'guys', 'are', 'wearing', 'standwithukraine']","['one', 'elite', 'reconnaissance', 'units', 'supporting', 'different', 'gear', 'sent', 'appreciation', 'video', 'check', 'flag', 'patches', 'guys', 'wearing', 'standwithukraine']","['one', 'elit', 'reconnaiss', 'unit', 'support', 'differ', 'gear', 'sent', 'appreci', 'video', 'check', 'flag', 'patch', 'guy', 'wear', 'standwithukrain']","['one', 'elite', 'reconnaissance', 'units', 'supporting', 'different', 'gear', 'sent', 'appreciation', 'video', 'check', 'flag', 'patches', 'guys', 'wearing', 'standwithukraine']",5,Finland
2020-05-13 17:23:17+00:00,1260621650392989697,How about the cases that are not reported? Health systems across the globe are breaking for a reason. Conveniently downplaying the pandemy from a mansion instead of supporting nurses and doctors at the front line is just gross. 🤢😡 @elonmusk #COVID19 #COVIDIOTS #StaySafe https://t.co/KfikOikN4B,drussilahg,Helsinki,11,1,0,0,CEO & Co-founder of @PapukayaGames. @Supercell alumnus | Board member at @HiveHelsinki. Games. Design. Inclusion. Brazilian in Finland 🇧🇷🇫🇮. She/Her.,1254,"['COVID19', 'COVIDIOTS', 'StaySafe']",how about the cases that are not reported health systems across the globe are breaking for a reason conveniently downplaying the pandemy from a mansion instead of supporting nurses and doctors at the front line is just gross covid19 covidiots staysafe,"['how', 'about', 'the', 'cases', 'that', 'are', 'not', 'reported', 'health', 'systems', 'across', 'the', 'globe', 'are', 'breaking', 'for', 'a', 'reason', 'conveniently', 'downplaying', 'the', 'pandemy', 'from', 'a', 'mansion', 'instead', 'of', 'supporting', 'nurses', 'and', 'doctors', 'at', 'the', 'front', 'line', 'is', 'just', 'gross', 'covid19', 'covidiots', 'staysafe']","['cases', 'reported', 'health', 'systems', 'across', 'globe', 'breaking', 'reason', 'conveniently', 'downplaying', 'pandemy', 'mansion', 'instead', 'supporting', 'nurses', 'doctors', 'front', 'line', 'gross', 'covid19', 'covidiots', 'staysafe']","['case', 'report', 'health', 'system', 'across', 'globe', 'break', 'reason', 'conveni', 'downplay', 'pandemi', 'mansion', 'instead', 'support', 'nurs', 'doctor', 'front', 'line', 'gross', 'covid19', 'covidiot', 'staysaf']","['cases', 'reported', 'health', 'systems', 'across', 'globe', 'breaking', 'reason', 'conveniently', 'downplaying', 'pandemy', 'mansion', 'instead', 'supporting', 'nurses', 'doctors', 'front', 'line', 'gross', 'covid19', 'covidiots', 'staysafe']",1,Finland
2020-04-09 08:34:11+00:00,1248167309459554306,"Excellent work @radomizera &amp; team. So proud of this initiative, global platform to connect medical volunteers with hospitals during the crisis 💚 Results #Slovakia in 7 days:

👏1 390+ volunteers registered
👏 52+ hospitals supported

Learn more: https://t.co/ce44SHsWfa
#covid19 https://t.co/C6iroX08eE",SanttuCT,"Helsinki, Finland",5,0,2,0,"Lead the change, co-create, scale sustainability, enable network effects 🌍 CEO & Co-founder, Solved. @SolvedTogether",768,"['Slovakia', 'covid19']",excellent work amp team so proud of this initiative global platform to connect medical volunteers with hospitals during the crisis results slovakia in 7 days 1 390 volunteers registered 52 hospitals supported learn more covid19,"['excellent', 'work', 'amp', 'team', 'so', 'proud', 'of', 'this', 'initiative', 'global', 'platform', 'to', 'connect', 'medical', 'volunteers', 'with', 'hospitals', 'during', 'the', 'crisis', 'results', 'slovakia', 'in', '7', 'days', '1', '390', 'volunteers', 'registered', '52', 'hospitals', 'supported', 'learn', 'more', 'covid19']","['excellent', 'work', 'amp', 'team', 'proud', 'initiative', 'global', 'platform', 'connect', 'medical', 'volunteers', 'hospitals', 'crisis', 'results', 'slovakia', '7', 'days', '1', '390', 'volunteers', 'registered', '52', 'hospitals', 'supported', 'learn', 'covid19']","['excel', 'work', 'amp', 'team', 'proud', 'initi', 'global', 'platform', 'connect', 'medic', 'volunt', 'hospit', 'crisi', 'result', 'slovakia', '7', 'day', '1', '390', 'volunt', 'regist', '52', 'hospit', 'support', 'learn', 'covid19']","['excellent', 'work', 'amp', 'team', 'proud', 'initiative', 'global', 'platform', 'connect', 'medical', 'volunteers', 'hospitals', 'crisis', 'results', 'slovakia', '7', 'days', '1', '390', 'volunteers', 'registered', '52', 'hospitals', 'supported', 'learn', 'covid19']",5,Finland
2020-03-13 12:41:17+00:00,1238445022862852096,Cancer patients are among the risk group of #covid19 @KaikuHealth supports hospitals in digital patient management https://t.co/078t3MdWAE,laurisippola,"Helsinki, Finland",0,0,0,0,CEO & Co-founder @KaikuHealth - a part of @Elekta. Innovator Under 35 Europe - MIT Technology Review.,671,['covid19'],cancer patients are among the risk group of covid19 supports hospitals in digital patient management,"['cancer', 'patients', 'are', 'among', 'the', 'risk', 'group', 'of', 'covid19', 'supports', 'hospitals', 'in', 'digital', 'patient', 'management']","['cancer', 'patients', 'among', 'risk', 'group', 'covid19', 'supports', 'hospitals', 'digital', 'patient', 'management']","['cancer', 'patient', 'among', 'risk', 'group', 'covid19', 'support', 'hospit', 'digit', 'patient', 'manag']","['cancer', 'patients', 'among', 'risk', 'group', 'covid19', 'supports', 'hospitals', 'digital', 'patient', 'management']",5,Finland
2020-03-05 06:12:03+00:00,1235447969043841024,"This is a great summary of what is known so far of #covid19 #coronavirus. 20% of the infected people need respiratory support. This can overwhelm any health system if the outbreak grows too fast. That's why social separation strategies are so important.

https://t.co/4OZQR4ub7g",alasaarela,"Helsinki, Finland",3,0,0,0,Impact Entrepreneur @heychainio. I build technologies and communities with the hope of bringing humanity together and saving our planet. #ai #impact,5298,"['covid19', 'coronavirus']",this is a great summary of what is known so far of covid19 coronavirus 20 of the infected people need respiratory support this can overwhelm any health system if the outbreak grows too fast thats why social separation strategies are so important,"['this', 'is', 'a', 'great', 'summary', 'of', 'what', 'is', 'known', 'so', 'far', 'of', 'covid19', 'coronavirus', '20', 'of', 'the', 'infected', 'people', 'need', 'respiratory', 'support', 'this', 'can', 'overwhelm', 'any', 'health', 'system', 'if', 'the', 'outbreak', 'grows', 'too', 'fast', 'thats', 'why', 'social', 'separation', 'strategies', 'are', 'so', 'important']","['great', 'summary', 'known', 'far', 'covid19', 'coronavirus', '20', 'infected', 'people', 'need', 'respiratory', 'support', 'overwhelm', 'health', 'system', 'outbreak', 'grows', 'fast', 'thats', 'social', 'separation', 'strategies', 'important']","['great', 'summari', 'known', 'far', 'covid19', 'coronaviru', '20', 'infect', 'peopl', 'need', 'respiratori', 'support', 'overwhelm', 'health', 'system', 'outbreak', 'grow', 'fast', 'that', 'social', 'separ', 'strategi', 'import']","['great', 'summary', 'known', 'far', 'covid19', 'coronavirus', '20', 'infected', 'people', 'need', 'respiratory', 'support', 'overwhelm', 'health', 'system', 'outbreak', 'grows', 'fast', 'thats', 'social', 'separation', 'strategies', 'important']",5,Finland
2021-07-05 09:01:42+00:00,1411973549808656385,"Cleaners and security workers deserve decent work.

On #JusticeDay2021, I am getting behind the campaign to use public money to give them a say at work and lift their conditions.

#ProcuringDecentWork - find out more and show your support.
https://t.co/a5KJYiUlrT",spietikainen,Hämeenlinna,6,0,3,0,"Europarlamentaarikko. Member of the European Parliament, EPP. Tavoitteena yhdessä rakentaa Eurooppaa vakaammaksi, resurssitehokkaammaksi ja inhimillisemmäksi.",28963,"['JusticeDay2021', 'ProcuringDecentWork']",cleaners and security workers deserve decent work on justiceday2021 i am getting behind the campaign to use public money to give them a say at work and lift their conditions procuringdecentwork find out more and show your support,"['cleaners', 'and', 'security', 'workers', 'deserve', 'decent', 'work', 'on', 'justiceday2021', 'i', 'am', 'getting', 'behind', 'the', 'campaign', 'to', 'use', 'public', 'money', 'to', 'give', 'them', 'a', 'say', 'at', 'work', 'and', 'lift', 'their', 'conditions', 'procuringdecentwork', 'find', 'out', 'more', 'and', 'show', 'your', 'support']","['cleaners', 'security', 'workers', 'deserve', 'decent', 'work', 'justiceday2021', 'getting', 'behind', 'campaign', 'use', 'public', 'money', 'give', 'say', 'work', 'lift', 'conditions', 'procuringdecentwork', 'find', 'show', 'support']","['cleaner', 'secur', 'worker', 'deserv', 'decent', 'work', 'justiceday2021', 'get', 'behind', 'campaign', 'use', 'public', 'money', 'give', 'say', 'work', 'lift', 'condit', 'procuringdecentwork', 'find', 'show', 'support']","['cleaners', 'security', 'workers', 'deserve', 'decent', 'work', 'justiceday2021', 'getting', 'behind', 'campaign', 'use', 'public', 'money', 'give', 'say', 'work', 'lift', 'conditions', 'procuringdecentwork', 'find', 'show', 'support']",4,Finland
2020-03-05 06:12:03+00:00,1235447969043841024,"This is a great summary of what is known so far of #covid19 #coronavirus. 20% of the infected people need respiratory support. This can overwhelm any health system if the outbreak grows too fast. That's why social separation strategies are so important.

https://t.co/4OZQR4ub7g",alasaarela,"Helsinki, Finland",3,0,0,0,Impact Entrepreneur @heychainio. I build technologies and communities with the hope of bringing humanity together and saving our planet. #ai #impact,5298,"['covid19', 'coronavirus']",this is a great summary of what is known so far of covid19 coronavirus 20 of the infected people need respiratory support this can overwhelm any health system if the outbreak grows too fast thats why social separation strategies are so important,"['this', 'is', 'a', 'great', 'summary', 'of', 'what', 'is', 'known', 'so', 'far', 'of', 'covid19', 'coronavirus', '20', 'of', 'the', 'infected', 'people', 'need', 'respiratory', 'support', 'this', 'can', 'overwhelm', 'any', 'health', 'system', 'if', 'the', 'outbreak', 'grows', 'too', 'fast', 'thats', 'why', 'social', 'separation', 'strategies', 'are', 'so', 'important']","['great', 'summary', 'known', 'far', 'covid19', 'coronavirus', '20', 'infected', 'people', 'need', 'respiratory', 'support', 'overwhelm', 'health', 'system', 'outbreak', 'grows', 'fast', 'thats', 'social', 'separation', 'strategies', 'important']","['great', 'summari', 'known', 'far', 'covid19', 'coronaviru', '20', 'infect', 'peopl', 'need', 'respiratori', 'support', 'overwhelm', 'health', 'system', 'outbreak', 'grow', 'fast', 'that', 'social', 'separ', 'strategi', 'import']","['great', 'summary', 'known', 'far', 'covid19', 'coronavirus', '20', 'infected', 'people', 'need', 'respiratory', 'support', 'overwhelm', 'health', 'system', 'outbreak', 'grows', 'fast', 'thats', 'social', 'separation', 'strategies', 'important']",5,Finland
