Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-04 14:28:52+00:00,1533093430783528961,@John_iwas_ @SouthernNight33 @Admone7 @BullshitReturns @InfoGuru16 @TifasWindmill @greatnessearn12 @Joe__312 @LentSjaak @neal_cowboy @RealDoctorT @TheLandsNotOurs @KarenPerfect11 @DougDerby @MarieAnnaPam1 @RettaLaw2 @DennyGr28530407 @RealMayorJB @f_kyburz @drdeblk @JonRFleming @Dan57395029 @NickAgain8 @AngryFleas @RogerRa09234150 @ginnygmc @ArtysHouse @truthgibbon @Tom_Neverwinter @LMegaw @ViveProDeo @JimlikesBB @NHSouthernGirl @modernista64 @CraigCastleber1 @SeptRose70 @LaneMonsterTX @FvckYourFear @JustinM11151153 @Billenjoylife @Garrett_Archer @shafercw @StanPennington8 @kalymera1960 @deusxmach1na @Mattallica17 @Dan_Donovan_17 @SandraNotSandy1 @symmo1969 @NickDone8 Btw. I don’t appreciate your accusation of dishonesty. That requires some supporting evidence. I’m observing and expressing those observations. You’re attempts to argue are beside the point. It is what it is. Protestations are pointless. This isn’t a fight.,GumbeauxMike,NoLa,0,1,0,0,"Pro God America Family Patriot MAGA & LSU Moderately proficient in Southern, Soul, Yat, a little Creole & Cajun (backup account)",9434,,btw i dont appreciate your accusation of dishonesty that requires some supporting evidence im observing and expressing those observations youre attempts to argue are beside the point it is what it is protestations are pointless this isnt a fight,"['btw', 'i', 'dont', 'appreciate', 'your', 'accusation', 'of', 'dishonesty', 'that', 'requires', 'some', 'supporting', 'evidence', 'im', 'observing', 'and', 'expressing', 'those', 'observations', 'youre', 'attempts', 'to', 'argue', 'are', 'beside', 'the', 'point', 'it', 'is', 'what', 'it', 'is', 'protestations', 'are', 'pointless', 'this', 'isnt', 'a', 'fight']","['btw', 'dont', 'appreciate', 'accusation', 'dishonesty', 'requires', 'supporting', 'evidence', 'im', 'observing', 'expressing', 'observations', 'youre', 'attempts', 'argue', 'beside', 'point', 'protestations', 'pointless', 'isnt', 'fight']","['btw', 'dont', 'appreci', 'accus', 'dishonesti', 'requir', 'support', 'evid', 'im', 'observ', 'express', 'observ', 'your', 'attempt', 'argu', 'besid', 'point', 'protest', 'pointless', 'isnt', 'fight']","['btw', 'dont', 'appreciate', 'accusation', 'dishonesty', 'requires', 'supporting', 'evidence', 'im', 'observing', 'expressing', 'observations', 'youre', 'attempts', 'argue', 'beside', 'point', 'protestations', 'pointless', 'isnt', 'fight']",1,Italy
2021-05-22 05:36:58+00:00,1395976961026101249,"My latest video. Appreciate all your support 🙏
https://t.co/9gI9dxMetT https://t.co/xgPJrKorRT",TopicRuben,Italy,4,0,0,0,It’s time to change ☀️,551,,my latest video appreciate all your support,"['my', 'latest', 'video', 'appreciate', 'all', 'your', 'support']","['latest', 'video', 'appreciate', 'support']","['latest', 'video', 'appreci', 'support']","['latest', 'video', 'appreciate', 'support']",5,Italy
2020-04-04 10:37:31+00:00,1246386408950042626,@DrJoeAbah @UBC Thanks Dr Abah! I really appreciate your support and wishes! Please stay safe and healthy!,yemi_adeyeye,Worldwide,1,0,0,0,GLFx Coordinator @GlobalLF | #ThinkLandscape | PhD in Multiscalar & Participatory Aspects of #ResourceGovernance @UBC | Views are mine,1487,,thanks dr abah i really appreciate your support and wishes please stay safe and healthy,"['thanks', 'dr', 'abah', 'i', 'really', 'appreciate', 'your', 'support', 'and', 'wishes', 'please', 'stay', 'safe', 'and', 'healthy']","['thanks', 'dr', 'abah', 'really', 'appreciate', 'support', 'wishes', 'please', 'stay', 'safe', 'healthy']","['thank', 'dr', 'abah', 'realli', 'appreci', 'support', 'wish', 'pleas', 'stay', 'safe', 'healthi']","['thanks', 'dr', 'abah', 'really', 'appreciate', 'support', 'wishes', 'please', 'stay', 'safe', 'healthy']",5,Italy
2020-03-21 23:30:34+00:00,1241507523397550080,The happiness and relief on their face is the result of tremendous and relentless efforts of the following people so just take a second to appreciate  the people behind this successful #airlift. Thank you for the support. @reenat_sandhu @IndiainItaly ISAROME always at ur service. https://t.co/WUie2pYxUJ,indian_rome,Italy,46,6,9,1,"I’m Gowtham Krishna Mahankali, founder of Indian Students Association Rome, Italy. I’m an automobile engineer my main works as student president of Rome.",201,['airlift'],the happiness and relief on their face is the result of tremendous and relentless efforts of the following people so just take a second to appreciate the people behind this successful airlift thank you for the support isarome always at ur service,"['the', 'happiness', 'and', 'relief', 'on', 'their', 'face', 'is', 'the', 'result', 'of', 'tremendous', 'and', 'relentless', 'efforts', 'of', 'the', 'following', 'people', 'so', 'just', 'take', 'a', 'second', 'to', 'appreciate', 'the', 'people', 'behind', 'this', 'successful', 'airlift', 'thank', 'you', 'for', 'the', 'support', 'isarome', 'always', 'at', 'ur', 'service']","['happiness', 'relief', 'face', 'result', 'tremendous', 'relentless', 'efforts', 'following', 'people', 'take', 'second', 'appreciate', 'people', 'behind', 'successful', 'airlift', 'thank', 'support', 'isarome', 'always', 'ur', 'service']","['happi', 'relief', 'face', 'result', 'tremend', 'relentless', 'effort', 'follow', 'peopl', 'take', 'second', 'appreci', 'peopl', 'behind', 'success', 'airlift', 'thank', 'support', 'isarom', 'alway', 'ur', 'servic']","['happiness', 'relief', 'face', 'result', 'tremendous', 'relentless', 'efforts', 'following', 'people', 'take', 'second', 'appreciate', 'people', 'behind', 'successful', 'airlift', 'thank', 'support', 'isarome', 'always', 'ur', 'service']",5,Italy
2022-06-07 00:09:34+00:00,1533964345633292290,"Being in web3 exposed a new parts of me, which I didn’t see irl, and I can truly see that  I’m becoming better with my mental health recently and getting exactly that kind of support and appreciation that I needed",elliealien28,"Tuscany, Italy",0,0,0,0,"Freelancer, bartender, NFT fan, chillzilla | Actavich #4118 | @nightowlsyn",46,,being in web3 exposed a new parts of me which i didnt see irl and i can truly see that im becoming better with my mental health recently and getting exactly that kind of support and appreciation that i needed,"['being', 'in', 'web3', 'exposed', 'a', 'new', 'parts', 'of', 'me', 'which', 'i', 'didnt', 'see', 'irl', 'and', 'i', 'can', 'truly', 'see', 'that', 'im', 'becoming', 'better', 'with', 'my', 'mental', 'health', 'recently', 'and', 'getting', 'exactly', 'that', 'kind', 'of', 'support', 'and', 'appreciation', 'that', 'i', 'needed']","['web3', 'exposed', 'new', 'parts', 'didnt', 'see', 'irl', 'truly', 'see', 'im', 'becoming', 'better', 'mental', 'health', 'recently', 'getting', 'exactly', 'kind', 'support', 'appreciation', 'needed']","['web3', 'expos', 'new', 'part', 'didnt', 'see', 'irl', 'truli', 'see', 'im', 'becom', 'better', 'mental', 'health', 'recent', 'get', 'exactli', 'kind', 'support', 'appreci', 'need']","['web3', 'exposed', 'new', 'parts', 'didnt', 'see', 'irl', 'truly', 'see', 'im', 'becoming', 'better', 'mental', 'health', 'recently', 'getting', 'exactly', 'kind', 'support', 'appreciation', 'needed']",5,Italy
2022-05-30 22:15:50+00:00,1531399009797083138,"General appreciation post:
More or less successful love and support all my project❤️💯 
The dark art of @doctorsnft can’t even describe how worth is to be in @WTPhunksNFT the upcoming metaverse of @thetoonsnft and cute art of @tinyfrensnft https://t.co/UKnNduPtt4",simogen87,"Rome, Lazio",15,1,2,0,#Nft lover trying to make it…OS: opensea.io/Bambaman87 COIN:coin.onelink.me/ePJg/wbs6e49f,697,,general appreciation post more or less successful love and support all my project the dark art of cant even describe how worth is to be in the upcoming metaverse of and cute art of,"['general', 'appreciation', 'post', 'more', 'or', 'less', 'successful', 'love', 'and', 'support', 'all', 'my', 'project', 'the', 'dark', 'art', 'of', 'cant', 'even', 'describe', 'how', 'worth', 'is', 'to', 'be', 'in', 'the', 'upcoming', 'metaverse', 'of', 'and', 'cute', 'art', 'of']","['general', 'appreciation', 'post', 'less', 'successful', 'love', 'support', 'project', 'dark', 'art', 'cant', 'even', 'describe', 'worth', 'upcoming', 'metaverse', 'cute', 'art']","['gener', 'appreci', 'post', 'less', 'success', 'love', 'support', 'project', 'dark', 'art', 'cant', 'even', 'describ', 'worth', 'upcom', 'metavers', 'cute', 'art']","['general', 'appreciation', 'post', 'less', 'successful', 'love', 'support', 'project', 'dark', 'art', 'cant', 'even', 'describe', 'worth', 'upcoming', 'metaverse', 'cute', 'art']",5,Italy
2020-04-13 14:51:16+00:00,1249711760329891842,"@CanadaRobT @V2019N Leopardi, greatest Italian poet, closes ""To himself"" w/ ""the infinite vanity of everything"". #covid is revealing the fragility of the human condition. But L. invites also, in Wild Broom, the human race 2b united w/ true love, ""offering prompt support in the various dangers"".",settembrini61,Marche Italia,0,0,0,0,“The child is grown/ the dream is gone/ I have become comfortably numb”#BeKindToAnimals #MungoJerry ☮️ Teresa Trivellin 👩🏻‍🏫 Lettere,447,['covid'],leopardi greatest italian poet closes to himself w the infinite vanity of everything covid is revealing the fragility of the human condition but l invites also in wild broom the human race 2b united w true love offering prompt support in the various dangers,"['leopardi', 'greatest', 'italian', 'poet', 'closes', 'to', 'himself', 'w', 'the', 'infinite', 'vanity', 'of', 'everything', 'covid', 'is', 'revealing', 'the', 'fragility', 'of', 'the', 'human', 'condition', 'but', 'l', 'invites', 'also', 'in', 'wild', 'broom', 'the', 'human', 'race', '2b', 'united', 'w', 'true', 'love', 'offering', 'prompt', 'support', 'in', 'the', 'various', 'dangers']","['leopardi', 'greatest', 'italian', 'poet', 'closes', 'w', 'infinite', 'vanity', 'everything', 'covid', 'revealing', 'fragility', 'human', 'condition', 'l', 'invites', 'also', 'wild', 'broom', 'human', 'race', '2b', 'united', 'w', 'true', 'love', 'offering', 'prompt', 'support', 'various', 'dangers']","['leopardi', 'greatest', 'italian', 'poet', 'close', 'w', 'infinit', 'vaniti', 'everyth', 'covid', 'reveal', 'fragil', 'human', 'condit', 'l', 'invit', 'also', 'wild', 'broom', 'human', 'race', '2b', 'unit', 'w', 'true', 'love', 'offer', 'prompt', 'support', 'variou', 'danger']","['leopardi', 'greatest', 'italian', 'poet', 'closes', 'w', 'infinite', 'vanity', 'everything', 'covid', 'revealing', 'fragility', 'human', 'condition', 'l', 'invites', 'also', 'wild', 'broom', 'human', 'race', '2b', 'united', 'w', 'true', 'love', 'offering', 'prompt', 'support', 'various', 'dangers']",5,Italy
2021-01-31 06:11:43+00:00,1355760655102578688,"Our civilsation is vulnerable. Are you outraged how #china did not care about #COVID19 Yet everytime you buy made in China. You just support their regime
No care for humanity
Buy #MadeInItaly buy locally your cash brings food on the table for #fashion designers.
#SundayThoughts https://t.co/Ze3HVBwNAn",gracieopulanza,Off Grid  ,0,2,0,1,Fashion and Opulent Lifestyle | Editor menstylefashion.com | #opulentlifestyle | ✈️Europe,37447,"['china', 'COVID19', 'MadeInItaly', 'fashion', 'SundayThoughts']",our civilsation is vulnerable are you outraged how china did not care about covid19 yet everytime you buy made in china you just support their regime no care for humanity buy madeinitaly buy locally your cash brings food on the table for fashion designers sundaythoughts,"['our', 'civilsation', 'is', 'vulnerable', 'are', 'you', 'outraged', 'how', 'china', 'did', 'not', 'care', 'about', 'covid19', 'yet', 'everytime', 'you', 'buy', 'made', 'in', 'china', 'you', 'just', 'support', 'their', 'regime', 'no', 'care', 'for', 'humanity', 'buy', 'madeinitaly', 'buy', 'locally', 'your', 'cash', 'brings', 'food', 'on', 'the', 'table', 'for', 'fashion', 'designers', 'sundaythoughts']","['civilsation', 'vulnerable', 'outraged', 'china', 'care', 'covid19', 'yet', 'everytime', 'buy', 'made', 'china', 'support', 'regime', 'care', 'humanity', 'buy', 'madeinitaly', 'buy', 'locally', 'cash', 'brings', 'food', 'table', 'fashion', 'designers', 'sundaythoughts']","['civils', 'vulner', 'outrag', 'china', 'care', 'covid19', 'yet', 'everytim', 'buy', 'made', 'china', 'support', 'regim', 'care', 'human', 'buy', 'madeinitali', 'buy', 'local', 'cash', 'bring', 'food', 'tabl', 'fashion', 'design', 'sundaythought']","['civilsation', 'vulnerable', 'outraged', 'china', 'care', 'covid19', 'yet', 'everytime', 'buy', 'made', 'china', 'support', 'regime', 'care', 'humanity', 'buy', 'madeinitaly', 'buy', 'locally', 'cash', 'brings', 'food', 'table', 'fashion', 'designers', 'sundaythoughts']",1,Italy
2020-11-04 17:08:23+00:00,1324035779157544961,"British Prime Minister says UK health service could ""collapse"" under Covid-19 strain.

https://t.co/q24oPaTPLZ #COVID19",sha_braithwaite,"London, England",0,0,0,0,Researcher/producer @CNNi • Formerly @corriere Florence edition and @IlTirreno • @cityjournalism alumna • RT/likes/follow are not endorsement. Views are my own.,1383,['COVID19'],british prime minister says uk health service could collapse under covid19 strain covid19,"['british', 'prime', 'minister', 'says', 'uk', 'health', 'service', 'could', 'collapse', 'under', 'covid19', 'strain', 'covid19']","['british', 'prime', 'minister', 'says', 'uk', 'health', 'service', 'could', 'collapse', 'covid19', 'strain', 'covid19']","['british', 'prime', 'minist', 'say', 'uk', 'health', 'servic', 'could', 'collaps', 'covid19', 'strain', 'covid19']","['british', 'prime', 'minister', 'says', 'uk', 'health', 'service', 'could', 'collapse', 'covid19', 'strain', 'covid19']",1,Italy
2020-10-21 09:13:04+00:00,1318842729988751360,"Towards #Croatia beyond #covid19 #borders. We are going to meeting our colleagues from #Rijeka, #Luxembourg and #Athens to discuss about #opendata and #digitaleducation of #youngpeople for the #publicmakers project =&gt; https://t.co/6Nv4PiJsYv supported by #erasmusplus https://t.co/PcOZY9lFIA",publicmaker,"Cori, Lazio",1,0,0,0,#NGO: #environmental & #civic #monitoring community for #local #change. #Digital changes can happen with #opendata & #tech #dev,30,"['Croatia', 'covid19', 'borders', 'Rijeka', 'Luxembourg', 'Athens', 'opendata', 'digitaleducation', 'youngpeople', 'publicmakers', 'erasmusplus']",towards croatia beyond covid19 borders we are going to meeting our colleagues from rijeka luxembourg and athens to discuss about opendata and digitaleducation of youngpeople for the publicmakers project gt supported by erasmusplus,"['towards', 'croatia', 'beyond', 'covid19', 'borders', 'we', 'are', 'going', 'to', 'meeting', 'our', 'colleagues', 'from', 'rijeka', 'luxembourg', 'and', 'athens', 'to', 'discuss', 'about', 'opendata', 'and', 'digitaleducation', 'of', 'youngpeople', 'for', 'the', 'publicmakers', 'project', 'gt', 'supported', 'by', 'erasmusplus']","['towards', 'croatia', 'beyond', 'covid19', 'borders', 'going', 'meeting', 'colleagues', 'rijeka', 'luxembourg', 'athens', 'discuss', 'opendata', 'digitaleducation', 'youngpeople', 'publicmakers', 'project', 'gt', 'supported', 'erasmusplus']","['toward', 'croatia', 'beyond', 'covid19', 'border', 'go', 'meet', 'colleagu', 'rijeka', 'luxembourg', 'athen', 'discuss', 'opendata', 'digitaleduc', 'youngpeopl', 'publicmak', 'project', 'gt', 'support', 'erasmusplu']","['towards', 'croatia', 'beyond', 'covid19', 'borders', 'going', 'meeting', 'colleagues', 'rijeka', 'luxembourg', 'athens', 'discuss', 'opendata', 'digitaleducation', 'youngpeople', 'publicmakers', 'project', 'gt', 'supported', 'erasmusplus']",4,Italy
