Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-03 13:12:39+00:00,1.5327118623907717e+18,"@NestAwayCare Thanks Team for the support. Really appreciate the activeness shown by Ashura for the resolution. Great service, efficient communication and a really easy way to get a mortgage with lots of help from Ashura …Thanks for the support !!",Tirupandey,"Gorakhpur,India",0.0,1.0,0.0,0.0,"Engineer,Sportsperson,Night rider,Environmentalist!",71.0,,thanks team for the support really appreciate the activeness shown by ashura for the resolution great service efficient communication and a really easy way to get a mortgage with lots of help from ashura thanks for the support,"['thanks', 'team', 'for', 'the', 'support', 'really', 'appreciate', 'the', 'activeness', 'shown', 'by', 'ashura', 'for', 'the', 'resolution', 'great', 'service', 'efficient', 'communication', 'and', 'a', 'really', 'easy', 'way', 'to', 'get', 'a', 'mortgage', 'with', 'lots', 'of', 'help', 'from', 'ashura', 'thanks', 'for', 'the', 'support']","['thanks', 'team', 'support', 'really', 'appreciate', 'activeness', 'shown', 'ashura', 'resolution', 'great', 'service', 'efficient', 'communication', 'really', 'easy', 'way', 'get', 'mortgage', 'lots', 'help', 'ashura', 'thanks', 'support']","['thank', 'team', 'support', 'realli', 'appreci', 'activ', 'shown', 'ashura', 'resolut', 'great', 'servic', 'effici', 'commun', 'realli', 'easi', 'way', 'get', 'mortgag', 'lot', 'help', 'ashura', 'thank', 'support']","['thanks', 'team', 'support', 'really', 'appreciate', 'activeness', 'shown', 'ashura', 'resolution', 'great', 'service', 'efficient', 'communication', 'really', 'easy', 'way', 'get', 'mortgage', 'lots', 'help', 'ashura', 'thanks', 'support']",5,Pakistan
2022-06-03 06:12:46+00:00,1.5326061958690447e+18,"and friends those who always appreciate, and cares of me Thank you soo much for your love and support!

""Accept my best wishes"".

Thank You ..",NusratHussain09,"Larkana, Pakistan",1.0,0.0,0.0,0.0,Student Of Sindh University Campus Larkano BBA (hons),2335.0,,and friends those who always appreciate and cares of me thank you soo much for your love and support accept my best wishes thank you,"['and', 'friends', 'those', 'who', 'always', 'appreciate', 'and', 'cares', 'of', 'me', 'thank', 'you', 'soo', 'much', 'for', 'your', 'love', 'and', 'support', 'accept', 'my', 'best', 'wishes', 'thank', 'you']","['friends', 'always', 'appreciate', 'cares', 'thank', 'soo', 'much', 'love', 'support', 'accept', 'best', 'wishes', 'thank']","['friend', 'alway', 'appreci', 'care', 'thank', 'soo', 'much', 'love', 'support', 'accept', 'best', 'wish', 'thank']","['friends', 'always', 'appreciate', 'cares', 'thank', 'soo', 'much', 'love', 'support', 'accept', 'best', 'wishes', 'thank']",5,Pakistan
2022-06-03 04:13:36+00:00,1.5325762059118223e+18,"@GopalVaidya12 @the_hindu @janusmyth The globe and human respecting are not as little as you may believe if you focus simply on delivering food and medicine.
We appreciate the entire Indian nation for their support in the past, and we all Afghans continue to wish for friendly relations with the great India.",ImranZakeria,Afghanistan,0.0,0.0,0.0,0.0,"Researcher, Regional Studies Center, Afghanistan Science Academy",49.0,,the globe and human respecting are not as little as you may believe if you focus simply on delivering food and medicine we appreciate the entire indian nation for their support in the past and we all afghans continue to wish for friendly relations with the great india,"['the', 'globe', 'and', 'human', 'respecting', 'are', 'not', 'as', 'little', 'as', 'you', 'may', 'believe', 'if', 'you', 'focus', 'simply', 'on', 'delivering', 'food', 'and', 'medicine', 'we', 'appreciate', 'the', 'entire', 'indian', 'nation', 'for', 'their', 'support', 'in', 'the', 'past', 'and', 'we', 'all', 'afghans', 'continue', 'to', 'wish', 'for', 'friendly', 'relations', 'with', 'the', 'great', 'india']","['globe', 'human', 'respecting', 'little', 'may', 'believe', 'focus', 'simply', 'delivering', 'food', 'medicine', 'appreciate', 'entire', 'indian', 'nation', 'support', 'past', 'afghans', 'continue', 'wish', 'friendly', 'relations', 'great', 'india']","['globe', 'human', 'respect', 'littl', 'may', 'believ', 'focu', 'simpli', 'deliv', 'food', 'medicin', 'appreci', 'entir', 'indian', 'nation', 'support', 'past', 'afghan', 'continu', 'wish', 'friendli', 'relat', 'great', 'india']","['globe', 'human', 'respecting', 'little', 'may', 'believe', 'focus', 'simply', 'delivering', 'food', 'medicine', 'appreciate', 'entire', 'indian', 'nation', 'support', 'past', 'afghans', 'continue', 'wish', 'friendly', 'relations', 'great', 'india']",3,Pakistan
2022-06-01 21:12:15+00:00,1.5321077854415176e+18,"@MaryamNSharif Unfortunately, this is the weakness of PML-N's SMTs and supporters.
and It is also the responsibility of every right-wing Pakistani to appreciate and share the same statement with the right-wing journalists who analyze these riots with such strong arguments to expose the reality",EHSANjui,"Balochistan, Pakistan",0.0,1.0,0.0,0.0,"‏‏‏‏‏‏‏‏اے الله میں انسان ہو عاجزاورخطا ہوکار ہوں

 بس آپ رحمان کے رحم کا محتاج اور طلبگار ہوں",8439.0,,unfortunately this is the weakness of pmlns smts and supporters and it is also the responsibility of every rightwing pakistani to appreciate and share the same statement with the rightwing journalists who analyze these riots with such strong arguments to expose the reality,"['unfortunately', 'this', 'is', 'the', 'weakness', 'of', 'pmlns', 'smts', 'and', 'supporters', 'and', 'it', 'is', 'also', 'the', 'responsibility', 'of', 'every', 'rightwing', 'pakistani', 'to', 'appreciate', 'and', 'share', 'the', 'same', 'statement', 'with', 'the', 'rightwing', 'journalists', 'who', 'analyze', 'these', 'riots', 'with', 'such', 'strong', 'arguments', 'to', 'expose', 'the', 'reality']","['unfortunately', 'weakness', 'pmlns', 'smts', 'supporters', 'also', 'responsibility', 'every', 'rightwing', 'pakistani', 'appreciate', 'share', 'statement', 'rightwing', 'journalists', 'analyze', 'riots', 'strong', 'arguments', 'expose', 'reality']","['unfortun', 'weak', 'pmln', 'smt', 'support', 'also', 'respons', 'everi', 'rightw', 'pakistani', 'appreci', 'share', 'statement', 'rightw', 'journalist', 'analyz', 'riot', 'strong', 'argument', 'expos', 'realiti']","['unfortunately', 'weakness', 'pmlns', 'smts', 'supporters', 'also', 'responsibility', 'every', 'rightwing', 'pakistani', 'appreciate', 'share', 'statement', 'rightwing', 'journalists', 'analyze', 'riots', 'strong', 'arguments', 'expose', 'reality']",1,Pakistan
2022-05-31 03:46:07+00:00,1.5314821290323108e+18,"Alhamdulilah, we really appreciate your efforts for provision of uniform health services to the residents of KPK https://t.co/OruvEGoGrv",ArshadM19448386,,0.0,0.0,0.0,0.0,Business Executive,53.0,,alhamdulilah we really appreciate your efforts for provision of uniform health services to the residents of kpk,"['alhamdulilah', 'we', 'really', 'appreciate', 'your', 'efforts', 'for', 'provision', 'of', 'uniform', 'health', 'services', 'to', 'the', 'residents', 'of', 'kpk']","['alhamdulilah', 'really', 'appreciate', 'efforts', 'provision', 'uniform', 'health', 'services', 'residents', 'kpk']","['alhamdulilah', 'realli', 'appreci', 'effort', 'provis', 'uniform', 'health', 'servic', 'resid', 'kpk']","['alhamdulilah', 'really', 'appreciate', 'efforts', 'provision', 'uniform', 'health', 'services', 'residents', 'kpk']",4,Pakistan
2022-05-30 11:48:13+00:00,1.5312410664304886e+18,"@Romail65427031 @GippyGrewal I appreciate your words brother. I know he was non-muslim. But also he's a Human and a ""Sikh"" and sikh always support muslim community around the world.",vickythealfa,"Lyallpur, Pakistan",1.0,1.0,0.0,0.0,"""I Can do Bad all by myself."" •Gemini•💯 •Warrior•⚔•Mughal•🔰™•Achiever•🏆•Losted•🤔•Smokholich•🚬•ITDoc•🛠 •Apple•♥️•GraphicWala•🖌•OrganicLover•🍀•PML(N)•🇵🇰",99.0,,i appreciate your words brother i know he was nonmuslim but also hes a human and a sikh and sikh always support muslim community around the world,"['i', 'appreciate', 'your', 'words', 'brother', 'i', 'know', 'he', 'was', 'nonmuslim', 'but', 'also', 'hes', 'a', 'human', 'and', 'a', 'sikh', 'and', 'sikh', 'always', 'support', 'muslim', 'community', 'around', 'the', 'world']","['appreciate', 'words', 'brother', 'know', 'nonmuslim', 'also', 'hes', 'human', 'sikh', 'sikh', 'always', 'support', 'muslim', 'community', 'around', 'world']","['appreci', 'word', 'brother', 'know', 'nonmuslim', 'also', 'he', 'human', 'sikh', 'sikh', 'alway', 'support', 'muslim', 'commun', 'around', 'world']","['appreciate', 'words', 'brother', 'know', 'nonmuslim', 'also', 'hes', 'human', 'sikh', 'sikh', 'always', 'support', 'muslim', 'community', 'around', 'world']",4,Pakistan
2021-11-08 07:52:40+00:00,1.4576170507345756e+18,"The Government of khyber Pakhtunkhwa  appreciate the efforts of our partners in supporting the Government of KP in the unprecedented undertaking of the merger. 
#puttingpeoplefirst #Pakistan #@GovernmentKP @GovtofPakistan 
#Mergedareas
@PnDKPGovt https://t.co/6goyC98pE9",naveedbinrehman,"Peshawar, Pakistan",4.0,0.0,1.0,0.0,"Development Student, Working for Planning & Development Department #GoKP. Project, Planning, Appraisals, M&E, ICT for #Governance.Interests 🎼 📷🚙📚🧗‍♂️🏃🏻🎭",95.0,"['puttingpeoplefirst', 'Pakistan', 'Mergedareas']",the government of khyber pakhtunkhwa appreciate the efforts of our partners in supporting the government of kp in the unprecedented undertaking of the merger puttingpeoplefirst pakistan mergedareas,"['the', 'government', 'of', 'khyber', 'pakhtunkhwa', 'appreciate', 'the', 'efforts', 'of', 'our', 'partners', 'in', 'supporting', 'the', 'government', 'of', 'kp', 'in', 'the', 'unprecedented', 'undertaking', 'of', 'the', 'merger', 'puttingpeoplefirst', 'pakistan', 'mergedareas']","['government', 'khyber', 'pakhtunkhwa', 'appreciate', 'efforts', 'partners', 'supporting', 'government', 'kp', 'unprecedented', 'undertaking', 'merger', 'puttingpeoplefirst', 'pakistan', 'mergedareas']","['govern', 'khyber', 'pakhtunkhwa', 'appreci', 'effort', 'partner', 'support', 'govern', 'kp', 'unpreced', 'undertak', 'merger', 'puttingpeoplefirst', 'pakistan', 'mergedarea']","['government', 'khyber', 'pakhtunkhwa', 'appreciate', 'efforts', 'partners', 'supporting', 'government', 'kp', 'unprecedented', 'undertaking', 'merger', 'puttingpeoplefirst', 'pakistan', 'mergedareas']",4,Pakistan
2021-08-28 07:58:21+00:00,1.4315265538553528e+18,"@ImranKhanPTI Indeed it’s a good step to motivate, appreciate &amp; encourage young players. But sir, consistent policies and a consistent flow of resources are much needed to get work done on the ground. Unfortunately, we are masters on Twitter having no policy &amp; nor support for players.",Ashar_Awan17,"Islamabad, Pakistan",0.0,0.0,0.0,0.0,"Freelance Writer| YouTuber| Pursuing BS in Development Economics| SOE Quaid-e-Azam University, Islamabad",284.0,,indeed its a good step to motivate appreciate amp encourage young players but sir consistent policies and a consistent flow of resources are much needed to get work done on the ground unfortunately we are masters on twitter having no policy amp nor support for players,"['indeed', 'its', 'a', 'good', 'step', 'to', 'motivate', 'appreciate', 'amp', 'encourage', 'young', 'players', 'but', 'sir', 'consistent', 'policies', 'and', 'a', 'consistent', 'flow', 'of', 'resources', 'are', 'much', 'needed', 'to', 'get', 'work', 'done', 'on', 'the', 'ground', 'unfortunately', 'we', 'are', 'masters', 'on', 'twitter', 'having', 'no', 'policy', 'amp', 'nor', 'support', 'for', 'players']","['indeed', 'good', 'step', 'motivate', 'appreciate', 'amp', 'encourage', 'young', 'players', 'sir', 'consistent', 'policies', 'consistent', 'flow', 'resources', 'much', 'needed', 'get', 'work', 'done', 'ground', 'unfortunately', 'masters', 'twitter', 'policy', 'amp', 'support', 'players']","['inde', 'good', 'step', 'motiv', 'appreci', 'amp', 'encourag', 'young', 'player', 'sir', 'consist', 'polici', 'consist', 'flow', 'resourc', 'much', 'need', 'get', 'work', 'done', 'ground', 'unfortun', 'master', 'twitter', 'polici', 'amp', 'support', 'player']","['indeed', 'good', 'step', 'motivate', 'appreciate', 'amp', 'encourage', 'young', 'players', 'sir', 'consistent', 'policies', 'consistent', 'flow', 'resources', 'much', 'needed', 'get', 'work', 'done', 'ground', 'unfortunately', 'masters', 'twitter', 'policy', 'amp', 'support', 'players']",4,Pakistan
2021-07-15 13:08:10+00:00,1.4156594545452524e+18,"Men have a whole support structure that allows them to pursue their dreams, career goals without worrying about their home. Women who work and women who stay at home, both, need to be appreciated more. Just monetize a housewife's work to truly appreciate their contribution. https://t.co/LKkjscIU6Y",obi_wan_gobhi,"Islamabad, Pakistan",0.0,0.0,0.0,0.0,"A really Nice Guy (just ask my mom). Trying to make sense of the world through books, stories, people and memes.",77.0,,men have a whole support structure that allows them to pursue their dreams career goals without worrying about their home women who work and women who stay at home both need to be appreciated more just monetize a housewifes work to truly appreciate their contribution,"['men', 'have', 'a', 'whole', 'support', 'structure', 'that', 'allows', 'them', 'to', 'pursue', 'their', 'dreams', 'career', 'goals', 'without', 'worrying', 'about', 'their', 'home', 'women', 'who', 'work', 'and', 'women', 'who', 'stay', 'at', 'home', 'both', 'need', 'to', 'be', 'appreciated', 'more', 'just', 'monetize', 'a', 'housewifes', 'work', 'to', 'truly', 'appreciate', 'their', 'contribution']","['men', 'whole', 'support', 'structure', 'allows', 'pursue', 'dreams', 'career', 'goals', 'without', 'worrying', 'home', 'women', 'work', 'women', 'stay', 'home', 'need', 'appreciated', 'monetize', 'housewifes', 'work', 'truly', 'appreciate', 'contribution']","['men', 'whole', 'support', 'structur', 'allow', 'pursu', 'dream', 'career', 'goal', 'without', 'worri', 'home', 'women', 'work', 'women', 'stay', 'home', 'need', 'appreci', 'monet', 'housewif', 'work', 'truli', 'appreci', 'contribut']","['men', 'whole', 'support', 'structure', 'allows', 'pursue', 'dreams', 'career', 'goals', 'without', 'worrying', 'home', 'women', 'work', 'women', 'stay', 'home', 'need', 'appreciated', 'monetize', 'housewifes', 'work', 'truly', 'appreciate', 'contribution']",5,Pakistan
2021-06-19 07:59:17+00:00,1.4061596363870577e+18,Appreciate the customer service support of @ViCustomerCare especially Ms Sini our RM. she is always prompt on reply and support! Keep it up Sini,sureshseagull1,"Mumbai, India",0.0,0.0,0.0,0.0,Chairman & Managing Director-Seagull Group. Secretary General Indo Gulf & Middle East Chamber of Commerce (INMECC). Former General Secretary IPEPCIL & FORAI.,521.0,,appreciate the customer service support of especially ms sini our rm she is always prompt on reply and support keep it up sini,"['appreciate', 'the', 'customer', 'service', 'support', 'of', 'especially', 'ms', 'sini', 'our', 'rm', 'she', 'is', 'always', 'prompt', 'on', 'reply', 'and', 'support', 'keep', 'it', 'up', 'sini']","['appreciate', 'customer', 'service', 'support', 'especially', 'ms', 'sini', 'rm', 'always', 'prompt', 'reply', 'support', 'keep', 'sini']","['appreci', 'custom', 'servic', 'support', 'especi', 'ms', 'sini', 'rm', 'alway', 'prompt', 'repli', 'support', 'keep', 'sini']","['appreciate', 'customer', 'service', 'support', 'especially', 'ms', 'sini', 'rm', 'always', 'prompt', 'reply', 'support', 'keep', 'sini']",4,Pakistan
