Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-04 22:39:39+00:00,1533216940369465344,"Turned 23 this year! 

Thank you so much sa mga early greetings through gcs and personal msgs! Appreciate you!🥹😘 (my Facebook and Twitter kdlex fam)

To my mains @kdestrada_ @alexailacad, always here for you loves! I promise to stay and support you kasi kung kahit! 🤍 https://t.co/TovIgPIw2D",AbayaMindanao,Republic of the Philippines,78.0,51.0,11.0,0.0,BSED BIO Teacher/22/ Traveler,1855.0,,turned 23 this year thank you so much sa mga early greetings through gcs and personal msgs appreciate you my facebook and twitter kdlex fam to my mains always here for you loves i promise to stay and support you kasi kung kahit,"['turned', '23', 'this', 'year', 'thank', 'you', 'so', 'much', 'sa', 'mga', 'early', 'greetings', 'through', 'gcs', 'and', 'personal', 'msgs', 'appreciate', 'you', 'my', 'facebook', 'and', 'twitter', 'kdlex', 'fam', 'to', 'my', 'mains', 'always', 'here', 'for', 'you', 'loves', 'i', 'promise', 'to', 'stay', 'and', 'support', 'you', 'kasi', 'kung', 'kahit']","['turned', '23', 'year', 'thank', 'much', 'sa', 'mga', 'early', 'greetings', 'gcs', 'personal', 'msgs', 'appreciate', 'facebook', 'twitter', 'kdlex', 'fam', 'mains', 'always', 'loves', 'promise', 'stay', 'support', 'kasi', 'kung', 'kahit']","['turn', '23', 'year', 'thank', 'much', 'sa', 'mga', 'earli', 'greet', 'gc', 'person', 'msg', 'appreci', 'facebook', 'twitter', 'kdlex', 'fam', 'main', 'alway', 'love', 'promis', 'stay', 'support', 'kasi', 'kung', 'kahit']","['turned', '23', 'year', 'thank', 'much', 'sa', 'mga', 'early', 'greetings', 'gcs', 'personal', 'msgs', 'appreciate', 'facebook', 'twitter', 'kdlex', 'fam', 'mains', 'always', 'loves', 'promise', 'stay', 'support', 'kasi', 'kung', 'kahit']",5,Philippines
2022-06-04 06:05:06+00:00,1532966656900681732,"I'm planning to start vlogging for my yt and patre0n soon but I'd like a case and neck strap for traveling purposes ✨️🌸
I'd greatly appreciate your support in sharing my commissi0ns, checking out my sh0p, or sending a ko-fi~! 💖💌 https://t.co/Xm9vOfqDfw https://t.co/sr3jLrlKbJ",subaong,Hawaii,0.0,1.0,0.0,0.0,Hawaiian/Japanese ★ She/Her ★ 27 ★ ISJF ★ ∞❤ ★ 日本語🆗️,296.0,,im planning to start vlogging for my yt and patre0n soon but id like a case and neck strap for traveling purposes id greatly appreciate your support in sharing my commissi0ns checking out my sh0p or sending a kofi,"['im', 'planning', 'to', 'start', 'vlogging', 'for', 'my', 'yt', 'and', 'patre0n', 'soon', 'but', 'id', 'like', 'a', 'case', 'and', 'neck', 'strap', 'for', 'traveling', 'purposes', 'id', 'greatly', 'appreciate', 'your', 'support', 'in', 'sharing', 'my', 'commissi0ns', 'checking', 'out', 'my', 'sh0p', 'or', 'sending', 'a', 'kofi']","['im', 'planning', 'start', 'vlogging', 'yt', 'patre0n', 'soon', 'id', 'like', 'case', 'neck', 'strap', 'traveling', 'purposes', 'id', 'greatly', 'appreciate', 'support', 'sharing', 'commissi0ns', 'checking', 'sh0p', 'sending', 'kofi']","['im', 'plan', 'start', 'vlog', 'yt', 'patre0n', 'soon', 'id', 'like', 'case', 'neck', 'strap', 'travel', 'purpos', 'id', 'greatli', 'appreci', 'support', 'share', 'commissi0n', 'check', 'sh0p', 'send', 'kofi']","['im', 'planning', 'start', 'vlogging', 'yt', 'patre0n', 'soon', 'id', 'like', 'case', 'neck', 'strap', 'traveling', 'purposes', 'id', 'greatly', 'appreciate', 'support', 'sharing', 'commissi0ns', 'checking', 'sh0p', 'sending', 'kofi']",4,Philippines
2022-06-03 16:20:54+00:00,1532759239634358274,"Let us appreciate our beloved Admins for their unfailing love and support towards Zach and Seham. As well as those people who are with them physically to help, support and take good care of them. Each member of this family is valued and appreciated. Ily all so much! #ZacHam 🤎🫶",euphoriaa_01,Republic of the Philippines,147.0,1.0,31.0,0.0,Spread love and positivity!,491.0,['ZacHam'],let us appreciate our beloved admins for their unfailing love and support towards zach and seham as well as those people who are with them physically to help support and take good care of them each member of this family is valued and appreciated ily all so much zacham,"['let', 'us', 'appreciate', 'our', 'beloved', 'admins', 'for', 'their', 'unfailing', 'love', 'and', 'support', 'towards', 'zach', 'and', 'seham', 'as', 'well', 'as', 'those', 'people', 'who', 'are', 'with', 'them', 'physically', 'to', 'help', 'support', 'and', 'take', 'good', 'care', 'of', 'them', 'each', 'member', 'of', 'this', 'family', 'is', 'valued', 'and', 'appreciated', 'ily', 'all', 'so', 'much', 'zacham']","['let', 'us', 'appreciate', 'beloved', 'admins', 'unfailing', 'love', 'support', 'towards', 'zach', 'seham', 'well', 'people', 'physically', 'help', 'support', 'take', 'good', 'care', 'member', 'family', 'valued', 'appreciated', 'ily', 'much', 'zacham']","['let', 'us', 'appreci', 'belov', 'admin', 'unfail', 'love', 'support', 'toward', 'zach', 'seham', 'well', 'peopl', 'physic', 'help', 'support', 'take', 'good', 'care', 'member', 'famili', 'valu', 'appreci', 'ili', 'much', 'zacham']","['let', 'us', 'appreciate', 'beloved', 'admins', 'unfailing', 'love', 'support', 'towards', 'zach', 'seham', 'well', 'people', 'physically', 'help', 'support', 'take', 'good', 'care', 'member', 'family', 'valued', 'appreciated', 'ily', 'much', 'zacham']",5,Philippines
2022-06-03 05:23:05+00:00,1532593694561673217,"It's ok to appreciate other fandoms but be careful,kasi sa bawat fandoms may fans o supporters sila na bashers and haters.

#KDLex #KDEstrada #AlexaIlacad",ginamaree1031,Republic of the Philippines,12.0,0.0,3.0,0.0,"happy life,happy me,
@kdestrada_  fangirl",2722.0,"['KDLex', 'KDEstrada', 'AlexaIlacad']",its ok to appreciate other fandoms but be carefulkasi sa bawat fandoms may fans o supporters sila na bashers and haters kdlex kdestrada alexailacad,"['its', 'ok', 'to', 'appreciate', 'other', 'fandoms', 'but', 'be', 'carefulkasi', 'sa', 'bawat', 'fandoms', 'may', 'fans', 'o', 'supporters', 'sila', 'na', 'bashers', 'and', 'haters', 'kdlex', 'kdestrada', 'alexailacad']","['ok', 'appreciate', 'fandoms', 'carefulkasi', 'sa', 'bawat', 'fandoms', 'may', 'fans', 'supporters', 'sila', 'na', 'bashers', 'haters', 'kdlex', 'kdestrada', 'alexailacad']","['ok', 'appreci', 'fandom', 'carefulkasi', 'sa', 'bawat', 'fandom', 'may', 'fan', 'support', 'sila', 'na', 'basher', 'hater', 'kdlex', 'kdestrada', 'alexailacad']","['ok', 'appreciate', 'fandoms', 'carefulkasi', 'sa', 'bawat', 'fandoms', 'may', 'fans', 'supporters', 'sila', 'na', 'bashers', 'haters', 'kdlex', 'kdestrada', 'alexailacad']",3,Philippines
2022-06-03 00:19:54+00:00,1532517396883263488,"""thoughts of Robnie, it's a good loveteam, I appreciate the support"" ayieeee I love how he sees it as loveteam, though some fans support Robnie as sibship, or friendship pero he sees it as a loveteam, nkakahappy na actually, thanks so much Robbie!
#RobNie
#StephanieJordan https://t.co/aAVQyDtgm4",iamchietake,Republic of the Philippines,7.0,0.0,2.0,0.0,,932.0,"['RobNie', 'StephanieJordan']",thoughts of robnie its a good loveteam i appreciate the support ayieeee i love how he sees it as loveteam though some fans support robnie as sibship or friendship pero he sees it as a loveteam nkakahappy na actually thanks so much robbie robnie stephaniejordan,"['thoughts', 'of', 'robnie', 'its', 'a', 'good', 'loveteam', 'i', 'appreciate', 'the', 'support', 'ayieeee', 'i', 'love', 'how', 'he', 'sees', 'it', 'as', 'loveteam', 'though', 'some', 'fans', 'support', 'robnie', 'as', 'sibship', 'or', 'friendship', 'pero', 'he', 'sees', 'it', 'as', 'a', 'loveteam', 'nkakahappy', 'na', 'actually', 'thanks', 'so', 'much', 'robbie', 'robnie', 'stephaniejordan']","['thoughts', 'robnie', 'good', 'loveteam', 'appreciate', 'support', 'ayieeee', 'love', 'sees', 'loveteam', 'though', 'fans', 'support', 'robnie', 'sibship', 'friendship', 'pero', 'sees', 'loveteam', 'nkakahappy', 'na', 'actually', 'thanks', 'much', 'robbie', 'robnie', 'stephaniejordan']","['thought', 'robni', 'good', 'loveteam', 'appreci', 'support', 'ayieee', 'love', 'see', 'loveteam', 'though', 'fan', 'support', 'robni', 'sibship', 'friendship', 'pero', 'see', 'loveteam', 'nkakahappi', 'na', 'actual', 'thank', 'much', 'robbi', 'robni', 'stephaniejordan']","['thoughts', 'robnie', 'good', 'loveteam', 'appreciate', 'support', 'ayieeee', 'love', 'sees', 'loveteam', 'though', 'fans', 'support', 'robnie', 'sibship', 'friendship', 'pero', 'sees', 'loveteam', 'nkakahappy', 'na', 'actually', 'thanks', 'much', 'robbie', 'robnie', 'stephaniejordan']",4,Philippines
2022-06-02 03:44:18+00:00,1532206448209436674,"@_captainTech We appreciate your feedback, @_captainTech. Rest assured that we're continuously finding ways to enhance and innovate our products and services to satisfy the needs and expectations of our customers, like you. Thank you for choosing PLDT!",PLDT_Cares,Philippines,0.0,0.0,0.0,0.0,Welcome to the official customer support account of @PLDTHome. You may also reach us on facebook.com/pldtcares or through our hotline 171.,216334.0,,we appreciate your feedback rest assured that were continuously finding ways to enhance and innovate our products and services to satisfy the needs and expectations of our customers like you thank you for choosing pldt,"['we', 'appreciate', 'your', 'feedback', 'rest', 'assured', 'that', 'were', 'continuously', 'finding', 'ways', 'to', 'enhance', 'and', 'innovate', 'our', 'products', 'and', 'services', 'to', 'satisfy', 'the', 'needs', 'and', 'expectations', 'of', 'our', 'customers', 'like', 'you', 'thank', 'you', 'for', 'choosing', 'pldt']","['appreciate', 'feedback', 'rest', 'assured', 'continuously', 'finding', 'ways', 'enhance', 'innovate', 'products', 'services', 'satisfy', 'needs', 'expectations', 'customers', 'like', 'thank', 'choosing', 'pldt']","['appreci', 'feedback', 'rest', 'assur', 'continu', 'find', 'way', 'enhanc', 'innov', 'product', 'servic', 'satisfi', 'need', 'expect', 'custom', 'like', 'thank', 'choos', 'pldt']","['appreciate', 'feedback', 'rest', 'assured', 'continuously', 'finding', 'ways', 'enhance', 'innovate', 'products', 'services', 'satisfy', 'needs', 'expectations', 'customers', 'like', 'thank', 'choosing', 'pldt']",5,Philippines
2022-06-02 02:00:05+00:00,1532180220840751104,Mahalo to @GovHawaii and @FirstLadyofHI for visiting with DOH staff. #PublicHealthMatters and we appreciate your support! 🤙 https://t.co/ysUX0BFKSJ,HawaiiDOH,Hawaii,5.0,2.0,1.0,1.0,"Working to protect the health and wellbeing of the people, communities and islands of Hawaii. For COVID-19 info, visit HawaiiCOVID19.com. #HIGotVaccinated",12585.0,['PublicHealthMatters'],mahalo to and for visiting with doh staff publichealthmatters and we appreciate your support,"['mahalo', 'to', 'and', 'for', 'visiting', 'with', 'doh', 'staff', 'publichealthmatters', 'and', 'we', 'appreciate', 'your', 'support']","['mahalo', 'visiting', 'doh', 'staff', 'publichealthmatters', 'appreciate', 'support']","['mahalo', 'visit', 'doh', 'staff', 'publichealthmatt', 'appreci', 'support']","['mahalo', 'visiting', 'doh', 'staff', 'publichealthmatters', 'appreciate', 'support']",5,Philippines
2022-05-31 21:32:08+00:00,1531750401711648769,@Davc_s @OnePlanet_NFT @FridayNightPunk @Department_77 Appreciate your support and we are enjoying the onboarding process into the Polygon ecosystem through people like yourself ❤️,EdwinDMonroy,Luna,2.0,1.0,0.0,0.0,community manager | @oneplanet_nft // operations | @orbital_command,377.0,,appreciate your support and we are enjoying the onboarding process into the polygon ecosystem through people like yourself,"['appreciate', 'your', 'support', 'and', 'we', 'are', 'enjoying', 'the', 'onboarding', 'process', 'into', 'the', 'polygon', 'ecosystem', 'through', 'people', 'like', 'yourself']","['appreciate', 'support', 'enjoying', 'onboarding', 'process', 'polygon', 'ecosystem', 'people', 'like']","['appreci', 'support', 'enjoy', 'onboard', 'process', 'polygon', 'ecosystem', 'peopl', 'like']","['appreciate', 'support', 'enjoying', 'onboarding', 'process', 'polygon', 'ecosystem', 'people', 'like']",4,Philippines
2022-05-31 07:27:28+00:00,1531537832598437888,"Skl. Nung SME/CSR2 pa ko, pag nag pre huddle kami ng team na sinusupport ko kasama TL(Team Lead) I always appreciate yung mga teammate for showing up sa work. Even though expected sila magwork every shift, I always tell them ""Thank you for coming into work today team!—",oracleofhoe,behind your back,1.0,1.0,0.0,0.0,"wild and fluorescent. 🇵🇭 Readings — on hiatus
Tarot reader. ♊☀️♍🌙♒⤴️
If you follow this account, you need therapy.",368.0,,skl nung smecsr2 pa ko pag nag pre huddle kami ng team na sinusupport ko kasama tlteam lead i always appreciate yung mga teammate for showing up sa work even though expected sila magwork every shift i always tell them thank you for coming into work today team,"['skl', 'nung', 'smecsr2', 'pa', 'ko', 'pag', 'nag', 'pre', 'huddle', 'kami', 'ng', 'team', 'na', 'sinusupport', 'ko', 'kasama', 'tlteam', 'lead', 'i', 'always', 'appreciate', 'yung', 'mga', 'teammate', 'for', 'showing', 'up', 'sa', 'work', 'even', 'though', 'expected', 'sila', 'magwork', 'every', 'shift', 'i', 'always', 'tell', 'them', 'thank', 'you', 'for', 'coming', 'into', 'work', 'today', 'team']","['skl', 'nung', 'smecsr2', 'pa', 'ko', 'pag', 'nag', 'pre', 'huddle', 'kami', 'ng', 'team', 'na', 'sinusupport', 'ko', 'kasama', 'tlteam', 'lead', 'always', 'appreciate', 'yung', 'mga', 'teammate', 'showing', 'sa', 'work', 'even', 'though', 'expected', 'sila', 'magwork', 'every', 'shift', 'always', 'tell', 'thank', 'coming', 'work', 'today', 'team']","['skl', 'nung', 'smecsr2', 'pa', 'ko', 'pag', 'nag', 'pre', 'huddl', 'kami', 'ng', 'team', 'na', 'sinusupport', 'ko', 'kasama', 'tlteam', 'lead', 'alway', 'appreci', 'yung', 'mga', 'teammat', 'show', 'sa', 'work', 'even', 'though', 'expect', 'sila', 'magwork', 'everi', 'shift', 'alway', 'tell', 'thank', 'come', 'work', 'today', 'team']","['skl', 'nung', 'smecsr2', 'pa', 'ko', 'pag', 'nag', 'pre', 'huddle', 'kami', 'ng', 'team', 'na', 'sinusupport', 'ko', 'kasama', 'tlteam', 'lead', 'always', 'appreciate', 'yung', 'mga', 'teammate', 'showing', 'sa', 'work', 'even', 'though', 'expected', 'sila', 'magwork', 'every', 'shift', 'always', 'tell', 'thank', 'coming', 'work', 'today', 'team']",5,Philippines
2022-05-31 00:16:00+00:00,1531429252268179456,"“Ako naman po it’s my life, our lives. We don’t have to share everything that we do or parang paano nagsimula basta I think the fans and supporters would also appreciate the fact that we’re happy."" https://t.co/uNewMUT4ak",banderaphl,"Makati City, Philippines",0.0,0.0,0.0,0.0,"Hitik sa showbiz chika at balita. Published by Inquirer Publications, Inc. a member of the Inquirer Group of Companies.",37026.0,,ako naman po its my life our lives we dont have to share everything that we do or parang paano nagsimula basta i think the fans and supporters would also appreciate the fact that were happy,"['ako', 'naman', 'po', 'its', 'my', 'life', 'our', 'lives', 'we', 'dont', 'have', 'to', 'share', 'everything', 'that', 'we', 'do', 'or', 'parang', 'paano', 'nagsimula', 'basta', 'i', 'think', 'the', 'fans', 'and', 'supporters', 'would', 'also', 'appreciate', 'the', 'fact', 'that', 'were', 'happy']","['ako', 'naman', 'po', 'life', 'lives', 'dont', 'share', 'everything', 'parang', 'paano', 'nagsimula', 'basta', 'think', 'fans', 'supporters', 'would', 'also', 'appreciate', 'fact', 'happy']","['ako', 'naman', 'po', 'life', 'live', 'dont', 'share', 'everyth', 'parang', 'paano', 'nagsimula', 'basta', 'think', 'fan', 'support', 'would', 'also', 'appreci', 'fact', 'happi']","['ako', 'naman', 'po', 'life', 'lives', 'dont', 'share', 'everything', 'parang', 'paano', 'nagsimula', 'basta', 'think', 'fans', 'supporters', 'would', 'also', 'appreciate', 'fact', 'happy']",3,Philippines
