Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-02 17:52:19+00:00,1.5324198587087176e+18,"@Itsmetb21 I really appreciate, Nothing is More important than mental health but keep supporting our girl #AnjaliArora",NisharHussain7,"Dubai, United Arab Emirates. ",6.0,0.0,2.0,0.0,"wrok hard in silence, let your success be your noise",173.0,['AnjaliArora'],i really appreciate nothing is more important than mental health but keep supporting our girl anjaliarora,"['i', 'really', 'appreciate', 'nothing', 'is', 'more', 'important', 'than', 'mental', 'health', 'but', 'keep', 'supporting', 'our', 'girl', 'anjaliarora']","['really', 'appreciate', 'nothing', 'important', 'mental', 'health', 'keep', 'supporting', 'girl', 'anjaliarora']","['realli', 'appreci', 'noth', 'import', 'mental', 'health', 'keep', 'support', 'girl', 'anjaliarora']","['really', 'appreciate', 'nothing', 'important', 'mental', 'health', 'keep', 'supporting', 'girl', 'anjaliarora']",4,Qatar
2022-06-02 08:20:45+00:00,1.5322760183161815e+18,"Labotel Workers Village organising blood donation Drive 2022 at Labotel Workers village China Camp baniyas Abu Dhabi on Saturday, 04 june 2022.
Appreciate your support and cooperation.

#AbudhabiBloodBank
#Labotelworkersvillage
#AlOtaibaEnterprises
#livelovelabotel
#SaveLives https://t.co/nS2nC6mNf7",LabotelV,Abu Dhabi,0.0,0.0,0.0,0.0,Labotel is a workers village that focuses on the wellbeing and happiness of its residents. Call us at (800 1333),10.0,"['AbudhabiBloodBank', 'Labotelworkersvillage', 'AlOtaibaEnterprises', 'livelovelabotel', 'SaveLives']",labotel workers village organising blood donation drive 2022 at labotel workers village china camp baniyas abu dhabi on saturday 04 june 2022 appreciate your support and cooperation abudhabibloodbank labotelworkersvillage alotaibaenterprises livelovelabotel savelives,"['labotel', 'workers', 'village', 'organising', 'blood', 'donation', 'drive', '2022', 'at', 'labotel', 'workers', 'village', 'china', 'camp', 'baniyas', 'abu', 'dhabi', 'on', 'saturday', '04', 'june', '2022', 'appreciate', 'your', 'support', 'and', 'cooperation', 'abudhabibloodbank', 'labotelworkersvillage', 'alotaibaenterprises', 'livelovelabotel', 'savelives']","['labotel', 'workers', 'village', 'organising', 'blood', 'donation', 'drive', '2022', 'labotel', 'workers', 'village', 'china', 'camp', 'baniyas', 'abu', 'dhabi', 'saturday', '04', 'june', '2022', 'appreciate', 'support', 'cooperation', 'abudhabibloodbank', 'labotelworkersvillage', 'alotaibaenterprises', 'livelovelabotel', 'savelives']","['labotel', 'worker', 'villag', 'organis', 'blood', 'donat', 'drive', '2022', 'labotel', 'worker', 'villag', 'china', 'camp', 'baniya', 'abu', 'dhabi', 'saturday', '04', 'june', '2022', 'appreci', 'support', 'cooper', 'abudhabibloodbank', 'labotelworkersvillag', 'alotaibaenterpris', 'livelovelabotel', 'savel']","['labotel', 'workers', 'village', 'organising', 'blood', 'donation', 'drive', '2022', 'labotel', 'workers', 'village', 'china', 'camp', 'baniyas', 'abu', 'dhabi', 'saturday', '04', 'june', '2022', 'appreciate', 'support', 'cooperation', 'abudhabibloodbank', 'labotelworkersvillage', 'alotaibaenterprises', 'livelovelabotel', 'savelives']",5,Qatar
2022-06-01 12:01:40+00:00,1.5319692231189668e+18,"On this Global Day of Parents, we honour and appreciate our parents throughout our lives for their unconditional love, support, and care for us.

Show love and gratitude to your parents today.

#UmmAlEmaratPark #AbuDhabi #UAE #GlobalDayofParents #family #parents https://t.co/1upd2nOfRF",UmmAlEmaratPark,"Abu Dhabi, UAE",0.0,0.0,0.0,0.0,Umm Al Emarat Park is a community hub for all of Abu Dhabi's residents to enjoy. Experience. Educate. Enrich. Explore. Check out our newly designed website!,998.0,"['UmmAlEmaratPark', 'AbuDhabi', 'UAE', 'GlobalDayofParents', 'family', 'parents']",on this global day of parents we honour and appreciate our parents throughout our lives for their unconditional love support and care for us show love and gratitude to your parents today ummalemaratpark abudhabi uae globaldayofparents family parents,"['on', 'this', 'global', 'day', 'of', 'parents', 'we', 'honour', 'and', 'appreciate', 'our', 'parents', 'throughout', 'our', 'lives', 'for', 'their', 'unconditional', 'love', 'support', 'and', 'care', 'for', 'us', 'show', 'love', 'and', 'gratitude', 'to', 'your', 'parents', 'today', 'ummalemaratpark', 'abudhabi', 'uae', 'globaldayofparents', 'family', 'parents']","['global', 'day', 'parents', 'honour', 'appreciate', 'parents', 'throughout', 'lives', 'unconditional', 'love', 'support', 'care', 'us', 'show', 'love', 'gratitude', 'parents', 'today', 'ummalemaratpark', 'abudhabi', 'uae', 'globaldayofparents', 'family', 'parents']","['global', 'day', 'parent', 'honour', 'appreci', 'parent', 'throughout', 'live', 'uncondit', 'love', 'support', 'care', 'us', 'show', 'love', 'gratitud', 'parent', 'today', 'ummalemaratpark', 'abudhabi', 'uae', 'globaldayofpar', 'famili', 'parent']","['global', 'day', 'parents', 'honour', 'appreciate', 'parents', 'throughout', 'lives', 'unconditional', 'love', 'support', 'care', 'us', 'show', 'love', 'gratitude', 'parents', 'today', 'ummalemaratpark', 'abudhabi', 'uae', 'globaldayofparents', 'family', 'parents']",5,Qatar
2021-10-10 04:09:58+00:00,1.4470517580611092e+18,"Hi everyone,I'm looking for a new role and would appreciate your support. Thank you in advance for any connections, advise or opportunities you can offer. #midwife#Nanny#Childminder#research#Audits#presenter#speaker#mentor#Bahrain.....",laurenhunt5,Bahrain Amwaj,0.0,0.0,0.0,0.0,Determined#wife#mother#midwife#Autonmiouspractitioner#womensheallth#WXUH#Bartshealth,18.0,,hi everyoneim looking for a new role and would appreciate your support thank you in advance for any connections advise or opportunities you can offer midwifenannychildminderresearchauditspresenterspeakermentorbahrain,"['hi', 'everyoneim', 'looking', 'for', 'a', 'new', 'role', 'and', 'would', 'appreciate', 'your', 'support', 'thank', 'you', 'in', 'advance', 'for', 'any', 'connections', 'advise', 'or', 'opportunities', 'you', 'can', 'offer', 'midwifenannychildminderresearchauditspresenterspeakermentorbahrain']","['hi', 'everyoneim', 'looking', 'new', 'role', 'would', 'appreciate', 'support', 'thank', 'advance', 'connections', 'advise', 'opportunities', 'offer', 'midwifenannychildminderresearchauditspresenterspeakermentorbahrain']","['hi', 'everyoneim', 'look', 'new', 'role', 'would', 'appreci', 'support', 'thank', 'advanc', 'connect', 'advis', 'opportun', 'offer', 'midwifenannychildminderresearchauditspresenterspeakermentorbahrain']","['hi', 'everyoneim', 'looking', 'new', 'role', 'would', 'appreciate', 'support', 'thank', 'advance', 'connections', 'advise', 'opportunities', 'offer', 'midwifenannychildminderresearchauditspresenterspeakermentorbahrain']",5,Qatar
2021-08-27 10:22:10+00:00,1.4312003582739333e+18,"@ZomatoUAE can someone help it’s been a week but no response or support.  Struggling to order and the app keeps saying verifying number 😳😳
Would really appreciate any support or response @zomato @zomatocare @ZomatoProHelp",venkimahadevan,"Dubai, United Arab Emirates",0.0,1.0,0.0,0.0,"#Technologyleader, #CIO #TRANSFORMATIONLEADER #HighPerformance #Coach, #Energyspeaker @ZEN_podcast",353.0,,can someone help its been a week but no response or support struggling to order and the app keeps saying verifying number would really appreciate any support or response,"['can', 'someone', 'help', 'its', 'been', 'a', 'week', 'but', 'no', 'response', 'or', 'support', 'struggling', 'to', 'order', 'and', 'the', 'app', 'keeps', 'saying', 'verifying', 'number', 'would', 'really', 'appreciate', 'any', 'support', 'or', 'response']","['someone', 'help', 'week', 'response', 'support', 'struggling', 'order', 'app', 'keeps', 'saying', 'verifying', 'number', 'would', 'really', 'appreciate', 'support', 'response']","['someon', 'help', 'week', 'respons', 'support', 'struggl', 'order', 'app', 'keep', 'say', 'verifi', 'number', 'would', 'realli', 'appreci', 'support', 'respons']","['someone', 'help', 'week', 'response', 'support', 'struggling', 'order', 'app', 'keeps', 'saying', 'verifying', 'number', 'would', 'really', 'appreciate', 'support', 'response']",2,Qatar
2021-01-01 09:30:27+00:00,1.344939031981912e+18,"@AjesR9 Aha, i am terrible at receiving praise.

I am glad I could leave a positive impact for some people. I hope to continue on that front.

Much love Ajes 💜 I appreciate you, thank you for being incredibly supportive and genuinely the best.",Voyevoda_Rose,"Bristol, UK",1.0,0.0,0.0,0.0,28 • Variety Content Creator • Host • Borderlands •  PKMN • Yakuza • MGS • Persona • Horror/Indie • @1000DreamsFund Recipient • Former Esports CC • 🇬🇧•🇦🇪,3279.0,,aha i am terrible at receiving praise i am glad i could leave a positive impact for some people i hope to continue on that front much love ajes i appreciate you thank you for being incredibly supportive and genuinely the best,"['aha', 'i', 'am', 'terrible', 'at', 'receiving', 'praise', 'i', 'am', 'glad', 'i', 'could', 'leave', 'a', 'positive', 'impact', 'for', 'some', 'people', 'i', 'hope', 'to', 'continue', 'on', 'that', 'front', 'much', 'love', 'ajes', 'i', 'appreciate', 'you', 'thank', 'you', 'for', 'being', 'incredibly', 'supportive', 'and', 'genuinely', 'the', 'best']","['aha', 'terrible', 'receiving', 'praise', 'glad', 'could', 'leave', 'positive', 'impact', 'people', 'hope', 'continue', 'front', 'much', 'love', 'ajes', 'appreciate', 'thank', 'incredibly', 'supportive', 'genuinely', 'best']","['aha', 'terribl', 'receiv', 'prais', 'glad', 'could', 'leav', 'posit', 'impact', 'peopl', 'hope', 'continu', 'front', 'much', 'love', 'aje', 'appreci', 'thank', 'incred', 'support', 'genuin', 'best']","['aha', 'terrible', 'receiving', 'praise', 'glad', 'could', 'leave', 'positive', 'impact', 'people', 'hope', 'continue', 'front', 'much', 'love', 'ajes', 'appreciate', 'thank', 'incredibly', 'supportive', 'genuinely', 'best']",5,Qatar
2020-12-27 05:21:00+00:00,1.3430643147442872e+18,"Our carefully designed selection of ‘thank you’ cards are the perfect way to say a huge heartfelt thank you to your customers, and let them know how much you appreciate their business and support. The#thankyoucards #thecardco #tccstyle #difc #uae #dubaiprint #corporategift https://t.co/3K10KJzwvP",TheCardCo,"Dubai, UAE",1.0,0.0,0.0,0.0,"We create couture handmade wedding cards, corporate and stationery for any occasions.",429.0,"['thecardco', 'tccstyle', 'difc', 'uae', 'dubaiprint', 'corporategift']",our carefully designed selection of thank you cards are the perfect way to say a huge heartfelt thank you to your customers and let them know how much you appreciate their business and support thethankyoucards thecardco tccstyle difc uae dubaiprint corporategift,"['our', 'carefully', 'designed', 'selection', 'of', 'thank', 'you', 'cards', 'are', 'the', 'perfect', 'way', 'to', 'say', 'a', 'huge', 'heartfelt', 'thank', 'you', 'to', 'your', 'customers', 'and', 'let', 'them', 'know', 'how', 'much', 'you', 'appreciate', 'their', 'business', 'and', 'support', 'thethankyoucards', 'thecardco', 'tccstyle', 'difc', 'uae', 'dubaiprint', 'corporategift']","['carefully', 'designed', 'selection', 'thank', 'cards', 'perfect', 'way', 'say', 'huge', 'heartfelt', 'thank', 'customers', 'let', 'know', 'much', 'appreciate', 'business', 'support', 'thethankyoucards', 'thecardco', 'tccstyle', 'difc', 'uae', 'dubaiprint', 'corporategift']","['care', 'design', 'select', 'thank', 'card', 'perfect', 'way', 'say', 'huge', 'heartfelt', 'thank', 'custom', 'let', 'know', 'much', 'appreci', 'busi', 'support', 'thethankyoucard', 'thecardco', 'tccstyle', 'difc', 'uae', 'dubaiprint', 'corporategift']","['carefully', 'designed', 'selection', 'thank', 'cards', 'perfect', 'way', 'say', 'huge', 'heartfelt', 'thank', 'customers', 'let', 'know', 'much', 'appreciate', 'business', 'support', 'thethankyoucards', 'thecardco', 'tccstyle', 'difc', 'uae', 'dubaiprint', 'corporategift']",5,Qatar
2020-12-09 13:57:45+00:00,1.3366713795765166e+18,"Our favourite day of the year ⭐️ When we give back as a middle school to our wonderful, selfless support workers. We really do appreciate all that you do for us ❤️ Thanks to StuCo for organizing #thespiritofgiving #givingback #middleschool #stuckinthemiddle @gems_daa https://t.co/5symTSuNXs",DaaMiddle,"Dubai, United Arab Emirates",9.0,0.0,1.0,0.0,Official twitter account for @gems_daa Middle School! 💫,448.0,"['thespiritofgiving', 'givingback', 'middleschool', 'stuckinthemiddle']",our favourite day of the year when we give back as a middle school to our wonderful selfless support workers we really do appreciate all that you do for us thanks to stuco for organizing thespiritofgiving givingback middleschool stuckinthemiddle,"['our', 'favourite', 'day', 'of', 'the', 'year', 'when', 'we', 'give', 'back', 'as', 'a', 'middle', 'school', 'to', 'our', 'wonderful', 'selfless', 'support', 'workers', 'we', 'really', 'do', 'appreciate', 'all', 'that', 'you', 'do', 'for', 'us', 'thanks', 'to', 'stuco', 'for', 'organizing', 'thespiritofgiving', 'givingback', 'middleschool', 'stuckinthemiddle']","['favourite', 'day', 'year', 'give', 'back', 'middle', 'school', 'wonderful', 'selfless', 'support', 'workers', 'really', 'appreciate', 'us', 'thanks', 'stuco', 'organizing', 'thespiritofgiving', 'givingback', 'middleschool', 'stuckinthemiddle']","['favourit', 'day', 'year', 'give', 'back', 'middl', 'school', 'wonder', 'selfless', 'support', 'worker', 'realli', 'appreci', 'us', 'thank', 'stuco', 'organ', 'thespiritofgiv', 'givingback', 'middleschool', 'stuckinthemiddl']","['favourite', 'day', 'year', 'give', 'back', 'middle', 'school', 'wonderful', 'selfless', 'support', 'workers', 'really', 'appreciate', 'us', 'thanks', 'stuco', 'organizing', 'thespiritofgiving', 'givingback', 'middleschool', 'stuckinthemiddle']",5,Qatar
2020-11-24 12:23:49+00:00,1.3312119226671718e+18,"RT Stay tuned to our new upcoming project✨✨
Would appreciate the support and share🌝🍇
🔖Follow us on instagram:
https://t.co/dtDELldwrC https://t.co/8wzX4ZQ9Ti",msaid__,NARNIA ,10.0,0.0,15.0,1.0,check out my skincare business account …African Arabian,382.0,,rt stay tuned to our new upcoming project would appreciate the support and share follow us on instagram,"['rt', 'stay', 'tuned', 'to', 'our', 'new', 'upcoming', 'project', 'would', 'appreciate', 'the', 'support', 'and', 'share', 'follow', 'us', 'on', 'instagram']","['rt', 'stay', 'tuned', 'new', 'upcoming', 'project', 'would', 'appreciate', 'support', 'share', 'follow', 'us', 'instagram']","['rt', 'stay', 'tune', 'new', 'upcom', 'project', 'would', 'appreci', 'support', 'share', 'follow', 'us', 'instagram']","['rt', 'stay', 'tuned', 'new', 'upcoming', 'project', 'would', 'appreciate', 'support', 'share', 'follow', 'us', 'instagram']",4,Qatar
2020-10-01 15:03:11+00:00,1.3116830822950502e+18,"We appreciate everyone who took part in the national campaign to protect healthcare workers and help prevent coronavirus spread in hospitals in Lebanon, the COVID-19 Emergency Response for Lebanon campaign.    
1/4
#lebanonneeds #COVID19 #PPE #donate #support https://t.co/bzPqq2EeZO",LebanonNeeds,Lebanon,1.0,1.0,2.0,0.0,We provide medications and health support to those who need it most in Lebanon.,186.0,"['lebanonneeds', 'COVID19', 'PPE', 'donate', 'support']",we appreciate everyone who took part in the national campaign to protect healthcare workers and help prevent coronavirus spread in hospitals in lebanon the covid19 emergency response for lebanon campaign 14 lebanonneeds covid19 ppe donate support,"['we', 'appreciate', 'everyone', 'who', 'took', 'part', 'in', 'the', 'national', 'campaign', 'to', 'protect', 'healthcare', 'workers', 'and', 'help', 'prevent', 'coronavirus', 'spread', 'in', 'hospitals', 'in', 'lebanon', 'the', 'covid19', 'emergency', 'response', 'for', 'lebanon', 'campaign', '14', 'lebanonneeds', 'covid19', 'ppe', 'donate', 'support']","['appreciate', 'everyone', 'took', 'part', 'national', 'campaign', 'protect', 'healthcare', 'workers', 'help', 'prevent', 'coronavirus', 'spread', 'hospitals', 'lebanon', 'covid19', 'emergency', 'response', 'lebanon', 'campaign', '14', 'lebanonneeds', 'covid19', 'ppe', 'donate', 'support']","['appreci', 'everyon', 'took', 'part', 'nation', 'campaign', 'protect', 'healthcar', 'worker', 'help', 'prevent', 'coronaviru', 'spread', 'hospit', 'lebanon', 'covid19', 'emerg', 'respons', 'lebanon', 'campaign', '14', 'lebanonne', 'covid19', 'ppe', 'donat', 'support']","['appreciate', 'everyone', 'took', 'part', 'national', 'campaign', 'protect', 'healthcare', 'workers', 'help', 'prevent', 'coronavirus', 'spread', 'hospitals', 'lebanon', 'covid19', 'emergency', 'response', 'lebanon', 'campaign', '14', 'lebanonneeds', 'covid19', 'ppe', 'donate', 'support']",5,Qatar
