Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-01 12:14:05+00:00,1.5319723494063675e+18,"Meet Alice Muller and her team: #LuL_für_die_Ukraine They’re a group of German teachers from #Geißen who help our hub. Bringing in canned food and 10,000€ worth of medicine. We appreciate the amazing support ❤️
Their insta: https://t.co/ld6oEZ8Ck1
#helpuaro #Ukraine #Donate https://t.co/6FCdYXaJg8",helpukrainero,,1.0,0.0,1.0,0.0,We are a humanitarian aid hub. We help the global community ship and distribute humanitarian aid supplies to vulnerable groups affected by the war in Ukraine.,24.0,"['LuL_für_die_Ukraine', 'Geißen', 'helpuaro', 'Ukraine', 'Donate']",meet alice muller and her team lulfrdieukraine theyre a group of german teachers from geien who help our hub bringing in canned food and 10000 worth of medicine we appreciate the amazing support their insta helpuaro ukraine donate,"['meet', 'alice', 'muller', 'and', 'her', 'team', 'lulfrdieukraine', 'theyre', 'a', 'group', 'of', 'german', 'teachers', 'from', 'geien', 'who', 'help', 'our', 'hub', 'bringing', 'in', 'canned', 'food', 'and', '10000', 'worth', 'of', 'medicine', 'we', 'appreciate', 'the', 'amazing', 'support', 'their', 'insta', 'helpuaro', 'ukraine', 'donate']","['meet', 'alice', 'muller', 'team', 'lulfrdieukraine', 'theyre', 'group', 'german', 'teachers', 'geien', 'help', 'hub', 'bringing', 'canned', 'food', '10000', 'worth', 'medicine', 'appreciate', 'amazing', 'support', 'insta', 'helpuaro', 'ukraine', 'donate']","['meet', 'alic', 'muller', 'team', 'lulfrdieukrain', 'theyr', 'group', 'german', 'teacher', 'geien', 'help', 'hub', 'bring', 'can', 'food', '10000', 'worth', 'medicin', 'appreci', 'amaz', 'support', 'insta', 'helpuaro', 'ukrain', 'donat']","['meet', 'alice', 'muller', 'team', 'lulfrdieukraine', 'theyre', 'group', 'german', 'teachers', 'geien', 'help', 'hub', 'bringing', 'canned', 'food', '10000', 'worth', 'medicine', 'appreciate', 'amazing', 'support', 'insta', 'helpuaro', 'ukraine', 'donate']",5,Romania
2022-06-18 08:34:13+00:00,1.5380776112466862e+18,"@hereandtherean1 @BradleyFried1 @spawnofKahn @cpimentel986 The combined GDP of the states supporting Ukraine is in the region of $45 trillion, and produces most of it's own weaponry. There is essentially no limit to what can be sent to Ukraine, given some time for ramp up of production, except self-imposed ones",Wil_D_Coyote,Wallachia,0.0,0.0,0.0,0.0,"Father, Immigrant in Romania, Professional Keyboard Tapper, NAFO

Enjoyer of:
🇺🇦🇷🇴🇱🇹🇪🇪🇺🇸🇹🇼

Cringe at:
🇩🇪🇷🇺🇨🇳🇭🇺",92.0,,the combined gdp of the states supporting ukraine is in the region of 45 trillion and produces most of its own weaponry there is essentially no limit to what can be sent to ukraine given some time for ramp up of production except selfimposed ones,"['the', 'combined', 'gdp', 'of', 'the', 'states', 'supporting', 'ukraine', 'is', 'in', 'the', 'region', 'of', '45', 'trillion', 'and', 'produces', 'most', 'of', 'its', 'own', 'weaponry', 'there', 'is', 'essentially', 'no', 'limit', 'to', 'what', 'can', 'be', 'sent', 'to', 'ukraine', 'given', 'some', 'time', 'for', 'ramp', 'up', 'of', 'production', 'except', 'selfimposed', 'ones']","['combined', 'gdp', 'states', 'supporting', 'ukraine', 'region', '45', 'trillion', 'produces', 'weaponry', 'essentially', 'limit', 'sent', 'ukraine', 'given', 'time', 'ramp', 'production', 'except', 'selfimposed', 'ones']","['combin', 'gdp', 'state', 'support', 'ukrain', 'region', '45', 'trillion', 'produc', 'weaponri', 'essenti', 'limit', 'sent', 'ukrain', 'given', 'time', 'ramp', 'product', 'except', 'selfimpos', 'one']","['combined', 'gdp', 'states', 'supporting', 'ukraine', 'region', '45', 'trillion', 'produces', 'weaponry', 'essentially', 'limit', 'sent', 'ukraine', 'given', 'time', 'ramp', 'production', 'except', 'selfimposed', 'ones']",1,Romania
2022-06-14 15:44:25+00:00,1.5367363240106148e+18,"To create a safe space for young people from #Ukraine to learn, socialize &amp; engage in #Bucharest, @NRC_Norway partnered with @FundatiaA who empowers youth to achieve their full potential.
Thanks to the National Library of #Romania &amp; @UNICEFRomania who also support the initiative! https://t.co/8DULRCE4Rp",LNvoyageuse,Somewhere on Earth. Always.,7.0,1.0,0.0,0.0,"Socially distant since 1991 • Traveler, reader, cake lover • Almost never answer texts • GIF Queen • In my personal capacity & all, ok? 🎾 🍰 🧳 🏃🏻‍♀️ 💤",2863.0,"['Ukraine', 'Bucharest', 'Romania']",to create a safe space for young people from ukraine to learn socialize amp engage in bucharest partnered with who empowers youth to achieve their full potential thanks to the national library of romania amp who also support the initiative,"['to', 'create', 'a', 'safe', 'space', 'for', 'young', 'people', 'from', 'ukraine', 'to', 'learn', 'socialize', 'amp', 'engage', 'in', 'bucharest', 'partnered', 'with', 'who', 'empowers', 'youth', 'to', 'achieve', 'their', 'full', 'potential', 'thanks', 'to', 'the', 'national', 'library', 'of', 'romania', 'amp', 'who', 'also', 'support', 'the', 'initiative']","['create', 'safe', 'space', 'young', 'people', 'ukraine', 'learn', 'socialize', 'amp', 'engage', 'bucharest', 'partnered', 'empowers', 'youth', 'achieve', 'full', 'potential', 'thanks', 'national', 'library', 'romania', 'amp', 'also', 'support', 'initiative']","['creat', 'safe', 'space', 'young', 'peopl', 'ukrain', 'learn', 'social', 'amp', 'engag', 'bucharest', 'partner', 'empow', 'youth', 'achiev', 'full', 'potenti', 'thank', 'nation', 'librari', 'romania', 'amp', 'also', 'support', 'initi']","['create', 'safe', 'space', 'young', 'people', 'ukraine', 'learn', 'socialize', 'amp', 'engage', 'bucharest', 'partnered', 'empowers', 'youth', 'achieve', 'full', 'potential', 'thanks', 'national', 'library', 'romania', 'amp', 'also', 'support', 'initiative']",5,Romania
2022-02-26 09:19:48+00:00,1.4975016442500915e+18,"@KyivIndependent From Bucharest, we all want to support your country, we, take care of your refugees, womans, kids, old persons, and we pray for all of you who fighting over there, with(Irod, the king who wanted to kill, jesus,) trust in God, evil, never win, be strong your an example",CristyAlexi1,"Bucureşti, România",2.0,0.0,0.0,0.0,,19.0,,from bucharest we all want to support your country we take care of your refugees womans kids old persons and we pray for all of you who fighting over there withirod the king who wanted to kill jesus trust in god evil never win be strong your an example,"['from', 'bucharest', 'we', 'all', 'want', 'to', 'support', 'your', 'country', 'we', 'take', 'care', 'of', 'your', 'refugees', 'womans', 'kids', 'old', 'persons', 'and', 'we', 'pray', 'for', 'all', 'of', 'you', 'who', 'fighting', 'over', 'there', 'withirod', 'the', 'king', 'who', 'wanted', 'to', 'kill', 'jesus', 'trust', 'in', 'god', 'evil', 'never', 'win', 'be', 'strong', 'your', 'an', 'example']","['bucharest', 'want', 'support', 'country', 'take', 'care', 'refugees', 'womans', 'kids', 'old', 'persons', 'pray', 'fighting', 'withirod', 'king', 'wanted', 'kill', 'jesus', 'trust', 'god', 'evil', 'never', 'win', 'strong', 'example']","['bucharest', 'want', 'support', 'countri', 'take', 'care', 'refuge', 'woman', 'kid', 'old', 'person', 'pray', 'fight', 'withirod', 'king', 'want', 'kill', 'jesu', 'trust', 'god', 'evil', 'never', 'win', 'strong', 'exampl']","['bucharest', 'want', 'support', 'country', 'take', 'care', 'refugees', 'womans', 'kids', 'old', 'persons', 'pray', 'fighting', 'withirod', 'king', 'wanted', 'kill', 'jesus', 'trust', 'god', 'evil', 'never', 'win', 'strong', 'example']",5,Romania
2021-03-22 09:56:17+00:00,1.3739365631602235e+18,"@ValinVigo @animalsupporte @siriusanimalre1 @AnimalSOSSLanka @LovingPaws08 @tws_pk @BProtectionist @IAPWA @Yanneri3446 @SSDRESCU Sorry , scam me 😭😭😭😭😭😭😭you dont know me At all and Said this horrble things about people that you dont know .....horrble I AM HUMAN DOCTOR AND IN MY FREE TIME DAILY FROM 20 years i Feed and rescued strays animals in BUCHAREST România I SAVED UNTIL NOW HUNDREDS OF ANIMALS😡",BucharestStray,"Bucureşti, România",7.0,3.0,3.0,0.0,"Saving the strays of Bucharest since 1999.
Be kind to those in need....
Donations-paypal:gangelaraluca@yahoo.com",4008.0,,sorry scam me you dont know me at all and said this horrble things about people that you dont know horrble i am human doctor and in my free time daily from 20 years i feed and rescued strays animals in bucharest romnia i saved until now hundreds of animals,"['sorry', 'scam', 'me', 'you', 'dont', 'know', 'me', 'at', 'all', 'and', 'said', 'this', 'horrble', 'things', 'about', 'people', 'that', 'you', 'dont', 'know', 'horrble', 'i', 'am', 'human', 'doctor', 'and', 'in', 'my', 'free', 'time', 'daily', 'from', '20', 'years', 'i', 'feed', 'and', 'rescued', 'strays', 'animals', 'in', 'bucharest', 'romnia', 'i', 'saved', 'until', 'now', 'hundreds', 'of', 'animals']","['sorry', 'scam', 'dont', 'know', 'said', 'horrble', 'things', 'people', 'dont', 'know', 'horrble', 'human', 'doctor', 'free', 'time', 'daily', '20', 'years', 'feed', 'rescued', 'strays', 'animals', 'bucharest', 'romnia', 'saved', 'hundreds', 'animals']","['sorri', 'scam', 'dont', 'know', 'said', 'horrbl', 'thing', 'peopl', 'dont', 'know', 'horrbl', 'human', 'doctor', 'free', 'time', 'daili', '20', 'year', 'feed', 'rescu', 'stray', 'anim', 'bucharest', 'romnia', 'save', 'hundr', 'anim']","['sorry', 'scam', 'dont', 'know', 'said', 'horrble', 'things', 'people', 'dont', 'know', 'horrble', 'human', 'doctor', 'free', 'time', 'daily', '20', 'years', 'feed', 'rescued', 'strays', 'animals', 'bucharest', 'romnia', 'saved', 'hundreds', 'animals']",1,Romania
2020-04-03 13:45:43+00:00,1.2460713851908833e+18,"My local coffee shop just delivered emergency medical supplies 🥰.

They just launched their website and delivery service today - so if you're in #Bucharest, and you love coffee (and if you don't, you're in the wrong town tbf,) support my local store 😁. https://t.co/c03Ffi9n4P https://t.co/JpTgV6JpFl",clank75,"Bucureşti, România",9.0,0.0,1.0,0.0,"Da, asta e viața mea / e prima și ultima / o voi trăi cu-adevărat... ❤️🇷🇴, ❤️🇪🇺.",728.0,['Bucharest'],my local coffee shop just delivered emergency medical supplies they just launched their website and delivery service today so if youre in bucharest and you love coffee and if you dont youre in the wrong town tbf support my local store,"['my', 'local', 'coffee', 'shop', 'just', 'delivered', 'emergency', 'medical', 'supplies', 'they', 'just', 'launched', 'their', 'website', 'and', 'delivery', 'service', 'today', 'so', 'if', 'youre', 'in', 'bucharest', 'and', 'you', 'love', 'coffee', 'and', 'if', 'you', 'dont', 'youre', 'in', 'the', 'wrong', 'town', 'tbf', 'support', 'my', 'local', 'store']","['local', 'coffee', 'shop', 'delivered', 'emergency', 'medical', 'supplies', 'launched', 'website', 'delivery', 'service', 'today', 'youre', 'bucharest', 'love', 'coffee', 'dont', 'youre', 'wrong', 'town', 'tbf', 'support', 'local', 'store']","['local', 'coffe', 'shop', 'deliv', 'emerg', 'medic', 'suppli', 'launch', 'websit', 'deliveri', 'servic', 'today', 'your', 'bucharest', 'love', 'coffe', 'dont', 'your', 'wrong', 'town', 'tbf', 'support', 'local', 'store']","['local', 'coffee', 'shop', 'delivered', 'emergency', 'medical', 'supplies', 'launched', 'website', 'delivery', 'service', 'today', 'youre', 'bucharest', 'love', 'coffee', 'dont', 'youre', 'wrong', 'town', 'tbf', 'support', 'local', 'store']",5,Romania
2020-02-09 11:11:22+00:00,1.226463595778605e+18,"We are pretty sure @eddieizzard will come past the Palace of the People here in Bucharest at some point today...so we thought we'd pop by to show we're supporting you, even if our signs are rubbish and we don't actually see you! GO EDDIE! #MakeHumanityGreatAgain https://t.co/si4GPcfQp8",MrAllsopHistory,"Bucharest, Romania",15.0,2.0,1.0,0.0,"History teacher, House Coordinator. MrAllsopHistory.com podcasts. #OnThisDay podcast @History_Pod. Author of 366 & Another 366 Days. @TMHistoryIcons",12361.0,['MakeHumanityGreatAgain'],we are pretty sure will come past the palace of the people here in bucharest at some point todayso we thought wed pop by to show were supporting you even if our signs are rubbish and we dont actually see you go eddie makehumanitygreatagain,"['we', 'are', 'pretty', 'sure', 'will', 'come', 'past', 'the', 'palace', 'of', 'the', 'people', 'here', 'in', 'bucharest', 'at', 'some', 'point', 'todayso', 'we', 'thought', 'wed', 'pop', 'by', 'to', 'show', 'were', 'supporting', 'you', 'even', 'if', 'our', 'signs', 'are', 'rubbish', 'and', 'we', 'dont', 'actually', 'see', 'you', 'go', 'eddie', 'makehumanitygreatagain']","['pretty', 'sure', 'come', 'past', 'palace', 'people', 'bucharest', 'point', 'todayso', 'thought', 'wed', 'pop', 'show', 'supporting', 'even', 'signs', 'rubbish', 'dont', 'actually', 'see', 'go', 'eddie', 'makehumanitygreatagain']","['pretti', 'sure', 'come', 'past', 'palac', 'peopl', 'bucharest', 'point', 'todayso', 'thought', 'wed', 'pop', 'show', 'support', 'even', 'sign', 'rubbish', 'dont', 'actual', 'see', 'go', 'eddi', 'makehumanitygreatagain']","['pretty', 'sure', 'come', 'past', 'palace', 'people', 'bucharest', 'point', 'todayso', 'thought', 'wed', 'pop', 'show', 'supporting', 'even', 'signs', 'rubbish', 'dont', 'actually', 'see', 'go', 'eddie', 'makehumanitygreatagain']",3,Romania
2020-02-06 06:56:35+00:00,1.225312314393604e+18,Delighted to be visiting our programmes in Romania @SenseInternatl Visiting a school in Bucharest to see how we support children who are deafblind and learn about our vocational training programme followed by a thank you event for our wonderful supporters,RichardKSense,United Kingdom,17.0,0.0,2.0,0.0,Proud Chief Executive of brilliant @sensecharity @senseinternatl and Trustee of @en4ei. Based in Birmingham and London. Views my own.,12422.0,,delighted to be visiting our programmes in romania visiting a school in bucharest to see how we support children who are deafblind and learn about our vocational training programme followed by a thank you event for our wonderful supporters,"['delighted', 'to', 'be', 'visiting', 'our', 'programmes', 'in', 'romania', 'visiting', 'a', 'school', 'in', 'bucharest', 'to', 'see', 'how', 'we', 'support', 'children', 'who', 'are', 'deafblind', 'and', 'learn', 'about', 'our', 'vocational', 'training', 'programme', 'followed', 'by', 'a', 'thank', 'you', 'event', 'for', 'our', 'wonderful', 'supporters']","['delighted', 'visiting', 'programmes', 'romania', 'visiting', 'school', 'bucharest', 'see', 'support', 'children', 'deafblind', 'learn', 'vocational', 'training', 'programme', 'followed', 'thank', 'event', 'wonderful', 'supporters']","['delight', 'visit', 'programm', 'romania', 'visit', 'school', 'bucharest', 'see', 'support', 'children', 'deafblind', 'learn', 'vocat', 'train', 'programm', 'follow', 'thank', 'event', 'wonder', 'support']","['delighted', 'visiting', 'programmes', 'romania', 'visiting', 'school', 'bucharest', 'see', 'support', 'children', 'deafblind', 'learn', 'vocational', 'training', 'programme', 'followed', 'thank', 'event', 'wonderful', 'supporters']",5,Romania
2022-06-17 17:21:45+00:00,1.5378479825986355e+18,"https://t.co/qPKjzWuqkD  The European ""Life Will Win"" tour is set to raise funds for Ukraine's medical needs and to support Ukrainian artists #RomaniaInsider https://t.co/pZC6ZwWE1b",romania_insider,"Bucharest, Romania",2.0,0.0,2.0,0.0,"The leading source of reliable, English - language news from Romania.",4874.0,['RomaniaInsider'],the european life will win tour is set to raise funds for ukraines medical needs and to support ukrainian artists romaniainsider,"['the', 'european', 'life', 'will', 'win', 'tour', 'is', 'set', 'to', 'raise', 'funds', 'for', 'ukraines', 'medical', 'needs', 'and', 'to', 'support', 'ukrainian', 'artists', 'romaniainsider']","['european', 'life', 'win', 'tour', 'set', 'raise', 'funds', 'ukraines', 'medical', 'needs', 'support', 'ukrainian', 'artists', 'romaniainsider']","['european', 'life', 'win', 'tour', 'set', 'rais', 'fund', 'ukrain', 'medic', 'need', 'support', 'ukrainian', 'artist', 'romaniainsid']","['european', 'life', 'win', 'tour', 'set', 'raise', 'funds', 'ukraines', 'medical', 'needs', 'support', 'ukrainian', 'artists', 'romaniainsider']",4,Romania
2020-04-08 17:36:10+00:00,1.24794131828804e+18,"The funds would later shift to support efforts for women's health, education and universal basic income(UBI) after the COVID-19 epidemic. https://t.co/TRVdBnvxfQ",lluana29,Bucharest- London- Brussels,0.0,0.0,0.0,0.0,“Be yourself. Everyone else is already taken.”,197.0,,the funds would later shift to support efforts for womens health education and universal basic incomeubi after the covid19 epidemic,"['the', 'funds', 'would', 'later', 'shift', 'to', 'support', 'efforts', 'for', 'womens', 'health', 'education', 'and', 'universal', 'basic', 'incomeubi', 'after', 'the', 'covid19', 'epidemic']","['funds', 'would', 'later', 'shift', 'support', 'efforts', 'womens', 'health', 'education', 'universal', 'basic', 'incomeubi', 'covid19', 'epidemic']","['fund', 'would', 'later', 'shift', 'support', 'effort', 'women', 'health', 'educ', 'univers', 'basic', 'incomeubi', 'covid19', 'epidem']","['funds', 'would', 'later', 'shift', 'support', 'efforts', 'womens', 'health', 'education', 'universal', 'basic', 'incomeubi', 'covid19', 'epidemic']",4,Romania
