Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-01 17:05:26+00:00,1532045670043238400,"@PapaPicklez @yungeckhart @MoshiMochiNFT @M33NJi @DoctorEthereum @KrybbonsNFT @wearethefoos Thanks, Picklez! I really appreciate your support so much! I hope others you love it as much as you will find it 🙏",MattBurnsComics,South Korea,1,0,0,0,"New dad / teacher / Artist 
Creator of the Webtoon and ETH NFT collection, 🦇 Franklin the Vampire 🦇
foundation.app/@MatthewBurns
mattburns.tez",741,,thanks picklez i really appreciate your support so much i hope others you love it as much as you will find it,"['thanks', 'picklez', 'i', 'really', 'appreciate', 'your', 'support', 'so', 'much', 'i', 'hope', 'others', 'you', 'love', 'it', 'as', 'much', 'as', 'you', 'will', 'find', 'it']","['thanks', 'picklez', 'really', 'appreciate', 'support', 'much', 'hope', 'others', 'love', 'much', 'find']","['thank', 'picklez', 'realli', 'appreci', 'support', 'much', 'hope', 'other', 'love', 'much', 'find']","['thanks', 'picklez', 'really', 'appreciate', 'support', 'much', 'hope', 'others', 'love', 'much', 'find']",5,South Korea
2022-06-01 11:23:45+00:00,1531959682344026112,"@AlexMAdams2 I've gone back to NMS. Because @hellogames cares about their player base. They care about the needs and wishes of the community and hold the Game up runnin.
Even its it's a very small studio they do a great work.
I appreciate this and it's definitely worth supporting. And after",ReallyALotNames,Sol,2,1,0,0,01000110 01110101 01100011 01101011 00100000 01101001 01110100,92,,ive gone back to nms because cares about their player base they care about the needs and wishes of the community and hold the game up runnin even its its a very small studio they do a great work i appreciate this and its definitely worth supporting and after,"['ive', 'gone', 'back', 'to', 'nms', 'because', 'cares', 'about', 'their', 'player', 'base', 'they', 'care', 'about', 'the', 'needs', 'and', 'wishes', 'of', 'the', 'community', 'and', 'hold', 'the', 'game', 'up', 'runnin', 'even', 'its', 'its', 'a', 'very', 'small', 'studio', 'they', 'do', 'a', 'great', 'work', 'i', 'appreciate', 'this', 'and', 'its', 'definitely', 'worth', 'supporting', 'and', 'after']","['ive', 'gone', 'back', 'nms', 'cares', 'player', 'base', 'care', 'needs', 'wishes', 'community', 'hold', 'game', 'runnin', 'even', 'small', 'studio', 'great', 'work', 'appreciate', 'definitely', 'worth', 'supporting']","['ive', 'gone', 'back', 'nm', 'care', 'player', 'base', 'care', 'need', 'wish', 'commun', 'hold', 'game', 'runnin', 'even', 'small', 'studio', 'great', 'work', 'appreci', 'definit', 'worth', 'support']","['ive', 'gone', 'back', 'nms', 'cares', 'player', 'base', 'care', 'needs', 'wishes', 'community', 'hold', 'game', 'runnin', 'even', 'small', 'studio', 'great', 'work', 'appreciate', 'definitely', 'worth', 'supporting']",5,South Korea
2019-12-19 13:57:25+00:00,1207661215142428673,"(Convo with my photographer, discussing work/upcoming projects) I don’t express it enough how much I appreciate being supported by you guys!!!! All your comments, messages, really keep me lifted up! Things are not always easy! Thank you 😘😘 https://t.co/qASbYCQuaP",thekourtmonroe,"Manhattan, NY",1,1,0,0,"Playboy Playmate🐰 Published Glamour Model|| Psych Major || Koala Models Agency, Milan Italy 🇮🇹",1466,,convo with my photographer discussing workupcoming projects i dont express it enough how much i appreciate being supported by you guys all your comments messages really keep me lifted up things are not always easy thank you,"['convo', 'with', 'my', 'photographer', 'discussing', 'workupcoming', 'projects', 'i', 'dont', 'express', 'it', 'enough', 'how', 'much', 'i', 'appreciate', 'being', 'supported', 'by', 'you', 'guys', 'all', 'your', 'comments', 'messages', 'really', 'keep', 'me', 'lifted', 'up', 'things', 'are', 'not', 'always', 'easy', 'thank', 'you']","['convo', 'photographer', 'discussing', 'workupcoming', 'projects', 'dont', 'express', 'enough', 'much', 'appreciate', 'supported', 'guys', 'comments', 'messages', 'really', 'keep', 'lifted', 'things', 'always', 'easy', 'thank']","['convo', 'photograph', 'discuss', 'workupcom', 'project', 'dont', 'express', 'enough', 'much', 'appreci', 'support', 'guy', 'comment', 'messag', 'realli', 'keep', 'lift', 'thing', 'alway', 'easi', 'thank']","['convo', 'photographer', 'discussing', 'workupcoming', 'projects', 'dont', 'express', 'enough', 'much', 'appreciate', 'supported', 'guys', 'comments', 'messages', 'really', 'keep', 'lifted', 'things', 'always', 'easy', 'thank']",3,South Korea
2022-06-07 06:51:36+00:00,1534065523415130113,"White represents self-purity. Take a look our partnership in Coway’s new campaign to embrace you with a vigorous existence. It gives high-quality, innovative products that will enhance the care of you as well. Keep track out for the next ads video! Let’s live a healthy lifestyle. https://t.co/GFSUwzgznN",twehyung,"Seoul, Republic of Korea",2,1,0,0,"The Eccedent #𝐕 (방탄소년단): A melancholy voguish evoked objet d’art luxe, living upon virtuoso’s classic harmony in Oldtown, Kings County. S-ND. bts.ibighit.com",2752,,white represents selfpurity take a look our partnership in coways new campaign to embrace you with a vigorous existence it gives highquality innovative products that will enhance the care of you as well keep track out for the next ads video lets live a healthy lifestyle,"['white', 'represents', 'selfpurity', 'take', 'a', 'look', 'our', 'partnership', 'in', 'coways', 'new', 'campaign', 'to', 'embrace', 'you', 'with', 'a', 'vigorous', 'existence', 'it', 'gives', 'highquality', 'innovative', 'products', 'that', 'will', 'enhance', 'the', 'care', 'of', 'you', 'as', 'well', 'keep', 'track', 'out', 'for', 'the', 'next', 'ads', 'video', 'lets', 'live', 'a', 'healthy', 'lifestyle']","['white', 'represents', 'selfpurity', 'take', 'look', 'partnership', 'coways', 'new', 'campaign', 'embrace', 'vigorous', 'existence', 'gives', 'highquality', 'innovative', 'products', 'enhance', 'care', 'well', 'keep', 'track', 'next', 'ads', 'video', 'lets', 'live', 'healthy', 'lifestyle']","['white', 'repres', 'selfpur', 'take', 'look', 'partnership', 'coway', 'new', 'campaign', 'embrac', 'vigor', 'exist', 'give', 'highqual', 'innov', 'product', 'enhanc', 'care', 'well', 'keep', 'track', 'next', 'ad', 'video', 'let', 'live', 'healthi', 'lifestyl']","['white', 'represents', 'selfpurity', 'take', 'look', 'partnership', 'coways', 'new', 'campaign', 'embrace', 'vigorous', 'existence', 'gives', 'highquality', 'innovative', 'products', 'enhance', 'care', 'well', 'keep', 'track', 'next', 'ads', 'video', 'lets', 'live', 'healthy', 'lifestyle']",5,South Korea
2021-04-16 16:16:09+00:00,1383091854057541637,"Photo Campaign in support of NUG by medical Technologists.

SILENT REVOLUTION 

#WhatsHappeningInMyanmar 
#WeSupportNUG 
#Apr16SilentStrike https://t.co/cEz87XabcC",edmsupportify,"London, England",0,0,0,0,#JusticeForMyanmar,362,"['WhatsHappeningInMyanmar', 'WeSupportNUG', 'Apr16SilentStrike']",photo campaign in support of nug by medical technologists silent revolution whatshappeninginmyanmar wesupportnug apr16silentstrike,"['photo', 'campaign', 'in', 'support', 'of', 'nug', 'by', 'medical', 'technologists', 'silent', 'revolution', 'whatshappeninginmyanmar', 'wesupportnug', 'apr16silentstrike']","['photo', 'campaign', 'support', 'nug', 'medical', 'technologists', 'silent', 'revolution', 'whatshappeninginmyanmar', 'wesupportnug', 'apr16silentstrike']","['photo', 'campaign', 'support', 'nug', 'medic', 'technologist', 'silent', 'revolut', 'whatshappeninginmyanmar', 'wesupportnug', 'apr16silentstrik']","['photo', 'campaign', 'support', 'nug', 'medical', 'technologists', 'silent', 'revolution', 'whatshappeninginmyanmar', 'wesupportnug', 'apr16silentstrike']",4,South Korea
2020-05-22 01:13:34+00:00,1263639105495130112,한국말 - 朝鮮 :  North Korea Calls It Irresponsible For Countries That Ignored Coronavirus Warnings to Blame WHO: North Korea's delegation at the World Health Assembly threw its support behind the World Health Organization (WHO) and criticized countries… https://t.co/CEixpLYG7Y,StigmabaseU,WORLDWIDE,0,0,1,0,Asia — भारत  — Türkçe — Čeština — ελληνικά | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,2528,,north korea calls it irresponsible for countries that ignored coronavirus warnings to blame who north koreas delegation at the world health assembly threw its support behind the world health organization who and criticized countries,"['north', 'korea', 'calls', 'it', 'irresponsible', 'for', 'countries', 'that', 'ignored', 'coronavirus', 'warnings', 'to', 'blame', 'who', 'north', 'koreas', 'delegation', 'at', 'the', 'world', 'health', 'assembly', 'threw', 'its', 'support', 'behind', 'the', 'world', 'health', 'organization', 'who', 'and', 'criticized', 'countries']","['north', 'korea', 'calls', 'irresponsible', 'countries', 'ignored', 'coronavirus', 'warnings', 'blame', 'north', 'koreas', 'delegation', 'world', 'health', 'assembly', 'threw', 'support', 'behind', 'world', 'health', 'organization', 'criticized', 'countries']","['north', 'korea', 'call', 'irrespons', 'countri', 'ignor', 'coronaviru', 'warn', 'blame', 'north', 'korea', 'deleg', 'world', 'health', 'assembl', 'threw', 'support', 'behind', 'world', 'health', 'organ', 'critic', 'countri']","['north', 'korea', 'calls', 'irresponsible', 'countries', 'ignored', 'coronavirus', 'warnings', 'blame', 'north', 'koreas', 'delegation', 'world', 'health', 'assembly', 'threw', 'support', 'behind', 'world', 'health', 'organization', 'criticized', 'countries']",1,South Korea
2020-04-21 07:22:25+00:00,1252497903236509697,Last day of self quarantine in Korea. I am feeling proud because i supported all coronavirus fighters. I am very thankfully to Korean Government to support me all in moments. #QuarantineQuotes #COVID19 #WHOLiedPeopleDied #IndiaFightsCoronavirus #korea #IndiaFightCorona #StayHome,iamgauravkorea,"Suwon-si, Republic of Korea",10,0,2,1,"Gaurav - 윤맥스 - India
Actor - Model - Director
Discovery Channel Korea 
BTS Dionysus Artist Crew Mamber /
MBC - AxN Tv Actor - Korea",424,"['QuarantineQuotes', 'COVID19', 'WHOLiedPeopleDied', 'IndiaFightsCoronavirus', 'korea', 'IndiaFightCorona', 'StayHome']",last day of self quarantine in korea i am feeling proud because i supported all coronavirus fighters i am very thankfully to korean government to support me all in moments quarantinequotes covid19 wholiedpeopledied indiafightscoronavirus korea indiafightcorona stayhome,"['last', 'day', 'of', 'self', 'quarantine', 'in', 'korea', 'i', 'am', 'feeling', 'proud', 'because', 'i', 'supported', 'all', 'coronavirus', 'fighters', 'i', 'am', 'very', 'thankfully', 'to', 'korean', 'government', 'to', 'support', 'me', 'all', 'in', 'moments', 'quarantinequotes', 'covid19', 'wholiedpeopledied', 'indiafightscoronavirus', 'korea', 'indiafightcorona', 'stayhome']","['last', 'day', 'self', 'quarantine', 'korea', 'feeling', 'proud', 'supported', 'coronavirus', 'fighters', 'thankfully', 'korean', 'government', 'support', 'moments', 'quarantinequotes', 'covid19', 'wholiedpeopledied', 'indiafightscoronavirus', 'korea', 'indiafightcorona', 'stayhome']","['last', 'day', 'self', 'quarantin', 'korea', 'feel', 'proud', 'support', 'coronaviru', 'fighter', 'thank', 'korean', 'govern', 'support', 'moment', 'quarantinequot', 'covid19', 'wholiedpeopledi', 'indiafightscoronaviru', 'korea', 'indiafightcorona', 'stayhom']","['last', 'day', 'self', 'quarantine', 'korea', 'feeling', 'proud', 'supported', 'coronavirus', 'fighters', 'thankfully', 'korean', 'government', 'support', 'moments', 'quarantinequotes', 'covid19', 'wholiedpeopledied', 'indiafightscoronavirus', 'korea', 'indiafightcorona', 'stayhome']",5,South Korea
2020-04-15 02:53:25+00:00,1250255883373654016,"Did you know that @EU_Commission proposed to activate 🇪🇺’s Emergency Support Instrument on 2 April to directly support the #healthcare systems of 🇪🇺 countries in their fight against the #coronavirus #pandemic? Find out more in the daily news below!💁🏻
https://t.co/sxyZJrnBhn https://t.co/rQIV1fqf0w",euinkorea,Seoul,3,0,1,0,주한유럽연합대표부. 유럽과 유럽연합에 관한 모든 것! Delegation of the European Union🇪🇺 to the Republic of Korea🇰🇷 주한EU대사 계정 EU Ambassador to Korea👉🏻 @castiml,3926,"['healthcare', 'coronavirus', 'pandemic']",did you know that proposed to activate s emergency support instrument on 2 april to directly support the healthcare systems of countries in their fight against the coronavirus pandemic find out more in the daily news below,"['did', 'you', 'know', 'that', 'proposed', 'to', 'activate', 's', 'emergency', 'support', 'instrument', 'on', '2', 'april', 'to', 'directly', 'support', 'the', 'healthcare', 'systems', 'of', 'countries', 'in', 'their', 'fight', 'against', 'the', 'coronavirus', 'pandemic', 'find', 'out', 'more', 'in', 'the', 'daily', 'news', 'below']","['know', 'proposed', 'activate', 'emergency', 'support', 'instrument', '2', 'april', 'directly', 'support', 'healthcare', 'systems', 'countries', 'fight', 'coronavirus', 'pandemic', 'find', 'daily', 'news']","['know', 'propos', 'activ', 'emerg', 'support', 'instrument', '2', 'april', 'directli', 'support', 'healthcar', 'system', 'countri', 'fight', 'coronaviru', 'pandem', 'find', 'daili', 'news']","['know', 'proposed', 'activate', 'emergency', 'support', 'instrument', '2', 'april', 'directly', 'support', 'healthcare', 'systems', 'countries', 'fight', 'coronavirus', 'pandemic', 'find', 'daily', 'news']",1,South Korea
2020-03-05 04:39:04+00:00,1235424568208060417,"Worried about my family members and international colleagues whom I met last week, I called my university's health services and arranged a #coronavirus test at my neighborhood's testing station five minutes away from home.",javiercha,Seoul,2,1,0,0,"Proud 🍁 | 🏠 +82 | 💼 @SNUnow | 📚 intellectual history, East Asia, Confucianism, digital humanities | @Neo4j advocate | 🌐 PI @bigdatastudies",1648,['coronavirus'],worried about my family members and international colleagues whom i met last week i called my universitys health services and arranged a coronavirus test at my neighborhoods testing station five minutes away from home,"['worried', 'about', 'my', 'family', 'members', 'and', 'international', 'colleagues', 'whom', 'i', 'met', 'last', 'week', 'i', 'called', 'my', 'universitys', 'health', 'services', 'and', 'arranged', 'a', 'coronavirus', 'test', 'at', 'my', 'neighborhoods', 'testing', 'station', 'five', 'minutes', 'away', 'from', 'home']","['worried', 'family', 'members', 'international', 'colleagues', 'met', 'last', 'week', 'called', 'universitys', 'health', 'services', 'arranged', 'coronavirus', 'test', 'neighborhoods', 'testing', 'station', 'five', 'minutes', 'away', 'home']","['worri', 'famili', 'member', 'intern', 'colleagu', 'met', 'last', 'week', 'call', 'univers', 'health', 'servic', 'arrang', 'coronaviru', 'test', 'neighborhood', 'test', 'station', 'five', 'minut', 'away', 'home']","['worried', 'family', 'members', 'international', 'colleagues', 'met', 'last', 'week', 'called', 'universitys', 'health', 'services', 'arranged', 'coronavirus', 'test', 'neighborhoods', 'testing', 'station', 'five', 'minutes', 'away', 'home']",1,South Korea
2020-02-23 10:13:30+00:00,1231522464389222400,"omo the case of coronavirus raise exponentially those days. Please be careful when you go out,take care of each of you!Send you love and support, fighting at work❤️#ONEUS #원어스 @official_ONEUS  
#Ravn #레이븐 #Seoho #서호 #Leedo #이도 #Keonhee #건희 #Hwanwoong #환웅 #Xion #시온",LafonAme,"Seoul, Republic of Korea",2,0,1,0,UNMe ♡ UNB 🕊  ToMoon ♡ ONEUS 🌒 BPNN,162,"['ONEUS', '원어스', 'Ravn', '레이븐', 'Seoho', '서호', 'Leedo', '이도', 'Keonhee', '건희', 'Hwanwoong', '환웅', 'Xion', '시온']",omo the case of coronavirus raise exponentially those days please be careful when you go outtake care of each of yousend you love and support fighting at workoneus ravn seoho leedo keonhee hwanwoong xion,"['omo', 'the', 'case', 'of', 'coronavirus', 'raise', 'exponentially', 'those', 'days', 'please', 'be', 'careful', 'when', 'you', 'go', 'outtake', 'care', 'of', 'each', 'of', 'yousend', 'you', 'love', 'and', 'support', 'fighting', 'at', 'workoneus', 'ravn', 'seoho', 'leedo', 'keonhee', 'hwanwoong', 'xion']","['omo', 'case', 'coronavirus', 'raise', 'exponentially', 'days', 'please', 'careful', 'go', 'outtake', 'care', 'yousend', 'love', 'support', 'fighting', 'workoneus', 'ravn', 'seoho', 'leedo', 'keonhee', 'hwanwoong', 'xion']","['omo', 'case', 'coronaviru', 'rais', 'exponenti', 'day', 'pleas', 'care', 'go', 'outtak', 'care', 'yousend', 'love', 'support', 'fight', 'workoneu', 'ravn', 'seoho', 'leedo', 'keonhe', 'hwanwoong', 'xion']","['omo', 'case', 'coronavirus', 'raise', 'exponentially', 'days', 'please', 'careful', 'go', 'outtake', 'care', 'yousend', 'love', 'support', 'fighting', 'workoneus', 'ravn', 'seoho', 'leedo', 'keonhee', 'hwanwoong', 'xion']",5,South Korea
