Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-02 15:20:18+00:00,1.5323816016104735e+18,"Just want to give a big thanks my collectors. I appreciate what you do immensely

And Im not talking about the collection only here. The support in other ways has ment a great deal &amp; appreciate the friendships that has formed

Im excited for the future &amp; you are a big part of it!",zigmarillion,"Uppsala, Sverige",1.0,0.0,0.0,0.0,Im a photographer from Sweden who capture the light in darkness and create moody magical scenes.,4795.0,,just want to give a big thanks my collectors i appreciate what you do immensely and im not talking about the collection only here the support in other ways has ment a great deal amp appreciate the friendships that has formed im excited for the future amp you are a big part of it,"['just', 'want', 'to', 'give', 'a', 'big', 'thanks', 'my', 'collectors', 'i', 'appreciate', 'what', 'you', 'do', 'immensely', 'and', 'im', 'not', 'talking', 'about', 'the', 'collection', 'only', 'here', 'the', 'support', 'in', 'other', 'ways', 'has', 'ment', 'a', 'great', 'deal', 'amp', 'appreciate', 'the', 'friendships', 'that', 'has', 'formed', 'im', 'excited', 'for', 'the', 'future', 'amp', 'you', 'are', 'a', 'big', 'part', 'of', 'it']","['want', 'give', 'big', 'thanks', 'collectors', 'appreciate', 'immensely', 'im', 'talking', 'collection', 'support', 'ways', 'ment', 'great', 'deal', 'amp', 'appreciate', 'friendships', 'formed', 'im', 'excited', 'future', 'amp', 'big', 'part']","['want', 'give', 'big', 'thank', 'collector', 'appreci', 'immens', 'im', 'talk', 'collect', 'support', 'way', 'ment', 'great', 'deal', 'amp', 'appreci', 'friendship', 'form', 'im', 'excit', 'futur', 'amp', 'big', 'part']","['want', 'give', 'big', 'thanks', 'collectors', 'appreciate', 'immensely', 'im', 'talking', 'collection', 'support', 'ways', 'ment', 'great', 'deal', 'amp', 'appreciate', 'friendships', 'formed', 'im', 'excited', 'future', 'amp', 'big', 'part']",5,Sweden
2022-05-19 07:50:52+00:00,1.5271950679995228e+18,"So nice to meet, Ann Linde Minister for Foreign Affairs Sweden. Appreciate Sweden’s support to the human rights of LGBTQ persons in Uganda and around the world 🏳️‍🌈 https://t.co/ZGpSWZiWoq",frankmugisha,Email: frankmugisha@gmail.com,87.0,6.0,11.0,0.0,Human Rights advocate | Awards Robert F. Kennedy |Rafto | CRD | BET|Fortune Magazine |Nobel Peace Prize Nominee| @icebreakersUG @smug2004 |Dr Ghent & Glasgow.,20677.0,,so nice to meet ann linde minister for foreign affairs sweden appreciate swedens support to the human rights of lgbtq persons in uganda and around the world,"['so', 'nice', 'to', 'meet', 'ann', 'linde', 'minister', 'for', 'foreign', 'affairs', 'sweden', 'appreciate', 'swedens', 'support', 'to', 'the', 'human', 'rights', 'of', 'lgbtq', 'persons', 'in', 'uganda', 'and', 'around', 'the', 'world']","['nice', 'meet', 'ann', 'linde', 'minister', 'foreign', 'affairs', 'sweden', 'appreciate', 'swedens', 'support', 'human', 'rights', 'lgbtq', 'persons', 'uganda', 'around', 'world']","['nice', 'meet', 'ann', 'lind', 'minist', 'foreign', 'affair', 'sweden', 'appreci', 'sweden', 'support', 'human', 'right', 'lgbtq', 'person', 'uganda', 'around', 'world']","['nice', 'meet', 'ann', 'linde', 'minister', 'foreign', 'affairs', 'sweden', 'appreciate', 'swedens', 'support', 'human', 'rights', 'lgbtq', 'persons', 'uganda', 'around', 'world']",4,Sweden
2020-10-21 16:18:43+00:00,1.3189498488891187e+18,"@Seraxia Having worked with these teams quite a bit, I clearly both appreciate and respect immensely both the care they put in these services, and the continuous support and investment of Ubi in this.",konbendith,"Stockholm, Suède",1.0,1.0,0.0,0.0,"Head of Communications @ Paradox Interactive.
Previously Ubisoft. I'm about games, community, fine drinks, great food, and French hip-hop. he/him",1296.0,,having worked with these teams quite a bit i clearly both appreciate and respect immensely both the care they put in these services and the continuous support and investment of ubi in this,"['having', 'worked', 'with', 'these', 'teams', 'quite', 'a', 'bit', 'i', 'clearly', 'both', 'appreciate', 'and', 'respect', 'immensely', 'both', 'the', 'care', 'they', 'put', 'in', 'these', 'services', 'and', 'the', 'continuous', 'support', 'and', 'investment', 'of', 'ubi', 'in', 'this']","['worked', 'teams', 'quite', 'bit', 'clearly', 'appreciate', 'respect', 'immensely', 'care', 'put', 'services', 'continuous', 'support', 'investment', 'ubi']","['work', 'team', 'quit', 'bit', 'clearli', 'appreci', 'respect', 'immens', 'care', 'put', 'servic', 'continu', 'support', 'invest', 'ubi']","['worked', 'teams', 'quite', 'bit', 'clearly', 'appreciate', 'respect', 'immensely', 'care', 'put', 'services', 'continuous', 'support', 'investment', 'ubi']",5,Sweden
2020-08-31 08:44:56+00:00,1.300353869034279e+18,@CaslerNoel I appreciate your input a lot. What nobody could possibly understand is that his deepest supporters don’t care about anything he does. He is pushing their agenda. But god forbid Biden says anything that’s not 100% true. It’s a mad world,JonnySolstickan,,2.0,0.0,0.0,0.0,"Swedish nurse 👨‍⚕️ special interest. American politics. it’s horror, comedy and absurd at the same time. #resist #blm #hbtq No #dm please!",1523.0,,i appreciate your input a lot what nobody could possibly understand is that his deepest supporters dont care about anything he does he is pushing their agenda but god forbid biden says anything thats not 100 true its a mad world,"['i', 'appreciate', 'your', 'input', 'a', 'lot', 'what', 'nobody', 'could', 'possibly', 'understand', 'is', 'that', 'his', 'deepest', 'supporters', 'dont', 'care', 'about', 'anything', 'he', 'does', 'he', 'is', 'pushing', 'their', 'agenda', 'but', 'god', 'forbid', 'biden', 'says', 'anything', 'thats', 'not', '100', 'true', 'its', 'a', 'mad', 'world']","['appreciate', 'input', 'lot', 'nobody', 'could', 'possibly', 'understand', 'deepest', 'supporters', 'dont', 'care', 'anything', 'pushing', 'agenda', 'god', 'forbid', 'biden', 'says', 'anything', 'thats', '100', 'true', 'mad', 'world']","['appreci', 'input', 'lot', 'nobodi', 'could', 'possibl', 'understand', 'deepest', 'support', 'dont', 'care', 'anyth', 'push', 'agenda', 'god', 'forbid', 'biden', 'say', 'anyth', 'that', '100', 'true', 'mad', 'world']","['appreciate', 'input', 'lot', 'nobody', 'could', 'possibly', 'understand', 'deepest', 'supporters', 'dont', 'care', 'anything', 'pushing', 'agenda', 'god', 'forbid', 'biden', 'says', 'anything', 'thats', '100', 'true', 'mad', 'world']",4,Sweden
2019-12-02 20:19:44+00:00,1.2015968349024133e+18,"@MatRopert Thanks, I'm truly good at the end of the day, it's just frustrating to not be as good as could be in the current situation. Definitely appreciate the support and care of others in this wretched, cold and wine-less land! ❤️",konbendith,"Stockholm, Suède",3.0,1.0,0.0,0.0,"Head of Communications @ Paradox Interactive.
Previously Ubisoft. I'm about games, community, fine drinks, great food, and French hip-hop. he/him",1296.0,,thanks im truly good at the end of the day its just frustrating to not be as good as could be in the current situation definitely appreciate the support and care of others in this wretched cold and wineless land,"['thanks', 'im', 'truly', 'good', 'at', 'the', 'end', 'of', 'the', 'day', 'its', 'just', 'frustrating', 'to', 'not', 'be', 'as', 'good', 'as', 'could', 'be', 'in', 'the', 'current', 'situation', 'definitely', 'appreciate', 'the', 'support', 'and', 'care', 'of', 'others', 'in', 'this', 'wretched', 'cold', 'and', 'wineless', 'land']","['thanks', 'im', 'truly', 'good', 'end', 'day', 'frustrating', 'good', 'could', 'current', 'situation', 'definitely', 'appreciate', 'support', 'care', 'others', 'wretched', 'cold', 'wineless', 'land']","['thank', 'im', 'truli', 'good', 'end', 'day', 'frustrat', 'good', 'could', 'current', 'situat', 'definit', 'appreci', 'support', 'care', 'other', 'wretch', 'cold', 'wineless', 'land']","['thanks', 'im', 'truly', 'good', 'end', 'day', 'frustrating', 'good', 'could', 'current', 'situation', 'definitely', 'appreciate', 'support', 'care', 'others', 'wretched', 'cold', 'wineless', 'land']",3,Sweden
2022-05-31 12:55:41+00:00,1.5316204313246515e+18,"A new study shows that a gene variant in the innate immune system influences the risk for blood clots in the lungs of severely ill #COVID19 patients.
#Research supported by Knut and Alice Wallenberg Foundation #KAW100 #Immunsystem @UU_University 
https://t.co/igKpwJpxEj https://t.co/L56Q11oNLi",KAWstiftelsen,"Stockholm, Sverige",1.0,0.0,2.0,0.0,"Knut och Alice Wallenbergs Stiftelse är Sveriges största privata forskningsfinansiär grundad 1917.  
Stiftelsens kommunikatör twittrar",2490.0,"['COVID19', 'Research', 'KAW100', 'Immunsystem']",a new study shows that a gene variant in the innate immune system influences the risk for blood clots in the lungs of severely ill covid19 patients research supported by knut and alice wallenberg foundation kaw100 immunsystem,"['a', 'new', 'study', 'shows', 'that', 'a', 'gene', 'variant', 'in', 'the', 'innate', 'immune', 'system', 'influences', 'the', 'risk', 'for', 'blood', 'clots', 'in', 'the', 'lungs', 'of', 'severely', 'ill', 'covid19', 'patients', 'research', 'supported', 'by', 'knut', 'and', 'alice', 'wallenberg', 'foundation', 'kaw100', 'immunsystem']","['new', 'study', 'shows', 'gene', 'variant', 'innate', 'immune', 'system', 'influences', 'risk', 'blood', 'clots', 'lungs', 'severely', 'ill', 'covid19', 'patients', 'research', 'supported', 'knut', 'alice', 'wallenberg', 'foundation', 'kaw100', 'immunsystem']","['new', 'studi', 'show', 'gene', 'variant', 'innat', 'immun', 'system', 'influenc', 'risk', 'blood', 'clot', 'lung', 'sever', 'ill', 'covid19', 'patient', 'research', 'support', 'knut', 'alic', 'wallenberg', 'foundat', 'kaw100', 'immunsystem']","['new', 'study', 'shows', 'gene', 'variant', 'innate', 'immune', 'system', 'influences', 'risk', 'blood', 'clots', 'lungs', 'severely', 'ill', 'covid19', 'patients', 'research', 'supported', 'knut', 'alice', 'wallenberg', 'foundation', 'kaw100', 'immunsystem']",4,Sweden
2021-12-08 14:46:59+00:00,1.4685929537614395e+18,"❤ Pride, solidarity, support ❤ 
@AlanaDave talks about 
public transport workers 
during #COVID19 &amp; 
the recognition 👍🏼
they 💪🏾 deserve!
#JustTransition @losverige @tcosverige @akademikerna @concord_swe @ituc @ITFglobalunion
@TransportFacket @sekofacket
https://t.co/evUnDlFHIL",uniontounion,"Stockholm, Sverige",7.0,0.0,5.0,0.0,"Union to Union är en ideell organisation som arbetar för uppbyggnaden av fria, demokratiska och jämställda fackföreningar globalt. 🌍🌎🌏💪🏿",3277.0,"['COVID19', 'JustTransition']",pride solidarity support talks about public transport workers during covid19 amp the recognition they deserve justtransition,"['pride', 'solidarity', 'support', 'talks', 'about', 'public', 'transport', 'workers', 'during', 'covid19', 'amp', 'the', 'recognition', 'they', 'deserve', 'justtransition']","['pride', 'solidarity', 'support', 'talks', 'public', 'transport', 'workers', 'covid19', 'amp', 'recognition', 'deserve', 'justtransition']","['pride', 'solidar', 'support', 'talk', 'public', 'transport', 'worker', 'covid19', 'amp', 'recognit', 'deserv', 'justtransit']","['pride', 'solidarity', 'support', 'talks', 'public', 'transport', 'workers', 'covid19', 'amp', 'recognition', 'deserve', 'justtransition']",5,Sweden
2020-08-22 07:03:00+00:00,1.297066725343662e+18,"Yesterday we went live to fundraise for #COVID19 efforts in the #gambia
We partnered with the #redcross, the Midwives and  Nurses association and the pharmaceutical society.

Donate 
Support
Share.
#kickcovidout #supportourown 

https://t.co/WwvzKwBgmH https://t.co/O4MvyMbfPp",mbifebooks,"Stockholm, Sweden",1.0,0.0,0.0,0.0,Diverse picture book author rep’d by @craigliterary. WNDB Mentee @diversebooks. Founder @mbifebooks. Education Advisor.  PhD Researcher @LancasterUni,543.0,"['COVID19', 'gambia', 'redcross', 'kickcovidout', 'supportourown']",yesterday we went live to fundraise for covid19 efforts in the gambia we partnered with the redcross the midwives and nurses association and the pharmaceutical society donate support share kickcovidout supportourown,"['yesterday', 'we', 'went', 'live', 'to', 'fundraise', 'for', 'covid19', 'efforts', 'in', 'the', 'gambia', 'we', 'partnered', 'with', 'the', 'redcross', 'the', 'midwives', 'and', 'nurses', 'association', 'and', 'the', 'pharmaceutical', 'society', 'donate', 'support', 'share', 'kickcovidout', 'supportourown']","['yesterday', 'went', 'live', 'fundraise', 'covid19', 'efforts', 'gambia', 'partnered', 'redcross', 'midwives', 'nurses', 'association', 'pharmaceutical', 'society', 'donate', 'support', 'share', 'kickcovidout', 'supportourown']","['yesterday', 'went', 'live', 'fundrais', 'covid19', 'effort', 'gambia', 'partner', 'redcross', 'midwiv', 'nurs', 'associ', 'pharmaceut', 'societi', 'donat', 'support', 'share', 'kickcovidout', 'supportourown']","['yesterday', 'went', 'live', 'fundraise', 'covid19', 'efforts', 'gambia', 'partnered', 'redcross', 'midwives', 'nurses', 'association', 'pharmaceutical', 'society', 'donate', 'support', 'share', 'kickcovidout', 'supportourown']",5,Sweden
2020-05-11 18:20:58+00:00,1.2599113925446533e+18,"#COVID19 has caused 282.000 deaths so far, worldwide. 500.000 extra deaths from AIDS-related illnesses can follow, just in sub-Saharan Africa, as a result of the disruptions brought by this pandemic. Ensuring continuity of essential health services is a must #srhrisessential https://t.co/Kbjk3gOXmC",GorkaFagilde,"Pretoria, South Africa",2.0,0.0,1.0,0.0,"Regional Advisor, Health Systems and SRHR in Africa. #SRHRinUHC #HDPNexus & #SRHR @Sida @SwedeninSA. Tweets are my own.",337.0,"['COVID19', 'srhrisessential']",covid19 has caused 282000 deaths so far worldwide 500000 extra deaths from aidsrelated illnesses can follow just in subsaharan africa as a result of the disruptions brought by this pandemic ensuring continuity of essential health services is a must srhrisessential,"['covid19', 'has', 'caused', '282000', 'deaths', 'so', 'far', 'worldwide', '500000', 'extra', 'deaths', 'from', 'aidsrelated', 'illnesses', 'can', 'follow', 'just', 'in', 'subsaharan', 'africa', 'as', 'a', 'result', 'of', 'the', 'disruptions', 'brought', 'by', 'this', 'pandemic', 'ensuring', 'continuity', 'of', 'essential', 'health', 'services', 'is', 'a', 'must', 'srhrisessential']","['covid19', 'caused', '282000', 'deaths', 'far', 'worldwide', '500000', 'extra', 'deaths', 'aidsrelated', 'illnesses', 'follow', 'subsaharan', 'africa', 'result', 'disruptions', 'brought', 'pandemic', 'ensuring', 'continuity', 'essential', 'health', 'services', 'must', 'srhrisessential']","['covid19', 'caus', '282000', 'death', 'far', 'worldwid', '500000', 'extra', 'death', 'aidsrel', 'ill', 'follow', 'subsaharan', 'africa', 'result', 'disrupt', 'brought', 'pandem', 'ensur', 'continu', 'essenti', 'health', 'servic', 'must', 'srhrisessenti']","['covid19', 'caused', '282000', 'deaths', 'far', 'worldwide', '500000', 'extra', 'deaths', 'aidsrelated', 'illnesses', 'follow', 'subsaharan', 'africa', 'result', 'disruptions', 'brought', 'pandemic', 'ensuring', 'continuity', 'essential', 'health', 'services', 'must', 'srhrisessential']",5,Sweden
2020-04-27 15:55:20+00:00,1.2548013132647956e+18,I just donated to the #COVID19Fund to support @WHO's response efforts to the global #COVID19 pandemic. Join me to help combat this growing global threat to people's health and well-being: https://t.co/m9WZLPwUiZ,teija_korhonen,"Stockholm, Sweden",0.0,0.0,0.0,0.0,"Works in Outbreak Response @ECDC_EU. Own views, retweets not endorsements. EPIET graduate 2014. Finnish Veterinarian of the Year 2019.",751.0,"['COVID19Fund', 'COVID19']",i just donated to the covid19fund to support response efforts to the global covid19 pandemic join me to help combat this growing global threat to peoples health and wellbeing,"['i', 'just', 'donated', 'to', 'the', 'covid19fund', 'to', 'support', 'response', 'efforts', 'to', 'the', 'global', 'covid19', 'pandemic', 'join', 'me', 'to', 'help', 'combat', 'this', 'growing', 'global', 'threat', 'to', 'peoples', 'health', 'and', 'wellbeing']","['donated', 'covid19fund', 'support', 'response', 'efforts', 'global', 'covid19', 'pandemic', 'join', 'help', 'combat', 'growing', 'global', 'threat', 'peoples', 'health', 'wellbeing']","['donat', 'covid19fund', 'support', 'respons', 'effort', 'global', 'covid19', 'pandem', 'join', 'help', 'combat', 'grow', 'global', 'threat', 'peopl', 'health', 'wellb']","['donated', 'covid19fund', 'support', 'response', 'efforts', 'global', 'covid19', 'pandemic', 'join', 'help', 'combat', 'growing', 'global', 'threat', 'peoples', 'health', 'wellbeing']",5,Sweden
