Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-05-29 12:14:39+00:00,1530885330307624960,This cheeseburger voucher I've carried in every wallet I've had since my first wallet. #fascinathings https://t.co/BglpMW8wic,fascinathings,"Antwerp, Belgium",0,0,0,0,A place for simply fascinating things. Constant stream with top posts from /r/mildlyinteresting in a digestible format.,399,['fascinathings'],this cheeseburger voucher ive carried in every wallet ive had since my first wallet fascinathings,"['this', 'cheeseburger', 'voucher', 'ive', 'carried', 'in', 'every', 'wallet', 'ive', 'had', 'since', 'my', 'first', 'wallet', 'fascinathings']","['cheeseburger', 'voucher', 'ive', 'carried', 'every', 'wallet', 'ive', 'since', 'first', 'wallet', 'fascinathings']","['cheeseburg', 'voucher', 'ive', 'carri', 'everi', 'wallet', 'ive', 'sinc', 'first', 'wallet', 'fascinath']","['cheeseburger', 'voucher', 'ive', 'carried', 'every', 'wallet', 'ive', 'since', 'first', 'wallet', 'fascinathings']",5,Belgium
2021-04-27 11:42:32+00:00,1387009262413615104,"Took a brief holiday day for my first cycle adventure since arriving to 🇧🇪. Bruxelles-Namur!  🚲

Beautiful day, &amp; town, but it’s still not the same visiting places with #COVID19 ongoing.. :/

https://t.co/R7MmvAt4tR https://t.co/GWzv8BNBFe",Chris2Powers,"Brussels, Paris, Berlin 🇪🇺",8,0,0,0,🟠 Director of Communications @EURACTIV 🇪🇺 / @EURACTIV_DE 🇩🇪/ @EURACTIV_FR 🇫🇷 (tweets here in a personal capacity),1664,['COVID19'],took a brief holiday day for my first cycle adventure since arriving to bruxellesnamur beautiful day amp town but its still not the same visiting places with covid19 ongoing,"['took', 'a', 'brief', 'holiday', 'day', 'for', 'my', 'first', 'cycle', 'adventure', 'since', 'arriving', 'to', 'bruxellesnamur', 'beautiful', 'day', 'amp', 'town', 'but', 'its', 'still', 'not', 'the', 'same', 'visiting', 'places', 'with', 'covid19', 'ongoing']","['took', 'brief', 'holiday', 'day', 'first', 'cycle', 'adventure', 'since', 'arriving', 'bruxellesnamur', 'beautiful', 'day', 'amp', 'town', 'still', 'visiting', 'places', 'covid19', 'ongoing']","['took', 'brief', 'holiday', 'day', 'first', 'cycl', 'adventur', 'sinc', 'arriv', 'bruxellesnamur', 'beauti', 'day', 'amp', 'town', 'still', 'visit', 'place', 'covid19', 'ongo']","['took', 'brief', 'holiday', 'day', 'first', 'cycle', 'adventure', 'since', 'arriving', 'bruxellesnamur', 'beautiful', 'day', 'amp', 'town', 'still', 'visiting', 'places', 'covid19', 'ongoing']",3,Belgium
2021-01-21 19:20:40+00:00,1352335323003547649,"The #EU #COVID19 summit is still underway. So far there’ve been many questions on transparency &amp; delivery schedule of the different vaccines. On vaccine certificate, leaders who’ve spoken indicate it should be a medical document, not travel document at this stage. per EU official",AlexandravonNah,"Brussels, Belgium",3,0,0,0,"Brussels Bureau Chief @DeutscheWelle, former White House correspondent for @dwnews, former Moscow Bureau Chief. All views mine.",5216,"['EU', 'COVID19']",the eu covid19 summit is still underway so far thereve been many questions on transparency amp delivery schedule of the different vaccines on vaccine certificate leaders whove spoken indicate it should be a medical document not travel document at this stage per eu official,"['the', 'eu', 'covid19', 'summit', 'is', 'still', 'underway', 'so', 'far', 'thereve', 'been', 'many', 'questions', 'on', 'transparency', 'amp', 'delivery', 'schedule', 'of', 'the', 'different', 'vaccines', 'on', 'vaccine', 'certificate', 'leaders', 'whove', 'spoken', 'indicate', 'it', 'should', 'be', 'a', 'medical', 'document', 'not', 'travel', 'document', 'at', 'this', 'stage', 'per', 'eu', 'official']","['eu', 'covid19', 'summit', 'still', 'underway', 'far', 'thereve', 'many', 'questions', 'transparency', 'amp', 'delivery', 'schedule', 'different', 'vaccines', 'vaccine', 'certificate', 'leaders', 'whove', 'spoken', 'indicate', 'medical', 'document', 'travel', 'document', 'stage', 'per', 'eu', 'official']","['eu', 'covid19', 'summit', 'still', 'underway', 'far', 'therev', 'mani', 'question', 'transpar', 'amp', 'deliveri', 'schedul', 'differ', 'vaccin', 'vaccin', 'certif', 'leader', 'whove', 'spoken', 'indic', 'medic', 'document', 'travel', 'document', 'stage', 'per', 'eu', 'offici']","['eu', 'covid19', 'summit', 'still', 'underway', 'far', 'thereve', 'many', 'questions', 'transparency', 'amp', 'delivery', 'schedule', 'different', 'vaccines', 'vaccine', 'certificate', 'leaders', 'whove', 'spoken', 'indicate', 'medical', 'document', 'travel', 'document', 'stage', 'per', 'eu', 'official']",3,Belgium
2021-01-03 07:55:36+00:00,1345639939128647681,"US braces for post-holiday Covid surge as death toll passes 350,000 https://t.co/QfFTi7Rv7y #DonaldTrump #MasksUp #coronavirus #GOP #COVID19 #Republicans",AlexWitzleben,Brussels,5,1,3,0,Retired @EU_Commission PhD CAU Kiel #EUI #EconomicHistory  #EUinfluencer 2021 second in #sustainability #ClimateActionNow #EUGreenDeal #FutureOfEurope #startups,22188,"['DonaldTrump', 'MasksUp', 'coronavirus', 'GOP', 'COVID19', 'Republicans']",us braces for postholiday covid surge as death toll passes 350000 donaldtrump masksup coronavirus gop covid19 republicans,"['us', 'braces', 'for', 'postholiday', 'covid', 'surge', 'as', 'death', 'toll', 'passes', '350000', 'donaldtrump', 'masksup', 'coronavirus', 'gop', 'covid19', 'republicans']","['us', 'braces', 'postholiday', 'covid', 'surge', 'death', 'toll', 'passes', '350000', 'donaldtrump', 'masksup', 'coronavirus', 'gop', 'covid19', 'republicans']","['us', 'brace', 'postholiday', 'covid', 'surg', 'death', 'toll', 'pass', '350000', 'donaldtrump', 'masksup', 'coronaviru', 'gop', 'covid19', 'republican']","['us', 'braces', 'postholiday', 'covid', 'surge', 'death', 'toll', 'passes', '350000', 'donaldtrump', 'masksup', 'coronavirus', 'gop', 'covid19', 'republicans']",1,Belgium
2020-12-09 18:22:21+00:00,1336737967583469571,"‼️#GoodNews: EU member states agree that #SantaClaus is an „essential worker“ exempted from #COVID19 travel restrictions saving #Christmas for millions of kids in 🇪🇺.
The exception also applies to the #Christkind, #Ježíšek, #ReyesMagos, #AgiosVassilis, #DedekMraz &amp; others.🎄🤶 https://t.co/wK2fULpKHG",SFischer_EU,"Brüssel, Belgien",415,9,112,58,COREPER II Spokesperson @GermanyInTheEU. All views are my own. RT ≠ endorsement. Also follow COREPER I spokesperson @SKoerber_EU. 🇩🇪🇪🇺,12650,"['GoodNews', 'SantaClaus', 'COVID19', 'Christmas', 'Christkind', 'Ježíšek', 'ReyesMagos', 'AgiosVassilis', 'DedekMraz']",goodnews eu member states agree that santaclaus is an essential worker exempted from covid19 travel restrictions saving christmas for millions of kids in the exception also applies to the christkind jeek reyesmagos agiosvassilis dedekmraz amp others,"['goodnews', 'eu', 'member', 'states', 'agree', 'that', 'santaclaus', 'is', 'an', 'essential', 'worker', 'exempted', 'from', 'covid19', 'travel', 'restrictions', 'saving', 'christmas', 'for', 'millions', 'of', 'kids', 'in', 'the', 'exception', 'also', 'applies', 'to', 'the', 'christkind', 'jeek', 'reyesmagos', 'agiosvassilis', 'dedekmraz', 'amp', 'others']","['goodnews', 'eu', 'member', 'states', 'agree', 'santaclaus', 'essential', 'worker', 'exempted', 'covid19', 'travel', 'restrictions', 'saving', 'christmas', 'millions', 'kids', 'exception', 'also', 'applies', 'christkind', 'jeek', 'reyesmagos', 'agiosvassilis', 'dedekmraz', 'amp', 'others']","['goodnew', 'eu', 'member', 'state', 'agre', 'santaclau', 'essenti', 'worker', 'exempt', 'covid19', 'travel', 'restrict', 'save', 'christma', 'million', 'kid', 'except', 'also', 'appli', 'christkind', 'jeek', 'reyesmago', 'agiosvassili', 'dedekmraz', 'amp', 'other']","['goodnews', 'eu', 'member', 'states', 'agree', 'santaclaus', 'essential', 'worker', 'exempted', 'covid19', 'travel', 'restrictions', 'saving', 'christmas', 'millions', 'kids', 'exception', 'also', 'applies', 'christkind', 'jeek', 'reyesmagos', 'agiosvassilis', 'dedekmraz', 'amp', 'others']",4,Belgium
2020-11-18 16:45:07+00:00,1329103351133376514,"My message to #EuropeanCancerSummit 2020 
➡️ working together is the only way to tackle common health challenges such as #COVID19 and cancer. 

This is why our #EUCancerPlan will be a cornerstone of the 🇪🇺 #HealthUnion, which aims to build a better future for citizens’ health. https://t.co/sXTOHPIBL1",SKyriakidesEU,"Brussels, Belgium",105,41,38,4,European Commissioner for Health and Food Safety. Human rights advocate. Focus on the positive.,59502,"['EuropeanCancerSummit', 'COVID19', 'EUCancerPlan', 'HealthUnion']",my message to europeancancersummit 2020 working together is the only way to tackle common health challenges such as covid19 and cancer this is why our eucancerplan will be a cornerstone of the healthunion which aims to build a better future for citizens health,"['my', 'message', 'to', 'europeancancersummit', '2020', 'working', 'together', 'is', 'the', 'only', 'way', 'to', 'tackle', 'common', 'health', 'challenges', 'such', 'as', 'covid19', 'and', 'cancer', 'this', 'is', 'why', 'our', 'eucancerplan', 'will', 'be', 'a', 'cornerstone', 'of', 'the', 'healthunion', 'which', 'aims', 'to', 'build', 'a', 'better', 'future', 'for', 'citizens', 'health']","['message', 'europeancancersummit', '2020', 'working', 'together', 'way', 'tackle', 'common', 'health', 'challenges', 'covid19', 'cancer', 'eucancerplan', 'cornerstone', 'healthunion', 'aims', 'build', 'better', 'future', 'citizens', 'health']","['messag', 'europeancancersummit', '2020', 'work', 'togeth', 'way', 'tackl', 'common', 'health', 'challeng', 'covid19', 'cancer', 'eucancerplan', 'cornerston', 'healthunion', 'aim', 'build', 'better', 'futur', 'citizen', 'health']","['message', 'europeancancersummit', '2020', 'working', 'together', 'way', 'tackle', 'common', 'health', 'challenges', 'covid19', 'cancer', 'eucancerplan', 'cornerstone', 'healthunion', 'aims', 'build', 'better', 'future', 'citizens', 'health']",5,Belgium
2020-10-26 08:52:23+00:00,1320649462579167232,"My message to @WorldHealthSmt ➡️as #COVID19 pandemic gathers pace: 🌍 cooperation is indispensable.  

Nobody will be safe until we are all safe. Fragmentation makes us all vulnerable.

We must work together on lasting solutions to the crisis. We are #StrongerTogether. 
#WHS2020 https://t.co/iSfNof7I2R",SKyriakidesEU,"Brussels, Belgium",79,4,21,4,European Commissioner for Health and Food Safety. Human rights advocate. Focus on the positive.,59502,"['COVID19', 'StrongerTogether', 'WHS2020']",my message to as covid19 pandemic gathers pace cooperation is indispensable nobody will be safe until we are all safe fragmentation makes us all vulnerable we must work together on lasting solutions to the crisis we are strongertogether whs2020,"['my', 'message', 'to', 'as', 'covid19', 'pandemic', 'gathers', 'pace', 'cooperation', 'is', 'indispensable', 'nobody', 'will', 'be', 'safe', 'until', 'we', 'are', 'all', 'safe', 'fragmentation', 'makes', 'us', 'all', 'vulnerable', 'we', 'must', 'work', 'together', 'on', 'lasting', 'solutions', 'to', 'the', 'crisis', 'we', 'are', 'strongertogether', 'whs2020']","['message', 'covid19', 'pandemic', 'gathers', 'pace', 'cooperation', 'indispensable', 'nobody', 'safe', 'safe', 'fragmentation', 'makes', 'us', 'vulnerable', 'must', 'work', 'together', 'lasting', 'solutions', 'crisis', 'strongertogether', 'whs2020']","['messag', 'covid19', 'pandem', 'gather', 'pace', 'cooper', 'indispens', 'nobodi', 'safe', 'safe', 'fragment', 'make', 'us', 'vulner', 'must', 'work', 'togeth', 'last', 'solut', 'crisi', 'strongertogeth', 'whs2020']","['message', 'covid19', 'pandemic', 'gathers', 'pace', 'cooperation', 'indispensable', 'nobody', 'safe', 'safe', 'fragmentation', 'makes', 'us', 'vulnerable', 'must', 'work', 'together', 'lasting', 'solutions', 'crisis', 'strongertogether', 'whs2020']",5,Belgium
2020-07-05 17:45:12+00:00,1279833723500986375,"Commercial &amp; Fine Art Photographer

#covid-19 #photooftheday #love #photo #instagood #nature #art #girls #like #assistant #picoftheday #travel #quarantine #fashion #beautiful #photoshoot #model #hot #style #models… https://t.co/ZyyBS7h1Br",KikeValderrama,"Miami, FL",0,0,0,0,"Commercial Photographer Miami : New York : Colombia : ProEditor, Dreamer, Traveler, Adventurer, Divemaster, Biker : Whatsapp +13054074628 USA #digital #photo",2071,"['covid', 'photooftheday', 'love', 'photo', 'instagood', 'nature', 'art', 'girls', 'like', 'assistant', 'picoftheday', 'travel', 'quarantine', 'fashion', 'beautiful', 'photoshoot', 'model', 'hot', 'style', 'models']",commercial amp fine art photographer covid19 photooftheday love photo instagood nature art girls like assistant picoftheday travel quarantine fashion beautiful photoshoot model hot style models,"['commercial', 'amp', 'fine', 'art', 'photographer', 'covid19', 'photooftheday', 'love', 'photo', 'instagood', 'nature', 'art', 'girls', 'like', 'assistant', 'picoftheday', 'travel', 'quarantine', 'fashion', 'beautiful', 'photoshoot', 'model', 'hot', 'style', 'models']","['commercial', 'amp', 'fine', 'art', 'photographer', 'covid19', 'photooftheday', 'love', 'photo', 'instagood', 'nature', 'art', 'girls', 'like', 'assistant', 'picoftheday', 'travel', 'quarantine', 'fashion', 'beautiful', 'photoshoot', 'model', 'hot', 'style', 'models']","['commerci', 'amp', 'fine', 'art', 'photograph', 'covid19', 'photooftheday', 'love', 'photo', 'instagood', 'natur', 'art', 'girl', 'like', 'assist', 'picoftheday', 'travel', 'quarantin', 'fashion', 'beauti', 'photoshoot', 'model', 'hot', 'style', 'model']","['commercial', 'amp', 'fine', 'art', 'photographer', 'covid19', 'photooftheday', 'love', 'photo', 'instagood', 'nature', 'art', 'girls', 'like', 'assistant', 'picoftheday', 'travel', 'quarantine', 'fashion', 'beautiful', 'photoshoot', 'model', 'hot', 'style', 'models']",5,Belgium
2020-06-24 06:53:25+00:00,1275683430030872576,When we are gradually #reopening borders in EU. As an #EUCitizen strongly support #EU ban #AmericanTraveler when the spike of #COVID19 continues in #usa . In the reopening #SafeHealth comes first.We don't need the early arrival of 2nd threat wave when still coping with the 1st.,ChineseTeaArts,Belgium,0,0,0,0,"Learn by doing, Tea to health, Chinese tea culture, traditional Chinese philosophies & Daoyin Qigong
info@chinesetea.be",172,"['reopening', 'EUCitizen', 'EU', 'AmericanTraveler', 'COVID19', 'usa', 'SafeHealth']",when we are gradually reopening borders in eu as an eucitizen strongly support eu ban americantraveler when the spike of covid19 continues in usa in the reopening safehealth comes firstwe dont need the early arrival of 2nd threat wave when still coping with the 1st,"['when', 'we', 'are', 'gradually', 'reopening', 'borders', 'in', 'eu', 'as', 'an', 'eucitizen', 'strongly', 'support', 'eu', 'ban', 'americantraveler', 'when', 'the', 'spike', 'of', 'covid19', 'continues', 'in', 'usa', 'in', 'the', 'reopening', 'safehealth', 'comes', 'firstwe', 'dont', 'need', 'the', 'early', 'arrival', 'of', '2nd', 'threat', 'wave', 'when', 'still', 'coping', 'with', 'the', '1st']","['gradually', 'reopening', 'borders', 'eu', 'eucitizen', 'strongly', 'support', 'eu', 'ban', 'americantraveler', 'spike', 'covid19', 'continues', 'usa', 'reopening', 'safehealth', 'comes', 'firstwe', 'dont', 'need', 'early', 'arrival', '2nd', 'threat', 'wave', 'still', 'coping', '1st']","['gradual', 'reopen', 'border', 'eu', 'eucitizen', 'strongli', 'support', 'eu', 'ban', 'americantravel', 'spike', 'covid19', 'continu', 'usa', 'reopen', 'safehealth', 'come', 'firstw', 'dont', 'need', 'earli', 'arriv', '2nd', 'threat', 'wave', 'still', 'cope', '1st']","['gradually', 'reopening', 'borders', 'eu', 'eucitizen', 'strongly', 'support', 'eu', 'ban', 'americantraveler', 'spike', 'covid19', 'continues', 'usa', 'reopening', 'safehealth', 'comes', 'firstwe', 'dont', 'need', 'early', 'arrival', '2nd', 'threat', 'wave', 'still', 'coping', '1st']",2,Belgium
2020-06-08 09:54:17+00:00,1269930742055919616,".@UberEats I am a black woman but I am telling you this: you should think carefully about the message this sends.😉Because all restaurants owners, regardless of race, gender, sexual orientation need our support. This entire sector underwent huge losses because of #COVID19. https://t.co/k6xESudZ1a",Assita_Kanko,"Vilvoorde, België",206,9,30,45,"Member of European Parliament. @de_NVA @Europarl_NL Focus on women rights, security & freedom. My podcast @Spotify NL / EN / FR spoti.fi/3J3Sr5k",33531,['COVID19'],i am a black woman but i am telling you this you should think carefully about the message this sendsbecause all restaurants owners regardless of race gender sexual orientation need our support this entire sector underwent huge losses because of covid19,"['i', 'am', 'a', 'black', 'woman', 'but', 'i', 'am', 'telling', 'you', 'this', 'you', 'should', 'think', 'carefully', 'about', 'the', 'message', 'this', 'sendsbecause', 'all', 'restaurants', 'owners', 'regardless', 'of', 'race', 'gender', 'sexual', 'orientation', 'need', 'our', 'support', 'this', 'entire', 'sector', 'underwent', 'huge', 'losses', 'because', 'of', 'covid19']","['black', 'woman', 'telling', 'think', 'carefully', 'message', 'sendsbecause', 'restaurants', 'owners', 'regardless', 'race', 'gender', 'sexual', 'orientation', 'need', 'support', 'entire', 'sector', 'underwent', 'huge', 'losses', 'covid19']","['black', 'woman', 'tell', 'think', 'care', 'messag', 'sendsbecaus', 'restaur', 'owner', 'regardless', 'race', 'gender', 'sexual', 'orient', 'need', 'support', 'entir', 'sector', 'underw', 'huge', 'loss', 'covid19']","['black', 'woman', 'telling', 'think', 'carefully', 'message', 'sendsbecause', 'restaurants', 'owners', 'regardless', 'race', 'gender', 'sexual', 'orientation', 'need', 'support', 'entire', 'sector', 'underwent', 'huge', 'losses', 'covid19']",1,Belgium
