Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-04 18:01:02+00:00,1533146827461079045,"Today, the demand for homes is still greater than the amount of houses for sale. If you’re planning to sell this summer, this is great news for you. That's why experts think home prices will continue to appreciate, just at a more moderate pace. DM...
#sellyourhouse #moveuphome https://t.co/ZgpQT0mVpO",HillaryWardA2RE,"Michigan, USA",0,0,0,0,"Experienced realtor serving Southeastern Michigan with a concentration in the Washtenaw County area.

HillaryWard.com",63,"['sellyourhouse', 'moveuphome']",today the demand for homes is still greater than the amount of houses for sale if youre planning to sell this summer this is great news for you thats why experts think home prices will continue to appreciate just at a more moderate pace dm sellyourhouse moveuphome,"['today', 'the', 'demand', 'for', 'homes', 'is', 'still', 'greater', 'than', 'the', 'amount', 'of', 'houses', 'for', 'sale', 'if', 'youre', 'planning', 'to', 'sell', 'this', 'summer', 'this', 'is', 'great', 'news', 'for', 'you', 'thats', 'why', 'experts', 'think', 'home', 'prices', 'will', 'continue', 'to', 'appreciate', 'just', 'at', 'a', 'more', 'moderate', 'pace', 'dm', 'sellyourhouse', 'moveuphome']","['today', 'demand', 'homes', 'still', 'greater', 'amount', 'houses', 'sale', 'youre', 'planning', 'sell', 'summer', 'great', 'news', 'thats', 'experts', 'think', 'home', 'prices', 'continue', 'appreciate', 'moderate', 'pace', 'dm', 'sellyourhouse', 'moveuphome']","['today', 'demand', 'home', 'still', 'greater', 'amount', 'hous', 'sale', 'your', 'plan', 'sell', 'summer', 'great', 'news', 'that', 'expert', 'think', 'home', 'price', 'continu', 'appreci', 'moder', 'pace', 'dm', 'sellyourhous', 'moveuphom']","['today', 'demand', 'homes', 'still', 'greater', 'amount', 'houses', 'sale', 'youre', 'planning', 'sell', 'summer', 'great', 'news', 'thats', 'experts', 'think', 'home', 'prices', 'continue', 'appreciate', 'moderate', 'pace', 'dm', 'sellyourhouse', 'moveuphome']",4,Canada
2022-06-04 14:31:12+00:00,1533094018904621057,"Best Friend's Day! - June 3 - 8
Spend $60, pick 2 body care travel-sizes. Pick one for you and one for your friend.

SHOP NOW: https://t.co/irG3Dcg4B4

❤️We appreciate you and your support!
#Aveda #SupportLocal #JuneAveda #LoveThatAveda #InvatiAdvanced #Invati #FlatHairSolutions https://t.co/M9j8IqZpo7",reeciamaxwell,"Whitefish, Montana",0,0,1,0,"Flathead Valley’s only premier Aveda concept Salon. We are dedicated to providing you with the best treatment for a relaxing, rejuvenating experience.",134,"['Aveda', 'SupportLocal', 'JuneAveda', 'LoveThatAveda', 'InvatiAdvanced', 'Invati', 'FlatHairSolutions']",best friends day june 3 8 spend 60 pick 2 body care travelsizes pick one for you and one for your friend shop now we appreciate you and your support aveda supportlocal juneaveda lovethataveda invatiadvanced invati flathairsolutions,"['best', 'friends', 'day', 'june', '3', '8', 'spend', '60', 'pick', '2', 'body', 'care', 'travelsizes', 'pick', 'one', 'for', 'you', 'and', 'one', 'for', 'your', 'friend', 'shop', 'now', 'we', 'appreciate', 'you', 'and', 'your', 'support', 'aveda', 'supportlocal', 'juneaveda', 'lovethataveda', 'invatiadvanced', 'invati', 'flathairsolutions']","['best', 'friends', 'day', 'june', '3', '8', 'spend', '60', 'pick', '2', 'body', 'care', 'travelsizes', 'pick', 'one', 'one', 'friend', 'shop', 'appreciate', 'support', 'aveda', 'supportlocal', 'juneaveda', 'lovethataveda', 'invatiadvanced', 'invati', 'flathairsolutions']","['best', 'friend', 'day', 'june', '3', '8', 'spend', '60', 'pick', '2', 'bodi', 'care', 'travels', 'pick', 'one', 'one', 'friend', 'shop', 'appreci', 'support', 'aveda', 'supportloc', 'juneaveda', 'lovethataveda', 'invatiadvanc', 'invati', 'flathairsolut']","['best', 'friends', 'day', 'june', '3', '8', 'spend', '60', 'pick', '2', 'body', 'care', 'travelsizes', 'pick', 'one', 'one', 'friend', 'shop', 'appreciate', 'support', 'aveda', 'supportlocal', 'juneaveda', 'lovethataveda', 'invatiadvanced', 'invati', 'flathairsolutions']",5,Canada
2022-06-03 21:27:12+00:00,1532836323169402880,"Emilio, we want to sincerely thank-you for this 5-star rated review! We truly appreciate it, and appreciate your business!

We wish you safe travels until we see you next!

#Ford #CentralAB #RockyMountainHouse #GoogleReview #ThankYou https://t.co/fjletCSqGP",Rainbow_Ford,"Rocky Mountain House, AB",1,0,0,0,"Rainbow Ford Sales proudly serves the community of Rocky Mountain House and area. Follow us for info on sales, contests and promotions! AMVIC-Licensed Business.",159,"['Ford', 'CentralAB', 'RockyMountainHouse', 'GoogleReview', 'ThankYou']",emilio we want to sincerely thankyou for this 5star rated review we truly appreciate it and appreciate your business we wish you safe travels until we see you next ford centralab rockymountainhouse googlereview thankyou,"['emilio', 'we', 'want', 'to', 'sincerely', 'thankyou', 'for', 'this', '5star', 'rated', 'review', 'we', 'truly', 'appreciate', 'it', 'and', 'appreciate', 'your', 'business', 'we', 'wish', 'you', 'safe', 'travels', 'until', 'we', 'see', 'you', 'next', 'ford', 'centralab', 'rockymountainhouse', 'googlereview', 'thankyou']","['emilio', 'want', 'sincerely', 'thankyou', '5star', 'rated', 'review', 'truly', 'appreciate', 'appreciate', 'business', 'wish', 'safe', 'travels', 'see', 'next', 'ford', 'centralab', 'rockymountainhouse', 'googlereview', 'thankyou']","['emilio', 'want', 'sincer', 'thankyou', '5star', 'rate', 'review', 'truli', 'appreci', 'appreci', 'busi', 'wish', 'safe', 'travel', 'see', 'next', 'ford', 'centralab', 'rockymountainhous', 'googlereview', 'thankyou']","['emilio', 'want', 'sincerely', 'thankyou', '5star', 'rated', 'review', 'truly', 'appreciate', 'appreciate', 'business', 'wish', 'safe', 'travels', 'see', 'next', 'ford', 'centralab', 'rockymountainhouse', 'googlereview', 'thankyou']",5,Canada
2022-05-31 14:39:01+00:00,1531646434910535687,@PippaMann I think it's no one's business how much a driver or team makes. I don't go around telling people what my bonus amount was... As a race fan I appreciate and admire the effort it takes for a team to get to the 500 and the work to put the car in the race and take the 🏁 flag!,GiantSmilingMan,New England,3,1,1,0,"Midwest kid/New England adult. Loves family, has a passion for IndyCar & the Indy500. Loves to travel, enjoys hockey and is a real Disneyholic.",287,,i think its no ones business how much a driver or team makes i dont go around telling people what my bonus amount was as a race fan i appreciate and admire the effort it takes for a team to get to the 500 and the work to put the car in the race and take the flag,"['i', 'think', 'its', 'no', 'ones', 'business', 'how', 'much', 'a', 'driver', 'or', 'team', 'makes', 'i', 'dont', 'go', 'around', 'telling', 'people', 'what', 'my', 'bonus', 'amount', 'was', 'as', 'a', 'race', 'fan', 'i', 'appreciate', 'and', 'admire', 'the', 'effort', 'it', 'takes', 'for', 'a', 'team', 'to', 'get', 'to', 'the', '500', 'and', 'the', 'work', 'to', 'put', 'the', 'car', 'in', 'the', 'race', 'and', 'take', 'the', 'flag']","['think', 'ones', 'business', 'much', 'driver', 'team', 'makes', 'dont', 'go', 'around', 'telling', 'people', 'bonus', 'amount', 'race', 'fan', 'appreciate', 'admire', 'effort', 'takes', 'team', 'get', '500', 'work', 'put', 'car', 'race', 'take', 'flag']","['think', 'one', 'busi', 'much', 'driver', 'team', 'make', 'dont', 'go', 'around', 'tell', 'peopl', 'bonu', 'amount', 'race', 'fan', 'appreci', 'admir', 'effort', 'take', 'team', 'get', '500', 'work', 'put', 'car', 'race', 'take', 'flag']","['think', 'ones', 'business', 'much', 'driver', 'team', 'makes', 'dont', 'go', 'around', 'telling', 'people', 'bonus', 'amount', 'race', 'fan', 'appreciate', 'admire', 'effort', 'takes', 'team', 'get', '500', 'work', 'put', 'car', 'race', 'take', 'flag']",5,Canada
2022-05-30 16:23:01+00:00,1531310220579901441,"(2/2) We know losing power on a holiday is hard, and appreciate your patience. Report an outage and check your outage status here: https://t.co/aiX20wsrE0",XcelEnergyND,North Dakota,0,0,0,0,A national wind energy leader since 2005 | Email inquire@xcelenergy.com | Disclaimer spr.ly/disclaimer | Report outages spr.ly/outage,1389,,22 we know losing power on a holiday is hard and appreciate your patience report an outage and check your outage status here,"['22', 'we', 'know', 'losing', 'power', 'on', 'a', 'holiday', 'is', 'hard', 'and', 'appreciate', 'your', 'patience', 'report', 'an', 'outage', 'and', 'check', 'your', 'outage', 'status', 'here']","['22', 'know', 'losing', 'power', 'holiday', 'hard', 'appreciate', 'patience', 'report', 'outage', 'check', 'outage', 'status']","['22', 'know', 'lose', 'power', 'holiday', 'hard', 'appreci', 'patienc', 'report', 'outag', 'check', 'outag', 'statu']","['22', 'know', 'losing', 'power', 'holiday', 'hard', 'appreciate', 'patience', 'report', 'outage', 'check', 'outage', 'status']",5,Canada
2022-03-04 03:55:00+00:00,1499594233161805824,@LivingPixelated All the photographers appreciate you and this message 🙌🏼,CodyBakerrrr,"Calgary, Alberta",0,0,0,0,Photographer | Working to change lives with the DayDreamer Project Fund,2874,,all the photographers appreciate you and this message,"['all', 'the', 'photographers', 'appreciate', 'you', 'and', 'this', 'message']","['photographers', 'appreciate', 'message']","['photograph', 'appreci', 'messag']","['photographers', 'appreciate', 'message']",5,Canada
2022-02-24 00:02:47+00:00,1496636690995113985,@travelingelf @BiancaMedici69 @Tylers_journey @tylekki @deividasmatkevi @MattDoogue @MattWalch4 @ShanofMohammed @BriaudJoffrey @whereisweatherb @NorrisNiman @HollowxSun @djohnstonphoto @newlightvisuals @jamesephoto @kristophershinn Appreciate you Rachel 🤗,CodyBakerrrr,"Calgary, Alberta",1,0,0,0,Photographer | Working to change lives with the DayDreamer Project Fund,2874,,appreciate you rachel,"['appreciate', 'you', 'rachel']","['appreciate', 'rachel']","['appreci', 'rachel']","['appreciate', 'rachel']",4,Canada
2022-01-29 04:07:09+00:00,1487276102594666497,@tchebotarev @crypto888crypto @oprisco @l4artiste @LuisDalvan @borntottravel @shavonnewong_ @winmagphoto @DrifterShoots Thanks!! Appreciate you and what you do 💛💛💛 A list of amazing photographers!,sarahlyndsay_,"Canmore, Alberta",1,0,0,0,Photographer I Environmental self-portraits | That banana in a yellow dress | #Nftphotography | foundation.app/@sarahlyndsay,7835,,thanks appreciate you and what you do a list of amazing photographers,"['thanks', 'appreciate', 'you', 'and', 'what', 'you', 'do', 'a', 'list', 'of', 'amazing', 'photographers']","['thanks', 'appreciate', 'list', 'amazing', 'photographers']","['thank', 'appreci', 'list', 'amaz', 'photograph']","['thanks', 'appreciate', 'list', 'amazing', 'photographers']",5,Canada
2021-12-29 19:31:32+00:00,1476274707699838987,"Well @roussin_brent is sticking to key messages that are not really answering some reporters' questions. Appreciate this is a difficult situation, but it sounds like a case of politics getting in the way of the health of Manitobans - again. #COVID19  #Manitoba",Teresa3c,"Winnipeg, MB  Canada",1,0,0,0,"Communications professional, proud Winnipegger, Slurpee connoisseur. Loves Canada, hiking, road trips, exploring new cities, soccer, photography, NYC & shoes.",413,"['COVID19', 'Manitoba']",well is sticking to key messages that are not really answering some reporters questions appreciate this is a difficult situation but it sounds like a case of politics getting in the way of the health of manitobans again covid19 manitoba,"['well', 'is', 'sticking', 'to', 'key', 'messages', 'that', 'are', 'not', 'really', 'answering', 'some', 'reporters', 'questions', 'appreciate', 'this', 'is', 'a', 'difficult', 'situation', 'but', 'it', 'sounds', 'like', 'a', 'case', 'of', 'politics', 'getting', 'in', 'the', 'way', 'of', 'the', 'health', 'of', 'manitobans', 'again', 'covid19', 'manitoba']","['well', 'sticking', 'key', 'messages', 'really', 'answering', 'reporters', 'questions', 'appreciate', 'difficult', 'situation', 'sounds', 'like', 'case', 'politics', 'getting', 'way', 'health', 'manitobans', 'covid19', 'manitoba']","['well', 'stick', 'key', 'messag', 'realli', 'answer', 'report', 'question', 'appreci', 'difficult', 'situat', 'sound', 'like', 'case', 'polit', 'get', 'way', 'health', 'manitoban', 'covid19', 'manitoba']","['well', 'sticking', 'key', 'messages', 'really', 'answering', 'reporters', 'questions', 'appreciate', 'difficult', 'situation', 'sounds', 'like', 'case', 'politics', 'getting', 'way', 'health', 'manitobans', 'covid19', 'manitoba']",3,Canada
2020-12-06 11:57:20+00:00,1335553911826968578,"@Based_Jedi @df16543 Yes, I cut from Custer State Park in Montana. But if you can find something somewhere else and the owner doesn't care, free reign to do it. But the parks appreciate the bonus of thinning the forrest of smaller trees. 

The experience is great, easy location, lots of options.",Kyle_Beckley,"Billings, MT",1,1,0,0,I'm a professional cynic but my heart's not in it,4400,,yes i cut from custer state park in montana but if you can find something somewhere else and the owner doesnt care free reign to do it but the parks appreciate the bonus of thinning the forrest of smaller trees the experience is great easy location lots of options,"['yes', 'i', 'cut', 'from', 'custer', 'state', 'park', 'in', 'montana', 'but', 'if', 'you', 'can', 'find', 'something', 'somewhere', 'else', 'and', 'the', 'owner', 'doesnt', 'care', 'free', 'reign', 'to', 'do', 'it', 'but', 'the', 'parks', 'appreciate', 'the', 'bonus', 'of', 'thinning', 'the', 'forrest', 'of', 'smaller', 'trees', 'the', 'experience', 'is', 'great', 'easy', 'location', 'lots', 'of', 'options']","['yes', 'cut', 'custer', 'state', 'park', 'montana', 'find', 'something', 'somewhere', 'else', 'owner', 'doesnt', 'care', 'free', 'reign', 'parks', 'appreciate', 'bonus', 'thinning', 'forrest', 'smaller', 'trees', 'experience', 'great', 'easy', 'location', 'lots', 'options']","['ye', 'cut', 'custer', 'state', 'park', 'montana', 'find', 'someth', 'somewher', 'els', 'owner', 'doesnt', 'care', 'free', 'reign', 'park', 'appreci', 'bonu', 'thin', 'forrest', 'smaller', 'tree', 'experi', 'great', 'easi', 'locat', 'lot', 'option']","['yes', 'cut', 'custer', 'state', 'park', 'montana', 'find', 'something', 'somewhere', 'else', 'owner', 'doesnt', 'care', 'free', 'reign', 'parks', 'appreciate', 'bonus', 'thinning', 'forrest', 'smaller', 'trees', 'experience', 'great', 'easy', 'location', 'lots', 'options']",4,Canada
