Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-06 19:45:29+00:00,1533897885989105664,"@ran_laelf Thank you for the birthday message, Lan! 💕
I appreciate your kind words. 💓
I'm so glad to have met you here. 💞

You are a so beautiful and lovely escort girl. ⭐️
I'll continue to support you. 🤝
Take care of yourself. 😷
Have a wonderful life full of love! ❤️

Much love. 💖 https://t.co/Mz3WYCxNYp",PuchiBruce,Tokyo Japan,2,0,0,0,"I'm Japanese comedy actor. I love movie, music & comedy. I'm waiting for appearance request from the Hollywood movie company.　
プチ･ブルースですハリウッド目差して頑張ります。",23933,,thank you for the birthday message lan i appreciate your kind words im so glad to have met you here you are a so beautiful and lovely escort girl ill continue to support you take care of yourself have a wonderful life full of love much love,"['thank', 'you', 'for', 'the', 'birthday', 'message', 'lan', 'i', 'appreciate', 'your', 'kind', 'words', 'im', 'so', 'glad', 'to', 'have', 'met', 'you', 'here', 'you', 'are', 'a', 'so', 'beautiful', 'and', 'lovely', 'escort', 'girl', 'ill', 'continue', 'to', 'support', 'you', 'take', 'care', 'of', 'yourself', 'have', 'a', 'wonderful', 'life', 'full', 'of', 'love', 'much', 'love']","['thank', 'birthday', 'message', 'lan', 'appreciate', 'kind', 'words', 'im', 'glad', 'met', 'beautiful', 'lovely', 'escort', 'girl', 'ill', 'continue', 'support', 'take', 'care', 'wonderful', 'life', 'full', 'love', 'much', 'love']","['thank', 'birthday', 'messag', 'lan', 'appreci', 'kind', 'word', 'im', 'glad', 'met', 'beauti', 'love', 'escort', 'girl', 'ill', 'continu', 'support', 'take', 'care', 'wonder', 'life', 'full', 'love', 'much', 'love']","['thank', 'birthday', 'message', 'lan', 'appreciate', 'kind', 'words', 'im', 'glad', 'met', 'beautiful', 'lovely', 'escort', 'girl', 'ill', 'continue', 'support', 'take', 'care', 'wonderful', 'life', 'full', 'love', 'much', 'love']",5,Japan
2022-06-05 00:59:47+00:00,1533252205951655936,"@ringmar12 What are your favorite challenges or pastimes? Are you inquisitive without being impertinent? Having things to share is a good starting place for conversation. I am old enough, widely traveled, so topics aplenty. I read, garden, cook, appreciate art, decry pollution, 🌈✌🏼💜✌🏼",DennisW38343236,"Kanagawa-ken, Japan",2,1,0,0,"ATHEIST, Queer🏳️‍🌈🌈ASA, NSGA, Retiree, Cold War Veteran, 💉💉💉 #NativeRights #WaterIsLife 🇺🇦 🚫No DM",2705,,what are your favorite challenges or pastimes are you inquisitive without being impertinent having things to share is a good starting place for conversation i am old enough widely traveled so topics aplenty i read garden cook appreciate art decry pollution,"['what', 'are', 'your', 'favorite', 'challenges', 'or', 'pastimes', 'are', 'you', 'inquisitive', 'without', 'being', 'impertinent', 'having', 'things', 'to', 'share', 'is', 'a', 'good', 'starting', 'place', 'for', 'conversation', 'i', 'am', 'old', 'enough', 'widely', 'traveled', 'so', 'topics', 'aplenty', 'i', 'read', 'garden', 'cook', 'appreciate', 'art', 'decry', 'pollution']","['favorite', 'challenges', 'pastimes', 'inquisitive', 'without', 'impertinent', 'things', 'share', 'good', 'starting', 'place', 'conversation', 'old', 'enough', 'widely', 'traveled', 'topics', 'aplenty', 'read', 'garden', 'cook', 'appreciate', 'art', 'decry', 'pollution']","['favorit', 'challeng', 'pastim', 'inquisit', 'without', 'impertin', 'thing', 'share', 'good', 'start', 'place', 'convers', 'old', 'enough', 'wide', 'travel', 'topic', 'aplenti', 'read', 'garden', 'cook', 'appreci', 'art', 'decri', 'pollut']","['favorite', 'challenges', 'pastimes', 'inquisitive', 'without', 'impertinent', 'things', 'share', 'good', 'starting', 'place', 'conversation', 'old', 'enough', 'widely', 'traveled', 'topics', 'aplenty', 'read', 'garden', 'cook', 'appreciate', 'art', 'decry', 'pollution']",5,Japan
2022-05-30 13:00:30+00:00,1531259254270664706,"@AmazonHelp Obviously, yes.
I'm not too concerned about this situation. Absolutely, I don't think that delivery delays are a big problem under the influence of wars, viruses &amp; the other ones. Now I have the tracking ID for the book, all I can do is wait and see.

I appreciate your messages.",lleuad5seren,日本,0,1,0,0,"twpf.jp/lleuad5seren
一般人への擬態を諦めた変人。
Like❥陰陽師,DQ,SHERLOCK,Lupin,JCG⚓
🇯🇵🇬🇧🇨🇦🇫🇷🌈🅰 ASD+ADHD/Dyscalculia/Synaesthesia/Hyperthymesia/Absolute pitch",322,,obviously yes im not too concerned about this situation absolutely i dont think that delivery delays are a big problem under the influence of wars viruses amp the other ones now i have the tracking id for the book all i can do is wait and see i appreciate your messages,"['obviously', 'yes', 'im', 'not', 'too', 'concerned', 'about', 'this', 'situation', 'absolutely', 'i', 'dont', 'think', 'that', 'delivery', 'delays', 'are', 'a', 'big', 'problem', 'under', 'the', 'influence', 'of', 'wars', 'viruses', 'amp', 'the', 'other', 'ones', 'now', 'i', 'have', 'the', 'tracking', 'id', 'for', 'the', 'book', 'all', 'i', 'can', 'do', 'is', 'wait', 'and', 'see', 'i', 'appreciate', 'your', 'messages']","['obviously', 'yes', 'im', 'concerned', 'situation', 'absolutely', 'dont', 'think', 'delivery', 'delays', 'big', 'problem', 'influence', 'wars', 'viruses', 'amp', 'ones', 'tracking', 'id', 'book', 'wait', 'see', 'appreciate', 'messages']","['obvious', 'ye', 'im', 'concern', 'situat', 'absolut', 'dont', 'think', 'deliveri', 'delay', 'big', 'problem', 'influenc', 'war', 'virus', 'amp', 'one', 'track', 'id', 'book', 'wait', 'see', 'appreci', 'messag']","['obviously', 'yes', 'im', 'concerned', 'situation', 'absolutely', 'dont', 'think', 'delivery', 'delays', 'big', 'problem', 'influence', 'wars', 'viruses', 'amp', 'ones', 'tracking', 'id', 'book', 'wait', 'see', 'appreciate', 'messages']",2,Japan
2022-06-01 03:49:10+00:00,1531845282115162113,"Shooting fellow citizens in tribute to dead soldiers:
'Memorial Day is a federal holiday in the United States for mourning the U.S. military personnel who have died while serving in the United States armed forces'
https://t.co/hrn93WkeoU https://t.co/TIMGpFI9H1",Pete_Branscombe,Tokyo,0,0,0,0,My old man's a dustman.,309,,shooting fellow citizens in tribute to dead soldiers memorial day is a federal holiday in the united states for mourning the us military personnel who have died while serving in the united states armed forces,"['shooting', 'fellow', 'citizens', 'in', 'tribute', 'to', 'dead', 'soldiers', 'memorial', 'day', 'is', 'a', 'federal', 'holiday', 'in', 'the', 'united', 'states', 'for', 'mourning', 'the', 'us', 'military', 'personnel', 'who', 'have', 'died', 'while', 'serving', 'in', 'the', 'united', 'states', 'armed', 'forces']","['shooting', 'fellow', 'citizens', 'tribute', 'dead', 'soldiers', 'memorial', 'day', 'federal', 'holiday', 'united', 'states', 'mourning', 'us', 'military', 'personnel', 'died', 'serving', 'united', 'states', 'armed', 'forces']","['shoot', 'fellow', 'citizen', 'tribut', 'dead', 'soldier', 'memori', 'day', 'feder', 'holiday', 'unit', 'state', 'mourn', 'us', 'militari', 'personnel', 'die', 'serv', 'unit', 'state', 'arm', 'forc']","['shooting', 'fellow', 'citizens', 'tribute', 'dead', 'soldiers', 'memorial', 'day', 'federal', 'holiday', 'united', 'states', 'mourning', 'us', 'military', 'personnel', 'died', 'serving', 'united', 'states', 'armed', 'forces']",5,Japan
2022-06-07 08:24:53+00:00,1534088995390763008,"AOHI Magnetic Wireless Power Bank
50% off with Code:AOHIBANK 
(20%voucher)
Reg.price:￡46.99
Final price:￡23.49
Expire Date: 2022-06-30
https://t.co/Ol16s72479",CouponHashimoto,"Shinagawa-ku, Tokyo",1,0,0,0,Globle Amazon Code,2147,,aohi magnetic wireless power bank 50 off with codeaohibank 20voucher regprice4699 final price2349 expire date 20220630,"['aohi', 'magnetic', 'wireless', 'power', 'bank', '50', 'off', 'with', 'codeaohibank', '20voucher', 'regprice4699', 'final', 'price2349', 'expire', 'date', '20220630']","['aohi', 'magnetic', 'wireless', 'power', 'bank', '50', 'codeaohibank', '20voucher', 'regprice4699', 'final', 'price2349', 'expire', 'date', '20220630']","['aohi', 'magnet', 'wireless', 'power', 'bank', '50', 'codeaohibank', '20voucher', 'regprice4699', 'final', 'price2349', 'expir', 'date', '20220630']","['aohi', 'magnetic', 'wireless', 'power', 'bank', '50', 'codeaohibank', '20voucher', 'regprice4699', 'final', 'price2349', 'expire', 'date', '20220630']",1,Japan
2022-06-07 08:24:44+00:00,1534088961123295234,"Floating Pool Light Rechargeable
60% off with Code:99S7DUHI
(20% voucher)
Reg.price:￡12.99
Final price:￡5.19
Expire Date: 2022-06-11
https://t.co/4x6RRrvOP5",CouponHashimoto,"Shinagawa-ku, Tokyo",1,0,0,0,Globle Amazon Code,2147,,floating pool light rechargeable 60 off with code99s7duhi 20 voucher regprice1299 final price519 expire date 20220611,"['floating', 'pool', 'light', 'rechargeable', '60', 'off', 'with', 'code99s7duhi', '20', 'voucher', 'regprice1299', 'final', 'price519', 'expire', 'date', '20220611']","['floating', 'pool', 'light', 'rechargeable', '60', 'code99s7duhi', '20', 'voucher', 'regprice1299', 'final', 'price519', 'expire', 'date', '20220611']","['float', 'pool', 'light', 'recharg', '60', 'code99s7duhi', '20', 'voucher', 'regprice1299', 'final', 'price519', 'expir', 'date', '20220611']","['floating', 'pool', 'light', 'rechargeable', '60', 'code99s7duhi', '20', 'voucher', 'regprice1299', 'final', 'price519', 'expire', 'date', '20220611']",1,Japan
2022-06-06 22:15:02+00:00,1533935522917122048,"@sugarfreeslav My country does this and has for a long time, but abortion is pretty normalized here. Once you get a confirmed heartbeat you go to city office and register that you’re pregnant and you get a “mom and child” health record book and vouchers for medical treatment",Rekijohashimoto,"Tokyo-to, Japan",1,0,0,0,"26 years old, have a 1 year old daughter, live in Tokyo. 26歳。1歳の娘がいます。東京に住んでいます。私は歴史, ポールダンス、料理、が好きです。/Français #johhnydeppisawifebeater #istandwithamberheard",22,,my country does this and has for a long time but abortion is pretty normalized here once you get a confirmed heartbeat you go to city office and register that youre pregnant and you get a mom and child health record book and vouchers for medical treatment,"['my', 'country', 'does', 'this', 'and', 'has', 'for', 'a', 'long', 'time', 'but', 'abortion', 'is', 'pretty', 'normalized', 'here', 'once', 'you', 'get', 'a', 'confirmed', 'heartbeat', 'you', 'go', 'to', 'city', 'office', 'and', 'register', 'that', 'youre', 'pregnant', 'and', 'you', 'get', 'a', 'mom', 'and', 'child', 'health', 'record', 'book', 'and', 'vouchers', 'for', 'medical', 'treatment']","['country', 'long', 'time', 'abortion', 'pretty', 'normalized', 'get', 'confirmed', 'heartbeat', 'go', 'city', 'office', 'register', 'youre', 'pregnant', 'get', 'mom', 'child', 'health', 'record', 'book', 'vouchers', 'medical', 'treatment']","['countri', 'long', 'time', 'abort', 'pretti', 'normal', 'get', 'confirm', 'heartbeat', 'go', 'citi', 'offic', 'regist', 'your', 'pregnant', 'get', 'mom', 'child', 'health', 'record', 'book', 'voucher', 'medic', 'treatment']","['country', 'long', 'time', 'abortion', 'pretty', 'normalized', 'get', 'confirmed', 'heartbeat', 'go', 'city', 'office', 'register', 'youre', 'pregnant', 'get', 'mom', 'child', 'health', 'record', 'book', 'vouchers', 'medical', 'treatment']",3,Japan
2022-06-06 01:26:11+00:00,1533621238551269378,"1 - free 10🤣🤣🤣🤣🤣🤣

2 - I accidentally pulled my 10 saved vouchers............. Loser😭 https://t.co/R6gIp5iM04",Nasu_Senpaiii,Япония,27,0,1,0,Nana|She♀️|20|artist|#obmプラス|#twstプラス|GI| Don't repost without permission⚠️|nasusenpaiii.carrd.com |pfp by @PanpandoChan,17407,,1 free 10 2 i accidentally pulled my 10 saved vouchers loser,"['1', 'free', '10', '2', 'i', 'accidentally', 'pulled', 'my', '10', 'saved', 'vouchers', 'loser']","['1', 'free', '10', '2', 'accidentally', 'pulled', '10', 'saved', 'vouchers', 'loser']","['1', 'free', '10', '2', 'accident', 'pull', '10', 'save', 'voucher', 'loser']","['1', 'free', '10', '2', 'accidentally', 'pulled', '10', 'saved', 'vouchers', 'loser']",1,Japan
2022-06-02 13:03:25+00:00,1532347150902128642,"Who on earth doesnt want the big prizes and million rupiah vouchers from the event @lazada games, also just playing at home is better during this pandemic #IkutanMainDiRumahAja #QuizBerhadiahPuluhanJuta Hujan Voucher Lazada",watffles,japan,0,0,0,0,,92,"['IkutanMainDiRumahAja', 'QuizBerhadiahPuluhanJuta']",who on earth doesnt want the big prizes and million rupiah vouchers from the event games also just playing at home is better during this pandemic ikutanmaindirumahaja quizberhadiahpuluhanjuta hujan voucher lazada,"['who', 'on', 'earth', 'doesnt', 'want', 'the', 'big', 'prizes', 'and', 'million', 'rupiah', 'vouchers', 'from', 'the', 'event', 'games', 'also', 'just', 'playing', 'at', 'home', 'is', 'better', 'during', 'this', 'pandemic', 'ikutanmaindirumahaja', 'quizberhadiahpuluhanjuta', 'hujan', 'voucher', 'lazada']","['earth', 'doesnt', 'want', 'big', 'prizes', 'million', 'rupiah', 'vouchers', 'event', 'games', 'also', 'playing', 'home', 'better', 'pandemic', 'ikutanmaindirumahaja', 'quizberhadiahpuluhanjuta', 'hujan', 'voucher', 'lazada']","['earth', 'doesnt', 'want', 'big', 'prize', 'million', 'rupiah', 'voucher', 'event', 'game', 'also', 'play', 'home', 'better', 'pandem', 'ikutanmaindirumahaja', 'quizberhadiahpuluhanjuta', 'hujan', 'voucher', 'lazada']","['earth', 'doesnt', 'want', 'big', 'prizes', 'million', 'rupiah', 'vouchers', 'event', 'games', 'also', 'playing', 'home', 'better', 'pandemic', 'ikutanmaindirumahaja', 'quizberhadiahpuluhanjuta', 'hujan', 'voucher', 'lazada']",1,Japan
2022-05-31 21:22:16+00:00,1531747915789504512,"Why inducing #war to satisfy the already rich through #weapon-sale, Mr #Biden with your carefree words ? Is #COVID not torturing enough for the commoners ? #China #Taiwan only dumbs fall into such trap - ""I'd sell you weapon, you die in your #fight.""",smileypic,Tokyo,0,1,0,0,,5,"['war', 'weapon', 'Biden', 'COVID', 'China', 'Taiwan', 'fight']",why inducing war to satisfy the already rich through weaponsale mr biden with your carefree words is covid not torturing enough for the commoners china taiwan only dumbs fall into such trap id sell you weapon you die in your fight,"['why', 'inducing', 'war', 'to', 'satisfy', 'the', 'already', 'rich', 'through', 'weaponsale', 'mr', 'biden', 'with', 'your', 'carefree', 'words', 'is', 'covid', 'not', 'torturing', 'enough', 'for', 'the', 'commoners', 'china', 'taiwan', 'only', 'dumbs', 'fall', 'into', 'such', 'trap', 'id', 'sell', 'you', 'weapon', 'you', 'die', 'in', 'your', 'fight']","['inducing', 'war', 'satisfy', 'already', 'rich', 'weaponsale', 'mr', 'biden', 'carefree', 'words', 'covid', 'torturing', 'enough', 'commoners', 'china', 'taiwan', 'dumbs', 'fall', 'trap', 'id', 'sell', 'weapon', 'die', 'fight']","['induc', 'war', 'satisfi', 'alreadi', 'rich', 'weaponsal', 'mr', 'biden', 'carefre', 'word', 'covid', 'tortur', 'enough', 'common', 'china', 'taiwan', 'dumb', 'fall', 'trap', 'id', 'sell', 'weapon', 'die', 'fight']","['inducing', 'war', 'satisfy', 'already', 'rich', 'weaponsale', 'mr', 'biden', 'carefree', 'words', 'covid', 'torturing', 'enough', 'commoners', 'china', 'taiwan', 'dumbs', 'fall', 'trap', 'id', 'sell', 'weapon', 'die', 'fight']",1,Japan
