Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-07 15:13:24+00:00,1534191803028611075,"#Kuwait_Ports_Authority has deposited the front-line workers incentive reward for work during the Covid-19 pandemic in their accounts, after the approval of all the regulatory authorities, and a grievance committee was formed in this regard.",KuwaitPorts,Kuwait,1,0,0,0,"‏‏‏الحساب الرسمي لمؤسسة الموانئ الكويتية

Official account for the Kuwait Ports Authority",4353,['Kuwait_Ports_Authority'],kuwaitportsauthority has deposited the frontline workers incentive reward for work during the covid19 pandemic in their accounts after the approval of all the regulatory authorities and a grievance committee was formed in this regard,"['kuwaitportsauthority', 'has', 'deposited', 'the', 'frontline', 'workers', 'incentive', 'reward', 'for', 'work', 'during', 'the', 'covid19', 'pandemic', 'in', 'their', 'accounts', 'after', 'the', 'approval', 'of', 'all', 'the', 'regulatory', 'authorities', 'and', 'a', 'grievance', 'committee', 'was', 'formed', 'in', 'this', 'regard']","['kuwaitportsauthority', 'deposited', 'frontline', 'workers', 'incentive', 'reward', 'work', 'covid19', 'pandemic', 'accounts', 'approval', 'regulatory', 'authorities', 'grievance', 'committee', 'formed', 'regard']","['kuwaitportsauthor', 'deposit', 'frontlin', 'worker', 'incent', 'reward', 'work', 'covid19', 'pandem', 'account', 'approv', 'regulatori', 'author', 'grievanc', 'committe', 'form', 'regard']","['kuwaitportsauthority', 'deposited', 'frontline', 'workers', 'incentive', 'reward', 'work', 'covid19', 'pandemic', 'accounts', 'approval', 'regulatory', 'authorities', 'grievance', 'committee', 'formed', 'regard']",1,Kuwait
2022-06-07 15:13:24+00:00,1534191803028611075,"#Kuwait_Ports_Authority has deposited the front-line workers incentive reward for work during the Covid-19 pandemic in their accounts, after the approval of all the regulatory authorities, and a grievance committee was formed in this regard.",KuwaitPorts,Kuwait,1,0,0,0,"‏‏‏الحساب الرسمي لمؤسسة الموانئ الكويتية

Official account for the Kuwait Ports Authority",4353,['Kuwait_Ports_Authority'],kuwaitportsauthority has deposited the frontline workers incentive reward for work during the covid19 pandemic in their accounts after the approval of all the regulatory authorities and a grievance committee was formed in this regard,"['kuwaitportsauthority', 'has', 'deposited', 'the', 'frontline', 'workers', 'incentive', 'reward', 'for', 'work', 'during', 'the', 'covid19', 'pandemic', 'in', 'their', 'accounts', 'after', 'the', 'approval', 'of', 'all', 'the', 'regulatory', 'authorities', 'and', 'a', 'grievance', 'committee', 'was', 'formed', 'in', 'this', 'regard']","['kuwaitportsauthority', 'deposited', 'frontline', 'workers', 'incentive', 'reward', 'work', 'covid19', 'pandemic', 'accounts', 'approval', 'regulatory', 'authorities', 'grievance', 'committee', 'formed', 'regard']","['kuwaitportsauthor', 'deposit', 'frontlin', 'worker', 'incent', 'reward', 'work', 'covid19', 'pandem', 'account', 'approv', 'regulatori', 'author', 'grievanc', 'committe', 'form', 'regard']","['kuwaitportsauthority', 'deposited', 'frontline', 'workers', 'incentive', 'reward', 'work', 'covid19', 'pandemic', 'accounts', 'approval', 'regulatory', 'authorities', 'grievance', 'committee', 'formed', 'regard']",1,Kuwait
2022-05-31 02:24:05+00:00,1531461482449453056,"was looking at my pair of @TheMandrillz sales a month ago wishing I had just held and bought more ADA to purchase my higher rank rather then shave off my 'lower rank' (worker drillz)😭 now apparently @ChartFuMonkey has one of them. Can you confirm ser?

#drillzhorde #NFT #NFTs https://t.co/Y3ppJ9lpPZ",SpiritSigma,Yes,3,1,0,1,"Chillin' , shillin' + drillin'

(Never financial advice. Please, do your own research!)",1689,"['drillzhorde', 'NFT', 'NFTs']",was looking at my pair of sales a month ago wishing i had just held and bought more ada to purchase my higher rank rather then shave off my lower rank worker drillz now apparently has one of them can you confirm ser drillzhorde nft nfts,"['was', 'looking', 'at', 'my', 'pair', 'of', 'sales', 'a', 'month', 'ago', 'wishing', 'i', 'had', 'just', 'held', 'and', 'bought', 'more', 'ada', 'to', 'purchase', 'my', 'higher', 'rank', 'rather', 'then', 'shave', 'off', 'my', 'lower', 'rank', 'worker', 'drillz', 'now', 'apparently', 'has', 'one', 'of', 'them', 'can', 'you', 'confirm', 'ser', 'drillzhorde', 'nft', 'nfts']","['looking', 'pair', 'sales', 'month', 'ago', 'wishing', 'held', 'bought', 'ada', 'purchase', 'higher', 'rank', 'rather', 'shave', 'lower', 'rank', 'worker', 'drillz', 'apparently', 'one', 'confirm', 'ser', 'drillzhorde', 'nft', 'nfts']","['look', 'pair', 'sale', 'month', 'ago', 'wish', 'held', 'bought', 'ada', 'purchas', 'higher', 'rank', 'rather', 'shave', 'lower', 'rank', 'worker', 'drillz', 'appar', 'one', 'confirm', 'ser', 'drillzhord', 'nft', 'nft']","['looking', 'pair', 'sales', 'month', 'ago', 'wishing', 'held', 'bought', 'ada', 'purchase', 'higher', 'rank', 'rather', 'shave', 'lower', 'rank', 'worker', 'drillz', 'apparently', 'one', 'confirm', 'ser', 'drillzhorde', 'nft', 'nfts']",1,Kuwait
2022-06-07 09:25:44+00:00,1534104312116559874,Some bonus screenshots with the headgear on. https://t.co/kawoKuJcGp,MindedMeister,yes,3,0,0,0,"Cyborg VTuber, He/Him/Hug, Doing Art Stuff, Mainly 3D and NFS Modding. Aiming to bring up the scale. More to update on later. linktr.ee/meister_vt",43,,some bonus screenshots with the headgear on,"['some', 'bonus', 'screenshots', 'with', 'the', 'headgear', 'on']","['bonus', 'screenshots', 'headgear']","['bonu', 'screenshot', 'headgear']","['bonus', 'screenshots', 'headgear']",3,Kuwait
2022-06-07 15:13:24+00:00,1534191803028611075,"#Kuwait_Ports_Authority has deposited the front-line workers incentive reward for work during the Covid-19 pandemic in their accounts, after the approval of all the regulatory authorities, and a grievance committee was formed in this regard.",KuwaitPorts,Kuwait,1,0,0,0,"‏‏‏الحساب الرسمي لمؤسسة الموانئ الكويتية

Official account for the Kuwait Ports Authority",4353,['Kuwait_Ports_Authority'],kuwaitportsauthority has deposited the frontline workers incentive reward for work during the covid19 pandemic in their accounts after the approval of all the regulatory authorities and a grievance committee was formed in this regard,"['kuwaitportsauthority', 'has', 'deposited', 'the', 'frontline', 'workers', 'incentive', 'reward', 'for', 'work', 'during', 'the', 'covid19', 'pandemic', 'in', 'their', 'accounts', 'after', 'the', 'approval', 'of', 'all', 'the', 'regulatory', 'authorities', 'and', 'a', 'grievance', 'committee', 'was', 'formed', 'in', 'this', 'regard']","['kuwaitportsauthority', 'deposited', 'frontline', 'workers', 'incentive', 'reward', 'work', 'covid19', 'pandemic', 'accounts', 'approval', 'regulatory', 'authorities', 'grievance', 'committee', 'formed', 'regard']","['kuwaitportsauthor', 'deposit', 'frontlin', 'worker', 'incent', 'reward', 'work', 'covid19', 'pandem', 'account', 'approv', 'regulatori', 'author', 'grievanc', 'committe', 'form', 'regard']","['kuwaitportsauthority', 'deposited', 'frontline', 'workers', 'incentive', 'reward', 'work', 'covid19', 'pandemic', 'accounts', 'approval', 'regulatory', 'authorities', 'grievance', 'committee', 'formed', 'regard']",1,Kuwait
2022-05-31 06:39:47+00:00,1531525830622564352,I'm at Platinum Health Club in Subah Al Salem https://t.co/BNAwj7EEV7,ralmoosawy,Kuwait ♥ ,0,0,0,0,,354,,im at platinum health club in subah al salem,"['im', 'at', 'platinum', 'health', 'club', 'in', 'subah', 'al', 'salem']","['im', 'platinum', 'health', 'club', 'subah', 'al', 'salem']","['im', 'platinum', 'health', 'club', 'subah', 'al', 'salem']","['im', 'platinum', 'health', 'club', 'subah', 'al', 'salem']",5,Kuwait
2022-05-24 05:23:23+00:00,1528969889565790208,"I'm at Holiday Inn - Health Club in Kuwait, Hawalli https://t.co/SygBx8OTvV",b__274,ليش اللقافه ! ,0,0,0,0,امرأه مثلي لا تُهزم✋🏽 I lost a lot and i still smile ، قل خيراً او صtellonym.me/bibialshammiri…,3776,,im at holiday inn health club in kuwait hawalli,"['im', 'at', 'holiday', 'inn', 'health', 'club', 'in', 'kuwait', 'hawalli']","['im', 'holiday', 'inn', 'health', 'club', 'kuwait', 'hawalli']","['im', 'holiday', 'inn', 'health', 'club', 'kuwait', 'hawal']","['im', 'holiday', 'inn', 'health', 'club', 'kuwait', 'hawalli']",5,Kuwait
2022-05-12 17:32:18+00:00,1524804675148697600,I'm at Platinum Health Club in Subah Al Salem https://t.co/ZyJjr7gMk4,ka522x_,Lost,0,0,0,0,•@jcoleNC •♎️ •⚡️👷🏽,1877,,im at platinum health club in subah al salem,"['im', 'at', 'platinum', 'health', 'club', 'in', 'subah', 'al', 'salem']","['im', 'platinum', 'health', 'club', 'subah', 'al', 'salem']","['im', 'platinum', 'health', 'club', 'subah', 'al', 'salem']","['im', 'platinum', 'health', 'club', 'subah', 'al', 'salem']",5,Kuwait
2022-05-05 23:48:21+00:00,1522362594106957825,Workout 🏋🏻‍♂️ (@ Platinum Health Club in Subah Al Salem) https://t.co/Qav71HhIQL,G42F__,"SW'6🇬🇧,Kuwait🇰🇼&Riyadh🇸🇦",0,0,0,0,🦷 |⚽️@ChelseaFC 💙🌎 ~KISR 36&37🧬🔬Volunteer💚~#KTBFFH💙| 🎶,517,,workout platinum health club in subah al salem,"['workout', 'platinum', 'health', 'club', 'in', 'subah', 'al', 'salem']","['workout', 'platinum', 'health', 'club', 'subah', 'al', 'salem']","['workout', 'platinum', 'health', 'club', 'subah', 'al', 'salem']","['workout', 'platinum', 'health', 'club', 'subah', 'al', 'salem']",5,Kuwait
2022-05-05 03:25:33+00:00,1522054867384258563,Workout 🏋🏻‍♂️ (@ Platinum Health Club in Subah Al Salem) https://t.co/N9gGu1orJs,G42F__,"SW'6🇬🇧,Kuwait🇰🇼&Riyadh🇸🇦",0,0,0,0,🦷 |⚽️@ChelseaFC 💙🌎 ~KISR 36&37🧬🔬Volunteer💚~#KTBFFH💙| 🎶,517,,workout platinum health club in subah al salem,"['workout', 'platinum', 'health', 'club', 'in', 'subah', 'al', 'salem']","['workout', 'platinum', 'health', 'club', 'subah', 'al', 'salem']","['workout', 'platinum', 'health', 'club', 'subah', 'al', 'salem']","['workout', 'platinum', 'health', 'club', 'subah', 'al', 'salem']",5,Kuwait
