Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2021-05-12 15:15:35+00:00,1392498698719014912,"@babssalman @enhlembali See that... That could be enough to get you this and more at only 743.10 per month for 24 months 💯💙

Am sure for being such a great wife you ll even get an allowance increase because that's what men appreciate... A woman whom takes care of the household &amp; keeps it amazing 😉💯",KennethMonthe,Botswana,0,1,0,0,"I’ve never been a millionaire but I just know I’d be darling at it 😍♠️🏳️‍🌈

Paris- Saint Germain Supporter 🗼",2477,,see that that could be enough to get you this and more at only 74310 per month for 24 months am sure for being such a great wife you ll even get an allowance increase because thats what men appreciate a woman whom takes care of the household amp keeps it amazing,"['see', 'that', 'that', 'could', 'be', 'enough', 'to', 'get', 'you', 'this', 'and', 'more', 'at', 'only', '74310', 'per', 'month', 'for', '24', 'months', 'am', 'sure', 'for', 'being', 'such', 'a', 'great', 'wife', 'you', 'll', 'even', 'get', 'an', 'allowance', 'increase', 'because', 'thats', 'what', 'men', 'appreciate', 'a', 'woman', 'whom', 'takes', 'care', 'of', 'the', 'household', 'amp', 'keeps', 'it', 'amazing']","['see', 'could', 'enough', 'get', '74310', 'per', 'month', '24', 'months', 'sure', 'great', 'wife', 'even', 'get', 'allowance', 'increase', 'thats', 'men', 'appreciate', 'woman', 'takes', 'care', 'household', 'amp', 'keeps', 'amazing']","['see', 'could', 'enough', 'get', '74310', 'per', 'month', '24', 'month', 'sure', 'great', 'wife', 'even', 'get', 'allow', 'increas', 'that', 'men', 'appreci', 'woman', 'take', 'care', 'household', 'amp', 'keep', 'amaz']","['see', 'could', 'enough', 'get', '74310', 'per', 'month', '24', 'months', 'sure', 'great', 'wife', 'even', 'get', 'allowance', 'increase', 'thats', 'men', 'appreciate', 'woman', 'takes', 'care', 'household', 'amp', 'keeps', 'amazing']",5,Namibia
2020-05-12 09:03:25+00:00,1260133469071474688,"As we celebrate International Nurses Day,let us remember those nurses who put their lives on the line every day to fight COVID-19 and the nurses who put our safety before their family's. Here is a message from some of those nurses.Happy International Nurses Day.We appreciate you. https://t.co/DQAHvcyXgM",NorthWestDOH,"Mafikeng, South Africa",6,0,6,0,Welcome to the official Twitter account of the North West Department of Health. ‘Healthy living for all’.,17504,,as we celebrate international nurses daylet us remember those nurses who put their lives on the line every day to fight covid19 and the nurses who put our safety before their familys here is a message from some of those nurseshappy international nurses daywe appreciate you,"['as', 'we', 'celebrate', 'international', 'nurses', 'daylet', 'us', 'remember', 'those', 'nurses', 'who', 'put', 'their', 'lives', 'on', 'the', 'line', 'every', 'day', 'to', 'fight', 'covid19', 'and', 'the', 'nurses', 'who', 'put', 'our', 'safety', 'before', 'their', 'familys', 'here', 'is', 'a', 'message', 'from', 'some', 'of', 'those', 'nurseshappy', 'international', 'nurses', 'daywe', 'appreciate', 'you']","['celebrate', 'international', 'nurses', 'daylet', 'us', 'remember', 'nurses', 'put', 'lives', 'line', 'every', 'day', 'fight', 'covid19', 'nurses', 'put', 'safety', 'familys', 'message', 'nurseshappy', 'international', 'nurses', 'daywe', 'appreciate']","['celebr', 'intern', 'nurs', 'daylet', 'us', 'rememb', 'nurs', 'put', 'live', 'line', 'everi', 'day', 'fight', 'covid19', 'nurs', 'put', 'safeti', 'famili', 'messag', 'nurseshappi', 'intern', 'nurs', 'dayw', 'appreci']","['celebrate', 'international', 'nurses', 'daylet', 'us', 'remember', 'nurses', 'put', 'lives', 'line', 'every', 'day', 'fight', 'covid19', 'nurses', 'put', 'safety', 'familys', 'message', 'nurseshappy', 'international', 'nurses', 'daywe', 'appreciate']",5,Namibia
2020-04-07 16:58:57+00:00,1247569565271429131,"I really appreciate the leadership of🇧🇼for creating a platform such as the just ended presser.This is the democracy &amp;good governance I signed up 4!
Saleshando was clear &amp; prepared but received no substantive answers. Like many of us-to understand the legislative gaps being filled",GogontlejangP,Cradle of Humankind ,47,4,4,0,Pan Africanist. Feminist. Philanthropist. Dev Practitioner. Entrepreneur. Moderator. Speaker. Quotations- ggphaladi@gmail.com I do PAID WORK.,12464,,i really appreciate the leadership offor creating a platform such as the just ended presserthis is the democracy ampgood governance i signed up 4 saleshando was clear amp prepared but received no substantive answers like many of usto understand the legislative gaps being filled,"['i', 'really', 'appreciate', 'the', 'leadership', 'offor', 'creating', 'a', 'platform', 'such', 'as', 'the', 'just', 'ended', 'presserthis', 'is', 'the', 'democracy', 'ampgood', 'governance', 'i', 'signed', 'up', '4', 'saleshando', 'was', 'clear', 'amp', 'prepared', 'but', 'received', 'no', 'substantive', 'answers', 'like', 'many', 'of', 'usto', 'understand', 'the', 'legislative', 'gaps', 'being', 'filled']","['really', 'appreciate', 'leadership', 'offor', 'creating', 'platform', 'ended', 'presserthis', 'democracy', 'ampgood', 'governance', 'signed', '4', 'saleshando', 'clear', 'amp', 'prepared', 'received', 'substantive', 'answers', 'like', 'many', 'usto', 'understand', 'legislative', 'gaps', 'filled']","['realli', 'appreci', 'leadership', 'offor', 'creat', 'platform', 'end', 'presserthi', 'democraci', 'ampgood', 'govern', 'sign', '4', 'saleshando', 'clear', 'amp', 'prepar', 'receiv', 'substant', 'answer', 'like', 'mani', 'usto', 'understand', 'legisl', 'gap', 'fill']","['really', 'appreciate', 'leadership', 'offor', 'creating', 'platform', 'ended', 'presserthis', 'democracy', 'ampgood', 'governance', 'signed', '4', 'saleshando', 'clear', 'amp', 'prepared', 'received', 'substantive', 'answers', 'like', 'many', 'usto', 'understand', 'legislative', 'gaps', 'filled']",2,Namibia
2021-11-17 19:01:11+00:00,1461046779676442627,"-Palesa gets designer clothes from various local fashion designers (18 of them) in preparation for @MissWorldLtd , physio care throughout her reign, dental care during her reign, yoga and spa treatment, hair treatment during her reign, a gift voucher and monthly scents..",hennymaps,"on ur TL, Global & WorldWide'",1,0,0,0,brand strategist| social media marketer| influencer| pr & communications expert| Instagram @mohenyimaruapula| Henny Maruapula on Facebook| hennymaps@gmail.com|,13016,,palesa gets designer clothes from various local fashion designers 18 of them in preparation for physio care throughout her reign dental care during her reign yoga and spa treatment hair treatment during her reign a gift voucher and monthly scents,"['palesa', 'gets', 'designer', 'clothes', 'from', 'various', 'local', 'fashion', 'designers', '18', 'of', 'them', 'in', 'preparation', 'for', 'physio', 'care', 'throughout', 'her', 'reign', 'dental', 'care', 'during', 'her', 'reign', 'yoga', 'and', 'spa', 'treatment', 'hair', 'treatment', 'during', 'her', 'reign', 'a', 'gift', 'voucher', 'and', 'monthly', 'scents']","['palesa', 'gets', 'designer', 'clothes', 'various', 'local', 'fashion', 'designers', '18', 'preparation', 'physio', 'care', 'throughout', 'reign', 'dental', 'care', 'reign', 'yoga', 'spa', 'treatment', 'hair', 'treatment', 'reign', 'gift', 'voucher', 'monthly', 'scents']","['palesa', 'get', 'design', 'cloth', 'variou', 'local', 'fashion', 'design', '18', 'prepar', 'physio', 'care', 'throughout', 'reign', 'dental', 'care', 'reign', 'yoga', 'spa', 'treatment', 'hair', 'treatment', 'reign', 'gift', 'voucher', 'monthli', 'scent']","['palesa', 'gets', 'designer', 'clothes', 'various', 'local', 'fashion', 'designers', '18', 'preparation', 'physio', 'care', 'throughout', 'reign', 'dental', 'care', 'reign', 'yoga', 'spa', 'treatment', 'hair', 'treatment', 'reign', 'gift', 'voucher', 'monthly', 'scents']",4,Namibia
2020-04-27 16:24:34+00:00,1254808667876139015,@BPCBw good evening please assist I’ve bought electricity for meter number 14021093464 through the bank(FNB) but did not receive the message for voucher number,RAMAJEDRAGON,"gaborone, botswana",0,0,0,0,,40,,good evening please assist ive bought electricity for meter number 14021093464 through the bankfnb but did not receive the message for voucher number,"['good', 'evening', 'please', 'assist', 'ive', 'bought', 'electricity', 'for', 'meter', 'number', '14021093464', 'through', 'the', 'bankfnb', 'but', 'did', 'not', 'receive', 'the', 'message', 'for', 'voucher', 'number']","['good', 'evening', 'please', 'assist', 'ive', 'bought', 'electricity', 'meter', 'number', '14021093464', 'bankfnb', 'receive', 'message', 'voucher', 'number']","['good', 'even', 'pleas', 'assist', 'ive', 'bought', 'electr', 'meter', 'number', '14021093464', 'bankfnb', 'receiv', 'messag', 'voucher', 'number']","['good', 'evening', 'please', 'assist', 'ive', 'bought', 'electricity', 'meter', 'number', '14021093464', 'bankfnb', 'receive', 'message', 'voucher', 'number']",3,Namibia
2020-01-02 13:32:47+00:00,1212728447509897219,"Hey,

#AlwaysRemember to take care on the roads this festive season. Be a road safety star and stand the chance to win a R500 grocery voucher.

If you refer friends you get more chances to win :) @Orori110717

%{link} https://t.co/XOEnIDkJUK",MissBips28,"Mafikeng, South Africa",0,0,0,0,God fearing woman🙏🙌,1386,['AlwaysRemember'],hey alwaysremember to take care on the roads this festive season be a road safety star and stand the chance to win a r500 grocery voucher if you refer friends you get more chances to win link,"['hey', 'alwaysremember', 'to', 'take', 'care', 'on', 'the', 'roads', 'this', 'festive', 'season', 'be', 'a', 'road', 'safety', 'star', 'and', 'stand', 'the', 'chance', 'to', 'win', 'a', 'r500', 'grocery', 'voucher', 'if', 'you', 'refer', 'friends', 'you', 'get', 'more', 'chances', 'to', 'win', 'link']","['hey', 'alwaysremember', 'take', 'care', 'roads', 'festive', 'season', 'road', 'safety', 'star', 'stand', 'chance', 'win', 'r500', 'grocery', 'voucher', 'refer', 'friends', 'get', 'chances', 'win', 'link']","['hey', 'alwaysrememb', 'take', 'care', 'road', 'festiv', 'season', 'road', 'safeti', 'star', 'stand', 'chanc', 'win', 'r500', 'groceri', 'voucher', 'refer', 'friend', 'get', 'chanc', 'win', 'link']","['hey', 'alwaysremember', 'take', 'care', 'roads', 'festive', 'season', 'road', 'safety', 'star', 'stand', 'chance', 'win', 'r500', 'grocery', 'voucher', 'refer', 'friends', 'get', 'chances', 'win', 'link']",5,Namibia
2019-12-27 15:52:56+00:00,1210589389530775552,"Hey,

#AlwaysRemember to take care on the roads this festive season. Be a road safety star and stand the chance to win a R500 grocery voucher.

If you refer friends you get more chances to win :)

%{link} https://t.co/KdQpVr2PiL",MissBips28,"Mafikeng, South Africa",1,0,0,0,God fearing woman🙏🙌,1386,['AlwaysRemember'],hey alwaysremember to take care on the roads this festive season be a road safety star and stand the chance to win a r500 grocery voucher if you refer friends you get more chances to win link,"['hey', 'alwaysremember', 'to', 'take', 'care', 'on', 'the', 'roads', 'this', 'festive', 'season', 'be', 'a', 'road', 'safety', 'star', 'and', 'stand', 'the', 'chance', 'to', 'win', 'a', 'r500', 'grocery', 'voucher', 'if', 'you', 'refer', 'friends', 'you', 'get', 'more', 'chances', 'to', 'win', 'link']","['hey', 'alwaysremember', 'take', 'care', 'roads', 'festive', 'season', 'road', 'safety', 'star', 'stand', 'chance', 'win', 'r500', 'grocery', 'voucher', 'refer', 'friends', 'get', 'chances', 'win', 'link']","['hey', 'alwaysrememb', 'take', 'care', 'road', 'festiv', 'season', 'road', 'safeti', 'star', 'stand', 'chanc', 'win', 'r500', 'groceri', 'voucher', 'refer', 'friend', 'get', 'chanc', 'win', 'link']","['hey', 'alwaysremember', 'take', 'care', 'roads', 'festive', 'season', 'road', 'safety', 'star', 'stand', 'chance', 'win', 'r500', 'grocery', 'voucher', 'refer', 'friends', 'get', 'chances', 'win', 'link']",5,Namibia
2019-12-20 09:16:13+00:00,1207952834928484352,Congratulations you have won yourself a N$500 meal voucher.. please Dm your details.. Thank You for Taking part!!! https://t.co/TlkPy7FA1O,_HOTPLATE__,,31,1,5,1,,3691,,congratulations you have won yourself a n500 meal voucher please dm your details thank you for taking part,"['congratulations', 'you', 'have', 'won', 'yourself', 'a', 'n500', 'meal', 'voucher', 'please', 'dm', 'your', 'details', 'thank', 'you', 'for', 'taking', 'part']","['congratulations', 'n500', 'meal', 'voucher', 'please', 'dm', 'details', 'thank', 'taking', 'part']","['congratul', 'n500', 'meal', 'voucher', 'pleas', 'dm', 'detail', 'thank', 'take', 'part']","['congratulations', 'n500', 'meal', 'voucher', 'please', 'dm', 'details', 'thank', 'taking', 'part']",5,Namibia
2020-04-19 09:37:46+00:00,1251807189272014848,"BREAKING: FIVE (5) NEW CONFIRMED COVID-19 CASES
- 2 had travelled to UK
- 3 are local transmission

Current Stats. 
Specimens received: 4547
Tested: 4434
Negative: 4414
Positive: 20
Death: 1
Health Minister  Dr Kwape 
#coronavirus #covid19 #coronavirusBotswana",MmegiOnline,Gaborone Botswana,322,57,185,47,"Official Twitter page of the leading newspaper in Botswana, MMEGI",257903,"['coronavirus', 'covid19', 'coronavirusBotswana']",breaking five 5 new confirmed covid19 cases 2 had travelled to uk 3 are local transmission current stats specimens received 4547 tested 4434 negative 4414 positive 20 death 1 health minister dr kwape coronavirus covid19 coronavirusbotswana,"['breaking', 'five', '5', 'new', 'confirmed', 'covid19', 'cases', '2', 'had', 'travelled', 'to', 'uk', '3', 'are', 'local', 'transmission', 'current', 'stats', 'specimens', 'received', '4547', 'tested', '4434', 'negative', '4414', 'positive', '20', 'death', '1', 'health', 'minister', 'dr', 'kwape', 'coronavirus', 'covid19', 'coronavirusbotswana']","['breaking', 'five', '5', 'new', 'confirmed', 'covid19', 'cases', '2', 'travelled', 'uk', '3', 'local', 'transmission', 'current', 'stats', 'specimens', 'received', '4547', 'tested', '4434', 'negative', '4414', 'positive', '20', 'death', '1', 'health', 'minister', 'dr', 'kwape', 'coronavirus', 'covid19', 'coronavirusbotswana']","['break', 'five', '5', 'new', 'confirm', 'covid19', 'case', '2', 'travel', 'uk', '3', 'local', 'transmiss', 'current', 'stat', 'specimen', 'receiv', '4547', 'test', '4434', 'neg', '4414', 'posit', '20', 'death', '1', 'health', 'minist', 'dr', 'kwape', 'coronaviru', 'covid19', 'coronavirusbotswana']","['breaking', 'five', '5', 'new', 'confirmed', 'covid19', 'cases', '2', 'travelled', 'uk', '3', 'local', 'transmission', 'current', 'stats', 'specimens', 'received', '4547', 'tested', '4434', 'negative', '4414', 'positive', '20', 'death', '1', 'health', 'minister', 'dr', 'kwape', 'coronavirus', 'covid19', 'coronavirusbotswana']",1,Namibia
2020-04-07 13:10:37+00:00,1247512102325157888,"LET'S ALL TAKE RESPONSIBILITY, #StayHome and save lives. We can beat #COVID19. Message from #TeamUofG 💝@UofG_Alumni on #WorldHealthDay. https://t.co/M14ZenspZn",EuniceKira,Botswana and Global,6,1,3,0,Director @EmPoweredBw #FinTech| Alumna @UPTuks @CheveningAA @UofGAsbs| #UofGWorldChanger 💘| #TVET educator| #HobbyFarmer | We’re @SolarFin2Go!,1862,"['StayHome', 'COVID19', 'TeamUofG', 'WorldHealthDay']",lets all take responsibility stayhome and save lives we can beat covid19 message from teamuofg on worldhealthday,"['lets', 'all', 'take', 'responsibility', 'stayhome', 'and', 'save', 'lives', 'we', 'can', 'beat', 'covid19', 'message', 'from', 'teamuofg', 'on', 'worldhealthday']","['lets', 'take', 'responsibility', 'stayhome', 'save', 'lives', 'beat', 'covid19', 'message', 'teamuofg', 'worldhealthday']","['let', 'take', 'respons', 'stayhom', 'save', 'live', 'beat', 'covid19', 'messag', 'teamuofg', 'worldhealthday']","['lets', 'take', 'responsibility', 'stayhome', 'save', 'lives', 'beat', 'covid19', 'message', 'teamuofg', 'worldhealthday']",5,Namibia
