Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-05-30 16:06:39+00:00,1531306099298775045,Thank you Hon. Minister Bilimon for your powerful message and emphasizing the importance for @WHO to include #Taiwan. The people of Taiwan deeply appreciate your support. We will keep working closely with Marshall Islands in achieving #HealthForAll. https://t.co/4WwJXqa54M,Taipei_GVA,"Geneva, Switzerland",10,0,2,0,"Official account of Taipei Delegation in Geneva, representing Taiwan's interests in French-speaking cantons of Switzerland & promoting multilateral cooperation",1169,"['Taiwan', 'HealthForAll']",thank you hon minister bilimon for your powerful message and emphasizing the importance for to include taiwan the people of taiwan deeply appreciate your support we will keep working closely with marshall islands in achieving healthforall,"['thank', 'you', 'hon', 'minister', 'bilimon', 'for', 'your', 'powerful', 'message', 'and', 'emphasizing', 'the', 'importance', 'for', 'to', 'include', 'taiwan', 'the', 'people', 'of', 'taiwan', 'deeply', 'appreciate', 'your', 'support', 'we', 'will', 'keep', 'working', 'closely', 'with', 'marshall', 'islands', 'in', 'achieving', 'healthforall']","['thank', 'hon', 'minister', 'bilimon', 'powerful', 'message', 'emphasizing', 'importance', 'include', 'taiwan', 'people', 'taiwan', 'deeply', 'appreciate', 'support', 'keep', 'working', 'closely', 'marshall', 'islands', 'achieving', 'healthforall']","['thank', 'hon', 'minist', 'bilimon', 'power', 'messag', 'emphas', 'import', 'includ', 'taiwan', 'peopl', 'taiwan', 'deepli', 'appreci', 'support', 'keep', 'work', 'close', 'marshal', 'island', 'achiev', 'healthforal']","['thank', 'hon', 'minister', 'bilimon', 'powerful', 'message', 'emphasizing', 'importance', 'include', 'taiwan', 'people', 'taiwan', 'deeply', 'appreciate', 'support', 'keep', 'working', 'closely', 'marshall', 'islands', 'achieving', 'healthforall']",5,Switzerland
2021-07-07 10:46:00+00:00,1412724576459558912,@BTS_twt_JIMlNIE Thanks for the message I really appreciate it ☺️💜😘... Please take care of yourself guys... Have a great day... ☺️💜☺️ https://t.co/ZkbTfHIgez,ARMY_ProudMamma,🇮🇹italia 🇵🇭 Philippines,2,0,0,0,"Be a role model just because you can and because you care 💜
Proud Army Mamma 💜😉💛
Hi it's me 클레멘 타인  🤟😘✌️",129,,thanks for the message i really appreciate it please take care of yourself guys have a great day,"['thanks', 'for', 'the', 'message', 'i', 'really', 'appreciate', 'it', 'please', 'take', 'care', 'of', 'yourself', 'guys', 'have', 'a', 'great', 'day']","['thanks', 'message', 'really', 'appreciate', 'please', 'take', 'care', 'guys', 'great', 'day']","['thank', 'messag', 'realli', 'appreci', 'pleas', 'take', 'care', 'guy', 'great', 'day']","['thanks', 'message', 'really', 'appreciate', 'please', 'take', 'care', 'guys', 'great', 'day']",5,Switzerland
2022-06-02 11:12:14+00:00,1532319171270295553,"This statement is incorrect
We must stop expecting health7care/grocery/postal workers, teachers to show up in unsafe workplaces where they are exposed to harassment and violence
#COVID19 spotlighted often underpaid essential services
This is their reward?
Govt must protect BEFORE https://t.co/AXQBm3uL7i",readycat,"Geneva, Switzerland",0,0,0,0,"Partnership builder talking public health, emergencies, diplomacy, risk comms, community, health workers  | WHO worker | humanitarian, ❤️🐕, hiker | my opinions",2671,['COVID19'],this statement is incorrect we must stop expecting health7caregrocerypostal workers teachers to show up in unsafe workplaces where they are exposed to harassment and violence covid19 spotlighted often underpaid essential services this is their reward govt must protect before,"['this', 'statement', 'is', 'incorrect', 'we', 'must', 'stop', 'expecting', 'health7caregrocerypostal', 'workers', 'teachers', 'to', 'show', 'up', 'in', 'unsafe', 'workplaces', 'where', 'they', 'are', 'exposed', 'to', 'harassment', 'and', 'violence', 'covid19', 'spotlighted', 'often', 'underpaid', 'essential', 'services', 'this', 'is', 'their', 'reward', 'govt', 'must', 'protect', 'before']","['statement', 'incorrect', 'must', 'stop', 'expecting', 'health7caregrocerypostal', 'workers', 'teachers', 'show', 'unsafe', 'workplaces', 'exposed', 'harassment', 'violence', 'covid19', 'spotlighted', 'often', 'underpaid', 'essential', 'services', 'reward', 'govt', 'must', 'protect']","['statement', 'incorrect', 'must', 'stop', 'expect', 'health7caregrocerypost', 'worker', 'teacher', 'show', 'unsaf', 'workplac', 'expos', 'harass', 'violenc', 'covid19', 'spotlight', 'often', 'underpaid', 'essenti', 'servic', 'reward', 'govt', 'must', 'protect']","['statement', 'incorrect', 'must', 'stop', 'expecting', 'health7caregrocerypostal', 'workers', 'teachers', 'show', 'unsafe', 'workplaces', 'exposed', 'harassment', 'violence', 'covid19', 'spotlighted', 'often', 'underpaid', 'essential', 'services', 'reward', 'govt', 'must', 'protect']",1,Switzerland
2022-05-30 17:26:01+00:00,1531326075149639682,"Did you register for the premier event in #psychiatry and mental health - #WCP22? 📢
Make sure you read the updated entry measures into Thailand and organize your trip!

💡 Learn more about #COVID19 travel regulations: https://t.co/GCNNF29j8b
We look forward to seeing you! 💙 https://t.co/ELwdibZqBz",WPA_Psychiatry,"Geneva, Switzerland",4,0,1,0,"Psychiatry’s global voice representing 250,000 psychiatrists from 141 societies in 121 countries around the 🌍
📍 #WCP22  in Bangkok, Thailand, 3-6 August 2022!",5973,"['psychiatry', 'WCP22', 'COVID19']",did you register for the premier event in psychiatry and mental health wcp22 make sure you read the updated entry measures into thailand and organize your trip learn more about covid19 travel regulations we look forward to seeing you,"['did', 'you', 'register', 'for', 'the', 'premier', 'event', 'in', 'psychiatry', 'and', 'mental', 'health', 'wcp22', 'make', 'sure', 'you', 'read', 'the', 'updated', 'entry', 'measures', 'into', 'thailand', 'and', 'organize', 'your', 'trip', 'learn', 'more', 'about', 'covid19', 'travel', 'regulations', 'we', 'look', 'forward', 'to', 'seeing', 'you']","['register', 'premier', 'event', 'psychiatry', 'mental', 'health', 'wcp22', 'make', 'sure', 'read', 'updated', 'entry', 'measures', 'thailand', 'organize', 'trip', 'learn', 'covid19', 'travel', 'regulations', 'look', 'forward', 'seeing']","['regist', 'premier', 'event', 'psychiatri', 'mental', 'health', 'wcp22', 'make', 'sure', 'read', 'updat', 'entri', 'measur', 'thailand', 'organ', 'trip', 'learn', 'covid19', 'travel', 'regul', 'look', 'forward', 'see']","['register', 'premier', 'event', 'psychiatry', 'mental', 'health', 'wcp22', 'make', 'sure', 'read', 'updated', 'entry', 'measures', 'thailand', 'organize', 'trip', 'learn', 'covid19', 'travel', 'regulations', 'look', 'forward', 'seeing']",4,Switzerland
2022-06-07 16:30:01+00:00,1534211083069693952,"A national retailer announced freezing prices of its 200 best-selling SKUs for the entire summer

smart for two reasons

1. lower sales volume due to holiday season - easily digestible

2. positive signaling power because it's tied to a comprehensive multichannel campaign",marctbblue,Europe,0,0,0,0,"Marketing and Consumer Goods

fmr CPG SME exec, @Hult_Business MA Marketing Alum 

medium.com/@Marcroger/",466,,a national retailer announced freezing prices of its 200 bestselling skus for the entire summer smart for two reasons 1 lower sales volume due to holiday season easily digestible 2 positive signaling power because its tied to a comprehensive multichannel campaign,"['a', 'national', 'retailer', 'announced', 'freezing', 'prices', 'of', 'its', '200', 'bestselling', 'skus', 'for', 'the', 'entire', 'summer', 'smart', 'for', 'two', 'reasons', '1', 'lower', 'sales', 'volume', 'due', 'to', 'holiday', 'season', 'easily', 'digestible', '2', 'positive', 'signaling', 'power', 'because', 'its', 'tied', 'to', 'a', 'comprehensive', 'multichannel', 'campaign']","['national', 'retailer', 'announced', 'freezing', 'prices', '200', 'bestselling', 'skus', 'entire', 'summer', 'smart', 'two', 'reasons', '1', 'lower', 'sales', 'volume', 'due', 'holiday', 'season', 'easily', 'digestible', '2', 'positive', 'signaling', 'power', 'tied', 'comprehensive', 'multichannel', 'campaign']","['nation', 'retail', 'announc', 'freez', 'price', '200', 'bestsel', 'sku', 'entir', 'summer', 'smart', 'two', 'reason', '1', 'lower', 'sale', 'volum', 'due', 'holiday', 'season', 'easili', 'digest', '2', 'posit', 'signal', 'power', 'tie', 'comprehens', 'multichannel', 'campaign']","['national', 'retailer', 'announced', 'freezing', 'prices', '200', 'bestselling', 'skus', 'entire', 'summer', 'smart', 'two', 'reasons', '1', 'lower', 'sales', 'volume', 'due', 'holiday', 'season', 'easily', 'digestible', '2', 'positive', 'signaling', 'power', 'tied', 'comprehensive', 'multichannel', 'campaign']",3,Switzerland
2022-05-31 23:27:28+00:00,1531779422809903105,@HuffmanForNC @GOP Nailed Scott! Sales = Campaign donations. https://t.co/zKjCKZlUBt,angeleyez407,OH,4,1,2,0,"(っ◔◡◔)っ ♥ Years in the medical field. Love my job. No Lists.
 #DACA   #RESIST #KeepFamiliesTogether.
#DemsAct",24590,,nailed scott sales campaign donations,"['nailed', 'scott', 'sales', 'campaign', 'donations']","['nailed', 'scott', 'sales', 'campaign', 'donations']","['nail', 'scott', 'sale', 'campaign', 'donat']","['nailed', 'scott', 'sales', 'campaign', 'donations']",1,Switzerland
2022-05-31 03:51:01+00:00,1531483360396300288,"Today is World #NoTobaccoDay and this year’s campaign raises awareness of the environmental impact of #tobacco across the product life cycle. The message: smoking doesn’t just damage a person’s health &amp; increase #fracture risk, it’s also a major pollutant. https://t.co/D0vax5pprq https://t.co/k1zE1voKhW",iofbonehealth,"Nyon, Switzerland",3,0,5,0,International Osteoporosis Foundation is an umbrella organization dedicated to the global fight against osteoporosis. Following does not imply endorsement.,8488,"['NoTobaccoDay', 'tobacco', 'fracture']",today is world notobaccoday and this years campaign raises awareness of the environmental impact of tobacco across the product life cycle the message smoking doesnt just damage a persons health amp increase fracture risk its also a major pollutant,"['today', 'is', 'world', 'notobaccoday', 'and', 'this', 'years', 'campaign', 'raises', 'awareness', 'of', 'the', 'environmental', 'impact', 'of', 'tobacco', 'across', 'the', 'product', 'life', 'cycle', 'the', 'message', 'smoking', 'doesnt', 'just', 'damage', 'a', 'persons', 'health', 'amp', 'increase', 'fracture', 'risk', 'its', 'also', 'a', 'major', 'pollutant']","['today', 'world', 'notobaccoday', 'years', 'campaign', 'raises', 'awareness', 'environmental', 'impact', 'tobacco', 'across', 'product', 'life', 'cycle', 'message', 'smoking', 'doesnt', 'damage', 'persons', 'health', 'amp', 'increase', 'fracture', 'risk', 'also', 'major', 'pollutant']","['today', 'world', 'notobaccoday', 'year', 'campaign', 'rais', 'awar', 'environment', 'impact', 'tobacco', 'across', 'product', 'life', 'cycl', 'messag', 'smoke', 'doesnt', 'damag', 'person', 'health', 'amp', 'increas', 'fractur', 'risk', 'also', 'major', 'pollut']","['today', 'world', 'notobaccoday', 'years', 'campaign', 'raises', 'awareness', 'environmental', 'impact', 'tobacco', 'across', 'product', 'life', 'cycle', 'message', 'smoking', 'doesnt', 'damage', 'persons', 'health', 'amp', 'increase', 'fracture', 'risk', 'also', 'major', 'pollutant']",5,Switzerland
2022-05-30 07:48:12+00:00,1531180661029195776,"@SaraGSLondon @RideLondon @modacitylife @ActiveTravel28 @bromleycyclists @Rahario @ChisEcoC Couldn’t agree more. Join the fab @London_Cycling to campaign for safe infrastructure for everyone on bikes regardless of ability, background, ethnicity, gender or age #activetravel #ClimateAction",eilidhmurray3,Europe,3,0,0,0,Immigrant Scot cycling & walking & greening in London. My tweets my own. 101% RemaINer. chair LCC trustees .@LondonParklet #lowtrafficislington,569,"['activetravel', 'ClimateAction']",couldnt agree more join the fab to campaign for safe infrastructure for everyone on bikes regardless of ability background ethnicity gender or age activetravel climateaction,"['couldnt', 'agree', 'more', 'join', 'the', 'fab', 'to', 'campaign', 'for', 'safe', 'infrastructure', 'for', 'everyone', 'on', 'bikes', 'regardless', 'of', 'ability', 'background', 'ethnicity', 'gender', 'or', 'age', 'activetravel', 'climateaction']","['couldnt', 'agree', 'join', 'fab', 'campaign', 'safe', 'infrastructure', 'everyone', 'bikes', 'regardless', 'ability', 'background', 'ethnicity', 'gender', 'age', 'activetravel', 'climateaction']","['couldnt', 'agre', 'join', 'fab', 'campaign', 'safe', 'infrastructur', 'everyon', 'bike', 'regardless', 'abil', 'background', 'ethnic', 'gender', 'age', 'activetravel', 'climateact']","['couldnt', 'agree', 'join', 'fab', 'campaign', 'safe', 'infrastructure', 'everyone', 'bikes', 'regardless', 'ability', 'background', 'ethnicity', 'gender', 'age', 'activetravel', 'climateaction']",2,Switzerland
2022-06-07 15:29:11+00:00,1534195775470817280,"@baldypidge I find non-masking on aeroplanes particularly stupid as when they get off the planes people intend to do things like holidaying, having medical treatment unavailable at home, or visiting sick / dying / elderly relatives - all things which COVID-19 would completely ruin!",Fran36826150,Europe,0,1,1,0,"STOP pretending that the pandemic is over! SAVE OUR N.H.S.! Black Lives Matter. “In the midst of winter I found there was, within me, an invincible summer.”",1569,,i find nonmasking on aeroplanes particularly stupid as when they get off the planes people intend to do things like holidaying having medical treatment unavailable at home or visiting sick dying elderly relatives all things which covid19 would completely ruin,"['i', 'find', 'nonmasking', 'on', 'aeroplanes', 'particularly', 'stupid', 'as', 'when', 'they', 'get', 'off', 'the', 'planes', 'people', 'intend', 'to', 'do', 'things', 'like', 'holidaying', 'having', 'medical', 'treatment', 'unavailable', 'at', 'home', 'or', 'visiting', 'sick', 'dying', 'elderly', 'relatives', 'all', 'things', 'which', 'covid19', 'would', 'completely', 'ruin']","['find', 'nonmasking', 'aeroplanes', 'particularly', 'stupid', 'get', 'planes', 'people', 'intend', 'things', 'like', 'holidaying', 'medical', 'treatment', 'unavailable', 'home', 'visiting', 'sick', 'dying', 'elderly', 'relatives', 'things', 'covid19', 'would', 'completely', 'ruin']","['find', 'nonmask', 'aeroplan', 'particularli', 'stupid', 'get', 'plane', 'peopl', 'intend', 'thing', 'like', 'holiday', 'medic', 'treatment', 'unavail', 'home', 'visit', 'sick', 'die', 'elderli', 'rel', 'thing', 'covid19', 'would', 'complet', 'ruin']","['find', 'nonmasking', 'aeroplanes', 'particularly', 'stupid', 'get', 'planes', 'people', 'intend', 'things', 'like', 'holidaying', 'medical', 'treatment', 'unavailable', 'home', 'visiting', 'sick', 'dying', 'elderly', 'relatives', 'things', 'covid19', 'would', 'completely', 'ruin']",1,Switzerland
2022-06-02 11:12:14+00:00,1532319171270295553,"This statement is incorrect
We must stop expecting health7care/grocery/postal workers, teachers to show up in unsafe workplaces where they are exposed to harassment and violence
#COVID19 spotlighted often underpaid essential services
This is their reward?
Govt must protect BEFORE https://t.co/AXQBm3uL7i",readycat,"Geneva, Switzerland",0,0,0,0,"Partnership builder talking public health, emergencies, diplomacy, risk comms, community, health workers  | WHO worker | humanitarian, ❤️🐕, hiker | my opinions",2671,['COVID19'],this statement is incorrect we must stop expecting health7caregrocerypostal workers teachers to show up in unsafe workplaces where they are exposed to harassment and violence covid19 spotlighted often underpaid essential services this is their reward govt must protect before,"['this', 'statement', 'is', 'incorrect', 'we', 'must', 'stop', 'expecting', 'health7caregrocerypostal', 'workers', 'teachers', 'to', 'show', 'up', 'in', 'unsafe', 'workplaces', 'where', 'they', 'are', 'exposed', 'to', 'harassment', 'and', 'violence', 'covid19', 'spotlighted', 'often', 'underpaid', 'essential', 'services', 'this', 'is', 'their', 'reward', 'govt', 'must', 'protect', 'before']","['statement', 'incorrect', 'must', 'stop', 'expecting', 'health7caregrocerypostal', 'workers', 'teachers', 'show', 'unsafe', 'workplaces', 'exposed', 'harassment', 'violence', 'covid19', 'spotlighted', 'often', 'underpaid', 'essential', 'services', 'reward', 'govt', 'must', 'protect']","['statement', 'incorrect', 'must', 'stop', 'expect', 'health7caregrocerypost', 'worker', 'teacher', 'show', 'unsaf', 'workplac', 'expos', 'harass', 'violenc', 'covid19', 'spotlight', 'often', 'underpaid', 'essenti', 'servic', 'reward', 'govt', 'must', 'protect']","['statement', 'incorrect', 'must', 'stop', 'expecting', 'health7caregrocerypostal', 'workers', 'teachers', 'show', 'unsafe', 'workplaces', 'exposed', 'harassment', 'violence', 'covid19', 'spotlighted', 'often', 'underpaid', 'essential', 'services', 'reward', 'govt', 'must', 'protect']",1,Switzerland
