Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-07 13:52:06+00:00,1534171343435931653,Non-Cash Summer: A Chance to Win 22 Travel Vouchers for the Clients of Ameriabank: Non-Cash Summer: A Chance to Win 22 Travel Vouchers for the Clients of Ameriabank https://t.co/S0gPmkYoA8 https://t.co/0cRovLwIfI,a1plusnews,Armenia,0,0,0,0,The freshest news from Armenia,9206,,noncash summer a chance to win 22 travel vouchers for the clients of ameriabank noncash summer a chance to win 22 travel vouchers for the clients of ameriabank,"['noncash', 'summer', 'a', 'chance', 'to', 'win', '22', 'travel', 'vouchers', 'for', 'the', 'clients', 'of', 'ameriabank', 'noncash', 'summer', 'a', 'chance', 'to', 'win', '22', 'travel', 'vouchers', 'for', 'the', 'clients', 'of', 'ameriabank']","['noncash', 'summer', 'chance', 'win', '22', 'travel', 'vouchers', 'clients', 'ameriabank', 'noncash', 'summer', 'chance', 'win', '22', 'travel', 'vouchers', 'clients', 'ameriabank']","['noncash', 'summer', 'chanc', 'win', '22', 'travel', 'voucher', 'client', 'ameriabank', 'noncash', 'summer', 'chanc', 'win', '22', 'travel', 'voucher', 'client', 'ameriabank']","['noncash', 'summer', 'chance', 'win', '22', 'travel', 'vouchers', 'clients', 'ameriabank', 'noncash', 'summer', 'chance', 'win', '22', 'travel', 'vouchers', 'clients', 'ameriabank']",1,Venezuela
2022-06-07 13:23:02+00:00,1534164029941469185,"No cars for sale?

And why not encourage Customers to queue up to order the new car, generating after-sales business and retaining potential trade-ins?

""Fila fácil"" is a smart campaign from Santogal, a portuguese Dealer group.

Ricardo Oliveira
World Sho…https://t.co/SotJqtuEjK",World_Shopper,Portugal,0,0,0,0,Customer obsessed. Innovative mindset. Automotive expert.,1065,,no cars for sale and why not encourage customers to queue up to order the new car generating aftersales business and retaining potential tradeins fila fcil is a smart campaign from santogal a portuguese dealer group ricardo oliveira world sho,"['no', 'cars', 'for', 'sale', 'and', 'why', 'not', 'encourage', 'customers', 'to', 'queue', 'up', 'to', 'order', 'the', 'new', 'car', 'generating', 'aftersales', 'business', 'and', 'retaining', 'potential', 'tradeins', 'fila', 'fcil', 'is', 'a', 'smart', 'campaign', 'from', 'santogal', 'a', 'portuguese', 'dealer', 'group', 'ricardo', 'oliveira', 'world', 'sho']","['cars', 'sale', 'encourage', 'customers', 'queue', 'order', 'new', 'car', 'generating', 'aftersales', 'business', 'retaining', 'potential', 'tradeins', 'fila', 'fcil', 'smart', 'campaign', 'santogal', 'portuguese', 'dealer', 'group', 'ricardo', 'oliveira', 'world', 'sho']","['car', 'sale', 'encourag', 'custom', 'queue', 'order', 'new', 'car', 'gener', 'aftersal', 'busi', 'retain', 'potenti', 'tradein', 'fila', 'fcil', 'smart', 'campaign', 'santog', 'portugues', 'dealer', 'group', 'ricardo', 'oliveira', 'world', 'sho']","['cars', 'sale', 'encourage', 'customers', 'queue', 'order', 'new', 'car', 'generating', 'aftersales', 'business', 'retaining', 'potential', 'tradeins', 'fila', 'fcil', 'smart', 'campaign', 'santogal', 'portuguese', 'dealer', 'group', 'ricardo', 'oliveira', 'world', 'sho']",1,Venezuela
2022-06-01 23:58:08+00:00,1532149529335713792,"An example below of Rodolfo Hernández and his message against “wasteful government spending” Here he says he’s saved tax payers $6 Millon by running a cheaper, online campaign. In #colombia candidates are reimbursed by government depending on how many votes obtained https://t.co/7hvET5hTSo",ruedareport,Bogota,3,2,1,0,Multimedia journalist based in #Colombia. Formerly in Mexico. Stories in @AP @TheWorld @BBCWorld @BusinessInsider | Reach me at: mrueda@ap.org,6326,['colombia'],an example below of rodolfo hernndez and his message against wasteful government spending here he says hes saved tax payers 6 millon by running a cheaper online campaign in colombia candidates are reimbursed by government depending on how many votes obtained,"['an', 'example', 'below', 'of', 'rodolfo', 'hernndez', 'and', 'his', 'message', 'against', 'wasteful', 'government', 'spending', 'here', 'he', 'says', 'hes', 'saved', 'tax', 'payers', '6', 'millon', 'by', 'running', 'a', 'cheaper', 'online', 'campaign', 'in', 'colombia', 'candidates', 'are', 'reimbursed', 'by', 'government', 'depending', 'on', 'how', 'many', 'votes', 'obtained']","['example', 'rodolfo', 'hernndez', 'message', 'wasteful', 'government', 'spending', 'says', 'hes', 'saved', 'tax', 'payers', '6', 'millon', 'running', 'cheaper', 'online', 'campaign', 'colombia', 'candidates', 'reimbursed', 'government', 'depending', 'many', 'votes', 'obtained']","['exampl', 'rodolfo', 'hernndez', 'messag', 'wast', 'govern', 'spend', 'say', 'he', 'save', 'tax', 'payer', '6', 'millon', 'run', 'cheaper', 'onlin', 'campaign', 'colombia', 'candid', 'reimburs', 'govern', 'depend', 'mani', 'vote', 'obtain']","['example', 'rodolfo', 'hernndez', 'message', 'wasteful', 'government', 'spending', 'says', 'hes', 'saved', 'tax', 'payers', '6', 'millon', 'running', 'cheaper', 'online', 'campaign', 'colombia', 'candidates', 'reimbursed', 'government', 'depending', 'many', 'votes', 'obtained']",1,Venezuela
2020-11-28 19:52:49+00:00,1332774467844575232,"We are proud to launch our #wecare campaign, as part of the UEFA Assist ""Bounceback"" programme. We want to inspire you to stay safe and active. We'll be posting skill challenges, football drills &amp; health messages featuring our football ambassadors #wecare #uefa @GFF_Inc_ https://t.co/g5cQMWLy61",IanGreenwoodTD,Guyana,1,0,1,0,Technical Director - Guyana Football Federation,564,"['wecare', 'wecare', 'uefa']",we are proud to launch our wecare campaign as part of the uefa assist bounceback programme we want to inspire you to stay safe and active well be posting skill challenges football drills amp health messages featuring our football ambassadors wecare uefa,"['we', 'are', 'proud', 'to', 'launch', 'our', 'wecare', 'campaign', 'as', 'part', 'of', 'the', 'uefa', 'assist', 'bounceback', 'programme', 'we', 'want', 'to', 'inspire', 'you', 'to', 'stay', 'safe', 'and', 'active', 'well', 'be', 'posting', 'skill', 'challenges', 'football', 'drills', 'amp', 'health', 'messages', 'featuring', 'our', 'football', 'ambassadors', 'wecare', 'uefa']","['proud', 'launch', 'wecare', 'campaign', 'part', 'uefa', 'assist', 'bounceback', 'programme', 'want', 'inspire', 'stay', 'safe', 'active', 'well', 'posting', 'skill', 'challenges', 'football', 'drills', 'amp', 'health', 'messages', 'featuring', 'football', 'ambassadors', 'wecare', 'uefa']","['proud', 'launch', 'wecar', 'campaign', 'part', 'uefa', 'assist', 'bounceback', 'programm', 'want', 'inspir', 'stay', 'safe', 'activ', 'well', 'post', 'skill', 'challeng', 'footbal', 'drill', 'amp', 'health', 'messag', 'featur', 'footbal', 'ambassador', 'wecar', 'uefa']","['proud', 'launch', 'wecare', 'campaign', 'part', 'uefa', 'assist', 'bounceback', 'programme', 'want', 'inspire', 'stay', 'safe', 'active', 'well', 'posting', 'skill', 'challenges', 'football', 'drills', 'amp', 'health', 'messages', 'featuring', 'football', 'ambassadors', 'wecare', 'uefa']",5,Venezuela
2020-06-29 14:12:59+00:00,1277605991316623360,@POTUS @realDonaldTrump Please stop random tweeting.  It’s time to get disciplined &amp; in campaign mode. Every Tweet/Retweet should be carefully thought out to communicte a message to the American people &amp; support re-election. @GOP @PressSec @senatemajldr @GOPLeader @GOPChairwoman https://t.co/T6QOyz4eCB,valwayne,"Denver, CO",0,0,0,0,,3047,,please stop random tweeting its time to get disciplined amp in campaign mode every tweetretweet should be carefully thought out to communicte a message to the american people amp support reelection,"['please', 'stop', 'random', 'tweeting', 'its', 'time', 'to', 'get', 'disciplined', 'amp', 'in', 'campaign', 'mode', 'every', 'tweetretweet', 'should', 'be', 'carefully', 'thought', 'out', 'to', 'communicte', 'a', 'message', 'to', 'the', 'american', 'people', 'amp', 'support', 'reelection']","['please', 'stop', 'random', 'tweeting', 'time', 'get', 'disciplined', 'amp', 'campaign', 'mode', 'every', 'tweetretweet', 'carefully', 'thought', 'communicte', 'message', 'american', 'people', 'amp', 'support', 'reelection']","['pleas', 'stop', 'random', 'tweet', 'time', 'get', 'disciplin', 'amp', 'campaign', 'mode', 'everi', 'tweetretweet', 'care', 'thought', 'communict', 'messag', 'american', 'peopl', 'amp', 'support', 'reelect']","['please', 'stop', 'random', 'tweeting', 'time', 'get', 'disciplined', 'amp', 'campaign', 'mode', 'every', 'tweetretweet', 'carefully', 'thought', 'communicte', 'message', 'american', 'people', 'amp', 'support', 'reelection']",1,Venezuela
2022-06-03 00:27:36+00:00,1532519334010036224,"#Week116 of #coronavirus impacts

Coworkers dealing with all the travel issues due to bad weather in NE affecting flights all over...great for dishing it out to one another in person, like we used to.

#Week115 thread below https://t.co/AsdNSnbGDB",RocketCaley,"Space Coast, Florida",0,1,0,0,"🚀 Trajectory Analyst for NASA & @NOAASatellites 🛰️ (@NASA_LSP 🚀👩‍🔬, she/her) Tweets=personal views. Alumna of @PurdueAeroAstro @MITAeroAstro @ISUnet #SSP18",2036,"['Week116', 'coronavirus', 'Week115']",week116 of coronavirus impacts coworkers dealing with all the travel issues due to bad weather in ne affecting flights all overgreat for dishing it out to one another in person like we used to week115 thread below,"['week116', 'of', 'coronavirus', 'impacts', 'coworkers', 'dealing', 'with', 'all', 'the', 'travel', 'issues', 'due', 'to', 'bad', 'weather', 'in', 'ne', 'affecting', 'flights', 'all', 'overgreat', 'for', 'dishing', 'it', 'out', 'to', 'one', 'another', 'in', 'person', 'like', 'we', 'used', 'to', 'week115', 'thread', 'below']","['week116', 'coronavirus', 'impacts', 'coworkers', 'dealing', 'travel', 'issues', 'due', 'bad', 'weather', 'ne', 'affecting', 'flights', 'overgreat', 'dishing', 'one', 'another', 'person', 'like', 'used', 'week115', 'thread']","['week116', 'coronaviru', 'impact', 'cowork', 'deal', 'travel', 'issu', 'due', 'bad', 'weather', 'ne', 'affect', 'flight', 'overgreat', 'dish', 'one', 'anoth', 'person', 'like', 'use', 'week115', 'thread']","['week116', 'coronavirus', 'impacts', 'coworkers', 'dealing', 'travel', 'issues', 'due', 'bad', 'weather', 'ne', 'affecting', 'flights', 'overgreat', 'dishing', 'one', 'another', 'person', 'like', 'used', 'week115', 'thread']",1,Venezuela
2022-06-08 13:05:45+00:00,1534522068309577728,"Brookins says a message went out to all RNs on the Island on a Friday calling for staff to work at Wedgewood Manor in Summerside. They had, from what she said, no nurses to work for the weekend. The manor was in the midst of a COVID outbreak...",kerrywcampbell,"Charlottetown, PEI",3,1,0,0,"I cover politics for @CBCPEI. Love cooking, camping, child-rearing. News tips: 902-629-6443 / kerry.campbell@cbc.ca. Opinions my own. RTs not endorsements.",8255,,brookins says a message went out to all rns on the island on a friday calling for staff to work at wedgewood manor in summerside they had from what she said no nurses to work for the weekend the manor was in the midst of a covid outbreak,"['brookins', 'says', 'a', 'message', 'went', 'out', 'to', 'all', 'rns', 'on', 'the', 'island', 'on', 'a', 'friday', 'calling', 'for', 'staff', 'to', 'work', 'at', 'wedgewood', 'manor', 'in', 'summerside', 'they', 'had', 'from', 'what', 'she', 'said', 'no', 'nurses', 'to', 'work', 'for', 'the', 'weekend', 'the', 'manor', 'was', 'in', 'the', 'midst', 'of', 'a', 'covid', 'outbreak']","['brookins', 'says', 'message', 'went', 'rns', 'island', 'friday', 'calling', 'staff', 'work', 'wedgewood', 'manor', 'summerside', 'said', 'nurses', 'work', 'weekend', 'manor', 'midst', 'covid', 'outbreak']","['brookin', 'say', 'messag', 'went', 'rn', 'island', 'friday', 'call', 'staff', 'work', 'wedgewood', 'manor', 'summersid', 'said', 'nurs', 'work', 'weekend', 'manor', 'midst', 'covid', 'outbreak']","['brookins', 'says', 'message', 'went', 'rns', 'island', 'friday', 'calling', 'staff', 'work', 'wedgewood', 'manor', 'summerside', 'said', 'nurses', 'work', 'weekend', 'manor', 'midst', 'covid', 'outbreak']",1,Venezuela
2022-06-05 14:27:50+00:00,1533455561735426048,@welshladycymru @edthetechie @TheFreds @EssexPR @RichardFairbra9 @sophielouisecc @janiceonholiday @thecoastguy @RWTaylors @MaajidNawaz @JuliaHB1 @RealDeniseWelch @toadmeister @georgegalloway @ClarkeMicah We need a class action against the government for restricting travel by medical status - they will need to show evidence that vax saves lives &amp; stops spread of covid,LiveAzores,Portugal,7,0,4,0,'It's the end of the world as we know it And I feel fine',1231,,we need a class action against the government for restricting travel by medical status they will need to show evidence that vax saves lives amp stops spread of covid,"['we', 'need', 'a', 'class', 'action', 'against', 'the', 'government', 'for', 'restricting', 'travel', 'by', 'medical', 'status', 'they', 'will', 'need', 'to', 'show', 'evidence', 'that', 'vax', 'saves', 'lives', 'amp', 'stops', 'spread', 'of', 'covid']","['need', 'class', 'action', 'government', 'restricting', 'travel', 'medical', 'status', 'need', 'show', 'evidence', 'vax', 'saves', 'lives', 'amp', 'stops', 'spread', 'covid']","['need', 'class', 'action', 'govern', 'restrict', 'travel', 'medic', 'statu', 'need', 'show', 'evid', 'vax', 'save', 'live', 'amp', 'stop', 'spread', 'covid']","['need', 'class', 'action', 'government', 'restricting', 'travel', 'medical', 'status', 'need', 'show', 'evidence', 'vax', 'saves', 'lives', 'amp', 'stops', 'spread', 'covid']",1,Venezuela
2022-06-04 12:02:16+00:00,1533056540533571584,"Watch ""IMPORTANT Message From Famous Covid Doctor | Dr. Zev Zelenko"" on YouTube https://t.co/HeNuC6oir3",RoySilos,"Paramaribo, Suriname",0,0,0,0,"Developer SrananPasi - CrossBorderProsperity Concept. Investing in People&Planet results in Pleasure&Profit. Father of Shanti, Maaike, Ayla, Xavier and Aisha.",812,,watch important message from famous covid doctor dr zev zelenko on youtube,"['watch', 'important', 'message', 'from', 'famous', 'covid', 'doctor', 'dr', 'zev', 'zelenko', 'on', 'youtube']","['watch', 'important', 'message', 'famous', 'covid', 'doctor', 'dr', 'zev', 'zelenko', 'youtube']","['watch', 'import', 'messag', 'famou', 'covid', 'doctor', 'dr', 'zev', 'zelenko', 'youtub']","['watch', 'important', 'message', 'famous', 'covid', 'doctor', 'dr', 'zev', 'zelenko', 'youtube']",5,Venezuela
2022-06-01 11:21:48+00:00,1531959193862799362,"Airlines were always going to get busier as COVID restrictions went away. A woeful lack of planning by complacent, penny-pinching airports and security as hardworking people have their holidays ruined. @manairport, @Gatwick_Airport, @UKBorder.
https://t.co/B2xmbF9Jrc",JohnBakervii,Portugal,1,0,0,0,"Welshman in exile; anti-Corn Laws, Tariff Reform and Dr Beeching; comment UK politics mostly. Pronouns: Thou/thee/thy/thine",328,,airlines were always going to get busier as covid restrictions went away a woeful lack of planning by complacent pennypinching airports and security as hardworking people have their holidays ruined,"['airlines', 'were', 'always', 'going', 'to', 'get', 'busier', 'as', 'covid', 'restrictions', 'went', 'away', 'a', 'woeful', 'lack', 'of', 'planning', 'by', 'complacent', 'pennypinching', 'airports', 'and', 'security', 'as', 'hardworking', 'people', 'have', 'their', 'holidays', 'ruined']","['airlines', 'always', 'going', 'get', 'busier', 'covid', 'restrictions', 'went', 'away', 'woeful', 'lack', 'planning', 'complacent', 'pennypinching', 'airports', 'security', 'hardworking', 'people', 'holidays', 'ruined']","['airlin', 'alway', 'go', 'get', 'busier', 'covid', 'restrict', 'went', 'away', 'woeful', 'lack', 'plan', 'complac', 'pennypinch', 'airport', 'secur', 'hardwork', 'peopl', 'holiday', 'ruin']","['airlines', 'always', 'going', 'get', 'busier', 'covid', 'restrictions', 'went', 'away', 'woeful', 'lack', 'planning', 'complacent', 'pennypinching', 'airports', 'security', 'hardworking', 'people', 'holidays', 'ruined']",2,Venezuela
