Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-08 15:34:17+00:00,1534559447086940161,"There's no money being pumped in. There's no money in album sales. It's endorsements, performances etc but our artists are underpaid. Look at the contract TNM gave Eli Njuchi. Corporations need to appreciate the symbiotic relationship more https://t.co/CQvNgvFyGv",zicky317,"Blantyre, Malawi",3,0,0,0,"I dont like how serious they take themselves, I've always been me I guess I know myself. Music, Football, good vibes. We have won it 6 times. Focus on yourself",2030,,theres no money being pumped in theres no money in album sales its endorsements performances etc but our artists are underpaid look at the contract tnm gave eli njuchi corporations need to appreciate the symbiotic relationship more,"['theres', 'no', 'money', 'being', 'pumped', 'in', 'theres', 'no', 'money', 'in', 'album', 'sales', 'its', 'endorsements', 'performances', 'etc', 'but', 'our', 'artists', 'are', 'underpaid', 'look', 'at', 'the', 'contract', 'tnm', 'gave', 'eli', 'njuchi', 'corporations', 'need', 'to', 'appreciate', 'the', 'symbiotic', 'relationship', 'more']","['theres', 'money', 'pumped', 'theres', 'money', 'album', 'sales', 'endorsements', 'performances', 'etc', 'artists', 'underpaid', 'look', 'contract', 'tnm', 'gave', 'eli', 'njuchi', 'corporations', 'need', 'appreciate', 'symbiotic', 'relationship']","['there', 'money', 'pump', 'there', 'money', 'album', 'sale', 'endors', 'perform', 'etc', 'artist', 'underpaid', 'look', 'contract', 'tnm', 'gave', 'eli', 'njuchi', 'corpor', 'need', 'appreci', 'symbiot', 'relationship']","['theres', 'money', 'pumped', 'theres', 'money', 'album', 'sales', 'endorsements', 'performances', 'etc', 'artists', 'underpaid', 'look', 'contract', 'tnm', 'gave', 'eli', 'njuchi', 'corporations', 'need', 'appreciate', 'symbiotic', 'relationship']",1,Zambia
2021-12-22 06:28:13+00:00,1473540863078936584,"A closet sale happy client 😍😍😍

Thank you for being part of the sale..  We love and appreciate you💛 @ Mau Stylez https://t.co/8rUkyKtWmu",MauStylez,"Lusaka, Zambia",0,0,0,0,Mau Stylez is a brand about modest style & fashion and our main objective is to help career women know their body shape and how to dress for it.,8,,a closet sale happy client thank you for being part of the sale we love and appreciate you mau stylez,"['a', 'closet', 'sale', 'happy', 'client', 'thank', 'you', 'for', 'being', 'part', 'of', 'the', 'sale', 'we', 'love', 'and', 'appreciate', 'you', 'mau', 'stylez']","['closet', 'sale', 'happy', 'client', 'thank', 'part', 'sale', 'love', 'appreciate', 'mau', 'stylez']","['closet', 'sale', 'happi', 'client', 'thank', 'part', 'sale', 'love', 'appreci', 'mau', 'stylez']","['closet', 'sale', 'happy', 'client', 'thank', 'part', 'sale', 'love', 'appreciate', 'mau', 'stylez']",5,Zambia
2020-01-15 17:22:30+00:00,1217497298336468993,"@teflon265 this type of thinking is what they want u to have if u have had an opportunity to travel across the country u can appreciate the diversity in natural resources that we have that can transforming our mining, tourism, creative and health industries.",Mihawastyles,These Streets ,1,0,0,0,Father| Legacy builder| Let's talk Advocacy and Inclusive Education,1781,,this type of thinking is what they want u to have if u have had an opportunity to travel across the country u can appreciate the diversity in natural resources that we have that can transforming our mining tourism creative and health industries,"['this', 'type', 'of', 'thinking', 'is', 'what', 'they', 'want', 'u', 'to', 'have', 'if', 'u', 'have', 'had', 'an', 'opportunity', 'to', 'travel', 'across', 'the', 'country', 'u', 'can', 'appreciate', 'the', 'diversity', 'in', 'natural', 'resources', 'that', 'we', 'have', 'that', 'can', 'transforming', 'our', 'mining', 'tourism', 'creative', 'and', 'health', 'industries']","['type', 'thinking', 'want', 'u', 'u', 'opportunity', 'travel', 'across', 'country', 'u', 'appreciate', 'diversity', 'natural', 'resources', 'transforming', 'mining', 'tourism', 'creative', 'health', 'industries']","['type', 'think', 'want', 'u', 'u', 'opportun', 'travel', 'across', 'countri', 'u', 'appreci', 'divers', 'natur', 'resourc', 'transform', 'mine', 'tourism', 'creativ', 'health', 'industri']","['type', 'thinking', 'want', 'u', 'u', 'opportunity', 'travel', 'across', 'country', 'u', 'appreciate', 'diversity', 'natural', 'resources', 'transforming', 'mining', 'tourism', 'creative', 'health', 'industries']",4,Zambia
2020-01-06 14:45:40+00:00,1214196337421541379,@_YoungJnr I am still away but paying her still Kaya akumapitako. I brought here kwa masteni for Christmas n then sent her back. Bonus tinapelekaso. We need to appreciate them. Anthuwa amaigwila ntchito. I don't care if she skips cz when she comes she gets work done,rubis_rare,"Dedza, Malawi",1,1,0,0,"#SportsforDevelopment
#ChildProtection #GESI #GenderPractitioner #Humanitarian #DRR #Naturelover #COYG
perfect imperfection.
personal thoughts
#GODFIRST",10126,,i am still away but paying her still kaya akumapitako i brought here kwa masteni for christmas n then sent her back bonus tinapelekaso we need to appreciate them anthuwa amaigwila ntchito i dont care if she skips cz when she comes she gets work done,"['i', 'am', 'still', 'away', 'but', 'paying', 'her', 'still', 'kaya', 'akumapitako', 'i', 'brought', 'here', 'kwa', 'masteni', 'for', 'christmas', 'n', 'then', 'sent', 'her', 'back', 'bonus', 'tinapelekaso', 'we', 'need', 'to', 'appreciate', 'them', 'anthuwa', 'amaigwila', 'ntchito', 'i', 'dont', 'care', 'if', 'she', 'skips', 'cz', 'when', 'she', 'comes', 'she', 'gets', 'work', 'done']","['still', 'away', 'paying', 'still', 'kaya', 'akumapitako', 'brought', 'kwa', 'masteni', 'christmas', 'n', 'sent', 'back', 'bonus', 'tinapelekaso', 'need', 'appreciate', 'anthuwa', 'amaigwila', 'ntchito', 'dont', 'care', 'skips', 'cz', 'comes', 'gets', 'work', 'done']","['still', 'away', 'pay', 'still', 'kaya', 'akumapitako', 'brought', 'kwa', 'masteni', 'christma', 'n', 'sent', 'back', 'bonu', 'tinapelekaso', 'need', 'appreci', 'anthuwa', 'amaigwila', 'ntchito', 'dont', 'care', 'skip', 'cz', 'come', 'get', 'work', 'done']","['still', 'away', 'paying', 'still', 'kaya', 'akumapitako', 'brought', 'kwa', 'masteni', 'christmas', 'n', 'sent', 'back', 'bonus', 'tinapelekaso', 'need', 'appreciate', 'anthuwa', 'amaigwila', 'ntchito', 'dont', 'care', 'skips', 'cz', 'comes', 'gets', 'work', 'done']",3,Zambia
2022-06-09 07:28:46+00:00,1534799650489880579,@manase_david With that said i agree that Manasseh is a good person he is one of these kindhearted people i have known since 2021 there is nothing personal this message only comes with honest and appreciation to those that deserve it https://t.co/3U3Kxh8q5L,likandokayombo,Zambia,5,0,2,0,friendly place,1058,,with that said i agree that manasseh is a good person he is one of these kindhearted people i have known since 2021 there is nothing personal this message only comes with honest and appreciation to those that deserve it,"['with', 'that', 'said', 'i', 'agree', 'that', 'manasseh', 'is', 'a', 'good', 'person', 'he', 'is', 'one', 'of', 'these', 'kindhearted', 'people', 'i', 'have', 'known', 'since', '2021', 'there', 'is', 'nothing', 'personal', 'this', 'message', 'only', 'comes', 'with', 'honest', 'and', 'appreciation', 'to', 'those', 'that', 'deserve', 'it']","['said', 'agree', 'manasseh', 'good', 'person', 'one', 'kindhearted', 'people', 'known', 'since', '2021', 'nothing', 'personal', 'message', 'comes', 'honest', 'appreciation', 'deserve']","['said', 'agre', 'manasseh', 'good', 'person', 'one', 'kindheart', 'peopl', 'known', 'sinc', '2021', 'noth', 'person', 'messag', 'come', 'honest', 'appreci', 'deserv']","['said', 'agree', 'manasseh', 'good', 'person', 'one', 'kindhearted', 'people', 'known', 'since', '2021', 'nothing', 'personal', 'message', 'comes', 'honest', 'appreciation', 'deserve']",1,Zambia
2022-06-09 04:38:45+00:00,1534756865778888704,"@OfficialZamtel Your vouchers are not rechargeable this morning why? Today is Green Thursday, I need an answer pliz.... All my 2, 2, 2, 5, are not rechargeable why? Do something Pliz...",kalengangoyi,ZAMBIA,0,0,0,0,"Detective Chief Inspector, Executive Board Member- #ZambiaWeightliftingFederation, #SportsAdministrator, #OlympicWeightliftingCoach, #Reggae.",270,,your vouchers are not rechargeable this morning why today is green thursday i need an answer pliz all my 2 2 2 5 are not rechargeable why do something pliz,"['your', 'vouchers', 'are', 'not', 'rechargeable', 'this', 'morning', 'why', 'today', 'is', 'green', 'thursday', 'i', 'need', 'an', 'answer', 'pliz', 'all', 'my', '2', '2', '2', '5', 'are', 'not', 'rechargeable', 'why', 'do', 'something', 'pliz']","['vouchers', 'rechargeable', 'morning', 'today', 'green', 'thursday', 'need', 'answer', 'pliz', '2', '2', '2', '5', 'rechargeable', 'something', 'pliz']","['voucher', 'recharg', 'morn', 'today', 'green', 'thursday', 'need', 'answer', 'pliz', '2', '2', '2', '5', 'recharg', 'someth', 'pliz']","['vouchers', 'rechargeable', 'morning', 'today', 'green', 'thursday', 'need', 'answer', 'pliz', '2', '2', '2', '5', 'rechargeable', 'something', 'pliz']",1,Zambia
2022-06-01 10:34:32+00:00,1531947296618950658,"MySol Bonanza Chaopena Promotion is ON! WIN 1 of 4 bicycles or 1 of 24 Gift vouchers worth K2000 monthly and many daily prizes. 
To WIN: 
Buy any MySol Kit on cash or loan, pay for 30 days or more or Catch-up on your missed days!
 #LivetYourBestLIfe with #MySol #BonanzaChaopena https://t.co/lONDWrQRkg",MySolZambia,"Lusaka, Zambia",1,0,0,0,MySol delivers Solar products through affordable Mobile Money payments. Designed by @ENGIE_EnergyAcc and distributed in partnership with @MTN_Zambia,673,"['LivetYourBestLIfe', 'MySol', 'BonanzaChaopena']",mysol bonanza chaopena promotion is on win 1 of 4 bicycles or 1 of 24 gift vouchers worth k2000 monthly and many daily prizes to win buy any mysol kit on cash or loan pay for 30 days or more or catchup on your missed days livetyourbestlife with mysol bonanzachaopena,"['mysol', 'bonanza', 'chaopena', 'promotion', 'is', 'on', 'win', '1', 'of', '4', 'bicycles', 'or', '1', 'of', '24', 'gift', 'vouchers', 'worth', 'k2000', 'monthly', 'and', 'many', 'daily', 'prizes', 'to', 'win', 'buy', 'any', 'mysol', 'kit', 'on', 'cash', 'or', 'loan', 'pay', 'for', '30', 'days', 'or', 'more', 'or', 'catchup', 'on', 'your', 'missed', 'days', 'livetyourbestlife', 'with', 'mysol', 'bonanzachaopena']","['mysol', 'bonanza', 'chaopena', 'promotion', 'win', '1', '4', 'bicycles', '1', '24', 'gift', 'vouchers', 'worth', 'k2000', 'monthly', 'many', 'daily', 'prizes', 'win', 'buy', 'mysol', 'kit', 'cash', 'loan', 'pay', '30', 'days', 'catchup', 'missed', 'days', 'livetyourbestlife', 'mysol', 'bonanzachaopena']","['mysol', 'bonanza', 'chaopena', 'promot', 'win', '1', '4', 'bicycl', '1', '24', 'gift', 'voucher', 'worth', 'k2000', 'monthli', 'mani', 'daili', 'prize', 'win', 'buy', 'mysol', 'kit', 'cash', 'loan', 'pay', '30', 'day', 'catchup', 'miss', 'day', 'livetyourbestlif', 'mysol', 'bonanzachaopena']","['mysol', 'bonanza', 'chaopena', 'promotion', 'win', '1', '4', 'bicycles', '1', '24', 'gift', 'vouchers', 'worth', 'k2000', 'monthly', 'many', 'daily', 'prizes', 'win', 'buy', 'mysol', 'kit', 'cash', 'loan', 'pay', '30', 'days', 'catchup', 'missed', 'days', 'livetyourbestlife', 'mysol', 'bonanzachaopena']",5,Zambia
2021-07-08 20:15:36+00:00,1413230309206790145,"@buhle_s @marumbopoetry I am in one group, we give each other shopping vouchers. We miss out on the bargaining power of purchasing wholesale but at least everyone buys what they want in their preferred quantities",Hoppas_Hope,Malawi,2,1,0,0,Don't trust anyone,6744,,i am in one group we give each other shopping vouchers we miss out on the bargaining power of purchasing wholesale but at least everyone buys what they want in their preferred quantities,"['i', 'am', 'in', 'one', 'group', 'we', 'give', 'each', 'other', 'shopping', 'vouchers', 'we', 'miss', 'out', 'on', 'the', 'bargaining', 'power', 'of', 'purchasing', 'wholesale', 'but', 'at', 'least', 'everyone', 'buys', 'what', 'they', 'want', 'in', 'their', 'preferred', 'quantities']","['one', 'group', 'give', 'shopping', 'vouchers', 'miss', 'bargaining', 'power', 'purchasing', 'wholesale', 'least', 'everyone', 'buys', 'want', 'preferred', 'quantities']","['one', 'group', 'give', 'shop', 'voucher', 'miss', 'bargain', 'power', 'purchas', 'wholesal', 'least', 'everyon', 'buy', 'want', 'prefer', 'quantiti']","['one', 'group', 'give', 'shopping', 'vouchers', 'miss', 'bargaining', 'power', 'purchasing', 'wholesale', 'least', 'everyone', 'buys', 'want', 'preferred', 'quantities']",3,Zambia
2022-06-09 09:16:34+00:00,1534826778476392448,"The Ministry of @Health_Malawi has now lifted the -ve #PCR result requirement for  travellers to and from #Malawi who are #COVID19 #vaccinated, provided they can provide a #certificate for proof.

#Children are free to travel unconditionally, accompanied by a vaccinated guardian. https://t.co/DS66vm7vV0",KS_Mussa,Malawi,3,0,0,0,Development Professional #SDG7 • 3x🎓 @Rhodes_Uni • @YALI_Malawi President & @YALI_SAfrica Public Mngmt & Governance📜 • Muslimah • Views=Mine RTs≠Endorsement,630,"['PCR', 'Malawi', 'COVID19', 'vaccinated', 'certificate', 'Children']",the ministry of has now lifted the ve pcr result requirement for travellers to and from malawi who are covid19 vaccinated provided they can provide a certificate for proof children are free to travel unconditionally accompanied by a vaccinated guardian,"['the', 'ministry', 'of', 'has', 'now', 'lifted', 'the', 've', 'pcr', 'result', 'requirement', 'for', 'travellers', 'to', 'and', 'from', 'malawi', 'who', 'are', 'covid19', 'vaccinated', 'provided', 'they', 'can', 'provide', 'a', 'certificate', 'for', 'proof', 'children', 'are', 'free', 'to', 'travel', 'unconditionally', 'accompanied', 'by', 'a', 'vaccinated', 'guardian']","['ministry', 'lifted', 'pcr', 'result', 'requirement', 'travellers', 'malawi', 'covid19', 'vaccinated', 'provided', 'provide', 'certificate', 'proof', 'children', 'free', 'travel', 'unconditionally', 'accompanied', 'vaccinated', 'guardian']","['ministri', 'lift', 'pcr', 'result', 'requir', 'travel', 'malawi', 'covid19', 'vaccin', 'provid', 'provid', 'certif', 'proof', 'children', 'free', 'travel', 'uncondit', 'accompani', 'vaccin', 'guardian']","['ministry', 'lifted', 'pcr', 'result', 'requirement', 'travellers', 'malawi', 'covid19', 'vaccinated', 'provided', 'provide', 'certificate', 'proof', 'children', 'free', 'travel', 'unconditionally', 'accompanied', 'vaccinated', 'guardian']",1,Zambia
2021-06-13 12:43:49+00:00,1404056917815726082,The Doctors are angered by the PF use of a picture for the late Dr. Abigail Mulenga to develop their campaign message! https://t.co/XYyXvZEiwY,MulundaArchie,"Kitwe,Zambia",134,12,46,10,"Land Governance Expert, Farmer, Development Consultant and founder of the Copperbelt Indigenous Peoples Land Rights Network (CIPLRN).",15521,,the doctors are angered by the pf use of a picture for the late dr abigail mulenga to develop their campaign message,"['the', 'doctors', 'are', 'angered', 'by', 'the', 'pf', 'use', 'of', 'a', 'picture', 'for', 'the', 'late', 'dr', 'abigail', 'mulenga', 'to', 'develop', 'their', 'campaign', 'message']","['doctors', 'angered', 'pf', 'use', 'picture', 'late', 'dr', 'abigail', 'mulenga', 'develop', 'campaign', 'message']","['doctor', 'anger', 'pf', 'use', 'pictur', 'late', 'dr', 'abigail', 'mulenga', 'develop', 'campaign', 'messag']","['doctors', 'angered', 'pf', 'use', 'picture', 'late', 'dr', 'abigail', 'mulenga', 'develop', 'campaign', 'message']",2,Zambia
