Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2021-03-05 11:23:31+00:00,1367797920716701696,"As we #AllTogether rebound from #COVID19, 🇺🇸Government continues supporting health facilities in🇲🇪.  
The hospital in Pljevlja received our donation of 1 portable ultrasound machine and 2 ECGs. 
And in Niksic we delivered 3 patient monitors and 3 ECGs.  
#USpartnerMNE #SviZajedno https://t.co/RSEd3Xnsii",USEmbassyMNE,Podgorica; Montenegro,12,0,1,1,U.S. Embassy Podgorica official Twitter account. Moderation policy: goo.gl/QSi9VP,7583,"['AllTogether', 'COVID19', 'USpartnerMNE', 'SviZajedno']",as we alltogether rebound from covid19 government continues supporting health facilities in the hospital in pljevlja received our donation of 1 portable ultrasound machine and 2 ecgs and in niksic we delivered 3 patient monitors and 3 ecgs uspartnermne svizajedno,"['as', 'we', 'alltogether', 'rebound', 'from', 'covid19', 'government', 'continues', 'supporting', 'health', 'facilities', 'in', 'the', 'hospital', 'in', 'pljevlja', 'received', 'our', 'donation', 'of', '1', 'portable', 'ultrasound', 'machine', 'and', '2', 'ecgs', 'and', 'in', 'niksic', 'we', 'delivered', '3', 'patient', 'monitors', 'and', '3', 'ecgs', 'uspartnermne', 'svizajedno']","['alltogether', 'rebound', 'covid19', 'government', 'continues', 'supporting', 'health', 'facilities', 'hospital', 'pljevlja', 'received', 'donation', '1', 'portable', 'ultrasound', 'machine', '2', 'ecgs', 'niksic', 'delivered', '3', 'patient', 'monitors', '3', 'ecgs', 'uspartnermne', 'svizajedno']","['alltogeth', 'rebound', 'covid19', 'govern', 'continu', 'support', 'health', 'facil', 'hospit', 'pljevlja', 'receiv', 'donat', '1', 'portabl', 'ultrasound', 'machin', '2', 'ecg', 'niksic', 'deliv', '3', 'patient', 'monitor', '3', 'ecg', 'uspartnermn', 'svizajedno']","['alltogether', 'rebound', 'covid19', 'government', 'continues', 'supporting', 'health', 'facilities', 'hospital', 'pljevlja', 'received', 'donation', '1', 'portable', 'ultrasound', 'machine', '2', 'ecgs', 'niksic', 'delivered', '3', 'patient', 'monitors', '3', 'ecgs', 'uspartnermne', 'svizajedno']",1,Albania
2021-03-01 18:11:15+00:00,1366450977855967233,"The @NATO-led KFOR mission delivered personal protective equipment to family health centre in Stime/Stimlje, #Kosovo. The donation is part of the assistance provided by CIMIC branch of #KFOR to improve the welfare of all citizens and to deal with the spread of #COVID19. https://t.co/VZfFfRUobO",NATO_KFOR,Pristina,92,0,23,3,"Kosovo Force (KFOR) is NATO-led peacekeeping mission, operating in Kosovo since June 1999 to build peace and stability in the area.",9763,"['Kosovo', 'KFOR', 'COVID19']",the kfor mission delivered personal protective equipment to family health centre in stimestimlje kosovo the donation is part of the assistance provided by cimic branch of kfor to improve the welfare of all citizens and to deal with the spread of covid19,"['the', 'kfor', 'mission', 'delivered', 'personal', 'protective', 'equipment', 'to', 'family', 'health', 'centre', 'in', 'stimestimlje', 'kosovo', 'the', 'donation', 'is', 'part', 'of', 'the', 'assistance', 'provided', 'by', 'cimic', 'branch', 'of', 'kfor', 'to', 'improve', 'the', 'welfare', 'of', 'all', 'citizens', 'and', 'to', 'deal', 'with', 'the', 'spread', 'of', 'covid19']","['kfor', 'mission', 'delivered', 'personal', 'protective', 'equipment', 'family', 'health', 'centre', 'stimestimlje', 'kosovo', 'donation', 'part', 'assistance', 'provided', 'cimic', 'branch', 'kfor', 'improve', 'welfare', 'citizens', 'deal', 'spread', 'covid19']","['kfor', 'mission', 'deliv', 'person', 'protect', 'equip', 'famili', 'health', 'centr', 'stimestimlj', 'kosovo', 'donat', 'part', 'assist', 'provid', 'cimic', 'branch', 'kfor', 'improv', 'welfar', 'citizen', 'deal', 'spread', 'covid19']","['kfor', 'mission', 'delivered', 'personal', 'protective', 'equipment', 'family', 'health', 'centre', 'stimestimlje', 'kosovo', 'donation', 'part', 'assistance', 'provided', 'cimic', 'branch', 'kfor', 'improve', 'welfare', 'citizens', 'deal', 'spread', 'covid19']",5,Albania
2021-02-24 18:23:02+00:00,1364642006736199684,"#KFOR Regional Command West, financed by the Italian Joint Operations HQ, carried out a donation of medical supplies to the Peja/Pec Health Centre. The #Italian contingent donated professional equipment necessary for healthcare to face with the #COVID19 pandemic. https://t.co/tfFL12J8ZY",NATO_KFOR,Pristina,55,0,13,1,"Kosovo Force (KFOR) is NATO-led peacekeeping mission, operating in Kosovo since June 1999 to build peace and stability in the area.",9763,"['KFOR', 'Italian', 'COVID19']",kfor regional command west financed by the italian joint operations hq carried out a donation of medical supplies to the pejapec health centre the italian contingent donated professional equipment necessary for healthcare to face with the covid19 pandemic,"['kfor', 'regional', 'command', 'west', 'financed', 'by', 'the', 'italian', 'joint', 'operations', 'hq', 'carried', 'out', 'a', 'donation', 'of', 'medical', 'supplies', 'to', 'the', 'pejapec', 'health', 'centre', 'the', 'italian', 'contingent', 'donated', 'professional', 'equipment', 'necessary', 'for', 'healthcare', 'to', 'face', 'with', 'the', 'covid19', 'pandemic']","['kfor', 'regional', 'command', 'west', 'financed', 'italian', 'joint', 'operations', 'hq', 'carried', 'donation', 'medical', 'supplies', 'pejapec', 'health', 'centre', 'italian', 'contingent', 'donated', 'professional', 'equipment', 'necessary', 'healthcare', 'face', 'covid19', 'pandemic']","['kfor', 'region', 'command', 'west', 'financ', 'italian', 'joint', 'oper', 'hq', 'carri', 'donat', 'medic', 'suppli', 'pejapec', 'health', 'centr', 'italian', 'conting', 'donat', 'profession', 'equip', 'necessari', 'healthcar', 'face', 'covid19', 'pandem']","['kfor', 'regional', 'command', 'west', 'financed', 'italian', 'joint', 'operations', 'hq', 'carried', 'donation', 'medical', 'supplies', 'pejapec', 'health', 'centre', 'italian', 'contingent', 'donated', 'professional', 'equipment', 'necessary', 'healthcare', 'face', 'covid19', 'pandemic']",4,Albania
2020-09-16 08:58:59+00:00,1306155611328045057,"Hospitals in #Cetinje &amp; #Kotor will soon receive similar donations. 
Earlier, 🇺🇸 also provided equipment to @Klinicki_CntCG to help treat #COVID19 patients.  
Since 2010, @US_EUCOM has invested over $1.2 million in health-related projects throughout 🇲🇪.
#USpartnerMNE #AllTogether https://t.co/pjY1aAkwoy",USEmbassyMNE,Podgorica; Montenegro,2,0,1,0,U.S. Embassy Podgorica official Twitter account. Moderation policy: goo.gl/QSi9VP,7583,"['Cetinje', 'Kotor', 'COVID19', 'USpartnerMNE', 'AllTogether']",hospitals in cetinje amp kotor will soon receive similar donations earlier also provided equipment to to help treat covid19 patients since 2010 has invested over 12 million in healthrelated projects throughout uspartnermne alltogether,"['hospitals', 'in', 'cetinje', 'amp', 'kotor', 'will', 'soon', 'receive', 'similar', 'donations', 'earlier', 'also', 'provided', 'equipment', 'to', 'to', 'help', 'treat', 'covid19', 'patients', 'since', '2010', 'has', 'invested', 'over', '12', 'million', 'in', 'healthrelated', 'projects', 'throughout', 'uspartnermne', 'alltogether']","['hospitals', 'cetinje', 'amp', 'kotor', 'soon', 'receive', 'similar', 'donations', 'earlier', 'also', 'provided', 'equipment', 'help', 'treat', 'covid19', 'patients', 'since', '2010', 'invested', '12', 'million', 'healthrelated', 'projects', 'throughout', 'uspartnermne', 'alltogether']","['hospit', 'cetinj', 'amp', 'kotor', 'soon', 'receiv', 'similar', 'donat', 'earlier', 'also', 'provid', 'equip', 'help', 'treat', 'covid19', 'patient', 'sinc', '2010', 'invest', '12', 'million', 'healthrel', 'project', 'throughout', 'uspartnermn', 'alltogeth']","['hospitals', 'cetinje', 'amp', 'kotor', 'soon', 'receive', 'similar', 'donations', 'earlier', 'also', 'provided', 'equipment', 'help', 'treat', 'covid19', 'patients', 'since', '2010', 'invested', '12', 'million', 'healthrelated', 'projects', 'throughout', 'uspartnermne', 'alltogether']",5,Albania
2020-05-13 11:33:31+00:00,1260533631442960385,"Today another donation of medical equipment that will help 🇦🇱 in the fight against #COVID19 arrived thanks to Austria🇦🇹 and through the European Union Civil Protection Mechanism 🇪🇺#EUcivpro:

👉2000 packages of gloves

👉3740 liter medical desinfectant
 
#StrongerTogether🇦🇹🇦🇱🇪🇺 https://t.co/M2XcB3txaH https://t.co/tgsPUcu48j",LSorecaEU,"Brussels, Belgium",38,1,5,2,"Ambassador, @eu_eeas 🇪🇺 Special Envoy for external aspects of Migration, former EU Ambassador to Albania. Official account. RTs/follows not endorsements.",11113,"['COVID19', 'EUcivpro', 'StrongerTogether']",today another donation of medical equipment that will help in the fight against covid19 arrived thanks to austria and through the european union civil protection mechanismeucivpro 2000packages of gloves 3740liter medical desinfectant strongertogether,"['today', 'another', 'donation', 'of', 'medical', 'equipment', 'that', 'will', 'help', 'in', 'the', 'fight', 'against', 'covid19', 'arrived', 'thanks', 'to', 'austria', 'and', 'through', 'the', 'european', 'union', 'civil', 'protection', 'mechanismeucivpro', '2000packages', 'of', 'gloves', '3740liter', 'medical', 'desinfectant', 'strongertogether']","['today', 'another', 'donation', 'medical', 'equipment', 'help', 'fight', 'covid19', 'arrived', 'thanks', 'austria', 'european', 'union', 'civil', 'protection', 'mechanismeucivpro', '2000packages', 'gloves', '3740liter', 'medical', 'desinfectant', 'strongertogether']","['today', 'anoth', 'donat', 'medic', 'equip', 'help', 'fight', 'covid19', 'arriv', 'thank', 'austria', 'european', 'union', 'civil', 'protect', 'mechanismeucivpro', '2000packag', 'glove', '3740liter', 'medic', 'desinfect', 'strongertogeth']","['today', 'another', 'donation', 'medical', 'equipment', 'help', 'fight', 'covid19', 'arrived', 'thanks', 'austria', 'european', 'union', 'civil', 'protection', 'mechanismeucivpro', '2000packages', 'gloves', '3740liter', 'medical', 'desinfectant', 'strongertogether']",5,Albania
2020-03-23 14:04:30+00:00,1242089842416156672,"In these difficult times, we admire everyone who is helping those who are most at risk weather the #Covid19 pandemic. 

From health workers, to neighbors, to companies, bravo for stepping up‼️

Great to see @AmChamMNE's donation drive! #CorporateSocialResponsibility #CoronaInfoCG https://t.co/AAEbmPR6dv",USEmbassyMNE,Podgorica; Montenegro,7,0,3,0,U.S. Embassy Podgorica official Twitter account. Moderation policy: goo.gl/QSi9VP,7583,"['Covid19', 'CorporateSocialResponsibility', 'CoronaInfoCG']",in these difficult times we admire everyone who is helping those who are most at risk weather the covid19 pandemic from health workers to neighbors to companies bravo for stepping up great to see donation drive corporatesocialresponsibility coronainfocg,"['in', 'these', 'difficult', 'times', 'we', 'admire', 'everyone', 'who', 'is', 'helping', 'those', 'who', 'are', 'most', 'at', 'risk', 'weather', 'the', 'covid19', 'pandemic', 'from', 'health', 'workers', 'to', 'neighbors', 'to', 'companies', 'bravo', 'for', 'stepping', 'up', 'great', 'to', 'see', 'donation', 'drive', 'corporatesocialresponsibility', 'coronainfocg']","['difficult', 'times', 'admire', 'everyone', 'helping', 'risk', 'weather', 'covid19', 'pandemic', 'health', 'workers', 'neighbors', 'companies', 'bravo', 'stepping', 'great', 'see', 'donation', 'drive', 'corporatesocialresponsibility', 'coronainfocg']","['difficult', 'time', 'admir', 'everyon', 'help', 'risk', 'weather', 'covid19', 'pandem', 'health', 'worker', 'neighbor', 'compani', 'bravo', 'step', 'great', 'see', 'donat', 'drive', 'corporatesocialrespons', 'coronainfocg']","['difficult', 'times', 'admire', 'everyone', 'helping', 'risk', 'weather', 'covid19', 'pandemic', 'health', 'workers', 'neighbors', 'companies', 'bravo', 'stepping', 'great', 'see', 'donation', 'drive', 'corporatesocialresponsibility', 'coronainfocg']",5,Albania
2020-03-13 16:52:29+00:00,1238508242050994176,"What #COVID19 has proven us until now: 

1. The poor will suffer firstly and the most. 

2. Healthcare is a basic human right that is why it must be granted worldwide for free.

3. Life &gt; Money

4. Internet is a utility, not a luxury. 

5. Solidarity can help save lives.",GresaHasa,"Tirana, Albania",20,1,2,0,Co-Founder & Chief Editor at @revistashota & @ShtepiaPublike. Feminist. Antifascist. Another world is possible. 🚩Слава Україні! 🇺🇦,702,['COVID19'],what covid19 has proven us until now 1 the poor will suffer firstly and the most 2 healthcare is a basic human right that is why it must be granted worldwide for free 3 life gt money 4 internet is a utility not a luxury 5 solidarity can help save lives,"['what', 'covid19', 'has', 'proven', 'us', 'until', 'now', '1', 'the', 'poor', 'will', 'suffer', 'firstly', 'and', 'the', 'most', '2', 'healthcare', 'is', 'a', 'basic', 'human', 'right', 'that', 'is', 'why', 'it', 'must', 'be', 'granted', 'worldwide', 'for', 'free', '3', 'life', 'gt', 'money', '4', 'internet', 'is', 'a', 'utility', 'not', 'a', 'luxury', '5', 'solidarity', 'can', 'help', 'save', 'lives']","['covid19', 'proven', 'us', '1', 'poor', 'suffer', 'firstly', '2', 'healthcare', 'basic', 'human', 'right', 'must', 'granted', 'worldwide', 'free', '3', 'life', 'gt', 'money', '4', 'internet', 'utility', 'luxury', '5', 'solidarity', 'help', 'save', 'lives']","['covid19', 'proven', 'us', '1', 'poor', 'suffer', 'firstli', '2', 'healthcar', 'basic', 'human', 'right', 'must', 'grant', 'worldwid', 'free', '3', 'life', 'gt', 'money', '4', 'internet', 'util', 'luxuri', '5', 'solidar', 'help', 'save', 'live']","['covid19', 'proven', 'us', '1', 'poor', 'suffer', 'firstly', '2', 'healthcare', 'basic', 'human', 'right', 'must', 'granted', 'worldwide', 'free', '3', 'life', 'gt', 'money', '4', 'internet', 'utility', 'luxury', '5', 'solidarity', 'help', 'save', 'lives']",5,Albania
2020-03-12 17:17:00+00:00,1238152020722417664,"Workers that are sent home due to preventative measures against #COVID19, must be paid regularly. This applies to all workers! Also, people affected from the virus must be getting their monthly salary as usually. They must as well be granted all the time that’s needed to recover.",GresaHasa,"Tirana, Albania",15,2,0,0,Co-Founder & Chief Editor at @revistashota & @ShtepiaPublike. Feminist. Antifascist. Another world is possible. 🚩Слава Україні! 🇺🇦,702,['COVID19'],workers that are sent home due to preventative measures against covid19 must be paid regularly this applies to all workers also people affected from the virus must be getting their monthly salary as usually they must as well be granted all the time thats needed to recover,"['workers', 'that', 'are', 'sent', 'home', 'due', 'to', 'preventative', 'measures', 'against', 'covid19', 'must', 'be', 'paid', 'regularly', 'this', 'applies', 'to', 'all', 'workers', 'also', 'people', 'affected', 'from', 'the', 'virus', 'must', 'be', 'getting', 'their', 'monthly', 'salary', 'as', 'usually', 'they', 'must', 'as', 'well', 'be', 'granted', 'all', 'the', 'time', 'thats', 'needed', 'to', 'recover']","['workers', 'sent', 'home', 'due', 'preventative', 'measures', 'covid19', 'must', 'paid', 'regularly', 'applies', 'workers', 'also', 'people', 'affected', 'virus', 'must', 'getting', 'monthly', 'salary', 'usually', 'must', 'well', 'granted', 'time', 'thats', 'needed', 'recover']","['worker', 'sent', 'home', 'due', 'prevent', 'measur', 'covid19', 'must', 'paid', 'regularli', 'appli', 'worker', 'also', 'peopl', 'affect', 'viru', 'must', 'get', 'monthli', 'salari', 'usual', 'must', 'well', 'grant', 'time', 'that', 'need', 'recov']","['workers', 'sent', 'home', 'due', 'preventative', 'measures', 'covid19', 'must', 'paid', 'regularly', 'applies', 'workers', 'also', 'people', 'affected', 'virus', 'must', 'getting', 'monthly', 'salary', 'usually', 'must', 'well', 'granted', 'time', 'thats', 'needed', 'recover']",5,Albania
2021-03-01 18:11:15+00:00,1366450977855967233,"The @NATO-led KFOR mission delivered personal protective equipment to family health centre in Stime/Stimlje, #Kosovo. The donation is part of the assistance provided by CIMIC branch of #KFOR to improve the welfare of all citizens and to deal with the spread of #COVID19. https://t.co/VZfFfRUobO",NATO_KFOR,Pristina,92,0,23,3,"Kosovo Force (KFOR) is NATO-led peacekeeping mission, operating in Kosovo since June 1999 to build peace and stability in the area.",9763,"['Kosovo', 'KFOR', 'COVID19']",the kfor mission delivered personal protective equipment to family health centre in stimestimlje kosovo the donation is part of the assistance provided by cimic branch of kfor to improve the welfare of all citizens and to deal with the spread of covid19,"['the', 'kfor', 'mission', 'delivered', 'personal', 'protective', 'equipment', 'to', 'family', 'health', 'centre', 'in', 'stimestimlje', 'kosovo', 'the', 'donation', 'is', 'part', 'of', 'the', 'assistance', 'provided', 'by', 'cimic', 'branch', 'of', 'kfor', 'to', 'improve', 'the', 'welfare', 'of', 'all', 'citizens', 'and', 'to', 'deal', 'with', 'the', 'spread', 'of', 'covid19']","['kfor', 'mission', 'delivered', 'personal', 'protective', 'equipment', 'family', 'health', 'centre', 'stimestimlje', 'kosovo', 'donation', 'part', 'assistance', 'provided', 'cimic', 'branch', 'kfor', 'improve', 'welfare', 'citizens', 'deal', 'spread', 'covid19']","['kfor', 'mission', 'deliv', 'person', 'protect', 'equip', 'famili', 'health', 'centr', 'stimestimlj', 'kosovo', 'donat', 'part', 'assist', 'provid', 'cimic', 'branch', 'kfor', 'improv', 'welfar', 'citizen', 'deal', 'spread', 'covid19']","['kfor', 'mission', 'delivered', 'personal', 'protective', 'equipment', 'family', 'health', 'centre', 'stimestimlje', 'kosovo', 'donation', 'part', 'assistance', 'provided', 'cimic', 'branch', 'kfor', 'improve', 'welfare', 'citizens', 'deal', 'spread', 'covid19']",5,Albania
2021-02-24 18:23:02+00:00,1364642006736199684,"#KFOR Regional Command West, financed by the Italian Joint Operations HQ, carried out a donation of medical supplies to the Peja/Pec Health Centre. The #Italian contingent donated professional equipment necessary for healthcare to face with the #COVID19 pandemic. https://t.co/tfFL12J8ZY",NATO_KFOR,Pristina,55,0,13,1,"Kosovo Force (KFOR) is NATO-led peacekeeping mission, operating in Kosovo since June 1999 to build peace and stability in the area.",9763,"['KFOR', 'Italian', 'COVID19']",kfor regional command west financed by the italian joint operations hq carried out a donation of medical supplies to the pejapec health centre the italian contingent donated professional equipment necessary for healthcare to face with the covid19 pandemic,"['kfor', 'regional', 'command', 'west', 'financed', 'by', 'the', 'italian', 'joint', 'operations', 'hq', 'carried', 'out', 'a', 'donation', 'of', 'medical', 'supplies', 'to', 'the', 'pejapec', 'health', 'centre', 'the', 'italian', 'contingent', 'donated', 'professional', 'equipment', 'necessary', 'for', 'healthcare', 'to', 'face', 'with', 'the', 'covid19', 'pandemic']","['kfor', 'regional', 'command', 'west', 'financed', 'italian', 'joint', 'operations', 'hq', 'carried', 'donation', 'medical', 'supplies', 'pejapec', 'health', 'centre', 'italian', 'contingent', 'donated', 'professional', 'equipment', 'necessary', 'healthcare', 'face', 'covid19', 'pandemic']","['kfor', 'region', 'command', 'west', 'financ', 'italian', 'joint', 'oper', 'hq', 'carri', 'donat', 'medic', 'suppli', 'pejapec', 'health', 'centr', 'italian', 'conting', 'donat', 'profession', 'equip', 'necessari', 'healthcar', 'face', 'covid19', 'pandem']","['kfor', 'regional', 'command', 'west', 'financed', 'italian', 'joint', 'operations', 'hq', 'carried', 'donation', 'medical', 'supplies', 'pejapec', 'health', 'centre', 'italian', 'contingent', 'donated', 'professional', 'equipment', 'necessary', 'healthcare', 'face', 'covid19', 'pandemic']",4,Albania
