Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-04 11:43:14+00:00,1533051751326425088,@zoomosis Yeah I don’t really care what it’s called. Look it’s quite impossible for anyone outside of suburban Melbs to appreciate its value. I’ve lived in suburban Melbs my entire life. To get on a train and travel around the ‘burbs is fab. It’s a luxury the inner elite take for granted.,StellaMelbs,Melbourne,1,0,0,0,"Triple vaxxed health professional. Never argue with stupid people, they’ll drag you down to their level and then beat you with experience - Mark Twain. #GFNP",5099,,yeah i dont really care what its called look its quite impossible for anyone outside of suburban melbs to appreciate its value ive lived in suburban melbs my entire life to get on a train and travel around the burbs is fab its a luxury the inner elite take for granted,"['yeah', 'i', 'dont', 'really', 'care', 'what', 'its', 'called', 'look', 'its', 'quite', 'impossible', 'for', 'anyone', 'outside', 'of', 'suburban', 'melbs', 'to', 'appreciate', 'its', 'value', 'ive', 'lived', 'in', 'suburban', 'melbs', 'my', 'entire', 'life', 'to', 'get', 'on', 'a', 'train', 'and', 'travel', 'around', 'the', 'burbs', 'is', 'fab', 'its', 'a', 'luxury', 'the', 'inner', 'elite', 'take', 'for', 'granted']","['yeah', 'dont', 'really', 'care', 'called', 'look', 'quite', 'impossible', 'anyone', 'outside', 'suburban', 'melbs', 'appreciate', 'value', 'ive', 'lived', 'suburban', 'melbs', 'entire', 'life', 'get', 'train', 'travel', 'around', 'burbs', 'fab', 'luxury', 'inner', 'elite', 'take', 'granted']","['yeah', 'dont', 'realli', 'care', 'call', 'look', 'quit', 'imposs', 'anyon', 'outsid', 'suburban', 'melb', 'appreci', 'valu', 'ive', 'live', 'suburban', 'melb', 'entir', 'life', 'get', 'train', 'travel', 'around', 'burb', 'fab', 'luxuri', 'inner', 'elit', 'take', 'grant']","['yeah', 'dont', 'really', 'care', 'called', 'look', 'quite', 'impossible', 'anyone', 'outside', 'suburban', 'melbs', 'appreciate', 'value', 'ive', 'lived', 'suburban', 'melbs', 'entire', 'life', 'get', 'train', 'travel', 'around', 'burbs', 'fab', 'luxury', 'inner', 'elite', 'take', 'granted']",2,Australia
2022-06-03 01:32:08+00:00,1532535574975741952,"@YottiKingsley Feeling your pain, Yotti (same grant boat). Doctor's orders are a generous serve of black walnut vermouth while you contemplate how much others appreciate the generosity and collaborative spirit you bring to your work.",KellyJDonati,"Melbourne, Victoria",2,0,0,0,2019/2020 Fellow at @carsoncenter working on #MultispeciesGastronomy & #EnvHum. Also husky servitude.,406,,feeling your pain yotti same grant boat doctors orders are a generous serve of black walnut vermouth while you contemplate how much others appreciate the generosity and collaborative spirit you bring to your work,"['feeling', 'your', 'pain', 'yotti', 'same', 'grant', 'boat', 'doctors', 'orders', 'are', 'a', 'generous', 'serve', 'of', 'black', 'walnut', 'vermouth', 'while', 'you', 'contemplate', 'how', 'much', 'others', 'appreciate', 'the', 'generosity', 'and', 'collaborative', 'spirit', 'you', 'bring', 'to', 'your', 'work']","['feeling', 'pain', 'yotti', 'grant', 'boat', 'doctors', 'orders', 'generous', 'serve', 'black', 'walnut', 'vermouth', 'contemplate', 'much', 'others', 'appreciate', 'generosity', 'collaborative', 'spirit', 'bring', 'work']","['feel', 'pain', 'yotti', 'grant', 'boat', 'doctor', 'order', 'gener', 'serv', 'black', 'walnut', 'vermouth', 'contempl', 'much', 'other', 'appreci', 'generos', 'collabor', 'spirit', 'bring', 'work']","['feeling', 'pain', 'yotti', 'grant', 'boat', 'doctors', 'orders', 'generous', 'serve', 'black', 'walnut', 'vermouth', 'contemplate', 'much', 'others', 'appreciate', 'generosity', 'collaborative', 'spirit', 'bring', 'work']",4,Australia
2022-05-31 05:27:12+00:00,1531507567020904448,@amyandbenji I hope you are alright. Just know that people like me really appreciate the vital donations you make. My mum has just had transfusions that have saved her from serious health complications. so thankyou,ivanprosper,Melbourne,0,0,0,0,Autodidactic. Artist. Atheist.,198,,i hope you are alright just know that people like me really appreciate the vital donations you make my mum has just had transfusions that have saved her from serious health complications so thankyou,"['i', 'hope', 'you', 'are', 'alright', 'just', 'know', 'that', 'people', 'like', 'me', 'really', 'appreciate', 'the', 'vital', 'donations', 'you', 'make', 'my', 'mum', 'has', 'just', 'had', 'transfusions', 'that', 'have', 'saved', 'her', 'from', 'serious', 'health', 'complications', 'so', 'thankyou']","['hope', 'alright', 'know', 'people', 'like', 'really', 'appreciate', 'vital', 'donations', 'make', 'mum', 'transfusions', 'saved', 'serious', 'health', 'complications', 'thankyou']","['hope', 'alright', 'know', 'peopl', 'like', 'realli', 'appreci', 'vital', 'donat', 'make', 'mum', 'transfus', 'save', 'seriou', 'health', 'complic', 'thankyou']","['hope', 'alright', 'know', 'people', 'like', 'really', 'appreciate', 'vital', 'donations', 'make', 'mum', 'transfusions', 'saved', 'serious', 'health', 'complications', 'thankyou']",4,Australia
2021-11-17 11:29:40+00:00,1460933151216177158,@GSwinbourne @LivingPixelated @Reneejcampbell @AndrewHookerPh1 Appreciate the tag Grant!,TysonWaldronPh1,"Melbourne, Victoria",1,0,0,0,"Weekend Landscape Photographer, Weekday tradie. Based in Melbourne, Aus NFT’s: foundation.app/@TysonWaldronP…",478,,appreciate the tag grant,"['appreciate', 'the', 'tag', 'grant']","['appreciate', 'tag', 'grant']","['appreci', 'tag', 'grant']","['appreciate', 'tag', 'grant']",4,Australia
2021-10-27 19:41:22+00:00,1453446744872669184,"Should we move to CAN or NZ ? Since they’re more welcoming than Aus atm, we are paying so much to study in Aus during pandemic but Aus doesn’t seems to appreciate us Int.students? If you want some quality migrant, why not us ? @JulianHillMP thx for always speaking up for us",TouchOfOliveOil,"Launceston, Tasmania",0,0,0,0,Crossing traffics with the Roos down under,138,,should we move to can or nz since theyre more welcoming than aus atm we are paying so much to study in aus during pandemic but aus doesnt seems to appreciate us intstudents if you want some quality migrant why not us thx for always speaking up for us,"['should', 'we', 'move', 'to', 'can', 'or', 'nz', 'since', 'theyre', 'more', 'welcoming', 'than', 'aus', 'atm', 'we', 'are', 'paying', 'so', 'much', 'to', 'study', 'in', 'aus', 'during', 'pandemic', 'but', 'aus', 'doesnt', 'seems', 'to', 'appreciate', 'us', 'intstudents', 'if', 'you', 'want', 'some', 'quality', 'migrant', 'why', 'not', 'us', 'thx', 'for', 'always', 'speaking', 'up', 'for', 'us']","['move', 'nz', 'since', 'theyre', 'welcoming', 'aus', 'atm', 'paying', 'much', 'study', 'aus', 'pandemic', 'aus', 'doesnt', 'seems', 'appreciate', 'us', 'intstudents', 'want', 'quality', 'migrant', 'us', 'thx', 'always', 'speaking', 'us']","['move', 'nz', 'sinc', 'theyr', 'welcom', 'au', 'atm', 'pay', 'much', 'studi', 'au', 'pandem', 'au', 'doesnt', 'seem', 'appreci', 'us', 'intstud', 'want', 'qualiti', 'migrant', 'us', 'thx', 'alway', 'speak', 'us']","['move', 'nz', 'since', 'theyre', 'welcoming', 'aus', 'atm', 'paying', 'much', 'study', 'aus', 'pandemic', 'aus', 'doesnt', 'seems', 'appreciate', 'us', 'intstudents', 'want', 'quality', 'migrant', 'us', 'thx', 'always', 'speaking', 'us']",3,Australia
2021-09-05 01:30:29+00:00,1434328048405385216,"@blackdoginst is an important charity to me so I appreciate the help with fundraising for #mulletsformentalhealth 💇🏽 I hope this cause, especially during National Suicide Awareness Month, will encourage you to check in with yourself &amp; your loved ones about mental well-being 🧡 https://t.co/9gMNAH24Xt",lenvassiliki,🇦🇺🇬🇷,0,0,0,0,twenty-one • they/them •🏳️‍🌈🏳️‍⚧️•♿️•✊🏽✊🏾✊🏿•💉😷• “too confused to choose who I should be”,166,['mulletsformentalhealth'],is an important charity to me so i appreciate the help with fundraising for mulletsformentalhealth i hope this cause especially during national suicide awareness month will encourage you to check in with yourself amp your loved ones about mental wellbeing,"['is', 'an', 'important', 'charity', 'to', 'me', 'so', 'i', 'appreciate', 'the', 'help', 'with', 'fundraising', 'for', 'mulletsformentalhealth', 'i', 'hope', 'this', 'cause', 'especially', 'during', 'national', 'suicide', 'awareness', 'month', 'will', 'encourage', 'you', 'to', 'check', 'in', 'with', 'yourself', 'amp', 'your', 'loved', 'ones', 'about', 'mental', 'wellbeing']","['important', 'charity', 'appreciate', 'help', 'fundraising', 'mulletsformentalhealth', 'hope', 'cause', 'especially', 'national', 'suicide', 'awareness', 'month', 'encourage', 'check', 'amp', 'loved', 'ones', 'mental', 'wellbeing']","['import', 'chariti', 'appreci', 'help', 'fundrais', 'mulletsformentalhealth', 'hope', 'caus', 'especi', 'nation', 'suicid', 'awar', 'month', 'encourag', 'check', 'amp', 'love', 'one', 'mental', 'wellb']","['important', 'charity', 'appreciate', 'help', 'fundraising', 'mulletsformentalhealth', 'hope', 'cause', 'especially', 'national', 'suicide', 'awareness', 'month', 'encourage', 'check', 'amp', 'loved', 'ones', 'mental', 'wellbeing']",4,Australia
2021-05-06 19:29:47+00:00,1390388341053394945,"All the devs and satff clearly put a lot of care into the game, and it sometimes can be hard to stop and appreciate all they've done for us. Especially when you're so used to Brawl Stars taking such good care of us, that you start taking it for granted sometimes.",MohamadImad05,Oi Oi Oi,1,0,0,0,Proud Palestinian Australian 🇵🇸🇦🇺 | Competitive Brawl Stars player from South Australia | Former captain of ANZ Reckon and ex BSC grandfinalist,513,,all the devs and satff clearly put a lot of care into the game and it sometimes can be hard to stop and appreciate all theyve done for us especially when youre so used to brawl stars taking such good care of us that you start taking it for granted sometimes,"['all', 'the', 'devs', 'and', 'satff', 'clearly', 'put', 'a', 'lot', 'of', 'care', 'into', 'the', 'game', 'and', 'it', 'sometimes', 'can', 'be', 'hard', 'to', 'stop', 'and', 'appreciate', 'all', 'theyve', 'done', 'for', 'us', 'especially', 'when', 'youre', 'so', 'used', 'to', 'brawl', 'stars', 'taking', 'such', 'good', 'care', 'of', 'us', 'that', 'you', 'start', 'taking', 'it', 'for', 'granted', 'sometimes']","['devs', 'satff', 'clearly', 'put', 'lot', 'care', 'game', 'sometimes', 'hard', 'stop', 'appreciate', 'theyve', 'done', 'us', 'especially', 'youre', 'used', 'brawl', 'stars', 'taking', 'good', 'care', 'us', 'start', 'taking', 'granted', 'sometimes']","['dev', 'satff', 'clearli', 'put', 'lot', 'care', 'game', 'sometim', 'hard', 'stop', 'appreci', 'theyv', 'done', 'us', 'especi', 'your', 'use', 'brawl', 'star', 'take', 'good', 'care', 'us', 'start', 'take', 'grant', 'sometim']","['devs', 'satff', 'clearly', 'put', 'lot', 'care', 'game', 'sometimes', 'hard', 'stop', 'appreciate', 'theyve', 'done', 'us', 'especially', 'youre', 'used', 'brawl', 'stars', 'taking', 'good', 'care', 'us', 'start', 'taking', 'granted', 'sometimes']",4,Australia
2021-03-19 11:01:27+00:00,1372865798662881282,@richieplz 100% mate. Got some close friends doing it tough health-wise at the moment &amp; I work for a charity of effectively a terminal disease...learnt to appreciate the positive things in life. Sadly you know that only too well.,ajholmes75,Melbourne,1,1,0,0,"Family, sport, media, footy, golf, tennis & fun. Part-time footy caller. Public Affairs @grv_news. Adelaide-born, hubby to @jillholmesy, Dad to Lucy & Fletcher",1870,,100 mate got some close friends doing it tough healthwise at the moment amp i work for a charity of effectively a terminal diseaselearnt to appreciate the positive things in life sadly you know that only too well,"['100', 'mate', 'got', 'some', 'close', 'friends', 'doing', 'it', 'tough', 'healthwise', 'at', 'the', 'moment', 'amp', 'i', 'work', 'for', 'a', 'charity', 'of', 'effectively', 'a', 'terminal', 'diseaselearnt', 'to', 'appreciate', 'the', 'positive', 'things', 'in', 'life', 'sadly', 'you', 'know', 'that', 'only', 'too', 'well']","['100', 'mate', 'got', 'close', 'friends', 'tough', 'healthwise', 'moment', 'amp', 'work', 'charity', 'effectively', 'terminal', 'diseaselearnt', 'appreciate', 'positive', 'things', 'life', 'sadly', 'know', 'well']","['100', 'mate', 'got', 'close', 'friend', 'tough', 'healthwis', 'moment', 'amp', 'work', 'chariti', 'effect', 'termin', 'diseaselearnt', 'appreci', 'posit', 'thing', 'life', 'sadli', 'know', 'well']","['100', 'mate', 'got', 'close', 'friends', 'tough', 'healthwise', 'moment', 'amp', 'work', 'charity', 'effectively', 'terminal', 'diseaselearnt', 'appreciate', 'positive', 'things', 'life', 'sadly', 'know', 'well']",3,Australia
2020-12-18 02:32:48+00:00,1339760495448838145,"@marinamaral2 Appreciate the things I once took for granted from simply going out for a coffee to visiting the grandchildren. Found the time to research my Ancestry and get a better perspective on what’s important. Discovered descendants ranging from laborers, nurses to uncles killed in WW1.",rayevans18," Melbourne, Australia",4,1,0,0,"Melbourne, Australia.",182,,appreciate the things i once took for granted from simply going out for a coffee to visiting the grandchildren found the time to research my ancestry and get a better perspective on whats important discovered descendants ranging from laborers nurses to uncles killed in ww1,"['appreciate', 'the', 'things', 'i', 'once', 'took', 'for', 'granted', 'from', 'simply', 'going', 'out', 'for', 'a', 'coffee', 'to', 'visiting', 'the', 'grandchildren', 'found', 'the', 'time', 'to', 'research', 'my', 'ancestry', 'and', 'get', 'a', 'better', 'perspective', 'on', 'whats', 'important', 'discovered', 'descendants', 'ranging', 'from', 'laborers', 'nurses', 'to', 'uncles', 'killed', 'in', 'ww1']","['appreciate', 'things', 'took', 'granted', 'simply', 'going', 'coffee', 'visiting', 'grandchildren', 'found', 'time', 'research', 'ancestry', 'get', 'better', 'perspective', 'whats', 'important', 'discovered', 'descendants', 'ranging', 'laborers', 'nurses', 'uncles', 'killed', 'ww1']","['appreci', 'thing', 'took', 'grant', 'simpli', 'go', 'coffe', 'visit', 'grandchildren', 'found', 'time', 'research', 'ancestri', 'get', 'better', 'perspect', 'what', 'import', 'discov', 'descend', 'rang', 'labor', 'nurs', 'uncl', 'kill', 'ww1']","['appreciate', 'things', 'took', 'granted', 'simply', 'going', 'coffee', 'visiting', 'grandchildren', 'found', 'time', 'research', 'ancestry', 'get', 'better', 'perspective', 'whats', 'important', 'discovered', 'descendants', 'ranging', 'laborers', 'nurses', 'uncles', 'killed', 'ww1']",4,Australia
2020-04-13 09:05:51+00:00,1249624833639337984,Thanks to veteran Suzie who owns Raceview Complete Denture Care Ipswich for donating dental hygiene products to our carepack program. As she is closed she preferred stock to be used up rather than go out of date. We appreciate this kind donation during COVID-19 shut-downs. https://t.co/ymnM5xo5pI,YoungVeteransAU,Australia,6,0,1,0,"Young Veterans - To bring together all veterans of conflict and peacetime alike, increasing access to support networks & available assistance. #charity",1685,,thanks to veteran suzie who owns raceview complete denture care ipswich for donating dental hygiene products to our carepack program as she is closed she preferred stock to be used up rather than go out of date we appreciate this kind donation during covid19 shutdowns,"['thanks', 'to', 'veteran', 'suzie', 'who', 'owns', 'raceview', 'complete', 'denture', 'care', 'ipswich', 'for', 'donating', 'dental', 'hygiene', 'products', 'to', 'our', 'carepack', 'program', 'as', 'she', 'is', 'closed', 'she', 'preferred', 'stock', 'to', 'be', 'used', 'up', 'rather', 'than', 'go', 'out', 'of', 'date', 'we', 'appreciate', 'this', 'kind', 'donation', 'during', 'covid19', 'shutdowns']","['thanks', 'veteran', 'suzie', 'owns', 'raceview', 'complete', 'denture', 'care', 'ipswich', 'donating', 'dental', 'hygiene', 'products', 'carepack', 'program', 'closed', 'preferred', 'stock', 'used', 'rather', 'go', 'date', 'appreciate', 'kind', 'donation', 'covid19', 'shutdowns']","['thank', 'veteran', 'suzi', 'own', 'raceview', 'complet', 'dentur', 'care', 'ipswich', 'donat', 'dental', 'hygien', 'product', 'carepack', 'program', 'close', 'prefer', 'stock', 'use', 'rather', 'go', 'date', 'appreci', 'kind', 'donat', 'covid19', 'shutdown']","['thanks', 'veteran', 'suzie', 'owns', 'raceview', 'complete', 'denture', 'care', 'ipswich', 'donating', 'dental', 'hygiene', 'products', 'carepack', 'program', 'closed', 'preferred', 'stock', 'used', 'rather', 'go', 'date', 'appreciate', 'kind', 'donation', 'covid19', 'shutdowns']",4,Australia
