Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-05-30 19:07:07+00:00,1531351518649192449,"@HOM_GMProject @CounterText @ERC_Research @ERCGrantees @HIW_KULeuven Timely conference/special issue, indeed. You can find ""The Mimetic Condition"" explores #mimesis  in relation to #Nietzsche, #COVID et al. here 👇 https://t.co/abGV6VwV9G
@EU_RESEARCH @COVRscholars",nideshlawtoo,"Louvain, Belgium",3,0,0,0,"Prof. of Philosophy & English @KU_Leuven, PI of @HOM_GMProject funded by @ERC_Research, author of (New) Fascism (2019).",783,"['mimesis', 'Nietzsche', 'COVID']",timely conferencespecial issue indeed you can find the mimetic condition explores mimesis in relation to nietzsche covid et al here,"['timely', 'conferencespecial', 'issue', 'indeed', 'you', 'can', 'find', 'the', 'mimetic', 'condition', 'explores', 'mimesis', 'in', 'relation', 'to', 'nietzsche', 'covid', 'et', 'al', 'here']","['timely', 'conferencespecial', 'issue', 'indeed', 'find', 'mimetic', 'condition', 'explores', 'mimesis', 'relation', 'nietzsche', 'covid', 'et', 'al']","['time', 'conferencespeci', 'issu', 'inde', 'find', 'mimet', 'condit', 'explor', 'mimesi', 'relat', 'nietzsch', 'covid', 'et', 'al']","['timely', 'conferencespecial', 'issue', 'indeed', 'find', 'mimetic', 'condition', 'explores', 'mimesis', 'relation', 'nietzsche', 'covid', 'et', 'al']",3,Belgium
2021-11-09 06:43:03+00:00,1457961917650251781,"Trained IOM community mobilizers, accompanied by medical teams provided the #migrants and detention centre staff with critical information on #COVID19 vaccines,including its importance, dosage,side effects and addressed questions and concerns related to the #vaccination processes https://t.co/6n5M5y3NKf",SAIBI2001,"Brussel, België",1,0,1,0,"#Migration and #Asylum Program in #Europe 
...more rights...more humanity...",1184,"['migrants', 'COVID19', 'vaccination']",trained iom community mobilizers accompanied by medical teams provided the migrants and detention centre staff with critical information on covid19 vaccinesincluding its importance dosageside effects and addressed questions and concerns related to the vaccination processes,"['trained', 'iom', 'community', 'mobilizers', 'accompanied', 'by', 'medical', 'teams', 'provided', 'the', 'migrants', 'and', 'detention', 'centre', 'staff', 'with', 'critical', 'information', 'on', 'covid19', 'vaccinesincluding', 'its', 'importance', 'dosageside', 'effects', 'and', 'addressed', 'questions', 'and', 'concerns', 'related', 'to', 'the', 'vaccination', 'processes']","['trained', 'iom', 'community', 'mobilizers', 'accompanied', 'medical', 'teams', 'provided', 'migrants', 'detention', 'centre', 'staff', 'critical', 'information', 'covid19', 'vaccinesincluding', 'importance', 'dosageside', 'effects', 'addressed', 'questions', 'concerns', 'related', 'vaccination', 'processes']","['train', 'iom', 'commun', 'mobil', 'accompani', 'medic', 'team', 'provid', 'migrant', 'detent', 'centr', 'staff', 'critic', 'inform', 'covid19', 'vaccinesinclud', 'import', 'dosagesid', 'effect', 'address', 'question', 'concern', 'relat', 'vaccin', 'process']","['trained', 'iom', 'community', 'mobilizers', 'accompanied', 'medical', 'teams', 'provided', 'migrants', 'detention', 'centre', 'staff', 'critical', 'information', 'covid19', 'vaccinesincluding', 'importance', 'dosageside', 'effects', 'addressed', 'questions', 'concerns', 'related', 'vaccination', 'processes']",4,Belgium
2020-10-12 04:46:48+00:00,1315514232121831424,Jaime Harrison sets Senate fundraising record in race against Lindsey Graham https://t.co/ION8dfflsQ #LindsayGraham #COVID19 #DonaldTrump #MasksUp #GOP #Republicans #MasksSaveLives,AlexWitzleben,Brussels,1,0,0,0,Retired @EU_Commission PhD CAU Kiel #EUI #EconomicHistory  #EUinfluencer 2021 second in #sustainability #ClimateActionNow #EUGreenDeal #FutureOfEurope #startups,22188,"['LindsayGraham', 'COVID19', 'DonaldTrump', 'MasksUp', 'GOP', 'Republicans', 'MasksSaveLives']",jaime harrison sets senate fundraising record in race against lindsey graham lindsaygraham covid19 donaldtrump masksup gop republicans maskssavelives,"['jaime', 'harrison', 'sets', 'senate', 'fundraising', 'record', 'in', 'race', 'against', 'lindsey', 'graham', 'lindsaygraham', 'covid19', 'donaldtrump', 'masksup', 'gop', 'republicans', 'maskssavelives']","['jaime', 'harrison', 'sets', 'senate', 'fundraising', 'record', 'race', 'lindsey', 'graham', 'lindsaygraham', 'covid19', 'donaldtrump', 'masksup', 'gop', 'republicans', 'maskssavelives']","['jaim', 'harrison', 'set', 'senat', 'fundrais', 'record', 'race', 'lindsey', 'graham', 'lindsaygraham', 'covid19', 'donaldtrump', 'masksup', 'gop', 'republican', 'maskssavel']","['jaime', 'harrison', 'sets', 'senate', 'fundraising', 'record', 'race', 'lindsey', 'graham', 'lindsaygraham', 'covid19', 'donaldtrump', 'masksup', 'gop', 'republicans', 'maskssavelives']",4,Belgium
2020-06-27 06:16:06+00:00,1276761202748784640,"Judge orders US to free migrant children from family detention, citing virus spread. “The family detention centre’s are on fire and there is no more time for half measures,” she wrote
https://t.co/6unqEqKNku #DonaldTrump #migrants #coronavirus #GOP #COVID19 #Migration",AlexWitzleben,Brussels,1,0,1,0,Retired @EU_Commission PhD CAU Kiel #EUI #EconomicHistory  #EUinfluencer 2021 second in #sustainability #ClimateActionNow #EUGreenDeal #FutureOfEurope #startups,22188,"['DonaldTrump', 'migrants', 'coronavirus', 'GOP', 'COVID19', 'Migration']",judge orders us to free migrant children from family detention citing virus spread the family detention centres are on fire and there is no more time for half measures she wrote donaldtrump migrants coronavirus gop covid19 migration,"['judge', 'orders', 'us', 'to', 'free', 'migrant', 'children', 'from', 'family', 'detention', 'citing', 'virus', 'spread', 'the', 'family', 'detention', 'centres', 'are', 'on', 'fire', 'and', 'there', 'is', 'no', 'more', 'time', 'for', 'half', 'measures', 'she', 'wrote', 'donaldtrump', 'migrants', 'coronavirus', 'gop', 'covid19', 'migration']","['judge', 'orders', 'us', 'free', 'migrant', 'children', 'family', 'detention', 'citing', 'virus', 'spread', 'family', 'detention', 'centres', 'fire', 'time', 'half', 'measures', 'wrote', 'donaldtrump', 'migrants', 'coronavirus', 'gop', 'covid19', 'migration']","['judg', 'order', 'us', 'free', 'migrant', 'children', 'famili', 'detent', 'cite', 'viru', 'spread', 'famili', 'detent', 'centr', 'fire', 'time', 'half', 'measur', 'wrote', 'donaldtrump', 'migrant', 'coronaviru', 'gop', 'covid19', 'migrat']","['judge', 'orders', 'us', 'free', 'migrant', 'children', 'family', 'detention', 'citing', 'virus', 'spread', 'family', 'detention', 'centres', 'fire', 'time', 'half', 'measures', 'wrote', 'donaldtrump', 'migrants', 'coronavirus', 'gop', 'covid19', 'migration']",1,Belgium
2020-06-19 20:24:17+00:00,1274075553260339206,"EU is supporting new health project in #Libya with €1 million through @IMC_Worldwide 
The objective is to provide health services to vulnerable populations, including refugees and migrants and help staff treat #COVID19 #StrongerTogether #LeaveNoOneBehind 
https://t.co/GhS5lPGmZn",APisoneroECSpox,"Brussels, Belgium",0,0,1,0,"Enlargement, Neighbourhood, International Partnerships Spokesperson in the European Commission - retweets not endorsements",5053,"['Libya', 'COVID19', 'StrongerTogether', 'LeaveNoOneBehind']",eu is supporting new health project in libya with 1 million through the objective is to provide health services to vulnerable populations including refugees and migrants and help staff treat covid19 strongertogether leavenoonebehind,"['eu', 'is', 'supporting', 'new', 'health', 'project', 'in', 'libya', 'with', '1', 'million', 'through', 'the', 'objective', 'is', 'to', 'provide', 'health', 'services', 'to', 'vulnerable', 'populations', 'including', 'refugees', 'and', 'migrants', 'and', 'help', 'staff', 'treat', 'covid19', 'strongertogether', 'leavenoonebehind']","['eu', 'supporting', 'new', 'health', 'project', 'libya', '1', 'million', 'objective', 'provide', 'health', 'services', 'vulnerable', 'populations', 'including', 'refugees', 'migrants', 'help', 'staff', 'treat', 'covid19', 'strongertogether', 'leavenoonebehind']","['eu', 'support', 'new', 'health', 'project', 'libya', '1', 'million', 'object', 'provid', 'health', 'servic', 'vulner', 'popul', 'includ', 'refuge', 'migrant', 'help', 'staff', 'treat', 'covid19', 'strongertogeth', 'leavenoonebehind']","['eu', 'supporting', 'new', 'health', 'project', 'libya', '1', 'million', 'objective', 'provide', 'health', 'services', 'vulnerable', 'populations', 'including', 'refugees', 'migrants', 'help', 'staff', 'treat', 'covid19', 'strongertogether', 'leavenoonebehind']",4,Belgium
2020-05-11 07:31:14+00:00,1259747880325181441,"@UnderbantsCapt @missalicegrant 9th after countries like Spain, France and the UK. Belgium is 2nd but includes deaths at home and deaths in care homes - around 40% of Belgian COVID19 deaths are in care homes",ABritInBrussels,Belgium,0,0,0,0,Just a Brit in Brussels,414,,9th after countries like spain france and the uk belgium is 2nd but includes deaths at home and deaths in care homes around 40 of belgian covid19 deaths are in care homes,"['9th', 'after', 'countries', 'like', 'spain', 'france', 'and', 'the', 'uk', 'belgium', 'is', '2nd', 'but', 'includes', 'deaths', 'at', 'home', 'and', 'deaths', 'in', 'care', 'homes', 'around', '40', 'of', 'belgian', 'covid19', 'deaths', 'are', 'in', 'care', 'homes']","['9th', 'countries', 'like', 'spain', 'france', 'uk', 'belgium', '2nd', 'includes', 'deaths', 'home', 'deaths', 'care', 'homes', 'around', '40', 'belgian', 'covid19', 'deaths', 'care', 'homes']","['9th', 'countri', 'like', 'spain', 'franc', 'uk', 'belgium', '2nd', 'includ', 'death', 'home', 'death', 'care', 'home', 'around', '40', 'belgian', 'covid19', 'death', 'care', 'home']","['9th', 'countries', 'like', 'spain', 'france', 'uk', 'belgium', '2nd', 'includes', 'deaths', 'home', 'deaths', 'care', 'homes', 'around', '40', 'belgian', 'covid19', 'deaths', 'care', 'homes']",1,Belgium
2020-04-05 15:42:24+00:00,1246825525525581832,"States also have an obligation to ensure #medical care for those in their custody at least equivalent to that available to the general population, and must not deny detainees, including #asylumseekers or undocumented #migrants, equal access to health care. #COVID19 #Libya",SAIBI2001,"Brussel, België",0,1,0,0,"#Migration and #Asylum Program in #Europe 
...more rights...more humanity...",1184,"['medical', 'asylumseekers', 'migrants', 'COVID19', 'Libya']",states also have an obligation to ensure medical care for those in their custody at least equivalent to that available to the general population and must not deny detainees including asylumseekers or undocumented migrants equal access to health care covid19 libya,"['states', 'also', 'have', 'an', 'obligation', 'to', 'ensure', 'medical', 'care', 'for', 'those', 'in', 'their', 'custody', 'at', 'least', 'equivalent', 'to', 'that', 'available', 'to', 'the', 'general', 'population', 'and', 'must', 'not', 'deny', 'detainees', 'including', 'asylumseekers', 'or', 'undocumented', 'migrants', 'equal', 'access', 'to', 'health', 'care', 'covid19', 'libya']","['states', 'also', 'obligation', 'ensure', 'medical', 'care', 'custody', 'least', 'equivalent', 'available', 'general', 'population', 'must', 'deny', 'detainees', 'including', 'asylumseekers', 'undocumented', 'migrants', 'equal', 'access', 'health', 'care', 'covid19', 'libya']","['state', 'also', 'oblig', 'ensur', 'medic', 'care', 'custodi', 'least', 'equival', 'avail', 'gener', 'popul', 'must', 'deni', 'detaine', 'includ', 'asylumseek', 'undocu', 'migrant', 'equal', 'access', 'health', 'care', 'covid19', 'libya']","['states', 'also', 'obligation', 'ensure', 'medical', 'care', 'custody', 'least', 'equivalent', 'available', 'general', 'population', 'must', 'deny', 'detainees', 'including', 'asylumseekers', 'undocumented', 'migrants', 'equal', 'access', 'health', 'care', 'covid19', 'libya']",5,Belgium
2020-03-28 10:47:32+00:00,1243852217557356546,#singapore has moved quickly to help people who may need jobs during this #COVID19 crisis with a virtual career fair. Additionally those who lose their jobs due to the crisis will be eligible for a cash grant of $800/month for 3 months https://t.co/WbArq5LUGU,joseswong,Singapour,0,0,0,0,"Country Director, Vriens & Partners. Previously at 🇸🇬 ’s Mission to the 🇪🇺& Embassy to 🇧🇪 🇱🇺 🇳🇱. Views are my own, RT not endorsement.",185,"['singapore', 'COVID19']",singapore has moved quickly to help people who may need jobs during this covid19 crisis with a virtual career fair additionally those who lose their jobs due to the crisis will be eligible for a cash grant of 800month for 3 months,"['singapore', 'has', 'moved', 'quickly', 'to', 'help', 'people', 'who', 'may', 'need', 'jobs', 'during', 'this', 'covid19', 'crisis', 'with', 'a', 'virtual', 'career', 'fair', 'additionally', 'those', 'who', 'lose', 'their', 'jobs', 'due', 'to', 'the', 'crisis', 'will', 'be', 'eligible', 'for', 'a', 'cash', 'grant', 'of', '800month', 'for', '3', 'months']","['singapore', 'moved', 'quickly', 'help', 'people', 'may', 'need', 'jobs', 'covid19', 'crisis', 'virtual', 'career', 'fair', 'additionally', 'lose', 'jobs', 'due', 'crisis', 'eligible', 'cash', 'grant', '800month', '3', 'months']","['singapor', 'move', 'quickli', 'help', 'peopl', 'may', 'need', 'job', 'covid19', 'crisi', 'virtual', 'career', 'fair', 'addit', 'lose', 'job', 'due', 'crisi', 'elig', 'cash', 'grant', '800month', '3', 'month']","['singapore', 'moved', 'quickly', 'help', 'people', 'may', 'need', 'jobs', 'covid19', 'crisis', 'virtual', 'career', 'fair', 'additionally', 'lose', 'jobs', 'due', 'crisis', 'eligible', 'cash', 'grant', '800month', '3', 'months']",4,Belgium
2020-03-21 17:11:21+00:00,1241412089429798920,"Immigration detention centers are too often overcrowded and lack adequate #healthcare and #sanitation. In order to avoid a rapid spread of the #virus, States should put in place the necessary measures to protect the health of #migrants in these facilities #Covid_19 https://t.co/rdxp2q9cvO",SAIBI2001,"Brussel, België",2,0,0,0,"#Migration and #Asylum Program in #Europe 
...more rights...more humanity...",1184,"['healthcare', 'sanitation', 'virus', 'migrants', 'Covid_19']",immigration detention centers are too often overcrowded and lack adequate healthcare and sanitation in order to avoid a rapid spread of the virus states shouldputin placethe necessarymeasures to protect the health ofmigrantsinthesefacilities covid19,"['immigration', 'detention', 'centers', 'are', 'too', 'often', 'overcrowded', 'and', 'lack', 'adequate', 'healthcare', 'and', 'sanitation', 'in', 'order', 'to', 'avoid', 'a', 'rapid', 'spread', 'of', 'the', 'virus', 'states', 'shouldputin', 'placethe', 'necessarymeasures', 'to', 'protect', 'the', 'health', 'ofmigrantsinthesefacilities', 'covid19']","['immigration', 'detention', 'centers', 'often', 'overcrowded', 'lack', 'adequate', 'healthcare', 'sanitation', 'order', 'avoid', 'rapid', 'spread', 'virus', 'states', 'shouldputin', 'placethe', 'necessarymeasures', 'protect', 'health', 'ofmigrantsinthesefacilities', 'covid19']","['immigr', 'detent', 'center', 'often', 'overcrowd', 'lack', 'adequ', 'healthcar', 'sanit', 'order', 'avoid', 'rapid', 'spread', 'viru', 'state', 'shouldputin', 'placeth', 'necessarymeasur', 'protect', 'health', 'ofmigrantsinthesefacil', 'covid19']","['immigration', 'detention', 'centers', 'often', 'overcrowded', 'lack', 'adequate', 'healthcare', 'sanitation', 'order', 'avoid', 'rapid', 'spread', 'virus', 'states', 'shouldputin', 'placethe', 'necessarymeasures', 'protect', 'health', 'ofmigrantsinthesefacilities', 'covid19']",2,Belgium
2020-03-10 18:07:05+00:00,1237439852200767488,"In Italy, #solidarity helps fight #COVID19 too! This #fundraising campaign aims to provide additional medical devices and equipments for intensive care in @regionepiemonte public hospitals.

⚠️Please donate here 👉🏽 https://t.co/EvQOvrfc8b

#iorestoacasa #riprendiamofiato https://t.co/RmGbvIO9tb https://t.co/hK7yvM5WMu",riccardo_roba,"Brussels, from Turin (Italy)",1,0,1,0,"Working on policy & advocacy @CONCORD_Europe, I tweet re EU international cooperation policy, sustainable development, human rights & other stuff. Opinions mine",370,"['solidarity', 'COVID19', 'fundraising', 'iorestoacasa', 'riprendiamofiato']",in italy solidarity helps fight covid19 too this fundraising campaign aims to provide additional medical devices and equipments for intensive care in public hospitals please donate here iorestoacasa riprendiamofiato,"['in', 'italy', 'solidarity', 'helps', 'fight', 'covid19', 'too', 'this', 'fundraising', 'campaign', 'aims', 'to', 'provide', 'additional', 'medical', 'devices', 'and', 'equipments', 'for', 'intensive', 'care', 'in', 'public', 'hospitals', 'please', 'donate', 'here', 'iorestoacasa', 'riprendiamofiato']","['italy', 'solidarity', 'helps', 'fight', 'covid19', 'fundraising', 'campaign', 'aims', 'provide', 'additional', 'medical', 'devices', 'equipments', 'intensive', 'care', 'public', 'hospitals', 'please', 'donate', 'iorestoacasa', 'riprendiamofiato']","['itali', 'solidar', 'help', 'fight', 'covid19', 'fundrais', 'campaign', 'aim', 'provid', 'addit', 'medic', 'devic', 'equip', 'intens', 'care', 'public', 'hospit', 'pleas', 'donat', 'iorestoacasa', 'riprendiamofiato']","['italy', 'solidarity', 'helps', 'fight', 'covid19', 'fundraising', 'campaign', 'aims', 'provide', 'additional', 'medical', 'devices', 'equipments', 'intensive', 'care', 'public', 'hospitals', 'please', 'donate', 'iorestoacasa', 'riprendiamofiato']",5,Belgium
