Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-07 06:31:00+00:00,1534060336302764032,"Author Justin Davies is supporting CharChar Literacy's 6-12th June fundraising campaign, explaining why reading is so important for children. Will you support CharChar's reading programme in Malawi by buying a book in the online auction? https://t.co/trkPV6OZVO 
@flyingscribbler https://t.co/unZsTvvlOz",charchar_the,Malawi,6,0,3,1,"Building a brighter future for Malawi's children through literacy. Will you join us?

UK Reg Charity No.1192510
Reg in Malawi as The CharChar Trust",129,,author justin davies is supporting charchar literacys 612th june fundraising campaign explaining why reading is so important for children will you support charchars reading programme in malawi by buying a book in the online auction,"['author', 'justin', 'davies', 'is', 'supporting', 'charchar', 'literacys', '612th', 'june', 'fundraising', 'campaign', 'explaining', 'why', 'reading', 'is', 'so', 'important', 'for', 'children', 'will', 'you', 'support', 'charchars', 'reading', 'programme', 'in', 'malawi', 'by', 'buying', 'a', 'book', 'in', 'the', 'online', 'auction']","['author', 'justin', 'davies', 'supporting', 'charchar', 'literacys', '612th', 'june', 'fundraising', 'campaign', 'explaining', 'reading', 'important', 'children', 'support', 'charchars', 'reading', 'programme', 'malawi', 'buying', 'book', 'online', 'auction']","['author', 'justin', 'davi', 'support', 'charchar', 'literaci', '612th', 'june', 'fundrais', 'campaign', 'explain', 'read', 'import', 'children', 'support', 'charchar', 'read', 'programm', 'malawi', 'buy', 'book', 'onlin', 'auction']","['author', 'justin', 'davies', 'supporting', 'charchar', 'literacys', '612th', 'june', 'fundraising', 'campaign', 'explaining', 'reading', 'important', 'children', 'support', 'charchars', 'reading', 'programme', 'malawi', 'buying', 'book', 'online', 'auction']",4,Iran
2022-06-07 06:30:00+00:00,1534060086619869186,It's Day 2 of CharChar Literacy's 6-12th June fundraising campaign! Will you support CharChar's reading programme in Malawi by buying a signed book donated by over 50 amazing authors in the online auction? https://t.co/trkPV76ANm https://t.co/Qg0CtNz8JY,charchar_the,Malawi,0,0,0,0,"Building a brighter future for Malawi's children through literacy. Will you join us?

UK Reg Charity No.1192510
Reg in Malawi as The CharChar Trust",129,,its day 2 of charchar literacys 612th june fundraising campaign will you support charchars reading programme in malawi by buying a signed book donated by over 50 amazing authors in the online auction,"['its', 'day', '2', 'of', 'charchar', 'literacys', '612th', 'june', 'fundraising', 'campaign', 'will', 'you', 'support', 'charchars', 'reading', 'programme', 'in', 'malawi', 'by', 'buying', 'a', 'signed', 'book', 'donated', 'by', 'over', '50', 'amazing', 'authors', 'in', 'the', 'online', 'auction']","['day', '2', 'charchar', 'literacys', '612th', 'june', 'fundraising', 'campaign', 'support', 'charchars', 'reading', 'programme', 'malawi', 'buying', 'signed', 'book', 'donated', '50', 'amazing', 'authors', 'online', 'auction']","['day', '2', 'charchar', 'literaci', '612th', 'june', 'fundrais', 'campaign', 'support', 'charchar', 'read', 'programm', 'malawi', 'buy', 'sign', 'book', 'donat', '50', 'amaz', 'author', 'onlin', 'auction']","['day', '2', 'charchar', 'literacys', '612th', 'june', 'fundraising', 'campaign', 'support', 'charchars', 'reading', 'programme', 'malawi', 'buying', 'signed', 'book', 'donated', '50', 'amazing', 'authors', 'online', 'auction']",5,Iran
2022-06-06 06:32:00+00:00,1533698201647058945,CharChar Literacy's 6-12th June fundraising campaign has begun! Will you support CharChar's reading programme in Malawi by buying a signed book donated by over 50 amazing authors in the online auction? https://t.co/trkPV76ANm https://t.co/QfmSQdGmUZ,charchar_the,Malawi,0,0,0,0,"Building a brighter future for Malawi's children through literacy. Will you join us?

UK Reg Charity No.1192510
Reg in Malawi as The CharChar Trust",129,,charchar literacys 612th june fundraising campaign has begun will you support charchars reading programme in malawi by buying a signed book donated by over 50 amazing authors in the online auction,"['charchar', 'literacys', '612th', 'june', 'fundraising', 'campaign', 'has', 'begun', 'will', 'you', 'support', 'charchars', 'reading', 'programme', 'in', 'malawi', 'by', 'buying', 'a', 'signed', 'book', 'donated', 'by', 'over', '50', 'amazing', 'authors', 'in', 'the', 'online', 'auction']","['charchar', 'literacys', '612th', 'june', 'fundraising', 'campaign', 'begun', 'support', 'charchars', 'reading', 'programme', 'malawi', 'buying', 'signed', 'book', 'donated', '50', 'amazing', 'authors', 'online', 'auction']","['charchar', 'literaci', '612th', 'june', 'fundrais', 'campaign', 'begun', 'support', 'charchar', 'read', 'programm', 'malawi', 'buy', 'sign', 'book', 'donat', '50', 'amaz', 'author', 'onlin', 'auction']","['charchar', 'literacys', '612th', 'june', 'fundraising', 'campaign', 'begun', 'support', 'charchars', 'reading', 'programme', 'malawi', 'buying', 'signed', 'book', 'donated', '50', 'amazing', 'authors', 'online', 'auction']",5,Iran
2022-06-06 06:30:00+00:00,1533697697265352705,"Author Victoria Williamson kicks off CharChar Literacy's 6-12th June fundraising campaign, explaining why reading is so important for children. Will you support CharChar's reading programme in Malawi by buying a book in the online auction? https://t.co/trkPV6OZVO @strangelymagic https://t.co/YML6P9rt6H",charchar_the,Malawi,2,0,2,2,"Building a brighter future for Malawi's children through literacy. Will you join us?

UK Reg Charity No.1192510
Reg in Malawi as The CharChar Trust",129,,author victoria williamson kicks off charchar literacys 612th june fundraising campaign explaining why reading is so important for children will you support charchars reading programme in malawi by buying a book in the online auction,"['author', 'victoria', 'williamson', 'kicks', 'off', 'charchar', 'literacys', '612th', 'june', 'fundraising', 'campaign', 'explaining', 'why', 'reading', 'is', 'so', 'important', 'for', 'children', 'will', 'you', 'support', 'charchars', 'reading', 'programme', 'in', 'malawi', 'by', 'buying', 'a', 'book', 'in', 'the', 'online', 'auction']","['author', 'victoria', 'williamson', 'kicks', 'charchar', 'literacys', '612th', 'june', 'fundraising', 'campaign', 'explaining', 'reading', 'important', 'children', 'support', 'charchars', 'reading', 'programme', 'malawi', 'buying', 'book', 'online', 'auction']","['author', 'victoria', 'williamson', 'kick', 'charchar', 'literaci', '612th', 'june', 'fundrais', 'campaign', 'explain', 'read', 'import', 'children', 'support', 'charchar', 'read', 'programm', 'malawi', 'buy', 'book', 'onlin', 'auction']","['author', 'victoria', 'williamson', 'kicks', 'charchar', 'literacys', '612th', 'june', 'fundraising', 'campaign', 'explaining', 'reading', 'important', 'children', 'support', 'charchars', 'reading', 'programme', 'malawi', 'buying', 'book', 'online', 'auction']",5,Iran
2022-06-05 18:20:13+00:00,1533514040831377410,Kuwait’s charity finances medical campaign for refugees in Jordan https://t.co/kFMegWVGJs,anbr_kw,kuwait,0,0,0,0,عنبر للتسويق الإلكتروني نقدم مجموعة مميزة من خدمات مواقع التواصل الاجتماعي ادارة و تطوير حسابات السوشيال ميديا تطبيق الخطط التسويقية تحليل المنافسين و زيادة الم,14,,kuwaits charity finances medical campaign for refugees in jordan,"['kuwaits', 'charity', 'finances', 'medical', 'campaign', 'for', 'refugees', 'in', 'jordan']","['kuwaits', 'charity', 'finances', 'medical', 'campaign', 'refugees', 'jordan']","['kuwait', 'chariti', 'financ', 'medic', 'campaign', 'refuge', 'jordan']","['kuwaits', 'charity', 'finances', 'medical', 'campaign', 'refugees', 'jordan']",4,Iran
2022-06-05 18:08:52+00:00,1533511186272100353,Kuwait’s charity finances medical  campaign for refugees in Jordan https://t.co/HUy8mBCwGl,kuwaittimesnews,Kuwait,2,1,2,0,The First Daily in The Arabian Gulf | 60th Anniversary 1961-2021 | For Arabic News @kuwaitnews,39304,,kuwaits charity finances medical campaign for refugees in jordan,"['kuwaits', 'charity', 'finances', 'medical', 'campaign', 'for', 'refugees', 'in', 'jordan']","['kuwaits', 'charity', 'finances', 'medical', 'campaign', 'refugees', 'jordan']","['kuwait', 'chariti', 'financ', 'medic', 'campaign', 'refuge', 'jordan']","['kuwaits', 'charity', 'finances', 'medical', 'campaign', 'refugees', 'jordan']",4,Iran
2022-06-06 16:10:07+00:00,1533843689335934976,"Honestly 2022 world cup discourse is getting weird. Who really cares if the world cup is in the winter? Migrant worker rights?? Valid point but ""world cup in winter in desert 😢😢"" is so boring",m7mdrahil,Bahrain,3,1,0,0,Twitter bio,883,,honestly 2022 world cup discourse is getting weird who really cares if the world cup is in the winter migrant worker rights valid point but world cup in winter in desert is so boring,"['honestly', '2022', 'world', 'cup', 'discourse', 'is', 'getting', 'weird', 'who', 'really', 'cares', 'if', 'the', 'world', 'cup', 'is', 'in', 'the', 'winter', 'migrant', 'worker', 'rights', 'valid', 'point', 'but', 'world', 'cup', 'in', 'winter', 'in', 'desert', 'is', 'so', 'boring']","['honestly', '2022', 'world', 'cup', 'discourse', 'getting', 'weird', 'really', 'cares', 'world', 'cup', 'winter', 'migrant', 'worker', 'rights', 'valid', 'point', 'world', 'cup', 'winter', 'desert', 'boring']","['honestli', '2022', 'world', 'cup', 'discours', 'get', 'weird', 'realli', 'care', 'world', 'cup', 'winter', 'migrant', 'worker', 'right', 'valid', 'point', 'world', 'cup', 'winter', 'desert', 'bore']","['honestly', '2022', 'world', 'cup', 'discourse', 'getting', 'weird', 'really', 'cares', 'world', 'cup', 'winter', 'migrant', 'worker', 'rights', 'valid', 'point', 'world', 'cup', 'winter', 'desert', 'boring']",2,Iran
2022-05-31 10:01:01+00:00,1531576476570685442,"A car caught fire in #Kirkuk while in a petrol queue, on Monday, May 30, 2022, driver &amp; his family escaped.
A number of young people from different ethnicities &amp; sects collected financial donations for owner of car as compensation. 
Video by Ali Al-Ezzi

https://t.co/1hS0af46ji",Kirkuknow_DT,Iraq,0,0,0,0,KirkukNow is the leading Iraqi independent media that covers the disputed areas in the country.,4217,['Kirkuk'],a car caught fire in kirkuk while in a petrol queue on monday may 30 2022 driver amp his family escaped a number of young people from different ethnicities amp sects collected financial donations for owner of car as compensation video by ali alezzi,"['a', 'car', 'caught', 'fire', 'in', 'kirkuk', 'while', 'in', 'a', 'petrol', 'queue', 'on', 'monday', 'may', '30', '2022', 'driver', 'amp', 'his', 'family', 'escaped', 'a', 'number', 'of', 'young', 'people', 'from', 'different', 'ethnicities', 'amp', 'sects', 'collected', 'financial', 'donations', 'for', 'owner', 'of', 'car', 'as', 'compensation', 'video', 'by', 'ali', 'alezzi']","['car', 'caught', 'fire', 'kirkuk', 'petrol', 'queue', 'monday', 'may', '30', '2022', 'driver', 'amp', 'family', 'escaped', 'number', 'young', 'people', 'different', 'ethnicities', 'amp', 'sects', 'collected', 'financial', 'donations', 'owner', 'car', 'compensation', 'video', 'ali', 'alezzi']","['car', 'caught', 'fire', 'kirkuk', 'petrol', 'queue', 'monday', 'may', '30', '2022', 'driver', 'amp', 'famili', 'escap', 'number', 'young', 'peopl', 'differ', 'ethnic', 'amp', 'sect', 'collect', 'financi', 'donat', 'owner', 'car', 'compens', 'video', 'ali', 'alezzi']","['car', 'caught', 'fire', 'kirkuk', 'petrol', 'queue', 'monday', 'may', '30', '2022', 'driver', 'amp', 'family', 'escaped', 'number', 'young', 'people', 'different', 'ethnicities', 'amp', 'sects', 'collected', 'financial', 'donations', 'owner', 'car', 'compensation', 'video', 'ali', 'alezzi']",1,Iran
2022-06-07 16:24:06+00:00,1534209593722691584,"StepUp! AstraZeneca’s Young Health global grants Programme 2022 for youth-focused non-profits (US$10,000 grant) https://t.co/qb4YazDPV0",efflux_a,Malawi,0,0,0,0,"Explore Malawian and International Jobs, Scholarships and Grants for NGOs",303,,stepup astrazenecas young health global grants programme 2022 for youthfocused nonprofits us10000grant,"['stepup', 'astrazenecas', 'young', 'health', 'global', 'grants', 'programme', '2022', 'for', 'youthfocused', 'nonprofits', 'us10000grant']","['stepup', 'astrazenecas', 'young', 'health', 'global', 'grants', 'programme', '2022', 'youthfocused', 'nonprofits', 'us10000grant']","['stepup', 'astrazeneca', 'young', 'health', 'global', 'grant', 'programm', '2022', 'youthfocus', 'nonprofit', 'us10000grant']","['stepup', 'astrazenecas', 'young', 'health', 'global', 'grants', 'programme', '2022', 'youthfocused', 'nonprofits', 'us10000grant']",5,Iran
2022-06-07 08:28:40+00:00,1534089948772679680,@asifafridi65 May all mighty ALLAH grant her quick health. Ameen,Akramulhaq6123,kuwait,0,0,0,0,"Water & waste treatment. chemicals & equipment. Reverse Osmosis. 
D I units. Ultra violet. 
Filters, water softener. Mix bed filters. Swimming pools chemicals.",3,,may all mighty allah grant her quick health ameen,"['may', 'all', 'mighty', 'allah', 'grant', 'her', 'quick', 'health', 'ameen']","['may', 'mighty', 'allah', 'grant', 'quick', 'health', 'ameen']","['may', 'mighti', 'allah', 'grant', 'quick', 'health', 'ameen']","['may', 'mighty', 'allah', 'grant', 'quick', 'health', 'ameen']",5,Iran
