Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2020-03-27 07:29:44+00:00,1243440051146469376,"Can we just appreciate the Team Liquid PUBG lads (&amp; Gulde) for taking part in this charity stream to support direct relief in response to Corvid-19? 

These guys are such good eggs and I'll certainly be tuning in to show some support. https://t.co/0rlceOdNrL",EzzaSays,,17,0,0,0,EMEA Esports Manager @pubg PC | 🇳🇿 in 🇳🇱 l Discord: Ezza#0001 l l 📸 ezzasays,1724,,can we just appreciate the team liquid pubg lads amp gulde for taking part in this charity stream to support direct relief in response to corvid19 these guys are such good eggs and ill certainly be tuning in to show some support,"['can', 'we', 'just', 'appreciate', 'the', 'team', 'liquid', 'pubg', 'lads', 'amp', 'gulde', 'for', 'taking', 'part', 'in', 'this', 'charity', 'stream', 'to', 'support', 'direct', 'relief', 'in', 'response', 'to', 'corvid19', 'these', 'guys', 'are', 'such', 'good', 'eggs', 'and', 'ill', 'certainly', 'be', 'tuning', 'in', 'to', 'show', 'some', 'support']","['appreciate', 'team', 'liquid', 'pubg', 'lads', 'amp', 'gulde', 'taking', 'part', 'charity', 'stream', 'support', 'direct', 'relief', 'response', 'corvid19', 'guys', 'good', 'eggs', 'ill', 'certainly', 'tuning', 'show', 'support']","['appreci', 'team', 'liquid', 'pubg', 'lad', 'amp', 'guld', 'take', 'part', 'chariti', 'stream', 'support', 'direct', 'relief', 'respons', 'corvid19', 'guy', 'good', 'egg', 'ill', 'certainli', 'tune', 'show', 'support']","['appreciate', 'team', 'liquid', 'pubg', 'lads', 'amp', 'gulde', 'taking', 'part', 'charity', 'stream', 'support', 'direct', 'relief', 'response', 'corvid19', 'guys', 'good', 'eggs', 'ill', 'certainly', 'tuning', 'show', 'support']",4,New Zealand
2020-03-21 08:30:19+00:00,1241280969472008192,"I start the day by making my bed &amp; being thankful for my family's health. After this I go for a walk, inhale the fresh air &amp; appreciate how fortunate I am to live in New Zealand. We take way too much for granted in life. Let's live in the moment &amp; appreciate what we've got!🙏🌎🇳🇿",BlaineMcKenna77,"Phuket, Thailand",173,6,3,0,LSP Coaching | UEFA A | MSc Sport Psych                        Coached in 11 countries on 5 continents                            Insta: bmck77 | Northern Irish,31526,,i start the day by making my bed amp being thankful for my familys health after this i go for a walk inhale the fresh air amp appreciate how fortunate i am to live in new zealand we take way too much for granted in life lets live in the moment amp appreciate what weve got,"['i', 'start', 'the', 'day', 'by', 'making', 'my', 'bed', 'amp', 'being', 'thankful', 'for', 'my', 'familys', 'health', 'after', 'this', 'i', 'go', 'for', 'a', 'walk', 'inhale', 'the', 'fresh', 'air', 'amp', 'appreciate', 'how', 'fortunate', 'i', 'am', 'to', 'live', 'in', 'new', 'zealand', 'we', 'take', 'way', 'too', 'much', 'for', 'granted', 'in', 'life', 'lets', 'live', 'in', 'the', 'moment', 'amp', 'appreciate', 'what', 'weve', 'got']","['start', 'day', 'making', 'bed', 'amp', 'thankful', 'familys', 'health', 'go', 'walk', 'inhale', 'fresh', 'air', 'amp', 'appreciate', 'fortunate', 'live', 'new', 'zealand', 'take', 'way', 'much', 'granted', 'life', 'lets', 'live', 'moment', 'amp', 'appreciate', 'weve', 'got']","['start', 'day', 'make', 'bed', 'amp', 'thank', 'famili', 'health', 'go', 'walk', 'inhal', 'fresh', 'air', 'amp', 'appreci', 'fortun', 'live', 'new', 'zealand', 'take', 'way', 'much', 'grant', 'life', 'let', 'live', 'moment', 'amp', 'appreci', 'weve', 'got']","['start', 'day', 'making', 'bed', 'amp', 'thankful', 'familys', 'health', 'go', 'walk', 'inhale', 'fresh', 'air', 'amp', 'appreciate', 'fortunate', 'live', 'new', 'zealand', 'take', 'way', 'much', 'granted', 'life', 'lets', 'live', 'moment', 'amp', 'appreciate', 'weve', 'got']",5,New Zealand
2020-03-07 22:56:29+00:00,1236425517588496387,@GrantMcCallum4 @jacindaardern @jamespeshaw @nzlabour @NZGreens @TheCountry @TheMusterShow And I do appreciate you taking the time to answer my question we might be on opposite side of the argument but a healthy debate is the fundamentals of democracy so hats of for interacting with me. #nzpol,CraigKendricknz,"Timaru District, New Zealand",0,0,0,0,"A Father, A Cantab, A Worker, A Leftie & proud to be every one of them.

The short angry guy that can't spell or do grammar for shit.",1726,['nzpol'],and i do appreciate you taking the time to answer my question we might be on opposite side of the argument but a healthy debate is the fundamentals of democracy so hats of for interacting with me nzpol,"['and', 'i', 'do', 'appreciate', 'you', 'taking', 'the', 'time', 'to', 'answer', 'my', 'question', 'we', 'might', 'be', 'on', 'opposite', 'side', 'of', 'the', 'argument', 'but', 'a', 'healthy', 'debate', 'is', 'the', 'fundamentals', 'of', 'democracy', 'so', 'hats', 'of', 'for', 'interacting', 'with', 'me', 'nzpol']","['appreciate', 'taking', 'time', 'answer', 'question', 'might', 'opposite', 'side', 'argument', 'healthy', 'debate', 'fundamentals', 'democracy', 'hats', 'interacting', 'nzpol']","['appreci', 'take', 'time', 'answer', 'question', 'might', 'opposit', 'side', 'argument', 'healthi', 'debat', 'fundament', 'democraci', 'hat', 'interact', 'nzpol']","['appreciate', 'taking', 'time', 'answer', 'question', 'might', 'opposite', 'side', 'argument', 'healthy', 'debate', 'fundamentals', 'democracy', 'hats', 'interacting', 'nzpol']",4,New Zealand
2021-08-24 01:21:43+00:00,1429977185759088640,"A string public health response is the best economic response.
Grant is outlining how strongly our economy has rebounded since June last year. #Covid19 
Grant paying tribute to all MIQ staff from the bus drivers to the hotel staff to the health &amp; defence force staff.",melulater,Waikato New Zealand,6,2,0,1,Teacher. Education & rural policy. Literally herds cats. Politics junky on Left. Karaoke Queen & 🎤 hogger. #MoolooOleOleOle! #ChiefsMana #ABs #WaiBOPMagic,5376,['Covid19'],a string public health response is the best economic response grant is outlining how strongly our economy has rebounded since june last year covid19 grant paying tribute to all miq staff from the bus drivers to the hotel staff to the health amp defence force staff,"['a', 'string', 'public', 'health', 'response', 'is', 'the', 'best', 'economic', 'response', 'grant', 'is', 'outlining', 'how', 'strongly', 'our', 'economy', 'has', 'rebounded', 'since', 'june', 'last', 'year', 'covid19', 'grant', 'paying', 'tribute', 'to', 'all', 'miq', 'staff', 'from', 'the', 'bus', 'drivers', 'to', 'the', 'hotel', 'staff', 'to', 'the', 'health', 'amp', 'defence', 'force', 'staff']","['string', 'public', 'health', 'response', 'best', 'economic', 'response', 'grant', 'outlining', 'strongly', 'economy', 'rebounded', 'since', 'june', 'last', 'year', 'covid19', 'grant', 'paying', 'tribute', 'miq', 'staff', 'bus', 'drivers', 'hotel', 'staff', 'health', 'amp', 'defence', 'force', 'staff']","['string', 'public', 'health', 'respons', 'best', 'econom', 'respons', 'grant', 'outlin', 'strongli', 'economi', 'rebound', 'sinc', 'june', 'last', 'year', 'covid19', 'grant', 'pay', 'tribut', 'miq', 'staff', 'bu', 'driver', 'hotel', 'staff', 'health', 'amp', 'defenc', 'forc', 'staff']","['string', 'public', 'health', 'response', 'best', 'economic', 'response', 'grant', 'outlining', 'strongly', 'economy', 'rebounded', 'since', 'june', 'last', 'year', 'covid19', 'grant', 'paying', 'tribute', 'miq', 'staff', 'bus', 'drivers', 'hotel', 'staff', 'health', 'amp', 'defence', 'force', 'staff']",5,New Zealand
2022-04-01 21:40:00+00:00,1510009108120104960,"@JennyKayNZ @NewshubNationNZ @CarmelSepuloni Reducing rent costs, increasing benefits &amp; offering food grants &amp; petrol vouchers without discrimination to beneficiaries will greatly improve their health &amp; wellbeing thereby reducing the burden on the health system enabling Covid tx to those who need it.",teaokatoa,Kirikiriroa / AotearoaNZ ,2,0,0,0,"Ma te Whakapono, te Tumanako, mē te Aroha. Be amazing. Be good. Be strong. Be smart. Be cool. But the most important thing is, be you #AkuWhakāro #WaikatoTainui",454,,reducing rent costs increasing benefits amp offering food grants amp petrol vouchers without discrimination to beneficiaries will greatly improve their health amp wellbeing thereby reducing the burden on the health system enabling covid tx to those who need it,"['reducing', 'rent', 'costs', 'increasing', 'benefits', 'amp', 'offering', 'food', 'grants', 'amp', 'petrol', 'vouchers', 'without', 'discrimination', 'to', 'beneficiaries', 'will', 'greatly', 'improve', 'their', 'health', 'amp', 'wellbeing', 'thereby', 'reducing', 'the', 'burden', 'on', 'the', 'health', 'system', 'enabling', 'covid', 'tx', 'to', 'those', 'who', 'need', 'it']","['reducing', 'rent', 'costs', 'increasing', 'benefits', 'amp', 'offering', 'food', 'grants', 'amp', 'petrol', 'vouchers', 'without', 'discrimination', 'beneficiaries', 'greatly', 'improve', 'health', 'amp', 'wellbeing', 'thereby', 'reducing', 'burden', 'health', 'system', 'enabling', 'covid', 'tx', 'need']","['reduc', 'rent', 'cost', 'increas', 'benefit', 'amp', 'offer', 'food', 'grant', 'amp', 'petrol', 'voucher', 'without', 'discrimin', 'beneficiari', 'greatli', 'improv', 'health', 'amp', 'wellb', 'therebi', 'reduc', 'burden', 'health', 'system', 'enabl', 'covid', 'tx', 'need']","['reducing', 'rent', 'costs', 'increasing', 'benefits', 'amp', 'offering', 'food', 'grants', 'amp', 'petrol', 'vouchers', 'without', 'discrimination', 'beneficiaries', 'greatly', 'improve', 'health', 'amp', 'wellbeing', 'thereby', 'reducing', 'burden', 'health', 'system', 'enabling', 'covid', 'tx', 'need']",5,New Zealand
2021-11-14 02:53:21+00:00,1459716051680129024,"#Covid19: Act leader David Seymour calls for testing as alternative for unvaxxed teachers, health workers.
Absolutely not. This govt should not flip flop on this. It's a matter of public health.
@chrishipkins @AndrewLittleMP
@grantrobertson1
@DavidParkerMP https://t.co/G7jd1UR90f",melulater,Waikato New Zealand,36,8,2,0,Teacher. Education & rural policy. Literally herds cats. Politics junky on Left. Karaoke Queen & 🎤 hogger. #MoolooOleOleOle! #ChiefsMana #ABs #WaiBOPMagic,5375,['Covid19'],covid19 act leader david seymour calls for testing as alternative for unvaxxed teachers health workers absolutely not this govt should not flip flop on this its a matter of public health,"['covid19', 'act', 'leader', 'david', 'seymour', 'calls', 'for', 'testing', 'as', 'alternative', 'for', 'unvaxxed', 'teachers', 'health', 'workers', 'absolutely', 'not', 'this', 'govt', 'should', 'not', 'flip', 'flop', 'on', 'this', 'its', 'a', 'matter', 'of', 'public', 'health']","['covid19', 'act', 'leader', 'david', 'seymour', 'calls', 'testing', 'alternative', 'unvaxxed', 'teachers', 'health', 'workers', 'absolutely', 'govt', 'flip', 'flop', 'matter', 'public', 'health']","['covid19', 'act', 'leader', 'david', 'seymour', 'call', 'test', 'altern', 'unvax', 'teacher', 'health', 'worker', 'absolut', 'govt', 'flip', 'flop', 'matter', 'public', 'health']","['covid19', 'act', 'leader', 'david', 'seymour', 'calls', 'testing', 'alternative', 'unvaxxed', 'teachers', 'health', 'workers', 'absolutely', 'govt', 'flip', 'flop', 'matter', 'public', 'health']",1,New Zealand
2021-10-21 22:09:09+00:00,1451309609398857728,"Press gallery just informed Jacinda that there has been an earthquake. She thanked them saying they were wondering, but Grant thought it had been a string blast of wind.
Anyhow, that's the end. #Covid19 
#ThatsAllFolks https://t.co/Frbb8ScGpL",melulater,Waikato New Zealand,4,3,0,0,Teacher. Education & rural policy. Literally herds cats. Politics junky on Left. Karaoke Queen & 🎤 hogger. #MoolooOleOleOle! #ChiefsMana #ABs #WaiBOPMagic,5375,"['Covid19', 'ThatsAllFolks']",press gallery just informed jacinda that there has been an earthquake she thanked them saying they were wondering but grant thought it had been a string blast of wind anyhow thats the end covid19 thatsallfolks,"['press', 'gallery', 'just', 'informed', 'jacinda', 'that', 'there', 'has', 'been', 'an', 'earthquake', 'she', 'thanked', 'them', 'saying', 'they', 'were', 'wondering', 'but', 'grant', 'thought', 'it', 'had', 'been', 'a', 'string', 'blast', 'of', 'wind', 'anyhow', 'thats', 'the', 'end', 'covid19', 'thatsallfolks']","['press', 'gallery', 'informed', 'jacinda', 'earthquake', 'thanked', 'saying', 'wondering', 'grant', 'thought', 'string', 'blast', 'wind', 'anyhow', 'thats', 'end', 'covid19', 'thatsallfolks']","['press', 'galleri', 'inform', 'jacinda', 'earthquak', 'thank', 'say', 'wonder', 'grant', 'thought', 'string', 'blast', 'wind', 'anyhow', 'that', 'end', 'covid19', 'thatsallfolk']","['press', 'gallery', 'informed', 'jacinda', 'earthquake', 'thanked', 'saying', 'wondering', 'grant', 'thought', 'string', 'blast', 'wind', 'anyhow', 'thats', 'end', 'covid19', 'thatsallfolks']",1,New Zealand
2021-10-21 21:23:27+00:00,1451298106922860544,"Increase of the income limits to support low income workers to get support from MSD.
More detail on this article because I can't keep up with detail. #Covid19 
Cash grants on way for those hardest hit by Covid-19 restrictions https://t.co/bU8dAzGitN",melulater,Waikato New Zealand,9,1,3,0,Teacher. Education & rural policy. Literally herds cats. Politics junky on Left. Karaoke Queen & 🎤 hogger. #MoolooOleOleOle! #ChiefsMana #ABs #WaiBOPMagic,5375,['Covid19'],increase of the income limits to support low income workers to get support from msd more detail on this article because i cant keep up with detail covid19 cash grants on way for those hardest hit by covid19 restrictions,"['increase', 'of', 'the', 'income', 'limits', 'to', 'support', 'low', 'income', 'workers', 'to', 'get', 'support', 'from', 'msd', 'more', 'detail', 'on', 'this', 'article', 'because', 'i', 'cant', 'keep', 'up', 'with', 'detail', 'covid19', 'cash', 'grants', 'on', 'way', 'for', 'those', 'hardest', 'hit', 'by', 'covid19', 'restrictions']","['increase', 'income', 'limits', 'support', 'low', 'income', 'workers', 'get', 'support', 'msd', 'detail', 'article', 'cant', 'keep', 'detail', 'covid19', 'cash', 'grants', 'way', 'hardest', 'hit', 'covid19', 'restrictions']","['increas', 'incom', 'limit', 'support', 'low', 'incom', 'worker', 'get', 'support', 'msd', 'detail', 'articl', 'cant', 'keep', 'detail', 'covid19', 'cash', 'grant', 'way', 'hardest', 'hit', 'covid19', 'restrict']","['increase', 'income', 'limits', 'support', 'low', 'income', 'workers', 'get', 'support', 'msd', 'detail', 'article', 'cant', 'keep', 'detail', 'covid19', 'cash', 'grants', 'way', 'hardest', 'hit', 'covid19', 'restrictions']",1,New Zealand
2021-10-21 21:20:30+00:00,1451297366682652678,Grants for business advice and mental health support. This fund has been requested by businesses and worked well in 2020. The mental health support rollout will be co-designed with EMA and Auckland business.  #Covid19,melulater,Waikato New Zealand,6,1,1,0,Teacher. Education & rural policy. Literally herds cats. Politics junky on Left. Karaoke Queen & 🎤 hogger. #MoolooOleOleOle! #ChiefsMana #ABs #WaiBOPMagic,5375,['Covid19'],grants for business advice and mental health support this fund has been requested by businesses and worked well in 2020 the mental health support rollout will be codesigned with ema and auckland business covid19,"['grants', 'for', 'business', 'advice', 'and', 'mental', 'health', 'support', 'this', 'fund', 'has', 'been', 'requested', 'by', 'businesses', 'and', 'worked', 'well', 'in', '2020', 'the', 'mental', 'health', 'support', 'rollout', 'will', 'be', 'codesigned', 'with', 'ema', 'and', 'auckland', 'business', 'covid19']","['grants', 'business', 'advice', 'mental', 'health', 'support', 'fund', 'requested', 'businesses', 'worked', 'well', '2020', 'mental', 'health', 'support', 'rollout', 'codesigned', 'ema', 'auckland', 'business', 'covid19']","['grant', 'busi', 'advic', 'mental', 'health', 'support', 'fund', 'request', 'busi', 'work', 'well', '2020', 'mental', 'health', 'support', 'rollout', 'codesign', 'ema', 'auckland', 'busi', 'covid19']","['grants', 'business', 'advice', 'mental', 'health', 'support', 'fund', 'requested', 'businesses', 'worked', 'well', '2020', 'mental', 'health', 'support', 'rollout', 'codesigned', 'ema', 'auckland', 'business', 'covid19']",5,New Zealand
2021-10-21 00:11:19+00:00,1450977965123117064,I've missed the beginning of the Grant and Ashley Show sorry.  So no live tweeting today.  Work is taking priority. #Covid19,melulater,Waikato New Zealand,17,1,1,0,Teacher. Education & rural policy. Literally herds cats. Politics junky on Left. Karaoke Queen & 🎤 hogger. #MoolooOleOleOle! #ChiefsMana #ABs #WaiBOPMagic,5375,['Covid19'],ive missed the beginning of the grant and ashley show sorry so no live tweeting today work is taking priority covid19,"['ive', 'missed', 'the', 'beginning', 'of', 'the', 'grant', 'and', 'ashley', 'show', 'sorry', 'so', 'no', 'live', 'tweeting', 'today', 'work', 'is', 'taking', 'priority', 'covid19']","['ive', 'missed', 'beginning', 'grant', 'ashley', 'show', 'sorry', 'live', 'tweeting', 'today', 'work', 'taking', 'priority', 'covid19']","['ive', 'miss', 'begin', 'grant', 'ashley', 'show', 'sorri', 'live', 'tweet', 'today', 'work', 'take', 'prioriti', 'covid19']","['ive', 'missed', 'beginning', 'grant', 'ashley', 'show', 'sorry', 'live', 'tweeting', 'today', 'work', 'taking', 'priority', 'covid19']",1,New Zealand
