Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-05 11:03:23+00:00,1533404110753566722,"Happy birthday Eagle...You're an amazing person.. I'm super proud of you. We appreciate you and celebrate you always. May God continue to grant you divine wisdom and bless you immensely🙏.
@IamNankpak @GozieEkweozor @BBI4PYO2023 @OBADIAHLIVINGST https://t.co/DIiKRPhXh7",SimputMusa,"Jos, Nigeria",2,0,1,0,"/A sociologist/ 
/Media Freelancer/
/Gifted in humility/
Am a passionate person who is ready to learn and be an example for others.",1858,,happy birthday eagleyoure an amazing person im super proud of you we appreciate you and celebrate you always may god continue to grant you divine wisdom and bless you immensely,"['happy', 'birthday', 'eagleyoure', 'an', 'amazing', 'person', 'im', 'super', 'proud', 'of', 'you', 'we', 'appreciate', 'you', 'and', 'celebrate', 'you', 'always', 'may', 'god', 'continue', 'to', 'grant', 'you', 'divine', 'wisdom', 'and', 'bless', 'you', 'immensely']","['happy', 'birthday', 'eagleyoure', 'amazing', 'person', 'im', 'super', 'proud', 'appreciate', 'celebrate', 'always', 'may', 'god', 'continue', 'grant', 'divine', 'wisdom', 'bless', 'immensely']","['happi', 'birthday', 'eagleyour', 'amaz', 'person', 'im', 'super', 'proud', 'appreci', 'celebr', 'alway', 'may', 'god', 'continu', 'grant', 'divin', 'wisdom', 'bless', 'immens']","['happy', 'birthday', 'eagleyoure', 'amazing', 'person', 'im', 'super', 'proud', 'appreciate', 'celebrate', 'always', 'may', 'god', 'continue', 'grant', 'divine', 'wisdom', 'bless', 'immensely']",5,Nigeria
2022-06-04 16:25:10+00:00,1533122700310372354,"3 days Firdau prayers done...
May Allah accept our prayers and make her journey easy&amp; grant her Aljanah fridaus..
I really appreciate you all for all your financial,physical &amp; emotional support.
Jazakallah khairan 🙏🏻 https://t.co/pPlwVsGbpT",AdedamolaAkint2,"Lagos, Nigeria",60,26,6,0,"Muslimah🧕 I love good music,Beans&Bread is life,with Yoghurt. an Associate at oxfordgroupafrica.com Fav:DONJAZZY.Quidax tag..Qtreasuredee1",4324,,3 days firdau prayers done may allah accept our prayers and make her journey easyamp grant her aljanah fridaus i really appreciate you all for all your financialphysical amp emotional support jazakallah khairan,"['3', 'days', 'firdau', 'prayers', 'done', 'may', 'allah', 'accept', 'our', 'prayers', 'and', 'make', 'her', 'journey', 'easyamp', 'grant', 'her', 'aljanah', 'fridaus', 'i', 'really', 'appreciate', 'you', 'all', 'for', 'all', 'your', 'financialphysical', 'amp', 'emotional', 'support', 'jazakallah', 'khairan']","['3', 'days', 'firdau', 'prayers', 'done', 'may', 'allah', 'accept', 'prayers', 'make', 'journey', 'easyamp', 'grant', 'aljanah', 'fridaus', 'really', 'appreciate', 'financialphysical', 'amp', 'emotional', 'support', 'jazakallah', 'khairan']","['3', 'day', 'firdau', 'prayer', 'done', 'may', 'allah', 'accept', 'prayer', 'make', 'journey', 'easyamp', 'grant', 'aljanah', 'fridau', 'realli', 'appreci', 'financialphys', 'amp', 'emot', 'support', 'jazakallah', 'khairan']","['3', 'days', 'firdau', 'prayers', 'done', 'may', 'allah', 'accept', 'prayers', 'make', 'journey', 'easyamp', 'grant', 'aljanah', 'fridaus', 'really', 'appreciate', 'financialphysical', 'amp', 'emotional', 'support', 'jazakallah', 'khairan']",5,Nigeria
2022-05-31 07:52:20+00:00,1531544088625000448,"You won’t appreciate the state of being healthy until you fall sick.
Dear Allah! Grant the sick ones quick recovery 🤲🏻",2438Abu,"Ilorin, Nigeria",6,1,0,0,Ridwan/Abu Uways/Yellow our man/Adaara/Ayara/Unilorite/Data plug/....,1066,,you wont appreciate the state of being healthy until you fall sick dear allah grant the sick ones quick recovery,"['you', 'wont', 'appreciate', 'the', 'state', 'of', 'being', 'healthy', 'until', 'you', 'fall', 'sick', 'dear', 'allah', 'grant', 'the', 'sick', 'ones', 'quick', 'recovery']","['wont', 'appreciate', 'state', 'healthy', 'fall', 'sick', 'dear', 'allah', 'grant', 'sick', 'ones', 'quick', 'recovery']","['wont', 'appreci', 'state', 'healthi', 'fall', 'sick', 'dear', 'allah', 'grant', 'sick', 'one', 'quick', 'recoveri']","['wont', 'appreciate', 'state', 'healthy', 'fall', 'sick', 'dear', 'allah', 'grant', 'sick', 'ones', 'quick', 'recovery']",5,Nigeria
2022-04-15 05:54:08+00:00,1514844504007884800,"@sham_jab @ftvf_foundation @UncleMohamz @IdrisAOni1 @Abikepengpeng @ReemaKAhmed @DamiMarufah @OnifadeZainab52 @iam_sheedah @Deoola16 @Nana_Remi03 @efbee_fabrics @Tech__UK @real_temz May Almighty Allah ease your affairs as you take part in easing the affairs of the less privileged.May he perfect all your doings and grant your heart desires.Thanks for being supportive to @ftvf_foundation.We appreciate all you do,may Almighty Allah accept it as an act of ibadah",omowunmi2404,,1,0,0,0,I am myself,34,,may almighty allah ease your affairs as you take part in easing the affairs of the less privilegedmay he perfect all your doings and grant your heart desiresthanks for being supportive to appreciate all you domay almighty allah accept it as an act of ibadah,"['may', 'almighty', 'allah', 'ease', 'your', 'affairs', 'as', 'you', 'take', 'part', 'in', 'easing', 'the', 'affairs', 'of', 'the', 'less', 'privilegedmay', 'he', 'perfect', 'all', 'your', 'doings', 'and', 'grant', 'your', 'heart', 'desiresthanks', 'for', 'being', 'supportive', 'to', 'appreciate', 'all', 'you', 'domay', 'almighty', 'allah', 'accept', 'it', 'as', 'an', 'act', 'of', 'ibadah']","['may', 'almighty', 'allah', 'ease', 'affairs', 'take', 'part', 'easing', 'affairs', 'less', 'privilegedmay', 'perfect', 'doings', 'grant', 'heart', 'desiresthanks', 'supportive', 'appreciate', 'domay', 'almighty', 'allah', 'accept', 'act', 'ibadah']","['may', 'almighti', 'allah', 'eas', 'affair', 'take', 'part', 'eas', 'affair', 'less', 'privilegedmay', 'perfect', 'do', 'grant', 'heart', 'desiresthank', 'support', 'appreci', 'domay', 'almighti', 'allah', 'accept', 'act', 'ibadah']","['may', 'almighty', 'allah', 'ease', 'affairs', 'take', 'part', 'easing', 'affairs', 'less', 'privilegedmay', 'perfect', 'doings', 'grant', 'heart', 'desiresthanks', 'supportive', 'appreciate', 'domay', 'almighty', 'allah', 'accept', 'act', 'ibadah']",5,Nigeria
2022-03-07 07:55:02+00:00,1500741800071507970,"There's so much to appreciate about life. Every single day make a big point of inhaling the air you still can breath and noticing how lucky you are.... However things are, you should never take being alive for granted!",sirlongz,jos,7,0,2,0,Certified National Accountant| Happy Man|Fresh and fly... balling!!,567,,theres so much to appreciate about life every single day make a big point of inhaling the air you still can breath and noticing how lucky you are however things are you should never take being alive for granted,"['theres', 'so', 'much', 'to', 'appreciate', 'about', 'life', 'every', 'single', 'day', 'make', 'a', 'big', 'point', 'of', 'inhaling', 'the', 'air', 'you', 'still', 'can', 'breath', 'and', 'noticing', 'how', 'lucky', 'you', 'are', 'however', 'things', 'are', 'you', 'should', 'never', 'take', 'being', 'alive', 'for', 'granted']","['theres', 'much', 'appreciate', 'life', 'every', 'single', 'day', 'make', 'big', 'point', 'inhaling', 'air', 'still', 'breath', 'noticing', 'lucky', 'however', 'things', 'never', 'take', 'alive', 'granted']","['there', 'much', 'appreci', 'life', 'everi', 'singl', 'day', 'make', 'big', 'point', 'inhal', 'air', 'still', 'breath', 'notic', 'lucki', 'howev', 'thing', 'never', 'take', 'aliv', 'grant']","['theres', 'much', 'appreciate', 'life', 'every', 'single', 'day', 'make', 'big', 'point', 'inhaling', 'air', 'still', 'breath', 'noticing', 'lucky', 'however', 'things', 'never', 'take', 'alive', 'granted']",4,Nigeria
2022-02-06 08:41:20+00:00,1490244204626432002,"UPDATE ON THE AMOUNT SO FAR!
We dont take your support for granted. We appreciate you all. May God reward you all abundantly and never allow this kind of health challenge happen to you or your family members. Ameen. So please lets keep sharing and RTing. Thanks https://t.co/bjVqzYrjlm",Faypumping,Cave Soliloq ,0,0,2,0,"| BSc.Anatomy, MPH, PhD P-Health (Health Policy &Mangt)(Inview)| Activism| Politics| H.Systems Research/Waterpipe T. Smoking/#YouthNCDs/Evidence to Policy/#AFC/",5044,,update on the amount so far we dont take your support for granted we appreciate you all may god reward you all abundantly and never allow this kind of health challenge happen to you or your family members ameen so please lets keep sharing and rting thanks,"['update', 'on', 'the', 'amount', 'so', 'far', 'we', 'dont', 'take', 'your', 'support', 'for', 'granted', 'we', 'appreciate', 'you', 'all', 'may', 'god', 'reward', 'you', 'all', 'abundantly', 'and', 'never', 'allow', 'this', 'kind', 'of', 'health', 'challenge', 'happen', 'to', 'you', 'or', 'your', 'family', 'members', 'ameen', 'so', 'please', 'lets', 'keep', 'sharing', 'and', 'rting', 'thanks']","['update', 'amount', 'far', 'dont', 'take', 'support', 'granted', 'appreciate', 'may', 'god', 'reward', 'abundantly', 'never', 'allow', 'kind', 'health', 'challenge', 'happen', 'family', 'members', 'ameen', 'please', 'lets', 'keep', 'sharing', 'rting', 'thanks']","['updat', 'amount', 'far', 'dont', 'take', 'support', 'grant', 'appreci', 'may', 'god', 'reward', 'abundantli', 'never', 'allow', 'kind', 'health', 'challeng', 'happen', 'famili', 'member', 'ameen', 'pleas', 'let', 'keep', 'share', 'rting', 'thank']","['update', 'amount', 'far', 'dont', 'take', 'support', 'granted', 'appreciate', 'may', 'god', 'reward', 'abundantly', 'never', 'allow', 'kind', 'health', 'challenge', 'happen', 'family', 'members', 'ameen', 'please', 'lets', 'keep', 'sharing', 'rting', 'thanks']",5,Nigeria
2021-11-23 22:20:55+00:00,1463271371065204746,"I am not taking everyone’s effort for granted. I appreciate all efforts at securing Saviour’s release.

Kindly follow me and I will also follow back. Also, contact me for computerisation of accounting process, audit and accounting services, tax services and process design.",OlugbengaRita,"Lagos, Nigeria",0,0,0,0,An Accountant || Accounts/System Consultant || Sage Certified Consultant || A husband and father || A believer of Christ || A Chelsea fan.,371,,i am not taking everyones effort for granted i appreciate all efforts at securing saviours release kindly follow me and i will also follow back also contact me for computerisation of accounting process audit and accounting services tax services and process design,"['i', 'am', 'not', 'taking', 'everyones', 'effort', 'for', 'granted', 'i', 'appreciate', 'all', 'efforts', 'at', 'securing', 'saviours', 'release', 'kindly', 'follow', 'me', 'and', 'i', 'will', 'also', 'follow', 'back', 'also', 'contact', 'me', 'for', 'computerisation', 'of', 'accounting', 'process', 'audit', 'and', 'accounting', 'services', 'tax', 'services', 'and', 'process', 'design']","['taking', 'everyones', 'effort', 'granted', 'appreciate', 'efforts', 'securing', 'saviours', 'release', 'kindly', 'follow', 'also', 'follow', 'back', 'also', 'contact', 'computerisation', 'accounting', 'process', 'audit', 'accounting', 'services', 'tax', 'services', 'process', 'design']","['take', 'everyon', 'effort', 'grant', 'appreci', 'effort', 'secur', 'saviour', 'releas', 'kindli', 'follow', 'also', 'follow', 'back', 'also', 'contact', 'computeris', 'account', 'process', 'audit', 'account', 'servic', 'tax', 'servic', 'process', 'design']","['taking', 'everyones', 'effort', 'granted', 'appreciate', 'efforts', 'securing', 'saviours', 'release', 'kindly', 'follow', 'also', 'follow', 'back', 'also', 'contact', 'computerisation', 'accounting', 'process', 'audit', 'accounting', 'services', 'tax', 'services', 'process', 'design']",5,Nigeria
2021-06-17 08:48:21+00:00,1405447209387270146,"It's easy to overlook the men in our lives, to take their sacrifices and efforts for granted. This year we urge you to be more intentional about appreciating them and encouraging our children to appreciate them. For the coffee loving dad and brew geeks. Happy Coffee got you! https://t.co/9wmjWvetQY",HappyCoffeeN,"Lagos, Nigeria",1,0,0,0,"Nigeria's🇳🇬  Foremost Coffee Brand
- Shop your favorite Happy Coffee Products @ happycoffeenigeria.disha.page
☎: +2347036456522 | +2347083872632",475,,its easy to overlook the men in our lives to take their sacrifices and efforts for granted this year we urge you to be more intentional about appreciating them and encouraging our children to appreciate them for the coffee loving dad and brew geeks happy coffee got you,"['its', 'easy', 'to', 'overlook', 'the', 'men', 'in', 'our', 'lives', 'to', 'take', 'their', 'sacrifices', 'and', 'efforts', 'for', 'granted', 'this', 'year', 'we', 'urge', 'you', 'to', 'be', 'more', 'intentional', 'about', 'appreciating', 'them', 'and', 'encouraging', 'our', 'children', 'to', 'appreciate', 'them', 'for', 'the', 'coffee', 'loving', 'dad', 'and', 'brew', 'geeks', 'happy', 'coffee', 'got', 'you']","['easy', 'overlook', 'men', 'lives', 'take', 'sacrifices', 'efforts', 'granted', 'year', 'urge', 'intentional', 'appreciating', 'encouraging', 'children', 'appreciate', 'coffee', 'loving', 'dad', 'brew', 'geeks', 'happy', 'coffee', 'got']","['easi', 'overlook', 'men', 'live', 'take', 'sacrific', 'effort', 'grant', 'year', 'urg', 'intent', 'appreci', 'encourag', 'children', 'appreci', 'coffe', 'love', 'dad', 'brew', 'geek', 'happi', 'coffe', 'got']","['easy', 'overlook', 'men', 'lives', 'take', 'sacrifices', 'efforts', 'granted', 'year', 'urge', 'intentional', 'appreciating', 'encouraging', 'children', 'appreciate', 'coffee', 'loving', 'dad', 'brew', 'geeks', 'happy', 'coffee', 'got']",5,Nigeria
2021-06-14 13:41:53+00:00,1404433914878435329,"Stop taking people for granted so you won't be limited ☺️☺️☺️
#always appreciate @ Victoria Island, Lagos https://t.co/AWTAqtFLaB",isidblack,Lagos Nigeria,0,0,0,0,"I'm a musician, performing art.. songs writer, booking www. idblackuko@gmail.com, Listen to MUMMY (PROD. LAZZHEBR)
https://soundcloud",506,['always'],stop taking people for granted so you wont be limited always appreciate victoria island lagos,"['stop', 'taking', 'people', 'for', 'granted', 'so', 'you', 'wont', 'be', 'limited', 'always', 'appreciate', 'victoria', 'island', 'lagos']","['stop', 'taking', 'people', 'granted', 'wont', 'limited', 'always', 'appreciate', 'victoria', 'island', 'lagos']","['stop', 'take', 'peopl', 'grant', 'wont', 'limit', 'alway', 'appreci', 'victoria', 'island', 'lago']","['stop', 'taking', 'people', 'granted', 'wont', 'limited', 'always', 'appreciate', 'victoria', 'island', 'lagos']",5,Nigeria
2021-05-10 19:57:46+00:00,1391844934819385345,"Assalamu Alaikum

We want to use this moment to appreciate all those that contributed in one way or the other in respect to Abdullahi Amadu.

We cannot thank you enough. We pray you never lack in wealth and health.

May Allah grant you all your wishes today and always.

Thank you",Jigawa_Connect,"Jigawa State, Nigeria",33,1,11,0,"jigawatwitter@gmail.com | Retweets are to start discussions, not endorsement of views.|

#JigawaTwitterConnect",9953,,assalamu alaikum we want to use this moment to appreciate all those that contributed in one way or the other in respect to abdullahi amadu we cannot thank you enough we pray you never lack in wealth and health may allah grant you all your wishes today and always thank you,"['assalamu', 'alaikum', 'we', 'want', 'to', 'use', 'this', 'moment', 'to', 'appreciate', 'all', 'those', 'that', 'contributed', 'in', 'one', 'way', 'or', 'the', 'other', 'in', 'respect', 'to', 'abdullahi', 'amadu', 'we', 'cannot', 'thank', 'you', 'enough', 'we', 'pray', 'you', 'never', 'lack', 'in', 'wealth', 'and', 'health', 'may', 'allah', 'grant', 'you', 'all', 'your', 'wishes', 'today', 'and', 'always', 'thank', 'you']","['assalamu', 'alaikum', 'want', 'use', 'moment', 'appreciate', 'contributed', 'one', 'way', 'respect', 'abdullahi', 'amadu', 'cannot', 'thank', 'enough', 'pray', 'never', 'lack', 'wealth', 'health', 'may', 'allah', 'grant', 'wishes', 'today', 'always', 'thank']","['assalamu', 'alaikum', 'want', 'use', 'moment', 'appreci', 'contribut', 'one', 'way', 'respect', 'abdullahi', 'amadu', 'cannot', 'thank', 'enough', 'pray', 'never', 'lack', 'wealth', 'health', 'may', 'allah', 'grant', 'wish', 'today', 'alway', 'thank']","['assalamu', 'alaikum', 'want', 'use', 'moment', 'appreciate', 'contributed', 'one', 'way', 'respect', 'abdullahi', 'amadu', 'cannot', 'thank', 'enough', 'pray', 'never', 'lack', 'wealth', 'health', 'may', 'allah', 'grant', 'wishes', 'today', 'always', 'thank']",5,Nigeria
