Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2020-10-13 08:26:19+00:00,1315931864092356608,"As of now we have a shortfall of K100,000.00
We appreciate for the support being rendered to us and we will keep you posted on the progress of the project.

All donations, be in cash or kind, can be channeled to the following parish account https://t.co/Z2cTC7Eght",Noph_19,"Blantyre, Malawi.",0,1,1,0,"An Anglican Priest, vicar of Linjidzi Parish at Lirangwe in the Diocese of Southern Malawi. Arsenal and Bullets fan.",481,,as of now we have a shortfall of k10000000 we appreciate for the support being rendered to us and we will keep you posted on the progress of the project all donations be in cash or kind can be channeled to the following parish account,"['as', 'of', 'now', 'we', 'have', 'a', 'shortfall', 'of', 'k10000000', 'we', 'appreciate', 'for', 'the', 'support', 'being', 'rendered', 'to', 'us', 'and', 'we', 'will', 'keep', 'you', 'posted', 'on', 'the', 'progress', 'of', 'the', 'project', 'all', 'donations', 'be', 'in', 'cash', 'or', 'kind', 'can', 'be', 'channeled', 'to', 'the', 'following', 'parish', 'account']","['shortfall', 'k10000000', 'appreciate', 'support', 'rendered', 'us', 'keep', 'posted', 'progress', 'project', 'donations', 'cash', 'kind', 'channeled', 'following', 'parish', 'account']","['shortfal', 'k10000000', 'appreci', 'support', 'render', 'us', 'keep', 'post', 'progress', 'project', 'donat', 'cash', 'kind', 'channel', 'follow', 'parish', 'account']","['shortfall', 'k10000000', 'appreciate', 'support', 'rendered', 'us', 'keep', 'posted', 'progress', 'project', 'donations', 'cash', 'kind', 'channeled', 'following', 'parish', 'account']",4,Zambia
2020-04-29 21:27:37+00:00,1255609710444765184,"IRRESPONSIBLE MARKETING OF UNHEALTHY FOOD TO CHILDREN by #TradeKingsZambia. We appreciate the #COVID__19 donations but @mohzambia has to enforce the #FoodandDrugAct2019 &amp; put a stop to this. #NCDs claim 1 in every 3deaths.
@NFNCZambia @SUNCSN @DfidZambia @hivosrosa @unicefzambia https://t.co/zfBA2b6su4",MhuruMathews,"Lusaka, Zambia",8,1,5,1,Global Development| Food System and Nutrition Advocate| Right to Food Champion| Climate Action| Public Policy| ESA Chr| SUN Executive Committee Member| my views,1080,"['TradeKingsZambia', 'COVID__19', 'FoodandDrugAct2019', 'NCDs']",irresponsible marketing of unhealthy food to children by tradekingszambia we appreciate the covid19 donations but has to enforce the foodanddrugact2019 amp put a stop to this ncds claim 1 in every 3deaths,"['irresponsible', 'marketing', 'of', 'unhealthy', 'food', 'to', 'children', 'by', 'tradekingszambia', 'we', 'appreciate', 'the', 'covid19', 'donations', 'but', 'has', 'to', 'enforce', 'the', 'foodanddrugact2019', 'amp', 'put', 'a', 'stop', 'to', 'this', 'ncds', 'claim', '1', 'in', 'every', '3deaths']","['irresponsible', 'marketing', 'unhealthy', 'food', 'children', 'tradekingszambia', 'appreciate', 'covid19', 'donations', 'enforce', 'foodanddrugact2019', 'amp', 'put', 'stop', 'ncds', 'claim', '1', 'every', '3deaths']","['irrespons', 'market', 'unhealthi', 'food', 'children', 'tradekingszambia', 'appreci', 'covid19', 'donat', 'enforc', 'foodanddrugact2019', 'amp', 'put', 'stop', 'ncd', 'claim', '1', 'everi', '3death']","['irresponsible', 'marketing', 'unhealthy', 'food', 'children', 'tradekingszambia', 'appreciate', 'covid19', 'donations', 'enforce', 'foodanddrugact2019', 'amp', 'put', 'stop', 'ncds', 'claim', '1', 'every', '3deaths']",1,Zambia
2021-05-30 04:09:05+00:00,1398853949122400256,@MommyScientist @sunshinechi1 That is why we need transparency in all donations to political parties including putting a cap on how much should be given. We can not expect those who have spent billions on campaign to just sit after they are elected...they will want to recover the money,bwantu,on earth,0,1,0,0,The first forty years of life give us the text; the next thirty supply the commentary on it.~ Arthur Schopenhauer,3638,,that is why we need transparency in all donations to political parties including putting a cap on how much should be given we can not expect those who have spent billions on campaign to just sit after they are electedthey will want to recover the money,"['that', 'is', 'why', 'we', 'need', 'transparency', 'in', 'all', 'donations', 'to', 'political', 'parties', 'including', 'putting', 'a', 'cap', 'on', 'how', 'much', 'should', 'be', 'given', 'we', 'can', 'not', 'expect', 'those', 'who', 'have', 'spent', 'billions', 'on', 'campaign', 'to', 'just', 'sit', 'after', 'they', 'are', 'electedthey', 'will', 'want', 'to', 'recover', 'the', 'money']","['need', 'transparency', 'donations', 'political', 'parties', 'including', 'putting', 'cap', 'much', 'given', 'expect', 'spent', 'billions', 'campaign', 'sit', 'electedthey', 'want', 'recover', 'money']","['need', 'transpar', 'donat', 'polit', 'parti', 'includ', 'put', 'cap', 'much', 'given', 'expect', 'spent', 'billion', 'campaign', 'sit', 'electedthey', 'want', 'recov', 'money']","['need', 'transparency', 'donations', 'political', 'parties', 'including', 'putting', 'cap', 'much', 'given', 'expect', 'spent', 'billions', 'campaign', 'sit', 'electedthey', 'want', 'recover', 'money']",1,Zambia
2021-04-17 22:23:17+00:00,1383546636438106130,"Youth alliance Zambia - Livingstone branch wishes to inform you that the group will be taking part in the fundraising/donation campaign  towards the upcoming menstrual day on 28th of May 2021 which aims at ending period poverty.
Our target is to donate 500+ pads to the girl child https://t.co/xJYRIa3LBK",c_kaulu,Livingstone,0,2,0,0,"presenter and producer
Health personal
Youth activist
inspiration and motivation speaker
@Mr PeaceMaker",739,,youth alliance zambia livingstone branch wishes to inform you that the group will be taking part in the fundraisingdonation campaign towards the upcoming menstrual day on 28th of may 2021 which aims at ending period poverty our target is to donate 500 pads to the girl child,"['youth', 'alliance', 'zambia', 'livingstone', 'branch', 'wishes', 'to', 'inform', 'you', 'that', 'the', 'group', 'will', 'be', 'taking', 'part', 'in', 'the', 'fundraisingdonation', 'campaign', 'towards', 'the', 'upcoming', 'menstrual', 'day', 'on', '28th', 'of', 'may', '2021', 'which', 'aims', 'at', 'ending', 'period', 'poverty', 'our', 'target', 'is', 'to', 'donate', '500', 'pads', 'to', 'the', 'girl', 'child']","['youth', 'alliance', 'zambia', 'livingstone', 'branch', 'wishes', 'inform', 'group', 'taking', 'part', 'fundraisingdonation', 'campaign', 'towards', 'upcoming', 'menstrual', 'day', '28th', 'may', '2021', 'aims', 'ending', 'period', 'poverty', 'target', 'donate', '500', 'pads', 'girl', 'child']","['youth', 'allianc', 'zambia', 'livingston', 'branch', 'wish', 'inform', 'group', 'take', 'part', 'fundraisingdon', 'campaign', 'toward', 'upcom', 'menstrual', 'day', '28th', 'may', '2021', 'aim', 'end', 'period', 'poverti', 'target', 'donat', '500', 'pad', 'girl', 'child']","['youth', 'alliance', 'zambia', 'livingstone', 'branch', 'wishes', 'inform', 'group', 'taking', 'part', 'fundraisingdonation', 'campaign', 'towards', 'upcoming', 'menstrual', 'day', '28th', 'may', '2021', 'aims', 'ending', 'period', 'poverty', 'target', 'donate', '500', 'pads', 'girl', 'child']",4,Zambia
2021-11-25 13:21:50+00:00,1463860479634329610,iMoSyS + EthCo at SADC industrialization week. Both companies received Joint Action SIPS grant to up scale the manufacturing of high-quality and affordable COVID-19-relevant medical and pharmaceutical products. https://t.co/F2wjxrQefk,MayaNkoloma,Malawi,52,3,6,1,I like building technological solutions with an aim of solving challenges and make life better • CEO - iMoSyS • Telecommunication Lecturer,1907,,imosys ethco at sadc industrialization week both companies received joint action sips grant to up scale the manufacturing of highquality and affordable covid19relevant medical and pharmaceutical products,"['imosys', 'ethco', 'at', 'sadc', 'industrialization', 'week', 'both', 'companies', 'received', 'joint', 'action', 'sips', 'grant', 'to', 'up', 'scale', 'the', 'manufacturing', 'of', 'highquality', 'and', 'affordable', 'covid19relevant', 'medical', 'and', 'pharmaceutical', 'products']","['imosys', 'ethco', 'sadc', 'industrialization', 'week', 'companies', 'received', 'joint', 'action', 'sips', 'grant', 'scale', 'manufacturing', 'highquality', 'affordable', 'covid19relevant', 'medical', 'pharmaceutical', 'products']","['imosi', 'ethco', 'sadc', 'industri', 'week', 'compani', 'receiv', 'joint', 'action', 'sip', 'grant', 'scale', 'manufactur', 'highqual', 'afford', 'covid19relev', 'medic', 'pharmaceut', 'product']","['imosys', 'ethco', 'sadc', 'industrialization', 'week', 'companies', 'received', 'joint', 'action', 'sips', 'grant', 'scale', 'manufacturing', 'highquality', 'affordable', 'covid19relevant', 'medical', 'pharmaceutical', 'products']",4,Zambia
2021-07-19 13:55:11+00:00,1417120839019937796,"DCT with funding from USAID through FHI360 aids 10 district councils in Malawi to create demand for COVID-19 vaccine through a donation of megaphones and horns worth MK1.8 million kwacha
#TwitterMalawi
#COVAX
#COVID19Vaccine https://t.co/d79uf8mx7S",DCT_MW,Blantyre Malawi,3,2,2,0,A local NGO specializing in participatory communication approaches to Development using the Rights Based Framework to empower marginalised citizens,31,"['TwitterMalawi', 'COVAX', 'COVID19Vaccine']",dct with funding from usaid through fhi360 aids 10 district councils in malawi to create demand for covid19 vaccine through a donation of megaphones and horns worth mk18 million kwacha twittermalawi covax covid19vaccine,"['dct', 'with', 'funding', 'from', 'usaid', 'through', 'fhi360', 'aids', '10', 'district', 'councils', 'in', 'malawi', 'to', 'create', 'demand', 'for', 'covid19', 'vaccine', 'through', 'a', 'donation', 'of', 'megaphones', 'and', 'horns', 'worth', 'mk18', 'million', 'kwacha', 'twittermalawi', 'covax', 'covid19vaccine']","['dct', 'funding', 'usaid', 'fhi360', 'aids', '10', 'district', 'councils', 'malawi', 'create', 'demand', 'covid19', 'vaccine', 'donation', 'megaphones', 'horns', 'worth', 'mk18', 'million', 'kwacha', 'twittermalawi', 'covax', 'covid19vaccine']","['dct', 'fund', 'usaid', 'fhi360', 'aid', '10', 'district', 'council', 'malawi', 'creat', 'demand', 'covid19', 'vaccin', 'donat', 'megaphon', 'horn', 'worth', 'mk18', 'million', 'kwacha', 'twittermalawi', 'covax', 'covid19vaccin']","['dct', 'funding', 'usaid', 'fhi360', 'aids', '10', 'district', 'councils', 'malawi', 'create', 'demand', 'covid19', 'vaccine', 'donation', 'megaphones', 'horns', 'worth', 'mk18', 'million', 'kwacha', 'twittermalawi', 'covax', 'covid19vaccine']",1,Zambia
2021-01-09 10:29:01+00:00,1347852874236223489,"@FMwenge Granted, #Covid19 has a lot of dark sides: morbidity and mortality, loss of income, overloaded healthcare system etc. No matter how serious &amp; sad all of this is, there's silver linings. As the song “Always look on the bright side of life”, let’s make the best of what the crisis.",Chaingaz,Earth,0,1,1,0,"Mwala umene amisiri omanga nyumba anawukana, wasanduka wapangodya. - Masalimo 118:22",3699,['Covid19'],granted covid19 has a lot of dark sides morbidity and mortality loss of income overloaded healthcare system etc no matter how serious amp sad all of this is theres silver linings as the song always look on the bright side of life lets make the best of what the crisis,"['granted', 'covid19', 'has', 'a', 'lot', 'of', 'dark', 'sides', 'morbidity', 'and', 'mortality', 'loss', 'of', 'income', 'overloaded', 'healthcare', 'system', 'etc', 'no', 'matter', 'how', 'serious', 'amp', 'sad', 'all', 'of', 'this', 'is', 'theres', 'silver', 'linings', 'as', 'the', 'song', 'always', 'look', 'on', 'the', 'bright', 'side', 'of', 'life', 'lets', 'make', 'the', 'best', 'of', 'what', 'the', 'crisis']","['granted', 'covid19', 'lot', 'dark', 'sides', 'morbidity', 'mortality', 'loss', 'income', 'overloaded', 'healthcare', 'system', 'etc', 'matter', 'serious', 'amp', 'sad', 'theres', 'silver', 'linings', 'song', 'always', 'look', 'bright', 'side', 'life', 'lets', 'make', 'best', 'crisis']","['grant', 'covid19', 'lot', 'dark', 'side', 'morbid', 'mortal', 'loss', 'incom', 'overload', 'healthcar', 'system', 'etc', 'matter', 'seriou', 'amp', 'sad', 'there', 'silver', 'line', 'song', 'alway', 'look', 'bright', 'side', 'life', 'let', 'make', 'best', 'crisi']","['granted', 'covid19', 'lot', 'dark', 'sides', 'morbidity', 'mortality', 'loss', 'income', 'overloaded', 'healthcare', 'system', 'etc', 'matter', 'serious', 'amp', 'sad', 'theres', 'silver', 'linings', 'song', 'always', 'look', 'bright', 'side', 'life', 'lets', 'make', 'best', 'crisis']",2,Zambia
2020-10-03 20:31:46+00:00,1312490547437690880,"For all #children, a healthy start. 💖

#cmmb #southsudan #zambia #kenya #haiti #peru #catholic #nonprofit #charity #health #healthykids #healthybaby #globalhealth #healthier #loveistheway #loveconquersall #missionary #humanitarian #maternalhealth #newmom #COVID19 #TrumpCovid https://t.co/tCu2PkNEHC",CMMBTweets,Worldwide,2,0,0,0,"We believe in a world where every human life is valued, and health and human dignity are shared by all. #HealthierLivesWorldwide",41883,"['children', 'cmmb', 'southsudan', 'zambia', 'kenya', 'haiti', 'peru', 'catholic', 'nonprofit', 'charity', 'health', 'healthykids', 'healthybaby', 'globalhealth', 'healthier', 'loveistheway', 'loveconquersall', 'missionary', 'humanitarian', 'maternalhealth', 'newmom', 'COVID19', 'TrumpCovid']",for all children a healthy start cmmb southsudan zambia kenya haiti peru catholic nonprofit charity health healthykids healthybaby globalhealth healthier loveistheway loveconquersall missionary humanitarian maternalhealth newmom covid19 trumpcovid,"['for', 'all', 'children', 'a', 'healthy', 'start', 'cmmb', 'southsudan', 'zambia', 'kenya', 'haiti', 'peru', 'catholic', 'nonprofit', 'charity', 'health', 'healthykids', 'healthybaby', 'globalhealth', 'healthier', 'loveistheway', 'loveconquersall', 'missionary', 'humanitarian', 'maternalhealth', 'newmom', 'covid19', 'trumpcovid']","['children', 'healthy', 'start', 'cmmb', 'southsudan', 'zambia', 'kenya', 'haiti', 'peru', 'catholic', 'nonprofit', 'charity', 'health', 'healthykids', 'healthybaby', 'globalhealth', 'healthier', 'loveistheway', 'loveconquersall', 'missionary', 'humanitarian', 'maternalhealth', 'newmom', 'covid19', 'trumpcovid']","['children', 'healthi', 'start', 'cmmb', 'southsudan', 'zambia', 'kenya', 'haiti', 'peru', 'cathol', 'nonprofit', 'chariti', 'health', 'healthykid', 'healthybabi', 'globalhealth', 'healthier', 'loveistheway', 'loveconquersal', 'missionari', 'humanitarian', 'maternalhealth', 'newmom', 'covid19', 'trumpcovid']","['children', 'healthy', 'start', 'cmmb', 'southsudan', 'zambia', 'kenya', 'haiti', 'peru', 'catholic', 'nonprofit', 'charity', 'health', 'healthykids', 'healthybaby', 'globalhealth', 'healthier', 'loveistheway', 'loveconquersall', 'missionary', 'humanitarian', 'maternalhealth', 'newmom', 'covid19', 'trumpcovid']",5,Zambia
2020-08-13 19:08:31+00:00,1293987817211621376,"MyAngelMyPride (MAMP), a local charity organisation supported solely by Malawians to support Frontline COVID-19 health workers, have started renovating the KCH health workers bathrooms.… https://t.co/StspTimsiV",WaazilenZileni,Malawi,0,0,0,0,Male,346,,myangelmypride mamp a local charity organisation supported solely by malawians to support frontline covid19 health workers have started renovating the kch health workers bathrooms,"['myangelmypride', 'mamp', 'a', 'local', 'charity', 'organisation', 'supported', 'solely', 'by', 'malawians', 'to', 'support', 'frontline', 'covid19', 'health', 'workers', 'have', 'started', 'renovating', 'the', 'kch', 'health', 'workers', 'bathrooms']","['myangelmypride', 'mamp', 'local', 'charity', 'organisation', 'supported', 'solely', 'malawians', 'support', 'frontline', 'covid19', 'health', 'workers', 'started', 'renovating', 'kch', 'health', 'workers', 'bathrooms']","['myangelmyprid', 'mamp', 'local', 'chariti', 'organis', 'support', 'sole', 'malawian', 'support', 'frontlin', 'covid19', 'health', 'worker', 'start', 'renov', 'kch', 'health', 'worker', 'bathroom']","['myangelmypride', 'mamp', 'local', 'charity', 'organisation', 'supported', 'solely', 'malawians', 'support', 'frontline', 'covid19', 'health', 'workers', 'started', 'renovating', 'kch', 'health', 'workers', 'bathrooms']",5,Zambia
2020-08-01 13:05:59+00:00,1289547929032646658,"Beautiful day today. We went to KCH to show solidarity with the COVID-19 Frontline Health workers ..With love from the local charity, MyAngeMyPride! @ Kamuzu Central Hospital https://t.co/7QhCV23JDV",WaazilenZileni,Malawi,1,0,0,0,Male,346,,beautiful day today we went to kch to show solidarity with the covid19 frontline health workers with love from the local charity myangemypride kamuzu central hospital,"['beautiful', 'day', 'today', 'we', 'went', 'to', 'kch', 'to', 'show', 'solidarity', 'with', 'the', 'covid19', 'frontline', 'health', 'workers', 'with', 'love', 'from', 'the', 'local', 'charity', 'myangemypride', 'kamuzu', 'central', 'hospital']","['beautiful', 'day', 'today', 'went', 'kch', 'show', 'solidarity', 'covid19', 'frontline', 'health', 'workers', 'love', 'local', 'charity', 'myangemypride', 'kamuzu', 'central', 'hospital']","['beauti', 'day', 'today', 'went', 'kch', 'show', 'solidar', 'covid19', 'frontlin', 'health', 'worker', 'love', 'local', 'chariti', 'myangemyprid', 'kamuzu', 'central', 'hospit']","['beautiful', 'day', 'today', 'went', 'kch', 'show', 'solidarity', 'covid19', 'frontline', 'health', 'workers', 'love', 'local', 'charity', 'myangemypride', 'kamuzu', 'central', 'hospital']",5,Zambia
