Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-03 07:52:54+00:00,1532631395146706944,"GIVE THE GIFT OF LOVE!! 
Show a #lovedone how much they mean to you,
or a #coworker how much you appreciate their efforts
by presenting them with a #giftvoucher for one or more
of our #services. 
GIFT GIVING at https://t.co/fAuPu9fCbB
#blessings #heartspace #massage #healing https://t.co/irsoHUCJJC",HHeartspace,Gold Coast ,0,0,0,0,We practice the power of healing touch with conscious intention.Our practitioners are remedial qualified with extra training in ka huna bodywork & lomilomi.,5,"['lovedone', 'coworker', 'giftvoucher', 'services', 'blessings', 'heartspace', 'massage', 'healing']",give the gift of love show a lovedone how much they mean to you or a coworker how much you appreciate their efforts by presenting them with a giftvoucher for one or more of our services gift giving at blessings heartspace massage healing,"['give', 'the', 'gift', 'of', 'love', 'show', 'a', 'lovedone', 'how', 'much', 'they', 'mean', 'to', 'you', 'or', 'a', 'coworker', 'how', 'much', 'you', 'appreciate', 'their', 'efforts', 'by', 'presenting', 'them', 'with', 'a', 'giftvoucher', 'for', 'one', 'or', 'more', 'of', 'our', 'services', 'gift', 'giving', 'at', 'blessings', 'heartspace', 'massage', 'healing']","['give', 'gift', 'love', 'show', 'lovedone', 'much', 'mean', 'coworker', 'much', 'appreciate', 'efforts', 'presenting', 'giftvoucher', 'one', 'services', 'gift', 'giving', 'blessings', 'heartspace', 'massage', 'healing']","['give', 'gift', 'love', 'show', 'lovedon', 'much', 'mean', 'cowork', 'much', 'appreci', 'effort', 'present', 'giftvouch', 'one', 'servic', 'gift', 'give', 'bless', 'heartspac', 'massag', 'heal']","['give', 'gift', 'love', 'show', 'lovedone', 'much', 'mean', 'coworker', 'much', 'appreciate', 'efforts', 'presenting', 'giftvoucher', 'one', 'services', 'gift', 'giving', 'blessings', 'heartspace', 'massage', 'healing']",5,Australia
2022-05-30 06:17:03+00:00,1531157724259667968,"I appreciate everyone's kind wishes &amp; support. Looking forward to being home with mum. Trying to navigate not being able to work, the PhD, finding a way home, preparing for an operation and a devastating mental health response. 

Life is a gift. Leave a legacy. Fuck shit up.",PhDPhotographer,,31,3,0,1,PhD Candidate.The Sex Worker As Image-Maker.  Feminist Visual Culture Researcher & Academic. Former Prostitute. Raped & Pimped by a teacher in the 1990s #MeToo,6584,,i appreciate everyones kind wishes amp support looking forward to being home with mum trying to navigate not being able to work the phd finding a way home preparing for an operation and a devastating mental health response life is a gift leave a legacy fuck shit up,"['i', 'appreciate', 'everyones', 'kind', 'wishes', 'amp', 'support', 'looking', 'forward', 'to', 'being', 'home', 'with', 'mum', 'trying', 'to', 'navigate', 'not', 'being', 'able', 'to', 'work', 'the', 'phd', 'finding', 'a', 'way', 'home', 'preparing', 'for', 'an', 'operation', 'and', 'a', 'devastating', 'mental', 'health', 'response', 'life', 'is', 'a', 'gift', 'leave', 'a', 'legacy', 'fuck', 'shit', 'up']","['appreciate', 'everyones', 'kind', 'wishes', 'amp', 'support', 'looking', 'forward', 'home', 'mum', 'trying', 'navigate', 'able', 'work', 'phd', 'finding', 'way', 'home', 'preparing', 'operation', 'devastating', 'mental', 'health', 'response', 'life', 'gift', 'leave', 'legacy', 'fuck', 'shit']","['appreci', 'everyon', 'kind', 'wish', 'amp', 'support', 'look', 'forward', 'home', 'mum', 'tri', 'navig', 'abl', 'work', 'phd', 'find', 'way', 'home', 'prepar', 'oper', 'devast', 'mental', 'health', 'respons', 'life', 'gift', 'leav', 'legaci', 'fuck', 'shit']","['appreciate', 'everyones', 'kind', 'wishes', 'amp', 'support', 'looking', 'forward', 'home', 'mum', 'trying', 'navigate', 'able', 'work', 'phd', 'finding', 'way', 'home', 'preparing', 'operation', 'devastating', 'mental', 'health', 'response', 'life', 'gift', 'leave', 'legacy', 'fuck', 'shit']",1,Australia
2022-04-02 12:18:50+00:00,1510230274675646470,"@gemcarey @TamePunk I fully appreciate your gift. It's an insight into a world I've never lived. Hopefully it makes me a better person, husband,  parent and teacher.
May you enjoy time with your family.  Thank you",titbitadventure,"Brisbane, Queensland",0,0,0,0,"“Rats of Tobruk” started as an insult & ended up representing mateship, courage, determination, & defeating a more formidable foe. Educator + Life Long Learner",134,,i fully appreciate your gift its an insight into a world ive never lived hopefully it makes me a better person husband parent and teacher may you enjoy time with your family thank you,"['i', 'fully', 'appreciate', 'your', 'gift', 'its', 'an', 'insight', 'into', 'a', 'world', 'ive', 'never', 'lived', 'hopefully', 'it', 'makes', 'me', 'a', 'better', 'person', 'husband', 'parent', 'and', 'teacher', 'may', 'you', 'enjoy', 'time', 'with', 'your', 'family', 'thank', 'you']","['fully', 'appreciate', 'gift', 'insight', 'world', 'ive', 'never', 'lived', 'hopefully', 'makes', 'better', 'person', 'husband', 'parent', 'teacher', 'may', 'enjoy', 'time', 'family', 'thank']","['fulli', 'appreci', 'gift', 'insight', 'world', 'ive', 'never', 'live', 'hope', 'make', 'better', 'person', 'husband', 'parent', 'teacher', 'may', 'enjoy', 'time', 'famili', 'thank']","['fully', 'appreciate', 'gift', 'insight', 'world', 'ive', 'never', 'lived', 'hopefully', 'makes', 'better', 'person', 'husband', 'parent', 'teacher', 'may', 'enjoy', 'time', 'family', 'thank']",5,Australia
2022-03-21 21:59:19+00:00,1506027701916028929,"My wife bought me this beautiful @Maton as a PhD completion gift 12 years ago.
I never imagined that the last time I played it would be the last time I would play it.
Everything we do will have a last time, and we rarely appreciate it at the time. https://t.co/Wxva5hNWgP https://t.co/egwTSez8OJ",RowdyBengsen,"NSW, Australia",39,8,0,0,"Reliable research to help people to reduce damage from overabundant mammal populations: deer, pigs, etc. Always happy to update my priors 🇦🇺",910,,my wife bought me this beautiful as a phd completion gift 12 years ago i never imagined that the last time i played it would be the last time i would play it everything we do will have a last time and we rarely appreciate it at the time,"['my', 'wife', 'bought', 'me', 'this', 'beautiful', 'as', 'a', 'phd', 'completion', 'gift', '12', 'years', 'ago', 'i', 'never', 'imagined', 'that', 'the', 'last', 'time', 'i', 'played', 'it', 'would', 'be', 'the', 'last', 'time', 'i', 'would', 'play', 'it', 'everything', 'we', 'do', 'will', 'have', 'a', 'last', 'time', 'and', 'we', 'rarely', 'appreciate', 'it', 'at', 'the', 'time']","['wife', 'bought', 'beautiful', 'phd', 'completion', 'gift', '12', 'years', 'ago', 'never', 'imagined', 'last', 'time', 'played', 'would', 'last', 'time', 'would', 'play', 'everything', 'last', 'time', 'rarely', 'appreciate', 'time']","['wife', 'bought', 'beauti', 'phd', 'complet', 'gift', '12', 'year', 'ago', 'never', 'imagin', 'last', 'time', 'play', 'would', 'last', 'time', 'would', 'play', 'everyth', 'last', 'time', 'rare', 'appreci', 'time']","['wife', 'bought', 'beautiful', 'phd', 'completion', 'gift', '12', 'years', 'ago', 'never', 'imagined', 'last', 'time', 'played', 'would', 'last', 'time', 'would', 'play', 'everything', 'last', 'time', 'rarely', 'appreciate', 'time']",5,Australia
2022-02-19 21:01:01+00:00,1495141393677025280,"Life is a gift, not a guarantee #positive  #Mentalhealth #mindset #thinkbigsundaywithmarsha #Appreciate #Life #MindsetMatters #Gift #Gifted #gratitude https://t.co/Gch6zZtKX0",nickystevo,Hervey Bay QLD Australia,65,1,25,2,"She/Her 🎀Mental Health & Suicide Prevention Advocate. Volunteer since 1997 for charities, hospitals, schools & other organisations🖤Collingwood FC for 50 yrs🖤",39318,"['positive', 'Mentalhealth', 'mindset', 'thinkbigsundaywithmarsha', 'Appreciate', 'Life', 'MindsetMatters', 'Gift', 'Gifted', 'gratitude']",life is a gift not a guarantee positive mentalhealth mindset thinkbigsundaywithmarsha appreciate life mindsetmatters gift gifted gratitude,"['life', 'is', 'a', 'gift', 'not', 'a', 'guarantee', 'positive', 'mentalhealth', 'mindset', 'thinkbigsundaywithmarsha', 'appreciate', 'life', 'mindsetmatters', 'gift', 'gifted', 'gratitude']","['life', 'gift', 'guarantee', 'positive', 'mentalhealth', 'mindset', 'thinkbigsundaywithmarsha', 'appreciate', 'life', 'mindsetmatters', 'gift', 'gifted', 'gratitude']","['life', 'gift', 'guarante', 'posit', 'mentalhealth', 'mindset', 'thinkbigsundaywithmarsha', 'appreci', 'life', 'mindsetmatt', 'gift', 'gift', 'gratitud']","['life', 'gift', 'guarantee', 'positive', 'mentalhealth', 'mindset', 'thinkbigsundaywithmarsha', 'appreciate', 'life', 'mindsetmatters', 'gift', 'gifted', 'gratitude']",3,Australia
2021-11-11 02:52:30+00:00,1458628672240308225,"@BecWrong Everything’s sorted Amanda, Doctor Lecter and I have consulted and it is his opinion after visiting Pet Stock that once you’ve had a shot of Propofol you’ll appreciate this as a Christmas gift.
He expects you to like it, so just go along or you might just be the entree of choice https://t.co/KtqTDkIRGt",Michael61058663,Beautiful Adelaide Hills,0,0,0,0,"Mind Health advocate. Teacher. Counsellor. Conflict Resolution Facilitator, FGM is a curse on women. Introduce Gun Laws enabling our children to learn in peace",2423,,everythings sorted amanda doctor lecter and i have consulted and it is his opinion after visiting pet stock that once youve had a shot of propofol youll appreciate this as a christmas gift he expects you to like it so just go along or you might just be the entree of choice,"['everythings', 'sorted', 'amanda', 'doctor', 'lecter', 'and', 'i', 'have', 'consulted', 'and', 'it', 'is', 'his', 'opinion', 'after', 'visiting', 'pet', 'stock', 'that', 'once', 'youve', 'had', 'a', 'shot', 'of', 'propofol', 'youll', 'appreciate', 'this', 'as', 'a', 'christmas', 'gift', 'he', 'expects', 'you', 'to', 'like', 'it', 'so', 'just', 'go', 'along', 'or', 'you', 'might', 'just', 'be', 'the', 'entree', 'of', 'choice']","['everythings', 'sorted', 'amanda', 'doctor', 'lecter', 'consulted', 'opinion', 'visiting', 'pet', 'stock', 'youve', 'shot', 'propofol', 'youll', 'appreciate', 'christmas', 'gift', 'expects', 'like', 'go', 'along', 'might', 'entree', 'choice']","['everyth', 'sort', 'amanda', 'doctor', 'lecter', 'consult', 'opinion', 'visit', 'pet', 'stock', 'youv', 'shot', 'propofol', 'youll', 'appreci', 'christma', 'gift', 'expect', 'like', 'go', 'along', 'might', 'entre', 'choic']","['everythings', 'sorted', 'amanda', 'doctor', 'lecter', 'consulted', 'opinion', 'visiting', 'pet', 'stock', 'youve', 'shot', 'propofol', 'youll', 'appreciate', 'christmas', 'gift', 'expects', 'like', 'go', 'along', 'might', 'entree', 'choice']",4,Australia
2021-08-06 23:06:43+00:00,1423782616684105735,"@rebeccahritchie @Dr_YKTham Or that you don’t care 

People will be giving you their most precious gift of all, their time

I always think that if I’m nervous is because I appreciate people’s time 😅",FZMarques,Melbourne,5,1,0,0,"Viertel & @HeartFoundation Fellow & #Hypertension Lab Head @Monash_Science. Gut microbes, 🐶 lover, #Cancer survivor @Science_Academy Gottschalk🏅she/her",6282,,or that you dont care people will be giving you their most precious gift of all their time i always think that if im nervous is because i appreciate peoples time,"['or', 'that', 'you', 'dont', 'care', 'people', 'will', 'be', 'giving', 'you', 'their', 'most', 'precious', 'gift', 'of', 'all', 'their', 'time', 'i', 'always', 'think', 'that', 'if', 'im', 'nervous', 'is', 'because', 'i', 'appreciate', 'peoples', 'time']","['dont', 'care', 'people', 'giving', 'precious', 'gift', 'time', 'always', 'think', 'im', 'nervous', 'appreciate', 'peoples', 'time']","['dont', 'care', 'peopl', 'give', 'preciou', 'gift', 'time', 'alway', 'think', 'im', 'nervou', 'appreci', 'peopl', 'time']","['dont', 'care', 'people', 'giving', 'precious', 'gift', 'time', 'always', 'think', 'im', 'nervous', 'appreciate', 'peoples', 'time']",5,Australia
2021-06-15 06:30:21+00:00,1404687706156789766,"Australia has significant excess supply of Astra Zeneca 
Why not allow 40-49 in excellent health take AZ and free up Pfizer.  Failing that send it offshore as we do not appreciate gift that's been given but instead prefer to think should only have Pfizer. Entitlement. Agghh",DonMcDougall2,Geelong,2,1,0,0,"Landscaper.  Sport especially AFL (go North!) 3 kids, music, movies and caring for environment.  Loathe conservatism and want fairer and just society.",92,,australia has significant excess supply of astra zeneca why not allow 4049 in excellent health take az and free up pfizer failing that send it offshore as we do not appreciate gift thats been given but instead prefer to think should only have pfizer entitlement agghh,"['australia', 'has', 'significant', 'excess', 'supply', 'of', 'astra', 'zeneca', 'why', 'not', 'allow', '4049', 'in', 'excellent', 'health', 'take', 'az', 'and', 'free', 'up', 'pfizer', 'failing', 'that', 'send', 'it', 'offshore', 'as', 'we', 'do', 'not', 'appreciate', 'gift', 'thats', 'been', 'given', 'but', 'instead', 'prefer', 'to', 'think', 'should', 'only', 'have', 'pfizer', 'entitlement', 'agghh']","['australia', 'significant', 'excess', 'supply', 'astra', 'zeneca', 'allow', '4049', 'excellent', 'health', 'take', 'az', 'free', 'pfizer', 'failing', 'send', 'offshore', 'appreciate', 'gift', 'thats', 'given', 'instead', 'prefer', 'think', 'pfizer', 'entitlement', 'agghh']","['australia', 'signific', 'excess', 'suppli', 'astra', 'zeneca', 'allow', '4049', 'excel', 'health', 'take', 'az', 'free', 'pfizer', 'fail', 'send', 'offshor', 'appreci', 'gift', 'that', 'given', 'instead', 'prefer', 'think', 'pfizer', 'entitl', 'agghh']","['australia', 'significant', 'excess', 'supply', 'astra', 'zeneca', 'allow', '4049', 'excellent', 'health', 'take', 'az', 'free', 'pfizer', 'failing', 'send', 'offshore', 'appreciate', 'gift', 'thats', 'given', 'instead', 'prefer', 'think', 'pfizer', 'entitlement', 'agghh']",1,Australia
2021-03-03 23:21:54+00:00,1367253930996953089,I was gifted this cool @ToyPhotoBlog Sigfig! Thanks so much @_xxSJC I appreciate it! If you guys want to see some amazing Toy Photography make sure you check them out! #Lego #imrickjamesbricks #legopakenham #legomelbourne #afol #toyphotography https://t.co/6xyeYWhxJ7,RickJamesBricks,Pakenham 3810,0,0,0,0,"Independent LEGO store in Pakenham 3810, Victoria AUSTRALIA. Official Australian reseller of BrickArms.",1001,"['Lego', 'imrickjamesbricks', 'legopakenham', 'legomelbourne', 'afol', 'toyphotography']",i was gifted this cool sigfig thanks so much i appreciate it if you guys want to see some amazing toy photography make sure you check them out lego imrickjamesbricks legopakenham legomelbourne afol toyphotography,"['i', 'was', 'gifted', 'this', 'cool', 'sigfig', 'thanks', 'so', 'much', 'i', 'appreciate', 'it', 'if', 'you', 'guys', 'want', 'to', 'see', 'some', 'amazing', 'toy', 'photography', 'make', 'sure', 'you', 'check', 'them', 'out', 'lego', 'imrickjamesbricks', 'legopakenham', 'legomelbourne', 'afol', 'toyphotography']","['gifted', 'cool', 'sigfig', 'thanks', 'much', 'appreciate', 'guys', 'want', 'see', 'amazing', 'toy', 'photography', 'make', 'sure', 'check', 'lego', 'imrickjamesbricks', 'legopakenham', 'legomelbourne', 'afol', 'toyphotography']","['gift', 'cool', 'sigfig', 'thank', 'much', 'appreci', 'guy', 'want', 'see', 'amaz', 'toy', 'photographi', 'make', 'sure', 'check', 'lego', 'imrickjamesbrick', 'legopakenham', 'legomelbourn', 'afol', 'toyphotographi']","['gifted', 'cool', 'sigfig', 'thanks', 'much', 'appreciate', 'guys', 'want', 'see', 'amazing', 'toy', 'photography', 'make', 'sure', 'check', 'lego', 'imrickjamesbricks', 'legopakenham', 'legomelbourne', 'afol', 'toyphotography']",5,Australia
2020-12-08 22:20:48+00:00,1336435588694593544,"My #frangipani tree was a gift from my dearest #friends the Berner’s when they left Aus in 2013 to return to Germany. It just flowered 🌸 for the first time in 7 years, must be a sign that things are looking up at last #beautiful #appreciate the #littlethings 🥰 #sunshine 🌞 🌴 https://t.co/aELuMYZpkz",DrMiaWoodruff,"Brisbane City, Brisbane",22,1,0,0,"Leader Biofabrication & Tissue Morphology @QUT 3D printing in medicine advocate, science communicator, collaborator, researcher, innovator, educator",1539,"['frangipani', 'friends', 'beautiful', 'appreciate', 'littlethings', 'sunshine']",my frangipani tree was a gift from my dearest friends the berners when they left aus in 2013 to return to germany it just flowered for the first time in 7 years must be a sign that things are looking up at last beautiful appreciate the littlethings sunshine,"['my', 'frangipani', 'tree', 'was', 'a', 'gift', 'from', 'my', 'dearest', 'friends', 'the', 'berners', 'when', 'they', 'left', 'aus', 'in', '2013', 'to', 'return', 'to', 'germany', 'it', 'just', 'flowered', 'for', 'the', 'first', 'time', 'in', '7', 'years', 'must', 'be', 'a', 'sign', 'that', 'things', 'are', 'looking', 'up', 'at', 'last', 'beautiful', 'appreciate', 'the', 'littlethings', 'sunshine']","['frangipani', 'tree', 'gift', 'dearest', 'friends', 'berners', 'left', 'aus', '2013', 'return', 'germany', 'flowered', 'first', 'time', '7', 'years', 'must', 'sign', 'things', 'looking', 'last', 'beautiful', 'appreciate', 'littlethings', 'sunshine']","['frangipani', 'tree', 'gift', 'dearest', 'friend', 'berner', 'left', 'au', '2013', 'return', 'germani', 'flower', 'first', 'time', '7', 'year', 'must', 'sign', 'thing', 'look', 'last', 'beauti', 'appreci', 'littleth', 'sunshin']","['frangipani', 'tree', 'gift', 'dearest', 'friends', 'berners', 'left', 'aus', '2013', 'return', 'germany', 'flowered', 'first', 'time', '7', 'years', 'must', 'sign', 'things', 'looking', 'last', 'beautiful', 'appreciate', 'littlethings', 'sunshine']",5,Australia
