Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-05 13:02:50+00:00,1533434168612294657,late night drives listening to soft music. i like bulgogi and bingsu. i like giving meaningful gifts (idk it’s great to feel someone appreciate u appreciate them). i like the crackle of fire in a fireplace. i like riding public transport (just the ones in europe lmao). i like,LuqmanLSG,Malaysia,34,1,2,0,Screenwriter #KeluangMan #ProjekHighCouncil #ProjekAnchorSPM #FilemRahsia #FilemPusaka. I make Twitter vids & threads I hope are beneficial. Pls send memes ✨,8049,,late night drives listening to soft music i like bulgogi and bingsu i like giving meaningful gifts idk its great to feel someone appreciate u appreciate them i like the crackle of fire in a fireplace i like riding public transport just the ones in europe lmao i like,"['late', 'night', 'drives', 'listening', 'to', 'soft', 'music', 'i', 'like', 'bulgogi', 'and', 'bingsu', 'i', 'like', 'giving', 'meaningful', 'gifts', 'idk', 'its', 'great', 'to', 'feel', 'someone', 'appreciate', 'u', 'appreciate', 'them', 'i', 'like', 'the', 'crackle', 'of', 'fire', 'in', 'a', 'fireplace', 'i', 'like', 'riding', 'public', 'transport', 'just', 'the', 'ones', 'in', 'europe', 'lmao', 'i', 'like']","['late', 'night', 'drives', 'listening', 'soft', 'music', 'like', 'bulgogi', 'bingsu', 'like', 'giving', 'meaningful', 'gifts', 'idk', 'great', 'feel', 'someone', 'appreciate', 'u', 'appreciate', 'like', 'crackle', 'fire', 'fireplace', 'like', 'riding', 'public', 'transport', 'ones', 'europe', 'lmao', 'like']","['late', 'night', 'drive', 'listen', 'soft', 'music', 'like', 'bulgogi', 'bingsu', 'like', 'give', 'meaning', 'gift', 'idk', 'great', 'feel', 'someon', 'appreci', 'u', 'appreci', 'like', 'crackl', 'fire', 'fireplac', 'like', 'ride', 'public', 'transport', 'one', 'europ', 'lmao', 'like']","['late', 'night', 'drives', 'listening', 'soft', 'music', 'like', 'bulgogi', 'bingsu', 'like', 'giving', 'meaningful', 'gifts', 'idk', 'great', 'feel', 'someone', 'appreciate', 'u', 'appreciate', 'like', 'crackle', 'fire', 'fireplace', 'like', 'riding', 'public', 'transport', 'ones', 'europe', 'lmao', 'like']",5,Malaysia
2022-06-04 03:27:45+00:00,1532927057130561537,@btxtidol @love4_seven I think it is a chance for them to interact more intimately with fans. For music shows they sometimes get to gift attending fans tidbits and care packages. I think they appreciate that interaction they get at music shows 🥺,MommySasya,Malaysia,0,0,0,0,"This is a BTS stan account. ✨OT7✨ How can all 7 members be equally captivating 🤔?

❌Will block ships and fancam accs if they get too annoying 🚫Solos",379,,i think it is a chance for them to interact more intimately with fans for music shows they sometimes get to gift attending fans tidbits and care packages i think they appreciate that interaction they get at music shows,"['i', 'think', 'it', 'is', 'a', 'chance', 'for', 'them', 'to', 'interact', 'more', 'intimately', 'with', 'fans', 'for', 'music', 'shows', 'they', 'sometimes', 'get', 'to', 'gift', 'attending', 'fans', 'tidbits', 'and', 'care', 'packages', 'i', 'think', 'they', 'appreciate', 'that', 'interaction', 'they', 'get', 'at', 'music', 'shows']","['think', 'chance', 'interact', 'intimately', 'fans', 'music', 'shows', 'sometimes', 'get', 'gift', 'attending', 'fans', 'tidbits', 'care', 'packages', 'think', 'appreciate', 'interaction', 'get', 'music', 'shows']","['think', 'chanc', 'interact', 'intim', 'fan', 'music', 'show', 'sometim', 'get', 'gift', 'attend', 'fan', 'tidbit', 'care', 'packag', 'think', 'appreci', 'interact', 'get', 'music', 'show']","['think', 'chance', 'interact', 'intimately', 'fans', 'music', 'shows', 'sometimes', 'get', 'gift', 'attending', 'fans', 'tidbits', 'care', 'packages', 'think', 'appreciate', 'interaction', 'get', 'music', 'shows']",3,Malaysia
2022-06-02 00:13:41+00:00,1532153443200118789,Thank you very much Sir George! @RetiredBroker I received this book from you via Air mail yesterday afternoon all the way from the UK to Singapore! Thanks for sending it to me and this beautiful little airplane gift with it! I really appreciate your kind gesture. 🙏🏼😊 https://t.co/4QAaCJPSQn https://t.co/2mKh5hCZBu,airplanetalk,Singapore,23,3,6,0,"Aviator: 34 yrs flying pistons/turboprop/jets/Seaplane/Aerospace Biz CEO, Anipal to all animals, co-founder Literati Singapore Book club, Sailing. #Catman",1650,,thank you very much sir george i received this book from you via air mail yesterday afternoon all the way from the uk to singapore thanks for sending it to me and this beautiful little airplane gift with it i really appreciate your kind gesture,"['thank', 'you', 'very', 'much', 'sir', 'george', 'i', 'received', 'this', 'book', 'from', 'you', 'via', 'air', 'mail', 'yesterday', 'afternoon', 'all', 'the', 'way', 'from', 'the', 'uk', 'to', 'singapore', 'thanks', 'for', 'sending', 'it', 'to', 'me', 'and', 'this', 'beautiful', 'little', 'airplane', 'gift', 'with', 'it', 'i', 'really', 'appreciate', 'your', 'kind', 'gesture']","['thank', 'much', 'sir', 'george', 'received', 'book', 'via', 'air', 'mail', 'yesterday', 'afternoon', 'way', 'uk', 'singapore', 'thanks', 'sending', 'beautiful', 'little', 'airplane', 'gift', 'really', 'appreciate', 'kind', 'gesture']","['thank', 'much', 'sir', 'georg', 'receiv', 'book', 'via', 'air', 'mail', 'yesterday', 'afternoon', 'way', 'uk', 'singapor', 'thank', 'send', 'beauti', 'littl', 'airplan', 'gift', 'realli', 'appreci', 'kind', 'gestur']","['thank', 'much', 'sir', 'george', 'received', 'book', 'via', 'air', 'mail', 'yesterday', 'afternoon', 'way', 'uk', 'singapore', 'thanks', 'sending', 'beautiful', 'little', 'airplane', 'gift', 'really', 'appreciate', 'kind', 'gesture']",5,Malaysia
2022-06-01 03:40:58+00:00,1531843220304408576,"@rekiplays @doyeon32193773 @rekiplays @navvyia @CEOofYelan @DSnakeyGift @CEOofBalladeer @Pilot_Tartaglia @LEXIIample tagging ppl i appreciate, thank you for the ga!!",doyeon32193773,"Selangor, Malaysia",4,1,0,0,desperate for kazuha II she/her II raiden&ayaka main II 🌸o7,253,,tagging ppl i appreciate thank you for the ga,"['tagging', 'ppl', 'i', 'appreciate', 'thank', 'you', 'for', 'the', 'ga']","['tagging', 'ppl', 'appreciate', 'thank', 'ga']","['tag', 'ppl', 'appreci', 'thank', 'ga']","['tagging', 'ppl', 'appreciate', 'thank', 'ga']",4,Malaysia
2022-02-27 11:58:00+00:00,1497903844571123712,@BadDogSyndicate Received. Thank you again! really appreciate the gift 🤟 https://t.co/qgPHSKbgwe,PishangClub,Ladang Tok Pish,1,0,0,0,"Came for the flip, stayed for the people 🍌 | Mungkin P1 or P2 | NFT - Possibilities yet to be explored 🚀",871,,received thank you again really appreciate the gift,"['received', 'thank', 'you', 'again', 'really', 'appreciate', 'the', 'gift']","['received', 'thank', 'really', 'appreciate', 'gift']","['receiv', 'thank', 'realli', 'appreci', 'gift']","['received', 'thank', 'really', 'appreciate', 'gift']",5,Malaysia
2021-01-12 07:15:13+00:00,1348891264217870336,"One day before #PKP2021 this box arrived just now, a gift from one of my favourite brands; @NescafeMalaysia themselves ❤️ Thank you guys, appreciate it. Stay safe &amp; take care! https://t.co/EDq2ev12vo",RosmanPositivo,"Kuala Lumpur, Malaysia",1,2,0,0,My tweets contain both information & crap. Mostly crap • Views are my own & don't reflect affiliated organizations • Enquiries: rosmanpositivo(at)gmail(dot)com,6067,['PKP2021'],one day before pkp2021 this box arrived just now a gift from one of my favourite brands themselves thank you guys appreciate it stay safe amp take care,"['one', 'day', 'before', 'pkp2021', 'this', 'box', 'arrived', 'just', 'now', 'a', 'gift', 'from', 'one', 'of', 'my', 'favourite', 'brands', 'themselves', 'thank', 'you', 'guys', 'appreciate', 'it', 'stay', 'safe', 'amp', 'take', 'care']","['one', 'day', 'pkp2021', 'box', 'arrived', 'gift', 'one', 'favourite', 'brands', 'thank', 'guys', 'appreciate', 'stay', 'safe', 'amp', 'take', 'care']","['one', 'day', 'pkp2021', 'box', 'arriv', 'gift', 'one', 'favourit', 'brand', 'thank', 'guy', 'appreci', 'stay', 'safe', 'amp', 'take', 'care']","['one', 'day', 'pkp2021', 'box', 'arrived', 'gift', 'one', 'favourite', 'brands', 'thank', 'guys', 'appreciate', 'stay', 'safe', 'amp', 'take', 'care']",5,Malaysia
2020-05-16 23:05:27+00:00,1261794923180773377,"Let this pandemic make us appreciate life as a gift and see God’s marvellous masterpiece. 🌇🛫🌏
Praying for everyone’s good health and safety. Have a blessed Sunday. 🙏🏻 @ Singapore https://t.co/yedMQbnTDN",miguelquevedo23,"1.281363,103.802086",0,0,0,0,Faith can move mountains. Trust in the Lord with all your heart. ;-),19,,let this pandemic make us appreciate life as a gift and see gods marvellous masterpiece praying for everyones good health and safety have a blessed sunday singapore,"['let', 'this', 'pandemic', 'make', 'us', 'appreciate', 'life', 'as', 'a', 'gift', 'and', 'see', 'gods', 'marvellous', 'masterpiece', 'praying', 'for', 'everyones', 'good', 'health', 'and', 'safety', 'have', 'a', 'blessed', 'sunday', 'singapore']","['let', 'pandemic', 'make', 'us', 'appreciate', 'life', 'gift', 'see', 'gods', 'marvellous', 'masterpiece', 'praying', 'everyones', 'good', 'health', 'safety', 'blessed', 'sunday', 'singapore']","['let', 'pandem', 'make', 'us', 'appreci', 'life', 'gift', 'see', 'god', 'marvel', 'masterpiec', 'pray', 'everyon', 'good', 'health', 'safeti', 'bless', 'sunday', 'singapor']","['let', 'pandemic', 'make', 'us', 'appreciate', 'life', 'gift', 'see', 'gods', 'marvellous', 'masterpiece', 'praying', 'everyones', 'good', 'health', 'safety', 'blessed', 'sunday', 'singapore']",5,Malaysia
2020-03-26 05:05:01+00:00,1243041244495990784,Remember when we are used to walk freely on this mother earth? That gift is pulled away for us to appreciate meaning of life and spending precious moment with family. Stay safe and stay… https://t.co/9yUcHnGg6I,kechikkkk17,Penang | KL,0,0,0,0,Furqan | 29 #GGMU,306,,remember when we are used to walk freely on this mother earth that gift is pulled away for us to appreciate meaning of life and spending precious moment with family stay safe and stay,"['remember', 'when', 'we', 'are', 'used', 'to', 'walk', 'freely', 'on', 'this', 'mother', 'earth', 'that', 'gift', 'is', 'pulled', 'away', 'for', 'us', 'to', 'appreciate', 'meaning', 'of', 'life', 'and', 'spending', 'precious', 'moment', 'with', 'family', 'stay', 'safe', 'and', 'stay']","['remember', 'used', 'walk', 'freely', 'mother', 'earth', 'gift', 'pulled', 'away', 'us', 'appreciate', 'meaning', 'life', 'spending', 'precious', 'moment', 'family', 'stay', 'safe', 'stay']","['rememb', 'use', 'walk', 'freeli', 'mother', 'earth', 'gift', 'pull', 'away', 'us', 'appreci', 'mean', 'life', 'spend', 'preciou', 'moment', 'famili', 'stay', 'safe', 'stay']","['remember', 'used', 'walk', 'freely', 'mother', 'earth', 'gift', 'pulled', 'away', 'us', 'appreciate', 'meaning', 'life', 'spending', 'precious', 'moment', 'family', 'stay', 'safe', 'stay']",5,Malaysia
2020-03-12 10:12:50+00:00,1238045276373307392,"pros of dating me:
- i'll do anything for you
- i'll never cheat
- i'll buy you gifts
- i'll care about you/appreciate you
- i'll support you no matter what
Cons of dating me:
- i'm really ugly
- i'm clingy sometimes",anuaroyy,"New City, Kelantan",0,0,3,0,30▫️Business▫️Coffee▫️Road to Mustang 2023,1438,,pros of dating me ill do anything for you ill never cheat ill buy you gifts ill care about youappreciate you ill support you no matter what cons of dating me im really ugly im clingy sometimes,"['pros', 'of', 'dating', 'me', 'ill', 'do', 'anything', 'for', 'you', 'ill', 'never', 'cheat', 'ill', 'buy', 'you', 'gifts', 'ill', 'care', 'about', 'youappreciate', 'you', 'ill', 'support', 'you', 'no', 'matter', 'what', 'cons', 'of', 'dating', 'me', 'im', 'really', 'ugly', 'im', 'clingy', 'sometimes']","['pros', 'dating', 'ill', 'anything', 'ill', 'never', 'cheat', 'ill', 'buy', 'gifts', 'ill', 'care', 'youappreciate', 'ill', 'support', 'matter', 'cons', 'dating', 'im', 'really', 'ugly', 'im', 'clingy', 'sometimes']","['pro', 'date', 'ill', 'anyth', 'ill', 'never', 'cheat', 'ill', 'buy', 'gift', 'ill', 'care', 'youappreci', 'ill', 'support', 'matter', 'con', 'date', 'im', 'realli', 'ugli', 'im', 'clingi', 'sometim']","['pros', 'dating', 'ill', 'anything', 'ill', 'never', 'cheat', 'ill', 'buy', 'gifts', 'ill', 'care', 'youappreciate', 'ill', 'support', 'matter', 'cons', 'dating', 'im', 'really', 'ugly', 'im', 'clingy', 'sometimes']",1,Malaysia
2020-03-07 08:07:27+00:00,1236201782147043328,Gave away more items today. (Please don’t request. These have been gifted already). Just thought I’d share here. Decluttering helps lift a weight and it also prolongs the life of your items when other people are able to appreciate them ❤️ i gift on (Beli Nothing Project on FB) https://t.co/wNAHvj9eBm,natashagideon,Malaysia,4,0,2,0,N A T A S H A ✨ Full-time Real Estate Negotiator (REN21526) ✨ #MarieMembeli for Shopee finds,11154,,gave away more items today please dont request these have been gifted already just thought id share here decluttering helps lift a weight and it also prolongs the life of your items when other people are able to appreciate them i gift on beli nothing project on fb,"['gave', 'away', 'more', 'items', 'today', 'please', 'dont', 'request', 'these', 'have', 'been', 'gifted', 'already', 'just', 'thought', 'id', 'share', 'here', 'decluttering', 'helps', 'lift', 'a', 'weight', 'and', 'it', 'also', 'prolongs', 'the', 'life', 'of', 'your', 'items', 'when', 'other', 'people', 'are', 'able', 'to', 'appreciate', 'them', 'i', 'gift', 'on', 'beli', 'nothing', 'project', 'on', 'fb']","['gave', 'away', 'items', 'today', 'please', 'dont', 'request', 'gifted', 'already', 'thought', 'id', 'share', 'decluttering', 'helps', 'lift', 'weight', 'also', 'prolongs', 'life', 'items', 'people', 'able', 'appreciate', 'gift', 'beli', 'nothing', 'project', 'fb']","['gave', 'away', 'item', 'today', 'pleas', 'dont', 'request', 'gift', 'alreadi', 'thought', 'id', 'share', 'declutt', 'help', 'lift', 'weight', 'also', 'prolong', 'life', 'item', 'peopl', 'abl', 'appreci', 'gift', 'beli', 'noth', 'project', 'fb']","['gave', 'away', 'items', 'today', 'please', 'dont', 'request', 'gifted', 'already', 'thought', 'id', 'share', 'decluttering', 'helps', 'lift', 'weight', 'also', 'prolongs', 'life', 'items', 'people', 'able', 'appreciate', 'gift', 'beli', 'nothing', 'project', 'fb']",5,Malaysia
